market,window,dump_a,dump_b,basis_a,basis_b,segment,matched_listings,median_seq_change_pct
new-orleans,jun_aug_2026_quote,new-orleans_2026-06-16_listings.parquet,new-orleans_2026-08-15_listings.parquet,quote_per_night,quote_per_night,all,5842,0.0
new-orleans,jun_aug_2026_quote,new-orleans_2026-06-16_listings.parquet,new-orleans_2026-08-15_listings.parquet,quote_per_night,quote_per_night,entire,4626,0.0
new-york-city,jun_aug_2026_quote,new-york-city_2026-06-14_listings.parquet,new-york-city_2026-08-10_listings.parquet,quote_per_night,quote_per_night,all,18300,0.0
new-york-city,jun_aug_2026_quote,new-york-city_2026-06-14_listings.parquet,new-york-city_2026-08-10_listings.parquet,quote_per_night,quote_per_night,entire,9874,0.0
paris,jun_sep_2025_listed,paris_2025-06-06_listings.parquet,paris_2025-09-12_listings.parquet,listed_nightly,none,all,0,
paris,jun_sep_2025_listed,paris_2025-06-06_listings.parquet,paris_2025-09-12_listings.parquet,listed_nightly,none,entire,0,
paris,jun_aug_2026_quote,paris_2026-06-16_listings.parquet,paris_2026-08-15_listings.parquet,quote_per_night,quote_per_night,all,41040,0.0
paris,jun_aug_2026_quote,paris_2026-06-16_listings.parquet,paris_2026-08-15_listings.parquet,quote_per_night,quote_per_night,entire,36368,0.0
rome,jun_sep_2025_listed,rome_2025-06-12_listings.parquet,rome_2025-09-14_listings.parquet,listed_nightly,listed_nightly,all,29580,0.0
rome,jun_sep_2025_listed,rome_2025-06-12_listings.parquet,rome_2025-09-14_listings.parquet,listed_nightly,listed_nightly,entire,23141,0.0
rome,jun_aug_2026_quote,rome_2026-06-20_listings.parquet,rome_2026-08-25_listings.parquet,quote_per_night,quote_per_night,all,31102,0.0
rome,jun_aug_2026_quote,rome_2026-06-20_listings.parquet,rome_2026-08-25_listings.parquet,quote_per_night,quote_per_night,entire,23397,0.0
san-diego,jun_sep_2025_listed,san-diego_2025-06-21_listings.parquet,san-diego_2025-09-25_listings.parquet,listed_nightly,listed_nightly,all,9772,-11.584139059130393
san-diego,jun_sep_2025_listed,san-diego_2025-06-21_listings.parquet,san-diego_2025-09-25_listings.parquet,listed_nightly,listed_nightly,entire,8507,-13.98601398601399
san-diego,jun_aug_2026_quote,san-diego_2026-06-27_listings.parquet,san-diego_2026-08-29_listings.parquet,quote_per_night,quote_per_night,all,10154,-8.166975296800361
san-diego,jun_aug_2026_quote,san-diego_2026-06-27_listings.parquet,san-diego_2026-08-29_listings.parquet,quote_per_night,quote_per_night,entire,8561,-10.627615062761508
sydney,jun_aug_2026_quote,sydney_2026-06-16_listings.parquet,sydney_2026-08-15_listings.parquet,quote_per_night,quote_per_night,all,15730,1.6275828437511297
sydney,jun_aug_2026_quote,sydney_2026-06-16_listings.parquet,sydney_2026-08-15_listings.parquet,quote_per_night,quote_per_night,entire,12258,1.7240614544733246
