market,snapshot,priced,note,file
bangkok,2025-09-26,False,price_nonempty_share=0.000,bangkok_2025-09-26_calendar.csv.gz
bangkok,2025-12-28,False,no_price_column,bangkok_2025-12-28_calendar.csv.gz
barcelona,2025-08-10,False,price_nonempty_share=0.000,barcelona_2025-08-10_calendar.csv.gz
barcelona,2025-09-14,False,price_nonempty_share=0.000,barcelona_2025-09-14_calendar.csv.gz
barcelona,2025-12-14,False,price_nonempty_share=0.000,barcelona_2025-12-14_calendar.csv.gz
barossa-valley,2025-09-27,False,price_nonempty_share=0.000,barossa-valley_2025-09-27_calendar.csv.gz
barossa-valley,2025-12-28,False,no_price_column,barossa-valley_2025-12-28_calendar.csv.gz
barwon-south-west-vic,2025-03-21,True,price_nonempty_share=1.000,barwon-south-west-vic_2025-03-21_calendar.csv.gz
barwon-south-west-vic,2025-04-26,True,price_nonempty_share=1.000,barwon-south-west-vic_2025-04-26_calendar.csv.gz
barwon-south-west-vic,2025-05-28,True,price_nonempty_share=1.000,barwon-south-west-vic_2025-05-28_calendar.csv.gz
barwon-south-west-vic,2025-06-25,False,price_nonempty_share=0.000,barwon-south-west-vic_2025-06-25_calendar.csv.gz
barwon-south-west-vic,2025-07-27,False,price_nonempty_share=0.000,barwon-south-west-vic_2025-07-27_calendar.csv.gz
barwon-south-west-vic,2025-08-30,False,price_nonempty_share=0.000,barwon-south-west-vic_2025-08-30_calendar.csv.gz
barwon-south-west-vic,2025-09-28,False,price_nonempty_share=0.000,barwon-south-west-vic_2025-09-28_calendar.csv.gz
barwon-south-west-vic,2025-12-29,False,no_price_column,barwon-south-west-vic_2025-12-29_calendar.csv.gz
belize,2025-03-23,True,price_nonempty_share=1.000,belize_2025-03-23_calendar.csv.gz
belize,2025-04-27,True,price_nonempty_share=1.000,belize_2025-04-27_calendar.csv.gz
belize,2025-06-25,False,price_nonempty_share=0.000,belize_2025-06-25_calendar.csv.gz
belize,2025-07-29,False,price_nonempty_share=0.000,belize_2025-07-29_calendar.csv.gz
belize,2025-08-30,False,price_nonempty_share=0.000,belize_2025-08-30_calendar.csv.gz
belize,2025-09-28,False,price_nonempty_share=0.000,belize_2025-09-28_calendar.csv.gz
belize,2025-12-29,False,no_price_column,belize_2025-12-29_calendar.csv.gz
brisbane,2025-08-04,False,price_nonempty_share=0.000,brisbane_2025-08-04_calendar.csv.gz
brisbane,2025-10-07,False,price_nonempty_share=0.000,brisbane_2025-10-07_calendar.csv.gz
buenos-aires,2025-07-27,False,no_price_column,buenos-aires_2025-07-27_calendar.csv.gz
buenos-aires,2025-08-29,False,no_price_column,buenos-aires_2025-08-29_calendar.csv.gz
buenos-aires,2025-09-27,False,no_price_column,buenos-aires_2025-09-27_calendar.csv.gz
buenos-aires,2025-11-27,False,no_price_column,buenos-aires_2025-11-27_calendar.csv.gz
chicago,2025-02-16,True,price_nonempty_share=1.000,chicago_2025-02-16_calendar.csv.gz
chicago,2025-03-11,True,price_nonempty_share=1.000,chicago_2025-03-11_calendar.csv.gz
chicago,2025-04-17,True,price_nonempty_share=1.000,chicago_2025-04-17_calendar.csv.gz
chicago,2025-05-14,True,price_nonempty_share=1.000,chicago_2025-05-14_calendar.csv.gz
chicago,2025-07-20,False,price_nonempty_share=0.000,chicago_2025-07-20_calendar.csv.gz
chicago,2025-08-19,False,price_nonempty_share=0.000,chicago_2025-08-19_calendar.csv.gz
chicago,2025-09-22,False,price_nonempty_share=0.000,chicago_2025-09-22_calendar.csv.gz
chicago,2025-12-25,False,no_price_column,chicago_2025-12-25_calendar.csv.gz
hong-kong,2025-03-16,True,price_nonempty_share=1.000,hong-kong_2025-03-16_calendar.csv.gz
hong-kong,2025-04-20,True,price_nonempty_share=1.000,hong-kong_2025-04-20_calendar.csv.gz
hong-kong,2025-05-18,True,price_nonempty_share=1.000,hong-kong_2025-05-18_calendar.csv.gz
hong-kong,2025-07-24,False,price_nonempty_share=0.000,hong-kong_2025-07-24_calendar.csv.gz
hong-kong,2025-08-24,False,price_nonempty_share=0.000,hong-kong_2025-08-24_calendar.csv.gz
hong-kong,2025-09-23,False,price_nonempty_share=0.000,hong-kong_2025-09-23_calendar.csv.gz
hong-kong,2025-12-27,False,no_price_column,hong-kong_2025-12-27_calendar.csv.gz
london,2025-09-14,False,price_nonempty_share=0.000,london_2025-09-14_calendar.csv.gz
london,2025-12-13,False,no_price_column,london_2025-12-13_calendar.csv.gz
los-angeles,2025-03-01,True,price_nonempty_share=1.000,los-angeles_2025-03-01_calendar.csv.gz
los-angeles,2025-04-01,True,price_nonempty_share=1.000,los-angeles_2025-04-01_calendar.csv.gz
los-angeles,2025-05-01,True,price_nonempty_share=1.000,los-angeles_2025-05-01_calendar.csv.gz
los-angeles,2025-07-01,False,price_nonempty_share=0.000,los-angeles_2025-07-01_calendar.csv.gz
los-angeles,2025-08-01,False,price_nonempty_share=0.000,los-angeles_2025-08-01_calendar.csv.gz
los-angeles,2025-09-01,False,price_nonempty_share=0.000,los-angeles_2025-09-01_calendar.csv.gz
los-angeles,2025-12-04,False,price_nonempty_share=0.000,los-angeles_2025-12-04_calendar.csv.gz
melbourne,2025-08-05,False,price_nonempty_share=0.000,melbourne_2025-08-05_calendar.csv.gz
melbourne,2025-09-12,False,price_nonempty_share=0.000,melbourne_2025-09-12_calendar.csv.gz
melbourne,2025-12-12,False,no_price_column,melbourne_2025-12-12_calendar.csv.gz
mexico-city,2025-06-25,False,price_nonempty_share=0.000,mexico-city_2025-06-25_calendar.csv.gz
mexico-city,2025-07-27,False,price_nonempty_share=0.000,mexico-city_2025-07-27_calendar.csv.gz
mexico-city,2025-08-29,False,price_nonempty_share=0.000,mexico-city_2025-08-29_calendar.csv.gz
mexico-city,2025-09-27,False,price_nonempty_share=0.000,mexico-city_2025-09-27_calendar.csv.gz
mexico-city,2025-12-29,False,no_price_column,mexico-city_2025-12-29_calendar.csv.gz
mid-north-coast,2025-03-04,True,price_nonempty_share=1.000,mid-north-coast_2025-03-04_calendar.csv.gz
mid-north-coast,2025-04-07,True,price_nonempty_share=1.000,mid-north-coast_2025-04-07_calendar.csv.gz
mid-north-coast,2025-05-06,True,price_nonempty_share=1.000,mid-north-coast_2025-05-06_calendar.csv.gz
mid-north-coast,2025-07-07,False,price_nonempty_share=0.000,mid-north-coast_2025-07-07_calendar.csv.gz
mid-north-coast,2025-08-08,False,price_nonempty_share=0.000,mid-north-coast_2025-08-08_calendar.csv.gz
mid-north-coast,2025-10-17,False,price_nonempty_share=0.000,mid-north-coast_2025-10-17_calendar.csv.gz
mid-north-coast,2025-11-12,False,price_nonempty_share=0.000,mid-north-coast_2025-11-12_calendar.csv.gz
mornington-peninsula,2025-03-07,True,price_nonempty_share=1.000,mornington-peninsula_2025-03-07_calendar.csv.gz
mornington-peninsula,2025-04-14,True,price_nonempty_share=1.000,mornington-peninsula_2025-04-14_calendar.csv.gz
mornington-peninsula,2025-05-13,True,price_nonempty_share=1.000,mornington-peninsula_2025-05-13_calendar.csv.gz
mornington-peninsula,2025-07-17,False,price_nonempty_share=0.000,mornington-peninsula_2025-07-17_calendar.csv.gz
mornington-peninsula,2025-08-17,False,price_nonempty_share=0.000,mornington-peninsula_2025-08-17_calendar.csv.gz
mornington-peninsula,2025-09-18,False,price_nonempty_share=0.000,mornington-peninsula_2025-09-18_calendar.csv.gz
mornington-peninsula,2025-12-22,False,no_price_column,mornington-peninsula_2025-12-22_calendar.csv.gz
nashville,2024-05-26,True,price_nonempty_share=1.000,nashville_2024-05-26_calendar.csv.gz
nashville,2024-06-22,True,price_nonempty_share=1.000,nashville_2024-06-22_calendar.csv.gz
nashville,2024-07-25,True,price_nonempty_share=1.000,nashville_2024-07-25_calendar.csv.gz
nashville,2024-08-18,True,price_nonempty_share=1.000,nashville_2024-08-18_calendar.csv.gz
nashville,2024-09-18,True,price_nonempty_share=1.000,nashville_2024-09-18_calendar.csv.gz
nashville,2024-10-19,True,price_nonempty_share=1.000,nashville_2024-10-19_calendar.csv.gz
nashville,2024-11-23,True,price_nonempty_share=1.000,nashville_2024-11-23_calendar.csv.gz
nashville,2024-12-21,True,price_nonempty_share=1.000,nashville_2024-12-21_calendar.csv.gz
nashville,2025-01-24,True,price_nonempty_share=1.000,nashville_2025-01-24_calendar.csv.gz
nashville,2025-02-17,True,price_nonempty_share=1.000,nashville_2025-02-17_calendar.csv.gz
nashville,2025-03-15,True,price_nonempty_share=1.000,nashville_2025-03-15_calendar.csv.gz
nashville,2025-04-18,True,price_nonempty_share=1.000,nashville_2025-04-18_calendar.csv.gz
nashville,2025-05-17,True,price_nonempty_share=1.000,nashville_2025-05-17_calendar.csv.gz
nashville,2025-07-22,False,price_nonempty_share=0.000,nashville_2025-07-22_calendar.csv.gz
nashville,2025-08-23,False,no_price_column,nashville_2025-08-23_calendar.csv.gz
nashville,2025-09-23,False,price_nonempty_share=0.000,nashville_2025-09-23_calendar.csv.gz
nashville,2025-12-27,False,no_price_column,nashville_2025-12-27_calendar.csv.gz
new-orleans,2025-07-05,False,price_nonempty_share=0.000,new-orleans_2025-07-05_calendar.csv.gz
new-orleans,2025-08-05,False,price_nonempty_share=0.000,new-orleans_2025-08-05_calendar.csv.gz
new-orleans,2025-09-11,False,price_nonempty_share=0.000,new-orleans_2025-09-11_calendar.csv.gz
new-orleans,2025-12-12,False,no_price_column,new-orleans_2025-12-12_calendar.csv.gz
new-york-city,2025-10-01,False,price_nonempty_share=0.000,new-york-city_2025-10-01_calendar.csv.gz
new-york-city,2025-12-04,False,price_nonempty_share=0.000,new-york-city_2025-12-04_calendar.csv.gz
northern-rivers,2025-03-11,True,price_nonempty_share=1.000,northern-rivers_2025-03-11_calendar.csv.gz
northern-rivers,2025-04-17,True,price_nonempty_share=1.000,northern-rivers_2025-04-17_calendar.csv.gz
northern-rivers,2025-05-14,True,price_nonempty_share=1.000,northern-rivers_2025-05-14_calendar.csv.gz
northern-rivers,2025-07-20,False,price_nonempty_share=0.000,northern-rivers_2025-07-20_calendar.csv.gz
northern-rivers,2025-08-19,False,price_nonempty_share=0.000,northern-rivers_2025-08-19_calendar.csv.gz
northern-rivers,2025-09-22,False,price_nonempty_share=0.000,northern-rivers_2025-09-22_calendar.csv.gz
northern-rivers,2025-12-25,False,no_price_column,northern-rivers_2025-12-25_calendar.csv.gz
paris,2024-03-16,True,price_nonempty_share=1.000,paris_2024-03-16_calendar.csv.gz
paris,2024-05-11,True,price_nonempty_share=1.000,paris_2024-05-11_calendar.csv.gz
paris,2024-06-10,True,price_nonempty_share=1.000,paris_2024-06-10_calendar.csv.gz
paris,2024-07-14,True,price_nonempty_share=1.000,paris_2024-07-14_calendar.csv.gz
paris,2024-08-09,True,price_nonempty_share=1.000,paris_2024-08-09_calendar.csv.gz
paris,2024-09-06,True,price_nonempty_share=1.000,paris_2024-09-06_calendar.csv.gz
paris,2024-10-07,True,price_nonempty_share=1.000,paris_2024-10-07_calendar.csv.gz
paris,2024-11-09,True,price_nonempty_share=1.000,paris_2024-11-09_calendar.csv.gz
paris,2024-12-06,True,price_nonempty_share=1.000,paris_2024-12-06_calendar.csv.gz
paris,2025-01-09,True,price_nonempty_share=1.000,paris_2025-01-09_calendar.csv.gz
paris,2025-02-12,True,price_nonempty_share=1.000,paris_2025-02-12_calendar.csv.gz
paris,2025-03-03,True,price_nonempty_share=1.000,paris_2025-03-03_calendar.csv.gz
paris,2025-04-07,True,price_nonempty_share=1.000,paris_2025-04-07_calendar.csv.gz
paris,2025-05-03,True,price_nonempty_share=1.000,paris_2025-05-03_calendar.csv.gz
paris,2025-07-07,False,price_nonempty_share=0.000,paris_2025-07-07_calendar.csv.gz
paris,2025-08-08,False,price_nonempty_share=0.000,paris_2025-08-08_calendar.csv.gz
paris,2025-09-12,False,price_nonempty_share=0.000,paris_2025-09-12_calendar.csv.gz
paris,2025-12-13,False,no_price_column,paris_2025-12-13_calendar.csv.gz
rio-de-janeiro,2025-06-24,False,price_nonempty_share=0.000,rio-de-janeiro_2025-06-24_calendar.csv.gz
rio-de-janeiro,2025-07-26,False,price_nonempty_share=0.000,rio-de-janeiro_2025-07-26_calendar.csv.gz
rio-de-janeiro,2025-08-28,False,no_price_column,rio-de-janeiro_2025-08-28_calendar.csv.gz
rio-de-janeiro,2025-09-26,False,price_nonempty_share=0.000,rio-de-janeiro_2025-09-26_calendar.csv.gz
rio-de-janeiro,2025-12-28,False,no_price_column,rio-de-janeiro_2025-12-28_calendar.csv.gz
rome,2024-03-22,True,price_nonempty_share=1.000,rome_2024-03-22_calendar.csv.gz
rome,2024-05-17,True,price_nonempty_share=1.000,rome_2024-05-17_calendar.csv.gz
rome,2024-06-15,True,price_nonempty_share=1.000,rome_2024-06-15_calendar.csv.gz
rome,2024-07-17,True,price_nonempty_share=1.000,rome_2024-07-17_calendar.csv.gz
rome,2024-08-11,True,price_nonempty_share=1.000,rome_2024-08-11_calendar.csv.gz
rome,2024-09-11,True,price_nonempty_share=1.000,rome_2024-09-11_calendar.csv.gz
rome,2024-10-11,True,price_nonempty_share=1.000,rome_2024-10-11_calendar.csv.gz
rome,2024-11-13,True,price_nonempty_share=1.000,rome_2024-11-13_calendar.csv.gz
rome,2024-12-12,True,price_nonempty_share=1.000,rome_2024-12-12_calendar.csv.gz
rome,2025-01-13,True,price_nonempty_share=1.000,rome_2025-01-13_calendar.csv.gz
rome,2025-02-15,True,price_nonempty_share=1.000,rome_2025-02-15_calendar.csv.gz
rome,2025-03-05,True,price_nonempty_share=1.000,rome_2025-03-05_calendar.csv.gz
rome,2025-04-10,True,price_nonempty_share=1.000,rome_2025-04-10_calendar.csv.gz
rome,2025-05-09,True,price_nonempty_share=1.000,rome_2025-05-09_calendar.csv.gz
rome,2025-06-12,False,price_nonempty_share=0.000,rome_2025-06-12_calendar.csv.gz
rome,2025-07-09,False,price_nonempty_share=0.000,rome_2025-07-09_calendar.csv.gz
rome,2025-08-15,False,price_nonempty_share=0.000,rome_2025-08-15_calendar.csv.gz
rome,2025-09-14,False,price_nonempty_share=0.000,rome_2025-09-14_calendar.csv.gz
rome,2025-12-16,False,no_price_column,rome_2025-12-16_calendar.csv.gz
san-diego,2025-02-18,True,price_nonempty_share=1.000,san-diego_2025-02-18_calendar.csv.gz
san-diego,2025-03-16,True,price_nonempty_share=1.000,san-diego_2025-03-16_calendar.csv.gz
san-diego,2025-04-21,True,price_nonempty_share=1.000,san-diego_2025-04-21_calendar.csv.gz
san-diego,2025-05-21,True,price_nonempty_share=1.000,san-diego_2025-05-21_calendar.csv.gz
san-diego,2025-07-25,False,price_nonempty_share=0.000,san-diego_2025-07-25_calendar.csv.gz
san-diego,2025-08-26,False,price_nonempty_share=0.000,san-diego_2025-08-26_calendar.csv.gz
san-diego,2025-09-25,False,price_nonempty_share=0.000,san-diego_2025-09-25_calendar.csv.gz
san-diego,2025-12-11,False,no_price_column,san-diego_2025-12-11_calendar.csv.gz
santiago,2025-07-27,False,no_price_column,santiago_2025-07-27_calendar.csv.gz
santiago,2025-08-29,False,price_nonempty_share=0.000,santiago_2025-08-29_calendar.csv.gz
santiago,2025-09-27,False,no_price_column,santiago_2025-09-27_calendar.csv.gz
santiago,2025-12-29,False,no_price_column,santiago_2025-12-29_calendar.csv.gz
singapore,2025-03-21,True,price_nonempty_share=1.000,singapore_2025-03-21_calendar.csv.gz
singapore,2025-04-26,False,no_price_column,singapore_2025-04-26_calendar.csv.gz
singapore,2025-05-28,True,price_nonempty_share=1.000,singapore_2025-05-28_calendar.csv.gz
singapore,2025-06-25,False,price_nonempty_share=0.000,singapore_2025-06-25_calendar.csv.gz
singapore,2025-07-27,False,price_nonempty_share=0.000,singapore_2025-07-27_calendar.csv.gz
singapore,2025-08-30,False,price_nonempty_share=0.000,singapore_2025-08-30_calendar.csv.gz
singapore,2025-09-28,False,price_nonempty_share=0.000,singapore_2025-09-28_calendar.csv.gz
singapore,2025-12-29,False,no_price_column,singapore_2025-12-29_calendar.csv.gz
sunshine-coast,2025-03-28,True,price_nonempty_share=1.000,sunshine-coast_2025-03-28_calendar.csv.gz
sunshine-coast,2025-04-30,True,price_nonempty_share=1.000,sunshine-coast_2025-04-30_calendar.csv.gz
sunshine-coast,2025-06-28,False,price_nonempty_share=0.000,sunshine-coast_2025-06-28_calendar.csv.gz
sunshine-coast,2025-07-30,False,price_nonempty_share=0.000,sunshine-coast_2025-07-30_calendar.csv.gz
sunshine-coast,2025-08-31,False,price_nonempty_share=0.000,sunshine-coast_2025-08-31_calendar.csv.gz
sunshine-coast,2025-11-30,False,no_price_column,sunshine-coast_2025-11-30_calendar.csv.gz
sydney,2025-08-05,False,price_nonempty_share=0.000,sydney_2025-08-05_calendar.csv.gz
sydney,2025-09-12,False,price_nonempty_share=0.000,sydney_2025-09-12_calendar.csv.gz
sydney,2025-12-12,False,no_price_column,sydney_2025-12-12_calendar.csv.gz
taipei,2025-03-28,True,price_nonempty_share=1.000,taipei_2025-03-28_calendar.csv.gz
taipei,2025-04-30,False,no_price_column,taipei_2025-04-30_calendar.csv.gz
taipei,2025-06-29,False,price_nonempty_share=0.000,taipei_2025-06-29_calendar.csv.gz
taipei,2025-07-31,False,price_nonempty_share=0.000,taipei_2025-07-31_calendar.csv.gz
taipei,2025-08-31,False,no_price_column,taipei_2025-08-31_calendar.csv.gz
taipei,2025-09-30,False,price_nonempty_share=0.000,taipei_2025-09-30_calendar.csv.gz
taipei,2025-11-30,False,no_price_column,taipei_2025-11-30_calendar.csv.gz
tasmania,2025-03-02,True,price_nonempty_share=1.000,tasmania_2025-03-02_calendar.csv.gz
tasmania,2025-04-05,True,price_nonempty_share=1.000,tasmania_2025-04-05_calendar.csv.gz
tasmania,2025-05-03,True,price_nonempty_share=1.000,tasmania_2025-05-03_calendar.csv.gz
tasmania,2025-07-05,False,price_nonempty_share=0.000,tasmania_2025-07-05_calendar.csv.gz
tasmania,2025-08-04,False,price_nonempty_share=0.000,tasmania_2025-08-04_calendar.csv.gz
tasmania,2025-09-11,False,price_nonempty_share=0.000,tasmania_2025-09-11_calendar.csv.gz
tasmania,2025-12-12,False,no_price_column,tasmania_2025-12-12_calendar.csv.gz
tokyo,2025-03-23,True,price_nonempty_share=1.000,tokyo_2025-03-23_calendar.csv.gz
tokyo,2025-04-27,True,price_nonempty_share=1.000,tokyo_2025-04-27_calendar.csv.gz
tokyo,2025-06-27,False,price_nonempty_share=0.000,tokyo_2025-06-27_calendar.csv.gz
tokyo,2025-07-29,False,price_nonempty_share=0.000,tokyo_2025-07-29_calendar.csv.gz
tokyo,2025-08-30,False,price_nonempty_share=0.000,tokyo_2025-08-30_calendar.csv.gz
tokyo,2025-09-29,False,price_nonempty_share=0.000,tokyo_2025-09-29_calendar.csv.gz
tokyo,2025-12-29,False,no_price_column,tokyo_2025-12-29_calendar.csv.gz
western-australia,2025-03-18,True,price_nonempty_share=1.000,western-australia_2025-03-18_calendar.csv.gz
western-australia,2025-04-23,True,price_nonempty_share=1.000,western-australia_2025-04-23_calendar.csv.gz
western-australia,2025-05-26,True,price_nonempty_share=1.000,western-australia_2025-05-26_calendar.csv.gz
western-australia,2025-06-23,False,price_nonempty_share=0.000,western-australia_2025-06-23_calendar.csv.gz
western-australia,2025-07-26,False,price_nonempty_share=0.000,western-australia_2025-07-26_calendar.csv.gz
western-australia,2025-08-28,False,no_price_column,western-australia_2025-08-28_calendar.csv.gz
western-australia,2025-09-26,False,no_price_column,western-australia_2025-09-26_calendar.csv.gz
western-australia,2025-12-28,False,no_price_column,western-australia_2025-12-28_calendar.csv.gz
