method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
guidance-policy,print_from_guide,revenue_musd,2023Q1,2023-02-14,0,1847.904064752549,1847.904064752549,W1,PIT,1,10,1780.7230936052142,1795.5614870678455,1820.355791942963,1875.452337562135,1900.2466424372524,1915.0850358998837,40.843130383489644,,,,,,,,2023-02-14,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2024Q2,2024-05-08,0,2780.5746964338723,2780.5746964338723,W2,PIT,1,15,2726.3210389897004,2738.3041512042873,2758.327406305957,2802.8219865617875,2822.8452416634573,2834.8283538780443,32.983881699385144,,,,,,,,2024-05-08,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2024Q2,2024-05-08,0,2778.8606220128604,2778.8606220128604,W1,full_sample,1,15,2707.9245359224783,2723.592329021208,2749.7725243225723,2807.9487197031485,2834.1289150045127,2849.7967081032425,43.12607816772913,,,,,,,,2024-05-08,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2024Q2,2024-05-08,0,2778.8606220128604,2778.8606220128604,W2,full_sample,1,15,2707.9245359224783,2723.592329021208,2749.7725243225723,2807.9487197031485,2834.1289150045127,2849.7967081032425,43.12607816772913,,,,,,,,2024-05-08,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2024Q3,2024-08-06,0,3797.5052979979923,3797.5052979979923,W1,PIT,1,16,3725.960327301402,3741.762605942778,3768.1675206892805,3826.843075306704,3853.2479900532066,3869.050268694583,43.49625372391965,,,,,,,,2024-08-06,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2024Q3,2024-08-06,0,3797.5052979979923,3797.5052979979923,W2,PIT,1,16,3725.960327301402,3741.762605942778,3768.1675206892805,3826.843075306704,3853.2479900532066,3869.050268694583,43.49625372391965,,,,,,,,2024-08-06,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2024Q3,2024-08-06,0,3794.016347397632,3794.016347397632,W1,full_sample,1,16,3697.1663405583654,3718.5577923905794,3754.3019704773124,3833.730724317952,3869.474902404685,3890.866354236899,58.880623328633874,,,,,,,,2024-08-06,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2024Q3,2024-08-06,0,3794.016347397632,3794.016347397632,W2,full_sample,1,16,3697.1663405583654,3718.5577923905794,3754.3019704773124,3833.730724317952,3869.474902404685,3890.866354236899,58.880623328633874,,,,,,,,2024-08-06,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2024Q4,2024-11-07,0,2475.4926233313317,2475.4926233313317,W1,PIT,1,17,2422.956420145034,2434.5601948538188,2453.9495936156413,2497.035653047022,2516.4250518088447,2528.0288265176296,31.939743649814574,,,,,,,,2024-11-07,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2024Q4,2024-11-07,0,2475.4926233313317,2475.4926233313317,W2,PIT,1,17,2422.956420145034,2434.5601948538188,2453.9495936156413,2497.035653047022,2516.4250518088447,2528.0288265176296,31.939743649814574,,,,,,,,2024-11-07,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2024Q4,2024-11-07,0,2476.3647240446708,2476.3647240446708,W1,full_sample,1,17,2413.150462823906,2427.112721249527,2450.4430428926244,2502.286405196717,2525.6167268398144,2539.5789852654357,38.43154198341914,,,,,,,,2024-11-07,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2024Q4,2024-11-07,0,2476.3647240446708,2476.3647240446708,W2,full_sample,1,17,2413.150462823906,2427.112721249527,2450.4430428926244,2502.286405196717,2525.6167268398144,2539.5789852654357,38.43154198341914,,,,,,,,2024-11-07,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2025Q1,2025-02-13,0,2304.4525605571416,2304.4525605571416,W1,PIT,1,18,2257.190392879361,2267.629280974053,2285.0722052790898,2323.8329158351935,2341.2758401402302,2351.7147282349224,28.733357730666455,,,,,,,,2025-02-13,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2025Q1,2025-02-13,0,2304.4525605571416,2304.4525605571416,W2,PIT,1,18,2257.190392879361,2267.629280974053,2285.0722052790898,2323.8329158351935,2341.2758401402302,2351.7147282349224,28.733357730666455,,,,,,,,2025-02-13,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2025Q1,2025-02-13,0,2307.172103147209,2307.172103147209,W1,full_sample,1,18,2248.276828717925,2261.2851440212985,2283.021468533501,2331.322737760917,2353.0590622731193,2366.0673775764926,35.805784456601685,,,,,,,,2025-02-13,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2025Q1,2025-02-13,0,2307.172103147209,2307.172103147209,W2,full_sample,1,18,2248.276828717925,2261.2851440212985,2283.021468533501,2331.322737760917,2353.0590622731193,2366.0673775764926,35.805784456601685,,,,,,,,2025-02-13,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2025Q2,2025-05-01,0,3089.7995563511695,3089.7995563511695,W1,PIT,1,19,3021.7716851901537,3036.797135127437,3061.9040031700606,3117.6951095322784,3142.801977574902,3157.8274275121853,41.358009032753266,,,,,,,,2025-05-01,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2025Q2,2025-05-01,0,3089.7995563511695,3089.7995563511695,W2,PIT,1,19,3021.7716851901537,3036.797135127437,3061.9040031700606,3117.6951095322784,3142.801977574902,3157.8274275121853,41.358009032753266,,,,,,,,2025-05-01,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2025Q2,2025-05-01,0,3096.7376673353647,3096.7376673353647,W1,full_sample,1,19,3017.6871212125034,3035.147171086365,3064.3221488760764,3129.153185794653,3158.3281635843646,3175.788213458226,48.05931958174981,,,,,,,,2025-05-01,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2025Q2,2025-05-01,0,3096.7376673353647,3096.7376673353647,W2,full_sample,1,19,3017.6871212125034,3035.147171086365,3064.3221488760764,3129.153185794653,3158.3281635843646,3175.788213458226,48.05931958174981,,,,,,,,2025-05-01,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2025Q3,2025-08-06,0,4148.845512842963,4148.845512842963,W1,PIT,1,20,4063.1055717510603,4082.0431214717146,4113.686936723284,4184.0040889626425,4215.647904214212,4234.585453934866,52.1261829545349,,,,,,,,2025-08-06,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2025Q3,2025-08-06,0,4148.845512842963,4148.845512842963,W2,PIT,1,20,4063.1055717510603,4082.0431214717146,4113.686936723284,4184.0040889626425,4215.647904214212,4234.585453934866,52.1261829545349,,,,,,,,2025-08-06,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2025Q3,2025-08-06,0,4163.163883901186,4163.163883901186,W1,full_sample,1,20,4056.8906331532335,4080.3634154339875,4119.585405442673,4206.742362359699,4245.964352368384,4269.437134649138,64.60954884169014,,,,,,,,2025-08-06,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2025Q3,2025-08-06,0,4163.163883901186,4163.163883901186,W2,full_sample,1,20,4056.8906331532335,4080.3634154339875,4119.585405442673,4206.742362359699,4245.964352368384,4269.437134649138,64.60954884169014,,,,,,,,2025-08-06,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2025Q4,2025-11-06,0,2747.0467926243923,2747.0467926243923,W1,PIT,1,21,2687.503955759925,2700.6552994542367,2722.6306181365053,2771.4629671122793,2793.438285794548,2806.58962948886,36.19947446316084,,,,,,,,2025-11-06,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2025Q4,2025-11-06,0,2747.0467926243923,2747.0467926243923,W2,PIT,1,21,2687.503955759925,2700.6552994542367,2722.6306181365053,2771.4629671122793,2793.438285794548,2806.58962948886,36.19947446316084,,,,,,,,2025-11-06,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2025Q4,2025-11-06,0,2758.3524255404404,2758.3524255404404,W1,full_sample,1,21,2687.939853000541,2703.4920166299075,2729.4790001578294,2787.2258509230514,2813.2128344509733,2828.76499808034,42.80780452811489,,,,,,,,2025-11-06,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2025Q4,2025-11-06,0,2758.3524255404404,2758.3524255404404,W2,full_sample,1,21,2687.939853000541,2703.4920166299075,2729.4790001578294,2787.2258509230514,2813.2128344509733,2828.76499808034,42.80780452811489,,,,,,,,2025-11-06,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2026Q1,2026-02-12,0,2665.704491538303,2665.704491538303,W1,PIT,1,22,2607.3650840689434,2620.250623941665,2641.781796092432,2689.627186984174,2711.1583591349413,2724.0438990076627,35.46784134068184,,,,,,,,2026-02-12,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2026Q1,2026-02-12,0,2665.704491538303,2665.704491538303,W2,PIT,1,22,2607.3650840689434,2620.250623941665,2641.781796092432,2689.627186984174,2711.1583591349413,2724.0438990076627,35.46784134068184,,,,,,,,2026-02-12,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2026Q1,2026-02-12,0,2676.319639650762,2676.319639650762,W1,full_sample,1,22,2608.0011213127927,2623.0907670647057,2648.3049034988608,2704.334375802663,2729.548512236818,2744.638157988731,41.534709969657946,,,,,,,,2026-02-12,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2026Q1,2026-02-12,0,2676.319639650762,2676.319639650762,W2,full_sample,1,22,2608.0011213127927,2623.0907670647057,2648.3049034988608,2704.334375802663,2729.548512236818,2744.638157988731,41.534709969657946,,,,,,,,2026-02-12,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2026Q2,2026-05-07,0,3637.7931074335247,3637.7931074335247,W1,PIT,1,23,3579.5511503226626,3592.415166142698,3613.9103725451664,3661.675842321883,3683.1710487243513,3696.035064544387,35.408595729460835,,,,,,,,2026-05-07,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2026Q2,2026-05-07,0,3637.7931074335247,3637.7931074335247,W2,PIT,1,23,3579.5511503226626,3592.415166142698,3613.9103725451664,3661.675842321883,3683.1710487243513,3696.035064544387,35.408595729460835,,,,,,,,2026-05-07,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2026Q2,2026-05-07,0,3660.7130703269045,3660.7130703269045,W1,full_sample,1,23,3567.265901565774,3587.9057618471265,3622.394063406488,3699.032077247321,3733.5203788066824,3754.160239088035,56.81184467114133,,,,,,,,2026-05-07,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2026Q2,2026-05-07,0,3660.7130703269045,3660.7130703269045,W2,full_sample,1,23,3567.265901565774,3587.9057618471265,3622.394063406488,3699.032077247321,3733.5203788066824,3754.160239088035,56.81184467114133,,,,,,,,2026-05-07,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2026Q3,2026-08-06,0,4817.8239468939755,4817.8239468939755,LIVE,PIT,1,24,4738.197446824871,4755.78470878163,4785.17225238415,4850.475641403801,4879.863185006321,4897.45044696308,48.409474718235174,,,,,,,,2026-08-06,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2026Q3,2026-08-06,0,4850.188465727243,4850.188465727243,LIVE,full_sample,1,24,4726.377511038127,4753.723880542551,4799.418464961537,4900.958466492949,4946.653050911935,4973.9994204163595,75.27171576876708,,,,,,,,2026-08-06,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
