check,passed
no intervening initial guide 43,True
selected snapshot 43,True
selected revenue 43,True
snapshot age 43,True
explicit inherited vendor 43,True
row-specific proof remains unavailable 43,True
availability 44,True
last company print 44,True
row-specific proof remains unavailable 44,True
availability 45,True
last company print 45,True
fixed calendar rule 45,True
no intervening company print 45,True
no intervening initial guide 45,True
row-specific proof remains unavailable 45,True
availability 46,True
last company print 46,True
row-specific proof remains unavailable 46,True
availability 47,True
last company print 47,True
fixed calendar rule 47,True
no intervening company print 47,True
no intervening initial guide 47,True
row-specific proof remains unavailable 47,True
availability 48,True
last company print 48,True
row-specific proof remains unavailable 48,True
availability 49,True
last company print 49,True
fixed calendar rule 49,True
no intervening company print 49,True
no intervening initial guide 49,True
selected snapshot 49,True
selected revenue 49,True
snapshot age 49,True
explicit inherited vendor 49,True
row-specific proof remains unavailable 49,True
availability 50,True
last company print 50,True
row-specific proof remains unavailable 50,True
availability 51,True
last company print 51,True
fixed calendar rule 51,True
no intervening company print 51,True
no intervening initial guide 51,True
row-specific proof remains unavailable 51,True
availability 52,True
last company print 52,True
row-specific proof remains unavailable 52,True
availability 53,True
last company print 53,True
fixed calendar rule 53,True
no intervening company print 53,True
no intervening initial guide 53,True
row-specific proof remains unavailable 53,True
availability 54,True
last company print 54,True
row-specific proof remains unavailable 54,True
availability 55,True
last company print 55,True
fixed calendar rule 55,True
no intervening company print 55,True
no intervening initial guide 55,True
selected snapshot 55,True
selected revenue 55,True
snapshot age 55,True
explicit inherited vendor 55,True
row-specific proof remains unavailable 55,True
availability 56,True
last company print 56,True
row-specific proof remains unavailable 56,True
availability 57,True
last company print 57,True
fixed calendar rule 57,True
no intervening company print 57,True
no intervening initial guide 57,True
row-specific proof remains unavailable 57,True
availability 58,True
last company print 58,True
row-specific proof remains unavailable 58,True
availability 59,True
last company print 59,True
fixed calendar rule 59,True
no intervening company print 59,True
no intervening initial guide 59,True
row-specific proof remains unavailable 59,True
availability 60,True
last company print 60,True
row-specific proof remains unavailable 60,True
availability 61,True
last company print 61,True
fixed calendar rule 61,True
no intervening company print 61,True
no intervening initial guide 61,True
selected snapshot 61,True
selected revenue 61,True
snapshot age 61,True
explicit inherited vendor 61,True
row-specific proof remains unavailable 61,True
availability 62,True
last company print 62,True
row-specific proof remains unavailable 62,True
availability 63,True
last company print 63,True
fixed calendar rule 63,True
no intervening company print 63,True
no intervening initial guide 63,True
row-specific proof remains unavailable 63,True
availability 64,True
last company print 64,True
row-specific proof remains unavailable 64,True
availability 65,True
last company print 65,True
fixed calendar rule 65,True
no intervening company print 65,True
no intervening initial guide 65,True
row-specific proof remains unavailable 65,True
availability 66,True
last company print 66,True
row-specific proof remains unavailable 66,True
availability 67,True
last company print 67,True
fixed calendar rule 67,True
no intervening company print 67,True
no intervening initial guide 67,True
selected snapshot 67,True
selected revenue 67,True
snapshot age 67,True
explicit inherited vendor 67,True
row-specific proof remains unavailable 67,True
availability 68,True
last company print 68,True
row-specific proof remains unavailable 68,True
availability 69,True
last company print 69,True
fixed calendar rule 69,True
no intervening company print 69,True
no intervening initial guide 69,True
row-specific proof remains unavailable 69,True
availability 70,True
last company print 70,True
row-specific proof remains unavailable 70,True
availability 71,True
last company print 71,True
fixed calendar rule 71,True
no intervening company print 71,True
no intervening initial guide 71,True
row-specific proof remains unavailable 71,True
availability 72,True
last company print 72,True
row-specific proof remains unavailable 72,True
availability 73,True
last company print 73,True
fixed calendar rule 73,True
no intervening company print 73,True
no intervening initial guide 73,True
selected snapshot 73,True
selected revenue 73,True
snapshot age 73,True
explicit inherited vendor 73,True
row-specific proof remains unavailable 73,True
availability 74,True
last company print 74,True
row-specific proof remains unavailable 74,True
availability 75,True
last company print 75,True
fixed calendar rule 75,True
no intervening company print 75,True
no intervening initial guide 75,True
row-specific proof remains unavailable 75,True
availability 76,True
last company print 76,True
row-specific proof remains unavailable 76,True
availability 77,True
last company print 77,True
fixed calendar rule 77,True
no intervening company print 77,True
no intervening initial guide 77,True
row-specific proof remains unavailable 77,True
availability 78,True
last company print 78,True
row-specific proof remains unavailable 78,True
availability 79,True
last company print 79,True
fixed calendar rule 79,True
no intervening company print 79,True
no intervening initial guide 79,True
selected snapshot 79,True
selected revenue 79,True
snapshot age 79,True
explicit inherited vendor 79,True
row-specific proof remains unavailable 79,True
availability 80,True
last company print 80,True
row-specific proof remains unavailable 80,True
availability 81,True
last company print 81,True
fixed calendar rule 81,True
no intervening company print 81,True
no intervening initial guide 81,True
row-specific proof remains unavailable 81,True
availability 82,True
last company print 82,True
row-specific proof remains unavailable 82,True
availability 83,True
last company print 83,True
fixed calendar rule 83,True
no intervening company print 83,True
no intervening initial guide 83,True
selected snapshot 83,True
selected revenue 83,True
snapshot age 83,True
explicit inherited vendor 83,True
row-specific proof remains unavailable 83,True
point binding 0revenue_musd,True
point binding 0guide_mid_musd,True
point binding 0cushion_divisor,True
point binding 0actual_revenue_musd,True
point binding 0actual_guide_mid_musd,True
point binding 1revenue_musd,True
point binding 1guide_mid_musd,True
point binding 1cushion_divisor,True
point binding 1actual_revenue_musd,True
point binding 1actual_guide_mid_musd,True
point binding 2revenue_musd,True
point binding 2guide_mid_musd,True
point binding 2cushion_divisor,True
point binding 2actual_revenue_musd,True
point binding 2actual_guide_mid_musd,True
point binding 3revenue_musd,True
point binding 3guide_mid_musd,True
point binding 3cushion_divisor,True
point binding 3actual_revenue_musd,True
point binding 3actual_guide_mid_musd,True
point binding 4revenue_musd,True
point binding 4guide_mid_musd,True
point binding 4cushion_divisor,True
point binding 4actual_revenue_musd,True
point binding 4actual_guide_mid_musd,True
point binding 5revenue_musd,True
point binding 5guide_mid_musd,True
point binding 5cushion_divisor,True
point binding 5actual_revenue_musd,True
point binding 5actual_guide_mid_musd,True
point binding 6revenue_musd,True
point binding 6guide_mid_musd,True
point binding 6cushion_divisor,True
point binding 6actual_revenue_musd,True
point binding 6actual_guide_mid_musd,True
implied guide 6,True
shared cushion cancellation 6,True
raw signal 6,True
realized proxy surprise 6,True
point binding 7revenue_musd,True
point binding 7guide_mid_musd,True
point binding 7cushion_divisor,True
point binding 7actual_revenue_musd,True
point binding 7actual_guide_mid_musd,True
implied guide 7,True
shared cushion cancellation 7,True
raw signal 7,True
realized proxy surprise 7,True
point binding 8revenue_musd,True
point binding 8guide_mid_musd,True
point binding 8cushion_divisor,True
point binding 8actual_revenue_musd,True
point binding 8actual_guide_mid_musd,True
implied guide 8,True
shared cushion cancellation 8,True
raw signal 8,True
realized proxy surprise 8,True
point binding 9revenue_musd,True
point binding 9guide_mid_musd,True
point binding 9cushion_divisor,True
point binding 9actual_revenue_musd,True
point binding 9actual_guide_mid_musd,True
point binding 10revenue_musd,True
point binding 10guide_mid_musd,True
point binding 10cushion_divisor,True
point binding 10actual_revenue_musd,True
point binding 10actual_guide_mid_musd,True
point binding 11revenue_musd,True
point binding 11guide_mid_musd,True
point binding 11cushion_divisor,True
point binding 11actual_revenue_musd,True
point binding 11actual_guide_mid_musd,True
point binding 12revenue_musd,True
point binding 12guide_mid_musd,True
point binding 12cushion_divisor,True
point binding 12actual_revenue_musd,True
point binding 12actual_guide_mid_musd,True
point binding 13revenue_musd,True
point binding 13guide_mid_musd,True
point binding 13cushion_divisor,True
point binding 13actual_revenue_musd,True
point binding 13actual_guide_mid_musd,True
point binding 14revenue_musd,True
point binding 14guide_mid_musd,True
point binding 14cushion_divisor,True
point binding 14actual_revenue_musd,True
point binding 14actual_guide_mid_musd,True
point binding 15revenue_musd,True
point binding 15guide_mid_musd,True
point binding 15cushion_divisor,True
point binding 15actual_revenue_musd,True
point binding 15actual_guide_mid_musd,True
implied guide 15,True
shared cushion cancellation 15,True
raw signal 15,True
realized proxy surprise 15,True
point binding 16revenue_musd,True
point binding 16guide_mid_musd,True
point binding 16cushion_divisor,True
point binding 16actual_revenue_musd,True
point binding 16actual_guide_mid_musd,True
implied guide 16,True
shared cushion cancellation 16,True
raw signal 16,True
realized proxy surprise 16,True
point binding 17revenue_musd,True
point binding 17guide_mid_musd,True
point binding 17cushion_divisor,True
point binding 17actual_revenue_musd,True
point binding 17actual_guide_mid_musd,True
implied guide 17,True
shared cushion cancellation 17,True
raw signal 17,True
realized proxy surprise 17,True
point binding 18revenue_musd,True
point binding 18guide_mid_musd,True
point binding 18cushion_divisor,True
point binding 18actual_revenue_musd,True
point binding 18actual_guide_mid_musd,True
point binding 19revenue_musd,True
point binding 19guide_mid_musd,True
point binding 19cushion_divisor,True
point binding 19actual_revenue_musd,True
point binding 19actual_guide_mid_musd,True
point binding 20revenue_musd,True
point binding 20guide_mid_musd,True
point binding 20cushion_divisor,True
point binding 20actual_revenue_musd,True
point binding 20actual_guide_mid_musd,True
point binding 21revenue_musd,True
point binding 21guide_mid_musd,True
point binding 21cushion_divisor,True
point binding 21actual_revenue_musd,True
point binding 21actual_guide_mid_musd,True
point binding 22revenue_musd,True
point binding 22guide_mid_musd,True
point binding 22cushion_divisor,True
point binding 22actual_revenue_musd,True
point binding 22actual_guide_mid_musd,True
point binding 23revenue_musd,True
point binding 23guide_mid_musd,True
point binding 23cushion_divisor,True
point binding 23actual_revenue_musd,True
point binding 23actual_guide_mid_musd,True
point binding 24revenue_musd,True
point binding 24guide_mid_musd,True
point binding 24cushion_divisor,True
point binding 24actual_revenue_musd,True
point binding 24actual_guide_mid_musd,True
implied guide 24,True
shared cushion cancellation 24,True
raw signal 24,True
realized proxy surprise 24,True
point binding 25revenue_musd,True
point binding 25guide_mid_musd,True
point binding 25cushion_divisor,True
point binding 25actual_revenue_musd,True
point binding 25actual_guide_mid_musd,True
implied guide 25,True
shared cushion cancellation 25,True
raw signal 25,True
realized proxy surprise 25,True
point binding 26revenue_musd,True
point binding 26guide_mid_musd,True
point binding 26cushion_divisor,True
point binding 26actual_revenue_musd,True
point binding 26actual_guide_mid_musd,True
implied guide 26,True
shared cushion cancellation 26,True
raw signal 26,True
realized proxy surprise 26,True
point binding 27revenue_musd,True
point binding 27guide_mid_musd,True
point binding 27cushion_divisor,True
point binding 27actual_revenue_musd,True
point binding 27actual_guide_mid_musd,True
point binding 28revenue_musd,True
point binding 28guide_mid_musd,True
point binding 28cushion_divisor,True
point binding 28actual_revenue_musd,True
point binding 28actual_guide_mid_musd,True
point binding 29revenue_musd,True
point binding 29guide_mid_musd,True
point binding 29cushion_divisor,True
point binding 29actual_revenue_musd,True
point binding 29actual_guide_mid_musd,True
point binding 30revenue_musd,True
point binding 30guide_mid_musd,True
point binding 30cushion_divisor,True
point binding 30actual_revenue_musd,True
point binding 30actual_guide_mid_musd,True
point binding 31revenue_musd,True
point binding 31guide_mid_musd,True
point binding 31cushion_divisor,True
point binding 31actual_revenue_musd,True
point binding 31actual_guide_mid_musd,True
point binding 32revenue_musd,True
point binding 32guide_mid_musd,True
point binding 32cushion_divisor,True
point binding 32actual_revenue_musd,True
point binding 32actual_guide_mid_musd,True
point binding 33revenue_musd,True
point binding 33guide_mid_musd,True
point binding 33cushion_divisor,True
point binding 33actual_revenue_musd,True
point binding 33actual_guide_mid_musd,True
implied guide 33,True
shared cushion cancellation 33,True
raw signal 33,True
realized proxy surprise 33,True
point binding 34revenue_musd,True
point binding 34guide_mid_musd,True
point binding 34cushion_divisor,True
point binding 34actual_revenue_musd,True
point binding 34actual_guide_mid_musd,True
implied guide 34,True
shared cushion cancellation 34,True
raw signal 34,True
realized proxy surprise 34,True
point binding 35revenue_musd,True
point binding 35guide_mid_musd,True
point binding 35cushion_divisor,True
point binding 35actual_revenue_musd,True
point binding 35actual_guide_mid_musd,True
implied guide 35,True
shared cushion cancellation 35,True
raw signal 35,True
realized proxy surprise 35,True
point binding 36revenue_musd,True
point binding 36guide_mid_musd,True
point binding 36cushion_divisor,True
point binding 36actual_revenue_musd,True
point binding 36actual_guide_mid_musd,True
implied guide 36,True
shared cushion cancellation 36,True
raw signal 36,True
realized proxy surprise 36,True
point binding 37revenue_musd,True
point binding 37guide_mid_musd,True
point binding 37cushion_divisor,True
point binding 37actual_revenue_musd,True
point binding 37actual_guide_mid_musd,True
point binding 38revenue_musd,True
point binding 38guide_mid_musd,True
point binding 38cushion_divisor,True
point binding 38actual_revenue_musd,True
point binding 38actual_guide_mid_musd,True
point binding 39revenue_musd,True
point binding 39guide_mid_musd,True
point binding 39cushion_divisor,True
point binding 39actual_revenue_musd,True
point binding 39actual_guide_mid_musd,True
point binding 40revenue_musd,True
point binding 40guide_mid_musd,True
point binding 40cushion_divisor,True
point binding 40actual_revenue_musd,True
point binding 40actual_guide_mid_musd,True
point binding 41revenue_musd,True
point binding 41guide_mid_musd,True
point binding 41cushion_divisor,True
point binding 41actual_revenue_musd,True
point binding 41actual_guide_mid_musd,True
point binding 42revenue_musd,True
point binding 42guide_mid_musd,True
point binding 42cushion_divisor,True
point binding 42actual_revenue_musd,True
point binding 42actual_guide_mid_musd,True
point binding 43revenue_musd,True
point binding 43guide_mid_musd,True
point binding 43cushion_divisor,True
point binding 43actual_revenue_musd,True
point binding 43actual_guide_mid_musd,True
point binding 44revenue_musd,True
point binding 44guide_mid_musd,True
point binding 44cushion_divisor,True
point binding 44actual_revenue_musd,True
point binding 44actual_guide_mid_musd,True
point binding 45revenue_musd,True
point binding 45guide_mid_musd,True
point binding 45cushion_divisor,True
point binding 45actual_revenue_musd,True
point binding 45actual_guide_mid_musd,True
implied guide 45,True
shared cushion cancellation 45,True
raw signal 45,True
realized proxy surprise 45,True
point binding 46revenue_musd,True
point binding 46guide_mid_musd,True
point binding 46cushion_divisor,True
point binding 46actual_revenue_musd,True
point binding 46actual_guide_mid_musd,True
implied guide 46,True
shared cushion cancellation 46,True
raw signal 46,True
realized proxy surprise 46,True
point binding 47revenue_musd,True
point binding 47guide_mid_musd,True
point binding 47cushion_divisor,True
point binding 47actual_revenue_musd,True
point binding 47actual_guide_mid_musd,True
implied guide 47,True
shared cushion cancellation 47,True
raw signal 47,True
realized proxy surprise 47,True
point binding 48revenue_musd,True
point binding 48guide_mid_musd,True
point binding 48cushion_divisor,True
point binding 48actual_revenue_musd,True
point binding 48actual_guide_mid_musd,True
implied guide 48,True
shared cushion cancellation 48,True
raw signal 48,True
realized proxy surprise 48,True
point binding 49revenue_musd,True
point binding 49guide_mid_musd,True
point binding 49cushion_divisor,True
point binding 49actual_revenue_musd,True
point binding 49actual_guide_mid_musd,True
point binding 50revenue_musd,True
point binding 50guide_mid_musd,True
point binding 50cushion_divisor,True
point binding 50actual_revenue_musd,True
point binding 50actual_guide_mid_musd,True
point binding 51revenue_musd,True
point binding 51guide_mid_musd,True
point binding 51cushion_divisor,True
point binding 51actual_revenue_musd,True
point binding 51actual_guide_mid_musd,True
point binding 52revenue_musd,True
point binding 52guide_mid_musd,True
point binding 52cushion_divisor,True
point binding 52actual_revenue_musd,True
point binding 52actual_guide_mid_musd,True
point binding 53revenue_musd,True
point binding 53guide_mid_musd,True
point binding 53cushion_divisor,True
point binding 53actual_revenue_musd,True
point binding 53actual_guide_mid_musd,True
point binding 54revenue_musd,True
point binding 54guide_mid_musd,True
point binding 54cushion_divisor,True
point binding 54actual_revenue_musd,True
point binding 54actual_guide_mid_musd,True
point binding 55revenue_musd,True
point binding 55guide_mid_musd,True
point binding 55cushion_divisor,True
point binding 55actual_revenue_musd,True
point binding 55actual_guide_mid_musd,True
point binding 56revenue_musd,True
point binding 56guide_mid_musd,True
point binding 56cushion_divisor,True
point binding 56actual_revenue_musd,True
point binding 56actual_guide_mid_musd,True
point binding 57revenue_musd,True
point binding 57guide_mid_musd,True
point binding 57cushion_divisor,True
point binding 57actual_revenue_musd,True
point binding 57actual_guide_mid_musd,True
implied guide 57,True
shared cushion cancellation 57,True
raw signal 57,True
realized proxy surprise 57,True
point binding 58revenue_musd,True
point binding 58guide_mid_musd,True
point binding 58cushion_divisor,True
point binding 58actual_revenue_musd,True
point binding 58actual_guide_mid_musd,True
implied guide 58,True
shared cushion cancellation 58,True
raw signal 58,True
realized proxy surprise 58,True
point binding 59revenue_musd,True
point binding 59guide_mid_musd,True
point binding 59cushion_divisor,True
point binding 59actual_revenue_musd,True
point binding 59actual_guide_mid_musd,True
implied guide 59,True
shared cushion cancellation 59,True
raw signal 59,True
realized proxy surprise 59,True
point binding 60revenue_musd,True
point binding 60guide_mid_musd,True
point binding 60cushion_divisor,True
point binding 60actual_revenue_musd,True
point binding 60actual_guide_mid_musd,True
implied guide 60,True
shared cushion cancellation 60,True
raw signal 60,True
realized proxy surprise 60,True
point binding 61revenue_musd,True
point binding 61guide_mid_musd,True
point binding 61cushion_divisor,True
point binding 61actual_revenue_musd,True
point binding 61actual_guide_mid_musd,True
point binding 62revenue_musd,True
point binding 62guide_mid_musd,True
point binding 62cushion_divisor,True
point binding 62actual_revenue_musd,True
point binding 62actual_guide_mid_musd,True
point binding 63revenue_musd,True
point binding 63guide_mid_musd,True
point binding 63cushion_divisor,True
point binding 63actual_revenue_musd,True
point binding 63actual_guide_mid_musd,True
point binding 64revenue_musd,True
point binding 64guide_mid_musd,True
point binding 64cushion_divisor,True
point binding 64actual_revenue_musd,True
point binding 64actual_guide_mid_musd,True
point binding 65revenue_musd,True
point binding 65guide_mid_musd,True
point binding 65cushion_divisor,True
point binding 65actual_revenue_musd,True
point binding 65actual_guide_mid_musd,True
point binding 66revenue_musd,True
point binding 66guide_mid_musd,True
point binding 66cushion_divisor,True
point binding 66actual_revenue_musd,True
point binding 66actual_guide_mid_musd,True
point binding 67revenue_musd,True
point binding 67guide_mid_musd,True
point binding 67cushion_divisor,True
point binding 67actual_revenue_musd,True
point binding 67actual_guide_mid_musd,True
point binding 68revenue_musd,True
point binding 68guide_mid_musd,True
point binding 68cushion_divisor,True
point binding 68actual_revenue_musd,True
point binding 68actual_guide_mid_musd,True
point binding 69revenue_musd,True
point binding 69guide_mid_musd,True
point binding 69cushion_divisor,True
point binding 69actual_revenue_musd,True
point binding 69actual_guide_mid_musd,True
implied guide 69,True
shared cushion cancellation 69,True
raw signal 69,True
realized proxy surprise 69,True
point binding 70revenue_musd,True
point binding 70guide_mid_musd,True
point binding 70cushion_divisor,True
point binding 70actual_revenue_musd,True
point binding 70actual_guide_mid_musd,True
implied guide 70,True
shared cushion cancellation 70,True
raw signal 70,True
realized proxy surprise 70,True
point binding 71revenue_musd,True
point binding 71guide_mid_musd,True
point binding 71cushion_divisor,True
point binding 71actual_revenue_musd,True
point binding 71actual_guide_mid_musd,True
implied guide 71,True
shared cushion cancellation 71,True
raw signal 71,True
realized proxy surprise 71,True
point binding 72revenue_musd,True
point binding 72guide_mid_musd,True
point binding 72cushion_divisor,True
point binding 72actual_revenue_musd,True
point binding 72actual_guide_mid_musd,True
implied guide 72,True
shared cushion cancellation 72,True
raw signal 72,True
realized proxy surprise 72,True
point binding 73revenue_musd,True
point binding 73guide_mid_musd,True
point binding 73cushion_divisor,True
point binding 73actual_revenue_musd,True
point binding 73actual_guide_mid_musd,True
point binding 74revenue_musd,True
point binding 74guide_mid_musd,True
point binding 74cushion_divisor,True
point binding 74actual_revenue_musd,True
point binding 74actual_guide_mid_musd,True
point binding 75revenue_musd,True
point binding 75guide_mid_musd,True
point binding 75cushion_divisor,True
point binding 75actual_revenue_musd,True
point binding 75actual_guide_mid_musd,True
point binding 76revenue_musd,True
point binding 76guide_mid_musd,True
point binding 76cushion_divisor,True
point binding 76actual_revenue_musd,True
point binding 76actual_guide_mid_musd,True
point binding 77revenue_musd,True
point binding 77guide_mid_musd,True
point binding 77cushion_divisor,True
point binding 77actual_revenue_musd,True
point binding 77actual_guide_mid_musd,True
point binding 78revenue_musd,True
point binding 78guide_mid_musd,True
point binding 78cushion_divisor,True
point binding 78actual_revenue_musd,True
point binding 78actual_guide_mid_musd,True
point binding 79revenue_musd,True
point binding 79guide_mid_musd,True
point binding 79cushion_divisor,True
point binding 79actual_revenue_musd,True
point binding 79actual_guide_mid_musd,True
point binding 80revenue_musd,True
point binding 80guide_mid_musd,True
point binding 80cushion_divisor,True
point binding 80actual_revenue_musd,True
point binding 80actual_guide_mid_musd,True
point binding 81revenue_musd,True
point binding 81guide_mid_musd,True
point binding 81cushion_divisor,True
point binding 81actual_revenue_musd,True
point binding 81actual_guide_mid_musd,True
implied guide 81,True
shared cushion cancellation 81,True
raw signal 81,True
realized proxy surprise 81,True
point binding 82revenue_musd,True
point binding 82guide_mid_musd,True
point binding 82cushion_divisor,True
point binding 82actual_revenue_musd,True
point binding 82actual_guide_mid_musd,True
implied guide 82,True
shared cushion cancellation 82,True
raw signal 82,True
realized proxy surprise 82,True
point binding 83revenue_musd,True
point binding 83guide_mid_musd,True
point binding 83cushion_divisor,True
point binding 83actual_revenue_musd,True
point binding 83actual_guide_mid_musd,True
implied guide 83,True
shared cushion cancellation 83,True
raw signal 83,True
realized proxy surprise 83,True
point binding 84revenue_musd,True
point binding 84guide_mid_musd,True
point binding 84cushion_divisor,True
point binding 84actual_revenue_musd,True
point binding 84actual_guide_mid_musd,True
implied guide 84,True
shared cushion cancellation 84,True
raw signal 84,True
realized proxy surprise 84,True
point binding 85revenue_musd,True
point binding 85guide_mid_musd,True
point binding 85cushion_divisor,True
point binding 85actual_revenue_musd,True
point binding 85actual_guide_mid_musd,True
point binding 86revenue_musd,True
point binding 86guide_mid_musd,True
point binding 86cushion_divisor,True
point binding 86actual_revenue_musd,True
point binding 86actual_guide_mid_musd,True
point binding 87revenue_musd,True
point binding 87guide_mid_musd,True
point binding 87cushion_divisor,True
point binding 87actual_revenue_musd,True
point binding 87actual_guide_mid_musd,True
point binding 88revenue_musd,True
point binding 88guide_mid_musd,True
point binding 88cushion_divisor,True
point binding 88actual_revenue_musd,True
point binding 88actual_guide_mid_musd,True
point binding 89revenue_musd,True
point binding 89guide_mid_musd,True
point binding 89cushion_divisor,True
point binding 89actual_revenue_musd,True
point binding 89actual_guide_mid_musd,True
point binding 90revenue_musd,True
point binding 90guide_mid_musd,True
point binding 90cushion_divisor,True
point binding 90actual_revenue_musd,True
point binding 90actual_guide_mid_musd,True
point binding 91revenue_musd,True
