snapshot_date,base,quote,rate_per_usd
2024-03-03,usd,luf,37.20614871
2024-03-03,usd,luna,1.36252357
2024-03-03,usd,lunc,5262.2414438
2024-03-03,usd,lusd,1.0060765
2024-03-03,usd,lvl,0.64820392
2024-03-03,usd,lyd,4.82849784
2024-03-03,usd,lyx,0.15754361
2024-03-03,usd,lyxe,0.15556313
2024-03-03,usd,mad,10.07933319
2024-03-03,usd,magic,0.73236237
2024-03-03,usd,mana,1.50191575
2024-03-03,usd,manta,0.34564033
2024-03-03,usd,mask,0.20258566
2024-03-03,usd,math,5.15596689
2024-03-03,usd,matic,0.91405849
2024-03-03,usd,mav,1.30329199
2024-03-03,usd,mavia,0.16022316
2024-03-03,usd,mbx,1.0478024
2024-03-03,usd,mco2,1.43727868
2024-03-03,usd,mdl,17.69000517
2024-03-03,usd,mdt,10.62899659
2024-03-03,usd,media,0.060160696
2024-03-03,usd,meme,23.2007128
2024-03-03,usd,meth,0.0002854018
2024-03-03,usd,metis,0.009282749
2024-03-03,usd,mga,4544.3564095
2024-03-03,usd,mgf,22721.78204751
2024-03-03,usd,mina,0.71530561
2024-03-03,usd,mir,31.35301955
2024-03-03,usd,mkd,56.80000734
2024-03-03,usd,mkr,0.00046621163
2024-03-03,usd,mkusd,1.01789735
2024-03-03,usd,mln,0.046342819
2024-03-03,usd,mmk,2096.43579855
2024-03-03,usd,mnde,3.74393735
2024-03-03,usd,mnt,3379.01772531
2024-03-03,usd,mobile,292.70932256
2024-03-03,usd,mona,0.0040651115
2024-03-03,usd,mop,8.06344686
2024-03-03,usd,movr,0.038943421
2024-03-03,usd,mpl,0.066874252
2024-03-03,usd,mro,399.7952653
2024-03-03,usd,mru,39.97952653
2024-03-03,usd,msol,0.0065645994
2024-03-03,usd,mtl,0.3959504
2024-03-03,usd,mubi,6.43997391
2024-03-03,usd,multi,1.53727745
2024-03-03,usd,mur,45.78978544
2024-03-03,usd,muse,0.072815277
2024-03-03,usd,mvr,15.45999179
2024-03-03,usd,mwk,1683.50097864
2024-03-03,usd,mx,0.3402365
2024-03-03,usd,mxc,58.17958438
2024-03-03,usd,mxn,17.01884959
2024-03-03,usd,mxv,2.09855413
2024-03-03,usd,myr,4.74409997
2024-03-03,usd,mzm,63817.41316079
2024-03-03,usd,mzn,63.81741316
2024-03-03,usd,nad,19.11776182
2024-03-03,usd,nct,52.05582179
2024-03-03,usd,near,0.22876332
2024-03-03,usd,neo,0.059625215
2024-03-03,usd,neon,0.63649705
2024-03-03,usd,nest,233.94011148
2024-03-03,usd,nexo,0.71816017
2024-03-03,usd,nft,1812052.87409338
2024-03-03,usd,ngn,1543.55785948
2024-03-03,usd,nio,36.62452813
2024-03-03,usd,nkn,6.57970528
2024-03-03,usd,nlg,2.03251773
2024-03-03,usd,nmr,0.029249545
2024-03-03,usd,nok,10.54647594
2024-03-03,usd,nos,0.18930188
2024-03-03,usd,npr,132.60603937
2024-03-03,usd,ntrn,0.68672771
2024-03-03,usd,nu,8.95270742
2024-03-03,usd,nxm,0.013962842
2024-03-03,usd,nzd,1.63682532
2024-03-03,usd,oas,8.20326122
2024-03-03,usd,ocean,0.93556434
2024-03-03,usd,ogn,4.56567519
2024-03-03,usd,ohm,0.080591291
2024-03-03,usd,okb,0.01806591
2024-03-03,usd,okt,0.047214435
2024-03-03,usd,olas,0.1556415
2024-03-03,usd,om,3.67213529
2024-03-03,usd,omg,0.9305164
2024-03-03,usd,omi,1071.46418695
2024-03-03,usd,omr,0.38510249
2024-03-03,usd,ondo,2.05343669
2024-03-03,usd,one,36.17155722
2024-03-03,usd,ont,3.12543219
2024-03-03,usd,ooki,392.17195395
2024-03-03,usd,op,0.23436725
2024-03-03,usd,orca,0.20786216
2024-03-03,usd,ordi,0.012380456
2024-03-03,usd,orn,0.54523191
2024-03-03,usd,osmo,0.6199425
2024-03-03,usd,ox,59.325904
2024-03-03,usd,oxt,6.90426474
2024-03-03,usd,paal,1.86828948
2024-03-03,usd,pab,1
2024-03-03,usd,pandora,4.1257352e-05
2024-03-03,usd,pax,1.0103207
2024-03-03,usd,paxg,0.00049285965
2024-03-03,usd,pen,3.77172088
2024-03-03,usd,pendle,0.29267002
2024-03-03,usd,people,20.35683719
2024-03-03,usd,pepe,233918.08846538
2024-03-03,usd,perp,0.6740802
2024-03-03,usd,pgk,3.7735953
2024-03-03,usd,php,56.11403258
2024-03-03,usd,pixel,1.83965152
2024-03-03,usd,pkr,279.25096214
2024-03-03,usd,pla,3.06876003
2024-03-03,usd,pln,3.98345898
2024-03-03,usd,plu,0.18882513
2024-03-03,usd,png,2.12187805
2024-03-03,usd,pokt,4.24606351
2024-03-03,usd,pols,0.9224141
2024-03-03,usd,poly,6.42665831
2024-03-03,usd,polyx,4.53194489
2024-03-03,usd,pond,39.55625193
2024-03-03,usd,pork,2781549.6153822
2024-03-03,usd,portal,0.46408766
2024-03-03,usd,powr,2.51324253
2024-03-03,usd,prime,0.065602961
2024-03-03,usd,pro,1.86903198
2024-03-03,usd,prom,0.0895843
2024-03-03,usd,prq,6.73694496
2024-03-03,usd,pte,184.90782343
2024-03-03,usd,pundix,1.82656173
2024-03-03,usd,pyg,7309.54269372
2024-03-03,usd,pyr,0.11519028
2024-03-03,usd,pyth,1.45807981
2024-03-03,usd,pyusd,1.00145917
2024-03-03,usd,qar,3.64
2024-03-03,usd,qi,43.48162903
2024-03-03,usd,qnt,0.0078427536
2024-03-03,usd,qsp,205.44065111
2024-03-03,usd,qtum,0.23395868
2024-03-03,usd,quick,0.010602007
2024-03-03,usd,rad,0.43511877
2024-03-03,usd,rai,0.36928899
2024-03-03,usd,rare,6.36624156
2024-03-03,usd,rari,0.57681451
2024-03-03,usd,ray,0.83023016
2024-03-03,usd,rbn,1.279712
2024-03-03,usd,ren,10.74283198
2024-03-03,usd,render,0.12965902
2024-03-03,usd,rep,0.89384126
2024-03-03,usd,repv2,0.89384126
2024-03-03,usd,req,7.92691623
2024-03-03,usd,reth,0.00026584836
2024-03-03,usd,rgt,2.11122591
2024-03-03,usd,rif,4.38697177
2024-03-03,usd,rlb,7.60228732
2024-03-03,usd,rlc,0.25525695
2024-03-03,usd,rly,102.5068535
2024-03-03,usd,rndr,0.13017286
2024-03-03,usd,rol,45944.81208047
2024-03-03,usd,ron,4.59448121
2024-03-03,usd,rose,6.25815698
2024-03-03,usd,rpl,0.032021075
2024-03-03,usd,rsd,108.27337623
2024-03-03,usd,rub,91.66777287
2024-03-03,usd,rune,0.17312984
2024-03-03,usd,rvn,35.18052822
2024-03-03,usd,rwf,1278.55139221
2024-03-03,usd,sand,1.48002543
2024-03-03,usd,sar,3.75
2024-03-03,usd,sats,1522876.26854226
2024-03-03,usd,savax,0.020132737
2024-03-03,usd,sbd,8.47459039
2024-03-03,usd,sc,100.97656382
2024-03-03,usd,scr,14.45308675
2024-03-03,usd,sdd,59896.27763888
2024-03-03,usd,sdg,598.96277639
2024-03-03,usd,seam,0.20975733
2024-03-03,usd,sei,1.17862816
2024-03-03,usd,sek,10.34544359
2024-03-03,usd,sfp,1.22672065
2024-03-03,usd,sfrxeth,0.0002725906
2024-03-03,usd,sfund,0.24027114
2024-03-03,usd,sgb,58.44947465
2024-03-03,usd,sgd,1.34430837
2024-03-03,usd,shdw,0.9158349
2024-03-03,usd,shib,43665.44249019
2024-03-03,usd,shp,0.79026396
2024-03-03,usd,shping,140.68646571
2024-03-03,usd,sit,221.02388646
2024-03-03,usd,skk,27.7857019
2024-03-03,usd,skl,9.17298968
2024-03-03,usd,sle,22.74490885
2024-03-03,usd,sll,22744.90884927
2024-03-03,usd,snt,19.75283287
2024-03-03,usd,snx,0.21455974
2024-03-03,usd,sol,0.0077154507
2024-03-03,usd,sos,571.45144922
2024-03-03,usd,spa,93.5739293
2024-03-03,usd,spell,626.48168883
2024-03-03,usd,spl,0.16666667
2024-03-03,usd,srd,35.21001821
2024-03-03,usd,srg,35210.01820589
2024-03-03,usd,ssp,1469.19686695
2024-03-03,usd,ssv,0.029791635
2024-03-03,usd,std,22699.33980057
2024-03-03,usd,steth,0.00029283364
2024-03-03,usd,stg,1.3621394
2024-03-03,usd,stn,22.6993398
2024-03-03,usd,storj,1.18638276
2024-03-03,usd,strax,0.73621239
2024-03-03,usd,strd,0.21791575
2024-03-03,usd,strk,0.54345543
2024-03-03,usd,stsol,0.0066342072
2024-03-03,usd,stx,0.33788301
2024-03-03,usd,sui,0.61985912
2024-03-03,usd,suku,9.49500165
2024-03-03,usd,super,0.68731117
2024-03-03,usd,sushi,0.57726368
2024-03-03,usd,svc,8.75
2024-03-03,usd,sweth,0.00028446484
2024-03-03,usd,swftc,345.92919938
2024-03-03,usd,sxp,2.22477764
2024-03-03,usd,sylo,327.52846093
2024-03-03,usd,syn,0.88057472
2024-03-03,usd,syp,13001.92614836
2024-03-03,usd,szl,19.11776182
2024-03-03,usd,t,28.31842597
2024-03-03,usd,tao,0.0015570563
2024-03-03,usd,tet,0.031278441
2024-03-03,usd,tfuel,13.42876546
2024-03-03,usd,thb,35.89566028
2024-03-03,usd,theta,0.45474563
2024-03-03,usd,tia,0.059744085
2024-03-03,usd,time,0.043464633
2024-03-03,usd,tjs,10.94397983
2024-03-03,usd,tkx,0.064500888
2024-03-03,usd,tmm,17549.91992577
2024-03-03,usd,tmt,3.50998399
2024-03-03,usd,tnd,3.125
2024-03-03,usd,ton,0.37224113
2024-03-03,usd,tone,751.82364464
2024-03-03,usd,top,2.34520592
2024-03-03,usd,topia,13.92134364
2024-03-03,usd,tor,0.13152976
2024-03-03,usd,trac,0.78565958
2024-03-03,usd,trb,0.0080254465
2024-03-03,usd,tribe,2.23693842
2024-03-03,usd,trl,31377644.55219482
2024-03-03,usd,tru,12.94661286
2024-03-03,usd,trump,0.1341325
2024-03-03,usd,trx,7.09120233
2024-03-03,usd,try,31.37764455
2024-03-03,usd,ttd,6.752261
2024-03-03,usd,ttt,256.74918241
2024-03-03,usd,tusd,1.00006321
2024-03-03,usd,tvd,1.53245427
2024-03-03,usd,tvk,4.88384537
2024-03-03,usd,twd,31.57894263
2024-03-03,usd,twt,0.66866552
2024-03-03,usd,tzs,2547.65232968
2024-03-03,usd,uah,38.24999525
2024-03-03,usd,ugx,3914.07034876
2024-03-03,usd,uma,0.22229524
2024-03-03,usd,unfi,0.12355224
2024-03-03,usd,uni,0.07964578
2024-03-03,usd,uos,3.77525333
2024-03-03,usd,upi,1638.95130759
2024-03-03,usd,uqc,0.093285747
2024-03-03,usd,usd,1
2024-03-03,usd,usdc,1.00088631
2024-03-03,usd,usdd,1.0009669
2024-03-03,usd,usde,1.00022332
2024-03-03,usd,usdp,0.98859616
2024-03-03,usd,usdt,1.00021191
2024-03-03,usd,ust,25.31012422
2024-03-03,usd,ustc,25.54186265
2024-03-03,usd,uyu,39.05890473
2024-03-03,usd,uzs,12524.99999993
2024-03-03,usd,val,1785.85344951
2024-03-03,usd,vara,10.24123182
2024-03-03,usd,veb,3606664626.3106675
2024-03-03,usd,ved,36.06664626
2024-03-03,usd,vef,3606664.62631067
2024-03-03,usd,velo,8.79220886
2024-03-03,usd,ves,36.06664626
2024-03-03,usd,vet,19.95207447
2024-03-03,usd,vgx,7.46750118
2024-03-03,usd,vnd,24645.06670938
2024-03-03,usd,vnst,25596.45806698
2024-03-03,usd,voxel,3.19480662
2024-03-03,usd,vr,21.56755403
2024-03-03,usd,vtho,207.52165346
2024-03-03,usd,vuv,119.90244906
2024-03-03,usd,wampl,0.08057755
2024-03-03,usd,waves,0.33784158
2024-03-03,usd,waxl,0.51009107
2024-03-03,usd,waxp,11.87794479
2024-03-03,usd,wbeth,0.00028410105
2024-03-03,usd,wbt,0.12168819
2024-03-03,usd,wbtc,1.6168556e-05
2024-03-03,usd,wcfg,1.41853037
2024-03-03,usd,wemix,0.36842303
2024-03-03,usd,whrh,182027.1401273
2024-03-03,usd,wif,0.75362864
2024-03-03,usd,wld,0.13018316
2024-03-03,usd,wluna,15803.21517149
2024-03-03,usd,woo,1.83442484
2024-03-03,usd,wst,2.68240139
2024-03-03,usd,xaf,604.999856
2024-03-03,usd,xag,0.043219057
2024-03-03,usd,xai,0.73745626
2024-03-03,usd,xau,0.0004800975
2024-03-03,usd,xaut,0.00048084087
2024-03-03,usd,xbt,1.6168e-05
2024-03-03,usd,xcd,2.70002935
2024-03-03,usd,xch,0.018780176
2024-03-03,usd,xcn,401.11149251
2024-03-03,usd,xdc,21.22642663
2024-03-03,usd,xdr,0.75377837
2024-03-03,usd,xec,20699.84475009
2024-03-03,usd,xem,21.71517018
2024-03-03,usd,xlm,7.37333994
2024-03-03,usd,xmon,0.001052836
2024-03-03,usd,xmr,0.0068763169
2024-03-03,usd,xof,604.999856
2024-03-03,usd,xpd,0.0010416666
2024-03-03,usd,xpf,110.06161513
2024-03-03,usd,xpt,0.0011144662
2024-03-03,usd,xrd,21.99145199
2024-03-03,usd,xrp,1.57446121
2024-03-03,usd,xtz,0.72075244
2024-03-03,usd,xvs,0.076211523
2024-03-03,usd,xyo,117.11798406
2024-03-03,usd,yer,250.23684623
2024-03-03,usd,yfi,0.00010402469
2024-03-03,usd,yfii,0.0013436215
2024-03-03,usd,zar,19.11776182
2024-03-03,usd,zec,0.030811834
2024-03-03,usd,zen,0.080512725
2024-03-03,usd,zeta,0.42378707
2024-03-03,usd,zil,32.75098731
2024-03-03,usd,zmk,23669.18343582
2024-03-03,usd,zmw,23.66918344
2024-03-03,usd,zrx,2.31552988
2024-03-03,usd,zwd,361.9
2024-03-03,usd,zwl,15061.45734992
2024-03-06,usd,$myro,3.31372968
2024-03-06,usd,$wen,4418.71651061
2024-03-06,usd,00,9.77039797
2024-03-06,usd,0x0,3.19224259
2024-03-06,usd,1000sats,1623.80941827
2024-03-06,usd,1inch,1.85687588
2024-03-06,usd,aave,0.0094876154
2024-03-06,usd,abt,0.62978256
2024-03-06,usd,ach,38.26214278
2024-03-06,usd,acs,308.6420471
2024-03-06,usd,ada,1.44263966
2024-03-06,usd,aed,3.6725
2024-03-06,usd,aergo,6.09384663
2024-03-06,usd,aero,2.47163853
2024-03-06,usd,afn,73.44157925
2024-03-06,usd,agix,1.20271903
2024-03-06,usd,agld,0.66749006
2024-03-06,usd,ai,0.65785642
2024-03-06,usd,aioz,4.06009027
