window,model,n,rmse_pp,bias_pp,mae_pp,ratio_vs_naive,ratio_vs_prior_year,ratio_vs_ar1,sign_accuracy_vs_naive,pre_registered,residual_rule,mix_variant,knowable_before_print,jackknife_ratio_min,jackknife_ratio_max,jackknife_quarters_ratio_below_1,jackknife_n
1Q24-2Q26,v2_trailing4q_persistence,10,1.1705033173061594,-0.46538356381253454,1.0588813481339376,1.2886817393142844,0.670228249798364,1.0228192280773343,0.2857142857142857,False,persistence,trailing 4q (H rule),no: the residual is only knowable after the print; the rule uses prior residuals only,1.1943756549645226,1.376465831243759,0,10
1Q24-2Q26,v2_trailing4q_trailing_4q,10,1.235949018719016,-0.5947503864501433,1.053664075927006,1.3607350851531188,0.7077023494153686,1.080007551092201,0.42857142857142855,False,trailing_4q,trailing 4q (H rule),no: the residual is only knowable after the print; the rule uses prior residuals only,1.1868939335422135,1.5824927471516252,0,10
1Q24-2Q26,v2_trailing4q_trailing_8q,10,1.1967624662681997,-0.6616521264425655,0.9654538996909533,1.3175921108245463,0.685264194754528,1.0457652223980805,0.5714285714285714,False,trailing_8q,trailing 4q (H rule),no: the residual is only knowable after the print; the rule uses prior residuals only,1.118849048303566,1.5314701001915034,0,10
1Q24-2Q26,v2_trailing4q_ar1_residual,8,1.1025070606931238,-0.5189173030614834,0.8879836717200235,1.2138203246190986,0.6312937065221614,0.9634021570850422,0.42857142857142855,False,ar1_residual,trailing 4q (H rule),no: the residual is only knowable after the print; the rule uses prior residuals only,0.9421620548594086,1.3502898682569187,1,10
1Q24-2Q26,v2_trailing4q_blend,10,1.1441668847366782,-0.56351784512755,1.0030886338205418,1.259686281352592,0.6551480523773096,0.9998057011331968,0.42857142857142855,False,blend,trailing 4q (H rule),no: the residual is only knowable after the print; the rule uses prior residuals only,1.1265653946828325,1.4179580762215556,0,10
2Q24-2Q26,naive_last_q,9,0.816496580927726,-0.2222222222222222,0.6666666666666666,1.0,0.45098761680169736,0.7715302674743837,0.0,False,,,yes,1.0,1.0,0,9
2Q24-2Q26,prior_year_q,9,1.8104634152000358,-0.8888888888888888,1.5555555555555556,2.2173557826083448,1.0,1.7107571000416877,0.3333333333333333,False,,,yes,1.8484227510682363,2.4289915602982237,0,9
2Q24-2Q26,ar1_expanding,9,1.0582819823783975,-0.618557389846512,0.8758882606759979,1.2961254304040664,0.5845365189340042,1.0,0.5,False,,,yes,1.1474677042823214,1.4197625313837645,0,9
2Q24-2Q26,h_route_a,9,1.2920999173922265,-0.6052782071668258,1.1151823065855622,1.5824927471516252,0.7136846326438825,1.2209410524861657,0.3333333333333333,False,,,yes,1.4116089946387413,1.723768620058076,0,9
2Q24-2Q26,v2_measured_last_q,9,0.7193430284085004,-0.12374619373429735,0.6614043640403364,0.881011684814605,0.39732536010898684,0.6797271808330696,0.8333333333333334,False,last_q,"measured (realised quarter-t terms, upper bound on I)",no: the residual is only knowable after the print; the rule uses prior residuals only,0.7996399681656441,0.9496931349515081,9,9
2Q24-2Q26,v2_measured_persistence,9,0.8509627373551408,-0.32078097949609,0.7332407667620363,1.0422122483210565,0.4700248180718521,0.8040982947122235,0.6666666666666666,True,persistence,"measured (realised quarter-t terms, upper bound on I)",no: the residual is only knowable after the print; the rule uses prior residuals only,0.8777815912172834,1.129722065969925,2,9
2Q24-2Q26,v2_measured_trailing_4q,9,0.9968220586008201,-0.5786730948975636,0.8853937767281919,1.2208527039613604,0.550589451425442,0.9419248132341329,0.5,False,trailing_4q,"measured (realised quarter-t terms, upper bound on I)",no: the residual is only knowable after the print; the rule uses prior residuals only,1.0894165016467776,1.334567060989638,0,9
2Q24-2Q26,v2_measured_trailing_8q,9,0.9821601009180747,-0.6530083615558104,0.8265947889089547,1.2028955464848576,0.5424909957705812,0.928070322723207,0.5,False,trailing_8q,"measured (realised quarter-t terms, upper bound on I)",no: the residual is only knowable after the print; the rule uses prior residuals only,0.9932549484064234,1.3150524156348216,1,9
2Q24-2Q26,v2_measured_ar1_residual,8,0.830819110642299,-0.5140110432226995,0.7239187330568173,1.017541444813277,0.45889859119329557,0.7850640230830582,0.5,False,ar1_residual,"measured (realised quarter-t terms, upper bound on I)",no: the residual is only knowable after the print; the rule uses prior residuals only,0.9227103512450328,1.1204082444607402,4,9
2Q24-2Q26,v2_measured_blend,9,0.8783157036406402,-0.4868946705259503,0.7799177778354957,1.0757126534965689,0.48513308596384763,0.8299448712777868,0.5,False,blend,"measured (realised quarter-t terms, upper bound on I)",no: the residual is only knowable after the print; the rule uses prior residuals only,0.9799164049999668,1.1712085703629305,2,9
2Q24-2Q26,v2_trailing4q_last_q,9,0.9254864381829297,-0.15035130600355973,0.8294838574868629,1.1334847687070122,0.5111875945201986,0.874517806778661,0.5,False,last_q,trailing 4q (H rule),no: the residual is only knowable after the print; the rule uses prior residuals only,1.0651599265908185,1.1954668020160355,0,9
2Q24-2Q26,v2_trailing4q_persistence,9,1.1238796449743695,-0.3473860917653524,1.0068280743446893,1.376465831243759,0.6207690448415901,1.061985050948847,0.3333333333333333,False,persistence,trailing 4q (H rule),no: the residual is only knowable after the print; the rule uses prior residuals only,1.2656646227764057,1.4948714039038644,0,9
2Q24-2Q26,v2_trailing4q_trailing_4q,9,1.2920999173922265,-0.6052782071668261,1.1151823065855622,1.5824927471516252,0.7136846326438825,1.2209410524861657,0.3333333333333333,False,trailing_4q,trailing 4q (H rule),no: the residual is only knowable after the print; the rule uses prior residuals only,1.4116089946387411,1.723768620058076,0,9
2Q24-2Q26,v2_trailing4q_trailing_8q,9,1.2504401005994046,-0.6796134738250728,1.0171709996566147,1.5314701001915034,0.6906740506884228,1.1815755360297717,0.5,False,trailing_8q,trailing 4q (H rule),no: the residual is only knowable after the print; the rule uses prior residuals only,1.3285870802059623,1.6771500350639206,0,9
2Q24-2Q26,v2_trailing4q_ar1_residual,8,1.1025070606931238,-0.5189173030614834,0.8879836717200235,1.3502898682569187,0.6089640096766656,1.0417895032242108,0.5,False,ar1_residual,trailing 4q (H rule),no: the residual is only knowable after the print; the rule uses prior residuals only,1.069629443434401,1.4908458214505043,0,9
2Q24-2Q26,v2_trailing4q_blend,9,1.157757921133756,-0.5134997827952126,1.00191177023187,1.4179580762215556,0.6394815335198789,1.0939975738146792,0.3333333333333333,False,blend,trailing 4q (H rule),no: the residual is only knowable after the print; the rule uses prior residuals only,1.2785762824996931,1.5513166108223606,0,9

