print,print_date,reaction_date,rev_guide_low,rev_guide_high,rev_actual,vs_guide_mid,vs_guide_top,rev_guide_outcome,rev_consensus,rev_surprise,rev_vs_street,rev_vendor,nights_cons_m,nights_actual,nights_surprise,nights_vs_street,nights_guide,nights_guide_outcome,gbv_cons_b,gbv_actual,gbv_surprise,gbv_vs_street,gbv_guide,gbv_guide_outcome,adr_cons,adr_actual,adr_surprise,adr_guide_y_y,adr_guide_outcome,ebitda_cons,ebitda_actual,ebitda_surprise,ebitda_vs_street,margin_actual,margin_guide,margin_guide_outcome,take_rate_guide,take_rate_outcome,eps_cons,eps_actual,eps_basis,eps_surprise,eps_vs_street,next_q_rev_consensus,next_q_guide_mid,guide_vs_street,abnb_1d,qqq_1d,excess_1d,abnb_5d,excess_5d,abnb_20d,excess_20d,gap_at_open,open_to_close_1d,open_entry_5d,open_entry_20d,yq
2Q23,2023-08-03,2023-08-04,2350,2450,2484,0.03499999999999992,0.013877551020408108,above_range,2420,0.026446280991735627,beat,Refinitiv,117.6,115.1,-0.021258503401360596,miss,below_revenue_growth,met,18.99,19.1,0.005792522380200227,beat,NA,NA,NA,165.9426585577758,NA,below vs 0,not_met,NA,819,NA,NA,0.32971014492753625,at most 0 pts,met,at least 0 pts,met,0.78,0.98,adjusted,0.25641025641025633,beat,3220,3350,0.04037267080745344,-0.005,-0.005,0,-0.035,-0.021,-0.066,-0.077,-0.002910304144654319,0.007737854377885434,-0.01298007711852944,-0.06946247437404396,2023 Q2
3Q23,2023-11-01,2023-11-02,3300,3400,3397,0.014029850746268613,-8.823529411764452e-4,within_range,3370,0.00801186943620169,beat,LSEG,112.9,113.2,0.0026572187776794376,meet,above vs 11,met,NA,18.3,NA,NA,NA,NA,NA,161.660777385159,NA,at least 0 pct,met,NA,1834,NA,NA,0.5398881365911098,at least 0 pts,met,at least 0 pts,met,2.1,6.63,GAAP incl. tax valuation allowance release - not comparable,2.1571428571428566,beat,2180,2150,-0.013761467889908285,-0.033,0.018,-0.051,-0.015,-0.06,0.058,-0.032,0.025445725993686,-0.0624751150095133,-0.07112035495497171,-0.04421988877518124,2023 Q3
4Q23,2024-02-13,2024-02-14,2130,2170,2218,0.031627906976744224,0.022119815668202758,above_range,2170,0.022119815668202758,beat,LSEG,98,98.8,0.008163265306122325,meet,below vs 13.5,met,NA,15.5,NA,NA,NA,NA,NA,156.8825910931174,NA,at least -0.5 pct,met,645,738,0.1441860465116278,beat,0.3327321911632101,at least 0 pts,met,at least 0 pts,met,0.62,-0.55,GAAP loss - not comparable,-1.8870967741935483,miss,2030,2050,0.009852216748768461,-0.017,0.011,-0.028,-0.01,-0.004,0.092,0.065,-0.03089778169876189,0.00941245854371231,0.03417401072963966,0.1064118635322682,2023 Q4
1Q24,2024-05-08,2024-05-09,2030,2070,2142,0.044878048780487845,0.034782608695652195,above_range,2060,0.03980582524271847,beat,LSEG,132.1,132.6,0.0037850113550341735,meet,below vs 12,met,NA,22.9,NA,NA,NA,NA,NA,172.6998491704374,NA,at least -0.5 pct,met,326,424,0.3006134969325154,beat,0.19794584500466852,at least 0 pts,met,at least 0 pts,met,0.24,0.41,adjusted,0.7083333333333333,beat,2740,2710,-0.010948905109489093,-0.069,0.002,-0.071,-0.077,-0.106,-0.069,-0.122,-0.07156420664827112,0.001502543980254955,-0.03400383575395738,-0.04959594285713886,2024 Q1
2Q24,2024-08-06,2024-08-07,2680,2740,2748,0.014022140221402246,0.0029197080291971655,above_range,2740,0.0029197080291971655,meet,LSEG,NA,125.1,NA,NA,stable vs 9.5,met,NA,21.2,NA,NA,NA,NA,NA,169.4644284572342,NA,at least 0 pct,met,NA,894,NA,NA,0.32532751091703055,at most 0 pts,met,NA,NA,0.92,0.86,adjusted,-0.06521739130434788,miss,3840,3700,-0.03645833333333337,-0.134,-0.011,-0.123,-0.104,-0.156,-0.117,-0.165,-0.1381926773250911,0.03131855892648761,0.003628956482840673,-0.006989107540356976,2024 Q2
3Q24,2024-11-07,2024-11-08,3670,3730,3732,0.00864864864864856,5.361930294907058e-4,above_range,3720,0.003225806451612856,meet,LSEG,121.4,122.8,0.011532125205930832,beat,below vs 8.7,met,19.9,20.1,0.01005025125628145,beat,NA,NA,NA,163.6807817589577,NA,at least 0 pct,met,1860,1958,0.052688172043010795,beat,0.5246516613076099,at most 0 pts,met,at least 0 pts,met,2.14,2.13,adjusted,-0.00467289719626179,meet,2420,2415,-0.0020661157024793875,-0.087,0.001,-0.08800000000000001,-0.087,-0.077,-0.071,-0.096,-0.08617763024381764,-0.002589669208823864,0.007662007810902871,-0.009489286188417934,2024 Q3
4Q24,2025-02-13,2025-02-14,2390,2440,2480,0.0269151138716357,0.016393442622950838,above_range,2420,0.024793388429751984,beat,LSEG,108.7,111,0.021159153633854677,beat,above vs 8.5,met,17.2,17.6,0.023255813953488413,beat,NA,NA,NA,158.5585585585586,NA,at least 0 pct,met,653.5,765,0.17061973986227996,beat,0.3084677419354839,at most 0 pts,met,at most 0 pts,met,0.58,0.73,adjusted,0.2586206896551725,beat,2300,2250,-0.021739130434782594,0.144,0.004,0.14,0.036,0.05400000000000001,-0.129,-0.024,0.1215612952964218,0.0164582521508565,-0.05806171958135731,-0.1181858125823361,2024 Q4
1Q25,2025-05-01,2025-05-02,2230,2270,2272,0.009777777777777885,8.810572687225626e-4,above_range,2260,0.005309734513274433,beat,LSEG,143.4,143.1,-0.0020920502092051096,meet,stable vs 8.5,met,NA,24.5,NA,NA,NA,NA,170.55,171.2089447938505,0.0038636458155993925,at most 0 pct,met,NA,417,NA,NA,0.1835387323943662,at most 0 pts,met,NA,NA,0.24,0.24,adjusted,0,meet,3040,3020,-0.006578947368421018,0.01,0.015,-0.005,0.019,0.005,0.04,-0.03700000000000001,-0.02346587865479277,0.02964514682443098,0.04008608829106253,-0.001706675855759787,2025 Q1
2Q25,2025-08-06,2025-08-07,2990,3050,3096,0.02516556291390737,0.015081967213114833,above_range,3040,0.018421052631578894,beat,LSEG,133.35,134.4,0.007874015748031482,meet,below vs 7.9,met,22.66,23.5,0.03706972639011474,beat,NA,NA,NA,174.8511904761905,NA,about 0 pct,beat,NA,1043,NA,NA,0.33688630490956073,at most 0 pts,not_met,at least 0 pts,met,0.93,1.03,adjusted,0.10752688172043008,beat,4050,4060,0.0024691358024691024,-0.08,0.003,-0.084,-0.046,-0.069,-0.039,-0.053,-0.07754791376691217,0.00134324429089705,0.01947418500474574,0.03522475017541127,2025 Q2
3Q25,2025-11-06,2025-11-07,4020,4100,4095,0.008620689655172376,-0.0012195121951219523,within_range,4080,0.003676470588235281,meet,LSEG,131.75,133.6,0.01404174573055017,beat,stable vs 7.4,met,21.9,22.9,0.04566210045662111,beat,NA,NA,166.67,171.4071856287425,0.02842254532154853,at least 0 pct,met,NA,2051,NA,NA,0.5008547008547009,at most 0 pts,met,about 0 pts,miss,2.34,2.21,adjusted,-0.05555555555555551,miss,2670,2690,0.0074906367041198685,0.003,-0.003,0.006,0.005,0.011,0.031,0.009000000000000001,0.04119309730000587,-0.0391251795155303,-0.03445215225361264,-0.03758865912314391,2025 Q3
4Q25,2026-02-12,2026-02-13,2660,2720,2778,0.03271375464684012,0.02132352941176463,above_range,2720,0.02132352941176463,beat,LSEG,117.6,121.9,0.03656462585034026,beat,4 to 6 pct (nan),above_range,19.4,20.4,0.05154639175257736,beat,10 to 12 pct (nan),above_range,165.52,167.3502871205907,0.011057800390228856,at least 0 pct,met,NA,786,NA,NA,0.28293736501079914,at most 0 pts,met,about 0 pts,at_point,0.66,0.56,adjusted,-0.15151515151515146,miss,2530,2610,0.031620553359683834,0.046,0.002,0.044,0.103,0.08900000000000001,0.08900000000000001,0.101,0.09059156033422756,-0.04292749612505709,-0.002688708489249292,0.009870705320312534,2025 Q4
1Q26,2026-05-07,2026-05-08,2590,2630,2678,0.02605363984674325,0.018250950570342095,above_range,2620,0.022137404580152564,beat,LSEG,155.77,156.2,0.0027604801951592872,meet,7 to 9 pct (nan),above_range,27.82,29.2,0.04960460100647013,beat,12 to 14 pct (nan),above_range,178.54,186.9398207426377,0.04704727647943141,NA,NA,485,519,0.07010309278350513,beat,0.19380134428678117,about 0 pts,beat,at least 0 pts,not_met,0.29,0.26,adjusted,-0.10344827586206887,miss,3460,3570,0.03179190751445082,0.006999999999999999,0.023,-0.016,-0.048,-0.084,-0.049,-0.064,-0.01662399688349625,0.008203044214498911,-0.06064235937672957,-0.04053833627341962,2026 Q1
2Q26,2026-08-06,2026-08-07,3540,3600,3608,0.010644257703081195,0.0022222222222221255,above_range,3580,0.007821229050279266,beat,LSEG,145.44,148.3,0.01966446644664477,beat,below vs 9.1,not_met,26.42,27.2,0.029523088569265665,beat,10 to 12 pct (nan),above_range,181.56,183.4120026972353,0.010200499544146702,below vs 8,met,1225.6,1261,0.028883812010443988,beat,0.3495011086474501,at least 0 pts,met,at least 0 pts,met,1.25,1.37,adjusted,0.09600000000000009,beat,4610,4730,0.026030368763557465,0.174,0.012,0.163,0.221,0.196,0.2216,0.2174,0.08612501721946897,0.07717879022916296,0.107491683413522,0.128216118654903,2026 Q2
