repo,metric,period,granularity,value
airbnb/epoxy,activity,2019-07,month,40.87
airbnb/epoxy,activity,2019-08,month,47.15
airbnb/epoxy,activity,2019-09,month,45.37
airbnb/epoxy,activity,2019-10,month,47.72
airbnb/epoxy,activity,2019-11,month,54.55
airbnb/epoxy,activity,2019-12,month,39.15
airbnb/epoxy,activity,2020-01,month,36.07
airbnb/epoxy,activity,2020-02,month,29.74
airbnb/epoxy,activity,2020-03,month,35.53
airbnb/epoxy,activity,2020-04,month,40.66
airbnb/epoxy,activity,2020-05,month,76.72
airbnb/epoxy,activity,2020-06,month,53.01
airbnb/epoxy,activity,2020-07,month,33.26
airbnb/epoxy,activity,2020-08,month,42.1
airbnb/epoxy,activity,2020-09,month,53.47
airbnb/epoxy,activity,2020-10,month,30.75
airbnb/epoxy,activity,2020-11,month,46.38
airbnb/epoxy,activity,2020-12,month,37.69
airbnb/epoxy,activity,2021-01,month,33.2
airbnb/epoxy,activity,2021-02,month,46.18
airbnb/epoxy,activity,2021-03,month,36.14
airbnb/epoxy,activity,2021-04,month,46.87
airbnb/epoxy,activity,2021-05,month,38.19
airbnb/epoxy,activity,2021-06,month,31.06
airbnb/epoxy,activity,2021-07,month,27.46
airbnb/epoxy,activity,2021-08,month,32.06
airbnb/epoxy,activity,2021-09,month,30.93
airbnb/epoxy,activity,2021-10,month,27.0
airbnb/epoxy,activity,2021-11,month,28.58
airbnb/epoxy,activity,2021-12,month,11.52
airbnb/epoxy,activity,2022-01,month,19.62
airbnb/epoxy,activity,2022-02,month,16.29
airbnb/epoxy,activity,2022-03,month,18.69
airbnb/epoxy,activity,2022-04,month,9.6
airbnb/epoxy,activity,2022-05,month,7.73
airbnb/epoxy,activity,2022-06,month,14.06
airbnb/epoxy,activity,2022-07,month,10.31
airbnb/epoxy,activity,2022-08,month,9.51
airbnb/epoxy,activity,2022-09,month,13.84
airbnb/epoxy,activity,2022-10,month,12.15
airbnb/epoxy,activity,2022-11,month,17.87
airbnb/epoxy,activity,2022-12,month,3.41
airbnb/epoxy,activity,2023-01,month,8.59
airbnb/epoxy,activity,2023-02,month,12.91
airbnb/epoxy,activity,2023-03,month,5.88
airbnb/epoxy,activity,2023-04,month,9.04
airbnb/epoxy,activity,2023-05,month,20.1
airbnb/epoxy,activity,2023-06,month,3.71
airbnb/epoxy,activity,2023-07,month,6.09
airbnb/epoxy,activity,2023-08,month,6.56
airbnb/epoxy,activity,2023-09,month,5.16
airbnb/epoxy,activity,2023-10,month,5.11
airbnb/epoxy,activity,2023-11,month,12.18
airbnb/epoxy,activity,2023-12,month,1.45
airbnb/epoxy,activity,2024-01,month,5.71
airbnb/epoxy,activity,2024-02,month,1.66
airbnb/epoxy,activity,2024-03,month,9.06
airbnb/epoxy,activity,2024-04,month,2.94
airbnb/epoxy,activity,2024-05,month,7.64
airbnb/epoxy,activity,2024-06,month,6.25
airbnb/epoxy,activity,2024-07,month,1.45
airbnb/epoxy,activity,2024-09,month,0.72
airbnb/epoxy,activity,2024-10,month,0.72
airbnb/epoxy,activity,2024-12,month,0.72
airbnb/epoxy,activity,2025-01,month,1.49
airbnb/epoxy,activity,2025-02,month,2.22
airbnb/epoxy,activity,2025-04,month,0.72
airbnb/epoxy,activity,2025-05,month,0.72
airbnb/epoxy,activity,2025-07,month,4.6
airbnb/epoxy,activity,2025-08,month,3.24
airbnb/epoxy,activity,2025-09,month,2.94
airbnb/epoxy,activity,2025-11,month,3.44
airbnb/epoxy,activity,2026-01,month,5.91
airbnb/epoxy,activity,2026-08,month,0.72
airbnb/epoxy,activity,2021-10-raw,other,16.59
airbnb/epoxy,activity,2016Q3,quarter,46.01
airbnb/epoxy,activity,2016Q4,quarter,59.36
airbnb/epoxy,activity,2017Q1,quarter,88.36
airbnb/epoxy,activity,2017Q2,quarter,101.59
airbnb/epoxy,activity,2017Q3,quarter,79.46
airbnb/epoxy,activity,2017Q4,quarter,100.2
airbnb/epoxy,activity,2018Q1,quarter,73.66
airbnb/epoxy,activity,2018Q2,quarter,93.38
airbnb/epoxy,activity,2018Q3,quarter,159.55
airbnb/epoxy,activity,2018Q4,quarter,198.04
airbnb/epoxy,activity,2019Q1,quarter,146.31
airbnb/epoxy,activity,2019Q2,quarter,125.03
airbnb/epoxy,activity,2019Q3,quarter,133.4
airbnb/epoxy,activity,2019Q4,quarter,141.43
airbnb/epoxy,activity,2020Q1,quarter,101.33
airbnb/epoxy,activity,2020Q2,quarter,170.4
airbnb/epoxy,activity,2020Q3,quarter,128.83
airbnb/epoxy,activity,2020Q4,quarter,114.82
airbnb/epoxy,activity,2021Q1,quarter,115.53
airbnb/epoxy,activity,2021Q2,quarter,116.11
airbnb/epoxy,activity,2021Q3,quarter,90.45
airbnb/epoxy,activity,2021Q4,quarter,56.7
airbnb/epoxy,activity,2022Q1,quarter,54.6
airbnb/epoxy,activity,2022Q2,quarter,31.39
airbnb/epoxy,activity,2022Q3,quarter,33.66
airbnb/epoxy,activity,2022Q4,quarter,33.43
airbnb/epoxy,activity,2023Q1,quarter,27.38
airbnb/epoxy,activity,2023Q2,quarter,32.84
airbnb/epoxy,activity,2023Q3,quarter,17.81
airbnb/epoxy,activity,2023Q4,quarter,18.75
airbnb/epoxy,activity,2024Q1,quarter,16.43
airbnb/epoxy,activity,2024Q2,quarter,16.83
airbnb/epoxy,activity,2024Q3,quarter,2.17
airbnb/epoxy,activity,2024Q4,quarter,1.45
airbnb/epoxy,activity,2025Q1,quarter,3.71
airbnb/epoxy,activity,2025Q2,quarter,1.45
airbnb/epoxy,activity,2025Q3,quarter,10.78
airbnb/epoxy,activity,2025Q4,quarter,3.44
airbnb/epoxy,activity,2026Q1,quarter,5.91
airbnb/epoxy,activity,2026Q3,quarter,0.72
airbnb/epoxy,openrank,2016,year,24.67
airbnb/epoxy,openrank,2017,year,136.11
airbnb/epoxy,openrank,2018,year,176.06
airbnb/epoxy,openrank,2019,year,190.93
airbnb/epoxy,openrank,2020,year,147.96
airbnb/epoxy,openrank,2021,year,113.43
airbnb/epoxy,openrank,2022,year,40.06
airbnb/epoxy,openrank,2023,year,27.41
airbnb/epoxy,openrank,2024,year,11.9
airbnb/epoxy,openrank,2025,year,7.04
airbnb/epoxy,openrank,2026,year,1.7
airbnb/epoxy,openrank,2016-08,month,1.99
airbnb/epoxy,openrank,2016-09,month,4.77
airbnb/epoxy,openrank,2016-10,month,5.51
airbnb/epoxy,openrank,2016-11,month,5.56
airbnb/epoxy,openrank,2016-12,month,6.84
airbnb/epoxy,openrank,2017-01,month,7.11
airbnb/epoxy,openrank,2017-02,month,8.27
airbnb/epoxy,openrank,2017-03,month,9.55
airbnb/epoxy,openrank,2017-04,month,13.03
airbnb/epoxy,openrank,2017-05,month,12.72
airbnb/epoxy,openrank,2017-06,month,11.35
airbnb/epoxy,openrank,2017-07,month,12.16
airbnb/epoxy,openrank,2017-08,month,11.43
airbnb/epoxy,openrank,2017-09,month,11.77
airbnb/epoxy,openrank,2017-10,month,13.32
airbnb/epoxy,openrank,2017-11,month,13.91
airbnb/epoxy,openrank,2017-12,month,11.49
airbnb/epoxy,openrank,2018-01,month,13.5
airbnb/epoxy,openrank,2018-02,month,11.98
airbnb/epoxy,openrank,2018-03,month,9.25
airbnb/epoxy,openrank,2018-04,month,8.05
airbnb/epoxy,openrank,2018-05,month,8.63
airbnb/epoxy,openrank,2018-06,month,11.14
airbnb/epoxy,openrank,2018-07,month,14.61
airbnb/epoxy,openrank,2018-08,month,13.97
airbnb/epoxy,openrank,2018-09,month,18.54
airbnb/epoxy,openrank,2018-10,month,22.84
airbnb/epoxy,openrank,2018-11,month,23.35
airbnb/epoxy,openrank,2018-12,month,20.19
airbnb/epoxy,openrank,2019-01,month,18.77
airbnb/epoxy,openrank,2019-02,month,22.56
airbnb/epoxy,openrank,2019-03,month,14.87
airbnb/epoxy,openrank,2019-04,month,14.89
airbnb/epoxy,openrank,2019-05,month,15.52
airbnb/epoxy,openrank,2019-06,month,17.59
airbnb/epoxy,openrank,2019-07,month,14.23
airbnb/epoxy,openrank,2019-08,month,15.07
airbnb/epoxy,openrank,2019-09,month,13.79
airbnb/epoxy,openrank,2019-10,month,12.98
airbnb/epoxy,openrank,2019-11,month,17.0
airbnb/epoxy,openrank,2019-12,month,13.65
airbnb/epoxy,openrank,2020-01,month,12.14
airbnb/epoxy,openrank,2020-02,month,9.41
airbnb/epoxy,openrank,2020-03,month,10.44
airbnb/epoxy,openrank,2020-04,month,10.51
airbnb/epoxy,openrank,2020-05,month,14.01
airbnb/epoxy,openrank,2020-06,month,14.66
airbnb/epoxy,openrank,2020-07,month,14.06
airbnb/epoxy,openrank,2020-08,month,12.83
airbnb/epoxy,openrank,2020-09,month,13.5
airbnb/epoxy,openrank,2020-10,month,9.79
airbnb/epoxy,openrank,2020-11,month,13.22
airbnb/epoxy,openrank,2020-12,month,13.37
airbnb/epoxy,openrank,2021-01,month,10.43
airbnb/epoxy,openrank,2021-02,month,11.83
airbnb/epoxy,openrank,2021-03,month,10.07
airbnb/epoxy,openrank,2021-04,month,10.87
airbnb/epoxy,openrank,2021-05,month,14.89
airbnb/epoxy,openrank,2021-06,month,11.43
airbnb/epoxy,openrank,2021-07,month,9.15
airbnb/epoxy,openrank,2021-08,month,9.06
airbnb/epoxy,openrank,2021-09,month,7.57
airbnb/epoxy,openrank,2021-10,month,7.0
airbnb/epoxy,openrank,2021-11,month,7.34
airbnb/epoxy,openrank,2021-12,month,4.29
airbnb/epoxy,openrank,2022-01,month,4.32
airbnb/epoxy,openrank,2022-02,month,4.16
airbnb/epoxy,openrank,2022-03,month,5.19
airbnb/epoxy,openrank,2022-04,month,3.66
airbnb/epoxy,openrank,2022-05,month,3.06
airbnb/epoxy,openrank,2022-06,month,2.8
airbnb/epoxy,openrank,2022-07,month,2.74
airbnb/epoxy,openrank,2022-08,month,1.84
airbnb/epoxy,openrank,2022-09,month,3.08
airbnb/epoxy,openrank,2022-10,month,3.11
airbnb/epoxy,openrank,2022-11,month,3.84
airbnb/epoxy,openrank,2022-12,month,2.26
airbnb/epoxy,openrank,2023-01,month,2.01
airbnb/epoxy,openrank,2023-02,month,2.71
airbnb/epoxy,openrank,2023-03,month,2.26
airbnb/epoxy,openrank,2023-04,month,2.28
airbnb/epoxy,openrank,2023-05,month,3.93
airbnb/epoxy,openrank,2023-06,month,2.94
airbnb/epoxy,openrank,2023-07,month,2.23
airbnb/epoxy,openrank,2023-08,month,1.48
airbnb/epoxy,openrank,2023-09,month,1.32
airbnb/epoxy,openrank,2023-10,month,1.07
airbnb/epoxy,openrank,2023-11,month,3.64
airbnb/epoxy,openrank,2023-12,month,1.55
airbnb/epoxy,openrank,2024-01,month,1.75
airbnb/epoxy,openrank,2024-02,month,1.25
airbnb/epoxy,openrank,2024-03,month,1.74
airbnb/epoxy,openrank,2024-04,month,1.63
airbnb/epoxy,openrank,2024-05,month,2.13
airbnb/epoxy,openrank,2024-06,month,1.62
airbnb/epoxy,openrank,2024-07,month,0.76
airbnb/epoxy,openrank,2024-09,month,0.4
airbnb/epoxy,openrank,2024-10,month,0.36
airbnb/epoxy,openrank,2024-12,month,0.26
airbnb/epoxy,openrank,2025-01,month,0.26
airbnb/epoxy,openrank,2025-02,month,0.22
airbnb/epoxy,openrank,2025-03,month,1.12
airbnb/epoxy,openrank,2025-04,month,0.57
airbnb/epoxy,openrank,2025-05,month,0.9
airbnb/epoxy,openrank,2025-07,month,0.9
airbnb/epoxy,openrank,2025-08,month,0.6
airbnb/epoxy,openrank,2025-09,month,0.57
airbnb/epoxy,openrank,2025-11,month,1.89
airbnb/epoxy,openrank,2026-01,month,1.27
airbnb/epoxy,openrank,2026-08,month,0.43
airbnb/epoxy,openrank,2021-10-raw,other,6.5
airbnb/epoxy,openrank,2016Q3,quarter,6.76
airbnb/epoxy,openrank,2016Q4,quarter,17.91
airbnb/epoxy,openrank,2017Q1,quarter,24.92
airbnb/epoxy,openrank,2017Q2,quarter,37.1
airbnb/epoxy,openrank,2017Q3,quarter,35.36
airbnb/epoxy,openrank,2017Q4,quarter,38.72
airbnb/epoxy,openrank,2018Q1,quarter,34.73
airbnb/epoxy,openrank,2018Q2,quarter,27.82
airbnb/epoxy,openrank,2018Q3,quarter,47.12
airbnb/epoxy,openrank,2018Q4,quarter,66.39
airbnb/epoxy,openrank,2019Q1,quarter,56.2
airbnb/epoxy,openrank,2019Q2,quarter,48.0
airbnb/epoxy,openrank,2019Q3,quarter,43.09
airbnb/epoxy,openrank,2019Q4,quarter,43.63
airbnb/epoxy,openrank,2020Q1,quarter,32.0
airbnb/epoxy,openrank,2020Q2,quarter,39.18
airbnb/epoxy,openrank,2020Q3,quarter,40.4
airbnb/epoxy,openrank,2020Q4,quarter,36.38
airbnb/epoxy,openrank,2021Q1,quarter,32.33
airbnb/epoxy,openrank,2021Q2,quarter,37.19
airbnb/epoxy,openrank,2021Q3,quarter,25.79
airbnb/epoxy,openrank,2021Q4,quarter,18.13
airbnb/epoxy,openrank,2022Q1,quarter,13.66
airbnb/epoxy,openrank,2022Q2,quarter,9.52
airbnb/epoxy,openrank,2022Q3,quarter,7.66
airbnb/epoxy,openrank,2022Q4,quarter,9.22
airbnb/epoxy,openrank,2023Q1,quarter,6.98
airbnb/epoxy,openrank,2023Q2,quarter,9.15
airbnb/epoxy,openrank,2023Q3,quarter,5.03
airbnb/epoxy,openrank,2023Q4,quarter,6.25
airbnb/epoxy,openrank,2024Q1,quarter,4.74
airbnb/epoxy,openrank,2024Q2,quarter,5.38
airbnb/epoxy,openrank,2024Q3,quarter,1.16
airbnb/epoxy,openrank,2024Q4,quarter,0.62
airbnb/epoxy,openrank,2025Q1,quarter,1.6
airbnb/epoxy,openrank,2025Q2,quarter,1.48
airbnb/epoxy,openrank,2025Q3,quarter,2.07
airbnb/epoxy,openrank,2025Q4,quarter,1.89
airbnb/epoxy,openrank,2026Q1,quarter,1.27
airbnb/epoxy,openrank,2026Q3,quarter,0.43
airbnb/epoxy,participants,2016,year,23.0
airbnb/epoxy,participants,2017,year,92.0
airbnb/epoxy,participants,2018,year,161.0
airbnb/epoxy,participants,2019,year,219.0
airbnb/epoxy,participants,2020,year,244.0
airbnb/epoxy,participants,2021,year,178.0
airbnb/epoxy,participants,2022,year,84.0
airbnb/epoxy,participants,2023,year,63.0
airbnb/epoxy,participants,2024,year,28.0
airbnb/epoxy,participants,2025,year,16.0
airbnb/epoxy,participants,2026,year,3.0
airbnb/epoxy,participants,2016-08,month,4.0
airbnb/epoxy,participants,2016-09,month,8.0
airbnb/epoxy,participants,2016-10,month,4.0
airbnb/epoxy,participants,2016-11,month,7.0
airbnb/epoxy,participants,2016-12,month,9.0
airbnb/epoxy,participants,2017-01,month,11.0
airbnb/epoxy,participants,2017-02,month,15.0
airbnb/epoxy,participants,2017-03,month,10.0
airbnb/epoxy,participants,2017-04,month,16.0
airbnb/epoxy,participants,2017-05,month,15.0
airbnb/epoxy,participants,2017-06,month,13.0
airbnb/epoxy,participants,2017-07,month,14.0
airbnb/epoxy,participants,2017-08,month,11.0
airbnb/epoxy,participants,2017-09,month,13.0
airbnb/epoxy,participants,2017-10,month,13.0
airbnb/epoxy,participants,2017-11,month,15.0
airbnb/epoxy,participants,2017-12,month,18.0
airbnb/epoxy,participants,2018-01,month,20.0
airbnb/epoxy,participants,2018-02,month,9.0
airbnb/epoxy,participants,2018-03,month,10.0
airbnb/epoxy,participants,2018-04,month,15.0
airbnb/epoxy,participants,2018-05,month,14.0
airbnb/epoxy,participants,2018-06,month,18.0
airbnb/epoxy,participants,2018-07,month,24.0
airbnb/epoxy,participants,2018-08,month,24.0
airbnb/epoxy,participants,2018-09,month,37.0
airbnb/epoxy,participants,2018-10,month,47.0
airbnb/epoxy,participants,2018-11,month,32.0
airbnb/epoxy,participants,2018-12,month,32.0
airbnb/epoxy,participants,2019-01,month,29.0
airbnb/epoxy,participants,2019-02,month,30.0
airbnb/epoxy,participants,2019-03,month,26.0
airbnb/epoxy,participants,2019-04,month,23.0
airbnb/epoxy,participants,2019-05,month,28.0
airbnb/epoxy,participants,2019-06,month,29.0
airbnb/epoxy,participants,2019-07,month,30.0
airbnb/epoxy,participants,2019-08,month,31.0
airbnb/epoxy,participants,2019-09,month,30.0
airbnb/epoxy,participants,2019-10,month,29.0
airbnb/epoxy,participants,2019-11,month,34.0
airbnb/epoxy,participants,2019-12,month,26.0
airbnb/epoxy,participants,2020-01,month,24.0
airbnb/epoxy,participants,2020-02,month,27.0
airbnb/epoxy,participants,2020-03,month,26.0
airbnb/epoxy,participants,2020-04,month,28.0
airbnb/epoxy,participants,2020-05,month,40.0
airbnb/epoxy,participants,2020-06,month,41.0
airbnb/epoxy,participants,2020-07,month,24.0
airbnb/epoxy,participants,2020-08,month,32.0
airbnb/epoxy,participants,2020-09,month,34.0
airbnb/epoxy,participants,2020-10,month,26.0
airbnb/epoxy,participants,2020-11,month,27.0
airbnb/epoxy,participants,2020-12,month,22.0
airbnb/epoxy,participants,2021-01,month,29.0
airbnb/epoxy,participants,2021-02,month,33.0
airbnb/epoxy,participants,2021-03,month,25.0
airbnb/epoxy,participants,2021-04,month,27.0
airbnb/epoxy,participants,2021-05,month,25.0
airbnb/epoxy,participants,2021-06,month,19.0
airbnb/epoxy,participants,2021-07,month,24.0
airbnb/epoxy,participants,2021-08,month,23.0
airbnb/epoxy,participants,2021-09,month,21.0
airbnb/epoxy,participants,2021-10,month,18.0
airbnb/epoxy,participants,2021-11,month,18.0
airbnb/epoxy,participants,2021-12,month,9.0
airbnb/epoxy,participants,2022-01,month,14.0
airbnb/epoxy,participants,2022-02,month,13.0
airbnb/epoxy,participants,2022-03,month,15.0
airbnb/epoxy,participants,2022-04,month,8.0
airbnb/epoxy,participants,2022-05,month,7.0
airbnb/epoxy,participants,2022-06,month,11.0
airbnb/epoxy,participants,2022-07,month,10.0
airbnb/epoxy,participants,2022-08,month,6.0
airbnb/epoxy,participants,2022-09,month,10.0
airbnb/epoxy,participants,2022-10,month,6.0
airbnb/epoxy,participants,2022-11,month,12.0
airbnb/epoxy,participants,2022-12,month,3.0
airbnb/epoxy,participants,2023-01,month,6.0
airbnb/epoxy,participants,2023-02,month,12.0
airbnb/epoxy,participants,2023-03,month,6.0
airbnb/epoxy,participants,2023-04,month,7.0
airbnb/epoxy,participants,2023-05,month,8.0
airbnb/epoxy,participants,2023-06,month,4.0
airbnb/epoxy,participants,2023-07,month,5.0
airbnb/epoxy,participants,2023-08,month,8.0
airbnb/epoxy,participants,2023-09,month,5.0
airbnb/epoxy,participants,2023-10,month,6.0
airbnb/epoxy,participants,2023-11,month,11.0
airbnb/epoxy,participants,2023-12,month,2.0
airbnb/epoxy,participants,2024-01,month,4.0
airbnb/epoxy,participants,2024-02,month,1.0
airbnb/epoxy,participants,2024-03,month,7.0
airbnb/epoxy,participants,2024-04,month,3.0
airbnb/epoxy,participants,2024-05,month,5.0
airbnb/epoxy,participants,2024-06,month,4.0
airbnb/epoxy,participants,2024-07,month,2.0
airbnb/epoxy,participants,2024-09,month,1.0
airbnb/epoxy,participants,2024-10,month,2.0
airbnb/epoxy,participants,2024-12,month,1.0
airbnb/epoxy,participants,2025-01,month,1.0
airbnb/epoxy,participants,2025-02,month,2.0
airbnb/epoxy,participants,2025-03,month,1.0
airbnb/epoxy,participants,2025-04,month,1.0
airbnb/epoxy,participants,2025-05,month,1.0
airbnb/epoxy,participants,2025-07,month,4.0
airbnb/epoxy,participants,2025-08,month,3.0
airbnb/epoxy,participants,2025-09,month,3.0
airbnb/epoxy,participants,2025-11,month,2.0
airbnb/epoxy,participants,2026-01,month,2.0
airbnb/epoxy,participants,2026-08,month,1.0
airbnb/epoxy,participants,2021-10-raw,other,14.0
airbnb/epoxy,participants,2016Q3,quarter,10.0
airbnb/epoxy,participants,2016Q4,quarter,16.0
airbnb/epoxy,participants,2017Q1,quarter,26.0
airbnb/epoxy,participants,2017Q2,quarter,32.0
airbnb/epoxy,participants,2017Q3,quarter,31.0
airbnb/epoxy,participants,2017Q4,quarter,32.0
airbnb/epoxy,participants,2018Q1,quarter,30.0
airbnb/epoxy,participants,2018Q2,quarter,39.0
airbnb/epoxy,participants,2018Q3,quarter,59.0
airbnb/epoxy,participants,2018Q4,quarter,81.0
airbnb/epoxy,participants,2019Q1,quarter,66.0
airbnb/epoxy,participants,2019Q2,quarter,65.0
airbnb/epoxy,participants,2019Q3,quarter,76.0
airbnb/epoxy,participants,2019Q4,quarter,75.0
airbnb/epoxy,participants,2020Q1,quarter,61.0
airbnb/epoxy,participants,2020Q2,quarter,90.0
airbnb/epoxy,participants,2020Q3,quarter,76.0
airbnb/epoxy,participants,2020Q4,quarter,65.0
airbnb/epoxy,participants,2021Q1,quarter,68.0
airbnb/epoxy,participants,2021Q2,quarter,58.0
airbnb/epoxy,participants,2021Q3,quarter,56.0
airbnb/epoxy,participants,2021Q4,quarter,37.0
airbnb/epoxy,participants,2022Q1,quarter,39.0
airbnb/epoxy,participants,2022Q2,quarter,23.0
airbnb/epoxy,participants,2022Q3,quarter,21.0
airbnb/epoxy,participants,2022Q4,quarter,17.0
airbnb/epoxy,participants,2023Q1,quarter,22.0
airbnb/epoxy,participants,2023Q2,quarter,17.0
airbnb/epoxy,participants,2023Q3,quarter,17.0
airbnb/epoxy,participants,2023Q4,quarter,17.0
airbnb/epoxy,participants,2024Q1,quarter,12.0
airbnb/epoxy,participants,2024Q2,quarter,12.0
airbnb/epoxy,participants,2024Q3,quarter,3.0
airbnb/epoxy,participants,2024Q4,quarter,3.0
airbnb/epoxy,participants,2025Q1,quarter,4.0
airbnb/epoxy,participants,2025Q2,quarter,2.0
airbnb/epoxy,participants,2025Q3,quarter,10.0
airbnb/epoxy,participants,2025Q4,quarter,2.0
airbnb/epoxy,participants,2026Q1,quarter,2.0
airbnb/epoxy,participants,2026Q3,quarter,1.0
airbnb/epoxy,stars,2016,year,2256.0
airbnb/epoxy,stars,2017,year,1220.0
airbnb/epoxy,stars,2018,year,1611.0
airbnb/epoxy,stars,2019,year,1179.0
airbnb/epoxy,stars,2020,year,955.0
airbnb/epoxy,stars,2021,year,834.0
airbnb/epoxy,stars,2022,year,469.0
airbnb/epoxy,stars,2023,year,381.0
airbnb/epoxy,stars,2024,year,183.0
airbnb/epoxy,stars,2025,year,62.0
airbnb/epoxy,stars,2026,year,7.0
airbnb/epoxy,stars,2016-08,month,689.0
airbnb/epoxy,stars,2016-09,month,170.0
airbnb/epoxy,stars,2016-10,month,524.0
airbnb/epoxy,stars,2016-11,month,125.0
airbnb/epoxy,stars,2016-12,month,772.0
airbnb/epoxy,stars,2017-01,month,118.0
airbnb/epoxy,stars,2017-02,month,188.0
airbnb/epoxy,stars,2017-03,month,126.0
airbnb/epoxy,stars,2017-04,month,127.0
airbnb/epoxy,stars,2017-05,month,93.0
airbnb/epoxy,stars,2017-06,month,79.0
airbnb/epoxy,stars,2017-07,month,95.0
airbnb/epoxy,stars,2017-08,month,59.0
airbnb/epoxy,stars,2017-09,month,64.0
airbnb/epoxy,stars,2017-10,month,72.0
airbnb/epoxy,stars,2017-11,month,73.0
airbnb/epoxy,stars,2017-12,month,137.0
airbnb/epoxy,stars,2018-01,month,83.0
airbnb/epoxy,stars,2018-02,month,81.0
airbnb/epoxy,stars,2018-03,month,93.0
airbnb/epoxy,stars,2018-04,month,115.0
airbnb/epoxy,stars,2018-05,month,72.0
airbnb/epoxy,stars,2018-06,month,447.0
airbnb/epoxy,stars,2018-07,month,113.0
airbnb/epoxy,stars,2018-08,month,168.0
airbnb/epoxy,stars,2018-09,month,172.0
airbnb/epoxy,stars,2018-10,month,90.0
airbnb/epoxy,stars,2018-11,month,83.0
airbnb/epoxy,stars,2018-12,month,105.0
airbnb/epoxy,stars,2019-01,month,107.0
airbnb/epoxy,stars,2019-02,month,121.0
airbnb/epoxy,stars,2019-03,month,94.0
airbnb/epoxy,stars,2019-04,month,111.0
airbnb/epoxy,stars,2019-05,month,106.0
airbnb/epoxy,stars,2019-06,month,90.0
airbnb/epoxy,stars,2019-07,month,116.0
airbnb/epoxy,stars,2019-08,month,108.0
airbnb/epoxy,stars,2019-09,month,80.0
airbnb/epoxy,stars,2019-10,month,82.0
airbnb/epoxy,stars,2019-11,month,86.0
airbnb/epoxy,stars,2019-12,month,85.0
airbnb/epoxy,stars,2020-01,month,110.0
airbnb/epoxy,stars,2020-02,month,85.0
airbnb/epoxy,stars,2020-03,month,70.0
airbnb/epoxy,stars,2020-04,month,83.0
airbnb/epoxy,stars,2020-05,month,103.0
airbnb/epoxy,stars,2020-06,month,79.0
airbnb/epoxy,stars,2020-07,month,85.0
airbnb/epoxy,stars,2020-08,month,78.0
airbnb/epoxy,stars,2020-09,month,62.0
airbnb/epoxy,stars,2020-10,month,69.0
airbnb/epoxy,stars,2020-11,month,72.0
airbnb/epoxy,stars,2020-12,month,66.0
airbnb/epoxy,stars,2021-01,month,168.0
airbnb/epoxy,stars,2021-02,month,76.0
airbnb/epoxy,stars,2021-03,month,78.0
airbnb/epoxy,stars,2021-04,month,57.0
airbnb/epoxy,stars,2021-05,month,55.0
airbnb/epoxy,stars,2021-06,month,67.0
airbnb/epoxy,stars,2021-07,month,76.0
airbnb/epoxy,stars,2021-08,month,50.0
airbnb/epoxy,stars,2021-09,month,74.0
airbnb/epoxy,stars,2021-10,month,67.0
airbnb/epoxy,stars,2021-11,month,71.0
airbnb/epoxy,stars,2021-12,month,56.0
airbnb/epoxy,stars,2022-01,month,52.0
airbnb/epoxy,stars,2022-02,month,43.0
