period,airbnb/epoxy,airbnb/javascript,airbnb/knowledge-repo,airbnb/lottie-android,airbnb/lottie-ios
2020-05,14.01,57.12,5.94,8.68,14.09
2020-06,14.66,57.77,5.58,10.18,11.24
2020-07,14.06,57.81,4.43,10.83,13.3
2020-08,12.83,54.83,4.71,11.75,14.17
2020-09,13.5,49.66,3.15,8.98,14.85
2020-10,9.79,56.78,4.33,14.62,9.4
2020-11,13.22,51.54,3.6,16.27,12.3
2020-12,13.37,51.4,1.63,15.39,10.17
2021-01,10.43,45.49,1.92,12.41,10.11
2021-02,11.83,50.5,1.55,12.93,9.57
2021-03,10.07,52.03,1.31,15.53,10.68
2021-04,10.87,45.97,,17.73,9.93
2021-05,14.89,52.18,1.12,16.47,12.62
2021-06,11.43,45.68,0.97,16.42,11.8
2021-07,9.15,45.77,1.15,17.41,8.8
2021-08,9.06,47.05,2.71,15.91,9.92
2021-09,7.57,42.4,1.32,18.03,7.18
2021-10,7.0,50.0,1.0,17.0,9.0
2021-11,7.34,60.43,0.93,16.91,7.24
2021-12,4.29,48.25,0.52,16.77,17.96
2022-01,4.32,43.86,0.51,16.46,18.58
2022-02,4.16,43.66,1.48,16.04,18.3
2022-03,5.19,52.26,2.38,14.27,14.43
2022-04,3.66,44.74,3.49,14.49,11.31
2022-05,3.06,44.81,5.56,12.84,12.75
2022-06,2.8,46.53,5.2,12.86,10.44
2022-07,2.74,42.79,1.49,8.5,16.64
2022-08,1.84,42.41,3.99,9.34,23.0
2022-09,3.08,43.31,,7.66,14.27
2022-10,3.11,46.54,3.03,9.09,15.15
2022-11,3.84,48.09,4.17,11.12,16.75
2022-12,2.26,48.37,5.49,10.97,27.86
2023-01,2.01,44.95,5.15,9.67,25.77
2023-02,2.71,43.74,7.41,9.23,19.69
2023-03,2.26,45.09,6.4,10.81,19.4
2023-04,2.28,43.42,3.67,11.73,18.41
2023-05,3.93,43.34,,10.11,12.89
2023-06,2.94,43.89,,11.5,15.25
2023-07,2.23,46.74,1.3,11.39,14.67
2023-08,1.48,48.26,1.34,11.69,14.83
2023-09,1.32,42.39,,10.12,14.23
2023-10,1.07,39.72,,9.7,12.38
2023-11,3.64,37.61,,11.63,11.15
2023-12,1.55,39.39,,11.38,13.3
2024-01,1.75,38.88,,11.67,19.24
2024-02,1.25,42.37,,10.08,13.74
2024-03,1.74,45.56,,9.29,10.26
2024-04,1.63,44.51,,8.64,14.0
2024-05,2.13,41.59,,8.03,13.42
2024-06,1.62,34.37,,6.55,10.96
2024-07,0.76,35.49,,8.36,6.89
2024-08,,34.05,,8.43,4.33
2024-09,0.4,33.9,0.51,9.44,6.52
2024-10,0.36,34.62,,7.49,4.01
2024-11,,30.48,,10.78,3.11
2024-12,0.26,30.23,,10.12,3.11
2025-01,0.26,31.34,,7.38,4.52
2025-02,0.22,31.24,,5.8,4.09
2025-03,1.12,25.48,,7.81,5.28
2025-04,0.57,28.91,,6.67,4.25
2025-05,0.9,25.22,,4.8,2.59
2025-06,,25.68,,5.29,2.3
2025-07,0.9,24.04,0.31,3.8,2.82
2025-08,0.6,25.22,,4.03,3.4
2025-09,0.57,22.7,,3.7,3.27
2025-10,,25.49,,2.83,2.31
2025-11,1.89,19.17,,2.06,2.05
2025-12,,19.52,,1.79,2.51
2026-01,1.27,16.44,,1.95,2.78
2026-02,,15.61,,1.64,2.53
2026-03,,13.08,,1.45,3.24
2026-04,,16.35,,0.95,1.79
2026-05,,11.82,,0.64,1.33
2026-08,0.43,8.48,,1.19,1.37
