event_date,print_quarter,Index,quarter,guide_mid,actual,actual_publication
2024-05-08,2024Q1,1,2022Q1,1445,1509,2022-05-03
2024-05-08,2024Q1,2,2022Q2,2080,2104,2022-08-02
2024-05-08,2024Q1,3,2022Q3,2830,2884,2022-11-01
2024-05-08,2024Q1,4,2022Q4,1840,1902,2023-02-14
2024-05-08,2024Q1,5,2023Q1,1785,1818,2023-05-09
2024-05-08,2024Q1,6,2023Q2,2400,2484,2023-08-03
2024-05-08,2024Q1,7,2023Q3,3350,3397,2023-11-01
2024-05-08,2024Q1,8,2023Q4,2150,2218,2024-02-13
2024-08-06,2024Q2,2,2022Q2,2080,2104,2022-08-02
2024-08-06,2024Q2,3,2022Q3,2830,2884,2022-11-01
2024-08-06,2024Q2,4,2022Q4,1840,1902,2023-02-14
2024-08-06,2024Q2,5,2023Q1,1785,1818,2023-05-09
2024-08-06,2024Q2,6,2023Q2,2400,2484,2023-08-03
2024-08-06,2024Q2,7,2023Q3,3350,3397,2023-11-01
2024-08-06,2024Q2,8,2023Q4,2150,2218,2024-02-13
2024-08-06,2024Q2,9,2024Q1,2050,2142,2024-05-08
2024-11-07,2024Q3,3,2022Q3,2830,2884,2022-11-01
2024-11-07,2024Q3,4,2022Q4,1840,1902,2023-02-14
2024-11-07,2024Q3,5,2023Q1,1785,1818,2023-05-09
2024-11-07,2024Q3,6,2023Q2,2400,2484,2023-08-03
2024-11-07,2024Q3,7,2023Q3,3350,3397,2023-11-01
2024-11-07,2024Q3,8,2023Q4,2150,2218,2024-02-13
2024-11-07,2024Q3,9,2024Q1,2050,2142,2024-05-08
2024-11-07,2024Q3,10,2024Q2,2710,2748,2024-08-06
2025-02-13,2024Q4,4,2022Q4,1840,1902,2023-02-14
2025-02-13,2024Q4,5,2023Q1,1785,1818,2023-05-09
2025-02-13,2024Q4,6,2023Q2,2400,2484,2023-08-03
2025-02-13,2024Q4,7,2023Q3,3350,3397,2023-11-01
2025-02-13,2024Q4,8,2023Q4,2150,2218,2024-02-13
2025-02-13,2024Q4,9,2024Q1,2050,2142,2024-05-08
2025-02-13,2024Q4,10,2024Q2,2710,2748,2024-08-06
2025-02-13,2024Q4,11,2024Q3,3700,3732,2024-11-07
2025-05-01,2025Q1,5,2023Q1,1785,1818,2023-05-09
2025-05-01,2025Q1,6,2023Q2,2400,2484,2023-08-03
2025-05-01,2025Q1,7,2023Q3,3350,3397,2023-11-01
2025-05-01,2025Q1,8,2023Q4,2150,2218,2024-02-13
2025-05-01,2025Q1,9,2024Q1,2050,2142,2024-05-08
2025-05-01,2025Q1,10,2024Q2,2710,2748,2024-08-06
2025-05-01,2025Q1,11,2024Q3,3700,3732,2024-11-07
2025-05-01,2025Q1,12,2024Q4,2415,2480,2025-02-13
2025-08-06,2025Q2,6,2023Q2,2400,2484,2023-08-03
2025-08-06,2025Q2,7,2023Q3,3350,3397,2023-11-01
2025-08-06,2025Q2,8,2023Q4,2150,2218,2024-02-13
2025-08-06,2025Q2,9,2024Q1,2050,2142,2024-05-08
2025-08-06,2025Q2,10,2024Q2,2710,2748,2024-08-06
2025-08-06,2025Q2,11,2024Q3,3700,3732,2024-11-07
2025-08-06,2025Q2,12,2024Q4,2415,2480,2025-02-13
2025-08-06,2025Q2,13,2025Q1,2250,2272,2025-05-01
2025-11-06,2025Q3,7,2023Q3,3350,3397,2023-11-01
2025-11-06,2025Q3,8,2023Q4,2150,2218,2024-02-13
2025-11-06,2025Q3,9,2024Q1,2050,2142,2024-05-08
2025-11-06,2025Q3,10,2024Q2,2710,2748,2024-08-06
2025-11-06,2025Q3,11,2024Q3,3700,3732,2024-11-07
2025-11-06,2025Q3,12,2024Q4,2415,2480,2025-02-13
2025-11-06,2025Q3,13,2025Q1,2250,2272,2025-05-01
2025-11-06,2025Q3,14,2025Q2,3020,3096,2025-08-06
2026-02-12,2025Q4,8,2023Q4,2150,2218,2024-02-13
2026-02-12,2025Q4,9,2024Q1,2050,2142,2024-05-08
2026-02-12,2025Q4,10,2024Q2,2710,2748,2024-08-06
2026-02-12,2025Q4,11,2024Q3,3700,3732,2024-11-07
2026-02-12,2025Q4,12,2024Q4,2415,2480,2025-02-13
2026-02-12,2025Q4,13,2025Q1,2250,2272,2025-05-01
2026-02-12,2025Q4,14,2025Q2,3020,3096,2025-08-06
2026-02-12,2025Q4,15,2025Q3,4060,4095,2025-11-06
2026-05-07,2026Q1,9,2024Q1,2050,2142,2024-05-08
2026-05-07,2026Q1,10,2024Q2,2710,2748,2024-08-06
2026-05-07,2026Q1,11,2024Q3,3700,3732,2024-11-07
2026-05-07,2026Q1,12,2024Q4,2415,2480,2025-02-13
2026-05-07,2026Q1,13,2025Q1,2250,2272,2025-05-01
2026-05-07,2026Q1,14,2025Q2,3020,3096,2025-08-06
2026-05-07,2026Q1,15,2025Q3,4060,4095,2025-11-06
2026-05-07,2026Q1,16,2025Q4,2690,2778,2026-02-12
2026-08-06,2026Q2,10,2024Q2,2710,2748,2024-08-06
2026-08-06,2026Q2,11,2024Q3,3700,3732,2024-11-07
2026-08-06,2026Q2,12,2024Q4,2415,2480,2025-02-13
2026-08-06,2026Q2,13,2025Q1,2250,2272,2025-05-01
2026-08-06,2026Q2,14,2025Q2,3020,3096,2025-08-06
2026-08-06,2026Q2,15,2025Q3,4060,4095,2025-11-06
2026-08-06,2026Q2,16,2025Q4,2690,2778,2026-02-12
2026-08-06,2026Q2,17,2026Q1,2610,2678,2026-05-07
