window,signal,outcome,primary_family,eligible_event_ids,omission_type,omitted,n,intercept,slope,slope_hc1_se,slope_95_lo,slope_95_hi,slope_hc1_t,slope_hc1_p,r2,n_parameters,status,pearson,pearson_95_lo,pearson_95_hi,spearman,spearman_asymptotic_p
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2024Q3,15,-0.0866501442970517,0.512706816535088,0.386623335936205,-0.322542120278574,1.34795575334875,1.32611451218684,0.207630282853915,0.0939032441328037,2,descriptive_approximate_HC1_interval,0.306436362288818,-0.244152565609057,0.707619892552323,0.257142857142857,0.354860363650609
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2024Q4,15,-0.463695789232259,0.664652000180807,0.40474902533465,-0.209755107886034,1.53905910824765,1.64213366451289,0.124518910140193,0.138782993934066,2,descriptive_approximate_HC1_interval,0.372535896168498,-0.172680691626699,0.743006189730001,0.375,0.168432749846745
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2025Q1,15,-0.410001751755107,0.597116029135713,0.385764303081797,-0.236277080024414,1.43050913829584,1.54787787352398,0.145643785666167,0.129033646835023,2,descriptive_approximate_HC1_interval,0.359212537135083,-0.187564233137097,0.736036411379165,0.325,0.237225438237234
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2025Q2,15,-0.0995909536974304,0.514840734889893,0.381558888764795,-0.309467128992342,1.33914859877213,1.34930871760468,0.200269580575725,0.0957168312254054,2,descriptive_approximate_HC1_interval,0.30938136858157,-0.241090621113888,0.709240525847438,0.257142857142857,0.354860363650609
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2025Q3,15,0.203260888154379,0.499143936896126,0.377262341216812,-0.315881800332446,1.3141696741247,1.32306854505064,0.208613037188548,0.100368659566403,2,descriptive_approximate_HC1_interval,0.316810131729405,-0.233317885644638,0.713309874066382,0.260714285714286,0.347979459862794
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2025Q4,15,0.13224363124999,0.707608421864364,0.344309253309152,-0.0362264971148362,1.45144334084356,2.05515365928609,0.0605313289022557,0.192095853382365,2,descriptive_approximate_HC1_interval,0.43828740956405,-0.0953928888366772,0.776264602082438,0.364285714285714,0.181910259045814
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2026Q1,15,-0.0642693046232038,0.537988667726864,0.405511184544046,-0.338064985207192,1.41404232066092,1.32669255061799,0.207444208404133,0.0981887735732716,2,descriptive_approximate_HC1_interval,0.313350879324235,-0.236946078165804,0.711418275544458,0.278571428571429,0.314709473230791
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2026Q2,15,-0.386342845585194,0.358913915472983,0.368035883743912,-0.436179272220949,1.15400710316691,0.97521445958439,0.347252416339698,0.0624481528185623,2,descriptive_approximate_HC1_interval,0.249896284123158,-0.300883423487194,0.675665449802683,0.207142857142857,0.45884280496347
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,year,2022,14,0.135607742101185,0.370468282602075,0.385725051077047,-0.469954407408642,1.21089097261279,0.960446519010443,0.355784057138559,0.0585898595328455,2,descriptive_approximate_HC1_interval,0.242053422890166,-0.331041237192978,0.684698115485924,0.182417582417582,0.532508818518694
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,year,2023,12,0.263264486835402,0.268445946965053,0.682425281527768,-1.25209233638464,1.78898423031475,0.393370460080369,0.702302070047488,0.0172120555982067,2,descriptive_approximate_HC1_interval,0.131194723972448,-0.478753624703821,0.655724932656269,0.0559440559440559,0.862898073694971
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,year,2024,13,-0.224994698904334,0.542197372750595,0.424010362064586,-0.391043141878642,1.47543788737983,1.27873613774563,0.227309421650179,0.0978512273419844,2,descriptive_approximate_HC1_interval,0.312811808188221,-0.287772426584484,0.736805255167549,0.236263736263736,0.437083543831181
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,year,2025,12,-0.64246079744235,0.765867647602633,0.422369650201082,-0.17523057991025,1.70696587511552,1.8132639199763,0.0998690958304668,0.192386973055066,2,descriptive_approximate_HC1_interval,0.438619394298823,-0.180791968937169,0.808900927215958,0.440559440559441,0.15173503571673
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,year,2026,13,-0.120266309534087,0.577796984335671,0.315425015924668,-0.116448794836192,1.27204276350753,1.83180456579153,0.0941706940257423,0.155064518974996,2,descriptive_approximate_HC1_interval,0.393782324355724,-0.200761951590473,0.776328888284816,0.313186813186813,0.297438422071029
all,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2022Q3,14,-3.93531653829168,0.998077312792169,0.915779997464522,-0.997235894836153,2.99339052042049,1.08986581444834,0.297174351727701,0.0892262597213584,2,descriptive_approximate_HC1_interval,0.298707649251502,-0.275541996108399,0.715835675587376,0.252747252747253,0.383314964478511
all,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2022Q4,14,-2.87702855085711,0.463249030051458,1.34091282463712,-2.45834903573321,3.38484709583613,0.345472890959056,0.735719443638822,0.0118050073098029,2,descriptive_approximate_HC1_interval,0.108650850478968,-0.447739924801074,0.604388610248567,0.178021978021978,0.542596952606215
all,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2023Q1,14,-2.63026146602732,0.778632707965169,0.897947569060576,-1.17782697587251,2.73509239180285,0.867124913295068,0.40288015441324,0.0675545665361268,2,descriptive_approximate_HC1_interval,0.259912613268627,-0.313963856714356,0.694691207579928,0.257142857142857,0.37481190387997
all,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2023Q2,14,-4.59954810582797,1.15190017685469,1.01104454056925,-1.05097663950259,3.35477699321198,1.1393169446384,0.276803488503935,0.0974907364623948,2,descriptive_approximate_HC1_interval,0.312235066035823,-0.261698926848964,0.723032936762039,0.261538461538462,0.366411137066742
all,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2023Q3,14,-4.81652465556303,1.0622450774912,1.01266640521335,-1.14416547836064,3.26865563334304,1.04895854352688,0.314864770447052,0.0946338457148596,2,descriptive_approximate_HC1_interval,0.30762614601958,-0.266442064185762,0.720590736616303,0.358241758241758,0.208498124790767
all,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2023Q4,14,-4.03166840162048,0.977847909125563,0.926203436043935,-1.04017602020883,2.99587183845996,1.05575931925087,0.311870651497142,0.0838515270843788,2,descriptive_approximate_HC1_interval,0.289571281525601,-0.284758717327399,0.710924003230142,0.252747252747253,0.383314964478511
all,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2024Q1,14,-3.37627194120963,0.826391164239461,1.00859034048031,-1.37113840947748,3.0239207379564,0.819352646036565,0.428558684529469,0.0583175055579263,2,descriptive_approximate_HC1_interval,0.241490176938787,-0.331573788160162,0.684380221073427,0.217582417582418,0.454919373170033
all,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2024Q3,14,-3.32383790323779,0.852279544158854,0.944495321424226,-1.20559897972092,2.91015806803863,0.90236502481948,0.384617957837888,0.0666957665412627,2,descriptive_approximate_HC1_interval,0.258255235263998,-0.315564467685037,0.693770834761259,0.252747252747253,0.383314964478511
all,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2024Q4,14,-8.87832189569285,1.89525173636856,0.527212170115533,0.746555096164134,3.04394837657298,3.59485581668806,0.00368049512128052,0.332971948223852,2,descriptive_approximate_HC1_interval,0.577037215631585,0.0669577840768616,0.84799199595327,0.564835164835165,0.0353301848675528
all,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,event,2025Q1,14,-4.10954198537955,0.953048645527241,1.02437012654776,-1.27886212852286,3.18495941957734,0.930375282163997,0.37051587239185,0.0749698092285537,2,descriptive_approximate_HC1_interval,0.273806152649194,-0.300416660247552,0.702350964083375,0.274725274725275,0.341829743719481
