guide_id,guide_date,print_quarter,target_period,is_fy,fy,metric,guide_type,value,unit,quote,note
ABNB-2Q23-adj_ebitda_margin_yoy_pts-3Q23-081,2023-08-03,2023Q2,2023Q3,False,2023,adj_ebitda_margin_yoy_pts,floor,0.0,pts,We expect a record-high Adjusted EBITDA in Q3 2023 on a nominal basis and an Adjusted EBITDA margin that exceeds Q3 2022,
ABNB-2Q23-adj_ebitda_margin_yoy_pts-FY2023-082,2023-08-03,2023Q2,FY2023,True,2023,adj_ebitda_margin_yoy_pts,floor,0.0,pts,"For the full-year 2023, we expect an Adjusted EBITDA margin that is modestly higher than the full-year 2022",
ABNB-3Q23-adj_ebitda_margin_yoy_pts-4Q23-088,2023-11-01,2023Q3,2023Q4,False,2023,adj_ebitda_margin_yoy_pts,floor,0.0,pts,we expect a record-high fourth quarter Adjusted EBITDA in 2023 on a nominal basis and an Adjusted EBITDA margin that exceeds Q4 2022,
ABNB-3Q23-adj_ebitda_margin_yoy_pts-FY2023-089,2023-11-01,2023Q3,FY2023,True,2023,adj_ebitda_margin_yoy_pts,point,1.5,pts,we expect an Adjusted EBITDA margin for full-year 2023 that is approximately 150 bps higher than full-year 2022,
ABNB-4Q23-adj_ebitda_margin_yoy_pts-1Q24-096,2024-02-13,2023Q4,2024Q1,False,2024,adj_ebitda_margin_yoy_pts,floor,0.0,pts,We expect Adjusted EBITDA Margin in Q1 2024 to expand relative to Q1 2023,
ABNB-4Q23-adj_ebitda_margin_pct-FY2024-097,2024-02-13,2023Q4,FY2024,True,2024,adj_ebitda_margin_pct,floor,35.0,pct,"For the full-year 2024, we expect to maintain an Adjusted EBITDA Margin of at least 35%",
ABNB-1Q24-adj_ebitda_margin_yoy_pts-2Q24-104,2024-05-08,2024Q1,2024Q2,False,2024,adj_ebitda_margin_yoy_pts,ceiling,0.0,pts,"we expect Adjusted EBITDA to be flat to up on a nominal basis, but down on an Adjusted EBITDA Margin basis, relative to Q2 2023",
ABNB-1Q24-adj_ebitda_margin_pct-FY2024-105,2024-05-08,2024Q1,FY2024,True,2024,adj_ebitda_margin_pct,floor,35.0,pct,"For the full-year 2024, consistent with our prior guidance, we expect to grow Adjusted EBITDA on a nominal basis and to deliver an Adjusted EBITDA Mar",
ABNB-2Q24-adj_ebitda_margin_yoy_pts-3Q24-112,2024-08-06,2024Q2,2024Q3,False,2024,adj_ebitda_margin_yoy_pts,ceiling,0.0,pts,"we expect Adjusted EBITDA to approximate Q3 2023 on a nominal basis, but for Adjusted EBITDA Margin to decline relative to Q3 2023",
ABNB-2Q24-adj_ebitda_margin_pct-FY2024-114,2024-08-06,2024Q2,FY2024,True,2024,adj_ebitda_margin_pct,floor,35.0,pct,"For the full-year 2024, consistent with our prior guidance, we expect to grow Adjusted EBITDA on a nominal basis and to deliver an Adjusted EBITDA Mar",
ABNB-3Q24-adj_ebitda_margin_yoy_pts-4Q24-121,2024-11-07,2024Q3,2024Q4,False,2024,adj_ebitda_margin_yoy_pts,ceiling,0.0,pts,Q4 2024 Adjusted EBITDA Margin is expected to decline relative to the same time period last year,
ABNB-3Q24-adj_ebitda_margin_pct-FY2024-123,2024-11-07,2024Q3,FY2024,True,2024,adj_ebitda_margin_pct,point,35.5,pct,"For the full-year 2024, we now expect to deliver an Adjusted EBITDA Margin of approximately 35.5%",raised from the 'at least 35%' floor carried since 4Q23
ABNB-4Q24-adj_ebitda_margin_yoy_pts-1Q25-132,2025-02-13,2024Q4,2025Q1,False,2025,adj_ebitda_margin_yoy_pts,ceiling,0.0,pts,"In Q1 2025, we expect Adjusted EBITDA and Adjusted EBITDA Margin to decline compared to Q1 2024",
ABNB-4Q24-adj_ebitda_margin_pct-FY2025-133,2025-02-13,2024Q4,FY2025,True,2025,adj_ebitda_margin_pct,floor,34.5,pct,we expect to deliver a full-year Adjusted EBITDA Margin of at least 34.5%,
ABNB-1Q25-adj_ebitda_margin_yoy_pts-2Q25-141,2025-05-01,2025Q1,2025Q2,False,2025,adj_ebitda_margin_yoy_pts,ceiling,0.0,pts,"we expect Adjusted EBITDA to increase on a year-over- year basis, but for Adjusted EBITDA Margin to be flat to down slightly compared to Q2 2024",
ABNB-1Q25-adj_ebitda_margin_pct-FY2025-143,2025-05-01,2025Q1,FY2025,True,2025,adj_ebitda_margin_pct,floor,34.5,pct,"For full-year 2025, consistent with our prior guidance, we expect to deliver a full-year Adjusted EBITDA Margin of at least 34.5%",
ABNB-2Q25-adj_ebitda_margin_yoy_pts-3Q25-151,2025-08-06,2025Q2,2025Q3,False,2025,adj_ebitda_margin_yoy_pts,ceiling,0.0,pts,we anticipate that Adjusted EBITDA Margin during Q3 2025 will be lower than in Q3 2024,
ABNB-2Q25-adj_ebitda_usd_m-3Q25-150,2025-08-06,2025Q2,2025Q3,False,2025,adj_ebitda_usd_m,floor,2000.0,USD m,"In Q3 2025, we expect Adjusted EBITDA to increase to over $2.0 billion",
ABNB-2Q25-adj_ebitda_margin_yoy_pts-4Q25-152,2025-08-06,2025Q2,2025Q4,False,2025,adj_ebitda_margin_yoy_pts,ceiling,0.0,pts,We expect a similar year-over-year decline in Q4 2025 Adjusted EBITDA Margin due to growth investments and a tougher year-over-year top-line compariso,two-quarter-ahead margin guide
ABNB-2Q25-adj_ebitda_margin_pct-FY2025-153,2025-08-06,2025Q2,FY2025,True,2025,adj_ebitda_margin_pct,floor,34.5,pct,"For 2025, consistent with our prior guidance, we expect to deliver a full-year Adjusted EBITDA Margin of at least 34.5%",
ABNB-3Q25-adj_ebitda_margin_yoy_pts-4Q25-161,2025-11-06,2025Q3,2025Q4,False,2025,adj_ebitda_margin_yoy_pts,ceiling,0.0,pts,We expect Adjusted EBITDA in Q4 2025 to be flat- to-down slightly on a year-over-year basis and for Adjusted EBITDA Margin to decline over the same ti,
ABNB-3Q25-adj_ebitda_margin_pct-FY2025-162,2025-11-06,2025Q3,FY2025,True,2025,adj_ebitda_margin_pct,point,35.0,pct,"For the full-year 2025, we now expect to deliver an Adjusted EBITDA Margin of approximately 35%",raised from the 'at least 34.5%' floor carried all year
ABNB-4Q25-adj_ebitda_margin_yoy_pts-1Q26-169,2026-02-12,2025Q4,2026Q1,False,2026,adj_ebitda_margin_yoy_pts,point,0.0,pts,We expect Adjusted EBITDA Margin to be approximately flat year-over-year,
ABNB-4Q25-adj_ebitda_margin_yoy_pts-FY2026-171,2026-02-12,2025Q4,FY2026,True,2026,adj_ebitda_margin_yoy_pts,point,0.0,pts,"For 2026, we expect our Adjusted EBITDA Margin to be stable year-over-year",
ABNB-1Q26-adj_ebitda_margin_yoy_pts-2Q26-178,2026-05-07,2026Q1,2026Q2,False,2026,adj_ebitda_margin_yoy_pts,floor,0.0,pts,We expect Adjusted EBITDA and Adjusted EBITDA Margin to be up year-over-year in Q2 2026,
ABNB-1Q26-adj_ebitda_margin_pct-FY2026-180,2026-05-07,2026Q1,FY2026,True,2026,adj_ebitda_margin_pct,floor,35.0,pct,"For 2026, we now expect our Adjusted EBITDA Margin to be at least 35%",
ABNB-2Q26-adj_ebitda_margin_yoy_pts-3Q26-188,2026-08-06,2026Q2,2026Q3,False,2026,adj_ebitda_margin_yoy_pts,ceiling,0.0,pts,"We expect Adjusted EBITDA to increase year-over-year and Adjusted EBITDA Margin to be down slightly compared to Q3 2025, due to timing of investments",
ABNB-2Q26-adj_ebitda_margin_pct-FY2026-190,2026-08-06,2026Q2,FY2026,True,2026,adj_ebitda_margin_pct,floor,35.5,pct,"For 2026, we now expect to deliver a full-year Adjusted EBITDA Margin of at least 35.5%",
