quarter,print_date,knowable_from,has_actual,source,revenue_musd,nights_m,gbv_musd,adj_ebitda_musd,adj_ebitda_margin_pct,cor_cash_musd,ops_cash_musd,pd_cash_musd,sm_cash_musd,ga_cash_musd,ga_cash_ex_reserves_musd,total_cash_costs_musd,sbc_musd,da_musd,op_income_musd,op_margin_pct,net_income_musd,eps_diluted,fcf_musd,fcf_margin_pct,interest_income_musd,tax_rate_pct,tax_provision_musd,pretax_income_musd,diluted_shares_m,cfo_musd,capex_musd,adj_ebitda_margin_yoy_pp,cor_cash_pct_rev,cor_cash_per_night,ops_cash_pct_rev,ops_cash_per_night,pd_cash_pct_rev,pd_cash_per_night,sm_cash_pct_rev,sm_cash_per_night,ga_cash_pct_rev,ga_cash_per_night,total_cash_costs_pct_rev,sbc_pct_rev,adj_ebitda_per_night,revenue_per_night,eps_source
2022Q3,2022-11-01,2022-11-01,True,ws02,2884.41,99.7,15600.0,1457.0,50.512929853938935,401.149,271.164,230.277,356.554,187.369,181.369,1427.4099999999999,234.0,13.0,1203.481,41.72364539021846,1214.288,1.79,958.0,33.213031434504806,58.457,4.379167162112893,55.611,1269.899,680.059,964.0,6.0,1.3047304539124696,13.907488879874915,4.0235606820461385,9.401021352720313,2.7197993981945836,7.983504425515096,2.3096990972918756,12.361418799685202,3.5762688064192574,6.4959211762544165,1.8793279839518555,49.48707014606107,8.112577615526225,14.61384152457372,28.9308926780341,ws02:reported
2022Q4,2023-02-14,2023-02-14,True,ws02,1902.0,88.2,13500.0,506.0,26.603575184016826,345.0,243.0,249.0,372.0,204.0,198.0,1396.0,254.0,13.0,235.0,12.355415352260778,319.0,0.48,455.0,23.922187171398527,102.0,7.267441860465116,25.0,344.0,672.0,463.0,8.0,4.873467042469642,18.138801261829652,3.91156462585034,12.77602523659306,2.7551020408163263,13.091482649842272,2.82312925170068,19.558359621451103,4.217687074829932,10.725552050473187,2.312925170068027,73.39642481598318,13.354363827549948,5.736961451247165,21.564625850340136,ws02:reported
2023Q1,2023-05-09,2023-05-09,True,ws02,1818.0,121.1,20400.0,262.0,14.411441144114411,428.0,267.0,271.0,422.0,195.0,191.0,1556.0,240.0,11.0,-5.0,-0.27502750275027504,117.0,0.18,1581.0,86.96369636963696,146.0,10.307692307692308,13.4,130.0,670.0,1587.0,6.0,-0.7648054453720956,23.54235423542354,3.5342691990090835,14.686468646864686,2.2047894302229563,14.906490649064907,2.2378199834847234,23.212321232123212,3.4847233691164328,10.726072607260726,1.6102394715111479,85.5885588558856,13.201320132013201,2.1635012386457473,15.012386457473163,ws02:reported
2023Q2,2023-08-03,2023-08-03,True,ws02,2484.0,115.1,19100.0,819.0,32.971014492753625,432.0,298.0,260.0,450.0,217.0,219.0,1665.0,304.0,9.0,523.0,21.054750402576488,650.0,0.98,900.0,36.231884057971016,191.0,3.8461538461538463,26.0,676.0,665.0,909.0,9.0,-0.8200427110862947,17.391304347826086,3.753258036490009,11.996779388083736,2.589052997393571,10.466988727858293,2.2589052997393573,18.115942028985508,3.909643788010426,8.735909822866345,1.8853171155516943,67.02898550724638,12.238325281803542,7.115551694178976,21.58123370981755,ws02:reported
2023Q3,2023-11-01,2023-11-01,True,ws02,3397.0,113.2,18300.0,1834.0,53.98881365911098,459.0,299.0,244.0,370.0,243.0,202.0,1563.0,286.0,8.0,1496.0,44.03885781571975,4374.0,6.63,1310.0,38.56343832793642,192.0,-160.51220964860036,-2695.0,1679.0,660.0,1325.0,15.0,3.475883805172046,13.511922284368561,4.054770318021201,8.801884015307625,2.6413427561837457,7.182808360317928,2.15547703180212,10.891963497203415,3.2685512367491167,7.153370621136297,2.146643109540636,46.01118634088902,8.419193405946423,16.201413427561835,30.008833922261484,ws02:reported
2023Q4,2024-02-13,2024-02-13,True,ws02,2218.0,98.8,15500.0,738.0,33.27321911632101,384.0,254.0,253.0,391.0,1142.0,211.0,1480.0,290.0,16.0,-496.0,-22.36248872858431,-349.0,-0.55,46.0,2.073940486925158,192.0,8.877284595300262,-34.0,-383.0,640.0,63.0,17.0,6.669643932304183,17.31289449954914,3.8866396761133606,11.45175834084761,2.57085020242915,11.406672678088368,2.5607287449392713,17.628494138863843,3.95748987854251,51.487826871055006,11.558704453441296,66.72678088367898,13.074842200180342,7.469635627530365,22.44939271255061,ws02:reported
2024Q1,2024-05-08,2024-05-08,True,ws02,2142.0,132.6,22900.0,424.0,19.794584500466854,480.0,266.0,290.0,479.0,231.0,223.0,1718.0,295.0,14.0,101.0,4.715219421101774,264.0,0.41,1909.0,89.12231559290383,202.0,9.897610921501707,29.0,293.0,654.0,1923.0,14.0,5.383143356352443,22.408963585434172,3.6199095022624435,12.418300653594772,2.0060331825037707,13.53874883286648,2.187028657616893,22.362278244631185,3.61236802413273,10.784313725490197,1.742081447963801,80.20541549953315,13.77217553688142,3.197586726998492,16.153846153846153,ws02:reported
2024Q2,2024-08-06,2024-08-06,True,ws02,2748.0,125.1,21200.0,894.0,32.532751091703055,506.0,314.0,280.0,527.0,242.0,242.0,1854.0,382.0,14.0,497.0,18.085880640465792,555.0,0.86,1043.0,37.95487627365357,226.0,18.502202643171806,126.0,681.0,649.0,1051.0,8.0,-0.4382634010505697,18.41339155749636,4.044764188649081,11.426491994177583,2.509992006394884,10.189228529839884,2.238209432454037,19.17758369723435,4.212629896083134,8.806404657933042,1.9344524380495605,67.46724890829694,13.901018922852984,7.146282973621103,21.96642685851319,ws02:reported
2024Q3,2024-11-07,2024-11-07,True,ws02,3732.0,122.8,20100.0,1958.0,52.465166130760984,465.0,347.0,294.0,471.0,268.0,210.0,1774.0,362.0,15.0,1525.0,40.862808145766344,1368.0,2.13,1074.0,28.778135048231512,207.0,21.152737752161382,367.0,1735.0,642.0,1078.0,4.0,-1.523647528349997,12.459807073954984,3.7866449511400653,9.29796355841372,2.8257328990228014,7.877813504823151,2.3941368078175898,12.620578778135048,3.8355048859934855,7.181136120042872,2.182410423452769,47.534833869239016,9.69989281886388,15.944625407166123,30.39087947882736,ws02:reported
2024Q4,2025-02-13,2025-02-13,True,ws02,2480.0,111.0,17600.0,765.0,30.846774193548388,427.0,265.0,306.0,501.0,183.0,226.0,1715.0,368.0,22.0,430.0,17.338709677419356,461.0,0.73,458.0,18.467741935483872,183.0,25.884244372990352,161.0,622.0,636.0,466.0,8.0,-2.426444922772621,17.217741935483872,3.8468468468468466,10.685483870967742,2.3873873873873874,12.338709677419354,2.7567567567567566,20.201612903225808,4.513513513513513,7.379032258064516,1.6486486486486487,69.15322580645162,14.838709677419354,6.891891891891892,22.34234234234234,ws02:reported
2025Q1,2025-05-01,2025-05-01,True,ws02,2272.0,143.1,24500.0,417.0,18.35387323943662,506.0,282.0,338.0,519.0,231.0,235.0,1855.0,358.0,25.0,38.0,1.6725352112676057,154.0,0.24,1781.0,78.38908450704226,173.0,10.982658959537572,19.0,173.0,632.0,1789.0,8.0,-1.4407112610302342,22.27112676056338,3.535988819007687,12.411971830985916,1.9706498951781972,14.876760563380282,2.3619846261355697,22.843309859154928,3.6268343815513626,10.16725352112676,1.6142557651991616,81.64612676056338,15.757042253521126,2.9140461215932913,15.877009084556255,ws02:reported
2025Q2,2025-08-06,2025-08-06,True,ws02,3096.0,134.4,23500.0,1043.0,33.68863049095607,544.0,309.0,331.0,639.0,237.0,244.0,2053.0,424.0,21.0,612.0,19.767441860465116,642.0,1.03,962.0,31.072351421188632,190.0,17.586649550706035,137.0,779.0,626.0,975.0,13.0,1.155879399253017,17.57105943152455,4.0476190476190474,9.98062015503876,2.299107142857143,10.691214470284237,2.462797619047619,20.63953488372093,4.754464285714286,7.655038759689923,1.763392857142857,66.31136950904393,13.695090439276486,7.760416666666666,23.035714285714285,ws02:reported
2025Q3,2025-11-06,2025-11-06,True,ws02,4095.0,133.6,22900.0,2051.0,50.085470085470085,549.0,343.0,333.0,585.0,261.0,257.0,2044.0,399.0,22.0,1625.0,39.682539682539684,1374.0,2.21,1349.0,32.94261294261294,180.0,23.325892857142858,418.0,1792.0,621.0,1356.0,7.0,-2.379696045290899,13.406593406593407,4.109281437125749,8.376068376068377,2.567365269461078,8.131868131868131,2.4925149700598803,14.285714285714286,4.37874251497006,6.373626373626373,1.9535928143712575,49.914529914529915,9.743589743589743,15.35179640718563,30.651197604790422,ws02:reported
2025Q4,2026-02-12,2026-02-12,True,ws02,2778.0,121.9,20400.0,786.0,28.293736501079913,487.0,303.0,335.0,633.0,340.0,259.0,1992.0,411.0,23.0,269.0,9.683225341972642,341.0,0.56,521.0,18.754499640028797,162.0,13.231552162849873,52.0,393.0,614.0,526.0,5.0,-2.5530376924684752,17.530597552195825,3.995077932731747,10.907127429805616,2.485643970467596,12.059035277177825,2.7481542247744053,22.786177105831534,5.192780968006563,12.239020878329734,2.789171452009844,71.70626349892008,14.794816414686824,6.447908121410992,22.789171452009843,ws02:reported
2026Q1,2026-05-07,2026-05-07,True,ws02,2678.0,156.2,29200.0,519.0,19.38013442867812,581.0,301.0,375.0,696.0,229.0,226.0,2159.0,410.0,22.0,86.0,3.2113517550410755,160.0,0.26,1704.0,63.62957430918596,155.0,43.06049822064057,121.0,281.0,608.0,1708.0,4.0,1.0262611892414988,21.69529499626587,3.719590268886044,11.239731142643764,1.9270166453265045,14.002987303958177,2.4007682458386688,25.989544436146378,4.4558258642765685,8.551157580283794,1.4660691421254803,80.61986557132188,15.30993278566094,3.322663252240717,17.144686299615877,ws02:reported
2026Q2,2026-08-06,2026-08-06,True,ws02,3608.0,148.3,27200.0,1261.0,34.950110864745014,633.0,323.0,374.0,808.0,225.0,227.0,2347.0,487.0,17.0,758.0,21.008869179600886,816.0,1.37,1253.0,34.72838137472284,183.0,9.03010033444816,81.0,897.0,597.0,1270.0,17.0,1.2614803737889417,17.544345898004433,4.268374915711395,8.952328159645234,2.1780175320296693,10.365853658536585,2.521915037086986,22.394678492239468,5.448415374241402,6.236141906873614,1.5171948752528657,65.04988913525499,13.497782705099779,8.503034389750505,24.32906271072151,ws02:reported
2026Q3,2026-11-05,2026-11-05,False,forward_row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026Q4,,,False,forward_row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027Q1,,,False,forward_row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027Q2,,,False,forward_row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027Q3,,,False,forward_row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027Q4,,,False,forward_row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
