quarter,qnum,revenue_musd,adj_ebitda_musd,sbc_musd,cfo_musd,capex_musd,fcf_reported_musd,unearned_fees_musd,funds_payable_musd,cash_musd,st_investments_musd,restricted_cash_musd,nights_m,gbv_musd,interest_income_musd,fcf_crosscheck_bridge_musd,fcf_crosscheck_delta_musd,d_unearned_fees_musd,fcf_exfloat_musd,fcf_less_sbc_musd,fcf_exfloat_less_sbc_musd,customer_float_musd,interest_earning_balances_musd,avg_interest_earning_balances_musd,avg_customer_float_musd,implied_yield_annualised_pct,customer_funds_share_of_balances_pct,interest_income_on_customer_funds_musd,fcf_margin_pct,fcf_exfloat_margin_pct,fcf_to_adj_ebitda_pct,fcf_exfloat_to_adj_ebitda_pct,fcf_less_sbc_to_adj_ebitda_pct,nights_yoy_pct,gbv_yoy_pct,revenue_yoy_pct,adj_ebitda_yoy_pct,fcf_reported_yoy_pct,fcf_exfloat_yoy_pct,unearned_fees_yoy_pct,sbc_yoy_pct,ttm_revenue_musd,ttm_adj_ebitda_musd,ttm_fcf_reported_musd,ttm_fcf_exfloat_musd,ttm_revenue_yoy_pct,ttm_adj_ebitda_yoy_pct,ttm_fcf_reported_yoy_pct,ttm_fcf_exfloat_yoy_pct
1Q24,1Q,2142.0,424.0,295.0,1923.0,14.0,1909.0,2434.0,8737.0,7829.0,3264.0,35.0,132.6,22900.0,202.0,1909.0,0.0,1007.0,902.0,1614.0,607.0,11171.0,19865.0,17914.5,9233.5,4.510312875045354,51.54204694521198,104.1149348293282,89.12231559290383,42.11017740429505,450.2358490566038,212.73584905660377,380.66037735849056,9.496284062758043,12.254901960784315,17.821782178217816,61.832061068702295,20.746363061353577,52.62267343485618,12.062615101289143,22.916666666666675,10241.0,3815.0,4165.0,3902.999999999999,17.604501607717047,29.938692098092634,9.894459102902363,15.963989660397516
2Q24,2Q,2748.0,894.0,382.0,1051.0,8.0,1043.0,2621.0,10342.0,7882.0,3369.0,35.0,125.1,21200.0,226.0,1043.0,0.0,187.0,856.0,661.0,474.0,12963.0,21628.0,20746.5,12067.0,4.357361482659726,58.16402766731738,131.45070252813727,37.95487627365357,31.149927219796215,116.66666666666667,95.74944071588367,73.93736017897092,8.688097306689846,10.994764397905765,10.6280193236715,9.157509157509146,15.888888888888886,18.068965517241374,11.674478057094163,25.657894736842103,10505.0,3890.0,4308.0,4033.999999999999,15.591989436619723,27.792378449408673,10.631741140215723,14.345644717820782
3Q24,3Q,3732.0,1958.0,362.0,1078.0,4.0,1074.0,1657.0,6573.0,7670.0,3583.0,27.0,122.8,20100.0,207.0,1074.0,0.0,-964.0,2038.0,712.0,1676.0,8230.0,17853.0,19740.5,10596.5,4.194422633671893,53.67898482814518,111.11549859426053,28.778135048231512,54.60878885316184,54.85188968335036,104.08580183861083,36.36363636363637,8.480565371024728,9.836065573770503,9.861642625846345,6.7611777535441675,-18.015267175572514,-6.94063926940639,12.951601908657118,26.573426573426584,10840.0,4014.0,4072.0,3881.999999999999,12.904905738985528,17.33411283250512,-4.097974564295804,-2.9330132773235373
4Q24,4Q,2480.0,765.0,400.0,466.0,8.0,458.0,1616.0,5931.0,6864.0,3747.0,25.0,111.0,17600.0,183.0,458.0,0.0,-41.0,499.0,58.0,99.0,7547.0,16567.0,17210.0,7888.5,4.253341080766996,45.83672283556072,83.88120278907613,18.467741935483872,20.120967741935484,59.869281045751634,65.22875816993464,7.5816993464052285,12.348178137651832,13.548387096774196,11.812443642921554,3.658536585365857,895.6521739130435,480.23255813953483,13.24456902592852,48.14814814814814,11102.0,4041.0,4484.0,4294.999999999999,11.949178178884745,10.621407062688192,16.862131873859788,19.571269487750563
1Q25,1Q,2272.0,417.0,358.0,1789.0,8.0,1781.0,2723.0,9175.0,7600.0,3892.0,40.0,143.1,24500.0,173.0,1781.0,0.0,1107.0,674.0,1423.0,316.0,11898.0,20707.0,18637.0,9722.5,3.713043944840908,52.1677308579707,90.25017438428932,78.38908450704226,29.66549295774648,427.09832134292566,161.6306954436451,341.2470023980815,7.918552036199089,6.986899563318771,6.069094304388423,-1.650943396226412,-6.705081194342588,-25.27716186252772,11.873459326212,21.355932203389827,11232.0,4034.0,4356.0,4066.999999999999,9.676789376037487,5.740498034076014,4.585834333733496,4.2018959774532405
2Q25,2Q,3096.0,1043.0,424.0,975.0,13.0,962.0,2857.0,11067.0,7402.0,3954.0,44.0,134.4,23500.0,190.0,962.0,0.0,134.0,828.0,538.0,404.0,13924.0,22467.0,21587.0,12911.0,3.5206374206698476,59.80914439245842,113.637374345671,31.072351421188632,26.74418604651163,92.23394055608821,79.38638542665389,51.581975071907955,7.434052757793785,10.849056603773576,12.66375545851528,16.666666666666675,-7.766059443911788,-3.2710280373831724,9.004196871423131,10.994764397905765,11580.0,4183.0,4275.0,4038.999999999999,10.233222275107101,7.532133676092534,-0.7660167130919215,0.12394645513138514
3Q25,3Q,4095.0,2051.0,399.0,1356.0,7.0,1349.0,1820.0,7209.0,7528.0,4156.0,35.0,133.6,22900.0,180.0,1349.0,0.0,-1037.0,2386.0,950.0,1987.0,9029.0,18928.0,20697.5,11476.5,3.4786810001207877,55.448725691508635,99.80770624471555,32.94261294261294,58.266178266178265,65.77279375914188,116.33349585568016,46.31886884446612,8.794788273615639,13.93034825870647,9.726688102893899,4.749744637385089,25.605214152700185,17.075564278704604,9.837054918527466,10.220994475138113,11943.0,4276.0,4550.0,4386.999999999999,10.175276752767527,6.52715495764824,11.738703339882118,13.008758371973217
4Q25,4Q,2778.0,786.0,400.0,526.0,5.0,521.0,1743.0,6959.0,6560.0,4454.0,35.0,121.9,20400.0,162.0,521.0,0.0,-77.0,598.0,121.0,198.0,8702.0,18008.0,18468.0,8865.5,3.508771929824561,48.004656703487115,77.76754385964912,18.754499640028797,21.52627789776818,66.2849872773537,76.08142493638677,15.39440203562341,9.81981981981983,15.909090909090917,12.01612903225806,2.7450980392156765,13.755458515283836,19.839679358717444,7.858910891089099,0.0,12241.0,4297.0,4613.0,4485.999999999999,10.259412718429118,6.335065577827281,2.8768956289027647,4.447031431897552
1Q26,1Q,2678.0,519.0,410.0,1708.0,4.0,1704.0,2733.0,10550.0,7037.0,4968.0,60.0,156.2,29200.0,155.0,1704.0,0.0,990.0,714.0,1294.0,304.0,13283.0,22615.0,20311.5,10992.5,3.0524579671614602,54.119587425842504,83.88536051005589,63.62957430918596,26.66168782673637,328.32369942196533,137.5722543352601,249.32562620423892,9.15443745632425,19.183673469387763,17.869718309859152,24.460431654676263,-4.323413812464905,5.934718100890213,0.3672420124862352,14.525139664804465,12647.0,4399.0,4536.0,4525.999999999999,12.597934472934469,9.048091224590982,4.132231404958686,11.285960167199406
2Q26,2Q,3608.0,1261.0,487.0,1270.0,17.0,1253.0,2831.0,12224.0,6821.0,5248.0,67.0,148.3,27200.0,183.0,1253.0,0.0,98.0,1155.0,766.0,668.0,15055.0,24360.0,23487.5,14169.0,3.116551357104843,60.32570516232038,110.3960404470463,34.72838137472284,32.01219512195122,99.36558287073751,91.59397303727201,60.74544012688342,10.342261904761907,15.74468085106382,16.53746770025839,20.901246404602112,30.249480249480243,39.492753623188406,-0.9100455022751142,14.85849056603774,13159.0,4617.0,4827.0,4852.999999999999,13.635578583765117,10.375328711451104,12.912280701754387,20.153503342411483
