cell,definition,metric,metric_desc,n,mean_pct,median_pct,hit_rate_negative,hit_rate_positive,min_pct,max_pct,sd_pct,se_pct,mean_over_se,separable_from_noise
(a) nights DECELERATING vs prior quarter,nights_yoy_accel_pts < 0,gap_excess_pct,overnight gap excess (not executable),11,-5.78,-7.22,0.909,0.091,-15.4,8.16,6.53,1.97,-2.94,"|mean| > 2 standard errors, but this is one of many post-hoc cells on 22 prints - treat as a base rate"
(a) nights DECELERATING vs prior quarter,nights_yoy_accel_pts < 0,drift_5d_excess_pct,+1..+5 drift from reaction close,11,-1.27,-2.39,0.545,0.455,-6.13,3.64,3.59,1.08,-1.18,weak - |mean| between 1 and 2 standard errors
(a) nights DECELERATING vs prior quarter,nights_yoy_accel_pts < 0,drift_20d_excess_pct,+1..+20 drift from reaction close,11,-2.17,-3.55,0.636,0.364,-11.68,10.94,6.43,1.94,-1.12,weak - |mean| between 1 and 2 standard errors
(a) nights DECELERATING vs prior quarter,nights_yoy_accel_pts < 0,drift_60d_excess_pct,+1..+60 drift from reaction close,11,-2.65,-3.31,0.636,0.364,-28.32,12.92,12.12,3.65,-0.73,no - |mean| < 1 standard error
(a) nights DECELERATING vs prior quarter,nights_yoy_accel_pts < 0,open_20d_excess_pct,executable 20 sessions from reaction open,11,-0.64,-0.95,0.727,0.273,-10.67,10.64,6.36,1.92,-0.33,no - |mean| < 1 standard error
"(a) nights ACCELERATING, 2023+",nights accel > 0 and print_quarter >= 2023Q1,excess_1d_pct,day-1 close-to-close excess (NOT executable),5,6.04,4.44,0.2,0.8,-5.14,16.26,9.02,4.03,1.5,weak - |mean| between 1 and 2 standard errors
"(a) nights ACCELERATING, 2023+",nights accel > 0 and print_quarter >= 2023Q1,open_1d_excess_pct,day-1 executable (reaction open -> reaction close),5,-1.02,-3.91,0.6,0.4,-6.25,7.72,5.7,2.55,-0.4,no - |mean| < 1 standard error
"(a) nights ACCELERATING, 2023+",nights accel > 0 and print_quarter >= 2023Q1,gap_excess_pct,overnight gap excess (not executable),5,7.0,7.84,0.0,1.0,1.26,12.14,4.18,1.87,3.75,"|mean| > 2 standard errors, but this is one of many post-hoc cells on 22 prints - treat as a base rate"
"(a) nights ACCELERATING, 2023+",nights accel > 0 and print_quarter >= 2023Q1,drift_5d_excess_pct,+1..+5 drift from reaction close,5,-0.79,1.09,0.4,0.6,-6.89,2.25,3.74,1.67,-0.47,no - |mean| < 1 standard error
"(a) nights ACCELERATING, 2023+",nights accel > 0 and print_quarter >= 2023Q1,drift_20d_excess_pct,+1..+20 drift from reaction close,5,1.17,2.74,0.4,0.6,-11.07,9.61,7.96,3.56,0.33,no - |mean| < 1 standard error
"(a) nights ACCELERATING, 2023+",nights accel > 0 and print_quarter >= 2023Q1,drift_60d_excess_pct,+1..+60 drift from reaction close,4,-0.92,-1.72,0.5,0.5,-10.29,10.07,9.02,4.51,-0.2,no - |mean| < 1 standard error
"(a) nights ACCELERATING, 2023+",nights accel > 0 and print_quarter >= 2023Q1,open_20d_excess_pct,executable 20 sessions from reaction open,5,-1.24,-3.76,0.6,0.4,-11.82,12.82,9.1,4.07,-0.3,no - |mean| < 1 standard error
"(a) nights DECELERATING, 2023+",nights accel < 0 and print_quarter >= 2023Q1,excess_1d_pct,day-1 close-to-close excess (NOT executable),9,-5.94,-7.09,1.0,0.0,-12.3,-0.04,4.82,1.61,-3.7,"|mean| > 2 standard errors, but this is one of many post-hoc cells on 22 prints - treat as a base rate"
"(a) nights DECELERATING, 2023+",nights accel < 0 and print_quarter >= 2023Q1,open_1d_excess_pct,day-1 executable (reaction open -> reaction close),9,1.26,0.82,0.111,0.889,-0.26,3.13,1.32,0.44,2.88,"|mean| > 2 standard errors, but this is one of many post-hoc cells on 22 prints - treat as a base rate"
"(a) nights DECELERATING, 2023+",nights accel < 0 and print_quarter >= 2023Q1,gap_excess_pct,overnight gap excess (not executable),9,-7.14,-7.22,1.0,0.0,-15.4,-0.82,5.15,1.72,-4.16,"|mean| > 2 standard errors, but this is one of many post-hoc cells on 22 prints - treat as a base rate"
"(a) nights DECELERATING, 2023+",nights accel < 0 and print_quarter >= 2023Q1,drift_5d_excess_pct,+1..+5 drift from reaction close,9,-1.32,-2.39,0.556,0.444,-6.13,3.64,3.65,1.22,-1.09,weak - |mean| between 1 and 2 standard errors
"(a) nights DECELERATING, 2023+",nights accel < 0 and print_quarter >= 2023Q1,drift_20d_excess_pct,+1..+20 drift from reaction close,9,-1.98,-3.55,0.667,0.333,-6.83,10.94,5.71,1.9,-1.04,weak - |mean| between 1 and 2 standard errors
"(a) nights DECELERATING, 2023+",nights accel < 0 and print_quarter >= 2023Q1,drift_60d_excess_pct,+1..+60 drift from reaction close,9,-1.53,-3.31,0.667,0.333,-10.94,11.12,8.33,2.78,-0.55,no - |mean| < 1 standard error
"(a) nights DECELERATING, 2023+",nights accel < 0 and print_quarter >= 2023Q1,open_20d_excess_pct,executable 20 sessions from reaction open,9,-0.57,-0.95,0.778,0.222,-6.95,10.64,5.19,1.73,-0.33,no - |mean| < 1 standard error
(b) nights DECELERATED while revenue BEAT,nights_yoy_accel_pts < 0 AND revenue_surprise_pct > 0 (the thesis state),excess_1d_pct,day-1 close-to-close excess (NOT executable),10,-4.09,-4.96,0.9,0.1,-12.3,12.59,7.41,2.34,-1.74,weak - |mean| between 1 and 2 standard errors
(b) nights DECELERATED while revenue BEAT,nights_yoy_accel_pts < 0 AND revenue_surprise_pct > 0 (the thesis state),open_1d_excess_pct,day-1 executable (reaction open -> reaction close),10,1.54,0.88,0.1,0.9,-0.26,4.01,1.52,0.48,3.21,"|mean| > 2 standard errors, but this is one of many post-hoc cells on 22 prints - treat as a base rate"
(b) nights DECELERATED while revenue BEAT,nights_yoy_accel_pts < 0 AND revenue_surprise_pct > 0 (the thesis state),gap_excess_pct,overnight gap excess (not executable),10,-5.61,-5.47,0.9,0.1,-15.4,8.16,6.86,2.17,-2.59,"|mean| > 2 standard errors, but this is one of many post-hoc cells on 22 prints - treat as a base rate"
(b) nights DECELERATED while revenue BEAT,nights_yoy_accel_pts < 0 AND revenue_surprise_pct > 0 (the thesis state),drift_5d_excess_pct,+1..+5 drift from reaction close,10,-1.63,-2.73,0.6,0.4,-6.13,3.64,3.57,1.13,-1.44,weak - |mean| between 1 and 2 standard errors
(b) nights DECELERATED while revenue BEAT,nights_yoy_accel_pts < 0 AND revenue_surprise_pct > 0 (the thesis state),drift_20d_excess_pct,+1..+20 drift from reaction close,10,-2.95,-4.4,0.7,0.3,-11.68,10.94,6.2,1.96,-1.51,weak - |mean| between 1 and 2 standard errors
(b) nights DECELERATED while revenue BEAT,nights_yoy_accel_pts < 0 AND revenue_surprise_pct > 0 (the thesis state),drift_60d_excess_pct,+1..+60 drift from reaction close,10,-4.21,-4.2,0.7,0.3,-28.32,11.12,11.55,3.65,-1.15,weak - |mean| between 1 and 2 standard errors
(b) nights DECELERATED while revenue BEAT,nights_yoy_accel_pts < 0 AND revenue_surprise_pct > 0 (the thesis state),open_20d_excess_pct,executable 20 sessions from reaction open,10,-1.58,-1.24,0.8,0.2,-10.67,10.64,5.85,1.85,-0.86,no - |mean| < 1 standard error
(b') as (b) and PT revisions rising into the print,"(b) AND pt_net_60d_pre > 0 - PROXY for rising estimates, not the estimate series",excess_1d_pct,day-1 close-to-close excess (NOT executable),8,-6.63,-7.73,1.0,0.0,-12.3,-0.04,4.66,1.65,-4.02,"|mean| > 2 standard errors, but this is one of many post-hoc cells on 22 prints - treat as a base rate"
(b') as (b) and PT revisions rising into the print,"(b) AND pt_net_60d_pre > 0 - PROXY for rising estimates, not the estimate series",open_1d_excess_pct,day-1 executable (reaction open -> reaction close),8,1.05,0.8,0.125,0.875,-0.26,3.13,1.23,0.44,2.41,"|mean| > 2 standard errors, but this is one of many post-hoc cells on 22 prints - treat as a base rate"
(b') as (b) and PT revisions rising into the print,"(b) AND pt_net_60d_pre > 0 - PROXY for rising estimates, not the estimate series",gap_excess_pct,overnight gap excess (not executable),8,-7.61,-7.87,1.0,0.0,-15.4,-0.82,5.29,1.87,-4.07,"|mean| > 2 standard errors, but this is one of many post-hoc cells on 22 prints - treat as a base rate"
(b') as (b) and PT revisions rising into the print,"(b) AND pt_net_60d_pre > 0 - PROXY for rising estimates, not the estimate series",drift_5d_excess_pct,+1..+5 drift from reaction close,8,-1.69,-2.73,0.625,0.375,-6.13,3.64,3.72,1.31,-1.28,weak - |mean| between 1 and 2 standard errors
(b') as (b) and PT revisions rising into the print,"(b) AND pt_net_60d_pre > 0 - PROXY for rising estimates, not the estimate series",drift_20d_excess_pct,+1..+20 drift from reaction close,8,-1.79,-4.25,0.625,0.375,-6.83,10.94,6.07,2.15,-0.83,no - |mean| < 1 standard error
(b') as (b) and PT revisions rising into the print,"(b) AND pt_net_60d_pre > 0 - PROXY for rising estimates, not the estimate series",drift_60d_excess_pct,+1..+60 drift from reaction close,8,-0.65,-2.37,0.625,0.375,-10.94,11.12,8.44,2.99,-0.22,no - |mean| < 1 standard error
(b') as (b) and PT revisions rising into the print,"(b) AND pt_net_60d_pre > 0 - PROXY for rising estimates, not the estimate series",open_20d_excess_pct,executable 20 sessions from reaction open,8,-0.62,-1.24,0.75,0.25,-6.95,10.64,5.55,1.96,-0.32,no - |mean| < 1 standard error
(c) next-quarter guide implied DECELERATION,guide-implied next-quarter revenue y/y < just-reported revenue y/y,excess_1d_pct,day-1 close-to-close excess (NOT executable),17,-1.21,-2.83,0.647,0.353,-12.3,16.26,8.92,2.16,-0.56,no - |mean| < 1 standard error
(c) next-quarter guide implied DECELERATION,guide-implied next-quarter revenue y/y < just-reported revenue y/y,open_1d_excess_pct,day-1 executable (reaction open -> reaction close),17,0.84,0.82,0.294,0.706,-6.25,7.72,3.49,0.85,1.0,no - |mean| < 1 standard error
(c) next-quarter guide implied DECELERATION,guide-implied next-quarter revenue y/y < just-reported revenue y/y,gap_excess_pct,overnight gap excess (not executable),17,-2.09,-2.38,0.647,0.353,-15.4,12.14,7.91,1.92,-1.09,weak - |mean| between 1 and 2 standard errors
(c) next-quarter guide implied DECELERATION,guide-implied next-quarter revenue y/y < just-reported revenue y/y,drift_5d_excess_pct,+1..+5 drift from reaction close,17,-2.57,-2.39,0.588,0.412,-14.17,3.64,5.08,1.23,-2.08,"|mean| > 2 standard errors, but this is one of many post-hoc cells on 22 prints - treat as a base rate"
(c) next-quarter guide implied DECELERATION,guide-implied next-quarter revenue y/y < just-reported revenue y/y,drift_20d_excess_pct,+1..+20 drift from reaction close,17,-3.17,-3.29,0.647,0.353,-17.74,10.94,7.84,1.9,-1.67,weak - |mean| between 1 and 2 standard errors
(c) next-quarter guide implied DECELERATION,guide-implied next-quarter revenue y/y < just-reported revenue y/y,drift_60d_excess_pct,+1..+60 drift from reaction close,16,-3.49,-2.37,0.562,0.438,-28.32,12.92,12.97,3.24,-1.07,weak - |mean| between 1 and 2 standard errors
(c) next-quarter guide implied DECELERATION,guide-implied next-quarter revenue y/y < just-reported revenue y/y,open_20d_excess_pct,executable 20 sessions from reaction open,17,-2.9,-4.05,0.765,0.235,-19.32,12.82,8.31,2.02,-1.44,weak - |mean| between 1 and 2 standard errors
(c') guide implied deceleration > 2 pts,guide-implied next-quarter revenue y/y at least 2pp below the reported y/y,excess_1d_pct,day-1 close-to-close excess (NOT executable),12,-1.36,-3.34,0.667,0.333,-12.01,14.03,8.43,2.43,-0.56,no - |mean| < 1 standard error
(c') guide implied deceleration > 2 pts,guide-implied next-quarter revenue y/y at least 2pp below the reported y/y,open_1d_excess_pct,day-1 executable (reaction open -> reaction close),12,0.58,0.88,0.25,0.75,-6.25,4.11,3.28,0.95,0.61,no - |mean| < 1 standard error
(c') guide implied deceleration > 2 pts,guide-implied next-quarter revenue y/y at least 2pp below the reported y/y,gap_excess_pct,overnight gap excess (not executable),12,-1.94,-3.05,0.667,0.333,-14.32,12.14,7.61,2.2,-0.88,no - |mean| < 1 standard error
(c') guide implied deceleration > 2 pts,guide-implied next-quarter revenue y/y at least 2pp below the reported y/y,drift_5d_excess_pct,+1..+5 drift from reaction close,12,-3.51,-3.4,0.667,0.333,-14.17,3.64,5.6,1.62,-2.17,"|mean| > 2 standard errors, but this is one of many post-hoc cells on 22 prints - treat as a base rate"
(c') guide implied deceleration > 2 pts,guide-implied next-quarter revenue y/y at least 2pp below the reported y/y,drift_20d_excess_pct,+1..+20 drift from reaction close,12,-3.79,-5.46,0.667,0.333,-17.74,10.94,9.12,2.63,-1.44,weak - |mean| between 1 and 2 standard errors
(c') guide implied deceleration > 2 pts,guide-implied next-quarter revenue y/y at least 2pp below the reported y/y,drift_60d_excess_pct,+1..+60 drift from reaction close,12,-4.52,-4.2,0.583,0.417,-28.32,12.92,14.43,4.17,-1.09,weak - |mean| between 1 and 2 standard errors
(c') guide implied deceleration > 2 pts,guide-implied next-quarter revenue y/y at least 2pp below the reported y/y,open_20d_excess_pct,executable 20 sessions from reaction open,12,-4.15,-4.69,0.75,0.25,-19.32,10.64,8.6,2.48,-1.67,weak - |mean| between 1 and 2 standard errors
(d) print after a POSITIVE 20d run-up,runup_20d_excess_pct > 0 (recomputed; matches 09_runup_vs_reaction inputs),excess_1d_pct,day-1 close-to-close excess (NOT executable),12,0.86,0.29,0.5,0.5,-12.01,16.26,9.39,2.71,0.32,no - |mean| < 1 standard error
(d) print after a POSITIVE 20d run-up,runup_20d_excess_pct > 0 (recomputed; matches 09_runup_vs_reaction inputs),open_1d_excess_pct,day-1 executable (reaction open -> reaction close),12,1.76,2.19,0.25,0.75,-4.61,7.72,3.51,1.01,1.74,weak - |mean| between 1 and 2 standard errors
(d) print after a POSITIVE 20d run-up,runup_20d_excess_pct > 0 (recomputed; matches 09_runup_vs_reaction inputs),gap_excess_pct,overnight gap excess (not executable),12,-0.95,-1.94,0.667,0.333,-14.32,12.14,7.86,2.27,-0.42,no - |mean| < 1 standard error
(d) print after a POSITIVE 20d run-up,runup_20d_excess_pct > 0 (recomputed; matches 09_runup_vs_reaction inputs),drift_5d_excess_pct,+1..+5 drift from reaction close,12,-1.96,-0.99,0.5,0.5,-10.84,3.64,4.78,1.38,-1.42,weak - |mean| between 1 and 2 standard errors
(d) print after a POSITIVE 20d run-up,runup_20d_excess_pct > 0 (recomputed; matches 09_runup_vs_reaction inputs),drift_20d_excess_pct,+1..+20 drift from reaction close,12,-2.55,-2.37,0.583,0.417,-12.33,10.94,7.41,2.14,-1.19,weak - |mean| between 1 and 2 standard errors
(d) print after a POSITIVE 20d run-up,runup_20d_excess_pct > 0 (recomputed; matches 09_runup_vs_reaction inputs),drift_60d_excess_pct,+1..+60 drift from reaction close,11,-1.55,-1.43,0.545,0.455,-28.32,23.21,15.08,4.55,-0.34,no - |mean| < 1 standard error
(d) print after a POSITIVE 20d run-up,runup_20d_excess_pct > 0 (recomputed; matches 09_runup_vs_reaction inputs),open_20d_excess_pct,executable 20 sessions from reaction open,12,-0.76,-2.64,0.667,0.333,-11.82,12.82,9.05,2.61,-0.29,no - |mean| < 1 standard error
(d) print after a NEGATIVE 20d run-up,runup_20d_excess_pct <= 0,excess_1d_pct,day-1 close-to-close excess (NOT executable),10,-1.15,-1.04,0.6,0.4,-12.3,12.89,7.42,2.35,-0.49,no - |mean| < 1 standard error
(d) print after a NEGATIVE 20d run-up,runup_20d_excess_pct <= 0,open_1d_excess_pct,day-1 executable (reaction open -> reaction close),10,0.59,0.49,0.3,0.7,-6.25,8.67,4.1,1.3,0.45,no - |mean| < 1 standard error
(d) print after a NEGATIVE 20d run-up,runup_20d_excess_pct <= 0,gap_excess_pct,overnight gap excess (not executable),10,-1.72,-0.99,0.5,0.5,-15.4,9.09,7.26,2.3,-0.75,no - |mean| < 1 standard error
(d) print after a NEGATIVE 20d run-up,runup_20d_excess_pct <= 0,drift_5d_excess_pct,+1..+5 drift from reaction close,10,-2.41,-2.1,0.6,0.4,-14.17,3.42,5.17,1.64,-1.47,weak - |mean| between 1 and 2 standard errors
(d) print after a NEGATIVE 20d run-up,runup_20d_excess_pct <= 0,drift_20d_excess_pct,+1..+20 drift from reaction close,10,-2.5,-3.4,0.6,0.4,-17.74,9.61,7.59,2.4,-1.04,weak - |mean| between 1 and 2 standard errors
(d) print after a NEGATIVE 20d run-up,runup_20d_excess_pct <= 0,drift_60d_excess_pct,+1..+60 drift from reaction close,10,-5.48,-6.73,0.7,0.3,-24.45,10.07,11.15,3.52,-1.55,weak - |mean| between 1 and 2 standard errors
(d) print after a NEGATIVE 20d run-up,runup_20d_excess_pct <= 0,open_20d_excess_pct,executable 20 sessions from reaction open,10,-3.33,-2.38,0.7,0.3,-19.32,3.52,6.49,2.05,-1.62,weak - |mean| between 1 and 2 standard errors
(d') top-third run-up,runup_20d_excess_pct >= 6.71 (top tercile of this sample),excess_1d_pct,day-1 close-to-close excess (NOT executable),8,-1.32,-1.43,0.625,0.375,-12.01,12.59,7.59,2.68,-0.49,no - |mean| < 1 standard error
(d') top-third run-up,runup_20d_excess_pct >= 6.71 (top tercile of this sample),open_1d_excess_pct,day-1 executable (reaction open -> reaction close),8,2.53,3.32,0.125,0.875,-0.26,4.11,1.79,0.63,4.01,"|mean| > 2 standard errors, but this is one of many post-hoc cells on 22 prints - treat as a base rate"
(d') top-third run-up,runup_20d_excess_pct >= 6.71 (top tercile of this sample),gap_excess_pct,overnight gap excess (not executable),8,-3.77,-3.4,0.875,0.125,-14.32,8.16,6.67,2.36,-1.6,weak - |mean| between 1 and 2 standard errors
(d') top-third run-up,runup_20d_excess_pct >= 6.71 (top tercile of this sample),drift_5d_excess_pct,+1..+5 drift from reaction close,8,-2.79,-3.74,0.625,0.375,-10.84,3.64,5.01,1.77,-1.58,weak - |mean| between 1 and 2 standard errors
(d') top-third run-up,runup_20d_excess_pct >= 6.71 (top tercile of this sample),drift_20d_excess_pct,+1..+20 drift from reaction close,8,-2.19,-3.1,0.5,0.5,-12.33,10.94,8.45,2.99,-0.73,no - |mean| < 1 standard error
(d') top-third run-up,runup_20d_excess_pct >= 6.71 (top tercile of this sample),drift_60d_excess_pct,+1..+60 drift from reaction close,8,-2.0,-2.37,0.625,0.375,-28.32,23.21,17.36,6.14,-0.33,no - |mean| < 1 standard error
(d') top-third run-up,runup_20d_excess_pct >= 6.71 (top tercile of this sample),open_20d_excess_pct,executable 20 sessions from reaction open,8,0.1,-1.24,0.625,0.375,-10.67,10.64,8.77,3.1,0.03,no - |mean| < 1 standard error
(e) decel + beat + guide implies further decel,the full 5-Nov/February analogue state,excess_1d_pct,day-1 close-to-close excess (NOT executable),9,-4.49,-7.09,0.889,0.111,-12.3,12.59,7.75,2.58,-1.74,weak - |mean| between 1 and 2 standard errors
(e) decel + beat + guide implies further decel,the full 5-Nov/February analogue state,open_1d_excess_pct,day-1 executable (reaction open -> reaction close),9,1.38,0.82,0.111,0.889,-0.26,4.01,1.52,0.51,2.73,"|mean| > 2 standard errors, but this is one of many post-hoc cells on 22 prints - treat as a base rate"
(e) decel + beat + guide implies further decel,the full 5-Nov/February analogue state,gap_excess_pct,overnight gap excess (not executable),9,-5.86,-7.22,0.889,0.111,-15.4,8.16,7.22,2.41,-2.43,"|mean| > 2 standard errors, but this is one of many post-hoc cells on 22 prints - treat as a base rate"
(e) decel + beat + guide implies further decel,the full 5-Nov/February analogue state,drift_5d_excess_pct,+1..+5 drift from reaction close,9,-1.99,-3.07,0.667,0.333,-6.13,3.64,3.6,1.2,-1.66,weak - |mean| between 1 and 2 standard errors
(e) decel + beat + guide implies further decel,the full 5-Nov/February analogue state,drift_20d_excess_pct,+1..+20 drift from reaction close,9,-2.89,-5.24,0.667,0.333,-11.68,10.94,6.57,2.19,-1.32,weak - |mean| between 1 and 2 standard errors
(e) decel + beat + guide implies further decel,the full 5-Nov/February analogue state,drift_60d_excess_pct,+1..+60 drift from reaction close,9,-3.72,-3.31,0.667,0.333,-28.32,11.12,12.14,4.05,-0.92,no - |mean| < 1 standard error
(e) decel + beat + guide implies further decel,the full 5-Nov/February analogue state,open_20d_excess_pct,executable 20 sessions from reaction open,9,-1.74,-1.52,0.778,0.222,-10.67,10.64,6.18,2.06,-0.84,no - |mean| < 1 standard error
