scenario,rnpl_share_fy27_pct,term,value_musd,low_musd,high_musd,kind,label,note
central,25.0,B. Transition: RNPL share still stepping up,-65.41408491617699,,,step,derived,"unearned-fees shortfall grows from $317m (4Q26 at 23% of GBV) to $382m (4Q27 at 25%); the FCF effect is the increment, not the level"
central,25.0,C. Permanent: interest income on float never collected,-29.48362496260739,-11.257787222102783,-98.02952261054293,step,derived,"float loss $956m (range $365-2,757m) at an ASSUMED blended yield of 3.08% (1H26 implied; 3.56% FY25). No customer-funds yield is disclosed."
central,25.0,"D. Permanent: +1pt platform cancellation rate, processing cost",-10.77343625410734,0.0,-21.54687250821468,step,derived,"1,423m extra cancelled GBV at a 1.51% merchant-fee rate; zero if the cancellation lands before the RNPL payment date, full if after"
central,25.0,E. Single-fee migration working capital,0.0,0.0,0.0,step,measured,"10-K Note 2: host and guest fees are recorded as cash with a corresponding amount in unearned fees under BOTH structures, so the migration adds no float"
central,25.0,F. FCF 2027 with RNPL,5925.215228616498,,,end,derived,margin 37.4% on base FY27 revenue
central,25.0,MEMO: same deltas on the repo base-case FY27 FCF,5314.328853867108,,,memo,derived,"data/processed/overnight/13_model_annual.csv Base 2027 FCF $5,420m carries its own P&L assumptions; only the RNPL deltas belong to this object"
central,25.0,"MEMO: pass-through, RNPL GBV share to unearned-fees shortfall rate",0.6725963058907106,,,memo,derived,pinned on 2Q26: shortfall 14.1% of norm at a measured ~21% RNPL GBV share
central,25.0,"MEMO: blended implied yield on interest-earning balances, 1H26 (pct)",3.0845046621331518,,3.5552835738640267,memo,assumed,no customer-funds yield is disclosed; interest income over average (cash + short-term investments + restricted cash + funds held on behalf of customers)
central,25.0,MEMO: merchant-fee rate on pay-in volume (pct),1.5145454545454546,,,memo,derived,"FY25 merchant fees and chargebacks $1,666m over FY25 GBV grossed up for a 17% cancellation rate"
central,25.0,MEMO: revenue at risk from +1pt cancellation rate (not in the bridge),-188.50280120481932,,,memo,derived,"belongs to the KPI-inflation object, not here; carried to avoid double counting"
bull,20.0,A. FCF 2027 if RNPL did not exist,6030.886374749391,,,start,derived,"FY25 ex-float conversion 36.6% on base FY27 revenue $15,842m, plus the pre-RNPL seasonal change in unearned fees $225m"
bull,20.0,B. Transition: RNPL share still stepping up,-16.52376183669736,,,step,derived,"unearned-fees shortfall grows from $289m (4Q26 at 21% of GBV) to $306m (4Q27 at 20%); the FCF effect is the increment, not the level"
bull,20.0,C. Permanent: interest income on float never collected,-23.586899970085913,-9.006229777682226,-75.37632694405441,step,derived,"float loss $765m (range $292-2,120m) at an ASSUMED blended yield of 3.08% (1H26 implied; 3.56% FY25). No customer-funds yield is disclosed."
bull,20.0,"D. Permanent: +1pt platform cancellation rate, processing cost",-10.77343625410734,0.0,-21.54687250821468,step,derived,"1,423m extra cancelled GBV at a 1.51% merchant-fee rate; zero if the cancellation lands before the RNPL payment date, full if after"
bull,20.0,E. Single-fee migration working capital,0.0,0.0,0.0,step,measured,"10-K Note 2: host and guest fees are recorded as cash with a corresponding amount in unearned fees under BOTH structures, so the migration adds no float"
bull,20.0,F. FCF 2027 with RNPL,5980.0022766884995,,,end,derived,margin 37.7% on base FY27 revenue
bull,20.0,MEMO: same deltas on the repo base-case FY27 FCF,5369.115901939109,,,memo,derived,"data/processed/overnight/13_model_annual.csv Base 2027 FCF $5,420m carries its own P&L assumptions; only the RNPL deltas belong to this object"
bull,20.0,"MEMO: pass-through, RNPL GBV share to unearned-fees shortfall rate",0.6725963058907106,,,memo,derived,pinned on 2Q26: shortfall 14.1% of norm at a measured ~21% RNPL GBV share
bull,20.0,"MEMO: blended implied yield on interest-earning balances, 1H26 (pct)",3.0845046621331518,,3.5552835738640267,memo,assumed,no customer-funds yield is disclosed; interest income over average (cash + short-term investments + restricted cash + funds held on behalf of customers)
bull,20.0,MEMO: merchant-fee rate on pay-in volume (pct),1.5145454545454546,,,memo,derived,"FY25 merchant fees and chargebacks $1,666m over FY25 GBV grossed up for a 17% cancellation rate"
bull,20.0,MEMO: revenue at risk from +1pt cancellation rate (not in the bridge),-188.50280120481932,,,memo,derived,"belongs to the KPI-inflation object, not here; carried to avoid double counting"
