test,value,tail_3q26_pts,tail_4q26_pts,move_3q26_pts,move_4q26_pts,moves_3q26_by_more_than_0p2,note
"b1 x% of PR #32's fitted +2.40 NA RNPL points is pull-forward, not level",x=25%,,,-0.173,,no,"PR #32 sets x=0. Theo's bridge uses -0.10 to -0.30 pts in 3Q26, which implies x = 14% to 43%"
"b1 x% of PR #32's fitted +2.40 NA RNPL points is pull-forward, not level",x=50%,,,-0.346,,YES,"PR #32 sets x=0. Theo's bridge uses -0.10 to -0.30 pts in 3Q26, which implies x = 14% to 43%"
"b1 x% of PR #32's fitted +2.40 NA RNPL points is pull-forward, not level",x=100%,,,-0.691,,YES,"PR #32 sets x=0. Theo's bridge uses -0.10 to -0.30 pts in 3Q26, which implies x = 14% to 43%"
"b2 pull-forward from the share path, M2",bear,,,0.134,-0.157,no,"1Q27 -0.94 pts, 2Q27 -0.08 pts. The biggest reversal is 1Q27, which NO team model carries"
"b2 pull-forward from the share path, M2",base,,,-0.113,-0.156,no,"1Q27 -0.46 pts, 2Q27 -0.04 pts. The biggest reversal is 1Q27, which NO team model carries"
"b2 pull-forward from the share path, M2",bull,,,0.0,0.0,no,"1Q27 +0.00 pts, 2Q27 +0.00 pts. The biggest reversal is 1Q27, which NO team model carries"
d 4Q26 ex-NA fee + cancellation lap,-0.88 to -0.70 pts,,,,,,PR #32 carries -0.00. Difference vs PR #32: -0.88 to -0.70 pts
d 1Q27 dated total (fee lap carried + 5.5/13 of the ex-NA RNPL lap),-1.32 to -1.07 pts,,,,,,PR #32 carries -1.75. Difference vs PR #32: +0.43 to +0.68 pts
d 2Q27+ dated total,-1.93 to -1.57 pts,,,,,,PR #32 carries -1.75. Difference vs PR #32: -0.18 to +0.18 pts
d US RNPL partial-lap symmetry: weeks live of 13 in 3Q25,13.0,,,0.0,,,D applies the partial-lap logic to ex-NA in 1Q27 but nobody applies it to US RNPL in 3Q26. 'Beginning of Q3' (3Q25 call) vs 14 Aug (newsroom). Cuts AGAINST the short
d US RNPL partial-lap symmetry: weeks live of 13 in 3Q25,9.0,,,0.213,,,D applies the partial-lap logic to ex-NA in 1Q27 but nobody applies it to US RNPL in 3Q26. 'Beginning of Q3' (3Q25 call) vs 14 Aug (newsroom). Cuts AGAINST the short
d US RNPL partial-lap symmetry: weeks live of 13 in 3Q25,6.5,,,0.346,,,D applies the partial-lap logic to ex-NA in 1Q27 but nobody applies it to US RNPL in 3Q26. 'Beginning of Q3' (3Q25 call) vs 14 Aug (newsroom). Cuts AGAINST the short
