feature,label,source,country,asset_class,transform,lag,target,window,n,first_q,last_q,pearson_r,p,spearman_r,perm_p,knowable_before_print,target_basis,wf_n,wf_rmse,wf_rmse_naive,wf_rmse_prior,wf_rmse_ar1,wf_ratio_vs_naive,wf_ratio_vs_prior,wf_ratio_vs_ar1,sign_acc,wf_first_q,wf_last_q,jk_ratio_min,jk_ratio_max,jk_n_below_1,n_tests_on_target,p_bonferroni,flagged_r,beats_naive,beats_naive_and_ar1,survivor_j2,beats_short,beats_long,has_long,beats_both_windows
abs_cpi_40102_Q,"ABS CPI international holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",diff,0,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,-0.04532413891813405,0.8777251842797179,0.03535965568702911,0.8811188811188811,yes: Sep-quarter CPI 28 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.1928627696367236,2.366578726981209,2.64756769998427,2.475522735167864,0.9265961637515113,0.8282555983931031,0.8858180692442829,0.7,1Q24,2Q26,0.7321307780149604,1.0427772859346618,9,56.0,1.0,False,True,True,False,True,False,True,False
abs_cpi_40102_Q,"ABS CPI international holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",diff,1,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,-0.13794028874698422,0.6381663296994662,-0.18784817083734215,0.6253746253746254,yes: Sep-quarter CPI 28 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.1932437766974053,2.366578726981209,2.64756769998427,2.475522735167864,0.9267571586325765,0.8283995067285479,0.8859719789843427,0.7,1Q24,2Q26,0.7280706045279483,1.0437256718394199,9,56.0,1.0,False,True,True,False,True,False,True,False
nz_cpi_CPIQ.SE909601_domestic_accommodation_services_nan,Stats NZ CPI domestic_accommodation_services_nan,nz_statsnz,NZ,accommodation services (CPI),level,1,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,0.46438083485105,0.09435736039480547,0.5105050289814828,0.09090909090909091,yes: Sep-quarter CPI ~20 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.201949603351463,2.366578726981209,2.64756769998427,2.475522735167864,0.9304358136271487,0.8316877424379159,0.889488741941265,0.6,1Q24,2Q26,0.8588380572864076,0.9707121607324999,10,56.0,1.0,False,True,True,False,True,False,True,False
abs_cpi_30033_M,ABS monthly CPI holiday travel and accommodation (indicator to Sep 2025 spliced with complete monthly CPI),abs,AU,holiday travel and accommodation (monthly CPI),level,1,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,0.48011634890334837,0.08229307282201616,0.38232627711600226,0.07692307692307693,"yes: Aug ~30 Sep, Sep ~28 Oct","disclosed-chained from 4Q24 only, modelled before",10,2.216904971057163,2.366578726981209,2.64756769998427,2.475522735167864,0.9367552178942432,0.8373364620932391,0.8955300387927303,0.6,1Q24,2Q26,0.8410716546903121,1.0602593683480448,9,56.0,1.0,False,True,True,False,True,False,True,False
abs_cpi_40101_Q,"ABS CPI domestic holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",diff,0,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,-0.30198697485291076,0.2940219003178435,-0.1723783214742669,0.2957042957042957,yes: Sep-quarter CPI 28 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.217819761858578,2.366578726981209,2.64756769998427,2.475522735167864,0.9371417635818999,0.8376819833055655,0.8958995731898171,0.6,1Q24,2Q26,0.7404328677621196,1.060439176385873,9,56.0,1.0,False,True,True,False,True,False,True,False
nz_cpi_CPIQ.SE909601_domestic_accommodation_services_nan,Stats NZ CPI domestic_accommodation_services_nan,nz_statsnz,NZ,accommodation services (CPI),diff,1,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,0.10917698778121286,0.7102425279079455,0.27845728853535423,0.7042957042957043,yes: Sep-quarter CPI ~20 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.2236145022354283,2.366578726981209,2.64756769998427,2.475522735167864,0.9395903364143965,0.8398706866867425,0.8982403880385473,0.6,1Q24,2Q26,0.7790210574267883,1.0637420285033863,9,56.0,1.0,False,True,True,False,True,False,True,False
abs_cpi_40101_Q,"ABS CPI domestic holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",diff,1,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,-0.10373546698187351,0.7241567518762866,0.0022099784804393194,0.7422577422577422,yes: Sep-quarter CPI 28 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.2247785734073804,2.366578726981209,2.64756769998427,2.475522735167864,0.94008221575003,0.8403103623830274,0.898710620509215,0.7,1Q24,2Q26,0.7324932218369169,1.0604868882811371,9,56.0,1.0,False,True,True,False,True,False,True,False
nz_cpi_CPIQ.SE9096_accommodation_services_nan,Stats NZ CPI accommodation_services_nan,nz_statsnz,NZ,accommodation services (CPI),diff,0,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,-0.00043877941257132805,0.9988122107994494,-0.08839913921757278,0.996003996003996,yes: Sep-quarter CPI ~20 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.2307713078824194,2.366578726981209,2.64756769998427,2.475522735167864,0.9426144511693365,0.8425738491581057,0.9011314160809563,0.6,1Q24,2Q26,0.7714939430317164,1.0482178559888833,9,56.0,1.0,False,True,True,False,True,False,True,False
abs_cpi_30033_Q,"ABS CPI holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",diff,1,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,-0.2251020134675085,0.4390849795022196,-0.09723905313933007,0.4355644355644356,yes: Sep-quarter CPI 28 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.26803451141182,2.366578726981209,2.64756769998427,2.475522735167864,0.9583600518140838,0.8566483536663841,0.9161840766766481,0.7,1Q24,2Q26,0.7513800344088007,1.0840086353518612,9,56.0,1.0,False,True,True,False,True,False,True,False
abs_cpi_30033_Q,"ABS CPI holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",level,1,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,0.4841128622063883,0.07941065363803787,0.3425466644680945,0.07092907092907093,yes: Sep-quarter CPI 28 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.274166517172467,2.366578726981209,2.64756769998427,2.475522735167864,0.9609511364421743,0.8589644439256373,0.9186611315925793,0.6,1Q24,2Q26,0.8655001576113247,1.088422583573647,9,56.0,1.0,False,True,True,False,True,False,True,False
nz_cpi_CPIQ.SE909601_domestic_accommodation_services_nan,Stats NZ CPI domestic_accommodation_services_nan,nz_statsnz,NZ,accommodation services (CPI),diff,0,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,0.050120946537508676,0.8648873893836049,-0.08839913921757278,0.8531468531468531,yes: Sep-quarter CPI ~20 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.287271876784282,2.366578726981209,2.64756769998427,2.475522735167864,0.9664888181015258,0.8639144059650945,0.9239551082649149,0.6,1Q24,2Q26,0.8158259526824685,1.0770985169944867,7,56.0,1.0,False,True,True,False,True,False,True,False
abs_cpi_30033_M,ABS monthly CPI holiday travel and accommodation (indicator to Sep 2025 spliced with complete monthly CPI),abs,AU,holiday travel and accommodation (monthly CPI),diff,0,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,-0.3727012233611226,0.18938531379578025,-0.3425466644680945,0.17182817182817184,"yes: Aug ~30 Sep, Sep ~28 Oct","disclosed-chained from 4Q24 only, modelled before",10,2.294847659221767,2.366578726981209,2.64756769998427,2.475522735167864,0.9696899718815009,0.8667758181350381,0.9270153841128647,0.6,1Q24,2Q26,0.8131684375011807,1.0983044977423242,8,56.0,1.0,False,True,True,False,True,False,True,False
nz_cpi_CPIQ.SE9096_accommodation_services_nan,Stats NZ CPI accommodation_services_nan,nz_statsnz,NZ,accommodation services (CPI),level,1,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,0.6285828471713844,0.016052074612264926,0.6873033074166283,0.016983016983016984,yes: Sep-quarter CPI ~20 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.296743043827831,2.366578726981209,2.64756769998427,2.475522735167864,0.97049086837586,0.8674917146940101,0.9277810343648852,0.6,1Q24,2Q26,0.8429254308782149,1.0581803474021654,7,56.0,0.8989161782868358,True,True,True,True,True,False,True,False
abs_cpi_30033_M,ABS monthly CPI holiday travel and accommodation (indicator to Sep 2025 spliced with complete monthly CPI),abs,AU,holiday travel and accommodation (monthly CPI),diff,1,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,-0.24834232292579572,0.3919379011735971,-0.07513926833493687,0.4015984015984016,"yes: Aug ~30 Sep, Sep ~28 Oct","disclosed-chained from 4Q24 only, modelled before",10,2.310860200153571,2.366578726981209,2.64756769998427,2.475522735167864,0.9764560856596931,0.8728238375801686,0.9334837314660624,0.7,1Q24,2Q26,0.7484793592491172,1.1059559222169753,7,56.0,1.0,False,True,True,False,True,False,True,False
japan_cpi_hotel_charges_index,Japan CPI hotel charges,japan_estat,JP,hotel (CPI hotel charges),level,0,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,0.07870894275860049,0.7891161070745663,-0.05966941897186163,0.7532467532467533,"yes: Aug CPI 19 Sep, Sep 24 Oct","disclosed-chained from 4Q24 only, modelled before",10,2.3372026238790453,2.366578726981209,2.64756769998427,2.475522735167864,0.9875871008357978,0.8827735071299333,0.9441248875141357,0.7,1Q24,2Q26,0.7599524984688536,1.1084639065536208,7,56.0,1.0,False,True,True,False,True,False,True,False
abs_cpi_30033_Q,"ABS CPI holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",diff,0,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,-0.28206635662612933,0.3285536047663587,-0.256357503730961,0.33466533466533466,yes: Sep-quarter CPI 28 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.3824120326758336,2.366578726981209,2.64756769998427,2.475522735167864,1.0066903777652143,0.8998493344249471,0.96238745814398,0.6,1Q24,2Q26,0.8375170317726421,1.1402527064983639,3,56.0,1.0,False,False,False,False,False,False,True,False
japan_cpi_hotel_charges_index,Japan CPI hotel charges,japan_estat,JP,hotel (CPI hotel charges),level,1,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,-0.04571444134535728,0.8766795242123031,-0.22320782652437127,0.8721278721278721,"yes: Aug CPI 19 Sep, Sep 24 Oct","disclosed-chained from 4Q24 only, modelled before",10,2.4745882496120375,2.366578726981209,2.64756769998427,2.475522735167864,1.0456395223194643,0.9346647678269907,0.9996225098066961,0.6,1Q24,2Q26,0.9338183168339659,1.1758456363804715,2,56.0,1.0,False,False,False,False,False,False,True,False
japan_cpi_hotel_charges_index,Japan CPI hotel charges,japan_estat,JP,hotel (CPI hotel charges),diff,0,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,0.13090674222236975,0.6555468673849892,0.2386776758874465,0.6533466533466533,"yes: Aug CPI 19 Sep, Sep 24 Oct","disclosed-chained from 4Q24 only, modelled before",10,2.5619068901211417,2.366578726981209,2.64756769998427,2.475522735167864,1.0825360935231139,0.96764546951391,1.0348953187648344,0.6,1Q24,2Q26,0.9560414495460667,1.2208644232443204,1,56.0,1.0,False,False,False,False,False,False,True,False
abs_cpi_40102_Q,"ABS CPI international holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",diff,1,adr_exfx_apac_pp,2022Q1+,16,3Q22,2Q26,0.4294784568118457,0.09687892541987804,0.19188322520035397,0.0899100899100899,yes: Sep-quarter CPI 28 Oct,"disclosed-chained from 4Q24 only, modelled before",10,4.056606409454708,2.366578726981209,2.64756769998427,2.419947071075583,1.71412273895882,1.5322012009282366,1.6763203038369292,0.4,1Q24,2Q26,1.5529800049319018,1.8653810319069377,0,56.0,1.0,False,False,False,False,True,False,True,False
abs_cpi_30033_M,ABS monthly CPI holiday travel and accommodation (indicator to Sep 2025 spliced with complete monthly CPI),abs,AU,holiday travel and accommodation (monthly CPI),level,0,adr_exfx_apac_pp,2022Q1+,18,1Q22,2Q26,0.528509128358369,0.024143272623330755,0.6487347103651165,0.026973026973026972,"yes: Aug ~30 Sep, Sep ~28 Oct","disclosed-chained from 4Q24 only, modelled before",10,4.124395583913502,2.366578726981209,2.64756769998427,2.419947071075583,1.742767116467134,1.5578055223811675,1.7043329720762657,0.4,1Q24,2Q26,1.6107939212494635,1.860415859602349,0,56.0,1.0,True,False,False,False,True,False,True,False
nz_cpi_CPIQ.SE909601_domestic_accommodation_services_nan,Stats NZ CPI domestic_accommodation_services_nan,nz_statsnz,NZ,accommodation services (CPI),diff,1,adr_exfx_apac_pp,2022Q1+,16,3Q22,2Q26,0.16926691536807154,0.5308599896998369,0.3335816068867692,0.5514485514485514,yes: Sep-quarter CPI ~20 Oct,"disclosed-chained from 4Q24 only, modelled before",10,4.176368302298386,2.366578726981209,2.64756769998427,2.419947071075583,1.7647282360328371,1.5774358866529454,1.7258097717162613,0.4,1Q24,2Q26,1.7067039607881866,1.9849875405575563,0,56.0,1.0,False,False,False,False,True,False,True,False
abs_cpi_30033_Q,"ABS CPI holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",level,0,adr_exfx_apac_pp,2022Q1+,18,1Q22,2Q26,0.507940219565592,0.03139084804220562,0.673566661001102,0.02197802197802198,yes: Sep-quarter CPI 28 Oct,"disclosed-chained from 4Q24 only, modelled before",10,4.1920452380784665,2.366578726981209,2.64756769998427,2.419947071075583,1.7713525395480123,1.5833571462982317,1.73228798604064,0.4,1Q24,2Q26,1.6611474380241504,1.9111764824294075,0,56.0,1.0,True,False,False,False,True,False,True,False
abs_cpi_40101_Q,"ABS CPI domestic holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",diff,1,adr_exfx_apac_pp,2022Q1+,16,3Q22,2Q26,0.17005057822578407,0.5289312249036974,0.2420680687142927,0.5374625374625375,yes: Sep-quarter CPI 28 Oct,"disclosed-chained from 4Q24 only, modelled before",10,4.2788240009056215,2.366578726981209,2.64756769998427,2.419947071075583,1.80802098494465,1.616133933395185,1.7681477632499756,0.4,1Q24,2Q26,1.5834313569776726,1.938248008760634,0,56.0,1.0,False,False,False,False,True,False,True,False
nz_cpi_CPIQ.SE9096_accommodation_services_nan,Stats NZ CPI accommodation_services_nan,nz_statsnz,NZ,accommodation services (CPI),level,0,adr_exfx_apac_pp,2022Q1+,18,1Q22,2Q26,0.5138522917501255,0.02915497799993236,0.7273692207124034,0.04295704295704296,yes: Sep-quarter CPI ~20 Oct,"disclosed-chained from 4Q24 only, modelled before",10,4.312472789847879,2.366578726981209,2.64756769998427,2.419947071075583,1.8222393114083464,1.628843254838583,1.782052525607981,0.3,1Q24,2Q26,1.6532840051697986,2.024166531217558,0,56.0,1.0,True,False,False,False,True,False,True,False
nz_cpi_CPIQ.SE9096_accommodation_services_nan,Stats NZ CPI accommodation_services_nan,nz_statsnz,NZ,accommodation services (CPI),diff,1,adr_exfx_apac_pp,2022Q1+,16,3Q22,2Q26,0.32722867176668924,0.21603079910600115,0.5977900477395643,0.22477522477522477,yes: Sep-quarter CPI ~20 Oct,"disclosed-chained from 4Q24 only, modelled before",10,4.4323010896979715,2.366578726981209,2.64756769998427,2.419947071075583,1.8728728688235035,1.6741030228327325,1.8315694349992402,0.4,1Q24,2Q26,1.5174239424899745,2.082032833380897,0,56.0,1.0,False,False,False,False,True,False,True,False
japan_cpi_hotel_charges_index,Japan CPI hotel charges,japan_estat,JP,hotel (CPI hotel charges),diff,1,adr_exfx_apac_pp,2022Q1+,16,3Q22,2Q26,0.11873531839640313,0.6614079536539533,0.30996520993903337,0.6323676323676324,"yes: Aug CPI 19 Sep, Sep 24 Oct","disclosed-chained from 4Q24 only, modelled before",10,4.453922408914447,2.366578726981209,2.64756769998427,2.419947071075583,1.8820089769824975,1.6822695068159763,1.8405040598407931,0.4,1Q24,2Q26,1.6173813039256106,2.0742111743632345,0,56.0,1.0,False,False,False,False,True,False,True,False
nz_cpi_CPIQ.SE909601_domestic_accommodation_services_nan,Stats NZ CPI domestic_accommodation_services_nan,nz_statsnz,NZ,accommodation services (CPI),level,0,adr_exfx_apac_pp,2022Q1+,18,1Q22,2Q26,0.4945971537696703,0.03692348237309349,0.6383880642667894,0.04795204795204795,yes: Sep-quarter CPI ~20 Oct,"disclosed-chained from 4Q24 only, modelled before",10,4.677194655458697,2.366578726981209,2.64756769998427,2.419947071075583,1.9763528684401273,1.7666005879609747,1.93276733667561,0.3,1Q24,2Q26,1.7879821236031246,2.234211756503342,0,56.0,1.0,False,False,False,False,True,False,True,False
abs_cpi_30033_Q,"ABS CPI holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",diff,1,adr_exfx_apac_pp,2022Q1+,16,3Q22,2Q26,0.2471216546012258,0.35614877892404184,0.24944819276046012,0.34165834165834164,yes: Sep-quarter CPI 28 Oct,"disclosed-chained from 4Q24 only, modelled before",10,4.724250998593643,2.366578726981209,2.64756769998427,2.419947071075583,1.9962365691590003,1.7843740118984346,1.9522125318608214,0.3,1Q24,2Q26,1.7246489882799858,2.1518313436360597,0,56.0,1.0,False,False,False,False,True,False,True,False
abs_cpi_40102_Q,"ABS CPI international holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",diff,0,adr_exfx_apac_pp,2022Q1+,17,2Q22,2Q26,0.35742828726863934,0.15898197126089345,0.20774529568537364,0.16383616383616384,yes: Sep-quarter CPI 28 Oct,"disclosed-chained from 4Q24 only, modelled before",10,4.791393899424757,2.366578726981209,2.64756769998427,2.419947071075583,2.024607863156374,1.80973423246296,1.979958139041094,0.4,1Q24,2Q26,1.924509209880209,2.1937488583010922,0,56.0,1.0,False,False,False,False,True,False,True,False
abs_cpi_40101_Q,"ABS CPI domestic holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",level,0,adr_exfx_apac_pp,2022Q1+,18,1Q22,2Q26,0.3818167760732338,0.11792588605169911,0.5835508399456552,0.11788211788211789,yes: Sep-quarter CPI 28 Oct,"disclosed-chained from 4Q24 only, modelled before",10,4.885833397918361,2.366578726981209,2.64756769998427,2.419947071075583,2.0645133593973846,1.8454045190033816,2.0189835787386774,0.4,1Q24,2Q26,2.0003452743838577,2.2538063706677955,0,56.0,1.0,False,False,False,False,True,False,True,False
abs_cpi_30033_M,ABS monthly CPI holiday travel and accommodation (indicator to Sep 2025 spliced with complete monthly CPI),abs,AU,holiday travel and accommodation (monthly CPI),diff,1,adr_exfx_apac_pp,2022Q1+,16,3Q22,2Q26,0.2743950209601068,0.3037336149789218,0.2642084408527951,0.2977022977022977,"yes: Aug ~30 Sep, Sep ~28 Oct","disclosed-chained from 4Q24 only, modelled before",10,4.915011533392418,2.366578726981209,2.64756769998427,2.419947071075583,2.0768426071597337,1.8564252515324233,2.031040923224765,0.3,1Q24,2Q26,1.7483415429618085,2.2063112716057764,0,56.0,1.0,False,False,False,False,True,False,True,False
japan_cpi_hotel_charges_index,Japan CPI hotel charges,japan_estat,JP,hotel (CPI hotel charges),level,1,adr_exfx_apac_pp,2022Q1+,17,2Q22,2Q26,-0.18412829901745076,0.4792939058532474,-0.5064559871146387,0.46053946053946054,"yes: Aug CPI 19 Sep, Sep 24 Oct","disclosed-chained from 4Q24 only, modelled before",10,4.947903283281576,2.366578726981209,2.64756769998427,2.419947071075583,2.0907410460809333,1.8688486354139209,2.04463285268566,0.4,1Q24,2Q26,2.0396348083651445,2.2642693285761144,0,56.0,1.0,False,False,False,False,False,False,True,False
nz_cpi_CPIQ.SE909601_domestic_accommodation_services_nan,Stats NZ CPI domestic_accommodation_services_nan,nz_statsnz,NZ,accommodation services (CPI),diff,0,adr_exfx_apac_pp,2022Q1+,17,2Q22,2Q26,0.3862747195291032,0.12564548591564614,0.22372570304578698,0.14385614385614387,yes: Sep-quarter CPI ~20 Oct,"disclosed-chained from 4Q24 only, modelled before",10,4.998898743371206,2.366578726981209,2.64756769998427,2.419947071075583,2.112289224262472,1.8881098841781858,2.0657058177513643,0.4,1Q24,2Q26,1.7497584405646298,2.32920749154133,0,56.0,1.0,False,False,False,False,True,False,True,False
abs_cpi_30033_M,ABS monthly CPI holiday travel and accommodation (indicator to Sep 2025 spliced with complete monthly CPI),abs,AU,holiday travel and accommodation (monthly CPI),level,1,adr_exfx_apac_pp,2022Q1+,17,2Q22,2Q26,0.37852811910574813,0.13407090567276142,0.5556264713005259,0.13186813186813187,"yes: Aug ~30 Sep, Sep ~28 Oct","disclosed-chained from 4Q24 only, modelled before",10,5.159143719819873,2.366578726981209,2.64756769998427,2.419947071075583,2.180000885244515,1.9486352397525188,2.131924198460594,0.4,1Q24,2Q26,1.820515730277927,2.41990482575732,0,56.0,1.0,False,False,False,False,True,False,True,False
