feature,source,country,region,asset_class,label,knowable,first_q,last_period,hist_quarters_from_1q23,kind,missing
hicp_CP11201_PT_RCH_A,eurostat_hicp,PT,emea,hotel,"HICP hotels, motels, inns, PT","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2026-07,14.0,rate_M,
hicp_CP11201_NL_RCH_A,eurostat_hicp,NL,emea,hotel,"HICP hotels, motels, inns, NL","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP11201_EL_RCH_A,eurostat_hicp,EL,emea,hotel,"HICP hotels, motels, inns, EL","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2026-07,14.0,rate_M,
hicp_CP11201_HR_RCH_A,eurostat_hicp,HR,emea,hotel,"HICP hotels, motels, inns, HR","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2026-07,14.0,rate_M,
hicp_CP11201_AT_RCH_A,eurostat_hicp,AT,emea,hotel,"HICP hotels, motels, inns, AT","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP11201_IE_RCH_A,eurostat_hicp,IE,emea,hotel,"HICP hotels, motels, inns, IE","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP11201_PL_RCH_A,eurostat_hicp,PL,emea,hotel,"HICP hotels, motels, inns, PL","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2026-07,14.0,rate_M,
hicp_CP11201_CH_RCH_A,eurostat_hicp,CH,emea,hotel,"HICP hotels, motels, inns, CH","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2026-07,14.0,rate_M,
hicp_CP11201_NO_RCH_A,eurostat_hicp,NO,emea,hotel,"HICP hotels, motels, inns, NO","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11201_TR_RCH_A,eurostat_hicp,TR,emea,hotel,"HICP hotels, motels, inns, TR","yes: Sep flash ~1 Oct, final ~16 Oct",4Q17,2026-07,14.0,rate_M,
hicp_CP11201_UK_RCH_A,eurostat_hicp,UK,emea,hotel,"HICP hotels, motels, inns, UK","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11201_SE_RCH_A,eurostat_hicp,SE,emea,hotel,"HICP hotels, motels, inns, SE","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP11201_DK_RCH_A,eurostat_hicp,DK,emea,hotel,"HICP hotels, motels, inns, DK","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP11201_CZ_RCH_A,eurostat_hicp,CZ,emea,hotel,"HICP hotels, motels, inns, CZ","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2026-07,14.0,rate_M,
hicp_CP11201_HU_RCH_A,eurostat_hicp,HU,emea,hotel,"HICP hotels, motels, inns, HU","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2026-07,14.0,rate_M,
hicp_CP11201_BE_RCH_A,eurostat_hicp,BE,emea,hotel,"HICP hotels, motels, inns, BE","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP11202_EA_RCH_A,eurostat_hicp,EA,emea,other accommodation,"HICP holiday centres, camping, hostels, EA","yes: Sep flash ~1 Oct, final ~16 Oct",4Q17,2026-07,14.0,rate_M,
hicp_CP11202_EU27_2020_RCH_A,eurostat_hicp,EU27_2020,emea,other accommodation,"HICP holiday centres, camping, hostels, EU27_2020","yes: Sep flash ~1 Oct, final ~16 Oct",4Q17,2026-07,14.0,rate_M,
hicp_CP11202_DE_RCH_A,eurostat_hicp,DE,emea,other accommodation,"HICP holiday centres, camping, hostels, DE","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2026-07,14.0,rate_M,
hicp_CP11202_ES_RCH_A,eurostat_hicp,ES,emea,other accommodation,"HICP holiday centres, camping, hostels, ES","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2026-07,14.0,rate_M,
hicp_CP11202_FR_RCH_A,eurostat_hicp,FR,emea,other accommodation,"HICP holiday centres, camping, hostels, FR","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP11202_IT_RCH_A,eurostat_hicp,IT,emea,other accommodation,"HICP holiday centres, camping, hostels, IT","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP11202_PT_RCH_A,eurostat_hicp,PT,emea,other accommodation,"HICP holiday centres, camping, hostels, PT","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2026-07,14.0,rate_M,
hicp_CP11202_NL_RCH_A,eurostat_hicp,NL,emea,other accommodation,"HICP holiday centres, camping, hostels, NL","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP11202_EL_RCH_A,eurostat_hicp,EL,emea,other accommodation,"HICP holiday centres, camping, hostels, EL","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2026-07,14.0,rate_M,
hicp_CP11202_HR_RCH_A,eurostat_hicp,HR,emea,other accommodation,"HICP holiday centres, camping, hostels, HR","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2026-07,14.0,rate_M,
hicp_CP11202_AT_RCH_A,eurostat_hicp,AT,emea,other accommodation,"HICP holiday centres, camping, hostels, AT","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11202_IE_RCH_A,eurostat_hicp,IE,emea,other accommodation,"HICP holiday centres, camping, hostels, IE","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11202_PL_RCH_A,eurostat_hicp,PL,emea,other accommodation,"HICP holiday centres, camping, hostels, PL","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2026-07,14.0,rate_M,
hicp_CP11202_CH_RCH_A,eurostat_hicp,CH,emea,other accommodation,"HICP holiday centres, camping, hostels, CH","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2026-07,14.0,rate_M,
hicp_CP11202_NO_RCH_A,eurostat_hicp,NO,emea,other accommodation,"HICP holiday centres, camping, hostels, NO","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11202_TR_RCH_A,eurostat_hicp,TR,emea,other accommodation,"HICP holiday centres, camping, hostels, TR","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11202_UK_RCH_A,eurostat_hicp,UK,emea,other accommodation,"HICP holiday centres, camping, hostels, UK","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11202_SE_RCH_A,eurostat_hicp,SE,emea,other accommodation,"HICP holiday centres, camping, hostels, SE","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP11202_DK_RCH_A,eurostat_hicp,DK,emea,other accommodation,"HICP holiday centres, camping, hostels, DK","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP11202_CZ_RCH_A,eurostat_hicp,CZ,emea,other accommodation,"HICP holiday centres, camping, hostels, CZ","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2026-07,14.0,rate_M,
hicp_CP11202_HU_RCH_A,eurostat_hicp,HU,emea,other accommodation,"HICP holiday centres, camping, hostels, HU","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2026-07,14.0,rate_M,
hicp_CP11202_BE_RCH_A,eurostat_hicp,BE,emea,other accommodation,"HICP holiday centres, camping, hostels, BE","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP11209_EA_RCH_A,eurostat_hicp,EA,emea,"other accommodation, incl short-term lets","HICP other accommodation services, EA","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11209_EU27_2020_RCH_A,eurostat_hicp,EU27_2020,emea,"other accommodation, incl short-term lets","HICP other accommodation services, EU27_2020","yes: Sep flash ~1 Oct, final ~16 Oct",4Q17,2024-12,8.0,rate_M,
hicp_CP11209_DE_RCH_A,eurostat_hicp,DE,emea,"other accommodation, incl short-term lets","HICP other accommodation services, DE","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11209_ES_RCH_A,eurostat_hicp,ES,emea,"other accommodation, incl short-term lets","HICP other accommodation services, ES","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11209_FR_RCH_A,eurostat_hicp,FR,emea,"other accommodation, incl short-term lets","HICP other accommodation services, FR","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11209_IT_RCH_A,eurostat_hicp,IT,emea,"other accommodation, incl short-term lets","HICP other accommodation services, IT","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2015-12,0.0,rate_M,
hicp_CP11209_PT_RCH_A,eurostat_hicp,PT,emea,"other accommodation, incl short-term lets","HICP other accommodation services, PT","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11209_NL_RCH_A,eurostat_hicp,NL,emea,"other accommodation, incl short-term lets","HICP other accommodation services, NL","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11209_EL_RCH_A,eurostat_hicp,EL,emea,"other accommodation, incl short-term lets","HICP other accommodation services, EL","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11209_HR_RCH_A,eurostat_hicp,HR,emea,"other accommodation, incl short-term lets","HICP other accommodation services, HR","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11209_AT_RCH_A,eurostat_hicp,AT,emea,"other accommodation, incl short-term lets","HICP other accommodation services, AT","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11209_IE_RCH_A,eurostat_hicp,IE,emea,"other accommodation, incl short-term lets","HICP other accommodation services, IE","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11209_PL_RCH_A,eurostat_hicp,PL,emea,"other accommodation, incl short-term lets","HICP other accommodation services, PL","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2024-12,8.0,rate_M,
hicp_CP11209_CH_RCH_A,eurostat_hicp,CH,emea,"other accommodation, incl short-term lets","HICP other accommodation services, CH","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11209_NO_RCH_A,eurostat_hicp,NO,emea,"other accommodation, incl short-term lets","HICP other accommodation services, NO","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11209_TR_RCH_A,eurostat_hicp,TR,emea,"other accommodation, incl short-term lets","HICP other accommodation services, TR","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11209_UK_RCH_A,eurostat_hicp,UK,emea,"other accommodation, incl short-term lets","HICP other accommodation services, UK","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11209_SE_RCH_A,eurostat_hicp,SE,emea,"other accommodation, incl short-term lets","HICP other accommodation services, SE","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11209_DK_RCH_A,eurostat_hicp,DK,emea,"other accommodation, incl short-term lets","HICP other accommodation services, DK","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11209_CZ_RCH_A,eurostat_hicp,CZ,emea,"other accommodation, incl short-term lets","HICP other accommodation services, CZ","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11209_HU_RCH_A,eurostat_hicp,HU,emea,"other accommodation, incl short-term lets","HICP other accommodation services, HU","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP11209_BE_RCH_A,eurostat_hicp,BE,emea,"other accommodation, incl short-term lets","HICP other accommodation services, BE","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
sppi_I55_EA20_PCH_SM,eurostat_sppi,EA20,emea,"accommodation (NACE I55, producer price)","SPPI accommodation I55, EA20",no: 3Q26 publishes Dec 2026,1Q15,2026Q1,13.0,rate_Q,
sppi_I55_EU27_2020_PCH_SM,eurostat_sppi,EU27_2020,emea,"accommodation (NACE I55, producer price)","SPPI accommodation I55, EU27_2020",no: 3Q26 publishes Dec 2026,1Q15,2026Q1,13.0,rate_Q,
sppi_I55_DE_PCH_SM,eurostat_sppi,DE,emea,"accommodation (NACE I55, producer price)","SPPI accommodation I55, DE",no: 3Q26 publishes Dec 2026,1Q22,2026Q1,13.0,rate_Q,
sppi_I55_ES_PCH_SM,eurostat_sppi,ES,emea,"accommodation (NACE I55, producer price)","SPPI accommodation I55, ES",no: 3Q26 publishes Dec 2026,1Q22,2026Q1,13.0,rate_Q,
sppi_I55_FR_PCH_SM,eurostat_sppi,FR,emea,"accommodation (NACE I55, producer price)","SPPI accommodation I55, FR",no: 3Q26 publishes Dec 2026,1Q15,2026Q2,14.0,rate_Q,
sppi_I55_IT_PCH_SM,eurostat_sppi,IT,emea,"accommodation (NACE I55, producer price)","SPPI accommodation I55, IT",no: 3Q26 publishes Dec 2026,1Q22,2026Q2,14.0,rate_Q,
sppi_I55_PT_PCH_SM,eurostat_sppi,PT,emea,"accommodation (NACE I55, producer price)","SPPI accommodation I55, PT",no: 3Q26 publishes Dec 2026,1Q22,2026Q1,13.0,rate_Q,
sppi_I55_NL_PCH_SM,eurostat_sppi,NL,emea,"accommodation (NACE I55, producer price)","SPPI accommodation I55, NL",no: 3Q26 publishes Dec 2026,1Q22,2026Q2,14.0,rate_Q,
sppi_I55_AT_PCH_SM,eurostat_sppi,AT,emea,"accommodation (NACE I55, producer price)","SPPI accommodation I55, AT",no: 3Q26 publishes Dec 2026,1Q22,2026Q1,13.0,rate_Q,
sppi_I55_SE_PCH_SM,eurostat_sppi,SE,emea,"accommodation (NACE I55, producer price)","SPPI accommodation I55, SE",no: 3Q26 publishes Dec 2026,1Q16,2026Q2,14.0,rate_Q,
sppi_I55_DK_PCH_SM,eurostat_sppi,DK,emea,"accommodation (NACE I55, producer price)","SPPI accommodation I55, DK",no: 3Q26 publishes Dec 2026,1Q22,2026Q2,14.0,rate_Q,
sppi_I55_PL_PCH_SM,eurostat_sppi,PL,emea,"accommodation (NACE I55, producer price)","SPPI accommodation I55, PL",no: 3Q26 publishes Dec 2026,1Q22,2026Q2,14.0,rate_Q,
sppi_I55_UK_PCH_SM,eurostat_sppi,UK,emea,"accommodation (NACE I55, producer price)","SPPI accommodation I55, UK",no: 3Q26 publishes Dec 2026,1Q15,2020Q3,0.0,rate_Q,
sppi_I55_NO_PCH_SM,eurostat_sppi,NO,emea,"accommodation (NACE I55, producer price)","SPPI accommodation I55, NO",no: 3Q26 publishes Dec 2026,1Q22,2026Q2,14.0,rate_Q,
sppi_I55_IE_PCH_SM,eurostat_sppi,IE,emea,"accommodation (NACE I55, producer price)","SPPI accommodation I55, IE",no: 3Q26 publishes Dec 2026,1Q22,2026Q1,13.0,rate_Q,
sppi_I55_HR_PCH_SM,eurostat_sppi,HR,emea,"accommodation (NACE I55, producer price)","SPPI accommodation I55, HR",no: 3Q26 publishes Dec 2026,1Q16,2026Q1,13.0,rate_Q,
sppi_I55_EL_PCH_SM,eurostat_sppi,EL,emea,"accommodation (NACE I55, producer price)","SPPI accommodation I55, EL",no: 3Q26 publishes Dec 2026,1Q22,2026Q1,13.0,rate_Q,
ine_hdpi_holiday_dwellings_EOT8077,ine_es,ES,emea,short-term rental (tourist apartments),INE Spain holiday dwellings / tourist apartments y/y,yes: Sep release ~23 Oct,1Q14,2026-07,14.0,rate_M,
ine_rtapi_rural_EOT12767,ine_es,ES,emea,other accommodation (rural),INE Spain rural tourism accommodation y/y,yes: Sep release ~23 Oct,1Q14,2026-07,14.0,rate_M,
ine_hotel_adr_EOT16415,ine_es,ES,emea,hotel,"INE Spain hotel ADR, national y/y",yes: Sep release ~23 Oct,1Q14,2026-07,14.0,rate_M,
ine_hotel_revpar_EOT16471,ine_es,ES,emea,hotel,"INE Spain hotel RevPAR, national y/y",yes: Sep release ~23 Oct,1Q14,2026-07,14.0,rate_M,
ine_tcpi_campsite_EOT8071,ine_es,ES,emea,other accommodation (campsites),INE Spain campsite price index y/y,yes,1Q14,2026-07,14.0,rate_M,
bls_PCU721110721110,bls,US,na,hotel,BLS PPI hotels and motels 721110,yes: Sep PPI/CPI mid-Oct,1Q13,2026-08,14.0,index_M,
bls_PCU7211--7211--,bls,US,na,hotel,BLS PPI traveler accommodation 7211,yes: Sep PPI/CPI mid-Oct,1Q13,2026-08,14.0,index_M,
bls_CUUR0000SEHB02,bls,US,na,hotel (CPI),"BLS CPI other lodging away from home incl hotels, NSA",yes: Sep PPI/CPI mid-Oct,1Q13,2026-08,14.0,index_M,
bls_CUSR0000SEHB02,bls,US,na,hotel (CPI),"BLS CPI other lodging away from home incl hotels, SA",yes: Sep PPI/CPI mid-Oct,1Q13,2026-08,14.0,index_M,
statcan_cpi_traveller_accommodation,statcan,CA,na,hotel (CPI traveller accommodation),StatCan CPI traveller accommodation,yes: Sep CPI ~20 Oct,1Q13,2026-07,14.0,index_M,
abs_cpi_30033_Q,abs,AU,apac,"holiday travel and accommodation (CPI, bundles airfares)","ABS CPI holiday travel and accommodation, quarterly",yes: Sep-quarter CPI 28 Oct,1Q16,2026Q2,14.0,index_Q,
abs_cpi_30033_M,abs,AU,apac,holiday travel and accommodation (monthly CPI),ABS monthly CPI holiday travel and accommodation (indicator to Sep 2025 spliced with complete monthly CPI),"yes: Aug ~30 Sep, Sep ~28 Oct",3Q18,2026-07,14.0,index_M,
abs_cpi_40101_Q,abs,AU,apac,"holiday travel and accommodation (CPI, bundles airfares)","ABS CPI domestic holiday travel and accommodation, quarterly",yes: Sep-quarter CPI 28 Oct,1Q16,2026Q2,14.0,index_Q,
abs_cpi_40101_M,abs,AU,apac,holiday travel and accommodation (monthly CPI),ABS monthly CPI domestic holiday travel and accommodation (indicator to Sep 2025 spliced with complete monthly CPI),"yes: Aug ~30 Sep, Sep ~28 Oct",,,,abs_splice,True
abs_cpi_40102_Q,abs,AU,apac,"holiday travel and accommodation (CPI, bundles airfares)","ABS CPI international holiday travel and accommodation, quarterly",yes: Sep-quarter CPI 28 Oct,1Q16,2026Q2,14.0,index_Q,
abs_cpi_40102_M,abs,AU,apac,holiday travel and accommodation (monthly CPI),ABS monthly CPI international holiday travel and accommodation (indicator to Sep 2025 spliced with complete monthly CPI),"yes: Aug ~30 Sep, Sep ~28 Oct",,,,abs_splice,True
ibge_ipca_hospedagem_yoy12m,ibge,BR,latam,hotel (IPCA hospedagem),IBGE IPCA hospedagem 12-month rate,yes: Sep IPCA ~9 Oct,4Q12,2026-08,14.0,rate_M,
bea_export_travel_price,fred_bea,US,na,travel exports deflator (inbound visitors' spend),"BEA exports of travel, price index",yes: 3Q advance 29 Oct,1Q48,2026Q2,14.0,index_Q,
bea_import_travel_price,fred_bea,US,na,travel imports deflator (US residents abroad),"BEA imports of travel, price index",yes: 3Q advance 29 Oct,1Q68,2026Q2,14.0,index_Q,
ons_cpi_112_accommodation_index,ons,UK,emea,"accommodation, all",ONS CPI 11.2 accommodation services,yes: Sep CPI ~22 Oct,1Q97,2026-07,14.0,index_M,
ons_cpi_11201_hotels_index,ons,UK,emea,hotel,ONS CPI 11.2.0.1 hotels,yes,1Q16,2026-07,14.0,index_M,
ons_cpi_11203_other_establishments_index,ons,UK,emea,other accommodation,ONS CPI 11.2.0.3 other establishments,yes,1Q16,2026-07,14.0,index_M,
hawaii_vr_adr_state_yoy_reported_pct,hawaii_dbedt,US-HI,na,short-term rental (vacation rental ADR),"Hawaii DBEDT vacation rental ADR y/y, statewide","yes: Aug report ~25 Sep, Sep ~25 Oct",2Q23,2026-07,13.0,rate_M,
hawaii_vr_adr_maui_yoy_reported_pct,hawaii_dbedt,US-HI,na,short-term rental (vacation rental ADR),"Hawaii vacation rental ADR y/y, maui",yes,2Q23,2026-07,13.0,rate_M,
hawaii_vr_adr_oahu_yoy_reported_pct,hawaii_dbedt,US-HI,na,short-term rental (vacation rental ADR),"Hawaii vacation rental ADR y/y, oahu",yes,2Q23,2026-07,13.0,rate_M,
hawaii_vr_adr_kauai_yoy_reported_pct,hawaii_dbedt,US-HI,na,short-term rental (vacation rental ADR),"Hawaii vacation rental ADR y/y, kauai",yes,2Q23,2026-07,13.0,rate_M,
hawaii_vr_adr_island_yoy_reported_pct,hawaii_dbedt,US-HI,na,short-term rental (vacation rental ADR),"Hawaii vacation rental ADR y/y, island",yes,2Q23,2026-07,13.0,rate_M,
japan_cpi_hotel_charges_index,japan_estat,JP,apac,hotel (CPI hotel charges),Japan CPI hotel charges,"yes: Aug CPI 19 Sep, Sep 24 Oct",1Q71,2026-07,14.0,index_M,
nz_cpi_CPIQ.SE9096_accommodation_services_nan,nz_statsnz,NZ,apac,accommodation services (CPI),Stats NZ CPI accommodation_services_nan,yes: Sep-quarter CPI ~20 Oct,2Q00,2026Q2,14.0,index_Q,
nz_cpi_CPIQ.SE909601_domestic_accommodation_services_nan,nz_statsnz,NZ,apac,accommodation services (CPI),Stats NZ CPI domestic_accommodation_services_nan,yes: Sep-quarter CPI ~20 Oct,2Q18,2026Q2,14.0,index_Q,
bea_pce_accommodations_price,bea_held,US,na,"accommodation, all",BEA PCE accommodations price index (hotels plus housing at school),yes: Aug PCE ~26 Sep,1Q16,2026-07,14.0,index_M,
bea_pce_foreign_travel_by_us_residents_price,bea_held,US,na,travel deflator (outbound),"BEA PCE foreign travel by US residents, price index",yes: Aug PCE ~26 Sep,1Q16,2026-07,14.0,index_M,
bea_pce_inbound_foreign_travel_in_us_price,bea_held,US,na,travel deflator (inbound),"BEA PCE inbound foreign travel in US, price index (negative PCE)",yes: Aug PCE ~26 Sep,1Q16,2026-07,14.0,index_M,
