Date,type,pct_move,Close,Volume,category,explanation,confidence
2018-12-06,1-day,-18.05,41.0,9379100,earnings,Q3 FY19 wider loss + promo-heavy holiday outlook; tax-masked guide cut,H
2018-12-11,5-day,-34.62,34.68,2175000,macro,December 2018 market capitulation (5-day),M-H
2019-01-17,1-day,-24.67,25.13,15732400,earnings,Holiday SSS -1.3% + Q4 guidance slashed; CFPB/NYAG $11M settlement previous day,H
2019-01-22,5-day,-30.1,23.94,3310300,earnings/macro,Continued post-holiday-warning slide (5-day -30.1%),M
2019-05-13,curated,-11.89,20.16,2630500,macro,China tariff-retaliation day; high-beta selloff,M-H
2019-08-15,5-day,-26.54,11.68,2709200,macro,Trade-war/yield-curve retail wreck (5-day),M
2019-09-05,1-day,26.88,13.97,18873600,earnings,Q2 FY20: EPS ~2x consensus; FY raise; short squeeze; strong macro day,H
2019-09-11,5-day,55.4,17.11,4193400,earnings,Post-Q2-beat squeeze continuation (5-day +55%),H
2019-12-06,1-day,15.04,20.58,5210700,macro/earnings,Day after Q3 FY20 beat; jobs-report rally; no new company news,H
2019-12-10,5-day,29.51,20.8,2003900,earnings,Q3 FY20 beat aftermath (5-day),M-H
2020-01-16,1-day,40.2,30.13,25334100,earnings,"Holiday beat (SSS +1.6%, ecomm +13.5%) + FY20 EPS guide raised well above consensus; massive short base",H
2020-01-16,5-day,57.09,30.13,25334100,earnings,"Holiday beat (SSS +1.6%, ecomm +13.5%) + FY20 EPS guide raised well above consensus; massive short base",H
2020-03-09,1-day,-15.09,17.95,3331700,macro,COVID/oil-war crash day,H
2020-03-12,1-day,-21.81,13.12,3351000,macro,COVID crash day,H
2020-03-16,1-day,-25.53,10.56,5602000,macro,COVID crash day,H
2020-03-18,1-day,-33.03,7.3,4996600,macro,"COVID crash day (worst single day, -33%)",H
2020-03-18,5-day,-56.5,7.3,4996600,macro,"COVID crash day (worst single day, -33%)",H
2020-03-19,1-day,19.73,8.74,4062700,macro,COVID bounce,H
2020-03-23,1-day,-24.55,5.84,7374600,macro/company,COVID market bottom; SIG revolver-drawdown 8-K same day; all-time low $5.84,H
2020-03-26,1-day,29.88,9.52,12607700,earnings/macro,Q4 FY20 report + CARES-Act rally day 3,M-H
2020-03-27,1-day,-17.02,7.9,5518900,macro,COVID whipsaw,H
2020-03-30,1-day,-15.95,6.64,4939700,macro,COVID whipsaw,H
2020-04-02,5-day,-35.19,6.17,4154700,macro,COVID lows (5-day),H
2020-04-14,5-day,26.25,8.08,3348300,macro,Reopening bounce (5-day),M-H
2020-04-28,1-day,14.46,9.42,4012700,macro,Reopening rally,M-H
2020-04-29,5-day,42.33,10.39,4189500,macro,Reopening rally (5-day),M-H
2020-05-08,1-day,26.89,11.09,8269400,macro,Jobs-report reopening rally,M-H
2020-05-08,5-day,22.14,11.09,8269400,macro,Jobs-report reopening rally,M-H
2020-05-27,5-day,23.18,11.85,3965300,macro,Reopening rotation (5-day),M-H
2020-06-03,1-day,26.28,14.27,6653900,macro,June 2020 junk rally in beaten-down names,M-H
2020-06-08,5-day,57.22,16.87,4206200,macro,June 2020 rally peak (5-day +57%),M-H
2020-06-09,1-day,-16.06,14.16,6030800,earnings/macro,"Q1 FY21 (sales -40.5%, no guidance) + market pullback start",H
2020-08-11,5-day,27.83,14.7,2882300,macro,Rotation into value/reopening names (5-day),M
2020-08-26,5-day,25.46,17.0,3135600,earnings,Around Q2 FY21 (ecomm +72%) (5-day),M
2021-01-12,5-day,44.43,42.78,2642000,macro,Blue-wave cyclical rally + pre-holiday-release run (5-day +44%),M
2021-01-14,curated,6.1,41.39,2060800,earnings,"Holiday 8-K: SSS +5.6%, ecomm +60.8%",H
2021-02-04,5-day,22.46,45.31,937000,macro,Post-GameStop-window squeeze/rotation (5-day),M
2021-04-12,curated,7.92,65.92,3190000,earnings,8-K pre-announcement raising Q1/FY22 guidance,H
2021-06-14,5-day,28.74,75.57,1447800,earnings,Q1 FY22 aftermath (5-day),H
2021-10-12,curated,-0.52,81.62,1705400,M&A,Diamonds Direct acquisition announced,H
2021-11-18,curated,6.26,109.8,804800,earnings,Q3 FY22 beat+raise; era peak close $109.80,H
2022-01-20,curated,-9.63,78.99,3095800,macro,"Record holiday + raised guide + $500M buyback expansion, but macro reversal day; sell-the-news",M
2022-03-17,5-day,22.26,83.14,5614400,earnings/macro,FOMC-week rally + Q4 FY22 beat (5-day +22%),M-H
2022-05-24,curated,-8.6,50.25,1753800,macro,Walmart/Target/Snap retail-recession week; 52wk low $50.25,M-H
2022-05-25,curated,12.28,56.42,1788700,macro,Broad relief bounce,M-H
2022-06-09,curated,9.05,67.83,5033200,earnings,"Q1 FY23 beat, guide reaffirmed",H
2022-06-10,curated,-9.08,61.67,1837000,macro,May-CPI shock,H
2022-08-09,curated,-11.7,59.75,2269700,earnings/M&A,Blue Nile deal ($360M) + simultaneous Q2/FY23 guidance cut (cut drove the drop),H
2022-09-01,curated,-12.04,57.5,2100900,earnings,"Q2 FY23: SSS -8.2%, margin -220bps; low-income consumer pullback",H
2022-12-06,1-day,20.25,69.54,5435300,earnings,Q3 FY23 beat + FY raise on a down-market day,H
2023-03-16,curated,11.26,75.52,2127700,earnings/macro,Q4 FY23 beat + dividend hike; bank-crisis relief rally,M
2023-06-08,curated,-10.66,62.11,3611700,earnings,Q1 FY24: FY revenue guide cut ~8%; 'engagement gap' priced in,H
2023-11-14,curated,11.88,79.93,1191400,macro,Soft-CPI squeeze rally,H
2023-12-05,curated,5.89,89.78,1967400,earnings,Q3 FY24 EPS high-end + reaffirmed guide; December rate-cut rally,M-H
2024-03-20,curated,-12.08,90.08,3944600,earnings,Q4 FY24 revenue miss + weak FY25 guide; digital-banner integration issues,H
2024-04-03,curated,9.85,104.43,1882100,capital,Preferred-share modification/redemption path (Leonard Green overhang removal),M
2024-06-13,1-day,-14.91,92.25,3862000,earnings,Q1 FY25: EPS beat but SSS -8.9% + digital-banner sales drag; guide only maintained,H
2024-09-12,curated,11.33,86.94,2925400,earnings,Q2 FY25 beat; 5th straight sequential comp improvement; engagement recovery signals,H
2024-09-17,5-day,22.69,93.56,934100,earnings,Q2 FY25 aftermath (5-day +22.7%),H
2024-10-01,curated,-7.91,94.98,1936000,management,"CEO transition: Drosos retiring, Symancyk appointed",H
2024-12-05,curated,-11.94,86.94,4652500,earnings,Q3 FY25 miss + weak holiday guide,H
2025-01-14,1-day,-21.66,58.0,9682700,earnings,Holiday miss (SSS ~-2%) + Q4 guidance cut; fashion assortment gaps,H
2025-01-17,5-day,-24.99,57.48,1881800,earnings,Post-holiday-warning slide (5-day -25%),H
2025-03-03,curated,-6.88,48.72,1697800,macro,Tariff-fear market correction; consumer weakness,M
2025-03-19,1-day,17.29,56.65,4990100,earnings,Q4 FY25 beat; comps positive in Jan; Grow Brand Love strategy + reorg unveiled,H
2025-03-24,5-day,26.72,61.27,1749000,earnings,Post-Q4 re-rating (5-day +26.7%),H
2025-04-03,curated,-9.6,54.72,1991300,macro,Liberation Day tariff shock,H
2025-04-08,curated,-7.08,50.77,1678700,macro,Tariff selloff continuation,H
2025-04-09,1-day,16.33,59.06,2349200,macro,90-day tariff pause; market-wide rip,H
2025-05-12,curated,8.47,69.82,1354500,macro,US-China Geneva tariff truce,M-H
2025-06-03,curated,12.45,75.13,3505100,earnings,Q1 FY26 beat + FY raise incl. tariffs,H
2025-06-16,curated,8.17,82.74,1264000,macro,Broad rally + post-earnings momentum; no verified SIG catalyst,L-M
2025-10-13,curated,8.11,99.8,792200,macro,Rebound from 10/10 China-tariff-threat selloff; gold/jewelry momentum,M
2025-12-02,curated,-6.8,89.19,2622300,earnings,"Q3 FY26 strong but weak Q4 guide (gold costs, measured consumer)",H
2026-01-09,curated,-6.3,84.38,1433500,unknown,"No 8-K, no recovered article; unexplained",L
2026-03-11,curated,-5.87,85.48,1229000,earnings,"Reaction to 3/9 preliminary Q4: promo pivot, merchandise-margin decline",M-H
2026-03-18,curated,-7.29,78.77,1909200,earnings,Pre-full-report de-risking after soft prelims,M
2026-03-19,curated,13.7,89.56,3015700,earnings,"Full Q4 FY26: $525M FCF, dividend +10%, FY27 guide; relief rally",M-H
2026-06-11,curated,6.79,91.75,1029000,earnings,Q1 FY27 beat + FY27 raise; $50M ASR signed 6/8,H
