airbnb_property_key,airbnb_name,airbnb_city,airbnb_address,airbnb_listing_ids,registry_source_id,registry_id,registry_name,registry_address,registered_physical_rooms,method,name_token_corroborated,registry_candidate_count,accepted_roomcount_link,status
HOTEL MIDNIGHT PARIS|133 RUE DU FAUBOURG SAINT DENIS 75010 PARIS FRANCE,Hôtel Midnight Paris,Paris,"133 Rue du Faubourg Saint-Denis, 75010, Paris, France",1386081895022018380,HRE-FR-CLASSIFIED,18716,MIDNIGHT HÔTEL PARIS,133 rue du Faubourg Saint Denis,25,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
RELAIS DE LYON BY MALONE|64 RUE CROZATIER 75012 PARIS FRANCE,Relais De Lyon By Malone,Paris,"64 Rue Crozatier, 75012, Paris, France",1640476799082789858,HRE-FR-CLASSIFIED,15938,HÔTEL MERCURE PARIS BASTILLE SAINT ANTOINE,64 rue Crozatier,,exact street/postcode with name-token corroboration,False,1,False,premises or alias candidate only
LE TOURVILLE EIFFEL|16 AVE DE TOURVILLE 75007 PARIS FRANCE,Le Tourville Eiffel,Paris,"16 Avenue de Tourville, 75007, Paris, France",1167189981227082997,HRE-FR-CLASSIFIED,14905,HÔTEL LE TOURVILLE,16 avenue de Tourville,30,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
VENUE HOTEL|305 JOO CHIAT RD 427556 SINGAPORE,Venue Hotel,Singapore,"305 Joo Chiat Road, 427556, Singapore",1368585784658369321,HRE-SG-HLB,19697,Venue Hotel,427556,81,exact postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
ONE FARRER HOTEL|1 FARRER PARK STATION RD 217562 SINGAPORE,One Farrer Hotel,Singapore,"1 Farrer Park Station Road, 217562, Singapore",1424428701695755446,HRE-SG-HLB,19770,One Farrer Hotel,217562,252,exact postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL 81 PRINCESS|21 LORONG 12 GEYLANG 399001 SINGAPORE,Hotel 81 Princess,Singapore,"21 Lorong 12 Geylang, 399001, Singapore",1394962519754001306,HRE-SG-HLB,19764,Hotel 81 - Princess,399001,133,exact postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL 81 SELEGIE|161 SELEGIE RD 188318 SINGAPORE,Hotel 81 Selegie,Singapore,"161 Selegie Road, 188318, Singapore",1482348552454729497,HRE-SG-HLB,19839,Hotel 81 - Selegie,188318,81,exact postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
METT SINGAPORE|11 CANNING WALK 178881 SINGAPORE,Mett Singapore,Singapore,"11 Canning Walk, 178881, Singapore",1652862360877034516,HRE-SG-HLB,19720,Hotel Fort Canning,178881,,exact postcode with name-token corroboration,False,1,False,premises or alias candidate only
HOTEL 81 BALESTIER|226 BALESTIER RD 329688 SINGAPORE,Hotel 81 Balestier,Singapore,"226 Balestier Road, 329688, Singapore",1482344889095034161,HRE-SG-HLB,19741,Hotel 81 - Balestier,329688,53,exact postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL 81 CHINATOWN|181 NEW BRIDGE RD 059418 SINGAPORE,Hotel 81 Chinatown,Singapore,"181 New Bridge Road, 059418, Singapore",1395277576310652984,HRE-SG-HLB,19891,Hotel 81 - Chinatown,059418,95,exact postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL 81 HOLLYWOOD|61 LORONG 8 GEYLANG 399121 SINGAPORE,Hotel 81 Hollywood,Singapore,"61 Lorong 8 Geylang, 399121, Singapore",1395266256881762103,HRE-SG-HLB,19749,Hotel 81 - Hollywood,399121,112,exact postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
SOFITEL SINGAPORE CITY CENTRE|9 WALLICH ST 078885 SINGAPORE,Sofitel Singapore City Centre,Singapore,"9 Wallich Street, 078885, Singapore",1566465129273341933,HRE-SG-HLB,19781,Sofitel Singapore City Centre,078885,223,exact postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
VALUE HOTEL THOMSON|592 BALESTIER RD 329901 SINGAPORE,Value Hotel Thomson,Singapore,"592 Balestier Road, 329901, Singapore",1399039929126626824,HRE-SG-HLB,19696,Value Hotel - Thomson,329901,366,exact postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
WALKER HOTEL TRIBECA|77 WALKER ST NEW YORK NY 10013 UNITED STATES,Walker Hotel Tribeca,New York City,"77 Walker Street, New York, NY, 10013, United States",1237716908582199687,HRE-NYC-LICENSE,2130268-DCWP,"Walker Hotel, LLC",77 WALKER ST,,exact street/postcode premises candidate; legal entity may differ from hotel,True,1,False,premises or alias candidate only
THE ROXY HOTEL NEW YORK|2 AVE OF THE AMERICAS NEW YORK NY 10013 UNITED STATES,The Roxy Hotel New York,New York City,"2 Avenue of the Americas, New York, NY, 10013, United States",1091287898399382473,HRE-NYC-LICENSE,2128340-DCWP,"TRIBECA GRAND HOTEL, INC.",2 AVENUE OF THE AMERICAS,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
HOTEL ON RIVINGTON|107 RIVINGTON ST NEW YORK NY 10002 UNITED STATES,Hotel on Rivington,New York City,"107 Rivington Street, New York, NY, 10002, United States",1065261714964080001,HRE-NYC-LICENSE,2129884-DCWP,THE DOWNTOWN LLC,107 RIVINGTON ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
SOHO GRAND HOTEL|310 W BROADWAY NEW YORK NY 10013 UNITED STATES,Soho Grand Hotel,New York City,"310 West Broadway, New York, NY, 10013, United States",1532659699922936847,HRE-NYC-LICENSE,2128337-DCWP,SOHO GRAND HOTEL,310 W BROADWAY,,exact street/postcode premises candidate; legal entity may differ from hotel,True,1,False,premises or alias candidate only
ARLO SOHO|231 HUDSON ST NEW YORK NY 10013 UNITED STATES,Arlo SoHo,New York City,"231 Hudson Street, New York, NY, 10013, United States",1402152279369382835,HRE-NYC-LICENSE,2129074-DCWP,CE Renwick LLC,231 HUDSON ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
HOTEL MIMOSA|79 DIVISION ST NEW YORK NY 10002 UNITED STATES,Hotel Mimosa,New York City,"79 Division Street, New York, NY, 10002, United States",1618523976063361840,HRE-NYC-LICENSE,2129883-DCWP,CA HOSPITALITY LLC,79 DIVISION ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
MODERNHAUS SOHO|27 GRAND ST NEW YORK NY 10013 UNITED STATES,ModernHaus SoHo,New York City,"27 Grand Street, New York, NY, 10013, United States",1559522031691665594,HRE-NYC-LICENSE,2129162-DCWP,"Highgate Hotels, L.P.",27 GRAND ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
CODA WILLIAMSBURG|160 N 12TH ST BROOKLYN NY 11249 UNITED STATES,CODA Williamsburg,New York City,"160 North 12th Street, Brooklyn, NY, 11249, United States",1097987350186137367,HRE-NYC-LICENSE,2129687-DCWP,147-149 McCarren LLC,160 N 12TH ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
NU HOTEL|85 SMITH ST BROOKLYN NY 11201 UNITED STATES,NU Hotel,New York City,"85 Smith Street, Brooklyn, NY, 11201, United States",1551005071189661328,HRE-NYC-LICENSE,2129019-DCWP,HERSHA HOSPITALITY MANAGEMENT L.P.,85 SMITH ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
THE PENNY WILLIAMSBURG|288 N 8TH ST BROOKLYN NY 11211 UNITED STATES,The Penny Williamsburg,New York City,"288 North 8th Street, Brooklyn, NY, 11211, United States",1029713156755566284,HRE-NYC-LICENSE,2128394-DCWP,"Real Hospitality Group, LLC",288 N 8TH ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
SELA V HOTEL|29 RYERSON ST BROOKLYN NY 11205 UNITED STATES,Sela V Hotel,New York City,"29 Ryerson Street, Brooklyn, NY, 11205, United States",1750192320462023351,HRE-NYC-LICENSE,2134227-DCWP,Sela Ryerson Management LLC,29 RYERSON ST,,exact street/postcode premises candidate; legal entity may differ from hotel,True,1,False,premises or alias candidate only
POINTE PLAZA HOTEL|2 FRANKLIN AVE BROOKLYN NY 11249 UNITED STATES,Pointe Plaza Hotel,New York City,"2 Franklin Avenue, Brooklyn, NY, 11249, United States",1613165615922585727,HRE-NYC-LICENSE,2129661-DCWP,Pointe Plaza Hotel,2 FRANKLIN AVE,,exact street/postcode premises candidate; legal entity may differ from hotel,True,1,False,premises or alias candidate only
BALTIC HOTEL|489 BALTIC ST BROOKLYN NY 11217 UNITED STATES,Baltic Hotel,New York City,"489 Baltic Street, Brooklyn, NY, 11217, United States",1465046211091617103,HRE-NYC-LICENSE,2128664-DCWP,"JH BALTIC REALTY, LLC",489 BALTIC ST,,exact street/postcode premises candidate; legal entity may differ from hotel,True,1,False,premises or alias candidate only
ARLO WILLIAMSBURG|96 WYTHE AVE BROOKLYN NY 11249 UNITED STATES,Arlo Williamsburg,New York City,"96 Wythe Avenue, Brooklyn, NY, 11249, United States",1044596274887028908,HRE-NYC-LICENSE,2129075-DCWP,QUADRUM BK LLC & QUADRUM HOSPITALITY GROUP LLC,96 WYTHE AVE,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
POD BROOKLYN HOTEL|247 METROPOLITAN AVE BROOKLYN NY 11211 UNITED STATES,Pod Brooklyn Hotel,New York City,"247 Metropolitan Avenue, Brooklyn, NY, 11211, United States",1227420009397765852,HRE-NYC-LICENSE,2128857-DCWP,"Pod BK Hotel, LLC",247 METROPOLITAN AVE,,exact street/postcode premises candidate; legal entity may differ from hotel,True,1,False,premises or alias candidate only
WESTHOUSE HOTEL NEW YORK AN SLH HOTEL|201 W 55TH ST NEW YORK NY 10019 UNITED STATES,"WestHouse Hotel New York, an SLH Hotel",New York City,"201 West 55th Street, New York, NY, 10019, United States",1567445948159672900,HRE-NYC-LICENSE,2129159-DCWP,"Highgate Hotels, L.P.",201 W 55TH ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
AMERITANIA HOTEL|230 W 54TH ST NEW YORK NY 10019 UNITED STATES,Ameritania Hotel,New York City,"230 West 54th Street, New York, NY, 10019, United States",1394234603510215650,HRE-NYC-LICENSE,2130929-DCWP,Brittania 54th Hotel Corp.,230 W 54TH ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
ARTHOUSE HOTEL NEW YORK CITY|2178 BROADWAY NEW YORK NY 10024 UNITED STATES,ArtHouse Hotel New York City,New York City,"2178 Broadway, New York, NY, 10024, United States",1547316215468994704,HRE-NYC-LICENSE,2129115-DCWP,"Highgate Hotels, L.P.",2178 BROADWAY,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
THE LUCERNE HOTEL|201 W 79TH ST NEW YORK NY 10024 UNITED STATES,The Lucerne Hotel,New York City,"201 West 79th Street, New York, NY, 10024, United States",1040631383494755213,HRE-NYC-LICENSE,2129234-DCWP,201 WEST 79TH STREET REALTY CORP.,201 W 79TH ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
HOTEL 57|130 E 57TH ST NEW YORK NY 10022 UNITED STATES,Hotel 57,New York City,"130 East 57th Street, New York, NY, 10022, United States",1406456984207634500,HRE-NYC-LICENSE,2129259-DCWP,"Highgate Hotels, L.P.",130 E 57TH ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
THE WALLACE|242 W 76TH ST NEW YORK NY 10023 UNITED STATES,The Wallace,New York City,"242 West 76th Street, New York, NY, 10023, United States",1043748005274694200,HRE-NYC-LICENSE,2129236-DCWP,242 West 76 Hotel Corp,242 W 76TH ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
RIU PLAZA MANHATTAN TIMES SQUARE|145 W 47TH ST NEW YORK NY 10036 UNITED STATES,RIU Plaza Manhattan Times Square,New York City,"145 West 47th Street, New York, NY, 10036, United States",1573397348574605756,HRE-NYC-LICENSE,2128262-DCWP,CLARITY 47 LLC,145 W 47TH ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
THE MANHATTAN CLUB SUITES|200 W 56TH ST NEW YORK NY 10019 UNITED STATES,The Manhattan Club Suites,New York City,"200 West 56th Street, New York, NY, 10019, United States",1615528783895548795,HRE-NYC-LICENSE,2128899-DCWP,The Manhattan Club Timeshare Association Inc.,200 W 56TH ST,,exact street/postcode premises candidate; legal entity may differ from hotel,True,1,False,premises or alias candidate only
THE GARDENS SONESTA ES SUITES NEW YORK|215 E 64TH ST NEW YORK NY 10065 UNITED STATES,The Gardens Sonesta ES Suites New York,New York City,"215 East 64th Street, New York, NY, 10065, United States",1638423829175613569,HRE-NYC-LICENSE,2128594-DCWP,Sonesta Gardens Hotel LLC,215 E 64TH ST,,exact street/postcode premises candidate; legal entity may differ from hotel,True,1,False,premises or alias candidate only
THE LOMBARDY|111 E 56TH ST NEW YORK NY 10022 UNITED STATES,The Lombardy,New York City,"111 East 56th Street, New York, NY, 10022, United States",1536832094626154430,HRE-NYC-LICENSE,2136409-DCWP,"Highgate Hotels, L.P.",111 E 56TH ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
ELYSEE MONTMARTRE HOTEL|78 BLVD MARGUERITE DE ROCHECHOUART 75018 PARIS FRANCE,Elysee Montmartre Hotel,Paris,"78 Boulevard Marguerite de Rochechouart, 75018, Paris, France",1345462582454469114,HRE-FR-CLASSIFIED,6895,ELYSÉE MONTMARTRE HOTEL,78 Boulevard Marguerite de Rochechouart,16,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
KORNER MONTMARTRE|5 RUE ARISTIDE BRUANT 75018 PARIS FRANCE,Korner Montmartre,Paris,"5 Rue Aristide Bruant, 75018, Paris, France",1497789691400993900,HRE-FR-CLASSIFIED,12400,HÔTEL KORNER MONTMARTRE,5 rue Aristide Bruant,30,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL BORONALI MONTMARTRE|65 RUE DE CLIGNANCOURT 75018 PARIS FRANCE,Hotel Boronali Montmartre,Paris,"65 Rue de Clignancourt, 75018, Paris, France",1612833080753012673,HRE-FR-CLASSIFIED,8921,HÔTEL BORONALI,65 rue de Clignancourt,36,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL ASTORIA ASTOTEL|42 RUE DE MOSCOU 75008 PARIS FRANCE,Hotel Astoria - Astotel,Paris,"42 Rue de Moscou, 75008, Paris, France",1265039206175532513,HRE-FR-CLASSIFIED,8143,HÔTEL ASTORIA OPÉRA,42 rue de Moscou,86,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL SAINT PIERRE MONTMARTRE|10 RUE DE CLIGNANCOURT 75018 PARIS FRANCE,Hôtel Saint Pierre Montmartre,Paris,"10 Rue de Clignancourt, 75018, Paris, France",1394771883086342643,HRE-FR-CLASSIFIED,750,BEST WESTERN HÔTEL LE MONTMARTRE SAINT-PIERRE,10 rue de Clignancourt,48,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL MONT DORE|19 RUE DU MONT DORE 75017 PARIS FRANCE,Hotel Mont Dore,Paris,"19 Rue du Mont-Dore, 75017, Paris, France",1268083650362165644,HRE-FR-CLASSIFIED,10674,HÔTEL DU MONT DORE,19 rue du Mont Dore,25,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL MONTEROSA ASTOTEL|30 RUE LA BRUYERE 75009 PARIS FRANCE,Hotel Monterosa - Astotel,Paris,"30 Rue la Bruyère, 75009, Paris, France",1265037710933744777,HRE-FR-CLASSIFIED,16130,HÔTEL MONTEROSA,30 rue la Bruyère,36,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL JOYCE ASTOTEL|29 RUE LA BRUYERE 75009 PARIS FRANCE,Hotel Joyce - Astotel,Paris,"29 Rue la Bruyère, 75009, Paris, France",1265040253486243380,HRE-FR-CLASSIFIED,12355,HÔTEL JOYCE,29 rue la Bruyère,44,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL GERANDO|11 RUE GERANDO 75009 PARIS FRANCE,Hotel Gérando,Paris,"11 Rue Gérando, 75009, Paris, France",1077431846584963255,HRE-FR-CLASSIFIED,11209,HÔTEL GÉRANDO,11 rue Gérando,42,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL PULITZER PARIS|23 RUE DU FAUBOURG MONTMARTRE 75009 PARIS FRANCE,Hotel Pulitzer Paris,Paris,"23 Rue du Faubourg Montmartre, 75009, Paris, France",1618163007571258384,HRE-FR-CLASSIFIED,16799,HÔTEL PULITZER PARIS,23 rue du faubourg Montmartre,44,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL EIFFEL SEGUR|34 BLVD GARIBALDI 75015 PARIS FRANCE,Hotel Eiffel Segur,Paris,"34 Boulevard Garibaldi, 75015, Paris, France",1633429714148861741,HRE-FR-CLASSIFIED,10868,HÔTEL EIFFEL SEGUR,34 boulevard Garibaldi,33,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
NOUVEL HOTEL EIFFEL PARIS|5 RUE DES VOLONTAIRES 75015 PARIS FRANCE,Nouvel Hotel Eiffel Paris,Paris,"5 Rue des Volontaires, 75015, Paris, France",1268080039710688094,HRE-FR-CLASSIFIED,18827,NOUVEL HÔTEL EIFFEL,5 rue des Volontaires,36,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL EIFFEL BLOMET|78 RUE BLOMET 75015 PARIS FRANCE,Hôtel Eiffel Blomet,Paris,"78 Rue Blomet, 75015, Paris, France",1329768710019819428,HRE-FR-CLASSIFIED,10862,HÔTEL EIFFEL BLOMET,78 rue Blomet,87,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
ALMARINE EIFFEL HOTEL SPA BY MALONE|32 RUE DE L EXPOSITION 75007 PARIS FRANCE,Almarine Eiffel Hotel & SPA by Malone,Paris,"32 Rue de l'Exposition, 75007, Paris, France",1537571171655055747,HRE-FR-CLASSIFIED,7967,HÔTEL ALMARINE EIFFEL,32 rue de l'exposition,30,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL BEAUGENCY|21 RUE DUVIVIER 75007 PARIS FRANCE,Hotel Beaugency,Paris,"21 Rue Duvivier, 75007, Paris, France",1608075935475728190,HRE-FR-CLASSIFIED,8753,HÔTEL BEAUGENCY,21 rue Duvivier,30,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL VERNET|25 RUE VERNET 75008 PARIS FRANCE,Hotel Vernet,Paris,"25 Rue Vernet, 75008, Paris, France",1643415134051038715,HRE-FR-CLASSIFIED,18054,HÔTEL VERNET,25 rue Vernet,50,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL DE SEVIGNE|6 RUE DE BELLOY 75116 PARIS FRANCE,Hotel de Sevigne,Paris,"6 Rue de Belloy, 75116, Paris, France",1269502709568091611,HRE-FR-CLASSIFIED,10151,HÔTEL DE SÉVIGNÉ,6 rue de Belloy,33,exact street/postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL 81 DICKSON|3 DICKSON RD 209530 SINGAPORE,Hotel 81 Dickson,Singapore,"3 Dickson Road, 209530, Singapore",1394718015488280715,HRE-SG-HLB,19744,Hotel 81 - Dickson,209530,196,exact postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL 81 ROCHOR|5 JALAN BESAR 208785 SINGAPORE,Hotel 81 Rochor,Singapore,"5 Jalan Besar, 208785, Singapore",1394685741364212254,HRE-SG-HLB,19765,Hotel 81 - Rochor,208785,87,exact postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
HOTEL 81 ELEGANCE|30 FOCH RD 209276 SINGAPORE,Hotel 81 Elegance,Singapore,"30 Foch Road, 209276, Singapore",1394978222407595971,HRE-SG-HLB,19564,Hotel 81 - Elegance,209276,120,exact postcode with name-token corroboration,True,1,True,accepted registry cross-reference; not Airbnb allocated rooms
