source_row,name,address,postal_code,city,classification,classification_date,rooms,website,address_cluster,name_address_key,paris_city_postcode,source_id,independent_status,airbnb_membership,source_row_count,all_source_rows,dedup_rule
2,1924 HÔTEL,2 Rue Gabriel Péri,38000,GRENOBLE,3 étoiles,19/06/2023,37,https://www.1924hotel.com/,2 RUE GABRIEL PERI|38000,1924 HOTEL|2 RUE GABRIEL PERI|38000,False,HRE-FR-CLASSIFIED,unverified,unverified,1,2,latest classification date within exact normalized name/address key
14,ABBYS HÔTEL,Lieu-dit Vialard,24200,CARSAC-AILLAC,2 étoiles,02/05/2023,32,http://abbys-hotel.com/,LIEU DIT VIALARD|24200,ABBYS HOTEL|LIEU DIT VIALARD|24200,False,HRE-FR-CLASSIFIED,unverified,unverified,1,14,latest classification date within exact normalized name/address key
15,ABELHA HÔTEL,60 avenue jean jaurès,19100,BRIVE-LA-GAILLARDE,2 étoiles,27/03/2023,23,http://www.abelha.fr,60 AVE JEAN JAURES|19100,ABELHA HOTEL|60 AVE JEAN JAURES|19100,False,HRE-FR-CLASSIFIED,unverified,unverified,1,15,latest classification date within exact normalized name/address key
16,ABOR HOTEL,112 chemin de lubet,40280,SAINT-PIERRE-DU-MONT,3 étoiles,31/03/2023,68,www.aborhotel.com,112 CHEMIN DE LUBET|40280,ABOR HOTEL|112 CHEMIN DE LUBET|40280,False,HRE-FR-CLASSIFIED,unverified,unverified,1,16,latest classification date within exact normalized name/address key
17,AC HOTEL BY MARRIOTT STRASBOURG,4-6 boulevard de Dresde,67000,STRASBOURG,4 étoiles,29/06/2023,170,https://ac-strasbourg.naoshotel.com/,4 6 BLVD DE DRESDE|67000,AC HOTEL BY MARRIOTT STRASBOURG|4 6 BLVD DE DRESDE|67000,False,HRE-FR-CLASSIFIED,unverified,unverified,1,17,latest classification date within exact normalized name/address key
18,AC HÔTEL BY MARRIOTT SAINT-JULIEN-EN-GENEVOIS,"9000 route d'Annecy, Zone de Cervonnex",74160,SAINT-JULIEN-EN-GENEVOIS,4 étoiles,23/01/2023,93,https://www.marriott.fr/hotels/travel/gvasj-ac-hotel-saint-julien-en-genevois/,9000 ROUTE D ANNECY ZONE DE CERVONNEX|74160,AC HOTEL BY MARRIOTT SAINT JULIEN EN GENEVOIS|9000 ROUTE D ANNECY ZONE DE CERVONNEX|74160,False,HRE-FR-CLASSIFIED,unverified,unverified,1,18,latest classification date within exact normalized name/address key
19,AC HÔTEL PARIS LE BOURGET AIRPORT,2 rue de la Haye,93440,DUGNY,4 étoiles,08/02/2022,122,https://www.marriott.fr/hotels/travel/paral-ac-hotel-paris-le-bourget-airport/,2 RUE DE LA HAYE|93440,AC HOTEL PARIS LE BOURGET AIRPORT|2 RUE DE LA HAYE|93440,False,HRE-FR-CLASSIFIED,unverified,unverified,1,19,latest classification date within exact normalized name/address key
20,AC HÔTEL PARIS PORTE MAILLOT,6 rue Gustave Charpentier,75017,PARIS,4 étoiles,23/12/2024,164,https://www.marriott.fr/hotels/travel/parar-ac-hotel-paris-porte-maillot/,6 RUE GUSTAVE CHARPENTIER|75017,AC HOTEL PARIS PORTE MAILLOT|6 RUE GUSTAVE CHARPENTIER|75017,True,HRE-FR-CLASSIFIED,unverified,unverified,1,20,latest classification date within exact normalized name/address key
21,ACACIA HOTEL,30 bis avenue parmentier,75011,PARIS,1 étoile,12/09/2024,24,http://www.acacia-hotel-paris.com,30 BIS AVE PARMENTIER|75011,ACACIA HOTEL|30 BIS AVE PARMENTIER|75011,True,HRE-FR-CLASSIFIED,unverified,unverified,1,21,latest classification date within exact normalized name/address key
22,ACADÉMIE HÔTEL,6 rue Lainerie,69005,LYON 5E ARRONDISSEMENT,4 étoiles,24/04/2024,12,www.academie-hotel.com,6 RUE LAINERIE|69005,ACADEMIE HOTEL|6 RUE LAINERIE|69005,False,HRE-FR-CLASSIFIED,unverified,unverified,1,22,latest classification date within exact normalized name/address key
23,ACCOSTAGE HÔTEL,6 avenue Coligny,17000,LA ROCHELLE,2 étoiles,28/03/2022,15,https://www.accostage-hotel.fr/,6 AVE COLIGNY|17000,ACCOSTAGE HOTEL|6 AVE COLIGNY|17000,False,HRE-FR-CLASSIFIED,unverified,unverified,1,23,latest classification date within exact normalized name/address key
24,ACE HOTEL,ZA DU MAZAUD - Rue Pierre Fau,19100,BRIVE-LA-GAILLARDE,3 étoiles,12/12/2025,64,ace-hotel-brive.com,ZA DU MAZAUD RUE PIERRE FAU|19100,ACE HOTEL|ZA DU MAZAUD RUE PIERRE FAU|19100,False,HRE-FR-CLASSIFIED,unverified,unverified,1,24,latest classification date within exact normalized name/address key
25,ACE HOTEL CHATEAUROUX,Avenue Gustave Eiffel,36130,DÉOLS,3 étoiles,03/12/2024,60,https://www.ace-hotel.com/fr/hotels/chateauroux/,AVE GUSTAVE EIFFEL|36130,ACE HOTEL CHATEAUROUX|AVE GUSTAVE EIFFEL|36130,False,HRE-FR-CLASSIFIED,unverified,unverified,1,25,latest classification date within exact normalized name/address key
26,ACE HOTEL METZ,90 BIS BOULEVARD SOLIDARITE,57000,METZ,3 étoiles,24/10/2023,62,https://www.ace-hotel-metz.com/fr/,90 BIS BLVD SOLIDARITE|57000,ACE HOTEL METZ|90 BIS BLVD SOLIDARITE|57000,False,HRE-FR-CLASSIFIED,unverified,unverified,1,26,latest classification date within exact normalized name/address key
27,ACE HOTEL PARIS SUD VILLABE,1 ROUTE DE VILLOISON,91100,VILLABÉ,3 étoiles,20/10/2025,76,https://www.ace-hotel.com/fr/hotels/villabe/,1 ROUTE DE VILLOISON|91100,ACE HOTEL PARIS SUD VILLABE|1 ROUTE DE VILLOISON|91100,False,HRE-FR-CLASSIFIED,unverified,unverified,1,27,latest classification date within exact normalized name/address key
28,ACE HÔTEL ANGERS,Rue de Paon,49124,SAINT-BARTHÉLEMY-D'ANJOU,3 étoiles,24/03/2022,60,https://www.ace-hotel-angers.com/fr/,RUE DE PAON|49124,ACE HOTEL ANGERS|RUE DE PAON|49124,False,HRE-FR-CLASSIFIED,unverified,unverified,1,28,latest classification date within exact normalized name/address key
29,ACE HÔTEL ANNECY,8 BOULEVARD DU SEMNOZ,74600,SEYNOD,3 étoiles,30/10/2023,73,www.ace-hotel-annecy.com,8 BLVD DU SEMNOZ|74600,ACE HOTEL ANNECY|8 BLVD DU SEMNOZ|74600,False,HRE-FR-CLASSIFIED,unverified,unverified,1,29,latest classification date within exact normalized name/address key
30,ACE HÔTEL ANNEMASSE GENÈVE,RUE DES BICHES,74100,VILLE-LA-GRAND,3 étoiles,31/10/2023,64,https://www.ace-hotel.com/fr/ace-hotel-annemasse-geneve,RUE DES BICHES|74100,ACE HOTEL ANNEMASSE GENEVE|RUE DES BICHES|74100,False,HRE-FR-CLASSIFIED,unverified,unverified,1,30,latest classification date within exact normalized name/address key
31,ACE HÔTEL ATHÉE SUR CHER,AUTOROUTE A85,37270,ATHÉE-SUR-CHER,2 étoiles,09/01/2024,29,https://www.ace-hotel-athee-sur-cher.com/fr/?utm_source=google&utm_medium=organic&utm_campaig,AUTOROUTE A85|37270,ACE HOTEL ATHEE SUR CHER|AUTOROUTE A85|37270,False,HRE-FR-CLASSIFIED,unverified,unverified,1,31,latest classification date within exact normalized name/address key
32,ACE HÔTEL BEAURAINS,11 avenue des coquelicots,62217,BEAURAINS,3 étoiles,20/02/2025,60,https://www.ace-hotel-arras.com,11 AVE DES COQUELICOTS|62217,ACE HOTEL BEAURAINS|11 AVE DES COQUELICOTS|62217,False,HRE-FR-CLASSIFIED,unverified,unverified,1,32,latest classification date within exact normalized name/address key
33,ACE HÔTEL BORDEAUX CESTAS,A 63  aire de Bordeaux Cestas,33610,CESTAS,3 étoiles,24/07/2023,70,https://www.ace-hotel.com/fr/ace-hotel-bordeaux-cestas,A 63 AIRE DE BORDEAUX CESTAS|33610,ACE HOTEL BORDEAUX CESTAS|A 63 AIRE DE BORDEAUX CESTAS|33610,False,HRE-FR-CLASSIFIED,unverified,unverified,1,33,latest classification date within exact normalized name/address key
34,ACE HÔTEL BOURGES,ZAC de l'échangeur,18000,BOURGES,3 étoiles,14/03/2024,65,https://www.ace-hotel-bourges.com/,ZAC DE L ECHANGEUR|18000,ACE HOTEL BOURGES|ZAC DE L ECHANGEUR|18000,False,HRE-FR-CLASSIFIED,unverified,unverified,1,34,latest classification date within exact normalized name/address key
35,ACE HÔTEL CAEN MÉMORIAL,7 rue René Cassin,14280,SAINT-CONTEST,3 étoiles,24/01/2022,61,https://www.ace-hotel-caen.com/fr/,7 RUE RENE CASSIN|14280,ACE HOTEL CAEN MEMORIAL|7 RUE RENE CASSIN|14280,False,HRE-FR-CLASSIFIED,unverified,unverified,1,35,latest classification date within exact normalized name/address key
36,ACE HÔTEL CARBON BLANC,5 avenue de la Gardette,33560,CARBON-BLANC,3 étoiles,01/12/2022,63,https://www.ace-hotel-bordeaux-carbon-blanc.com/fr/,5 AVE DE LA GARDETTE|33560,ACE HOTEL CARBON BLANC|5 AVE DE LA GARDETTE|33560,False,HRE-FR-CLASSIFIED,unverified,unverified,1,36,latest classification date within exact normalized name/address key
37,ACE HÔTEL CHARTRES,Rue de la Maladrerie,28630,LE COUDRAY,3 étoiles,02/02/2023,64,https://www.ace-hotel-chartres.com/fr/,RUE DE LA MALADRERIE|28630,ACE HOTEL CHARTRES|RUE DE LA MALADRERIE|28630,False,HRE-FR-CLASSIFIED,unverified,unverified,1,37,latest classification date within exact normalized name/address key
38,ACE HÔTEL CLERMONT LA PARDIEU,Rue de l'Eminée,63100,CLERMONT-FERRAND,3 étoiles,14/05/2024,55,www.ace-hotel-clermont-pardieu.com,RUE DE L EMINEE|63100,ACE HOTEL CLERMONT LA PARDIEU|RUE DE L EMINEE|63100,False,HRE-FR-CLASSIFIED,unverified,unverified,1,38,latest classification date within exact normalized name/address key
39,ACE HÔTEL CREUTZWALD SAINT-AVOLD,80 A rue de Longeville,57150,CREUTZWALD,3 étoiles,24/10/2023,61,http://www.ace-hotel-creutzwald-saintavold.fr/,80 A RUE DE LONGEVILLE|57150,ACE HOTEL CREUTZWALD SAINT AVOLD|80 A RUE DE LONGEVILLE|57150,False,HRE-FR-CLASSIFIED,unverified,unverified,1,39,latest classification date within exact normalized name/address key
40,ACE HÔTEL ISSOIRE,RUE DU DOCTEUR BIENFAIT,63500,ISSOIRE,3 étoiles,24/04/2024,54,https://www.ace-hotel-issoire.com/fr/?,RUE DU DOCTEUR BIENFAIT|63500,ACE HOTEL ISSOIRE|RUE DU DOCTEUR BIENFAIT|63500,False,HRE-FR-CLASSIFIED,unverified,unverified,1,40,latest classification date within exact normalized name/address key
41,ACE HÔTEL LE MANS NORD,2 rue Louis Chappée,72650,SAINT-SATURNIN,3 étoiles,31/05/2023,63,https://www.ace-hotel-lemans.com//,2 RUE LOUIS CHAPPEE|72650,ACE HOTEL LE MANS NORD|2 RUE LOUIS CHAPPEE|72650,False,HRE-FR-CLASSIFIED,unverified,unverified,1,41,latest classification date within exact normalized name/address key
42,ACE HÔTEL LYON VÉNISSIEUX PARC DES EXPOSITIONS,385 route de Vienne,69200,VÉNISSIEUX,3 étoiles,01/02/2024,96,https://www.ace-hotel.com/fr/hotels/lyon-venissieux/,385 ROUTE DE VIENNE|69200,ACE HOTEL LYON VENISSIEUX PARC DES EXPOSITIONS|385 ROUTE DE VIENNE|69200,False,HRE-FR-CLASSIFIED,unverified,unverified,1,42,latest classification date within exact normalized name/address key
43,ACE HÔTEL MONTLUCON,RUE ANDRE CITROEN ZONE DE LA LOUE,03410,SAINT-VICTOR,3 étoiles,24/04/2024,54,https://www.ace-hotel-montlucon.com,RUE ANDRE CITROEN ZONE DE LA LOUE|03410,ACE HOTEL MONTLUCON|RUE ANDRE CITROEN ZONE DE LA LOUE|03410,False,HRE-FR-CLASSIFIED,unverified,unverified,1,43,latest classification date within exact normalized name/address key
44,ACE HÔTEL NOYELLES GODAULT LILLE,rue de Beaumont,62950,NOYELLES-GODAULT,3 étoiles,20/02/2025,55,https://www.ace-hotel-noyelles.com,RUE DE BEAUMONT|62950,ACE HOTEL NOYELLES GODAULT LILLE|RUE DE BEAUMONT|62950,False,HRE-FR-CLASSIFIED,unverified,unverified,1,44,latest classification date within exact normalized name/address key
45,ACE HÔTEL PARIS MARNE LA VALLÉE,3 Boulevard des Artisans,77700,BAILLY-ROMAINVILLIERS,3 étoiles,29/11/2022,76,https://www.ace-hotel-bailly-romainvilliers.com/fr/,3 BLVD DES ARTISANS|77700,ACE HOTEL PARIS MARNE LA VALLEE|3 BLVD DES ARTISANS|77700,False,HRE-FR-CLASSIFIED,unverified,unverified,1,45,latest classification date within exact normalized name/address key
46,ACE HÔTEL PARIS ROISSY,6 rue Galilée,77290,MITRY-MORY,3 étoiles,02/05/2022,80,https://www.ace-hotel-mitry.com/fr/,6 RUE GALILEE|77290,ACE HOTEL PARIS ROISSY|6 RUE GALILEE|77290,False,HRE-FR-CLASSIFIED,unverified,unverified,1,46,latest classification date within exact normalized name/address key
47,ACE HÔTEL POITIERS,rue de la maison Coupée,86000,POITIERS,3 étoiles,23/06/2023,60,https://www.ace-hotel.com/fr/ace-hotel-poitiers,RUE DE LA MAISON COUPEE|86000,ACE HOTEL POITIERS|RUE DE LA MAISON COUPEE|86000,False,HRE-FR-CLASSIFIED,unverified,unverified,1,47,latest classification date within exact normalized name/address key
48,ACE HÔTEL RIOM,Rue Louis Amstrong,63200,RIOM,3 étoiles,28/01/2022,56,https://www.ace-hotel-riom.com/fr/,RUE LOUIS AMSTRONG|63200,ACE HOTEL RIOM|RUE LOUIS AMSTRONG|63200,False,HRE-FR-CLASSIFIED,unverified,unverified,1,48,latest classification date within exact normalized name/address key
49,ACE HÔTEL ROANNE,1 rue Edouard Branly,42300,MABLY,3 étoiles,12/07/2024,64,https://www.ace-hotel-roanne.com/fr/,1 RUE EDOUARD BRANLY|42300,ACE HOTEL ROANNE|1 RUE EDOUARD BRANLY|42300,False,HRE-FR-CLASSIFIED,unverified,unverified,1,49,latest classification date within exact normalized name/address key
50,ACE HÔTEL ROUEN PARC DES EXPOS,75 avenue de la Mare Sansoure,76650,PETIT-COURONNE,3 étoiles,17/03/2022,70,https://www.ace-hotel-rouen.com,75 AVE DE LA MARE SANSOURE|76650,ACE HOTEL ROUEN PARC DES EXPOS|75 AVE DE LA MARE SANSOURE|76650,False,HRE-FR-CLASSIFIED,unverified,unverified,1,50,latest classification date within exact normalized name/address key
51,ACE HÔTEL SALON DE PROVENCE,161 CHEMIN DES ENTRAGES,13300,SALON-DE-PROVENCE,3 étoiles,24/06/2024,55,https://www.ace-hotel-salon-de-provence.com/fr/,161 CHEMIN DES ENTRAGES|13300,ACE HOTEL SALON DE PROVENCE|161 CHEMIN DES ENTRAGES|13300,False,HRE-FR-CLASSIFIED,unverified,unverified,1,51,latest classification date within exact normalized name/address key
52,ACE HÔTEL THIONVILLE PORTE DU LUXEMBOURG,98 route de Buchel,57100,THIONVILLE,3 étoiles,15/12/2022,61,https://www.ace-hotel-thionville.com,98 ROUTE DE BUCHEL|57100,ACE HOTEL THIONVILLE PORTE DU LUXEMBOURG|98 ROUTE DE BUCHEL|57100,False,HRE-FR-CLASSIFIED,unverified,unverified,1,52,latest classification date within exact normalized name/address key
53,ACE HÔTEL TOULOUSE BLAGNAC,35 bis route de Toulouse,31700,CORNEBARRIEU,3 étoiles,17/01/2025,65,https://www.ace-hotel-toulouse.com,35 BIS ROUTE DE TOULOUSE|31700,ACE HOTEL TOULOUSE BLAGNAC|35 BIS ROUTE DE TOULOUSE|31700,False,HRE-FR-CLASSIFIED,unverified,unverified,1,53,latest classification date within exact normalized name/address key
54,ACE HÔTEL TROYES,89 route d’Auxerre,10120,SAINT-ANDRÉ-LES-VERGERS,3 étoiles,02/05/2022,57,https://www.ace-hotel-troyes.com/fr/,89 ROUTE DAUXERRE|10120,ACE HOTEL TROYES|89 ROUTE DAUXERRE|10120,False,HRE-FR-CLASSIFIED,unverified,unverified,1,54,latest classification date within exact normalized name/address key
55,ACE HÔTEL VALENCE,47 avenue des Auréats,26000,VALENCE,3 étoiles,05/12/2022,58,https://www.ace-hotel-valence.com/fr/,47 AVE DES AUREATS|26000,ACE HOTEL VALENCE|47 AVE DES AUREATS|26000,False,HRE-FR-CLASSIFIED,unverified,unverified,1,55,latest classification date within exact normalized name/address key
56,ACE HÔTEL VENDÉE SAINTE HERMINE,Parc Vendée Atlantique,85210,SAINTE-HERMINE,3 étoiles,22/10/2025,49,https://www.ace-hotel-vendee.com/,PARC VENDEE ATLANTIQUE|85210,ACE HOTEL VENDEE SAINTE HERMINE|PARC VENDEE ATLANTIQUE|85210,False,HRE-FR-CLASSIFIED,unverified,unverified,1,56,latest classification date within exact normalized name/address key
57,ACROPOLE HÔTEL,10 rue de la Grande Malouve,27300,BERNAY,3 étoiles,08/06/2022,50,https://www.hotel-acropole.com/,10 RUE DE LA GRANDE MALOUVE|27300,ACROPOLE HOTEL|10 RUE DE LA GRANDE MALOUVE|27300,False,HRE-FR-CLASSIFIED,unverified,unverified,1,57,latest classification date within exact normalized name/address key
64,ADMIRAL'S HÔTEL,Boulevard du Souvenir Français,85100,LES SABLES-D'OLONNE,3 étoiles,26/04/2022,33,https://www.admiralhotel.fr/,BLVD DU SOUVENIR FRANCAIS|85100,ADMIRAL S HOTEL|BLVD DU SOUVENIR FRANCAIS|85100,False,HRE-FR-CLASSIFIED,unverified,unverified,1,64,latest classification date within exact normalized name/address key
65,ADONIS ARC HÔTEL AIX,40 Avenue Henri Malacrida,13100,AIX-EN-PROVENCE,3 étoiles,10/04/2024,40,www.adonis-archotel-aix.com,40 AVE HENRI MALACRIDA|13100,ADONIS ARC HOTEL AIX|40 AVE HENRI MALACRIDA|13100,False,HRE-FR-CLASSIFIED,unverified,unverified,1,65,latest classification date within exact normalized name/address key
90,AIX HÔTEL,115 rue charles duchesne,13290,AIX-EN-PROVENCE,2 étoiles,16/11/2023,37,http://www.aixhotel.fr/,115 RUE CHARLES DUCHESNE|13290,AIX HOTEL|115 RUE CHARLES DUCHESNE|13290,False,HRE-FR-CLASSIFIED,unverified,unverified,1,90,latest classification date within exact normalized name/address key
91,AKENA HÔTEL,6-8 rue du puits de la ville,79180,CHAURAY,3 étoiles,27/05/2024,63,https://www.hotels-akena.com/hotel/hotel-akena-chauray-niort,6 8 RUE DU PUITS DE LA VILLE|79180,AKENA HOTEL|6 8 RUE DU PUITS DE LA VILLE|79180,False,HRE-FR-CLASSIFIED,unverified,unverified,1,91,latest classification date within exact normalized name/address key
92,ALB'HÔTEL,369 Route des Asnières,74540,ALBY-SUR-CHÉRAN,2 étoiles,24/10/2022,38,https://www.albhotel.fr/,369 ROUTE DES ASNIERES|74540,ALB HOTEL|369 ROUTE DES ASNIERES|74540,False,HRE-FR-CLASSIFIED,unverified,unverified,1,92,latest classification date within exact normalized name/address key
93,ALBA OPÉRA HÔTEL,34 ter rue de la Tour d'Auvergne,75009,PARIS,3 étoiles,29/04/2024,24,https://www.albaoperahotel.com/,34 TER RUE DE LA TOUR D AUVERGNE|75009,ALBA OPERA HOTEL|34 TER RUE DE LA TOUR D AUVERGNE|75009,True,HRE-FR-CLASSIFIED,unverified,unverified,1,93,latest classification date within exact normalized name/address key
94,ALBERTE HÔTEL,66 avenue Bosquet,75007,PARIS 7E ARRONDISSEMENT,4 étoiles,21/09/2023,23,www.albertehotel.com,66 AVE BOSQUET|75007,ALBERTE HOTEL|66 AVE BOSQUET|75007,True,HRE-FR-CLASSIFIED,unverified,unverified,1,94,latest classification date within exact normalized name/address key
95,ALBERT’S HÔTEL PARIS,22 rue du Grand Prieuré,75011,PARIS,4 étoiles,07/03/2023,22,http://www.angelyhotelparis.com,22 RUE DU GRAND PRIEURE|75011,ALBERTS HOTEL PARIS|22 RUE DU GRAND PRIEURE|75011,True,HRE-FR-CLASSIFIED,unverified,unverified,1,95,latest classification date within exact normalized name/address key
96,ALEX HOTEL,13-15 Place des Marseillaises,13001,MARSEILLE,3 étoiles,12/03/2025,33,https://www.hotelalex.fr/,13 15 PLACE DES MARSEILLAISES|13001,ALEX HOTEL|13 15 PLACE DES MARSEILLAISES|13001,False,HRE-FR-CLASSIFIED,unverified,unverified,1,96,latest classification date within exact normalized name/address key
97,ALEXANDRA PALACE,Lieu-dit Petit-Chêne,79310,MAZIÈRES-EN-GÂTINE,5 étoiles,04/01/2023,17,https://www.hotelalexandrapalace.com,LIEU DIT PETIT CHENE|79310,ALEXANDRA PALACE|LIEU DIT PETIT CHENE|79310,False,HRE-FR-CLASSIFIED,unverified,unverified,1,97,latest classification date within exact normalized name/address key
98,ALEZAN APPART'HOTEL,2 Allée antoine Osete,31100,TOULOUSE,1 étoile,28/07/2026,132,www.alezan-toulouse.com,2 ALLEE ANTOINE OSETE|31100,ALEZAN APPART HOTEL|2 ALLEE ANTOINE OSETE|31100,False,HRE-FR-CLASSIFIED,unverified,unverified,1,98,latest classification date within exact normalized name/address key
99,ALEZAN HÔTEL,2 allée Antoine Osete,31000,TOULOUSE,3 étoiles,21/03/2022,64,https://www.alezan-toulouse.com/,2 ALLEE ANTOINE OSETE|31000,ALEZAN HOTEL|2 ALLEE ANTOINE OSETE|31000,False,HRE-FR-CLASSIFIED,unverified,unverified,1,99,latest classification date within exact normalized name/address key
100,ALFRED HOTELS 06.05 MONACO,16 Avenue d'alsace,06240,BEAUSOLEIL,3 étoiles,26/06/2023,39,http://www.forumhotel.net,16 AVE D ALSACE|06240,ALFRED HOTELS 06 05 MONACO|16 AVE D ALSACE|06240,False,HRE-FR-CLASSIFIED,unverified,unverified,1,100,latest classification date within exact normalized name/address key
101,ALFRED HOTELS 21.04 BEAUNE,45 rue du Faubourg Madeleine,21200,BEAUNE,3 étoiles,22/11/2023,41,http://www.hotelpaix.com,45 RUE DU FAUBOURG MADELEINE|21200,ALFRED HOTELS 21 04 BEAUNE|45 RUE DU FAUBOURG MADELEINE|21200,False,HRE-FR-CLASSIFIED,unverified,unverified,1,101,latest classification date within exact normalized name/address key
102,ALFRED HOTELS 60.01 COMPIÈGNE,33 COURS GUYNEMER,60200,COMPIÈGNE,3 étoiles,14/10/2024,56,https://alfredhotels.com/fr/compiegne,33 COURS GUYNEMER|60200,ALFRED HOTELS 60 01 COMPIEGNE|33 COURS GUYNEMER|60200,False,HRE-FR-CLASSIFIED,unverified,unverified,1,102,latest classification date within exact normalized name/address key
103,ALFRED HOTELS 64.02 BIARRITZ PORT VIEUX,10 rue du Port Vieux,64200,BIARRITZ,3 étoiles,10/12/2024,21,https://alfredhotels.com/fr/biarritz-port-vieux,10 RUE DU PORT VIEUX|64200,ALFRED HOTELS 64 02 BIARRITZ PORT VIEUX|10 RUE DU PORT VIEUX|64200,False,HRE-FR-CLASSIFIED,unverified,unverified,1,103,latest classification date within exact normalized name/address key
104,ALFRED HOTELS 64.03 BIARRITZ LES HALLES,18 rue Gambetta,64200,BIARRITZ,3 étoiles,09/10/2023,35,hotel-anjou-biarritz.com,18 RUE GAMBETTA|64200,ALFRED HOTELS 64 03 BIARRITZ LES HALLES|18 RUE GAMBETTA|64200,False,HRE-FR-CLASSIFIED,unverified,unverified,1,104,latest classification date within exact normalized name/address key
105,ALFRED HOTELS TOULOUSE CENTRE WILSON,17 rue castellane,31000,TOULOUSE,3 étoiles,28/08/2026,53,https://alfredhotels.com/fr/toulouse,17 RUE CASTELLANE|31000,ALFRED HOTELS TOULOUSE CENTRE WILSON|17 RUE CASTELLANE|31000,False,HRE-FR-CLASSIFIED,unverified,unverified,1,105,latest classification date within exact normalized name/address key
