quarter,metric,scenario,value,lower,upper,units,information_date,evidence_status,source_reference,treatment,baseline_replaced,embedded_fx,limitations
2026Q3,adr_exfx_yoy,v3_without_K__baskets,3.69126606617,2.36330244767,5.01922968467,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,FX excluded; add exactly one ADR FX bridge,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q3,adr_reported_yoy,v3_without_K__baskets,3.95126606617,2.62330244767,5.27922968467,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,Includes ADR FX +0.26 pp (baskets); do not add full FX again,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q3,adr_usd,v3_without_K__baskets,178.058123645,175.783454763,180.332792527,USD_per_night,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,USD base ADR already translated; includes current ADR FX +0.26 pp,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q3,gbv_identity_comparison,v3_without_K__baskets__team_baseline,26.138932551,,,USD_billions,2026-09-13,descriptive_identity_on_unadopted_nights_scenario,data/processed/adrv3/P/adr_card_v3.csv,descriptive,none,Includes reported ADR FX +0.26 pp,Nights=146.8 million; same-quarter GBV identity only. Feed lagged kernel only through L4. Same-quarter take-rate revenue is deliberately omitted.
2026Q3,adr_exfx_yoy,v3_without_K__midpoint,3.69126606617,2.36330244767,5.01922968467,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,FX excluded; add exactly one ADR FX bridge,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q3,adr_reported_yoy,v3_without_K__midpoint,3.26126606617,1.93330244767,4.58922968467,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,Includes ADR FX -0.43 pp (midpoint); do not add full FX again,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q3,adr_usd,v3_without_K__midpoint,176.876222645,174.601553763,179.150891527,USD_per_night,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,USD base ADR already translated; includes current ADR FX -0.43 pp,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q3,gbv_identity_comparison,v3_without_K__midpoint__team_baseline,25.9654294842,,,USD_billions,2026-09-13,descriptive_identity_on_unadopted_nights_scenario,data/processed/adrv3/P/adr_card_v3.csv,descriptive,none,Includes reported ADR FX -0.43 pp,Nights=146.8 million; same-quarter GBV identity only. Feed lagged kernel only through L4. Same-quarter take-rate revenue is deliberately omitted.
2026Q3,adr_component_like_for_like_pricing_residual,v3_with_K,4.84932637649,2.398,4.84932637649,percentage_points,2026-09-13,"assumed_or_proxy_component: assumed rule, anchored on measured residuals; the one unobserved line",data/processed/adrv3/P/P1_card_v3_terms.csv; H residual history; v3 last_q rule = 2Q26 value; band K4 scenario table: mean reversion (2023-25 mean) to last_q,descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q3,adr_component_geographic_mix,v3_with_K,-1.42842603377,-1.57091043328,-0.935318192291,percentage_points,2026-09-13,assumed_or_proxy_component: measured (unvalidated mapping),data/processed/adrv3/P/P1_card_v3_terms.csv; workstream I I_mix_terms_3q26.csv (E_aug regional split x 07/H method),descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q3,adr_component_unit_size_party,v3_with_K,0.79667177875,0.529864896307,0.998470253641,percentage_points,2026-09-13,assumed_or_proxy_component: measured (level term),"data/processed/adrv3/P/P1_card_v3_terms.csv; workstream I I_mix_terms_3q26.csv (booked capacity, 119 markets, x 0.592)",descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q3,adr_component_length_of_stay_mix,v3_with_K,0.0562640964167,-0.0810737620689,0.288705973548,percentage_points,2026-09-13,"assumed_or_proxy_component: measured, unvalidated",data/processed/adrv3/P/P1_card_v3_terms.csv; workstream I I_mix_terms_3q26.csv (28+ share of blocked runs),descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q3,adr_component_new_business_seats,v3_with_K,-0.482570151706,-0.75030683191,-0.226242948818,percentage_points,2026-09-13,assumed_or_proxy_component: assumed,"data/processed/adrv3/P/P1_card_v3_terms.csv; H, 15_seats_dilution_quarterly (bull / base / bear), as J3",descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q3,adr_component_interaction,v3_with_K,-0.1,-0.15,-0.05,percentage_points,2026-09-13,assumed_or_proxy_component: descriptive,"data/processed/adrv3/P/P1_card_v3_terms.csv; H, 07 interaction, as J3",descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q3,adr_component_fee_migration_mechanics_K,v3_with_K,0.1715,0,0.931,percentage_points,2026-09-13,"assumed_or_proxy_component: assumed mechanics line (coefficient imposed, not estimated); K note: a nudge, not evidence","data/processed/adrv3/P/P1_card_v3_terms.csv; K primary rule: 0.007 x change in y/y migrated nights share (+24.5 pp, central path); band = K2 pre-stated coefficient range 0.000 to 0.038; met the K criterion by 0.003 to 0.007 of ratio",descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q3,adr_exfx_yoy,v3_with_K__eur_fit,3.86276606617,2.45557822439,5.26995390795,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,FX excluded; add exactly one ADR FX bridge,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q3,adr_reported_yoy,v3_with_K__eur_fit,2.74276606617,1.33557822439,4.14995390795,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,Includes ADR FX -1.12 pp (eur_fit); do not add full FX again,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q3,adr_usd,v3_with_K__eur_fit,175.988083995,173.577711941,178.398456049,USD_per_night,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,USD base ADR already translated; includes current ADR FX -1.12 pp,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q3,gbv_identity_comparison,v3_with_K__eur_fit__team_baseline,25.8350507304,,,USD_billions,2026-09-13,descriptive_identity_on_unadopted_nights_scenario,data/processed/adrv3/P/adr_card_v3.csv,descriptive,none,Includes reported ADR FX -1.12 pp,Nights=146.8 million; same-quarter GBV identity only. Feed lagged kernel only through L4. Same-quarter take-rate revenue is deliberately omitted.
2026Q3,adr_exfx_yoy,v3_with_K__baskets,3.86276606617,2.45557822439,5.26995390795,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,FX excluded; add exactly one ADR FX bridge,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q3,adr_reported_yoy,v3_with_K__baskets,4.12276606617,2.71557822439,5.52995390795,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,Includes ADR FX +0.26 pp (baskets); do not add full FX again,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q3,adr_usd,v3_with_K__baskets,178.351885995,175.941513941,180.762258049,USD_per_night,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,USD base ADR already translated; includes current ADR FX +0.26 pp,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q3,gbv_identity_comparison,v3_with_K__baskets__team_baseline,26.182056864,,,USD_billions,2026-09-13,descriptive_identity_on_unadopted_nights_scenario,data/processed/adrv3/P/adr_card_v3.csv,descriptive,none,Includes reported ADR FX +0.26 pp,Nights=146.8 million; same-quarter GBV identity only. Feed lagged kernel only through L4. Same-quarter take-rate revenue is deliberately omitted.
2026Q3,adr_exfx_yoy,v3_with_K__midpoint,3.86276606617,2.45557822439,5.26995390795,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,FX excluded; add exactly one ADR FX bridge,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q3,adr_reported_yoy,v3_with_K__midpoint,3.43276606617,2.02557822439,4.83995390795,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,Includes ADR FX -0.43 pp (midpoint); do not add full FX again,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q3,adr_usd,v3_with_K__midpoint,177.169984995,174.759612941,179.580357049,USD_per_night,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,USD base ADR already translated; includes current ADR FX -0.43 pp,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q3,gbv_identity_comparison,v3_with_K__midpoint__team_baseline,26.0085537972,,,USD_billions,2026-09-13,descriptive_identity_on_unadopted_nights_scenario,data/processed/adrv3/P/adr_card_v3.csv,descriptive,none,Includes reported ADR FX -0.43 pp,Nights=146.8 million; same-quarter GBV identity only. Feed lagged kernel only through L4. Same-quarter take-rate revenue is deliberately omitted.
2026Q4,adr_component_like_for_like_pricing_residual,v3_without_K,4.84932637649,3.056,5.224,percentage_points,2026-09-13,"assumed_or_proxy_component: assumed rule, anchored on measured residuals; the one unobserved line",data/processed/adrv3/P/P1_card_v3_terms.csv; H residual history; last_q carried (no 3Q26 residual exists); band K4 scenario table: lap only (3.06) to the K rule chained (5.22),descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q4,adr_component_geographic_mix,v3_without_K,-1.42842603377,-1.57091043328,-0.935318192291,percentage_points,2026-09-13,assumed_or_proxy_component: measured (unvalidated mapping),data/processed/adrv3/P/P1_card_v3_terms.csv; workstream I I_mix_terms_3q26.csv (E_aug regional split x 07/H method); 4Q26 carries the 3Q26 term (J3 convention),descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q4,adr_component_unit_size_party,v3_without_K,0.79667177875,0.529864896307,0.998470253641,percentage_points,2026-09-13,assumed_or_proxy_component: measured (level term),"data/processed/adrv3/P/P1_card_v3_terms.csv; workstream I I_mix_terms_3q26.csv (booked capacity, 119 markets, x 0.592); 4Q26 carries the 3Q26 term",descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q4,adr_component_length_of_stay_mix,v3_without_K,0.0562640964167,-0.0810737620689,0.288705973548,percentage_points,2026-09-13,"assumed_or_proxy_component: measured, unvalidated",data/processed/adrv3/P/P1_card_v3_terms.csv; workstream I I_mix_terms_3q26.csv (28+ share of blocked runs); 4Q26 carries the 3Q26 term,descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q4,adr_component_new_business_seats,v3_without_K,-0.482570151706,-0.75030683191,-0.226242948818,percentage_points,2026-09-13,assumed_or_proxy_component: assumed,"data/processed/adrv3/P/P1_card_v3_terms.csv; H, 15_seats_dilution_quarterly (bull / base / bear), as J3",descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q4,adr_component_interaction,v3_without_K,-0.1,-0.15,-0.05,percentage_points,2026-09-13,assumed_or_proxy_component: descriptive,"data/processed/adrv3/P/P1_card_v3_terms.csv; H, 07 interaction, as J3",descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q4,adr_exfx_yoy,v3_without_K__eur_fit,3.69126606617,2.49281159435,4.889720538,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,FX excluded; add exactly one ADR FX bridge,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q4,adr_reported_yoy,v3_without_K__eur_fit,3.03126606617,1.83281159435,4.229720538,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,Includes ADR FX -0.66 pp (eur_fit); do not add full FX again,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q4,adr_usd,v3_without_K__eur_fit,172.587673787,170.580142702,174.595204873,USD_per_night,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,USD base ADR already translated; includes current ADR FX -0.66 pp,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q4,gbv_identity_comparison,v3_without_K__eur_fit__N_case_B_global_lap_baseline,22.7470554052,,,USD_billions,2026-09-13,descriptive_identity_on_unadopted_nights_scenario,data/processed/adrv3/P/adr_card_v3.csv,descriptive,none,Includes reported ADR FX -0.66 pp,Nights=131.8 million; same-quarter GBV identity only. Feed lagged kernel only through L4. Same-quarter take-rate revenue is deliberately omitted.
2026Q4,gbv_identity_comparison,v3_without_K__eur_fit__N_case_A_team_baseline_top_of_band,22.9023843116,,,USD_billions,2026-09-13,descriptive_identity_on_unadopted_nights_scenario,data/processed/adrv3/P/adr_card_v3.csv,descriptive,none,Includes reported ADR FX -0.66 pp,Nights=132.7 million; same-quarter GBV identity only. Feed lagged kernel only through L4. Same-quarter take-rate revenue is deliberately omitted.
2026Q4,adr_exfx_yoy,v3_without_K__baskets,3.69126606617,2.49281159435,4.889720538,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,FX excluded; add exactly one ADR FX bridge,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q4,adr_reported_yoy,v3_without_K__baskets,4.66126606617,3.46281159435,5.859720538,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,Includes ADR FX +0.97 pp (baskets); do not add full FX again,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q4,adr_usd,v3_without_K__baskets,175.318086787,173.310555702,177.325617873,USD_per_night,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,USD base ADR already translated; includes current ADR FX +0.97 pp,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q4,gbv_identity_comparison,v3_without_K__baskets__N_case_B_global_lap_baseline,23.1069238386,,,USD_billions,2026-09-13,descriptive_identity_on_unadopted_nights_scenario,data/processed/adrv3/P/adr_card_v3.csv,descriptive,none,Includes reported ADR FX +0.97 pp,Nights=131.8 million; same-quarter GBV identity only. Feed lagged kernel only through L4. Same-quarter take-rate revenue is deliberately omitted.
2026Q4,gbv_identity_comparison,v3_without_K__baskets__N_case_A_team_baseline_top_of_band,23.2647101167,,,USD_billions,2026-09-13,descriptive_identity_on_unadopted_nights_scenario,data/processed/adrv3/P/adr_card_v3.csv,descriptive,none,Includes reported ADR FX +0.97 pp,Nights=132.7 million; same-quarter GBV identity only. Feed lagged kernel only through L4. Same-quarter take-rate revenue is deliberately omitted.
2026Q4,adr_exfx_yoy,v3_without_K__midpoint,3.69126606617,2.49281159435,4.889720538,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,FX excluded; add exactly one ADR FX bridge,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q4,adr_reported_yoy,v3_without_K__midpoint,3.84126606617,2.64281159435,5.039720538,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,Includes ADR FX +0.15 pp (midpoint); do not add full FX again,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q4,adr_usd,v3_without_K__midpoint,173.944504787,171.936973702,175.952035873,USD_per_night,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,USD base ADR already translated; includes current ADR FX +0.15 pp,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q4,gbv_identity_comparison,v3_without_K__midpoint__N_case_B_global_lap_baseline,22.925885731,,,USD_billions,2026-09-13,descriptive_identity_on_unadopted_nights_scenario,data/processed/adrv3/P/adr_card_v3.csv,descriptive,none,Includes reported ADR FX +0.15 pp,Nights=131.8 million; same-quarter GBV identity only. Feed lagged kernel only through L4. Same-quarter take-rate revenue is deliberately omitted.
2026Q4,gbv_identity_comparison,v3_without_K__midpoint__N_case_A_team_baseline_top_of_band,23.0824357853,,,USD_billions,2026-09-13,descriptive_identity_on_unadopted_nights_scenario,data/processed/adrv3/P/adr_card_v3.csv,descriptive,none,Includes reported ADR FX +0.15 pp,Nights=132.7 million; same-quarter GBV identity only. Feed lagged kernel only through L4. Same-quarter take-rate revenue is deliberately omitted.
2026Q4,adr_component_like_for_like_pricing_residual,v3_with_K,4.84932637649,3.056,4.84932637649,percentage_points,2026-09-13,"assumed_or_proxy_component: assumed rule, anchored on measured residuals; the one unobserved line","data/processed/adrv3/P/P1_card_v3_terms.csv; H residual history; last_q carried (no 3Q26 residual exists); band K4 scenario table: lap only (3.06) to last_q; the K rule's 5.22 is the K line below, not counted here",descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q4,adr_component_geographic_mix,v3_with_K,-1.42842603377,-1.57091043328,-0.935318192291,percentage_points,2026-09-13,assumed_or_proxy_component: measured (unvalidated mapping),data/processed/adrv3/P/P1_card_v3_terms.csv; workstream I I_mix_terms_3q26.csv (E_aug regional split x 07/H method); 4Q26 carries the 3Q26 term (J3 convention),descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q4,adr_component_unit_size_party,v3_with_K,0.79667177875,0.529864896307,0.998470253641,percentage_points,2026-09-13,assumed_or_proxy_component: measured (level term),"data/processed/adrv3/P/P1_card_v3_terms.csv; workstream I I_mix_terms_3q26.csv (booked capacity, 119 markets, x 0.592); 4Q26 carries the 3Q26 term",descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q4,adr_component_length_of_stay_mix,v3_with_K,0.0562640964167,-0.0810737620689,0.288705973548,percentage_points,2026-09-13,"assumed_or_proxy_component: measured, unvalidated",data/processed/adrv3/P/P1_card_v3_terms.csv; workstream I I_mix_terms_3q26.csv (28+ share of blocked runs); 4Q26 carries the 3Q26 term,descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q4,adr_component_new_business_seats,v3_with_K,-0.482570151706,-0.75030683191,-0.226242948818,percentage_points,2026-09-13,assumed_or_proxy_component: assumed,"data/processed/adrv3/P/P1_card_v3_terms.csv; H, 15_seats_dilution_quarterly (bull / base / bear), as J3",descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
