month,systemwide_passengers_millions,basis,yoy_pct_as_reported,source
2023-12,78.7,NSA,9.5,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2024-01,70.0,NSA,4.0,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2024-02,70.4,NSA,8.6,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2024-03,84.8,NSA,6.3,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2024-04,81.2,NSA,4.7,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2024-05,87.1,NSA,6.4,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2024-06,89.7,NSA,6.7,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2024-07,91.8,NSA,4.5,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2024-08,86.8,NSA,4.5,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2024-09,77.5,NSA,1.6,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2024-10,82.8,NSA,0.2,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2024-11,77.1,NSA,-0.8,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2024-12,83.3,NSA,5.9,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2025-01,70.7,NSA,1.0,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2025-02,67.2,NSA,-4.6,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2025-03,83.6,NSA,-1.4,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2025-04,80.4,NSA,-1.0,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2025-05,85.2,NSA,-2.1,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2025-06,88.6,NSA,-1.2,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2025-07,92.2,NSA,0.4,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2025-08,86.8,NSA,-0.1,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2025-09,76.8,NSA,-0.9,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2025-10,84.1,NSA,1.6,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2025-11,74.8,NSA,-2.9,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2025-12,81.2,NSA,-2.6,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2026-01,69.5,NSA,-1.8,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2026-02,68.2,NSA,1.5,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2026-03,84.4,NSA,0.9,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2026-04,80.4,NSA,0.0,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2026-05,84.7,NSA,-0.7,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
