archive_vintage,held_vintage,n_listings_early,n_listings_surviving,listing_exit_share,reviews_early,reviews_lost_to_listing_exit,reviews_of_survivors_early,reviews_of_survivors_late,within_survivor_ratio,total_ratio
2017-03-06,2018-02-07,13756,8072,0.4132015120674615,370446,124935,245511,241953,0.9855077776555836,0.6961338494679387
2017-03-06,2018-04-12,13756,7710,0.43951730154114566,370446,130024,240422,241023,1.0024997712355774,0.7013248894575728
2017-04-08,2018-04-12,14052,8148,0.4201537147736977,385469,128828,256641,257172,1.0020690380726385,0.7111518695407413
2017-04-08,2018-05-14,14052,7826,0.4430686023341873,385469,137902,247567,245413,0.9912993250312037,0.67179721326488
2017-05-07,2018-04-12,14577,8500,0.41688962063524726,406641,133932,272709,273652,1.0034578983458557,0.7196987022951449
2017-05-07,2018-05-14,14577,8191,0.43808739795568363,406641,142501,264140,262118,0.9923449685772696,0.6796363377032812
2017-05-07,2018-06-09,14577,7311,0.49845647252521097,406641,160671,245970,246818,1.0034475749075091,0.6393010050634343
2017-06-05,2018-05-14,14965,8676,0.4202472435683261,425910,142221,283689,282303,0.9951143681989785,0.6968890141109624
2017-06-05,2018-06-09,14965,7744,0.4825258937520882,425910,161812,264098,265898,1.0068156517656324,0.6543049000962645
2017-06-05,2018-07-10,14965,7599,0.49221516872702975,425910,165585,260325,262164,1.0070642466148083,0.6471484585945387
2017-07-06,2018-06-09,14643,8066,0.4491565935942088,420980,145548,275432,276859,1.0051809521043307,0.7042068506817426
2017-07-06,2018-07-10,14643,7957,0.45660042341050333,420980,148412,272568,274051,1.0054408441196325,0.6959024181671338
2017-07-06,2018-08-18,14643,7446,0.49149764392542517,420980,159604,261376,262874,1.005731207149853,0.6732125041569671
2017-08-06,2018-07-10,15251,8472,0.4444954429217757,434733,144862,289871,291908,1.0070272638518514,0.7178728092875397
2017-08-06,2018-08-18,15251,7964,0.4778047341157957,434733,156100,278633,280618,1.0071240664242929,0.6933382098897484
2017-08-06,2018-09-11,15251,7786,0.48947609992787355,434733,162221,272512,274467,1.0071739960075152,0.6755249773999213
2017-09-12,2018-08-18,15070,8361,0.44518911745189116,437774,142034,295740,295995,1.0008622438628525,0.7261303777748336
2017-09-12,2018-09-11,15070,8237,0.4534173855341739,437774,149097,288677,288951,1.0009491577091352,0.7069720906221019
2017-09-12,2018-10-10,15070,7889,0.47650962176509626,437774,157313,280461,280711,1.0008913895336606,0.6844513379049464
2017-10-07,2018-09-11,15172,8476,0.44133930925388876,454334,152502,301832,303905,1.0068680590527181,0.7170121540540659
2017-10-07,2018-10-10,15172,8122,0.46467176377537567,454334,160855,293479,295474,1.0067977606574916,0.6935382339864505
2017-10-07,2018-11-07,15172,7862,0.4818085947798576,454334,170646,283688,285173,1.0052346239530752,0.6714003354360448
2017-11-13,2018-10-10,15031,8369,0.44321735080832947,458360,152169,306191,306567,1.0012279916783968,0.7161946941268872
2017-11-13,2018-11-07,15031,8120,0.45978311489588186,458360,161431,296929,296911,0.999939379447612,0.6932629374290951
2017-11-13,2018-12-10,15031,8025,0.4661033863349079,458360,164335,294025,294360,1.0011393588980528,0.6882908630770573
2017-12-09,2018-11-07,14912,8189,0.45084495708154504,459110,156893,302217,302312,1.0003143436669677,0.7077911611596349
2017-12-09,2018-12-10,14912,8088,0.4576180257510729,459110,159669,299441,299893,1.0015094793298178,0.7025745464050009
2017-12-09,2019-01-14,14912,7524,0.4954399141630901,459110,176073,283037,283210,1.0006112275073578,0.6589575482999717
2018-01-17,2018-12-10,14877,8214,0.44787255495059486,458961,157050,301911,304296,1.0078996790444865,0.7159715095618147
2018-01-17,2019-01-14,14877,7618,0.4879343953754117,458961,174875,284086,286126,1.0071809240863683,0.6715450768148056
2018-01-17,2019-02-06,14877,7427,0.5007730053102104,458961,180977,277984,280052,1.0074392770806953,0.6572235985192642
2018-02-07,2019-01-14,14715,7870,0.4651715936119606,451341,160422,290919,296051,1.0176406491153895,0.7001889923583278
2018-02-07,2019-02-06,14715,7676,0.4783554196398233,451341,166211,285130,290174,1.01769017641076,0.6852778719416139
2018-02-07,2019-03-08,14715,7384,0.4981991165477404,451341,172241,279100,284117,1.0179756359727696,0.6685455121515661
2018-04-12,2019-03-08,15343,8048,0.47546112233591864,484371,180314,304057,304784,1.002390999056098,0.6616890771743147
