city,country,country_iso2,eea_flag,deadline,single_fee_pct,listing_id,listing_url,host_id,host_location,host_region_guess,geo_conflict,room_type,property_type,bedrooms,bedroom_bucket,accommodates,beds,host_class,calculated_host_listings_count,host_is_superhost,instant_bookable,license,minimum_nights,number_of_reviews_ltm,estimated_occupancy_l365d,stratum,stay_window,checkin,checkout,nights,adults,dump_date,dump_price
austin,United States,US,0,2026-09-15,15.5,207054,https://www.airbnb.com/rooms/207054,1018853,"Austin, TX",non_eea,0,Entire home/apt,Entire home,2.0,2,5,2.0,individual,1,t,,OL 2026 072586,2.0,6,36,Entire home/apt | 2 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$268.00
austin,United States,US,0,2026-09-15,15.5,11069420,https://www.airbnb.com/rooms/11069420,57460628,"Austin, TX",non_eea,0,Entire home/apt,Entire guesthouse,1.0,0-1,2,1.0,individual,1,t,,OL2016027920,2.0,19,114,Entire home/apt | 0-1 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$212.50
austin,United States,US,0,2026-09-15,15.5,14072370,https://www.airbnb.com/rooms/14072370,62926106,"Lakeway, TX",non_eea,0,Entire home/apt,Entire villa,2.0,2,6,2.0,professional,17,t,,,2.0,0,0,Entire home/apt | 2 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$213.71
austin,United States,US,0,2026-09-15,15.5,15194730,https://www.airbnb.com/rooms/15194730,28248246,"Austin, TX",non_eea,0,Entire home/apt,Entire home,2.0,2,4,2.0,individual,1,t,,,2.0,32,192,Entire home/apt | 2 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$259.33
austin,United States,US,0,2026-09-15,15.5,16273289,https://www.airbnb.com/rooms/16273289,332677,"San Francisco, CA",non_eea,0,Hotel room,Room in boutique hotel,1.0,0-1,1,1.0,individual,1,f,,,3.0,0,0,Hotel room | 0-1 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$724.00
austin,United States,US,0,2026-09-15,15.5,17046910,https://www.airbnb.com/rooms/17046910,60112823,"Austin, TX",non_eea,0,Entire home/apt,Entire home,2.0,2,4,2.0,small_multi,2,f,,,2.0,1,6,Entire home/apt | 2 | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$349.00
austin,United States,US,0,2026-09-15,15.5,17437940,https://www.airbnb.com/rooms/17437940,117386831,"Austin, TX",non_eea,0,Entire home/apt,Entire home,4.0,3+,10,8.0,professional,7,t,,,2.0,44,255,Entire home/apt | 3+ | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,
austin,United States,US,0,2026-09-15,15.5,20295292,https://www.airbnb.com/rooms/20295292,18421413,"Austin, TX",non_eea,0,Entire home/apt,Entire guest suite,1.0,0-1,3,1.0,individual,1,t,,,1.0,37,222,Entire home/apt | 0-1 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$92.00
austin,United States,US,0,2026-09-15,15.5,20801999,https://www.airbnb.com/rooms/20801999,66447793,"Austin, TX",non_eea,0,Entire home/apt,Entire guesthouse,1.0,0-1,4,2.0,individual,1,t,,OL-2017-137682,2.0,59,255,Entire home/apt | 0-1 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$157.00
austin,United States,US,0,2026-09-15,15.5,20850954,https://www.airbnb.com/rooms/20850954,4437388,"Austin, TX",non_eea,0,Entire home/apt,Entire guesthouse,2.0,2,2,2.0,professional,7,t,,,1.0,8,48,Entire home/apt | 2 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$163.33
austin,United States,US,0,2026-09-15,15.5,24701487,https://www.airbnb.com/rooms/24701487,177821967,"Austin, TX",non_eea,0,Entire home/apt,Entire home,2.0,2,4,2.0,professional,13,t,,OL 2020 167386,2.0,1,6,Entire home/apt | 2 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$341.67
austin,United States,US,0,2026-09-15,15.5,25344755,https://www.airbnb.com/rooms/25344755,126170709,"Austin, TX",non_eea,0,Entire home/apt,Entire cottage,1.0,0-1,4,2.0,individual,1,t,,OL 2018 085736,2.0,50,255,Entire home/apt | 0-1 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$132.50
austin,United States,US,0,2026-09-15,15.5,28003194,https://www.airbnb.com/rooms/28003194,39923093,"Austin, TX",non_eea,0,Entire home/apt,Entire condo,2.0,2,6,3.0,small_multi,2,f,,,1.0,15,90,Entire home/apt | 2 | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$280.33
austin,United States,US,0,2026-09-15,15.5,32720821,https://www.airbnb.com/rooms/32720821,246038290,"Austin, TX",non_eea,0,Entire home/apt,Entire home,4.0,3+,10,4.0,individual,1,t,,,1.0,2,12,Entire home/apt | 3+ | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$636.00
austin,United States,US,0,2026-09-15,15.5,33153055,https://www.airbnb.com/rooms/33153055,51809476,"Austin, TX",non_eea,0,Shared room,Shared room in rental unit,1.0,0-1,1,1.0,small_multi,4,f,,,1.0,5,30,Shared room | 0-1 | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$26.00
austin,United States,US,0,2026-09-15,15.5,36766311,https://www.airbnb.com/rooms/36766311,270061609,"Austin, TX",non_eea,0,Private room,Private room in home,3.0,3+,7,3.0,small_multi,2,f,,,1.0,0,0,Private room | 3+ | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$229.00
austin,United States,US,0,2026-09-15,15.5,37899310,https://www.airbnb.com/rooms/37899310,10595328,"Laramie, WY",non_eea,0,Entire home/apt,Entire serviced apartment,2.0,2,6,3.0,professional,6,f,,Exempt,1.0,0,0,Entire home/apt | 2 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$368.00
austin,United States,US,0,2026-09-15,15.5,37991217,https://www.airbnb.com/rooms/37991217,195478867,,unknown,0,Entire home/apt,Entire rental unit,2.0,2,6,2.0,professional,6,f,,,1.0,9,54,Entire home/apt | 2 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$191.00
austin,United States,US,0,2026-09-15,15.5,38055707,https://www.airbnb.com/rooms/38055707,133718424,"Austin, TX",non_eea,0,Entire home/apt,Entire home,3.0,3+,6,4.0,individual,1,t,,OL-2020-007555,3.0,20,120,Entire home/apt | 3+ | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$232.33
austin,United States,US,0,2026-09-15,15.5,38595412,https://www.airbnb.com/rooms/38595412,40810777,"Austin, TX",non_eea,0,Entire home/apt,Entire cottage,1.0,0-1,2,1.0,small_multi,2,t,,,1.0,30,180,Entire home/apt | 0-1 | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$180.00
austin,United States,US,0,2026-09-15,15.5,38818528,https://www.airbnb.com/rooms/38818528,278691268,"Austin, TX",non_eea,0,Entire home/apt,Entire guest suite,1.0,0-1,3,1.0,individual,1,f,,OL 2019 193755,2.0,6,36,Entire home/apt | 0-1 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$136.00
austin,United States,US,0,2026-09-15,15.5,39410317,https://www.airbnb.com/rooms/39410317,78455367,,unknown,0,Private room,Room in boutique hotel,1.0,0-1,2,1.0,professional,11,f,,,1.0,0,0,Private room | 0-1 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$136.85
austin,United States,US,0,2026-09-15,15.5,39913412,https://www.airbnb.com/rooms/39913412,307543433,"Austin, TX",non_eea,0,Shared room,Shared room in hostel,1.0,0-1,1,1.0,professional,10,t,,Exempt,1.0,3,18,Shared room | 0-1 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$36.00
austin,United States,US,0,2026-09-15,15.5,39966219,https://www.airbnb.com/rooms/39966219,301868299,"Austin, TX",non_eea,0,Private room,Private room in home,1.0,0-1,2,1.0,individual,1,t,,Exempt,1.0,13,78,Private room | 0-1 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$116.00
austin,United States,US,0,2026-09-15,15.5,42162967,https://www.airbnb.com/rooms/42162967,83634068,"Austin, TX",non_eea,0,Entire home/apt,Entire home,3.0,3+,8,4.0,small_multi,2,t,,,1.0,13,78,Entire home/apt | 3+ | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$356.00
austin,United States,US,0,2026-09-15,15.5,43069021,https://www.airbnb.com/rooms/43069021,293556347,"Austin, TX",non_eea,0,Entire home/apt,Entire home,9.0,3+,16,14.0,professional,13,t,,,1.0,5,30,Entire home/apt | 3+ | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$683.50
austin,United States,US,0,2026-09-15,15.5,46331070,https://www.airbnb.com/rooms/46331070,49272247,"Austin, TX",non_eea,0,Entire home/apt,Entire bungalow,,unknown,3,2.0,individual,1,f,,,1.0,6,36,Entire home/apt | unknown | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$272.00
austin,United States,US,0,2026-09-15,15.5,46951327,https://www.airbnb.com/rooms/46951327,56277017,"Austin, TX",non_eea,0,Private room,Private room in home,2.0,2,4,3.0,individual,1,f,,OL 2020 124256,2.0,12,72,Private room | 2 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$191.00
austin,United States,US,0,2026-09-15,15.5,47515870,https://www.airbnb.com/rooms/47515870,372793610,"North Myrtle Beach, SC",non_eea,0,Entire home/apt,Entire condo,2.0,2,6,3.0,professional,5,t,,,2.0,1,6,Entire home/apt | 2 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$309.60
austin,United States,US,0,2026-09-15,15.5,48621066,https://www.airbnb.com/rooms/48621066,239164630,"Austin, TX",non_eea,0,Entire home/apt,Entire home,3.0,3+,6,4.0,small_multi,2,f,,OL 2021 055325,2.0,12,72,Entire home/apt | 3+ | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$543.50
austin,United States,US,0,2026-09-15,15.5,49139962,https://www.airbnb.com/rooms/49139962,18253226,"Austin, TX",non_eea,0,Entire home/apt,Entire rental unit,1.0,0-1,2,1.0,professional,34,f,,,1.0,12,72,Entire home/apt | 0-1 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$233.19
austin,United States,US,0,2026-09-15,15.5,49249948,https://www.airbnb.com/rooms/49249948,5341252,"Dripping Springs, TX",non_eea,0,Private room,Private room in home,,unknown,2,1.0,small_multi,2,f,,,1.0,3,18,Private room | unknown | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$124.00
austin,United States,US,0,2026-09-15,15.5,50175699,https://www.airbnb.com/rooms/50175699,32256062,"Austin, TX",non_eea,0,Entire home/apt,Entire condo,2.0,2,8,5.0,individual,1,f,,OL 2026 030117,2.0,4,24,Entire home/apt | 2 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$234.00
austin,United States,US,0,2026-09-15,15.5,50259839,https://www.airbnb.com/rooms/50259839,405778363,,unknown,0,Entire home/apt,Entire rental unit,1.0,0-1,2,1.0,individual,1,f,,,1.0,5,30,Entire home/apt | 0-1 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$313.00
austin,United States,US,0,2026-09-15,15.5,50704625,https://www.airbnb.com/rooms/50704625,133437179,"Austin, TX",non_eea,0,Entire home/apt,Entire home,2.0,2,4,2.0,individual,1,t,,,1.0,37,222,Entire home/apt | 2 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$197.00
austin,United States,US,0,2026-09-15,15.5,51725457,https://www.airbnb.com/rooms/51725457,22225907,"Albuquerque, NM",non_eea,0,Entire home/apt,Entire home,3.0,3+,7,4.0,small_multi,3,t,,,2.0,12,72,Entire home/apt | 3+ | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$372.65
austin,United States,US,0,2026-09-15,15.5,51802621,https://www.airbnb.com/rooms/51802621,12568111,"Los Angeles, CA",non_eea,0,Entire home/apt,Entire rental unit,1.0,0-1,4,1.0,professional,23,f,,,1.0,0,0,Entire home/apt | 0-1 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$444.00
austin,United States,US,0,2026-09-15,15.5,52507823,https://www.airbnb.com/rooms/52507823,76672218,"Austin, TX",non_eea,0,Entire home/apt,Entire guesthouse,1.0,0-1,4,2.0,professional,6,t,,,2.0,24,144,Entire home/apt | 0-1 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$134.92
austin,United States,US,0,2026-09-15,15.5,52650938,https://www.airbnb.com/rooms/52650938,18253226,"Austin, TX",non_eea,0,Entire home/apt,Entire home,2.0,2,4,2.0,professional,34,f,,,1.0,6,36,Entire home/apt | 2 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$387.00
austin,United States,US,0,2026-09-15,15.5,53029479,https://www.airbnb.com/rooms/53029479,4147674,"Austin, TX",non_eea,0,Entire home/apt,Entire home,4.0,3+,10,10.0,professional,9,t,,STR-2025-03212,1.0,55,255,Entire home/apt | 3+ | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$261.00
austin,United States,US,0,2026-09-15,15.5,53173771,https://www.airbnb.com/rooms/53173771,53368085,"Austin, TX",non_eea,0,Entire home/apt,Entire home,4.0,3+,8,5.0,small_multi,2,t,,,3.0,0,0,Entire home/apt | 3+ | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$862.00
austin,United States,US,0,2026-09-15,15.5,53980615,https://www.airbnb.com/rooms/53980615,437283338,"Austin, TX",non_eea,0,Entire home/apt,Entire condo,,unknown,2,1.0,individual,1,f,,,1.0,0,0,Entire home/apt | unknown | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$409.00
austin,United States,US,0,2026-09-15,15.5,558843503953234348,https://www.airbnb.com/rooms/558843503953234348,414974603,"Austin, TX",non_eea,0,Entire home/apt,Entire rental unit,1.0,0-1,3,1.0,individual,1,f,,,2.0,0,0,Entire home/apt | 0-1 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$226.00
austin,United States,US,0,2026-09-15,15.5,578115945551215417,https://www.airbnb.com/rooms/578115945551215417,114174610,"Austin, TX",non_eea,0,Entire home/apt,Entire home,3.0,3+,6,5.0,small_multi,3,f,,OL-2024-091203,2.0,7,42,Entire home/apt | 3+ | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$270.00
austin,United States,US,0,2026-09-15,15.5,579641625907092931,https://www.airbnb.com/rooms/579641625907092931,246235981,"Austin, TX",non_eea,0,Entire home/apt,Entire home,2.0,2,6,4.0,professional,34,t,,,1.0,13,78,Entire home/apt | 2 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$398.00
austin,United States,US,0,2026-09-15,15.5,580595612216957625,https://www.airbnb.com/rooms/580595612216957625,1411717,"Austin, TX",non_eea,0,Private room,Private room in home,,unknown,3,2.0,professional,6,t,,,1.0,67,255,Private room | unknown | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$105.00
austin,United States,US,0,2026-09-15,15.5,605209176939736944,https://www.airbnb.com/rooms/605209176939736944,499072196,"Austin, TX",non_eea,0,Entire home/apt,Entire rental unit,2.0,2,7,4.0,professional,7,t,,,1.0,38,228,Entire home/apt | 2 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$114.35
austin,United States,US,0,2026-09-15,15.5,625406455184181127,https://www.airbnb.com/rooms/625406455184181127,15782486,"Austin, TX",non_eea,0,Entire home/apt,Entire home,2.0,2,4,2.0,professional,22,t,,OL 2013 016139,1.0,13,78,Entire home/apt | 2 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$324.00
austin,United States,US,0,2026-09-15,15.5,649977065073864157,https://www.airbnb.com/rooms/649977065073864157,464429698,,unknown,0,Entire home/apt,Entire home,2.0,2,5,2.0,individual,1,t,,OL 2026 036329,3.0,13,78,Entire home/apt | 2 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$191.60
austin,United States,US,0,2026-09-15,15.5,650778158748537922,https://www.airbnb.com/rooms/650778158748537922,398748229,,unknown,0,Entire home/apt,Entire home,4.0,3+,12,6.0,small_multi,4,f,,OL2026017203,1.0,37,222,Entire home/apt | 3+ | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$486.00
austin,United States,US,0,2026-09-15,15.5,654268745353325717,https://www.airbnb.com/rooms/654268745353325717,392856510,"Cedar Park, TX",non_eea,0,Entire home/apt,Entire home,3.0,3+,6,3.0,individual,1,t,,OL 2024 063549,3.0,17,102,Entire home/apt | 3+ | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$210.67
austin,United States,US,0,2026-09-15,15.5,658044039163152452,https://www.airbnb.com/rooms/658044039163152452,466085407,"Austin, TX",non_eea,0,Entire home/apt,Entire home,4.0,3+,8,4.0,individual,1,f,,OL 2024 122154,1.0,3,18,Entire home/apt | 3+ | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$919.00
austin,United States,US,0,2026-09-15,15.5,661378610328145782,https://www.airbnb.com/rooms/661378610328145782,22607659,"Austin, TX",non_eea,0,Entire home/apt,Entire home,3.0,3+,6,3.0,professional,13,t,,,2.0,10,60,Entire home/apt | 3+ | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$199.75
austin,United States,US,0,2026-09-15,15.5,712908021358624567,https://www.airbnb.com/rooms/712908021358624567,54561150,"Austin, TX",non_eea,0,Private room,Private room in home,,unknown,4,2.0,small_multi,2,f,,,1.0,3,18,Private room | unknown | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$205.00
austin,United States,US,0,2026-09-15,15.5,713746278543934794,https://www.airbnb.com/rooms/713746278543934794,49747248,"Austin, TX",non_eea,0,Entire home/apt,Entire home,1.0,0-1,2,2.0,individual,1,f,,,2.0,5,30,Entire home/apt | 0-1 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$254.40
austin,United States,US,0,2026-09-15,15.5,729776774841993246,https://www.airbnb.com/rooms/729776774841993246,33156483,"Austin, TX",non_eea,0,Entire home/apt,Entire home,4.0,3+,8,4.0,individual,1,f,,,2.0,5,30,Entire home/apt | 3+ | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$312.50
austin,United States,US,0,2026-09-15,15.5,765918417342776766,https://www.airbnb.com/rooms/765918417342776766,411546857,,unknown,0,Entire home/apt,Entire condo,1.0,0-1,4,2.0,professional,27,t,,,2.0,0,0,Entire home/apt | 0-1 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$247.95
austin,United States,US,0,2026-09-15,15.5,781022579201353497,https://www.airbnb.com/rooms/781022579201353497,39191637,"Austin, TX",non_eea,0,Entire home/apt,Entire home,4.0,3+,12,7.0,professional,34,t,,,1.0,26,156,Entire home/apt | 3+ | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$382.00
austin,United States,US,0,2026-09-15,15.5,782615961942723052,https://www.airbnb.com/rooms/782615961942723052,464404919,,unknown,0,Entire home/apt,Entire condo,2.0,2,6,2.0,professional,107,t,,,1.0,6,36,Entire home/apt | 2 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$413.10
austin,United States,US,0,2026-09-15,15.5,790113773553304028,https://www.airbnb.com/rooms/790113773553304028,50421597,"Des Moines, IA",non_eea,0,Entire home/apt,Entire home,3.0,3+,12,6.0,individual,1,t,,OL 2024 032182,1.0,28,168,Entire home/apt | 3+ | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$297.00
austin,United States,US,0,2026-09-15,15.5,790551685658861778,https://www.airbnb.com/rooms/790551685658861778,88769927,"Austin, TX",non_eea,0,Entire home/apt,Entire home,5.0,3+,15,8.0,professional,18,t,,,1.0,46,255,Entire home/apt | 3+ | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$270.00
austin,United States,US,0,2026-09-15,15.5,812448064577512168,https://www.airbnb.com/rooms/812448064577512168,497972537,,unknown,0,Private room,Private room in home,3.0,3+,1,3.0,individual,1,f,,,2.0,0,0,Private room | 3+ | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,"$1,094.00"
austin,United States,US,0,2026-09-15,15.5,817013633667846401,https://www.airbnb.com/rooms/817013633667846401,72483388,"New York, NY",non_eea,0,Private room,Private room in home,,unknown,2,1.0,small_multi,2,f,,,3.0,0,0,Private room | unknown | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$109.00
austin,United States,US,0,2026-09-15,15.5,831116198672037822,https://www.airbnb.com/rooms/831116198672037822,178065877,"Austin, TX",non_eea,0,Entire home/apt,Entire home,4.0,3+,10,4.0,professional,18,t,,OL 2020 012182,1.0,18,108,Entire home/apt | 3+ | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$866.00
austin,United States,US,0,2026-09-15,15.5,836894631497264233,https://www.airbnb.com/rooms/836894631497264233,469584331,"Ashland, OR",non_eea,0,Entire home/apt,Entire home,4.0,3+,7,4.0,small_multi,4,t,,OL 2024 123210,1.0,40,240,Entire home/apt | 3+ | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$302.45
austin,United States,US,0,2026-09-15,15.5,839825958820293878,https://www.airbnb.com/rooms/839825958820293878,440211958,"Yellowstone National Park, WY",non_eea,0,Private room,Private room in guesthouse,1.0,0-1,2,1.0,small_multi,4,f,,,1.0,31,186,Private room | 0-1 | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$75.00
austin,United States,US,0,2026-09-15,15.5,840830137540145526,https://www.airbnb.com/rooms/840830137540145526,755970551,,unknown,0,Entire home/apt,Entire rental unit,1.0,0-1,3,2.0,professional,14,f,,,1.0,13,78,Entire home/apt | 0-1 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$175.50
austin,United States,US,0,2026-09-15,15.5,844161024790161862,https://www.airbnb.com/rooms/844161024790161862,241332404,,unknown,0,Private room,Private room in home,,unknown,1,1.0,individual,1,f,,,1.0,0,0,Private room | unknown | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$234.00
austin,United States,US,0,2026-09-15,15.5,844958678279851069,https://www.airbnb.com/rooms/844958678279851069,482174715,"Rockford, MI",non_eea,0,Entire home/apt,Entire resort,3.0,3+,8,4.0,professional,30,t,,,2.0,0,0,Entire home/apt | 3+ | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$480.00
austin,United States,US,0,2026-09-15,15.5,844959652169052749,https://www.airbnb.com/rooms/844959652169052749,482174715,"Rockford, MI",non_eea,0,Entire home/apt,Entire resort,,unknown,4,2.0,professional,30,t,,,2.0,0,0,Entire home/apt | unknown | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$228.50
austin,United States,US,0,2026-09-15,15.5,861043931901707546,https://www.airbnb.com/rooms/861043931901707546,426421028,"Austin, TX",non_eea,0,Private room,Private room in home,,unknown,2,1.0,small_multi,3,t,,OL 2026 038628,1.0,11,66,Private room | unknown | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$53.25
austin,United States,US,0,2026-09-15,15.5,866883128607989541,https://www.airbnb.com/rooms/866883128607989541,501999514,,unknown,0,Private room,Room in hotel,1.0,0-1,2,1.0,professional,84,f,,Exempt,1.0,1,6,Private room | 0-1 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$98.00
austin,United States,US,0,2026-09-15,15.5,868089881659783749,https://www.airbnb.com/rooms/868089881659783749,501999514,,unknown,0,Private room,Room in hotel,1.0,0-1,2,1.0,professional,84,f,,Exempt,1.0,0,0,Private room | 0-1 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$252.00
austin,United States,US,0,2026-09-15,15.5,869545390456753971,https://www.airbnb.com/rooms/869545390456753971,134082610,"Austin, TX",non_eea,0,Entire home/apt,Entire home,1.0,0-1,2,1.0,professional,10,t,,,1.0,49,255,Entire home/apt | 0-1 | professional,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$186.00
