metric,label,year,q1,q2,h1_mean,q3,q4,t3,t4,q4_minus_q3
size_term_pp,Party-size / listing-size term in ADR (pts),2022,0.9311234108592644,0.808017755307728,0.8695705830834962,0.58518532297252,0.504105420568479,-0.2843852601109762,-0.36546516251501726,-0.08107990240404106
size_term_pp,Party-size / listing-size term in ADR (pts),2023,0.4620912842772667,0.3621440282039081,0.4121176562405874,0.4098973686879872,0.2906539573280417,-0.0022202875526001753,-0.12146369891254566,-0.11924341135994548
size_term_pp,Party-size / listing-size term in ADR (pts),2024,0.9633505413705318,0.7721595803184097,0.8677550608444707,0.8903157468661863,0.7066747659259102,0.02256068602171557,-0.16108029491856057,-0.18364098094027614
size_term_pp,Party-size / listing-size term in ADR (pts),2025,0.6690991824547088,0.7324103132323075,0.7007547478435081,0.7481509563315145,0.8224227396698655,0.04739620848800641,0.12166799182635735,0.07427178333835094
size_term_pp,Party-size / listing-size term in ADR (pts),2026,0.9450489445563696,0.7004681684496338,0.8227585565030017,,,,,
unearned_fees_yoy_pct,Unearned fees y/y (%),2022,84.71,33.49,59.099999999999994,36.74,30.75,-22.359999999999992,-28.349999999999994,-5.990000000000002
unearned_fees_yoy_pct,Unearned fees y/y (%),2023,24.28,18.48,21.380000000000003,20.22,20.73,-1.1600000000000037,-0.6500000000000021,0.5100000000000016
unearned_fees_yoy_pct,Unearned fees y/y (%),2024,12.06,11.67,11.865,12.95,13.24,1.084999999999999,1.375,0.2900000000000009
unearned_fees_yoy_pct,Unearned fees y/y (%),2025,11.87,9.0,10.434999999999999,9.84,7.86,-0.5949999999999989,-2.5749999999999984,-1.9799999999999995
unearned_fees_yoy_pct,Unearned fees y/y (%),2026,0.37,-0.91,-0.27,,,,,
unearned_cover_next_q_pct,Unearned fees / next-quarter revenue (%),2022,83.06558935361217,68.68585298196949,75.87572116779083,64.15878023133544,65.01650165016501,-11.716940936455387,-10.859219517625817,0.8577214188295699
unearned_cover_next_q_pct,Unearned fees / next-quarter revenue (%),2023,87.43961352657004,69.09037385928761,78.26499369292883,66.14066726780884,66.61998132586368,-12.124326425119989,-11.64501236706515,0.4793140580548396
unearned_cover_next_q_pct,Unearned fees / next-quarter revenue (%),2024,88.57350800582242,70.2304394426581,79.40197372424026,66.81451612903226,71.12676056338029,-12.587457595208008,-8.275213160859977,4.312244434348031
unearned_cover_next_q_pct,Unearned fees / next-quarter revenue (%),2025,87.95219638242894,69.76800976800976,78.86010307521934,65.51475881929446,65.08588498879762,-13.345344255924886,-13.774218086421726,-0.42887383049684047
unearned_cover_next_q_pct,Unearned fees / next-quarter revenue (%),2026,75.74833702882484,,75.74833702882484,,,,,
adj_ebitda_margin_pct,"Adj. EBITDA margin (level, %)",2022,15.2,33.8,24.5,50.5,26.6,26.0,2.1000000000000014,-23.9
adj_ebitda_margin_pct,"Adj. EBITDA margin (level, %)",2023,14.4,33.0,23.7,54.0,33.3,30.3,9.599999999999998,-20.700000000000003
adj_ebitda_margin_pct,"Adj. EBITDA margin (level, %)",2024,19.8,32.5,26.15,52.5,30.8,26.35,4.650000000000002,-21.7
adj_ebitda_margin_pct,"Adj. EBITDA margin (level, %)",2025,18.4,33.7,26.05,50.1,28.3,24.05,2.25,-21.8
adj_ebitda_margin_pct,"Adj. EBITDA margin (level, %)",2026,19.4,35.0,27.2,,,,,
