price,cdf_dec15_rn,cdf_dec15_rw,cdf_feb12_interp,cdf_feb12_rn,cdf_feb12_rw
84.25,0.0007032634501898792,0.0006238661772426385,0.003992,0.00537,0.004717
84.5,0.0007375947314853856,0.0006546216302913755,0.004127,0.005545,0.004851
84.75,0.0007733517229298077,0.0006866700084586969,0.004261,0.005735,0.005025
85.0,0.0008105818914972065,0.000720055089120175,0.004396,0.005919,0.005199
85.25,0.0008493338059469389,0.0007548216959923743,0.004555,0.006077,0.005352
85.5,0.0008896571456592654,0.000791015708712596,0.004713,0.006324,0.005516
85.75,0.0009316027090021237,0.0008286840720075925,0.004851,0.006536,0.005702
86.0,0.0009752224212138746,0.0008678748044360546,0.005013,0.006746,0.00588
86.25,0.0010205693417869937,0.0009086370066903551,0.005174,0.006947,0.006045
86.5,0.0010676976713379076,0.000951020869442898,0.005348,0.007156,0.006274
86.75,0.0011166627579487878,0.0009950776807226818,0.005532,0.007347,0.006485
87.0,0.0011675211029668787,0.0010408598328080258,0.005702,0.00758,0.006695
87.25,0.001220330366247642,0.0010884208286216217,0.005894,0.007819,0.006898
87.5,0.0012751493708282762,0.0011378152876142685,0.006082,0.008054,0.007097
87.75,0.0013320381070182677,0.001189098951123966,0.006282,0.008267,0.007308
88.0,0.0013910577358944712,0.0012423286871974218,0.00646,0.008479,0.007517
88.25,0.0014522705921879778,0.0012975624948612773,0.006657,0.008742,0.007748
88.5,0.001515740186551101,0.0013548595078306652,0.006861,0.009002,0.007968
88.75,0.0015815312071925296,0.0014142799976431565,0.007088,0.009264,0.008196
89.0,0.00164970952086978,0.0014758853762063756,0.007324,0.00953,0.008411
89.25,0.0017203421732282101,0.0015397381977481908,0.007544,0.009795,0.008657
89.5,0.0017934973884759977,0.0016059021601584598,0.007766,0.010069,0.008907
89.75,0.0018692445683859066,0.0016744421057119352,0.007995,0.010351,0.009159
90.0,0.001947654290613767,0.0017454240211624953,0.008243,0.010611,0.009446
90.25,0.0020287983063257656,0.0018189150371987325,0.008482,0.010901,0.009684
90.5,0.002112749537125345,0.0018949834272523121,0.008734,0.011224,0.009957
90.75,0.0021995820712727653,0.0019736986056498426,0.008974,0.011521,0.010225
91.0,0.0022893711591894833,0.002055131125100553,0.009195,0.011841,0.010494
91.25,0.0023821932082411846,0.002139352673511856,0.009461,0.012156,0.010766
91.5,0.002478125776792796,0.0022264360701255825,0.009722,0.012479,0.011073
91.75,0.0025772475675303894,0.0023164552609683596,0.010002,0.012829,0.011381
92.0,0.002679638420044912,0.0024094853136096793,0.010283,0.013166,0.011695
92.25,0.0027853793026730005,0.0025056024112223,0.010545,0.013504,0.01201
92.5,0.0028945523035915854,0.002604883845939626,0.010842,0.013862,0.012316
92.75,0.003007240621162401,0.0027074080115057544,0.011143,0.014194,0.012657
93.0,0.0031235285535248024,0.002813254395213819,0.011467,0.014564,0.012993
93.25,0.0032435014874334397,0.002922503569129517,0.01175,0.014928,0.013315
93.5,0.003367245886340952,0.0030352371805966684,0.012092,0.015319,0.013649
93.75,0.0034948492777236305,0.003151537942022585,0.01243,0.015744,0.014016
94.0,0.003626400239650671,0.0032714896199414196,0.012806,0.016181,0.014342
94.25,0.0037619883865968855,0.0033951770233544153,0.013182,0.016606,0.014711
94.5,0.0039017043545005914,0.0035226859913463594,0.013517,0.017012,0.015076
94.75,0.0040456397850676855,0.0036541033799781355,0.013854,0.017413,0.01549
95.0,0.0041938873093248135,0.0037895170484562478,0.014215,0.017805,0.015923
95.25,0.004346540530424021,0.003929015844579932,0.014594,0.018248,0.016334
95.5,0.004503694005702944,0.004072689589468144,0.014998,0.018637,0.016747
95.75,0.004665443228004456,0.004220629061568436,0.015393,0.019061,0.017165
96.0,0.004831884606260328,0.004372925979950708,0.015781,0.019546,0.017547
96.25,0.005003115445345166,0.004529672986888976,0.016168,0.020026,0.017944
96.5,0.005179233925205227,0.004690963629736235,0.01656,0.020494,0.018369
96.75,0.0053603390792703485,0.004856892342095484,0.016977,0.021003,0.018765
97.0,0.005546530772154877,0.005027554424293867,0.017405,0.02149,0.019188
97.25,0.005737909676656145,0.005203046023164318,0.017847,0.022053,0.019673
97.5,0.005934577250058617,0.005383464111142082,0.018299,0.022576,0.020155
97.75,0.006136635709752985,0.005568906464682096,0.018759,0.023077,0.020622
98.0,0.006344188008179177,0.005759471642005847,0.019219,0.023593,0.021121
98.25,0.006557337807103825,0.005955258960184873,0.019676,0.024129,0.021604
98.5,0.0067761894512433215,0.006156368471569601,0.020135,0.024656,0.022152
98.75,0.0070008479412422605,0.0063629009395732095,0.020629,0.025217,0.022668
99.0,0.007231418906020626,0.00657495781381956,0.021145,0.025767,0.023171
99.25,0.007468008574501038,0.006792641204665739,0.021654,0.026294,0.023692
99.5,0.007710723746728901,0.0070160538571098765,0.022175,0.026859,0.024211
99.75,0.007959671764399543,0.007245299124094902,0.022714,0.027519,0.024728
100.0,0.00821496048080474,0.00748048093922102,0.023244,0.028073,0.025303
100.25,0.008476698230214262,0.00772170378887837,0.023801,0.028718,0.025837
100.5,0.008744993796706691,0.00796907268381193,0.024329,0.029348,0.026339
100.75,0.009019956382464141,0.008222693130133487,0.024891,0.029939,0.02693
101.0,0.009301695575547083,0.008482671099792618,0.025495,0.030541,0.027547
101.25,0.00959032131716585,0.008749113000521318,0.026043,0.031206,0.02812
101.5,0.009885943868463663,0.009022125645266938,0.026617,0.031865,0.028753
101.75,0.010188673776830127,0.009301816221127754,0.0272,0.032574,0.029375
102.0,0.010498621841759924,0.009588292257807258,0.02781,0.033252,0.029957
102.25,0.01081589908027769,0.009881661595601372,0.028437,0.033956,0.030552
102.5,0.011140616691942742,0.0101820323529364,0.029063,0.034666,0.03121
102.75,0.011472886023456367,0.010489512893472455,0.029744,0.035382,0.031865
103.0,0.011812818532886753,0.010804211792790081,0.030424,0.036107,0.032564
103.25,0.01216052575353281,0.011126237804677011,0.031115,0.036855,0.033242
103.5,0.012516119257444202,0.01145569982703166,0.031742,0.037608,0.033929
103.75,0.012879710618619334,0.011792706867401984,0.032428,0.038324,0.034636
104.0,0.013251411375897798,0.012137368008177414,0.033071,0.039053,0.035336
104.25,0.013631332995571377,0.012489792371451144,0.033763,0.0398,0.036054
104.5,0.014019586833729386,0.01285008908357278,0.034497,0.0405,0.036786
104.75,0.014416284098362217,0.013218367239408817,0.035229,0.041261,0.037543
105.0,0.014821535811241114,0.013594735866330488,0.035928,0.042077,0.038233
105.25,0.01523545276959772,0.013979303887947613,0.036674,0.042795,0.038956
105.5,0.01565814550761979,0.01437218008760848,0.037428,0.0436,0.039699
105.75,0.01608972425778993,0.014773473071684869,0.038164,0.044462,0.040411
106.0,0.016530298912082457,0.015183291232661189,0.038861,0.045268,0.041135
106.25,0.016979978983044826,0.015601742712048693,0.03964,0.046124,0.041902
106.5,0.017438873564780216,0.016028935363144783,0.040427,0.047019,0.042666
106.75,0.017907091293856696,0.0164649767136552,0.041233,0.047891,0.043447
107.0,0.0183847403101616,0.016909973928201736,0.042036,0.048756,0.0443
107.25,0.01887192821772377,0.01736403377073563,0.04289,0.049677,0.045076
107.5,0.019368762045523756,0.01782726256687369,0.043731,0.05054,0.045921
107.75,0.019875348208316043,0.018299766166182098,0.044579,0.051472,0.046821
108.0,0.02039179246748069,0.01878164990442396,0.045475,0.052443,0.047675
108.25,0.020918199891930174,0.019273018565794046,0.046302,0.053366,0.048526
108.5,0.021454674819089296,0.019773976345158595,0.047209,0.054389,0.049419
108.75,0.022001320815969536,0.020284626810323354,0.048088,0.055392,0.050268
109.0,0.022558240640362152,0.020805072864345717,0.048969,0.056335,0.051196
109.25,0.023125536202166896,0.021335416707916922,0.049939,0.057292,0.052117
109.5,0.02370330852487992,0.021875759801829067,0.050819,0.058262,0.053067
109.75,0.02429165770725995,0.022426202829549664,0.05178,0.059287,0.054032
110.0,0.024890682885195525,0.02298684565992436,0.052751,0.060321,0.055
110.25,0.025500482193790232,0.023557787310025648,0.053727,0.061329,0.055992
110.5,0.026121152729690594,0.024139125908167525,0.054725,0.062388,0.056946
110.75,0.02675279051367095,0.024730958657108483,0.055711,0.063435,0.057888
111.0,0.02739549045350235,0.02533338179745753,0.0567,0.064503,0.058845
111.25,0.028049346307117338,0.02594649057130712,0.057671,0.06553,0.059894
111.5,0.028714450646095988,0.026570379186108807,0.058678,0.06662,0.060934
111.75,0.029390894819489012,0.027205140778811508,0.059681,0.067754,0.061925
112.0,0.030078768917997944,0.027850867380282886,0.060735,0.068823,0.062961
112.25,0.03077816173853165,0.028507649880027398,0.061784,0.069952,0.064012
112.5,0.03148916074915375,0.02917557799122612,0.062829,0.071046,0.065038
112.75,0.032211852054445426,0.029854740216108355,0.063909,0.072219,0.066068
113.0,0.03294632036129433,0.030545223811681888,0.064992,0.073369,0.06717
113.25,0.03369264894513175,0.03124711475582905,0.066108,0.074572,0.068273
113.5,0.034450919616633165,0.03196049771379502,0.067215,0.075727,0.069339
113.75,0.0352212126888982,0.03268545600507912,0.068343,0.076925,0.070432
114.0,0.036003606945129114,0.033422071570748,0.06951,0.078073,0.071554
114.25,0.03679817960681842,0.03417042494118817,0.0707,0.079368,0.072747
114.5,0.03760500630246872,0.03493059520430982,0.071867,0.080583,0.073893
114.75,0.038424161036852734,0.035702659974222554,0.073031,0.081873,0.075035
115.0,0.03925571616083339,0.036486695360393145,0.074202,0.083038,0.076225
115.25,0.04009974234175488,0.0372827759373073,0.075401,0.08428,0.077345
115.5,0.040956308534422406,0.03809097471463931,0.076674,0.085523,0.078541
115.75,0.041825481952680876,0.03891136310795675,0.077872,0.086788,0.079808
116.0,0.04270732804160729,0.039744010909962435,0.079066,0.08809,0.08103
116.25,0.04360191045033114,0.04058898626229523,0.080303,0.089387,0.082262
116.5,0.04450929100549152,0.04144635562789901,0.081495,0.090645,0.083439
116.75,0.045429529685347636,0.04231618376397245,0.082762,0.091884,0.084675
117.0,0.046362684594551486,0.04319853369551353,0.084029,0.093165,0.085906
117.25,0.04730881193959247,0.04409346668947264,0.085325,0.094497,0.087166
117.5,0.048267966004931113,0.04500104222951819,0.086634,0.095843,0.088446
117.75,0.04924019912982311,0.045921317991436054,0.087977,0.097234,0.089718
118.0,0.05022556168585388,0.046854349819167335,0.089258,0.098605,0.090958
118.25,0.05122410205518337,0.04780019170149592,0.090563,0.099951,0.092217
118.5,0.052235866609519684,0.04875889574939682,0.091908,0.101385,0.093473
118.75,0.053260899689822935,0.049730512174055844,0.093241,0.102787,0.094788
119.0,0.0542992435867527,0.050715089265566296,0.094659,0.10419,0.096124
119.25,0.0553509385218631,0.051712673372318566,0.096021,0.105688,0.097509
119.5,0.0564160226295594,0.05272330888108234,0.097408,0.107112,0.098853
119.75,0.05749453193981652,0.0537470381977972,0.098828,0.108566,0.100194
120.0,0.058586500361671415,0.0547839017290757,0.100182,0.109981,0.101605
120.25,0.059691959667496235,0.055833937864427544,0.101614,0.111483,0.102977
120.5,0.060810939478053716,0.05689718295921286,0.103053,0.113021,0.104401
120.75,0.061943467248348774,0.05797367131832949,0.104505,0.114501,0.105858
121.0,0.06308956825427463,0.05906343518064346,0.105996,0.116025,0.107289
121.25,0.06424926558006722,0.06016650470416679,0.107469,0.117488,0.108701
121.5,0.06542258010656592,0.061282907951989374,0.108923,0.119035,0.110117
121.75,0.06660953050029121,0.06241267087897447,0.110431,0.120535,0.111582
122.0,0.06781013320334228,0.06355581731921542,0.11192,0.121988,0.11311
122.25,0.06902440242412021,0.06471236897426787,0.113434,0.123564,0.114569
122.5,0.07025235012888494,0.06588234540215628,0.114967,0.125082,0.116062
122.75,0.07149398603414402,0.06706576400716342,0.116497,0.126663,0.117516
123.0,0.07274931759988858,0.06826264003040704,0.118038,0.128201,0.119055
123.25,0.07401835002367022,0.06947298654120851,0.119618,0.12977,0.120534
123.5,0.07530108623553505,0.0706968144292575,0.121176,0.131355,0.12197
123.75,0.076597526893812,0.07193413239758088,0.122763,0.132926,0.123523
124.0,0.07790767038177047,0.07318494695631379,0.124318,0.134487,0.125025
124.25,0.0792315128051397,0.07444926241729043,0.125916,0.136098,0.126579
124.5,0.08056904799051341,0.0757270808894425,0.127503,0.137722,0.128105
124.75,0.0819202674846327,0.07701840227502978,0.129175,0.139315,0.129645
125.0,0.08328516055456024,0.07832322426669097,0.130836,0.140899,0.131226
125.25,0.084663714188755,0.07964154234533585,0.132495,0.142516,0.132766
125.5,0.08605591309905788,0.0809733497788711,0.134165,0.14416,0.134324
125.75,0.08746173972358484,0.08231863762178011,0.135756,0.145916,0.13589
126.0,0.08888117423056072,0.0836773947155518,0.137374,0.147546,0.137513
126.25,0.09031419452308057,0.0850496076899761,0.139072,0.149277,0.139075
126.5,0.09176077624482888,0.08643526096531047,0.140776,0.150913,0.140636
126.75,0.09322089278676089,0.08783433675531963,0.142468,0.152639,0.142242
127.0,0.0946945152947621,0.08924681507121869,0.144186,0.154381,0.143889
127.25,0.09618161267830487,0.09067267372650151,0.145886,0.156177,0.145574
127.5,0.09768215162011601,0.09211188834269723,0.147526,0.15788,0.14718
127.75,0.09919609658687113,0.09356443235604181,0.149271,0.159621,0.148879
128.0,0.10072340984095081,0.09503027702509423,0.151004,0.161416,0.150524
128.25,0.10226405145325793,0.09650939143930924,0.152707,0.163127,0.152195
128.5,0.10381797931714076,0.09800174252857893,0.154478,0.164875,0.153908
128.75,0.10538514916343411,0.0995072950737689,0.156218,0.166655,0.155683
129.0,0.10696551457665693,0.1010260117182577,0.158008,0.168448,0.157427
129.25,0.10855902701238623,0.10255785298051766,0.159758,0.17028,0.159101
129.5,0.11016563581584753,0.1041027772677408,0.16158,0.172073,0.160846
129.75,0.11178528824174978,0.10566074089055101,0.16331,0.173826,0.162602
130.0,0.11341792947541458,0.10723169807881808,0.16509,0.175638,0.164322
130.25,0.1150635026552178,0.10881560099860992,0.166941,0.177459,0.166026
130.5,0.1167219488964085,0.11041239977031096,0.168754,0.179303,0.167825
130.75,0.11839320731633457,0.11202204248794045,0.170599,0.181125,0.169643
131.0,0.1200772150611312,0.11364447523970464,0.1724,0.182975,0.171376
131.25,0.12177390733391846,0.1152796421298231,0.174347,0.184748,0.173163
131.5,0.12348321742456006,0.11692748530167184,0.17622,0.186575,0.174862
131.75,0.1252050767410435,0.11858794496227779,0.178097,0.188467,0.176708
132.0,0.12693941484254062,0.12026095940822176,0.179954,0.190436,0.178537
132.25,0.128686159474205,0.12194646505298808,0.181789,0.19233,0.180341
132.5,0.1304452366037744,0.12364439645581633,0.183779,0.194231,0.182145
132.75,0.13221657046004837,0.12535468635211008,0.185676,0.196191,0.183972
133.0,0.13400008357330498,0.1270772656854545,0.187597,0.198158,0.185726
133.25,0.13579569681773493,0.12881206364130646,0.189444,0.200088,0.187572
133.5,0.13760332945596412,0.13055900768241668,0.191419,0.201954,0.189432
133.75,0.13942289918574916,0.13231802358604342,0.193402,0.203909,0.191348
134.0,0.14125432218891587,0.1340890354830381,0.195407,0.205828,0.193217
134.25,0.1430975131826296,0.1358719658988535,0.197376,0.207769,0.195185
134.5,0.14495238547308187,0.13766673579656197,0.199283,0.209724,0.197064
134.75,0.1468188510116771,0.13947326462195117,0.201225,0.211661,0.198996
135.0,0.14869682045380098,0.14129147035077255,0.203096,0.213646,0.200896
135.25,0.15058620322027083,0.1431212695382202,0.205048,0.215588,0.202774
135.5,0.15248690756154137,0.14496257737072468,0.207011,0.217582,0.204712
135.75,0.15439884062476794,0.1468153077201397,0.209014,0.219515,0.206616
136.0,0.15632190852380734,0.14867937320039976,0.211034,0.221479,0.208506
136.25,0.1582560164122414,0.15055468522674356,0.213131,0.223457,0.210416
136.5,0.16020106855952976,0.15244115407757328,0.215116,0.225348,0.212364
136.75,0.1621569684303439,0.15433868895904523,0.21721,0.227369,0.214336
137.0,0.16412361876719966,0.15624719807247037,0.21922,0.229329,0.216229
137.25,0.16610092167644117,0.15816658868461017,0.221291,0.23146,0.218205
137.5,0.16808877871767516,0.16009676720094393,0.223333,0.233584,0.220085
137.75,0.17008709099670397,0.16203763924200398,0.225342,0.235609,0.222074
138.0,0.17209575926205214,0.1639891097228388,0.227336,0.237531,0.223971
138.25,0.17411468400512276,0.16595108293569127,0.229402,0.239566,0.225931
138.5,0.17614376556406036,0.167923462635968,0.231431,0.241582,0.227887
138.75,0.17818290423135166,0.16990615213155136,0.233413,0.243693,0.229879
139.0,0.18023200036521841,0.17189905437554723,0.235425,0.245843,0.23196
139.25,0.18229095450482483,0.17390207206249803,0.237518,0.247936,0.234026
139.5,0.1843596674893249,0.1759151077281327,0.239618,0.250048,0.235975
139.75,0.18643804058076457,0.17793806385269975,0.241722,0.252147,0.237949
140.0,0.1885259755908276,0.1799708429679098,0.243928,0.254293,0.23993
140.25,0.1906233750114279,0.18201334776753592,0.245973,0.256412,0.241932
140.5,0.19273014214910386,0.18406548122167926,0.24815,0.258583,0.244046
140.75,0.1948461812631957,0.18612714669472005,0.250263,0.260597,0.246133
141.0,0.19697139770773284,0.18819824806695193,0.252323,0.262605,0.24824
141.25,0.1991056980769642,0.19027868985989155,0.254512,0.264644,0.250314
141.5,0.20124899035444985,0.19236837736524284,0.256683,0.266727,0.252359
141.75,0.20340118406560173,0.19446721677746212,0.258847,0.268835,0.254492
142.0,0.2055621904335445,0.19657511532990987,0.26096,0.270957,0.2566
142.25,0.20773192253816553,0.19869198143448372,0.263102,0.273059,0.258758
142.5,0.20991029547817477,0.20081772482467558,0.265255,0.275181,0.260732
142.75,0.21209722653599378,0.20295225670195646,0.267433,0.27726,0.262703
143.0,0.21429263534527518,0.20509548988535561,0.269578,0.279349,0.264741
143.25,0.2164964440608118,0.20724733896411585,0.271715,0.281483,0.266812
143.5,0.2187085775305835,0.20940772045327494,0.273927,0.283576,0.26886
143.75,0.22092896346968022,0.21157655295198405,0.276135,0.285754,0.270959
144.0,0.223157532635786,0.21375375730438465,0.278287,0.287918,0.273035
144.25,0.22539421900591003,0.215939256762841,0.280456,0.290078,0.275127
144.5,0.2276389599540174,0.21813297715325358,0.282587,0.29222,0.277186
144.75,0.22989169642918744,0.22033484704225834,0.284876,0.294377,0.279232
145.0,0.23215237313390438,0.22254479790597076,0.28711,0.296544,0.281354
145.25,0.23442093870206648,0.22476276430002023,0.289267,0.298707,0.283437
145.5,0.2366973458762584,0.22698868403053443,0.291488,0.300845,0.285572
145.75,0.2389815516838408,0.22922249832572117,0.293725,0.303034,0.287721
146.0,0.24127351761135218,0.23146415200769163,0.295828,0.305264,0.289845
146.25,0.24357320977671226,0.23371359366412764,0.298059,0.307412,0.291971
146.5,0.24588059909870894,0.23597077581938514,0.300277,0.309625,0.294079
146.75,0.24819566146320077,0.23823565510458256,0.302526,0.311788,0.296247
147.0,0.2505183778854699,0.24050819242624022,0.304802,0.313921,0.298341
147.25,0.2528487346681332,0.2427883531329692,0.307114,0.316137,0.30045
147.5,0.2551867235540021,0.24507610717973055,0.309357,0.318268,0.30264
147.75,0.25753234187326707,0.24737142928912975,0.311532,0.320414,0.304804
148.0,0.25988559268437994,0.2496742991092188,0.313701,0.322574,0.307003
148.25,0.26224648490796787,0.25198470136724493,0.315942,0.324762,0.309153
148.5,0.2646150334531241,0.254302626018785,0.318177,0.326987,0.31131
148.75,0.2669912593354222,0.2566280683916611,0.320391,0.329215,0.313383
149.0,0.26937518978595465,0.25896102932405235,0.32269,0.331418,0.315558
149.25,0.27176685835073716,0.2613015152961865,0.325023,0.333618,0.317697
149.5,0.27416630497978794,0.2636495385549752,0.327282,0.335863,0.319822
149.75,0.2765735761052043,0.26600511723099246,0.329474,0.338095,0.321938
150.0,0.27898872470757147,0.2683682754471131,0.331662,0.340302,0.324064
150.25,0.28141181037001206,0.2707390434182119,0.333805,0.342572,0.326298
150.5,0.2838428993192399,0.2731174575412489,0.336096,0.344837,0.328482
