id,quarter,url,document,publication_date,publication_date_basis,time_value,time_basis,access_status,retrieved_date,byte_archive_status,index_url
2024Q1_letter,2024Q1,https://www.sec.gov/Archives/edgar/data/1559720/000119312524134183/d813800dex991.htm,Airbnb 2024Q1 shareholder letter,2024-05-08,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2024-05-08T20:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2024Q2_letter,2024Q2,https://www.sec.gov/Archives/edgar/data/1559720/000119312524194849/d831385dex991.htm,Airbnb 2024Q2 shareholder letter,2024-08-06,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2024-08-06T20:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2024Q3_letter,2024Q3,https://www.sec.gov/Archives/edgar/data/1559720/000119312524253103/d886752dex991.htm,Airbnb 2024Q3 shareholder letter,2024-11-07,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2024-11-07T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2024Q4_letter,2024Q4,https://www.sec.gov/Archives/edgar/data/1559720/000119312525026054/d915198dex991.htm,Airbnb 2024Q4 shareholder letter,2025-02-13,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2025-02-13T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2025Q1_letter,2025Q1,https://www.sec.gov/Archives/edgar/data/1559720/000119312525109934/d40594dex991.htm,Airbnb 2025Q1 shareholder letter,2025-05-01,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2025-05-01T20:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2025Q2_letter,2025Q2,https://www.sec.gov/Archives/edgar/data/1559720/000119312525174438/d17531dex991.htm,Airbnb 2025Q2 shareholder letter,2025-08-06,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2025-08-06T20:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2025Q3_letter,2025Q3,https://www.sec.gov/Archives/edgar/data/1559720/000119312525269432/d40503dex991.htm,Airbnb 2025Q3 shareholder letter,2025-11-06,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2025-11-06T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2025Q4_letter,2025Q4,https://www.sec.gov/Archives/edgar/data/1559720/000119312526048670/d58192dex991.htm,Airbnb 2025Q4 shareholder letter,2026-02-12,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2026-02-12T22:00:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2026Q1_letter,2026Q1,https://www.sec.gov/Archives/edgar/data/1559720/000119312526211816/d23351dex991.htm,Airbnb 2026Q1 shareholder letter,2026-05-07,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2026-05-07T21:00:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2026Q2_letter,2026Q2,https://www.sec.gov/Archives/edgar/data/1559720/000119312526337928/d70413dex991.htm,Airbnb 2026Q2 shareholder letter,2026-08-06,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2026-08-06T21:00:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2026Q1_filing,2026Q1,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000014/abnb-20260331.htm,Airbnb 2026Q1 10-Q,2026-05-07,SEC filing index filed date independently observed,2026-05-07 16:02:26,SEC index displayed acceptance clock; timezone not printed; do not assign UTC/ET,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000014/0001559720-26-000014-index.html
2025Q2_filing,2025Q2,https://www.sec.gov/Archives/edgar/data/1559720/000155972025000025/abnb-20250630.htm,Airbnb 2025Q2 10-Q,2025-08-06,SEC filing index filed date independently observed,2025-08-06 16:09:27,SEC index displayed acceptance clock; timezone not printed; do not assign UTC/ET,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,https://www.sec.gov/Archives/edgar/data/1559720/000155972025000025/0001559720-25-000025-index.html
2025Q1_filing,2025Q1,https://www.sec.gov/Archives/edgar/data/1559720/000155972025000017/abnb-20250331.htm,Airbnb 2025Q1 10-Q,2025-05-01,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2024Q2_filing,2024Q2,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000024/abnb-20240630.htm,Airbnb 2024Q2 10-Q,2024-08-06,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2024Q1_filing,2024Q1,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000017/abnb-20240331.htm,Airbnb 2024Q1 10-Q,2024-05-08,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2024Q3_filing,2024Q3,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000032/abnb-20240930.htm,Airbnb 2024Q3 10-Q,2024-11-07,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2023Q1_filing,2023Q1,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000010/abnb-20230331.htm,Airbnb 2023Q1 10-Q,2023-05-09,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2023Q2_filing,2023Q2,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000015/abnb-20230630.htm,Airbnb 2023Q2 10-Q,2023-08-03,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2023Q3_filing,2023Q3,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000020/abnb-20230930.htm,Airbnb 2023Q3 10-Q,2023-11-01,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2025Q3_filing,2025Q3,https://www.sec.gov/Archives/edgar/data/1559720/000155972025000030/abnb-20250930.htm,Airbnb 2025Q3 10-Q,2025-11-06,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2021Q1_filing,2021Q1,https://www.sec.gov/Archives/edgar/data/1559720/000162828021010389/abnb-20210331.htm,Airbnb 2021Q1 10-Q,2021-05-14,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2021Q2_filing,2021Q2,https://www.sec.gov/Archives/edgar/data/1559720/000162828021016979/abnb-20210630.htm,Airbnb 2021Q2 10-Q,2021-08-13,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2021Q3_filing,2021Q3,https://www.sec.gov/Archives/edgar/data/1559720/000155972021000017/abnb-20210930.htm,Airbnb 2021Q3 10-Q,2021-11-05,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2022Q1_filing,2022Q1,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000009/abnb-20220331.htm,Airbnb 2022Q1 10-Q,2022-05-09,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2022Q2_filing,2022Q2,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000012/abnb-20220630.htm,Airbnb 2022Q2 10-Q,2022-08-03,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2022Q3_filing,2022Q3,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000019/abnb-20220930.htm,Airbnb 2022Q3 10-Q,2022-11-03,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2020Q4_filing,2020Q4,https://www.sec.gov/Archives/edgar/data/1559720/000155972021000010/airbnb-10k.htm,Airbnb 2020Q4 10-K,2021-02-26,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2021Q4_filing,2021Q4,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/abnb-20211231.htm,Airbnb 2021Q4 10-K,2022-02-25,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2022Q4_filing,2022Q4,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/abnb-20221231.htm,Airbnb 2022Q4 10-K,2023-02-17,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2023Q4_filing,2023Q4,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/abnb-20231231.htm,Airbnb 2023Q4 10-K,2024-02-16,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2024Q4_filing,2024Q4,https://www.sec.gov/Archives/edgar/data/1559720/000155972025000010/abnb-20241231.htm,Airbnb 2024Q4 10-K,2025-02-13,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2025Q4_filing,2025Q4,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000004/abnb-20251231.htm,Airbnb 2025Q4 10-K,2026-02-12,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,Date only; exact acceptance time unavailable; no intraday eligibility claim,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,
2020Q3_filing,2020Q3,https://www.sec.gov/Archives/edgar/data/1559720/000119312520294801/d81668ds1.htm,Airbnb 2020Q3 S-1,2020-11-16,SEC filing index filed date independently observed,2020-11-16 16:23:52,SEC index displayed acceptance clock; timezone not printed; do not assign UTC/ET,unavailable_text_index_checked,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,https://www.sec.gov/Archives/edgar/data/1559720/000119312520294801/0001193125-20-294801-index.html
2026Q2_filing,2026Q2,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000027/abnb-20260630.htm,Airbnb 2026Q2 10-Q,2026-08-06,Inherited filing calendar / filing metadata; exact SEC index not independently checked unless stated,,SEC index retrieval failed; inherited filing date only; signature/cover date is not acceptance proof,checked_primary_text,2026-09-14,Current primary URL reviewed; no historical byte archive asserted,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000027/0001559720-26-000027-index.html
