transcript_id,ticker,fiscal_period,event_date,event_at,corrected_transcript_created_at,pdf_creation_at,published_at,retrieved_at_utc,indexed_at_utc,point_in_time_usable_after,availability_status,source_provider,source_filename,source_sha256,transcript_status,license_status,page_count,word_count,markdown_path
ABNB-2023Q2,ABNB,2023Q2,2023-08-03,,,2023-08-04T14:48:55Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,Airbnb-Q2-23-Earnings-Call-Transcript.pdf,59ab0ac1f38165822f5a4a26cbe4197b6dc583017a2e9fc510b5f4322a8b09a0,corrected,user_provided_restricted,18,9325,data/licensed/earnings_transcripts/clean_md/ABNB-2023Q2.md
ABNB-2023Q3,ABNB,2023Q3,2023-11-01,,,2023-11-02T00:04:26Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,Airbnb-Q3-23-Earnings-Call-Transcript.pdf,7d9717cc6c43d557ea61e47d3adfe9a6b167f9d9714ec6d80f0c89d048f923a5,corrected,user_provided_restricted,22,10491,data/licensed/earnings_transcripts/clean_md/ABNB-2023Q3.md
ABNB-2023Q4,ABNB,2023Q4,2024-02-13,,,2024-02-14T11:31:37Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,Airbnb-Q4-23-Earnings-Call-Transcript.pdf,6c9b5acea34103e4a094cad9f516ff24e5c922fae72a4ccadd105bfbc6fa481a,corrected,user_provided_restricted,20,10161,data/licensed/earnings_transcripts/clean_md/ABNB-2023Q4.md
ABNB-2024Q1,ABNB,2024Q1,2024-05-08,,,2024-05-09T02:02:38Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,Airbnb-Q1-24-Earnings-Call-Transcript.pdf,be605bca3b0bd3a524daeef2f9b7f784093031f6eedc4e820e2568fba8e5d2a7,corrected,user_provided_restricted,22,10401,data/licensed/earnings_transcripts/clean_md/ABNB-2024Q1.md
ABNB-2024Q2,ABNB,2024Q2,2024-08-06,,,2024-08-07T03:01:55Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,Airbnb-Q2-24-Earnings-Call-Transcript.pdf,b6f6548b169379cac3fc98d638c687b85ced2ac88128370dec72eee0945d13bc,corrected,user_provided_restricted,19,10369,data/licensed/earnings_transcripts/clean_md/ABNB-2024Q2.md
ABNB-2024Q3,ABNB,2024Q3,2024-11-07,,,2024-11-08T18:11:35Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,Airbnb-Q3-24-Earnings-Call-Transcript-1.pdf,792db6a8a860717f4bd89c288297e4304910af49138fbf83c7f59d238ccc8ae6,corrected,user_provided_restricted,20,9782,data/licensed/earnings_transcripts/clean_md/ABNB-2024Q3.md
ABNB-2024Q4,ABNB,2024Q4,2025-02-13,,,2025-02-14T02:54:10Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,Airbnb-Q4-24-Earnings-Call-Transcript.pdf,f5a896454f8bb9f20884cd5b57d1fa0dade521ce5cc4c6487ce2e1123891c9ea,corrected,user_provided_restricted,20,10778,data/licensed/earnings_transcripts/clean_md/ABNB-2024Q4.md
ABNB-2025Q1,ABNB,2025Q1,2025-05-01,,,2025-05-02T02:12:23Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,Airbnb-Q1-25-Earnings-Call-Transcript.pdf,3bfd5fc7563a940b38d97c966dad146c8e7c43595b49dac1794f68823d654306,corrected,user_provided_restricted,19,9500,data/licensed/earnings_transcripts/clean_md/ABNB-2025Q1.md
ABNB-2025Q2,ABNB,2025Q2,2025-08-06,,,2025-08-07T02:59:42Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,Airbnb-Q2-25-Earnings-Call-Transcript.pdf,9f7631b36c24fbb8daa083bea489449b26e19a19036cfa0c1409bc82cfaebb2d,corrected,user_provided_restricted,23,11581,data/licensed/earnings_transcripts/clean_md/ABNB-2025Q2.md
ABNB-2025Q3,ABNB,2025Q3,2025-11-06,,,2025-11-07T22:55:43Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,CORRECTED-TRANSCRIPT_-Airbnb-Inc-ABNB-US-Q3-2025-Earnings-Call-6-November-2025-5_00-PM-ET.pdf,4ec6ed6ebef37899a6760355e2fcc2e26e09a29c7d629a4269a9ee96ccdf44a7,corrected,user_provided_restricted,21,11126,data/licensed/earnings_transcripts/clean_md/ABNB-2025Q3.md
ABNB-2025Q4,ABNB,2025Q4,2026-02-12,,,2026-02-13T07:22:30Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,Airbnb-Q4-25-Earnings-Call-Transcript.pdf,f50899a06ec0912e48898517dda0092bfc70ff91ae04e72b334cbcb7a6af9993,corrected,user_provided_restricted,20,10347,data/licensed/earnings_transcripts/clean_md/ABNB-2025Q4.md
ABNB-2026Q1,ABNB,2026Q1,2026-05-07,,,2026-05-08T02:03:23Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,Airbnb-Q1-26-Earnings-Call-Transcript.pdf,16c99fe319f43990aec163fdc0d2bf113a2a7bb510c07b6d6996b66f75a96b6d,corrected,user_provided_restricted,20,10960,data/licensed/earnings_transcripts/clean_md/ABNB-2026Q1.md
ABNB-2026Q2,ABNB,2026Q2,2026-08-06,,,2026-08-07T03:32:31Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,Airbnb-Q2-2026-Earnings-Call-Transcript.pdf,1ee4373f67781309914972a013e6ab93d9b5a42ceb9ff9fd8d110fb2093f2d95,corrected,user_provided_restricted,21,10656,data/licensed/earnings_transcripts/clean_md/ABNB-2026Q2.md
