target_quarter,booking_quarter,lag,kernel_coefficient,gbv_musd,weighted_gbv_musd,revenue_contribution_musd,gbv_kind,information_date,source_ref,usd_baseline_contribution_weight,reference_currency_weight_status,scenario,conversion_status
2027Q1,2026Q4,1,0.666666666666667,22925.292,15283.528,1945.21811211908,forecast,2026-09-11,data/processed/adrv3/P/adr_card_v3.csv;data/processed/adrv3/P/P1_card_v3_terms.csv,0.638440199481546,pending L3; USD contribution is not a constant-FX currency weight,review_without_k,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2027Q1,2026Q3,2,0.333333333333333,25965.984,8655.328,1101.61088407934,forecast,2026-09-11,data/processed/adrv3/P/adr_card_v3.csv;data/processed/adrv3/P/P1_card_v3_terms.csv,0.361559800518454,pending L3; USD contribution is not a constant-FX currency weight,review_without_k,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q3,2026Q2,1,0.666666666666667,27200,18133.3333333333,3128.88688235011,reported,2026-08-06,data/processed/overnight/02_kpi_panel_quarterly.csv,0.650717703349282,pending L3; USD contribution is not a constant-FX currency weight,nights_case_a,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q3,2026Q1,2,0.333333333333333,29200,9733.33333333333,1679.47604714381,reported,2026-05-07,data/processed/overnight/02_kpi_panel_quarterly.csv,0.349282296650718,pending L3; USD contribution is not a constant-FX currency weight,nights_case_a,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q4,2026Q3,1,0.666666666666667,26008.556,17339.0373333333,2087.68371853174,forecast,2026-09-11,data/processed/adrv3/P/adr_card_v3.csv;data/processed/adrv3/P/P1_card_v3_terms.csv,0.656639843169239,pending L3; USD contribution is not a constant-FX currency weight,nights_case_a,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q4,2026Q2,2,0.333333333333333,27200,9066.66666666667,1091.65993575467,reported,2026-08-06,data/processed/overnight/02_kpi_panel_quarterly.csv,0.343360156830762,pending L3; USD contribution is not a constant-FX currency weight,nights_case_a,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2027Q1,2026Q4,1,0.666666666666667,23165.439,15443.626,1965.59465929549,forecast,2026-09-11,data/processed/adrv3/P/adr_card_v3.csv;data/processed/adrv3/P/P1_card_v3_terms.csv,0.640465033221023,pending L3; USD contribution is not a constant-FX currency weight,nights_case_a,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2027Q1,2026Q3,2,0.333333333333333,26008.556,8669.51866666667,1103.41700775858,forecast,2026-09-11,data/processed/adrv3/P/adr_card_v3.csv;data/processed/adrv3/P/P1_card_v3_terms.csv,0.359534966778977,pending L3; USD contribution is not a constant-FX currency weight,nights_case_a,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q3,2026Q2,1,0.666666666666667,27200,18133.3333333333,3128.88688235011,reported,2026-08-06,data/processed/overnight/02_kpi_panel_quarterly.csv,0.650717703349282,pending L3; USD contribution is not a constant-FX currency weight,adr_mean_reversion,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q3,2026Q1,2,0.333333333333333,29200,9733.33333333333,1679.47604714381,reported,2026-05-07,data/processed/overnight/02_kpi_panel_quarterly.csv,0.349282296650718,pending L3; USD contribution is not a constant-FX currency weight,adr_mean_reversion,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q4,2026Q3,1,0.666666666666667,25392.1608636984,16928.1072424656,2038.20622773067,forecast,2026-09-11,data/processed/adrv3/P/adr_card_v3.csv;data/processed/adrv3/P/P1_card_v3_terms.csv,0.651211943663743,pending L3; USD contribution is not a constant-FX currency weight,adr_mean_reversion,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q4,2026Q2,2,0.333333333333333,27200,9066.66666666667,1091.65993575467,reported,2026-08-06,data/processed/overnight/02_kpi_panel_quarterly.csv,0.348788056336257,pending L3; USD contribution is not a constant-FX currency weight,adr_mean_reversion,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2027Q1,2026Q4,1,0.666666666666667,22467.1266240133,14978.0844160089,1906.34263835346,forecast,2026-09-11,data/processed/adrv3/P/adr_card_v3.csv;data/processed/adrv3/P/P1_card_v3_terms.csv,0.638938495806728,pending L3; USD contribution is not a constant-FX currency weight,adr_mean_reversion,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2027Q1,2026Q3,2,0.333333333333333,25392.1608636984,8464.05362123278,1077.26634884099,forecast,2026-09-11,data/processed/adrv3/P/adr_card_v3.csv;data/processed/adrv3/P/P1_card_v3_terms.csv,0.361061504193272,pending L3; USD contribution is not a constant-FX currency weight,adr_mean_reversion,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q3,2026Q2,1,0.666666666666667,27200,18133.3333333333,3128.88688235011,reported,2026-08-06,data/processed/overnight/02_kpi_panel_quarterly.csv,0.650717703349282,pending L3; USD contribution is not a constant-FX currency weight,k0_conditional,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q3,2026Q1,2,0.333333333333333,29200,9733.33333333333,1679.47604714381,reported,2026-05-07,data/processed/overnight/02_kpi_panel_quarterly.csv,0.349282296650718,pending L3; USD contribution is not a constant-FX currency weight,k0_conditional,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q4,2026Q3,1,0.666666666666667,26449.9723221329,17633.3148814219,2123.11581513914,forecast,2026-09-12,analysis/src/forecast_methods/kernel_engine_v2/engine.py::term_structure,0.660424234738254,pending L3; USD contribution is not a constant-FX currency weight,k0_conditional,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q4,2026Q2,2,0.333333333333333,27200,9066.66666666667,1091.65993575467,reported,2026-08-06,data/processed/overnight/02_kpi_panel_quarterly.csv,0.339575765261746,pending L3; USD contribution is not a constant-FX currency weight,k0_conditional,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2027Q1,2026Q4,1,0.666666666666667,23562.4207585812,15708.2805057208,1999.27868421317,forecast,2026-09-12,analysis/src/forecast_methods/kernel_engine_v2/engine.py::term_structure,0.640502354788069,pending L3; USD contribution is not a constant-FX currency weight,k0_conditional,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2027Q1,2026Q3,2,0.333333333333333,26449.9723221329,8816.65744071095,1122.14416344318,forecast,2026-09-12,analysis/src/forecast_methods/kernel_engine_v2/engine.py::term_structure,0.359497645211931,pending L3; USD contribution is not a constant-FX currency weight,k0_conditional,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
