feature,target,window,x_3q26,pred_3q26,naive_3q26,note,insample_resid_sd,wf_ratio_vs_naive,wf_n,knowable
ntto_overseas_qtd1m,nights_m_yoy_pct,2022Q1..2026Q2,-7.022403187473792,9.181183443546958,10.342,in-sample fit on full window,1.7729947480235821,0.9025240587839365,11.0,yes (Sep prelim mid-Oct 2026)
es_hotel_travellers_full,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
es_frontur_visitors_full,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
tsa_qtd72,nights_m_yoy_pct,2023Q1..2026Q2,-2.6505882405362446,7.454974740112368,10.342,in-sample fit on full window,1.6056298210684612,0.9235746245505312,10.0,"yes (daily, zero lag)"
es_hotel_nights_full,revenue_musd_yoy_pct,2023Q1..2026Q2,,,16.537,feature not observable for 2026Q3,,,,
eu_platform_nights_full,revenue_musd_yoy_pct,2023Q1..2026Q2,,,16.537,feature not observable for 2026Q3,,,,
expe_nights_full,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
es_hotel_nights_foreign_full,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
hlt_revpar_full,nights_m_yoy_pct,2022Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
cpi_lodging_sa_qtd,nights_m_yoy_pct,2023Q1..2026Q2,3.0028936626870895,11.908707654000793,10.342,in-sample fit on full window,1.9915303467652035,0.9557787919030644,9.0,yes (Sep CPI 13 Oct 2026)
es_hotel_nights_foreign_full,revenue_musd_yoy_pct,2023Q1..2026Q2,,,16.537,feature not observable for 2026Q3,,,,
cpi_lodging_nsa_full,gbv_musd_yoy_pct,2023Q1..2026Q2,,,15.745,feature not observable for 2026Q3,,,,
cpi_lodging_nsa_qtd,nights_m_yoy_pct,2023Q1..2026Q2,3.111520086060504,11.960547724816537,10.342,in-sample fit on full window,1.9952224366118885,0.9759949496469468,9.0,yes (Sep CPI 13 Oct 2026)
cpi_lodging_sa_full,gbv_musd_yoy_pct,2023Q1..2026Q2,,,15.745,feature not observable for 2026Q3,,,,
tsa_full,nights_m_yoy_pct,2022Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
hlt_revpar_lag1,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
ntto_total_full,revenue_musd_yoy_pct,2023Q1..2026Q2,,,16.537,feature not observable for 2026Q3,,,,
ntto_overseas_full,revenue_musd_yoy_pct,2023Q1..2026Q2,,,16.537,feature not observable for 2026Q3,,,,
ntto_total_full,revenue_musd_yoy_pct,2022Q1..2026Q2,,,16.537,feature not observable for 2026Q3,,,,
mar_revpar_lag1,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
tsa_full,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
es_hotel_nights_full,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
hlt_revpar_full,revenue_musd_yoy_pct,2023Q1..2026Q2,,,16.537,feature not observable for 2026Q3,,,,
bkng_nights_lag1,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
cpi_lodging_nsa_full,revenue_musd_yoy_pct,2023Q1..2026Q2,,,16.537,feature not observable for 2026Q3,,,,
cpi_lodging_sa_full,revenue_musd_yoy_pct,2023Q1..2026Q2,,,16.537,feature not observable for 2026Q3,,,,
es_frontur_tourists_full,revenue_musd_yoy_pct,2023Q1..2026Q2,,,16.537,feature not observable for 2026Q3,,,,
ntto_overseas_qtd1m,revenue_musd_yoy_pct,2022Q1..2026Q2,-7.022403187473792,12.669072064463547,16.537,in-sample fit on full window,3.41778258357922,0.995036063585327,11.0,yes (Sep prelim mid-Oct 2026)
hlt_revpar_lag1,revenue_musd_yoy_pct,2023Q1..2026Q2,,,16.537,feature not observable for 2026Q3,,,,
ntto_total_qtd1m,revenue_musd_yoy_pct,2023Q1..2026Q2,,,16.537,feature not observable for 2026Q3,,,,
tsa_qtd72,nights_m_yoy_pct,2022Q1..2026Q2,-2.6505882405362446,6.753002886433512,10.342,in-sample fit on full window,3.233663858904933,0.9960589191802018,14.0,"yes (daily, zero lag)"
tsa_qtd72,revenue_musd_yoy_pct,2023Q1..2026Q2,-2.6505882405362446,10.840532176261572,16.537,in-sample fit on full window,3.473995368375854,0.9974191931023418,10.0,"yes (daily, zero lag)"
ntto_overseas_full,revenue_musd_yoy_pct,2022Q1..2026Q2,,,16.537,feature not observable for 2026Q3,,,,
