feature,target,window,n,wf_n,pearson_r,perm_p,wf_ratio_vs_naive,wf_ratio_vs_ar1,wf_sign_acc,knowable_before_print
es_hotel_nights_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.8062230474984003,0.017,0.8843749336987866,0.8396111124136746,0.5,tight (INE Sep release ~3 Nov 2026)
es_hotel_travellers_full,revenue_musd_yoy_pct,2023Q1..2026Q2,14,10,0.7018039668737346,0.005,0.9014059831634291,0.8855970771589983,0.9,tight (INE Sep release ~3 Nov 2026)
es_frontur_visitors_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.8018249482668004,0.011,0.9024547681353938,0.8567758118246883,0.5,tight (INE Sep release ~3 Nov 2026)
ntto_overseas_qtd1m,nights_m_yoy_pct,2022Q1..2026Q2,15,11,0.8902001223903584,0.0,0.9025240587839365,0.6106594539642131,0.6363636363636364,yes (Sep prelim mid-Oct 2026)
es_hotel_travellers_full,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.7993673837608322,0.008,0.9110563260594351,0.8649419903784946,0.4,tight (INE Sep release ~3 Nov 2026)
es_frontur_visitors_full,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.8104085216479324,0.003,0.9208180107398877,0.8742095743197394,0.5,tight (INE Sep release ~3 Nov 2026)
tsa_qtd72,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.8486549217296401,0.0,0.9235746245505312,0.8768266584317566,0.6,"yes (daily, zero lag)"
es_hotel_nights_full,revenue_musd_yoy_pct,2023Q1..2026Q2,14,10,0.6752460469520932,0.006,0.9285341842567671,0.9122495024208415,0.9,tight (INE Sep release ~3 Nov 2026)
eu_platform_nights_full,revenue_musd_yoy_pct,2023Q1..2026Q2,13,9,0.6769436323610756,0.012,0.9315203784253928,0.9134582380968767,0.7777777777777778,no (Eurostat runs ~5 months behind)
expe_nights_full,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.8168087646926588,0.006,0.9358520083157518,0.8884826059805339,0.6,"yes (EXPE reports ~6 Nov, AFTER the print in some years)"
es_hotel_nights_foreign_full,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.7940710048883373,0.009,0.9394750508590489,0.891922263374912,0.5,tight (INE Sep release ~3 Nov 2026)
hlt_revpar_full,nights_m_yoy_pct,2022Q1..2026Q2,18,14,0.9459028983040063,0.0,0.9422127324282679,0.6821714061532537,0.7142857142857143,yes (HLT reports late Oct 2026)
cpi_lodging_sa_qtd,nights_m_yoy_pct,2023Q1..2026Q2,13,9,0.7767891892881119,0.001,0.9557787919030644,0.8978441332845681,0.7777777777777778,yes (Sep CPI 13 Oct 2026)
es_hotel_nights_foreign_full,revenue_musd_yoy_pct,2023Q1..2026Q2,14,10,0.6463941408687157,0.01,0.957816501585638,0.9410182649132786,0.9,tight (INE Sep release ~3 Nov 2026)
cpi_lodging_nsa_full,gbv_musd_yoy_pct,2023Q1..2026Q2,13,9,0.5514390544886916,0.047,0.9747413894698936,0.8824261576000352,0.6666666666666666,yes (Sep CPI 13 Oct 2026)
cpi_lodging_nsa_qtd,nights_m_yoy_pct,2023Q1..2026Q2,13,9,0.7758412058410218,0.001,0.9759949496469468,0.9168348859374489,0.7777777777777778,yes (Sep CPI 13 Oct 2026)
cpi_lodging_sa_full,gbv_musd_yoy_pct,2023Q1..2026Q2,13,9,0.5477158897295762,0.048,0.9760052965278848,0.883570363294792,0.6666666666666666,yes (Sep CPI 13 Oct 2026)
tsa_full,nights_m_yoy_pct,2022Q1..2026Q2,18,14,0.9717685327378673,0.0,0.9761608792979919,0.70675020273429,0.5,"yes (daily, zero lag)"
hlt_revpar_lag1,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.6409618277060896,0.028,0.9765154030010973,0.9270877685030479,0.6,yes (prior quarter already printed)
ntto_total_full,revenue_musd_yoy_pct,2023Q1..2026Q2,14,10,0.6313693619914457,0.007,0.9783250839838012,0.9611671667041766,0.6,yes (Sep prelim mid-Oct 2026)
ntto_overseas_full,revenue_musd_yoy_pct,2023Q1..2026Q2,14,10,0.6286066884267137,0.006,0.9802819186744267,0.9630896823240747,0.6,yes (Sep prelim mid-Oct 2026)
ntto_total_full,revenue_musd_yoy_pct,2022Q1..2026Q2,15,11,0.738957779610564,0.0,0.9809006823019946,1.0740790781407663,0.7272727272727273,yes (Sep prelim mid-Oct 2026)
mar_revpar_lag1,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.6380044649256686,0.029,0.9809417836562233,0.9312901019752022,0.6,yes (prior quarter already printed)
tsa_full,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.8284344505824893,0.0,0.9846957499706365,0.9348540562587385,0.7,"yes (daily, zero lag)"
es_hotel_nights_full,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.7716993505024715,0.01,0.9851444500844521,0.9352800448155661,0.4,tight (INE Sep release ~3 Nov 2026)
hlt_revpar_full,revenue_musd_yoy_pct,2023Q1..2026Q2,14,10,0.608921762852021,0.012,0.9866617339839661,0.9693576080938971,0.7,yes (HLT reports late Oct 2026)
bkng_nights_lag1,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.6367911816807618,0.033,0.9868938194710299,0.9369408675285573,0.6,yes (prior quarter already printed)
cpi_lodging_nsa_full,revenue_musd_yoy_pct,2023Q1..2026Q2,13,9,0.6320952375030359,0.018,0.9888385314462587,0.9624787746881248,0.6666666666666666,yes (Sep CPI 13 Oct 2026)
cpi_lodging_sa_full,revenue_musd_yoy_pct,2023Q1..2026Q2,13,9,0.6260261803232019,0.02,0.9926120722498367,0.9661517231153585,0.6666666666666666,yes (Sep CPI 13 Oct 2026)
es_frontur_tourists_full,revenue_musd_yoy_pct,2023Q1..2026Q2,14,10,0.6142376526261278,0.012,0.9940668815975091,0.9766328838353225,0.7,tight (INE Sep release ~3 Nov 2026)
ntto_overseas_qtd1m,revenue_musd_yoy_pct,2022Q1..2026Q2,15,11,0.7338674095133491,0.0,0.995036063585327,1.0895572173366117,0.6363636363636364,yes (Sep prelim mid-Oct 2026)
hlt_revpar_lag1,revenue_musd_yoy_pct,2023Q1..2026Q2,14,10,0.6047092197908671,0.008,0.9956188812731978,0.9781576644582757,0.7,yes (prior quarter already printed)
ntto_total_qtd1m,revenue_musd_yoy_pct,2023Q1..2026Q2,14,10,0.6101373926856484,0.016,0.9960284095094203,0.9785600103665423,0.6,yes (Sep prelim mid-Oct 2026)
tsa_qtd72,nights_m_yoy_pct,2022Q1..2026Q2,18,14,0.9660467587219264,0.0,0.9960589191802018,0.721156581866058,0.5,"yes (daily, zero lag)"
tsa_qtd72,revenue_musd_yoy_pct,2023Q1..2026Q2,14,10,0.6205906680233236,0.016,0.9974191931023418,0.9799264023229496,0.7,"yes (daily, zero lag)"
ntto_overseas_full,revenue_musd_yoy_pct,2022Q1..2026Q2,15,11,0.7210860660574656,0.0,0.9990006996670909,1.0938984648703285,0.7272727272727273,yes (Sep prelim mid-Oct 2026)
