team_bridge,path,uplift_scope,ntm_revenue_musd,ntm_growth_pct,team_ntm_revenue_musd,gap_vs_team_musd,nights_uplift_vs_team_pts,implied_3q26_nights_growth_pct,implied_3q26_nights_m,implied_3q26_sign_vs_2q26,gap_to_street_bar_pts,implied_4q26_nights_growth_pct,implied_4q26_revenue_musd
"WS30 pnl bridge (3Q26 10.29 / 4Q26 9.94 / 1H27 7.95, 8.45)",team base (this bridge),uniform across the four NTM quarters,14818.354,12.61,14818.354,0.0,-0.0,10.29,147.347,flat,-1.16,9.94,3111.36
"WS30 pnl bridge (3Q26 10.29 / 4Q26 9.94 / 1H27 7.95, 8.45)",team base (this bridge),2H26 only (1H27 held),14818.354,12.61,14818.354,0.0,-0.0,10.29,147.347,flat,-1.16,9.94,3111.36
10 Sep pivot baseline (3Q26 9.9 / 4Q26 8.9 / 1H27 as pnl),"price-implied, guide-proxy units",uniform across the four NTM quarters,14860.473,12.93,14773.492,86.981,0.661,10.561,147.709,flat,-0.889,9.561,3100.831
10 Sep pivot baseline (3Q26 9.9 / 4Q26 8.9 / 1H27 as pnl),"price-implied, guide-proxy units",2H26 only (1H27 held),14860.473,12.93,14773.492,86.981,1.266,11.166,148.517,acceleration,-0.284,10.166,3117.626
10 Sep pivot baseline (3Q26 9.9 / 4Q26 8.9 / 1H27 as pnl),"price-implied, realised units (proxy bias 1.37pp removed; unstable)",uniform across the four NTM quarters,14680.195,11.56,14773.492,-93.297,-0.709,9.191,145.879,deceleration,-2.259,8.191,3062.773
10 Sep pivot baseline (3Q26 9.9 / 4Q26 8.9 / 1H27 as pnl),"price-implied, realised units (proxy bias 1.37pp removed; unstable)",2H26 only (1H27 held),14680.195,11.56,14773.492,-93.297,-1.357,8.543,145.013,deceleration,-2.907,7.543,3044.759
10 Sep pivot baseline (3Q26 9.9 / 4Q26 8.9 / 1H27 as pnl),Street: Bloomberg 2H26 + 1H27 at Street FY27 x H1 share on the delivered FY26 base,uniform across the four NTM quarters,14875.605,13.045,14773.492,102.113,0.776,10.676,147.863,acceleration,-0.774,9.676,3104.026
10 Sep pivot baseline (3Q26 9.9 / 4Q26 8.9 / 1H27 as pnl),Street: Bloomberg 2H26 + 1H27 at Street FY27 x H1 share on the delivered FY26 base,2H26 only (1H27 held),14875.605,13.045,14773.492,102.113,1.486,11.386,148.811,acceleration,-0.064,10.386,3123.742
10 Sep pivot baseline (3Q26 9.9 / 4Q26 8.9 / 1H27 as pnl),"Street: same on the Street's own FY26 base ($14,130m)",uniform across the four NTM quarters,14925.464,13.424,14773.492,151.971,1.155,11.055,148.369,acceleration,-0.395,10.055,3114.551
10 Sep pivot baseline (3Q26 9.9 / 4Q26 8.9 / 1H27 as pnl),"Street: same on the Street's own FY26 base ($14,130m)",2H26 only (1H27 held),14925.464,13.424,14773.492,151.971,2.211,12.111,149.78,acceleration,0.661,11.111,3143.894
10 Sep pivot baseline (3Q26 9.9 / 4Q26 8.9 / 1H27 as pnl),management delivered,uniform across the four NTM quarters,15004.296,14.023,14773.492,230.804,1.754,11.654,149.17,acceleration,0.204,10.654,3131.194
10 Sep pivot baseline (3Q26 9.9 / 4Q26 8.9 / 1H27 as pnl),management delivered,2H26 only (1H27 held),15004.296,14.023,14773.492,230.804,3.358,13.258,151.313,acceleration,1.808,12.258,3175.757
10 Sep pivot baseline (3Q26 9.9 / 4Q26 8.9 / 1H27 as pnl),team base (this bridge),uniform across the four NTM quarters,14773.492,12.269,14773.492,0.0,-0.0,9.9,146.826,deceleration,-1.55,8.9,3082.469
10 Sep pivot baseline (3Q26 9.9 / 4Q26 8.9 / 1H27 as pnl),team base (this bridge),2H26 only (1H27 held),14773.492,12.269,14773.492,0.0,-0.0,9.9,146.826,deceleration,-1.55,8.9,3082.469
