table,item,variable,month,value
7060,47659,yoy12m,2020-12,-8.07
7060,47659,yoy12m,2021-01,-8.0
7060,47659,yoy12m,2021-02,-9.73
7060,47659,yoy12m,2021-03,-9.17
7060,47659,yoy12m,2021-04,-7.31
7060,47659,yoy12m,2021-05,-4.99
7060,47659,yoy12m,2021-06,-4.02
7060,47659,yoy12m,2021-07,-1.96
7060,47659,yoy12m,2021-08,0.84
7060,47659,yoy12m,2021-09,2.65
7060,47659,yoy12m,2021-10,4.44
7060,47659,yoy12m,2021-11,7.51
7060,47659,yoy12m,2021-12,9.14
7060,47659,yoy12m,2022-01,11.44
7060,47659,yoy12m,2022-02,11.99
7060,47659,yoy12m,2022-03,15.5
7060,47659,yoy12m,2022-04,17.99
7060,47659,yoy12m,2022-05,19.13
7060,47659,yoy12m,2022-06,20.09
7060,47659,yoy12m,2022-07,21.58
7060,47659,yoy12m,2022-08,22.19
7060,47659,yoy12m,2022-09,24.07
7060,47659,yoy12m,2022-10,22.39
7060,47659,yoy12m,2022-11,20.55
7060,47659,yoy12m,2022-12,18.21
7060,47659,yoy12m,2023-01,17.25
7060,47659,yoy12m,2023-02,17.95
7060,47659,yoy12m,2023-03,19.04
7060,47659,yoy12m,2023-04,17.34
7060,47659,yoy12m,2023-05,15.77
7060,47659,yoy12m,2023-06,15.74
7060,47659,yoy12m,2023-07,14.17
7060,47659,yoy12m,2023-08,13.83
7060,47659,yoy12m,2023-09,11.94
7060,47659,yoy12m,2023-10,11.47
7060,47659,yoy12m,2023-11,12.73
7060,47659,yoy12m,2023-12,11.56
7060,47659,yoy12m,2024-01,10.86
7060,47659,yoy12m,2024-02,9.43
7060,47659,yoy12m,2024-03,7.41
7060,47659,yoy12m,2024-04,8.1
7060,47659,yoy12m,2024-05,8.16
7060,47659,yoy12m,2024-06,8.47
7060,47659,yoy12m,2024-07,8.23
7060,47659,yoy12m,2024-08,9.02
7060,47659,yoy12m,2024-09,8.75
7060,47659,yoy12m,2024-10,8.24
7060,47659,yoy12m,2024-11,8.27
7060,47659,yoy12m,2024-12,8.38
7060,47659,yoy12m,2025-01,10.05
7060,47659,yoy12m,2025-02,11.04
7060,47659,yoy12m,2025-03,11.5
7060,47659,yoy12m,2025-04,11.58
7060,47659,yoy12m,2025-05,11.28
7060,47659,yoy12m,2025-06,9.75
7060,47659,yoy12m,2025-07,8.92
7060,47659,yoy12m,2025-08,8.82
7060,47659,yoy12m,2025-09,9.74
7060,47659,yoy12m,2025-10,10.33
7060,47659,yoy12m,2025-11,12.37
7060,47659,yoy12m,2025-12,9.61
7060,47659,yoy12m,2026-01,7.93
7060,47659,yoy12m,2026-02,7.6
7060,47659,yoy12m,2026-03,8.12
7060,47659,yoy12m,2026-04,6.49
7060,47659,yoy12m,2026-05,7.07
7060,47659,yoy12m,2026-06,6.39
7060,47659,yoy12m,2026-07,7.07
7060,47659,yoy12m,2026-08,5.56
1419,7753,mom,2012-01,4.01
1419,7753,mom,2012-02,1.05
1419,7753,mom,2012-03,-0.2
1419,7753,mom,2012-04,1.63
1419,7753,mom,2012-05,-0.25
1419,7753,mom,2012-06,0.42
1419,7753,mom,2012-07,1.28
1419,7753,mom,2012-08,0.33
1419,7753,mom,2012-09,0.5
1419,7753,mom,2012-10,0.22
1419,7753,mom,2012-11,-0.39
1419,7753,mom,2012-12,0.48
1419,7753,mom,2013-01,1.9
1419,7753,mom,2013-02,0.6
1419,7753,mom,2013-03,0.97
1419,7753,mom,2013-04,1.26
1419,7753,mom,2013-05,1.43
1419,7753,mom,2013-06,0.76
1419,7753,mom,2013-07,0.95
1419,7753,mom,2013-08,1.23
1419,7753,mom,2013-09,-0.1
1419,7753,mom,2013-10,2.78
1419,7753,mom,2013-11,-0.81
1419,7753,mom,2013-12,-0.61
1419,7753,mom,2014-01,0.9
1419,7753,mom,2014-02,1.37
1419,7753,mom,2014-03,3.01
1419,7753,mom,2014-04,0.4
1419,7753,mom,2014-05,0.87
1419,7753,mom,2014-06,25.33
1419,7753,mom,2014-07,-7.65
1419,7753,mom,2014-08,-10.13
1419,7753,mom,2014-09,0.81
1419,7753,mom,2014-10,-0.62
1419,7753,mom,2014-11,0.7
1419,7753,mom,2014-12,-1.38
1419,7753,mom,2015-01,0.47
1419,7753,mom,2015-02,-0.86
1419,7753,mom,2015-03,-0.25
1419,7753,mom,2015-04,-0.94
1419,7753,mom,2015-05,-0.03
1419,7753,mom,2015-06,-0.77
1419,7753,mom,2015-07,0.13
1419,7753,mom,2015-08,1.15
1419,7753,mom,2015-09,-1.94
1419,7753,mom,2015-10,-1.07
1419,7753,mom,2015-11,0.72
1419,7753,mom,2015-12,-0.09
1419,7753,mom,2016-01,1.46
1419,7753,mom,2016-02,-1.28
1419,7753,mom,2016-03,0.1
1419,7753,mom,2016-04,-0.43
1419,7753,mom,2016-05,-0.98
1419,7753,mom,2016-06,-1.43
1419,7753,mom,2016-07,-0.23
1419,7753,mom,2016-08,11.58
1419,7753,mom,2016-09,-6.53
1419,7753,mom,2016-10,-5.63
1419,7753,mom,2016-11,-1.63
1419,7753,mom,2016-12,-0.38
1419,7753,mom,2017-01,1.04
1419,7753,mom,2017-02,-0.9
1419,7753,mom,2017-03,0.34
1419,7753,mom,2017-04,0.12
1419,7753,mom,2017-05,-1.03
1419,7753,mom,2017-06,-0.05
1419,7753,mom,2017-07,-0.27
1419,7753,mom,2017-08,-0.35
1419,7753,mom,2017-09,0.22
1419,7753,mom,2017-10,-0.63
1419,7753,mom,2017-11,-0.29
1419,7753,mom,2017-12,-0.47
1419,7753,mom,2018-01,0.77
1419,7753,mom,2018-02,0.24
1419,7753,mom,2018-03,-0.19
1419,7753,mom,2018-04,0.27
1419,7753,mom,2018-05,-0.86
1419,7753,mom,2018-06,0.0
1419,7753,mom,2018-07,0.07
1419,7753,mom,2018-08,0.39
1419,7753,mom,2018-09,0.22
1419,7753,mom,2018-10,-0.21
1419,7753,mom,2018-11,1.87
1419,7753,mom,2018-12,-0.98
1419,7753,mom,2019-01,1.06
1419,7753,mom,2019-02,-0.33
1419,7753,mom,2019-03,1.81
1419,7753,mom,2019-04,-1.19
1419,7753,mom,2019-05,0.29
1419,7753,mom,2019-06,-0.37
1419,7753,mom,2019-07,1.47
1419,7753,mom,2019-08,1.02
1419,7753,mom,2019-09,-0.26
1419,7753,mom,2019-10,0.23
1419,7753,mom,2019-11,0.44
1419,7753,mom,2019-12,-1.16
1419,7753,yoy12m,2012-12,9.39
1419,7753,yoy12m,2013-01,7.17
1419,7753,yoy12m,2013-02,6.7
1419,7753,yoy12m,2013-03,7.95
1419,7753,yoy12m,2013-04,7.56
1419,7753,yoy12m,2013-05,9.37
1419,7753,yoy12m,2013-06,9.74
1419,7753,yoy12m,2013-07,9.38
1419,7753,yoy12m,2013-08,10.36
1419,7753,yoy12m,2013-09,9.7
1419,7753,yoy12m,2013-10,12.5
1419,7753,yoy12m,2013-11,12.02
1419,7753,yoy12m,2013-12,10.81
1419,7753,yoy12m,2014-01,9.72
1419,7753,yoy12m,2014-02,10.57
1419,7753,yoy12m,2014-03,12.8
1419,7753,yoy12m,2014-04,11.84
1419,7753,yoy12m,2014-05,11.22
1419,7753,yoy12m,2014-06,38.34
1419,7753,yoy12m,2014-07,26.56
1419,7753,yoy12m,2014-08,12.36
1419,7753,yoy12m,2014-09,13.38
1419,7753,yoy12m,2014-10,9.63
1419,7753,yoy12m,2014-11,11.29
1419,7753,yoy12m,2014-12,10.42
1419,7753,yoy12m,2015-01,9.96
1419,7753,yoy12m,2015-02,7.54
1419,7753,yoy12m,2015-03,4.13
1419,7753,yoy12m,2015-04,2.75
1419,7753,yoy12m,2015-05,1.83
1419,7753,yoy12m,2015-06,-19.37
1419,7753,yoy12m,2015-07,-12.58
1419,7753,yoy12m,2015-08,-1.6
1419,7753,yoy12m,2015-09,-4.29
1419,7753,yoy12m,2015-10,-4.72
1419,7753,yoy12m,2015-11,-4.7
1419,7753,yoy12m,2015-12,-3.46
1419,7753,yoy12m,2016-01,-2.51
1419,7753,yoy12m,2016-02,-2.92
1419,7753,yoy12m,2016-03,-2.58
1419,7753,yoy12m,2016-04,-2.08
1419,7753,yoy12m,2016-05,-3.02
1419,7753,yoy12m,2016-06,-3.67
1419,7753,yoy12m,2016-07,-4.02
1419,7753,yoy12m,2016-08,5.87
1419,7753,yoy12m,2016-09,0.92
1419,7753,yoy12m,2016-10,-3.73
1419,7753,yoy12m,2016-11,-5.98
1419,7753,yoy12m,2016-12,-6.25
1419,7753,yoy12m,2017-01,-6.64
1419,7753,yoy12m,2017-02,-6.28
1419,7753,yoy12m,2017-03,-6.06
1419,7753,yoy12m,2017-04,-5.54
1419,7753,yoy12m,2017-05,-5.58
1419,7753,yoy12m,2017-06,-4.25
1419,7753,yoy12m,2017-07,-4.29
1419,7753,yoy12m,2017-08,-14.52
1419,7753,yoy12m,2017-09,-8.35
1419,7753,yoy12m,2017-10,-3.49
1419,7753,yoy12m,2017-11,-2.18
1419,7753,yoy12m,2017-12,-2.27
1419,7753,yoy12m,2018-01,-2.54
1419,7753,yoy12m,2018-02,-1.41
1419,7753,yoy12m,2018-03,-1.93
1419,7753,yoy12m,2018-04,-1.78
1419,7753,yoy12m,2018-05,-1.62
1419,7753,yoy12m,2018-06,-1.57
1419,7753,yoy12m,2018-07,-1.23
1419,7753,yoy12m,2018-08,-0.49
1419,7753,yoy12m,2018-09,-0.49
1419,7753,yoy12m,2018-10,-0.07
1419,7753,yoy12m,2018-11,2.1
1419,7753,yoy12m,2018-12,1.58
1419,7753,yoy12m,2019-01,1.88
1419,7753,yoy12m,2019-02,1.29
1419,7753,yoy12m,2019-03,3.32
1419,7753,yoy12m,2019-04,1.82
1419,7753,yoy12m,2019-05,3.0
1419,7753,yoy12m,2019-06,2.62
1419,7753,yoy12m,2019-07,4.06
1419,7753,yoy12m,2019-08,4.7
1419,7753,yoy12m,2019-09,4.21
1419,7753,yoy12m,2019-10,4.66
1419,7753,yoy12m,2019-11,3.2
1419,7753,yoy12m,2019-12,3.01
