Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1,Series_title_2
CPIQ.SE9096,2016.09,981.629392971246,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2016.12,1039.93610223642,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2017.03,1087.85942492013,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2017.06,1000.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2017.09,1044.72843450479,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2017.12,1064.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2018.03,1129.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2018.06,1110.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2018.09,1109.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2018.12,1168.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2019.03,1189.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2019.06,1165.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2019.09,1180.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2019.12,1232.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2020.03,1269.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2020.06,1197.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2020.09,1191.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2020.12,1324.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2021.03,1321.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2021.06,1329.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2021.09,1372.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2021.12,1386.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2022.03,1417.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2022.06,1422.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2022.09,1511.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2022.12,1582.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2023.03,1591.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2023.06,1622.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2023.09,1639.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2023.12,1650.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2024.03,1760.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2024.06,1681.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2024.09,1662.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2024.12,1718.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2025.03,1754.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2025.06,1770.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2025.09,1777.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2025.12,1838.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2026.03,1803.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2026.06,1811.0,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE909601,2017.06,1000.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2017.09,1045.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2017.12,1144.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2018.03,1187.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2018.06,1078.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2018.09,1067.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2018.12,1133.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2019.03,1219.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2019.06,1079.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2019.09,1113.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2019.12,1234.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2020.03,1286.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2020.06,1107.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2020.09,1093.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2020.12,1310.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2021.03,1297.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2021.06,1300.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2021.09,1354.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2021.12,1366.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2022.03,1404.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2022.06,1390.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2022.09,1542.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2022.12,1678.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2023.03,1820.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2023.06,1614.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2023.09,1707.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2023.12,1819.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2024.03,1931.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2024.06,1612.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2024.09,1554.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2024.12,1655.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2025.03,1665.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2025.06,1511.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2025.09,1533.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2025.12,1665.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2026.03,1749.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909601,2026.06,1539.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Domestic accommodation services,
CPIQ.SE909602,2017.06,1000.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2017.09,1000.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2017.12,968.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2018.03,1044.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2018.06,1081.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2018.09,1086.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2018.12,1139.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2019.03,1120.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2019.06,1165.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2019.09,1168.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2019.12,1177.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2020.03,1204.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2020.06,1198.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2020.09,1205.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2020.12,1211.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2021.03,1221.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2021.06,1236.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2021.09,1235.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2021.12,1257.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2022.03,1261.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2022.06,1326.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2022.09,1361.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2022.12,1379.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2023.03,1293.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2023.06,1491.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2023.09,1483.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2023.12,1462.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2024.03,1562.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2024.06,1564.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2024.09,1559.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2024.12,1596.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2025.03,1638.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2025.06,1706.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2025.09,1708.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2025.12,1741.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2026.03,1671.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
CPIQ.SE909602,2026.06,1748.0,FINAL,Index,CPI,CPI Level 3 Classes for New Zealand,Overseas accommodation prepaid in New Zealand,
