flow,index,period,value
"CPI_M,1.2.0",30033,2017-11,98.4
"CPI_M,1.2.0",30033,2017-12,110.0
"CPI_M,1.2.0",30033,2018-01,108.4
"CPI_M,1.2.0",30033,2018-02,99.8
"CPI_M,1.2.0",30033,2018-03,98.8
"CPI_M,1.2.0",30033,2018-04,104.1
"CPI_M,1.2.0",30033,2018-05,98.9
"CPI_M,1.2.0",30033,2018-06,100.7
"CPI_M,1.2.0",30033,2018-07,109.4
"CPI_M,1.2.0",30033,2018-08,100.4
"CPI_M,1.2.0",30033,2018-09,104.3
"CPI_M,1.2.0",30033,2018-10,105.3
"CPI_M,1.2.0",30033,2018-11,101.9
"CPI_M,1.2.0",30033,2018-12,115.5
"CPI_M,1.2.0",30033,2019-01,112.6
"CPI_M,1.2.0",30033,2019-02,101.7
"CPI_M,1.2.0",30033,2019-03,98.8
"CPI_M,1.2.0",30033,2019-04,109.2
"CPI_M,1.2.0",30033,2019-05,101.5
"CPI_M,1.2.0",30033,2019-06,104.3
"CPI_M,1.2.0",30033,2019-07,112.9
"CPI_M,1.2.0",30033,2019-08,105.2
"CPI_M,1.2.0",30033,2019-09,106.8
"CPI_M,1.2.0",30033,2019-10,109.9
"CPI_M,1.2.0",30033,2019-11,103.1
"CPI_M,1.2.0",30033,2019-12,118.2
"CPI_M,1.2.0",30033,2020-01,116.9
"CPI_M,1.2.0",30033,2020-02,101.2
"CPI_M,1.2.0",30033,2020-03,103.1
"CPI_M,1.2.0",30033,2020-04,105.9
"CPI_M,1.2.0",30033,2020-05,103.8
"CPI_M,1.2.0",30033,2020-06,103.4
"CPI_M,1.2.0",30033,2020-07,109.6
"CPI_M,1.2.0",30033,2020-08,109.1
"CPI_M,1.2.0",30033,2020-09,99.2
"CPI_M,1.2.0",30033,2020-10,98.1
"CPI_M,1.2.0",30033,2020-11,97.2
"CPI_M,1.2.0",30033,2020-12,108.5
"CPI_M,1.2.0",30033,2021-01,105.7
"CPI_M,1.2.0",30033,2021-02,97.3
"CPI_M,1.2.0",30033,2021-03,95.8
"CPI_M,1.2.0",30033,2021-04,101.4
"CPI_M,1.2.0",30033,2021-05,95.2
"CPI_M,1.2.0",30033,2021-06,99.3
"CPI_M,1.2.0",30033,2021-07,97.9
"CPI_M,1.2.0",30033,2021-08,97.6
"CPI_M,1.2.0",30033,2021-09,102.0
"CPI_M,1.2.0",30033,2021-10,103.7
"CPI_M,1.2.0",30033,2021-11,99.4
"CPI_M,1.2.0",30033,2021-12,110.1
"CPI_M,1.2.0",30033,2022-01,112.2
"CPI_M,1.2.0",30033,2022-02,98.3
"CPI_M,1.2.0",30033,2022-03,100.6
"CPI_M,1.2.0",30033,2022-04,109.7
"CPI_M,1.2.0",30033,2022-05,101.5
"CPI_M,1.2.0",30033,2022-06,107.0
"CPI_M,1.2.0",30033,2022-07,110.9
"CPI_M,1.2.0",30033,2022-08,105.3
"CPI_M,1.2.0",30033,2022-09,114.9
"CPI_M,1.2.0",30033,2022-10,107.5
"CPI_M,1.2.0",30033,2022-11,112.1
"CPI_M,1.2.0",30033,2022-12,142.4
"CPI_M,1.2.0",30033,2023-01,132.2
"CPI_M,1.2.0",30033,2023-02,112.9
"CPI_M,1.2.0",30033,2023-03,114.6
"CPI_M,1.2.0",30033,2023-04,122.8
"CPI_M,1.2.0",30033,2023-05,108.9
"CPI_M,1.2.0",30033,2023-06,120.8
"CPI_M,1.2.0",30033,2023-07,116.8
"CPI_M,1.2.0",30033,2023-08,112.3
"CPI_M,1.2.0",30033,2023-09,117.1
"CPI_M,1.2.0",30033,2023-10,108.9
"CPI_M,1.2.0",30033,2023-11,111.8
"CPI_M,1.2.0",30033,2023-12,129.5
"CPI_M,1.2.0",30033,2024-01,122.8
"CPI_M,1.2.0",30033,2024-02,111.4
"CPI_M,1.2.0",30033,2024-03,110.1
"CPI_M,1.2.0",30033,2024-04,115.2
"CPI_M,1.2.0",30033,2024-05,112.1
"CPI_M,1.2.0",30033,2024-06,119.9
"CPI_M,1.2.0",30033,2024-07,117.0
"CPI_M,1.2.0",30033,2024-08,115.4
"CPI_M,1.2.0",30033,2024-09,120.0
"CPI_M,1.2.0",30033,2024-10,117.6
"CPI_M,1.2.0",30033,2024-11,116.1
"CPI_M,1.2.0",30033,2024-12,129.4
"CPI_M,1.2.0",30033,2025-01,121.8
"CPI_M,1.2.0",30033,2025-02,112.5
"CPI_M,1.2.0",30033,2025-03,114.4
"CPI_M,1.2.0",30033,2025-04,121.3
"CPI_M,1.2.0",30033,2025-05,112.8
"CPI_M,1.2.0",30033,2025-06,115.5
"CPI_M,1.2.0",30033,2025-07,120.9
"CPI_M,1.2.0",30033,2025-08,116.7
"CPI_M,1.2.0",30033,2025-09,122.3
"CPI,2.0.0",30033,2026-07,99.95
"CPI,2.0.0",30033,2017-10,81.92
"CPI,2.0.0",30033,2017-11,80.42
"CPI,2.0.0",30033,2017-12,89.96
"CPI,2.0.0",30033,2018-01,88.63
"CPI,2.0.0",30033,2018-02,81.58
"CPI,2.0.0",30033,2018-03,80.75
"CPI,2.0.0",30033,2018-04,85.09
"CPI,2.0.0",30033,2023-04,100.35
"CPI,2.0.0",30033,2018-06,82.29
"CPI,2.0.0",30033,2018-07,89.43
"CPI,2.0.0",30033,2018-08,82.1
"CPI,2.0.0",30033,2018-09,85.28
"CPI,2.0.0",30033,2018-10,86.09
"CPI,2.0.0",30033,2018-11,83.27
"CPI,2.0.0",30033,2018-12,94.45
"CPI,2.0.0",30033,2019-01,92.02
"CPI,2.0.0",30033,2019-02,83.13
"CPI,2.0.0",30033,2019-03,80.79
"CPI,2.0.0",30033,2019-04,89.27
"CPI,2.0.0",30033,2019-05,82.96
"CPI,2.0.0",30033,2019-06,85.28
"CPI,2.0.0",30033,2019-07,92.28
"CPI,2.0.0",30033,2019-08,86.0
"CPI,2.0.0",30033,2019-09,87.32
"CPI,2.0.0",30033,2019-10,89.8
"CPI,2.0.0",30033,2019-11,84.28
"CPI,2.0.0",30033,2017-09,81.75
"CPI,2.0.0",30033,2019-12,96.63
"CPI,2.0.0",30033,2020-01,95.55
"CPI,2.0.0",30033,2020-02,82.72
"CPI,2.0.0",30033,2020-03,84.25
"CPI,2.0.0",30033,2020-04,86.56
"CPI,2.0.0",30033,2020-05,84.88
"CPI,2.0.0",30033,2020-06,84.54
"CPI,2.0.0",30033,2020-07,89.59
"CPI,2.0.0",30033,2020-08,89.17
"CPI,2.0.0",30033,2020-09,81.09
"CPI,2.0.0",30033,2020-10,80.17
"CPI,2.0.0",30033,2020-11,79.49
"CPI,2.0.0",30033,2020-12,88.7
"CPI,2.0.0",30033,2021-01,86.4
"CPI,2.0.0",30033,2021-02,79.55
"CPI,2.0.0",30033,2021-03,78.29
"CPI,2.0.0",30033,2021-04,82.91
"CPI,2.0.0",30033,2021-05,77.8
"CPI,2.0.0",30033,2021-06,81.16
"CPI,2.0.0",30033,2021-07,80.03
"CPI,2.0.0",30033,2021-08,79.75
"CPI,2.0.0",30033,2021-09,83.41
"CPI,2.0.0",30033,2021-10,84.75
"CPI,2.0.0",30033,2021-11,81.3
"CPI,2.0.0",30033,2021-12,89.99
"CPI,2.0.0",30033,2022-01,91.68
"CPI,2.0.0",30033,2022-02,80.34
"CPI,2.0.0",30033,2022-03,82.27
"CPI,2.0.0",30033,2022-04,89.7
"CPI,2.0.0",30033,2022-05,82.99
"CPI,2.0.0",30033,2022-06,87.43
"CPI,2.0.0",30033,2022-07,90.66
"CPI,2.0.0",30033,2022-08,86.12
"CPI,2.0.0",30033,2022-09,93.92
"CPI,2.0.0",30033,2022-10,87.91
"CPI,2.0.0",30033,2022-11,91.63
"CPI,2.0.0",30033,2022-12,116.41
"CPI,2.0.0",30033,2023-01,108.09
"CPI,2.0.0",30033,2023-02,92.29
"CPI,2.0.0",30033,2023-03,93.7
"CPI,2.0.0",30033,2018-05,80.82
"CPI,2.0.0",30033,2023-05,89.04
"CPI,2.0.0",30033,2023-06,98.74
"CPI,2.0.0",30033,2023-07,95.48
"CPI,2.0.0",30033,2023-08,91.78
"CPI,2.0.0",30033,2023-09,95.73
"CPI,2.0.0",30033,2023-10,89.04
"CPI,2.0.0",30033,2023-11,91.41
"CPI,2.0.0",30033,2023-12,105.85
"CPI,2.0.0",30033,2024-01,100.35
"CPI,2.0.0",30033,2024-02,91.09
"CPI,2.0.0",30033,2024-03,89.97
"CPI,2.0.0",30033,2024-04,94.17
"CPI,2.0.0",30033,2024-05,91.66
"CPI,2.0.0",30033,2024-06,98.04
"CPI,2.0.0",30033,2024-07,95.66
"CPI,2.0.0",30033,2024-08,94.36
"CPI,2.0.0",30033,2024-09,98.07
"CPI,2.0.0",30033,2024-10,96.17
"CPI,2.0.0",30033,2024-11,94.9
"CPI,2.0.0",30033,2024-12,105.81
"CPI,2.0.0",30033,2025-01,99.57
"CPI,2.0.0",30033,2025-02,91.97
"CPI,2.0.0",30033,2025-03,93.54
"CPI,2.0.0",30033,2025-04,99.2
"CPI,2.0.0",30033,2025-05,92.18
"CPI,2.0.0",30033,2025-06,94.4
"CPI,2.0.0",30033,2025-07,98.81
"CPI,2.0.0",30033,2025-08,95.38
"CPI,2.0.0",30033,2025-09,100.0
"CPI,2.0.0",30033,2025-10,99.05
"CPI,2.0.0",30033,2025-11,96.6
"CPI,2.0.0",30033,2025-12,111.94
"CPI,2.0.0",30033,2026-01,103.43
"CPI,2.0.0",30033,2026-02,96.89
"CPI,2.0.0",30033,2026-03,95.58
"CPI,2.0.0",30033,2026-04,100.87
"CPI,2.0.0",30033,2026-05,93.89
"CPI,2.0.0",30033,2026-06,98.17
"CPI,2.0.0",40101,2026-07,102.44
"CPI,2.0.0",40101,2017-10,71.01
"CPI,2.0.0",40101,2017-11,69.48
"CPI,2.0.0",40101,2017-12,76.4
"CPI,2.0.0",40101,2018-01,77.75
"CPI,2.0.0",40101,2018-02,70.74
"CPI,2.0.0",40101,2018-03,71.59
"CPI,2.0.0",40101,2018-04,73.42
"CPI,2.0.0",40101,2023-04,103.88
"CPI,2.0.0",40101,2018-06,69.41
"CPI,2.0.0",40101,2018-07,73.37
"CPI,2.0.0",40101,2018-08,70.81
"CPI,2.0.0",40101,2018-09,73.31
"CPI,2.0.0",40101,2018-10,74.24
"CPI,2.0.0",40101,2018-11,73.27
"CPI,2.0.0",40101,2018-12,84.14
"CPI,2.0.0",40101,2019-01,80.3
"CPI,2.0.0",40101,2019-02,71.41
"CPI,2.0.0",40101,2019-03,71.0
"CPI,2.0.0",40101,2019-04,76.63
"CPI,2.0.0",40101,2019-05,71.24
"CPI,2.0.0",40101,2019-06,71.61
"CPI,2.0.0",40101,2019-07,74.65
"CPI,2.0.0",40101,2019-08,71.7
"CPI,2.0.0",40101,2019-09,73.18
"CPI,2.0.0",40101,2019-10,77.12
"CPI,2.0.0",40101,2019-11,73.54
"CPI,2.0.0",40101,2017-09,68.15
"CPI,2.0.0",40101,2019-12,85.04
"CPI,2.0.0",40101,2020-01,83.03
"CPI,2.0.0",40101,2020-02,72.69
"CPI,2.0.0",40101,2020-03,72.95
"CPI,2.0.0",40101,2020-04,72.89
"CPI,2.0.0",40101,2020-05,72.9
"CPI,2.0.0",40101,2020-06,75.93
"CPI,2.0.0",40101,2020-07,73.31
"CPI,2.0.0",40101,2020-08,73.26
"CPI,2.0.0",40101,2020-09,78.49
"CPI,2.0.0",40101,2020-10,77.24
"CPI,2.0.0",40101,2020-11,76.75
"CPI,2.0.0",40101,2020-12,85.02
"CPI,2.0.0",40101,2021-01,83.63
"CPI,2.0.0",40101,2021-02,76.52
"CPI,2.0.0",40101,2021-03,74.7
"CPI,2.0.0",40101,2021-04,79.69
"CPI,2.0.0",40101,2021-05,74.43
"CPI,2.0.0",40101,2021-06,77.62
"CPI,2.0.0",40101,2021-07,76.72
"CPI,2.0.0",40101,2021-08,76.72
"CPI,2.0.0",40101,2021-09,80.08
"CPI,2.0.0",40101,2021-10,81.03
"CPI,2.0.0",40101,2021-11,77.58
"CPI,2.0.0",40101,2021-12,86.23
"CPI,2.0.0",40101,2022-01,88.63
"CPI,2.0.0",40101,2022-02,77.51
"CPI,2.0.0",40101,2022-03,79.38
"CPI,2.0.0",40101,2022-04,86.46
"CPI,2.0.0",40101,2022-05,79.58
"CPI,2.0.0",40101,2022-06,83.71
"CPI,2.0.0",40101,2022-07,86.82
"CPI,2.0.0",40101,2022-08,82.21
"CPI,2.0.0",40101,2022-09,89.62
"CPI,2.0.0",40101,2022-10,88.43
"CPI,2.0.0",40101,2022-11,93.32
"CPI,2.0.0",40101,2022-12,110.83
"CPI,2.0.0",40101,2023-01,111.91
"CPI,2.0.0",40101,2023-02,96.87
"CPI,2.0.0",40101,2023-03,97.86
"CPI,2.0.0",40101,2018-05,69.14
"CPI,2.0.0",40101,2023-05,87.76
"CPI,2.0.0",40101,2023-06,93.05
"CPI,2.0.0",40101,2023-07,94.32
"CPI,2.0.0",40101,2023-08,89.75
"CPI,2.0.0",40101,2023-09,93.88
"CPI,2.0.0",40101,2023-10,92.14
"CPI,2.0.0",40101,2023-11,93.8
"CPI,2.0.0",40101,2023-12,102.85
"CPI,2.0.0",40101,2024-01,103.5
"CPI,2.0.0",40101,2024-02,94.22
"CPI,2.0.0",40101,2024-03,95.1
"CPI,2.0.0",40101,2024-04,95.25
"CPI,2.0.0",40101,2024-05,88.98
"CPI,2.0.0",40101,2024-06,94.51
"CPI,2.0.0",40101,2024-07,94.3
"CPI,2.0.0",40101,2024-08,91.86
"CPI,2.0.0",40101,2024-09,95.62
"CPI,2.0.0",40101,2024-10,98.88
"CPI,2.0.0",40101,2024-11,98.37
"CPI,2.0.0",40101,2024-12,100.34
"CPI,2.0.0",40101,2025-01,105.57
"CPI,2.0.0",40101,2025-02,94.86
"CPI,2.0.0",40101,2025-03,98.03
"CPI,2.0.0",40101,2025-04,101.82
"CPI,2.0.0",40101,2025-05,92.45
"CPI,2.0.0",40101,2025-06,92.96
"CPI,2.0.0",40101,2025-07,100.35
"CPI,2.0.0",40101,2025-08,96.12
"CPI,2.0.0",40101,2025-09,100.0
"CPI,2.0.0",40101,2025-10,105.94
"CPI,2.0.0",40101,2025-11,101.6
"CPI,2.0.0",40101,2025-12,109.96
"CPI,2.0.0",40101,2026-01,111.44
"CPI,2.0.0",40101,2026-02,103.22
"CPI,2.0.0",40101,2026-03,100.92
"CPI,2.0.0",40101,2026-04,108.41
"CPI,2.0.0",40101,2026-05,95.26
"CPI,2.0.0",40101,2026-06,96.46
"CPI,2.0.0",40102,2026-07,97.44
"CPI,2.0.0",40102,2017-10,65.22
"CPI,2.0.0",40102,2017-11,64.22
"CPI,2.0.0",40102,2017-12,72.98
"CPI,2.0.0",40102,2018-01,69.78
"CPI,2.0.0",40102,2018-02,64.93
"CPI,2.0.0",40102,2018-03,62.93
"CPI,2.0.0",40102,2018-04,68.04
"CPI,2.0.0",40102,2023-04,92.91
"CPI,2.0.0",40102,2018-06,67.16
"CPI,2.0.0",40102,2018-07,74.76
"CPI,2.0.0",40102,2018-08,65.66
"CPI,2.0.0",40102,2018-09,68.43
"CPI,2.0.0",40102,2018-10,68.87
"CPI,2.0.0",40102,2018-11,65.29
"CPI,2.0.0",40102,2018-12,73.12
"CPI,2.0.0",40102,2019-01,72.75
"CPI,2.0.0",40102,2019-02,66.75
"CPI,2.0.0",40102,2019-03,63.43
"CPI,2.0.0",40102,2019-04,71.73
"CPI,2.0.0",40102,2019-05,66.64
"CPI,2.0.0",40102,2019-06,69.95
"CPI,2.0.0",40102,2019-07,78.27
"CPI,2.0.0",40102,2019-08,71.03
"CPI,2.0.0",40102,2019-09,71.77
"CPI,2.0.0",40102,2019-10,72.17
"CPI,2.0.0",40102,2019-11,66.71
"CPI,2.0.0",40102,2017-09,67.41
"CPI,2.0.0",40102,2019-12,75.85
"CPI,2.0.0",40102,2020-01,75.93
"CPI,2.0.0",40102,2020-02,65.02
"CPI,2.0.0",40102,2020-03,67.19
"CPI,2.0.0",40102,2020-04,70.83
"CPI,2.0.0",40102,2020-05,68.2
"CPI,2.0.0",40102,2020-06,65.02
"CPI,2.0.0",40102,2020-07,75.19
"CPI,2.0.0",40102,2020-08,74.57
"CPI,2.0.0",40102,2020-09,57.39
"CPI,2.0.0",40102,2020-10,65.38
"CPI,2.0.0",40102,2020-11,60.8
"CPI,2.0.0",40102,2020-12,82.93
"CPI,2.0.0",40102,2021-01,61.16
"CPI,2.0.0",40102,2021-02,67.94
"CPI,2.0.0",40102,2021-03,81.12
"CPI,2.0.0",40102,2021-04,72.38
"CPI,2.0.0",40102,2021-05,76.19
"CPI,2.0.0",40102,2021-06,79.76
"CPI,2.0.0",40102,2021-07,74.46
"CPI,2.0.0",40102,2021-08,67.92
"CPI,2.0.0",40102,2021-09,74.76
"CPI,2.0.0",40102,2021-10,84.08
"CPI,2.0.0",40102,2021-11,84.36
"CPI,2.0.0",40102,2021-12,84.56
"CPI,2.0.0",40102,2022-01,67.51
"CPI,2.0.0",40102,2022-02,62.84
"CPI,2.0.0",40102,2022-03,64.28
"CPI,2.0.0",40102,2022-04,72.32
"CPI,2.0.0",40102,2022-05,76.85
"CPI,2.0.0",40102,2022-06,84.04
"CPI,2.0.0",40102,2022-07,86.45
"CPI,2.0.0",40102,2022-08,88.44
"CPI,2.0.0",40102,2022-09,97.5
"CPI,2.0.0",40102,2022-10,84.96
"CPI,2.0.0",40102,2022-11,86.95
"CPI,2.0.0",40102,2022-12,121.19
"CPI,2.0.0",40102,2023-01,100.04
"CPI,2.0.0",40102,2023-02,83.6
"CPI,2.0.0",40102,2023-03,85.54
"CPI,2.0.0",40102,2018-05,65.13
"CPI,2.0.0",40102,2023-05,88.54
"CPI,2.0.0",40102,2023-06,104.12
"CPI,2.0.0",40102,2023-07,96.32
"CPI,2.0.0",40102,2023-08,93.51
"CPI,2.0.0",40102,2023-09,97.27
"CPI,2.0.0",40102,2023-10,85.63
"CPI,2.0.0",40102,2023-11,88.7
"CPI,2.0.0",40102,2023-12,108.52
"CPI,2.0.0",40102,2024-01,95.97
"CPI,2.0.0",40102,2024-02,86.81
"CPI,2.0.0",40102,2024-03,83.38
"CPI,2.0.0",40102,2024-04,92.22
"CPI,2.0.0",40102,2024-05,94.05
"CPI,2.0.0",40102,2024-06,101.37
"CPI,2.0.0",40102,2024-07,96.51
"CPI,2.0.0",40102,2024-08,96.52
"CPI,2.0.0",40102,2024-09,100.15
"CPI,2.0.0",40102,2024-10,92.33
"CPI,2.0.0",40102,2024-11,90.21
"CPI,2.0.0",40102,2024-12,111.31
"CPI,2.0.0",40102,2025-01,93.53
"CPI,2.0.0",40102,2025-02,89.08
"CPI,2.0.0",40102,2025-03,89.02
"CPI,2.0.0",40102,2025-04,96.57
"CPI,2.0.0",40102,2025-05,91.9
"CPI,2.0.0",40102,2025-06,95.86
"CPI,2.0.0",40102,2025-07,97.26
"CPI,2.0.0",40102,2025-08,94.64
"CPI,2.0.0",40102,2025-09,100.0
"CPI,2.0.0",40102,2025-10,92.12
"CPI,2.0.0",40102,2025-11,91.57
"CPI,2.0.0",40102,2025-12,113.94
"CPI,2.0.0",40102,2026-01,95.38
"CPI,2.0.0",40102,2026-02,90.52
"CPI,2.0.0",40102,2026-03,90.21
"CPI,2.0.0",40102,2026-04,93.29
"CPI,2.0.0",40102,2026-05,92.52
"CPI,2.0.0",40102,2026-06,99.89
