block,sample,target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,perm_p,loo_rmse,naive_rmse,loo_r2,r2_full,notes,cell,mean_1d,median_1d,mean_5d,mean_20d,share_positive_1d,quarters,perm_p_diff_1d,mannwhitney_p_1d,direction_concordance,concordance_hits,concordance_n,binomial_p
univariate,all,excess_5d,rev_beat_high_pct,19,-0.0760,0.7573,-0.0889,0.7173,0.7607,10.1231,9.7822,-0.0709,,,,,,,,,,,,,,,
univariate,all,excess_5d,rev_yoy,22,-0.0807,0.7210,-0.1966,0.3806,0.6980,9.7636,9.4471,-0.0681,,,,,,,,,,,,,,,
univariate,all,excess_5d,rev_accel,21,-0.2021,0.3797,-0.0792,0.7328,0.3816,10.1331,9.6912,-0.0933,,,,,,,,,,,,,,,
univariate,all,excess_5d,nights_yoy,22,-0.1259,0.5767,-0.0215,0.9245,0.5568,10.8269,9.4471,-0.3135,,,,,,,,,,,,,,,
univariate,all,excess_5d,nights_accel,21,-0.2370,0.3009,-0.0500,0.8295,0.2944,9.9421,9.6912,-0.0525,,,,,,,,,,,,,,,
univariate,all,excess_5d,gbv_yoy,22,-0.0952,0.6736,-0.0474,0.8339,0.6511,10.2972,9.4471,-0.1881,,,,,,,,,,,,,,,
univariate,all,excess_5d,gbv_accel,21,-0.2441,0.2862,-0.2670,0.2420,0.2824,9.8670,9.6912,-0.0366,,,,,,,,,,,,,,,
univariate,all,excess_5d,adr_yoy,22,-0.0096,0.9661,-0.0441,0.8457,0.9666,9.5885,9.4471,-0.0302,,,,,,,,,,,,,,,
univariate,all,excess_5d,take_rate_chg_bps,22,0.1125,0.6182,0.0988,0.6617,0.6124,9.6724,9.4471,-0.0483,,,,,,,,,,,,,,,
univariate,all,excess_5d,margin_yoy_pts,22,-0.0873,0.6993,-0.1762,0.4328,0.6771,9.9476,9.4471,-0.1088,,,,,,,,,,,,,,,
univariate,all,excess_5d,margin_vs_bound_pts,20,-0.0818,0.7318,-0.1188,0.6178,0.7308,10.3068,9.8377,-0.0976,,,,,,,,,,,,,,,
univariate,all,excess_5d,margin_guide_met,20,0.1621,0.4947,0.1735,0.4645,0.4958,9.7652,9.8377,0.0147,,,,,,,,,,,,,,,
univariate,all,excess_5d,next_guide_mid_yoy,20,-0.0128,0.9573,0.0459,0.8477,0.9570,10.8570,9.9456,-0.1917,,,,,,,,,,,,,,,
univariate,all,excess_5d,guide_implied_accel_pts,20,0.2955,0.2060,0.4618,0.0404,0.2045,10.9532,9.9456,-0.2129,,,,,,,,,,,,,,,
univariate,all,excess_5d,guide_vs_cushion_trend_pts,19,0.3567,0.1339,0.4246,0.0700,0.1316,9.3990,9.7822,0.0768,,,,,,,,,,,,,,,
univariate,all,excess_5d,fy_floor_action_score,22,0.1911,0.3943,0.1577,0.4834,0.3991,9.7925,9.4471,-0.0745,,,,,,,,,,,,,,,
univariate,all,excess_5d,fy_floor_raised,22,0.0250,0.9119,-0.0231,0.9188,0.9132,10.0097,9.4471,-0.1227,,,,,,,,,,,,,,,
univariate,all,excess_5d,sm_delev_pts,18,0.0789,0.7556,0.1084,0.6687,0.7517,10.2693,9.9717,-0.0606,,,,,,,,,,,,,,,
univariate,all,excess_5d,ops_per_night_yoy,18,0.0581,0.8189,-0.0609,0.8103,0.8177,10.5664,9.9717,-0.1228,,,,,,,,,,,,,,,
univariate,all,excess_5d,sbc_pct_rev_chg_pts,18,0.1826,0.4683,-0.0960,0.7048,0.4531,10.7478,9.9717,-0.1617,,,,,,,,,,,,,,,
univariate,all,excess_20d,rev_beat_mid_pct,18,-0.0941,0.7103,-0.1147,0.6505,0.7139,8.0053,7.7839,-0.0577,,,,,,,,,,,,,,,
univariate,all,excess_20d,rev_beat_high_pct,18,0.0138,0.9566,-0.0052,0.9837,0.9564,8.2878,7.7839,-0.1337,,,,,,,,,,,,,,,
univariate,all,excess_20d,rev_yoy,21,0.2542,0.2662,-0.1532,0.5072,0.2939,10.1365,7.8928,-0.6494,,,,,,,,,,,,,,,
univariate,all,excess_20d,rev_accel,20,0.2576,0.2729,0.2586,0.2709,0.2743,8.6210,7.9170,-0.1857,,,,,,,,,,,,,,,
univariate,all,excess_20d,nights_yoy,21,0.2193,0.3394,0.0909,0.6951,0.3662,11.4721,7.8928,-1.1127,,,,,,,,,,,,,,,
univariate,all,excess_20d,nights_accel,20,0.1813,0.4442,0.1444,0.5437,0.4637,8.8785,7.9170,-0.2576,,,,,,,,,,,,,,,
univariate,all,excess_20d,gbv_yoy,21,0.2825,0.2146,0.1883,0.4137,0.2483,9.5050,7.8928,-0.4502,,,,,,,,,,,,,,,
univariate,all,excess_20d,gbv_accel,20,0.1878,0.4279,0.0677,0.7768,0.4506,8.8601,7.9170,-0.2524,,,,,,,,,,,,,,,
univariate,all,excess_20d,adr_yoy,21,0.3710,0.0978,0.2831,0.2136,0.0966,7.5090,7.8928,0.0949,,,,,,,,,,,,,,,
univariate,all,excess_20d,take_rate_chg_bps,21,-0.1371,0.5533,-0.1753,0.4472,0.5712,8.1998,7.8928,-0.0793,,,,,,,,,,,,,,,
univariate,all,excess_20d,margin_yoy_pts,21,0.3436,0.1272,0.1039,0.6540,0.1391,7.5996,7.8928,0.0729,,,,,,,,,,,,,,,
univariate,all,excess_20d,margin_vs_bound_pts,19,0.1086,0.6582,0.0298,0.9035,0.6524,8.9430,8.0849,-0.2235,,,,,,,,,,,,,,,
univariate,all,excess_20d,margin_guide_met,19,0.1901,0.4357,0.2192,0.3673,0.4565,8.2653,8.0849,-0.0451,,,,,,,,,,,,,,,
univariate,all,excess_20d,next_guide_mid_yoy,19,-0.1373,0.5752,-0.0825,0.7372,0.5804,7.8789,7.5883,-0.0781,,,,,,,,,,,,,,,
univariate,all,excess_20d,guide_implied_accel_pts,19,0.1419,0.5621,0.2702,0.2633,0.5555,9.5209,7.5883,-0.5742,,,,,,,,,,,,,,,
univariate,all,excess_20d,guide_vs_cushion_trend_pts,18,0.4005,0.0995,0.3911,0.1085,0.0981,7.4367,7.7839,0.0872,,,,,,,,,,,,,,,
univariate,all,excess_20d,fy_floor_action_score,21,-0.0045,0.9844,-0.0007,0.9976,0.9858,8.2335,7.8928,-0.0882,,,,,,,,,,,,,,,
univariate,all,excess_20d,fy_floor_raised,21,-0.1821,0.4295,-0.1915,0.4057,0.4346,8.0556,7.8928,-0.0417,,,,,,,,,,,,,,,
univariate,all,excess_20d,sm_delev_pts,17,-0.1342,0.6076,-0.1005,0.7012,0.6078,8.3813,7.9926,-0.0996,,,,,,,,,,,,,,,
univariate,all,excess_20d,ops_per_night_yoy,17,0.0930,0.7227,-0.0907,0.7292,0.7226,8.6546,7.9926,-0.1725,,,,,,,,,,,,,,,
univariate,all,excess_20d,sbc_pct_rev_chg_pts,17,0.0884,0.7359,-0.2279,0.3789,0.7374,10.2434,7.9926,-0.6425,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,rev_beat_mid_pct,18,0.2010,0.4240,0.2273,0.3644,0.4231,9.2657,8.9334,-0.0758,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,rev_beat_high_pct,18,0.1828,0.4679,0.2788,0.2626,0.4716,9.3026,8.9334,-0.0844,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,rev_yoy,18,0.0601,0.8128,-0.0423,0.8676,0.8257,9.2615,8.9334,-0.0748,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,rev_accel,18,0.2211,0.3781,0.1538,0.5424,0.3769,9.0544,8.9334,-0.0273,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,nights_yoy,18,0.1136,0.6535,0.1662,0.5100,0.6478,9.2591,8.9334,-0.0742,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,nights_accel,18,0.1136,0.6535,0.2405,0.3365,0.6413,9.2392,8.9334,-0.0696,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,gbv_yoy,18,0.1188,0.6388,0.1765,0.4836,0.6308,9.2348,8.9334,-0.0686,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,gbv_accel,18,-0.1272,0.6150,-0.2941,0.2361,0.6235,9.7404,8.9334,-0.1888,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,adr_yoy,18,0.0583,0.8181,0.1249,0.6215,0.8235,9.3983,8.9334,-0.1068,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,take_rate_chg_bps,18,-0.0676,0.7897,-0.0650,0.7977,0.7893,9.0478,8.9334,-0.0258,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,margin_yoy_pts,18,0.0495,0.8452,-0.1249,0.6215,0.8575,9.2826,8.9334,-0.0797,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,margin_vs_bound_pts,18,0.0546,0.8297,-0.1311,0.6042,0.8317,9.3174,8.9334,-0.0878,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,margin_guide_met,18,0.3383,0.1698,0.3748,0.1254,0.1737,8.4811,8.9334,0.0987,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,next_guide_mid_yoy,18,0.1508,0.5502,0.1765,0.4836,0.5523,9.0444,8.9334,-0.0250,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,guide_implied_accel_pts,18,0.0902,0.7218,0.1662,0.5100,0.7230,9.0155,8.9334,-0.0185,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,guide_vs_cushion_trend_pts,18,0.0156,0.9509,0.2219,0.3762,0.9508,9.5759,8.9334,-0.1490,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,fy_floor_action_score,18,0.4472,0.0628,0.5100,0.0306,0.0641,8.3629,8.9334,0.1237,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,fy_floor_raised,18,0.1836,0.4658,0.2526,0.3119,0.4641,9.2989,8.9334,-0.0835,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,sm_delev_pts,18,0.0679,0.7890,0.1579,0.5315,0.7872,9.2159,8.9334,-0.0642,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,ops_per_night_yoy,18,-0.2581,0.3012,-0.2859,0.2502,0.3027,8.9090,8.9334,0.0055,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_1d,sbc_pct_rev_chg_pts,18,-0.0856,0.7356,-0.2054,0.4136,0.7273,9.4910,8.9334,-0.1287,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,rev_beat_mid_pct,18,-0.0920,0.7165,-0.0868,0.7321,0.7148,10.5460,9.9717,-0.1185,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,rev_beat_high_pct,18,-0.0092,0.9711,0.0093,0.9707,0.9713,10.4627,9.9717,-0.1009,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,rev_yoy,18,-0.2368,0.3441,-0.2817,0.2574,0.3388,10.0955,9.9717,-0.0250,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,rev_accel,18,0.1593,0.5279,0.1476,0.5590,0.5196,10.0064,9.9717,-0.0070,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,nights_yoy,18,-0.2762,0.2673,-0.0114,0.9643,0.2548,9.8679,9.9717,0.0207,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,nights_accel,18,0.0148,0.9536,0.1971,0.4331,0.9515,10.3793,9.9717,-0.0834,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,gbv_yoy,18,-0.2621,0.2934,-0.0444,0.8612,0.2766,10.0040,9.9717,-0.0065,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,gbv_accel,18,0.0253,0.9205,-0.1063,0.6746,0.9156,10.2797,9.9717,-0.0627,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,adr_yoy,18,0.0100,0.9686,-0.0691,0.7851,0.9647,10.6767,9.9717,-0.1464,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,take_rate_chg_bps,18,-0.0499,0.8441,-0.1104,0.6627,0.8359,10.2939,9.9717,-0.0657,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,margin_yoy_pts,18,-0.2104,0.4020,-0.2487,0.3196,0.3970,10.2111,9.9717,-0.0486,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,margin_vs_bound_pts,18,-0.2300,0.3585,-0.2611,0.2953,0.3566,10.1150,9.9717,-0.0289,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,margin_guide_met,18,0.1504,0.5515,0.1363,0.5897,0.5526,9.9320,9.9717,0.0080,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,next_guide_mid_yoy,18,-0.1949,0.4384,-0.0134,0.9579,0.4307,11.1200,9.9717,-0.2436,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,guide_implied_accel_pts,18,0.2269,0.3652,0.3581,0.1445,0.3602,11.5946,9.9717,-0.3520,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,guide_vs_cushion_trend_pts,18,0.3297,0.1815,0.3622,0.1396,0.1797,9.7098,9.9717,0.0518,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,fy_floor_action_score,18,0.2910,0.2414,0.2550,0.3072,0.2408,10.1253,9.9717,-0.0310,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,fy_floor_raised,18,0.0479,0.8502,-0.0110,0.9655,0.8501,10.6327,9.9717,-0.1370,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,sm_delev_pts,18,0.0789,0.7556,0.1084,0.6687,0.7531,10.2693,9.9717,-0.0606,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,ops_per_night_yoy,18,0.0581,0.8189,-0.0609,0.8103,0.8199,10.5664,9.9717,-0.1228,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_5d,sbc_pct_rev_chg_pts,18,0.1826,0.4683,-0.0960,0.7048,0.4564,10.7478,9.9717,-0.1617,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,rev_beat_mid_pct,17,-0.0320,0.9031,-0.0785,0.7645,0.9060,8.5434,7.9926,-0.1426,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,rev_beat_high_pct,17,0.0704,0.7883,0.0517,0.8437,0.7905,8.7385,7.9926,-0.1953,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,rev_yoy,17,-0.2062,0.4271,-0.2623,0.3092,0.4309,8.7403,7.9926,-0.1959,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,rev_accel,17,0.3052,0.2335,0.3064,0.2317,0.2386,7.8064,7.9926,0.0461,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,nights_yoy,17,-0.3304,0.1953,-0.0392,0.8812,0.2033,7.7503,7.9926,0.0597,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,nights_accel,17,-0.1577,0.5455,0.1495,0.5668,0.5490,9.5454,7.9926,-0.4263,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,gbv_yoy,17,-0.2946,0.2511,0.0147,0.9553,0.2691,8.0858,7.9926,-0.0235,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,gbv_accel,17,0.0018,0.9945,0.0441,0.8665,0.9945,9.2639,7.9926,-0.3434,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,adr_yoy,17,0.0975,0.7096,0.0735,0.7791,0.7120,8.3831,7.9926,-0.1001,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,take_rate_chg_bps,17,0.0364,0.8896,-0.0833,0.7505,0.8928,9.9227,7.9926,-0.5413,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,margin_yoy_pts,17,-0.0997,0.7035,-0.1446,0.5798,0.7084,9.0474,7.9926,-0.2814,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,margin_vs_bound_pts,17,-0.1664,0.5234,-0.1569,0.5477,0.5193,8.7376,7.9926,-0.1951,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,margin_guide_met,17,0.1666,0.5227,0.1863,0.4739,0.5422,8.2541,7.9926,-0.0665,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,next_guide_mid_yoy,17,-0.2361,0.3617,-0.1225,0.6394,0.3684,8.9417,7.9926,-0.2516,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,guide_implied_accel_pts,17,0.1009,0.7001,0.2132,0.4112,0.7023,11.0250,7.9926,-0.9027,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,guide_vs_cushion_trend_pts,17,0.3898,0.1220,0.3554,0.1615,0.1192,7.7091,7.9926,0.0697,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,fy_floor_action_score,17,0.1719,0.5094,0.1925,0.4593,0.5093,8.2677,7.9926,-0.0700,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,fy_floor_raised,17,-0.1177,0.6527,-0.1005,0.7011,0.6519,8.3451,7.9926,-0.0902,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,sm_delev_pts,17,-0.1342,0.6076,-0.1005,0.7012,0.6042,8.3813,7.9926,-0.0996,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,ops_per_night_yoy,17,0.0930,0.7227,-0.0907,0.7292,0.7219,8.6546,7.9926,-0.1725,,,,,,,,,,,,,,,
univariate,from_2022Q1,excess_20d,sbc_pct_rev_chg_pts,17,0.0884,0.7359,-0.2279,0.3789,0.7411,10.2434,7.9926,-0.6425,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,rev_beat_mid_pct,18,0.4075,0.0932,0.4525,0.0594,0.0954,7.4457,7.8608,0.1028,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,rev_beat_high_pct,18,0.3485,0.1564,0.3805,0.1193,0.1529,7.7565,7.8608,0.0264,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,rev_yoy,21,0.1514,0.5124,0.1753,0.4472,0.5025,9.9971,7.9630,-0.5761,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,rev_accel,20,-0.1829,0.4401,0.1158,0.6269,0.4486,9.5040,8.1554,-0.3581,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,nights_yoy,21,0.1461,0.5274,0.4039,0.0694,0.5164,9.7068,7.9630,-0.4859,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,nights_accel,20,-0.2008,0.3959,0.1263,0.5957,0.4024,9.2575,8.1554,-0.2885,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,gbv_yoy,21,0.1501,0.5162,0.4195,0.0584,0.5060,10.7689,7.9630,-0.8289,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,gbv_accel,20,-0.2427,0.3025,-0.1549,0.5144,0.3088,9.1649,8.1554,-0.2629,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,adr_yoy,21,0.2169,0.3450,0.2701,0.2363,0.3517,8.0239,7.9630,-0.0154,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,take_rate_chg_bps,21,0.0199,0.9318,-0.1351,0.5594,0.9339,8.3777,7.9630,-0.1069,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,margin_yoy_pts,21,0.1248,0.5899,0.1377,0.5518,0.5661,9.3587,7.9630,-0.3813,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,margin_vs_bound_pts,19,0.2530,0.2961,0.0421,0.8641,0.3002,8.4120,8.3100,-0.0247,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,margin_guide_met,19,0.3481,0.1442,0.3757,0.1129,0.1397,7.8539,8.3100,0.1068,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,next_guide_mid_yoy,19,0.4277,0.0678,0.2825,0.2413,0.0659,7.9086,8.3803,0.1094,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,guide_implied_accel_pts,19,0.0515,0.8343,0.0895,0.7157,0.8386,8.5447,8.3803,-0.0396,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,guide_vs_cushion_trend_pts,18,-0.1464,0.5621,-0.0134,0.9579,0.5617,8.0721,7.8608,-0.0545,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,fy_floor_action_score,21,0.1833,0.4264,0.2399,0.2950,0.4302,8.1370,7.9630,-0.0442,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,fy_floor_raised,21,-0.0778,0.7374,-0.0522,0.8221,0.7416,8.1914,7.9630,-0.0582,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,sm_delev_pts,17,0.0042,0.9874,0.0907,0.7292,0.9875,8.3543,7.9833,-0.0951,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,ops_per_night_yoy,17,-0.2557,0.3219,-0.2598,0.3139,0.3192,8.0621,7.9833,-0.0198,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_1d,sbc_pct_rev_chg_pts,17,-0.1234,0.6370,-0.2132,0.4112,0.6305,8.7562,7.9833,-0.2030,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_5d,rev_beat_mid_pct,18,-0.0417,0.8694,-0.0754,0.7662,0.8710,8.5099,8.1737,-0.0840,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_5d,rev_beat_high_pct,18,0.0237,0.9257,-0.0664,0.7936,0.9281,8.5483,8.1737,-0.0938,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_5d,rev_yoy,21,-0.0473,0.8387,-0.1747,0.4487,0.8265,8.3136,8.1351,-0.0444,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_5d,rev_accel,20,-0.2376,0.3131,-0.0857,0.7193,0.3250,9.2209,8.3507,-0.2193,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_5d,nights_yoy,21,-0.0945,0.6838,0.0006,0.9978,0.6651,9.1507,8.1351,-0.2653,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_5d,nights_accel,20,-0.2861,0.2213,-0.1467,0.5372,0.2301,8.9374,8.3507,-0.1454,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_5d,gbv_yoy,21,-0.0637,0.7837,-0.0292,0.8999,0.7695,8.6812,8.1351,-0.1388,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_5d,gbv_accel,20,-0.2880,0.2181,-0.2174,0.3573,0.2263,8.8348,8.3507,-0.1193,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_5d,adr_yoy,21,0.0214,0.9267,-0.1000,0.6662,0.9276,8.2953,8.1351,-0.0398,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_5d,take_rate_chg_bps,21,0.1211,0.6010,0.0909,0.6950,0.6140,8.5221,8.1351,-0.0974,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_5d,margin_yoy_pts,21,-0.0528,0.8202,-0.1968,0.3925,0.8055,8.4036,8.1351,-0.0671,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_5d,margin_vs_bound_pts,19,-0.0467,0.8495,-0.1545,0.5278,0.8513,9.0867,8.4936,-0.1445,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_5d,margin_guide_met,19,0.1440,0.5563,0.1566,0.5220,0.5821,8.4610,8.4936,0.0077,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_5d,next_guide_mid_yoy,19,0.0264,0.9145,-0.0009,0.9972,0.9163,9.6676,8.5897,-0.2667,,,,,,,,,,,,,,,
univariate,ex_2026Q2,excess_5d,guide_implied_accel_pts,19,0.2646,0.2736,0.4133,0.0786,0.2852,9.6678,8.5897,-0.2668,,,,,,,,,,,,,,,
