sample,signal,signal_label,target,n,quarters_used,mae_peer_ols,rmse_peer_ols,mae_naive_prior_q,rmse_naive_prior_q,mae_seasonal_naive,rmse_seasonal_naive,mae_ar1,rmse_ar1,mae_ar1_plus_peer,rmse_ar1_plus_peer,mae_mean_only,rmse_mean_only,mae_ratio_peer_vs_naive,mae_ratio_ar1peer_vs_ar1,ar1peer_beats_ar1_share
2021Q1-2026Q2,mar_revpar_yoy,MAR worldwide RevPAR y/y,abnb_nights_yoy,18,2021Q1 2021Q2 2021Q3 2021Q4 2022Q2 2022Q4 2023Q1 2023Q2 2023Q4 2024Q1 2024Q2 2024Q3 2024Q4 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,16.03,33.31,27.48,60.93,42.1,80.62,26.36,47.02,14.47,30.3,24.26,45.62,0.58,0.55,0.78
2021Q1-2026Q2,mar_revpar_accel_pp,MAR RevPAR accel (pp q/q),abnb_nights_yoy,18,2021Q1 2021Q2 2021Q3 2021Q4 2022Q2 2022Q4 2023Q1 2023Q2 2023Q4 2024Q1 2024Q2 2024Q3 2024Q4 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,28.79,55.91,27.48,60.93,42.1,80.62,26.36,47.02,9.82,18.26,24.26,45.62,1.05,0.37,0.94
2021Q1-2026Q2,mar_excess_1d_pct,MAR day-1 excess return,abnb_nights_yoy,18,2021Q1 2021Q2 2021Q3 2021Q4 2022Q2 2022Q4 2023Q1 2023Q2 2023Q4 2024Q1 2024Q2 2024Q3 2024Q4 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,25.67,46.6,27.48,60.93,42.1,80.62,26.36,47.02,27.81,48.05,24.26,45.62,0.93,1.06,0.39
2021Q1-2026Q2,hlt_revpar_yoy,HLT system-wide RevPAR y/y,abnb_nights_yoy,20,2021Q1 2021Q2 2021Q3 2022Q1 2022Q2 2022Q3 2022Q4 2023Q1 2023Q2 2023Q3 2023Q4 2024Q1 2024Q3 2024Q4 2025Q1 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,13.21,29.69,23.58,57.44,36.04,74.07,23.87,44.99,7.69,15.16,21.93,43.14,0.56,0.32,0.8
2021Q1-2026Q2,hlt_revpar_accel_pp,HLT RevPAR accel (pp q/q),abnb_nights_yoy,20,2021Q1 2021Q2 2021Q3 2022Q1 2022Q2 2022Q3 2022Q4 2023Q1 2023Q2 2023Q3 2023Q4 2024Q1 2024Q3 2024Q4 2025Q1 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,29.58,57.53,23.58,57.44,36.04,74.07,23.87,44.99,10.98,17.28,21.93,43.14,1.25,0.46,0.85
2021Q1-2026Q2,hlt_excess_1d_pct,HLT day-1 excess return,abnb_nights_yoy,20,2021Q1 2021Q2 2021Q3 2022Q1 2022Q2 2022Q3 2022Q4 2023Q1 2023Q2 2023Q3 2023Q4 2024Q1 2024Q3 2024Q4 2025Q1 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,24.2,45.52,23.58,57.44,36.04,74.07,23.87,44.99,26.65,47.42,21.93,43.14,1.03,1.12,0.5
2023Q1-2026Q2,bkng_room_nights_yoy,BKNG room nights y/y,abnb_nights_yoy,9,2023Q1 2024Q1 2024Q2 2024Q3 2025Q1 2025Q2 2025Q3 2026Q1 2026Q2,3.01,6.68,1.47,1.92,7.08,13.83,2.12,3.47,3.06,6.52,2.3,3.59,2.05,1.44,0.44
2023Q1-2026Q2,bkng_room_nights_accel_pp,BKNG room nights accel (pp q/q),abnb_nights_yoy,9,2023Q1 2024Q1 2024Q2 2024Q3 2025Q1 2025Q2 2025Q3 2026Q1 2026Q2,2.76,3.98,1.47,1.92,7.08,13.83,2.12,3.47,2.4,3.33,2.3,3.59,1.88,1.13,0.22
2023Q1-2026Q2,bkng_gb_yoy,BKNG gross bookings y/y (reported),abnb_nights_yoy,9,2023Q1 2024Q1 2024Q2 2024Q3 2025Q1 2025Q2 2025Q3 2026Q1 2026Q2,2.18,3.58,1.47,1.92,7.08,13.83,2.12,3.47,1.95,3.21,2.3,3.59,1.48,0.92,0.56
2023Q1-2026Q2,bkng_gb_yoy_cc,BKNG gross bookings y/y (constant currency),abnb_nights_yoy,7,2023Q1 2024Q2 2025Q1 2025Q2 2025Q3 2026Q1 2026Q2,3.83,7.68,1.5,1.95,7.07,15.18,2.75,4.36,4.19,7.92,2.89,4.16,2.55,1.52,0.29
2023Q1-2026Q2,bkng_excess_1d_pct,BKNG day-1 excess return,abnb_nights_yoy,9,2023Q1 2024Q1 2024Q2 2024Q3 2025Q1 2025Q2 2025Q3 2026Q1 2026Q2,2.86,4.06,1.47,1.92,7.08,13.83,2.12,3.47,2.41,3.68,2.3,3.59,1.95,1.14,0.11
2023Q1-2026Q2,expe_room_nights_yoy,EXPE room nights y/y,abnb_nights_yoy,6,2023Q1 2023Q2 2023Q4 2024Q1 2024Q4 2026Q2,0.78,0.87,3.04,3.78,12.37,17.99,3.3,4.25,0.95,1.0,2.54,3.58,0.26,0.29,0.67
2023Q1-2026Q2,expe_room_nights_accel_pp,EXPE room nights accel (pp q/q),abnb_nights_yoy,6,2023Q1 2023Q2 2023Q4 2024Q1 2024Q4 2026Q2,5.47,7.94,3.04,3.78,12.37,17.99,3.3,4.25,3.26,4.52,2.54,3.58,1.8,0.99,0.67
2023Q1-2026Q2,expe_gb_yoy,EXPE gross bookings y/y,abnb_nights_yoy,6,2023Q1 2023Q2 2023Q4 2024Q1 2024Q4 2026Q2,2.34,3.01,3.04,3.78,12.37,17.99,3.3,4.25,1.8,2.02,2.54,3.58,0.77,0.55,0.67
2023Q1-2026Q2,expe_excess_1d_pct,EXPE day-1 excess return,abnb_nights_yoy,6,2023Q1 2023Q2 2023Q4 2024Q1 2024Q4 2026Q2,3.64,4.61,3.04,3.78,12.37,17.99,3.3,4.25,2.78,3.42,2.54,3.58,1.2,0.84,0.67
2023Q1-2026Q2,ota_room_nights_yoy,BKNG+EXPE mean room nights y/y,abnb_nights_yoy,3,2023Q1 2024Q1 2026Q2,,,,,,,,,,,,,,,
2023Q1-2026Q2,ota_room_nights_accel_pp,BKNG+EXPE mean room nights accel (pp),abnb_nights_yoy,3,2023Q1 2024Q1 2026Q2,,,,,,,,,,,,,,,
2023Q1-2026Q2,mar_revpar_yoy,MAR worldwide RevPAR y/y,abnb_nights_yoy,12,2023Q1 2023Q2 2023Q4 2024Q1 2024Q2 2024Q3 2024Q4 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,1.19,1.36,1.9,2.74,7.24,12.86,1.98,2.84,1.38,1.64,2.17,3.07,0.63,0.7,0.58
2023Q1-2026Q2,mar_revpar_accel_pp,MAR RevPAR accel (pp q/q),abnb_nights_yoy,12,2023Q1 2023Q2 2023Q4 2024Q1 2024Q2 2024Q3 2024Q4 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,3.77,6.27,1.9,2.74,7.24,12.86,1.98,2.84,1.51,2.06,2.17,3.07,1.98,0.76,0.67
2023Q1-2026Q2,mar_excess_1d_pct,MAR day-1 excess return,abnb_nights_yoy,12,2023Q1 2023Q2 2023Q4 2024Q1 2024Q2 2024Q3 2024Q4 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,2.55,3.39,1.9,2.74,7.24,12.86,1.98,2.84,2.12,3.0,2.17,3.07,1.34,1.07,0.33
2023Q1-2026Q2,hlt_revpar_yoy,HLT system-wide RevPAR y/y,abnb_nights_yoy,13,2023Q1 2023Q2 2023Q3 2023Q4 2024Q1 2024Q3 2024Q4 2025Q1 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,1.2,1.48,2.23,2.98,7.52,12.75,2.24,2.99,1.61,2.06,2.35,3.11,0.54,0.72,0.54
2023Q1-2026Q2,hlt_revpar_accel_pp,HLT RevPAR accel (pp q/q),abnb_nights_yoy,13,2023Q1 2023Q2 2023Q3 2023Q4 2024Q1 2024Q3 2024Q4 2025Q1 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,3.08,3.97,2.23,2.98,7.52,12.75,2.24,2.99,1.86,2.54,2.35,3.11,1.38,0.83,0.69
2023Q1-2026Q2,hlt_excess_1d_pct,HLT day-1 excess return,abnb_nights_yoy,13,2023Q1 2023Q2 2023Q3 2023Q4 2024Q1 2024Q3 2024Q4 2025Q1 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,2.72,3.69,2.23,2.98,7.52,12.75,2.24,2.99,2.49,3.35,2.35,3.11,1.22,1.11,0.15
2024Q1-2026Q2,bkng_room_nights_yoy,BKNG room nights y/y,abnb_nights_yoy,8,2024Q1 2024Q2 2024Q3 2025Q1 2025Q2 2025Q3 2026Q1 2026Q2,0.88,1.18,1.46,1.96,2.97,4.0,0.92,1.18,1.2,1.6,0.75,0.97,0.6,1.3,0.38
2024Q1-2026Q2,bkng_room_nights_accel_pp,BKNG room nights accel (pp q/q),abnb_nights_yoy,8,2024Q1 2024Q2 2024Q3 2025Q1 2025Q2 2025Q3 2026Q1 2026Q2,1.01,1.31,1.46,1.96,2.97,4.0,0.92,1.18,1.24,1.54,0.75,0.97,0.69,1.35,0.12
2024Q1-2026Q2,bkng_gb_yoy,BKNG gross bookings y/y (reported),abnb_nights_yoy,8,2024Q1 2024Q2 2024Q3 2025Q1 2025Q2 2025Q3 2026Q1 2026Q2,0.83,1.04,1.46,1.96,2.97,4.0,0.92,1.18,0.96,1.22,0.75,0.97,0.57,1.04,0.38
2024Q1-2026Q2,bkng_gb_yoy_cc,BKNG gross bookings y/y (constant currency),abnb_nights_yoy,6,2024Q2 2025Q1 2025Q2 2025Q3 2026Q1 2026Q2,1.19,1.36,1.49,2.01,1.6,1.8,1.2,1.59,2.0,2.46,0.85,1.11,0.8,1.67,0.5
2024Q1-2026Q2,bkng_excess_1d_pct,BKNG day-1 excess return,abnb_nights_yoy,8,2024Q1 2024Q2 2024Q3 2025Q1 2025Q2 2025Q3 2026Q1 2026Q2,0.95,1.1,1.46,1.96,2.97,4.0,0.92,1.18,1.15,1.34,0.75,0.97,0.65,1.25,0.12
2024Q1-2026Q2,expe_room_nights_yoy,EXPE room nights y/y,abnb_nights_yoy,3,2024Q1 2024Q4 2026Q2,,,,,,,,,,,,,,,
2024Q1-2026Q2,expe_room_nights_accel_pp,EXPE room nights accel (pp q/q),abnb_nights_yoy,3,2024Q1 2024Q4 2026Q2,,,,,,,,,,,,,,,
2024Q1-2026Q2,expe_gb_yoy,EXPE gross bookings y/y,abnb_nights_yoy,3,2024Q1 2024Q4 2026Q2,,,,,,,,,,,,,,,
2024Q1-2026Q2,expe_excess_1d_pct,EXPE day-1 excess return,abnb_nights_yoy,3,2024Q1 2024Q4 2026Q2,,,,,,,,,,,,,,,
2024Q1-2026Q2,ota_room_nights_yoy,BKNG+EXPE mean room nights y/y,abnb_nights_yoy,2,2024Q1 2026Q2,,,,,,,,,,,,,,,
2024Q1-2026Q2,ota_room_nights_accel_pp,BKNG+EXPE mean room nights accel (pp),abnb_nights_yoy,2,2024Q1 2026Q2,,,,,,,,,,,,,,,
2024Q1-2026Q2,mar_revpar_yoy,MAR worldwide RevPAR y/y,abnb_nights_yoy,9,2024Q1 2024Q2 2024Q3 2024Q4 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,1.33,1.52,1.35,1.73,2.78,3.83,1.23,1.56,1.68,1.91,1.11,1.47,0.99,1.37,0.22
2024Q1-2026Q2,mar_revpar_accel_pp,MAR RevPAR accel (pp q/q),abnb_nights_yoy,9,2024Q1 2024Q2 2024Q3 2024Q4 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,1.28,1.51,1.35,1.73,2.78,3.83,1.23,1.56,1.55,2.0,1.11,1.47,0.95,1.26,0.56
2024Q1-2026Q2,mar_excess_1d_pct,MAR day-1 excess return,abnb_nights_yoy,9,2024Q1 2024Q2 2024Q3 2024Q4 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,1.28,1.63,1.35,1.73,2.78,3.83,1.23,1.56,1.31,1.71,1.11,1.47,0.95,1.07,0.56
2024Q1-2026Q2,hlt_revpar_yoy,HLT system-wide RevPAR y/y,abnb_nights_yoy,9,2024Q1 2024Q3 2024Q4 2025Q1 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,1.22,1.48,1.75,2.26,2.7,3.79,1.41,1.73,1.4,1.51,1.19,1.55,0.7,0.99,0.67
2024Q1-2026Q2,hlt_revpar_accel_pp,HLT RevPAR accel (pp q/q),abnb_nights_yoy,9,2024Q1 2024Q3 2024Q4 2025Q1 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,1.31,1.59,1.75,2.26,2.7,3.79,1.41,1.73,1.6,1.92,1.19,1.55,0.75,1.13,0.67
2024Q1-2026Q2,hlt_excess_1d_pct,HLT day-1 excess return,abnb_nights_yoy,9,2024Q1 2024Q3 2024Q4 2025Q1 2025Q2 2025Q3 2025Q4 2026Q1 2026Q2,1.44,1.68,1.75,2.26,2.7,3.79,1.41,1.73,1.69,2.07,1.19,1.55,0.82,1.2,0.44
