quarter,ticker,report_date,acceptance_utc,reaction_date,stock_1d_pct,qqq_1d_pct,excess_1d_pct,room_nights_yoy,gb_yoy,gb_yoy_cc,gb_usd_b,rev_yoy,rev_yoy_cc,adj_ebitda_musd,adj_ebitda_margin_stated,rev_musd_xbrl,rev_yoy_xbrl,adj_ebitda_margin_pct,next_q_direction,next_q_note,guide_next_lo,guide_next_hi,guide_metric,room_nights_basis,gb_musd,rev_musd,room_nights_m,revpar_yoy
2022Q2,EXPE,2022-08-04,20:05,2022-08-05,0.31,-0.82,1.13,20.6,25.6,,,50.7,,648.0,,3181.0,50.7,20.4,,no quantified next-quarter guide in the release (given on the call),,,,booked,26139.0,3181.0,82.5,
2022Q2,HLT,2022-07-27,10:02,2022-07-27,7.51,4.23,3.29,,,,,,,,,,,,,,,,,,,,,54.3
2022Q2,MAR,2022-08-02,11:38,2022-08-02,-0.83,-0.3,-0.54,,,,,,,,,,,,,,,,,,,,,70.6
2022Q3,BKNG,2022-11-02,20:04,2022-11-03,2.67,-1.95,4.63,31.0,36.0,52.0,32.1,29.0,47.0,2658.0,43.9,6052.0,29.4,43.9,,no quantified next-quarter guide in the release (given on the call),,,,,,,,
2022Q3,EXPE,2022-11-03,20:06,2022-11-04,5.71,1.61,4.1,24.8,28.1,,,22.2,,1079.0,,3619.0,22.2,29.8,,no quantified next-quarter guide in the release (given on the call),,,,booked,23987.0,3619.0,81.6,
2022Q3,HLT,2022-10-26,10:02,2022-10-26,-0.5,-2.21,1.71,,,,,,,,,,,,,,,,,,,,,29.9
2022Q3,MAR,2022-11-03,10:52,2022-11-03,-4.26,-1.95,-2.3,,,,,,,,,,,,,,,,,,,,,36.3
2022Q4,BKNG,2023-02-23,21:03,2023-02-24,1.07,-1.67,2.75,39.0,44.0,58.0,27.3,36.0,49.0,1241.0,30.7,4049.0,35.8,30.6,,no quantified next-quarter guide in the release (given on the call),,,,,,,,
2022Q4,EXPE,2023-02-09,21:03,2023-02-10,-8.55,-0.66,-7.9,18.6,17.5,,,14.9,,449.0,,2618.0,14.9,17.2,,no quantified next-quarter guide in the release (given on the call),,,,booked,20511.0,2618.0,70.8,
2022Q4,HLT,2023-02-09,11:01,2023-02-09,2.39,-0.88,3.27,,,,,,,,,,,,,,,,,,,,,24.8
2022Q4,MAR,2023-02-14,12:28,2023-02-14,3.96,0.74,3.22,,,,,,,,,,,,,,,,,,,,,28.8
2023Q1,BKNG,2023-05-04,20:02,2023-05-05,-1.32,2.13,-3.44,38.0,44.0,52.0,39.4,40.0,47.0,586.0,15.5,3778.0,40.2,15.5,,no quantified next-quarter guide in the release (given on the call),,,,,,,,
2023Q1,EXPE,2023-05-04,20:11,2023-05-05,4.9,2.13,2.78,22.7,20.4,,,18.5,,185.0,,2665.0,18.5,6.9,,no quantified next-quarter guide in the release (given on the call),,,,booked,29401.0,2665.0,94.5,
2023Q1,HLT,2023-04-26,10:02,2023-04-26,-3.41,0.61,-4.02,,,,,,,,,,,,,,,,,,,,,30.0
2023Q1,MAR,2023-05-02,11:19,2023-05-02,4.98,-0.87,5.85,,,,,,,,,,,,,,,,,,,,,34.3
2023Q2,BKNG,2023-08-03,20:03,2023-08-04,7.86,-0.47,8.33,9.0,15.0,,39.7,27.0,,1778.0,32.6,5462.0,27.2,32.6,,no quantified next-quarter guide in the release (given on the call),,,,,,,,
2023Q2,EXPE,2023-08-03,13:01,2023-08-03,-16.38,-0.16,-16.22,8.7,4.5,,,5.6,,747.0,,3358.0,5.6,22.2,,no quantified next-quarter guide in the release (given on the call),,,,booked,27321.0,3358.0,89.7,
2023Q2,HLT,2023-07-26,10:02,2023-07-26,-0.58,-0.33,-0.24,,,,,,,,,,,,,,,,,,,,,12.1
2023Q2,MAR,2023-08-01,11:23,2023-08-01,1.45,-0.23,1.68,,,,,,,,,,,,,,,,,,,,,13.5
2023Q3,BKNG,2023-11-02,20:03,2023-11-03,0.71,1.17,-0.47,15.0,24.0,21.0,39.8,21.0,18.0,3284.0,44.7,7341.0,21.3,44.7,,no quantified next-quarter guide in the release (given on the call),,,,,,,,
2023Q3,EXPE,2023-11-02,20:03,2023-11-03,18.84,1.17,17.67,9.4,7.1,,,8.6,,1216.0,,3929.0,8.6,30.9,,no quantified next-quarter guide in the release (given on the call),,,,booked,25685.0,3929.0,89.3,
2023Q3,HLT,2023-10-25,10:02,2023-10-25,0.74,-2.45,3.18,,,,,,,,,,,,,,,,,,,,,6.8
2023Q3,MAR,2023-11-02,10:59,2023-11-02,-1.64,1.82,-3.46,,,,,,,,,,,,,,,,,,,,,8.8
2023Q4,BKNG,2024-02-22,21:01,2024-02-23,-10.15,-0.29,-9.85,9.0,16.0,,31.7,18.0,,1464.0,30.6,4784.0,18.2,30.6,,no quantified next-quarter guide in the release (given on the call),,,,,,,,
2023Q4,EXPE,2024-02-08,21:02,2024-02-09,-17.78,0.98,-18.77,9.3,5.7,,,10.3,,532.0,,2887.0,10.3,18.4,,no quantified next-quarter guide in the release (given on the call),,,,booked,21672.0,2887.0,77.4,
2023Q4,HLT,2024-02-07,11:02,2024-02-07,0.72,1.03,-0.3,,,,,,,,,,,,,,,,,,,,,5.7
2023Q4,MAR,2024-02-13,12:24,2024-02-13,-5.59,-1.56,-4.03,,,,,,,,,,,,,,,,,,,,,7.2
2024Q1,BKNG,2024-05-02,20:02,2024-05-03,3.01,2.01,1.0,9.0,10.0,,43.5,17.0,,898.0,20.3,4415.0,16.9,20.3,,no quantified next-quarter guide in the release (given on the call),,,,,,,,
2024Q1,EXPE,2024-05-02,20:02,2024-05-03,-15.25,2.01,-17.26,7.1,2.6,,,8.4,,255.0,,2889.0,8.4,8.8,,no quantified next-quarter guide in the release (given on the call),,,,booked,30164.0,2889.0,101.2,
2024Q1,HLT,2024-04-24,10:02,2024-04-24,3.89,0.34,3.55,,,,,,,,,,,,,,,,,,,,,2.0
2024Q1,MAR,2024-05-01,11:10,2024-05-01,-0.96,-0.72,-0.24,,,,,,,,,,,,,,,,,,,,,4.2
2024Q2,BKNG,2024-08-01,20:04,2024-08-02,-9.17,-2.37,-6.8,7.0,4.0,6.0,41.4,7.0,9.0,1895.0,32.4,5859.0,7.3,32.3,,no quantified next-quarter guide in the release (given on the call),,,,,,,,
2024Q2,EXPE,2024-08-08,20:02,2024-08-09,10.21,0.52,9.68,10.3,5.5,,,6.0,,786.0,,3558.0,6.0,22.1,,no quantified next-quarter guide in the release (given on the call),,,,booked,28837.0,3558.0,98.9,
2024Q2,HLT,2024-08-07,10:02,2024-08-07,-1.74,-1.08,-0.66,,,,,,,,,,,,,,,,,,,,,3.5
2024Q2,MAR,2024-07-31,11:13,2024-07-31,-4.8,2.96,-7.76,,,,,,,,,,,,,,,,,,,,,4.9
2024Q3,BKNG,2024-10-30,20:04,2024-10-31,4.76,-2.52,7.28,8.0,9.0,,43.4,9.0,,3665.0,45.8,7994.0,8.9,45.8,,no quantified next-quarter guide in the release (given on the call),,,,,,,,
2024Q3,EXPE,2024-11-07,21:03,2024-11-08,3.81,0.12,3.69,9.1,7.1,,,3.3,,1250.0,,4060.0,3.3,30.8,,no quantified next-quarter guide in the release (given on the call),,,,booked,27498.0,4060.0,97.4,
2024Q3,HLT,2024-10-23,10:02,2024-10-23,-1.94,-1.53,-0.41,,,,,,,,,,,,,,,,,,,,,1.4
2024Q3,MAR,2024-11-04,12:21,2024-11-04,-1.59,-0.29,-1.3,,,,,,,,,,,,,,,,,,,,,3.0
2024Q4,BKNG,2025-02-20,21:02,2025-02-21,-0.55,-2.08,1.53,13.0,17.0,18.0,,14.0,15.0,,33.8,5471.0,14.4,33.8,,no quantified next-quarter guide in the release (given on the call),,,,,,,,
2024Q4,EXPE,2025-02-06,21:02,2025-02-07,17.27,-1.26,18.53,11.6,12.7,,,10.3,,643.0,,3184.0,10.3,20.2,,no quantified next-quarter guide in the release (given on the call),,,,booked,24422.0,3184.0,86.4,
2024Q4,HLT,2025-02-06,11:02,2025-02-06,4.86,0.52,4.34,,,,,,,,,,,,,,,,,,,,,3.5
2024Q4,MAR,2025-02-11,12:30,2025-02-11,-5.4,-0.24,-5.17,,,,,,,,,,,,,,,,,,,,,5.0
2025Q1,BKNG,2025-04-29,20:04,2025-04-30,3.87,-0.01,3.88,7.0,7.0,10.0,,8.0,10.0,,22.9,4762.0,7.9,22.9,,no quantified next-quarter guide in the release (given on the call),,,,,,,,
2025Q1,EXPE,2025-05-08,20:01,2025-05-09,-7.3,-0.07,-7.23,6.4,4.3,,,3.4,,296.0,,2988.0,3.4,9.9,,no quantified next-quarter guide in the release (given on the call),,,,booked,31451.0,2988.0,107.7,
2025Q1,HLT,2025-04-29,10:02,2025-04-29,2.17,0.66,1.51,,,,,,,,,,,,,,,,,,,,,2.5
2025Q1,MAR,2025-05-06,11:01,2025-05-06,1.9,-0.93,2.83,,,,,,,,,,,,,,,,,,,,,4.1
2025Q2,BKNG,2025-07-29,20:02,2025-07-30,0.4,0.13,0.26,8.0,13.0,9.0,,16.0,12.0,,35.6,6798.0,16.0,35.6,decelerate,room nights y/y guide 3.5-5.5% vs 8% just reported,3.5,5.5,room nights y/y,,,,,
2025Q2,EXPE,2025-08-07,20:04,2025-08-08,4.08,0.93,3.14,6.7,5.5,,,6.4,,908.0,,3786.0,6.4,24.0,stable,gross bookings y/y guide 5-7% vs 5.5% just reported,5.0,7.0,gross bookings y/y,booked,30409.0,3786.0,105.5,
2025Q2,HLT,2025-07-23,10:02,2025-07-23,-2.55,0.46,-3.01,,,,,,,,,,,,,,,,,,,,,-0.5
2025Q2,MAR,2025-08-05,11:00,2025-08-05,0.23,-0.68,0.91,,,,,,,,,,,,,,,,,,,,,1.5
2025Q3,BKNG,2025-10-28,20:02,2025-10-29,-0.87,0.45,-1.32,8.0,14.0,10.0,,13.0,8.0,,47.0,9008.0,12.7,47.0,decelerate,room nights y/y guide 4-6% vs 8% just reported,4.0,6.0,room nights y/y,,,,,
2025Q3,EXPE,2025-11-06,21:02,2025-11-07,17.55,-0.32,17.86,11.1,11.7,,,8.7,,1449.0,,4412.0,8.7,32.8,decelerate,gross bookings y/y guide 6-8% vs 11.7% just reported,6.0,8.0,gross bookings y/y,booked,30727.0,4412.0,108.2,
2025Q3,HLT,2025-10-22,10:01,2025-10-22,3.42,-0.96,4.38,,,,,,,,,,,,,,,,,,,,,-1.1
2025Q3,MAR,2025-11-04,12:00,2025-11-04,3.16,-2.03,5.19,,,,,,,,,,,,,,,,,,,,,0.5
2025Q4,BKNG,2026-02-18,21:02,2026-02-19,-6.15,-0.38,-5.77,9.0,16.0,11.0,,16.0,11.0,,34.6,6349.0,16.0,34.6,decelerate,room nights y/y guide 5-7% vs 9% just reported,5.0,7.0,room nights y/y,,,,,
2025Q4,EXPE,2026-02-12,21:01,2026-02-13,-6.41,0.21,-6.62,9.0,10.6,,,11.4,,848.0,,3547.0,11.4,23.9,stable,gross bookings y/y guide 10-12% vs 10.6% just reported,10.0,12.0,gross bookings y/y,"booked (bullet, rounded)",27003.0,3547.0,,
2025Q4,HLT,2026-02-11,11:01,2026-02-11,0.44,0.27,0.17,,,,,,,,,,,,,,,,,,,,,0.5
2025Q4,MAR,2026-02-10,12:00,2026-02-10,8.5,-0.46,8.96,,,,,,,,,,,,,,,,,,,,,1.9
2026Q1,BKNG,2026-04-28,20:03,2026-04-29,0.35,0.61,-0.27,6.0,15.0,8.0,,16.0,10.0,,23.3,5532.0,16.2,23.3,decelerate,room nights y/y guide 2-4% vs 6% just reported,2.0,4.0,room nights y/y,,,,,
2026Q1,EXPE,2026-05-07,20:02,2026-05-08,-9.02,2.34,-11.37,5.8,13.0,,,14.7,,542.0,,3426.0,14.7,15.8,decelerate,gross bookings y/y guide 7-9% vs 13% just reported,7.0,9.0,gross bookings y/y,booked,35530.0,3426.0,113.9,
2026Q1,HLT,2026-04-28,10:02,2026-04-28,-2.73,-1.01,-1.73,,,,,,,,,,,,,,,,,,,,,3.6
2026Q1,MAR,2026-05-06,11:00,2026-05-06,1.28,2.08,-0.8,,,,,,,,,,,,,,,,,,,,,4.2
2026Q2,BKNG,2026-08-04,20:03,2026-08-05,6.56,-0.9,7.47,5.0,9.0,8.0,,8.0,7.0,,36.0,7352.0,8.1,36.0,decelerate,room nights y/y guide 3-5% vs 5% just reported,3.0,5.0,room nights y/y,,,,,
2026Q2,EXPE,2026-08-05,20:00,2026-08-06,-4.09,-0.37,-3.73,5.7,11.6,,,14.0,,1119.0,,4315.0,14.0,25.9,decelerate,gross bookings y/y guide 5-7% vs 11.6% just reported,5.0,7.0,gross bookings y/y,booked,33928.0,4315.0,111.5,
2026Q2,HLT,2026-07-28,10:01,2026-07-28,-2.54,-0.97,-1.57,,,,,,,,,,,,,,,,,,,,,3.9
2026Q2,MAR,2026-08-03,11:00,2026-08-03,-6.97,1.76,-8.73,,,,,,,,,,,,,,,,,,,,,3.4
