block,cell,n,value,note
by_guide_direction_cushion_adj,accel: P(excess 1d > 0),7,0.429,
by_guide_direction_cushion_adj,accel: P(|ABNB 1d| > 7%),7,0.429,
by_guide_direction_cushion_adj,"flat: mean excess 1d, %",1,-1.6,
by_guide_direction_cushion_adj,"flat: median excess 1d, %",1,-1.6,
by_guide_direction_cushion_adj,"flat: mean excess 5d, %",1,-8.4,
by_guide_direction_cushion_adj,"flat: median excess 5d, %",1,-8.4,
by_guide_direction_cushion_adj,"flat: mean excess 20d, %",1,-6.4,
by_guide_direction_cushion_adj,"flat: median excess 20d, %",1,-6.4,
by_guide_direction_cushion_adj,flat: P(excess 1d > 0),1,0.0,
by_guide_direction_cushion_adj,flat: P(|ABNB 1d| > 7%),1,0.0,
by_guide_direction_cushion_adj,"decel: mean excess 1d, %",9,-2.52,
by_guide_direction_cushion_adj,"decel: median excess 1d, %",9,-5.1,
by_guide_direction_cushion_adj,"decel: mean excess 5d, %",9,-4.2,
by_guide_direction_cushion_adj,"decel: median excess 5d, %",9,-6.0,
by_guide_direction_cushion_adj,"decel: mean excess 20d, %",9,-5.42,
by_guide_direction_cushion_adj,"decel: median excess 20d, %",9,-3.5,
by_guide_direction_cushion_adj,decel: P(excess 1d > 0),9,0.222,
by_guide_direction_cushion_adj,decel: P(|ABNB 1d| > 7%),9,0.556,
by_nights_direction,"accel: mean excess 1d, %",8,4.55,
by_nights_direction,"accel: median excess 1d, %",8,2.75,
by_nights_direction,"accel: mean excess 5d, %",8,1.56,
by_nights_direction,"accel: median excess 5d, %",8,-0.75,
by_nights_direction,"accel: mean excess 20d, %",7,0.8,
by_nights_direction,"accel: median excess 20d, %",7,0.9,
by_nights_direction,accel: P(excess 1d > 0),8,0.875,
by_nights_direction,accel: P(|ABNB 1d| > 7%),8,0.25,
by_nights_direction,"flat: mean excess 1d, %",4,-5.72,
by_nights_direction,"flat: median excess 1d, %",4,-8.6,
by_nights_direction,"flat: mean excess 5d, %",4,-9.02,
by_nights_direction,"flat: median excess 5d, %",4,-7.5,
by_nights_direction,"flat: mean excess 20d, %",4,-10.85,
by_nights_direction,"flat: median excess 20d, %",4,-11.3,
by_nights_direction,flat: P(excess 1d > 0),4,0.25,
by_nights_direction,flat: P(|ABNB 1d| > 7%),4,1.0,
by_nights_direction,"decel: mean excess 1d, %",11,-0.16,
by_nights_direction,"decel: median excess 1d, %",11,-1.6,
by_nights_direction,"decel: mean excess 5d, %",11,-3.41,
by_nights_direction,"decel: median excess 5d, %",11,-2.1,
by_nights_direction,"decel: mean excess 20d, %",11,-5.89,
by_nights_direction,"decel: median excess 20d, %",11,-3.7,
by_nights_direction,decel: P(excess 1d > 0),11,0.273,
by_nights_direction,decel: P(|ABNB 1d| > 7%),11,0.455,
by_nights_direction_2022Q2_on,"accel: mean excess 1d, %",5,6.04,
by_nights_direction_2022Q2_on,"accel: median excess 1d, %",5,4.4,
by_nights_direction_2022Q2_on,"accel: mean excess 5d, %",5,5.8,
by_nights_direction_2022Q2_on,"accel: median excess 5d, %",5,5.4,
by_nights_direction_2022Q2_on,"accel: mean excess 20d, %",4,1.35,
by_nights_direction_2022Q2_on,"accel: median excess 20d, %",4,-0.75,
by_nights_direction_2022Q2_on,accel: P(excess 1d > 0),5,0.8,
by_nights_direction_2022Q2_on,accel: P(|ABNB 1d| > 7%),5,0.4,
by_nights_direction_2022Q2_on,"flat: mean excess 1d, %",3,-9.07,
by_nights_direction_2022Q2_on,"flat: median excess 1d, %",3,-8.8,
by_nights_direction_2022Q2_on,"flat: mean excess 5d, %",3,-7.3,
by_nights_direction_2022Q2_on,"flat: median excess 5d, %",3,-7.3,
by_nights_direction_2022Q2_on,"flat: mean excess 20d, %",3,-9.3,
by_nights_direction_2022Q2_on,"flat: median excess 20d, %",3,-9.6,
by_nights_direction_2022Q2_on,flat: P(excess 1d > 0),3,0.0,
by_nights_direction_2022Q2_on,flat: P(|ABNB 1d| > 7%),3,1.0,
by_nights_direction_2022Q2_on,"decel: mean excess 1d, %",9,-3.07,
by_nights_direction_2022Q2_on,"decel: median excess 1d, %",9,-2.8,
by_nights_direction_2022Q2_on,"decel: mean excess 5d, %",9,-5.4,
by_nights_direction_2022Q2_on,"decel: median excess 5d, %",9,-2.5,
by_nights_direction_2022Q2_on,"decel: mean excess 20d, %",9,-6.58,
by_nights_direction_2022Q2_on,"decel: median excess 20d, %",9,-6.4,
by_nights_direction_2022Q2_on,decel: P(excess 1d > 0),9,0.111,
by_nights_direction_2022Q2_on,decel: P(|ABNB 1d| > 7%),9,0.333,
by_nights_accel_binary,"accel: mean excess 1d, %",8,4.55,
by_nights_accel_binary,"accel: median excess 1d, %",8,2.75,
by_nights_accel_binary,"accel: mean excess 5d, %",8,1.56,
by_nights_accel_binary,"accel: median excess 5d, %",8,-0.75,
by_nights_accel_binary,"accel: mean excess 20d, %",7,0.8,
by_nights_accel_binary,"accel: median excess 20d, %",7,0.9,
by_nights_accel_binary,accel: P(excess 1d > 0),8,0.875,
by_nights_accel_binary,accel: P(|ABNB 1d| > 7%),8,0.25,
by_nights_accel_binary,"not_accel: mean excess 1d, %",15,-1.65,
by_nights_accel_binary,"not_accel: median excess 1d, %",15,-2.8,
by_nights_accel_binary,"not_accel: mean excess 5d, %",15,-4.91,
by_nights_accel_binary,"not_accel: median excess 5d, %",15,-6.9,
by_nights_accel_binary,"not_accel: mean excess 20d, %",15,-7.21,
by_nights_accel_binary,"not_accel: median excess 20d, %",15,-6.4,
by_nights_accel_binary,not_accel: P(excess 1d > 0),15,0.267,
by_nights_accel_binary,not_accel: P(|ABNB 1d| > 7%),15,0.6,
by_nights_accel_binary,"perm p, mean excess 1d accel vs not_accel",23,0.102,"20000 shuffles, two-sided"
by_nights_accel_binary,"Fisher p, P(excess 1d>0) accel vs not_accel",23,0.009,
by_nights_accel_binary_2022Q2_on,"accel: mean excess 1d, %",5,6.04,
by_nights_accel_binary_2022Q2_on,"accel: median excess 1d, %",5,4.4,
by_nights_accel_binary_2022Q2_on,"accel: mean excess 5d, %",5,5.8,
by_nights_accel_binary_2022Q2_on,"accel: median excess 5d, %",5,5.4,
by_nights_accel_binary_2022Q2_on,"accel: mean excess 20d, %",4,1.35,
by_nights_accel_binary_2022Q2_on,"accel: median excess 20d, %",4,-0.75,
by_nights_accel_binary_2022Q2_on,accel: P(excess 1d > 0),5,0.8,
by_nights_accel_binary_2022Q2_on,accel: P(|ABNB 1d| > 7%),5,0.4,
by_nights_accel_binary_2022Q2_on,"not_accel: mean excess 1d, %",12,-4.57,
by_nights_accel_binary_2022Q2_on,"not_accel: median excess 1d, %",12,-5.5,
by_nights_accel_binary_2022Q2_on,"not_accel: mean excess 5d, %",12,-5.88,
by_nights_accel_binary_2022Q2_on,"not_accel: median excess 5d, %",12,-7.1,
by_nights_accel_binary_2022Q2_on,"not_accel: mean excess 20d, %",12,-7.26,
by_nights_accel_binary_2022Q2_on,"not_accel: median excess 20d, %",12,-7.05,
by_nights_accel_binary_2022Q2_on,not_accel: P(excess 1d > 0),12,0.083,
by_nights_accel_binary_2022Q2_on,not_accel: P(|ABNB 1d| > 7%),12,0.5,
by_nights_accel_binary_2022Q2_on,"perm p, mean excess 1d accel vs not_accel",17,0.017,"20000 shuffles, two-sided"
by_nights_accel_binary_2022Q2_on,"Fisher p, P(excess 1d>0) accel vs not_accel",17,0.01,
by_margin_vs_guide,"above: mean excess 1d, %",8,-2.33,
by_margin_vs_guide,"above: median excess 1d, %",8,-2.75,
by_margin_vs_guide,"above: mean excess 5d, %",8,-6.29,
by_margin_vs_guide,"above: median excess 5d, %",8,-7.1,
by_margin_vs_guide,"above: mean excess 20d, %",8,-6.55,
by_margin_vs_guide,"above: median excess 20d, %",8,-5.85,
by_margin_vs_guide,above: P(excess 1d > 0),8,0.375,
by_margin_vs_guide,above: P(|ABNB 1d| > 7%),8,0.625,
by_margin_vs_guide,"in_line: mean excess 1d, %",14,1.24,
by_margin_vs_guide,"in_line: median excess 1d, %",14,0.3,
by_margin_vs_guide,"in_line: mean excess 5d, %",14,-0.9,
by_margin_vs_guide,"in_line: median excess 5d, %",14,-1.25,
by_margin_vs_guide,"in_line: mean excess 20d, %",13,-3.65,
by_margin_vs_guide,"in_line: median excess 20d, %",13,-3.2,
by_margin_vs_guide,in_line: P(excess 1d > 0),14,0.5,
by_margin_vs_guide,in_line: P(|ABNB 1d| > 7%),14,0.357,
by_margin_vs_guide,below: n,0,0.0,
by_margin_vs_guide,"perm p, mean excess 1d above vs in_line",22,0.348,"20000 shuffles, two-sided"
by_margin_vs_guide,"Fisher p, P(excess 1d>0) above vs in_line",22,0.675,
by_fy_floor_action,"raised: mean excess 1d, %",7,0.81,
by_fy_floor_action,"raised: median excess 1d, %",7,0.0,
by_fy_floor_action,"raised: mean excess 5d, %",7,-2.53,
by_fy_floor_action,"raised: median excess 5d, %",7,-6.0,
by_fy_floor_action,"raised: mean excess 20d, %",6,-6.92,
by_fy_floor_action,"raised: median excess 20d, %",6,-7.05,
by_fy_floor_action,raised: P(excess 1d > 0),7,0.429,
by_fy_floor_action,raised: P(|ABNB 1d| > 7%),7,0.429,
by_fy_floor_action,"held: mean excess 1d, %",7,-7.74,
by_fy_floor_action,"held: median excess 1d, %",7,-8.4,
by_fy_floor_action,"held: mean excess 5d, %",7,-8.74,
by_fy_floor_action,"held: median excess 5d, %",7,-7.3,
by_fy_floor_action,"held: mean excess 20d, %",7,-9.49,
by_fy_floor_action,"held: median excess 20d, %",7,-12.2,
by_fy_floor_action,held: P(excess 1d > 0),7,0.0,
by_fy_floor_action,held: P(|ABNB 1d| > 7%),7,0.571,
by_fy_floor_action,"introduced: mean excess 1d, %",5,6.38,
by_fy_floor_action,"introduced: median excess 1d, %",5,4.4,
by_fy_floor_action,"introduced: mean excess 5d, %",5,2.8,
by_fy_floor_action,"introduced: median excess 5d, %",5,5.4,
by_fy_floor_action,"introduced: mean excess 20d, %",5,0.32,
by_fy_floor_action,"introduced: median excess 20d, %",5,-2.4,
by_fy_floor_action,introduced: P(excess 1d > 0),5,0.8,
by_fy_floor_action,introduced: P(|ABNB 1d| > 7%),5,0.4,
by_fy_floor_action,"none: mean excess 1d, %",4,7.08,
by_fy_floor_action,"none: median excess 1d, %",4,7.35,
by_fy_floor_action,"none: mean excess 5d, %",4,0.95,
by_fy_floor_action,"none: median excess 5d, %",4,-0.4,
by_fy_floor_action,"none: mean excess 20d, %",4,0.92,
by_fy_floor_action,"none: median excess 20d, %",4,-0.15,
by_fy_floor_action,none: P(excess 1d > 0),4,1.0,
by_fy_floor_action,none: P(|ABNB 1d| > 7%),4,0.5,
diagnostic_corr_vs_excess_1d,revenue beat vs midpoint %: Pearson r,19,0.235,p=0.332
diagnostic_corr_vs_excess_1d,revenue beat vs midpoint %: Spearman rho,19,0.285,p=0.236
diagnostic_corr_vs_excess_1d,revenue beat vs midpoint %: permutation p (Pearson),19,0.333,20000 shuffles
diagnostic_corr_vs_excess_1d,revenue beat vs top %: Pearson r,19,0.221,p=0.364
diagnostic_corr_vs_excess_1d,revenue beat vs top %: Spearman rho,19,0.322,p=0.178
diagnostic_corr_vs_excess_1d,revenue beat vs top %: permutation p (Pearson),19,0.368,20000 shuffles
diagnostic_corr_vs_excess_1d,"next-q guide implied yoy minus reported yoy, pp: Pearson r",20,0.105,p=0.659
diagnostic_corr_vs_excess_1d,"next-q guide implied yoy minus reported yoy, pp: Spearman rho",20,0.179,p=0.450
diagnostic_corr_vs_excess_1d,"next-q guide implied yoy minus reported yoy, pp: permutation p (Pearson)",20,0.669,20000 shuffles
diagnostic_corr_vs_excess_1d,"nights acceleration, pp: Pearson r",23,-0.172,p=0.433
diagnostic_corr_vs_excess_1d,"nights acceleration, pp: Spearman rho",23,0.122,p=0.581
diagnostic_corr_vs_excess_1d,"nights acceleration, pp: permutation p (Pearson)",23,0.449,20000 shuffles
diagnostic_corr_vs_excess_1d,"nights y/y, %: Pearson r",23,-0.016,p=0.941
diagnostic_corr_vs_excess_1d,"nights y/y, %: Spearman rho",23,0.197,p=0.368
diagnostic_corr_vs_excess_1d,"nights y/y, %: permutation p (Pearson)",23,0.943,20000 shuffles
diagnostic_corr_vs_excess_1d,"margin y/y change, pp: Pearson r",18,0.051,p=0.842
diagnostic_corr_vs_excess_1d,"margin y/y change, pp: Spearman rho",18,-0.101,p=0.689
diagnostic_corr_vs_excess_1d,"margin y/y change, pp: permutation p (Pearson)",18,0.848,20000 shuffles
diagnostic_corr_vs_excess_1d,"revenue y/y, %: Pearson r",23,0.033,p=0.879
diagnostic_corr_vs_excess_1d,"revenue y/y, %: Spearman rho",23,0.009,p=0.966
diagnostic_corr_vs_excess_1d,"revenue y/y, %: permutation p (Pearson)",23,0.872,20000 shuffles
diagnostic_corr_vs_excess_1d,excess 1d vs excess 20d (post-print drift?): Pearson r,22,0.418,p=0.053
diagnostic_corr_vs_excess_1d,excess 1d vs excess 20d (post-print drift?): Spearman rho,22,0.527,p=0.012
diagnostic_corr_vs_excess_1d,excess 1d vs excess 20d (post-print drift?): permutation p (Pearson),22,0.054,20000 shuffles
diagnostic_corr_vs_excess_1d,excess 1d vs excess 5d: Pearson r,23,0.793,p=0.000
diagnostic_corr_vs_excess_1d,excess 1d vs excess 5d: Spearman rho,23,0.729,p=0.000
diagnostic_corr_vs_excess_1d,excess 1d vs excess 5d: permutation p (Pearson),23,0.0,20000 shuffles
baseline_demo_revenue_forecast,guide_midpoint: MAE %,16,2.19,"prints 2022Q3 to 2026Q2; forecast minus actual, % of actual"
baseline_demo_revenue_forecast,guide_midpoint: RMSE %,16,2.42,
baseline_demo_revenue_forecast,guide_midpoint: max abs error %,16,4.3,
baseline_demo_revenue_forecast,guide_midpoint: mean signed error %,16,-2.19,negative = forecast below actual
baseline_demo_revenue_forecast,guide_mid_plus_prior_cushion: MAE %,16,1.12,"prints 2022Q3 to 2026Q2; forecast minus actual, % of actual"
baseline_demo_revenue_forecast,guide_mid_plus_prior_cushion: RMSE %,16,1.38,
baseline_demo_revenue_forecast,guide_mid_plus_prior_cushion: max abs error %,16,2.18,
baseline_demo_revenue_forecast,guide_mid_plus_prior_cushion: mean signed error %,16,0.82,negative = forecast below actual
baseline_demo_revenue_forecast,seasonal_naive: MAE %,16,4.06,"prints 2022Q3 to 2026Q2; forecast minus actual, % of actual"
baseline_demo_revenue_forecast,seasonal_naive: RMSE %,16,6.57,
baseline_demo_revenue_forecast,seasonal_naive: max abs error %,16,22.55,
baseline_demo_revenue_forecast,seasonal_naive: mean signed error %,16,2.18,negative = forecast below actual
multiple_comparisons,number of correlation tests in this file,9,9.0,expected false 5% hits at alpha=0.05 is n_tests*0.05; Bonferroni alpha is 0.05/n_tests
multiple_comparisons,Bonferroni alpha for this file,9,0.0056,
multiple_comparisons,"smallest detectable |r| at p<0.05, n=23 (two-sided)",23,0.413,"r_crit = t_crit/sqrt(t_crit^2+n-2), t_crit(21 df)=2.080"
multiple_comparisons,"smallest detectable |r| at p<0.05, n=19 (two-sided)",19,0.456,
