quarter,nights_yoy,nights_accel,gbv_yoy,adr_yoy,adr_exfx_yoy,adr_fx_effect,rev_beat_pct,excess_1d_pct,share_gap,cpi_lodging_sa,cpi_lodging_nsa,cpi_airfare,cpi_all,cpi_new_vehicles,umcsent,psavert,unrate,retail_sales_xauto,real_pce,real_dpi,pce_services,pce_durables,emp_leisure_hosp,air_rpm,vehicle_miles,initial_claims,usd_tw_broad,eurusd,bea_accom_nominal,bea_accom_real,bea_accom_price,bea_hotels_nominal,bea_hotels_real,bea_hotels_price,bea_inbound_foreign_travel,bea_outbound_us_travel
2022Q1,59.000,0.000,67.000,5.200,,,4.400,4.300,17.900,23.406,23.612,13.339,8.024,12.352,63.133,3.833,3.867,11.013,5.456,-12.399,12.820,9.027,18.025,79.251,6.465,-70.191,2.782,-6.885,70.983,41.069,19.677,67.363,31.516,27.136,210.376,204.122
2022Q2,25.000,-34.000,27.000,1.400,7.000,-5.600,1.200,-3.900,-7.900,16.215,16.122,35.208,8.585,12.429,57.867,2.467,3.633,7.870,2.729,-5.646,10.900,1.438,13.675,47.397,1.197,-56.562,6.383,-11.656,52.170,32.927,13.339,45.935,23.328,18.524,206.164,190.863
2022Q3,25.000,0.000,31.000,4.900,12.000,-7.100,1.900,-10.000,2.100,2.803,2.636,34.357,8.292,9.979,56.100,3.300,3.533,8.899,2.359,-3.031,9.625,6.393,9.373,25.532,0.413,-41.653,9.023,-14.583,26.359,22.881,2.078,25.862,22.162,3.049,199.870,106.533
2022Q4,20.000,-5.000,20.000,-0.500,5.000,-5.500,3.400,12.600,3.500,3.913,4.103,35.727,7.092,7.132,58.800,3.800,3.567,5.278,1.587,-0.946,9.461,0.816,7.299,17.995,-0.239,-16.793,8.565,-10.655,21.047,16.523,3.382,27.047,21.894,4.312,95.301,90.813
2023Q1,19.000,-1.000,19.000,0.200,3.000,-2.800,1.800,-12.000,5.300,7.111,7.219,22.874,5.730,5.894,64.600,5.467,3.533,3.440,2.615,5.074,9.844,2.772,6.303,20.725,2.515,-4.192,4.173,-4.336,21.298,13.678,6.442,28.783,19.471,7.933,69.442,84.779
2023Q2,11.000,-8.000,13.000,1.400,2.000,-0.600,3.500,-0.000,5.500,3.793,3.754,-11.446,4.044,4.724,62.300,5.900,3.533,0.715,2.163,6.744,8.497,2.773,5.284,13.038,2.734,8.533,0.364,2.278,9.499,5.479,3.735,11.537,7.235,3.995,31.271,38.122
2023Q3,14.000,3.000,17.000,3.200,0.500,2.700,1.400,-5.100,10.500,5.561,5.433,-15.006,3.566,2.997,69.567,5.467,3.633,2.500,2.459,5.598,7.524,2.889,4.038,12.114,0.902,9.826,-2.977,8.132,9.039,3.467,5.419,9.338,3.212,5.952,26.365,21.398
2023Q4,12.000,-2.000,15.000,2.600,0.500,2.100,3.200,-2.800,6.100,0.612,0.755,-11.636,3.233,1.395,64.933,5.533,3.800,3.055,3.024,5.434,7.132,3.725,3.123,9.398,0.262,2.302,-2.614,5.315,6.999,5.950,1.062,5.907,5.690,0.211,21.611,17.626
2024Q1,9.000,-3.000,12.000,2.600,2.000,0.600,4.500,-7.100,3.300,-0.599,-0.511,-6.694,3.244,0.359,78.433,6.133,3.833,1.205,2.336,3.499,7.158,-0.708,2.045,6.455,1.072,-1.676,0.278,1.168,5.858,5.708,0.185,4.600,5.557,-0.902,22.355,15.094
2024Q2,9.000,0.000,11.000,2.100,3.000,-0.900,1.400,-12.300,4.900,-1.170,-1.356,-5.599,3.192,-0.656,71.500,5.767,3.967,2.115,2.931,3.016,7.278,0.517,1.256,6.494,1.474,-2.877,2.613,-1.124,3.710,4.137,-0.389,2.141,3.928,-1.711,12.606,11.209
2024Q3,8.000,-1.000,10.000,1.400,2.000,-0.600,0.900,-8.800,6.600,-0.941,-1.142,-0.700,2.658,-1.161,68.133,5.100,4.167,1.950,3.151,2.814,7.254,1.624,0.727,3.319,1.199,-0.561,2.336,0.943,1.138,1.390,-0.242,-0.381,1.092,-1.476,10.391,11.908
2024Q4,12.000,4.000,13.000,0.900,2.000,-1.100,2.700,14.000,13.700,1.801,2.022,5.583,2.723,-0.798,72.100,4.733,4.133,3.784,3.364,2.449,7.153,5.504,0.793,2.248,2.067,6.541,3.477,-0.868,0.499,-1.683,2.218,-0.547,-2.264,1.751,7.558,14.014
2025Q1,8.000,-4.000,7.000,-0.900,1.000,-1.900,1.000,-0.500,10.800,0.476,0.504,0.123,2.724,-0.243,64.467,5.133,4.133,4.448,3.078,1.972,6.126,5.148,0.420,0.803,0.549,4.091,5.803,-2.984,-1.990,-2.796,0.829,-3.725,-3.677,-0.064,-0.369,9.696
2025Q2,7.000,-1.000,11.000,2.900,1.000,1.900,2.500,-8.400,5.900,-1.557,-1.607,-6.239,2.461,0.342,55.033,5.000,4.200,3.651,2.724,1.832,5.816,5.292,0.547,0.107,0.967,3.961,-0.082,5.347,-0.068,1.069,-1.125,-1.227,1.401,-2.579,-5.005,8.423
2025Q3,9.000,2.000,14.000,4.700,2.000,2.700,0.900,0.600,6.900,-1.927,-2.097,2.471,2.901,0.617,58.333,4.400,4.333,4.121,2.599,1.777,5.998,4.275,0.700,1.107,1.507,-1.000,-1.967,6.359,0.397,2.061,-1.630,-0.534,2.724,-3.137,-8.609,5.159
2025Q4,10.000,1.000,16.000,5.900,3.000,2.900,3.300,4.400,7.200,-1.945,-3.154,-3.904,2.830,0.582,52.500,3.767,4.450,2.692,2.110,1.048,5.895,1.449,0.715,0.722,0.550,-1.228,-3.997,9.127,1.086,2.830,-1.696,0.420,3.741,-3.200,-8.282,3.862
2026Q1,9.000,-1.000,19.000,9.000,4.000,5.000,2.600,-1.600,4.300,-0.176,-0.148,7.893,2.704,0.430,55.433,3.900,4.333,3.907,2.092,0.720,5.900,3.884,0.850,1.852,1.431,-4.209,-6.720,11.114,3.633,4.700,-1.020,3.833,6.222,-2.238,-4.830,-3.405
2026Q2,10.000,1.000,16.000,5.300,4.000,1.300,1.100,16.300,9.100,4.722,4.894,24.624,3.803,0.323,48.033,2.767,4.267,6.708,2.335,-0.118,6.261,5.209,0.859,0.341,0.228,-7.919,-2.542,2.559,5.409,0.901,4.467,6.196,1.187,4.950,-0.375,-3.735
2026Q3,,,,,,,,,,,,,,,,,4.100,,,,,,0.563,,,-10.415,-0.387,-1.557,,,,,,,,
