country,market,snapshot_date,h000_030,h031_060,h061_090,h091_180,h181_372,listings,fwd_curve_slope_30_to_180
australia,mid-north-coast,2026-07-16,0.3768,0.2626,0.3181,0.3657,0.3961,5280,0.0111
united-states,broward-county,2026-06-29,0.4266,0.2612,0.1847,0.2326,0.3705,17713,0.1940
china,hong-kong,2026-06-27,0.3207,0.2514,0.2401,0.3155,0.3725,6757,0.0052
united-kingdom,greater-manchester,2026-06-28,0.3777,0.2465,0.2029,0.2398,0.3533,6947,0.1379
australia,mornington-peninsula,2026-06-22,0.3280,0.2375,0.2180,0.2986,0.4467,4458,0.0294
united-states,dallas,2026-07-20,0.4024,0.2364,0.2243,0.2210,0.3051,6522,0.1813
united-states,newark,2026-06-30,0.3471,0.2266,0.1783,0.2182,0.3333,2019,0.1290
brazil,são-paulo,2026-06-14,0.3212,0.2068,0.1431,0.2260,0.3422,42378,0.0952
belize,belize,2026-06-29,0.3319,0.1968,0.1490,0.1629,0.2212,3608,0.1690
singapore,singapore,2026-06-29,0.3777,0.1823,0.1368,0.1810,0.2468,3247,0.1967
thailand,bangkok,2026-06-29,0.3091,0.1812,0.1218,0.1806,0.2892,31069,0.1284
colombia,bogotá,2026-06-21,0.2873,0.1653,0.1058,0.1171,0.1659,19187,0.1702
turkey,istanbul,2026-06-30,0.2473,0.1487,0.1246,0.1460,0.2569,26631,0.1013
kenya,nairobi,2026-06-15,0.1029,0.0560,0.0352,0.0366,0.0936,22008,0.0663
