print_quarter,reaction_date,revenue_musd,revenue_yoy_pct,guide_mid_musd,guide_high_musd,rev_vs_mid_pct,rev_vs_high_pct,beat_mid,beat_top,next_q_guide_mid_musd,next_q_guide_implied_yoy_pct,guide_vs_reported_yoy_pp,trailing_cushion_pct,guide_implied_yoy_cushion_adj_pct,guide_direction,guide_direction_cushion_adj,nights_m,nights_yoy_pct,nights_yoy_prior_q_pct,nights_accel_pp,nights_direction,adj_ebitda_margin_pct,margin_yoy_pp,take_rate_pct,margin_guided_direction,margin_vs_guide,margin_met,fy_floor_action,fy_floor_detail,abnb_1d_pct,qqq_1d_pct,excess_1d_pct,abnb_5d_pct,qqq_5d_pct,excess_5d_pct,abnb_20d_pct,qqq_20d_pct,excess_20d_pct,source_flags
2023Q2,2023-08-04,2484.0,18.0,2400.0,2450.0,3.5,1.4,1.0,1.0,3350.0,16.2,-1.8,3.29,19.4,decel,accel,115.1,11.0,18.6,-7.6,decel,33.0,-0.8,13.0,"EBITDA similar nominal, margin lower",in_line,1.0,raised,FY23 modestly higher than 2022,-0.5,-0.5,-0.0,-3.5,-1.4,-2.1,-6.6,1.1,-7.7,
2023Q3,2023-11-02,3397.0,18.0,3350.0,3400.0,1.4,-0.1,1.0,0.0,2150.0,13.0,-5.0,3.05,16.1,decel,decel,113.2,13.5,11.0,2.5,accel,54.0,3.5,18.6,"record EBITDA, margin above Q3 2022",in_line,1.0,raised,FY23 about 150 bps above 2022,-3.3,1.8,-5.1,-1.5,4.5,-6.0,5.8,8.9,-3.2,
2023Q4,2024-02-14,2218.0,17.0,2150.0,2170.0,3.2,2.2,1.0,1.0,2050.0,12.8,-4.2,3.07,15.8,decel,decel,98.8,12.0,13.5,-1.5,decel,33.3,6.7,14.3,"record EBITDA, margin above Q4 2022",in_line,1.0,introduced,FY24 at least 35% (first numeric floor),-1.7,1.1,-2.8,-1.0,-0.7,-0.4,9.2,2.7,6.5,
2024Q1,2024-05-09,2142.0,18.0,2050.0,2070.0,4.5,3.5,1.0,1.0,2710.0,9.1,-8.9,3.21,12.3,decel,decel,132.6,9.5,12.0,-2.5,decel,19.8,5.4,9.4,margin up (Easter timing),in_line,1.0,held,FY24 at least 35%,-6.9,0.2,-7.1,-7.7,2.9,-10.6,-6.9,5.3,-12.2,
2024Q2,2024-08-07,2748.0,11.0,2710.0,2740.0,1.4,0.3,1.0,1.0,3700.0,8.9,-2.1,3.05,12.0,decel,accel,125.1,8.7,9.5,-0.8,decel,32.5,-0.5,13.0,"nominal flat to up, margin down",above,1.0,held,FY24 at least 35%,-13.4,-1.1,-12.3,-10.4,5.2,-15.6,-11.7,4.8,-16.5,
2024Q3,2024-11-08,3732.0,10.0,3700.0,3730.0,0.9,0.1,1.0,1.0,2415.0,8.9,-1.1,2.87,11.7,decel,accel,122.8,8.5,8.7,-0.2,flat,52.5,-1.5,18.6,"EBITDA about flat nominal, margin down",in_line,1.0,raised,FY24 about 35.5%,-8.7,0.1,-8.8,-8.7,-0.9,-7.7,-7.1,2.5,-9.6,
2024Q4,2025-02-14,2480.0,12.0,2415.0,2440.0,2.7,1.6,1.0,1.0,2250.0,5.0,-7.0,2.85,7.9,decel,decel,111.0,12.3,8.5,3.8,accel,30.8,-2.5,14.1,margin down several points,in_line,1.0,introduced,FY25 at least 34.5%,14.4,0.4,14.0,3.6,-1.8,5.4,-12.9,-10.5,-2.4,
2025Q1,2025-05-02,2272.0,6.0,2250.0,2270.0,1.0,0.1,1.0,1.0,3020.0,9.9,3.9,2.72,12.6,accel,accel,143.1,7.9,12.3,-4.4,decel,18.4,-1.4,9.3,"margin down (calendar, FX)",in_line,1.0,held,FY25 at least 34.5%,1.0,1.5,-0.5,1.9,1.4,0.5,4.0,7.8,-3.7,
2025Q2,2025-08-07,3096.0,13.0,3020.0,3050.0,2.5,1.5,1.0,1.0,4060.0,8.8,-4.2,2.71,11.5,decel,decel,134.4,7.4,7.9,-0.5,flat,33.7,1.2,13.2,flat to slightly down,above,1.0,held,FY25 at least 34.5%,-8.0,0.3,-8.4,-4.6,2.3,-6.9,-3.9,1.4,-5.3,
2025Q3,2025-11-07,4095.0,10.0,4060.0,4100.0,0.9,-0.1,1.0,0.0,2690.0,8.5,-1.5,2.59,11.1,decel,accel,133.6,8.8,7.4,1.4,accel,50.1,-2.4,17.9,"EBITDA above $2.0B, margin below Q3 2024",in_line,1.0,raised,FY25 about 35%,0.3,-0.3,0.6,0.5,-0.5,1.1,3.1,2.3,0.9,
2025Q4,2026-02-13,2778.0,12.0,2690.0,2720.0,3.3,2.1,1.0,1.0,2610.0,14.9,2.9,2.64,17.5,accel,accel,121.9,9.8,8.8,1.0,accel,28.3,-2.5,13.6,"EBITDA flat to down, margin down",in_line,1.0,introduced,FY26 stable (about 35%),4.6,0.2,4.4,10.3,1.4,8.9,8.9,-1.2,10.1,
2026Q1,2026-05-08,2678.0,18.0,2610.0,2630.0,2.6,1.8,1.0,1.0,3570.0,15.3,-2.7,2.63,17.9,decel,flat,156.2,9.2,9.8,-0.6,decel,19.4,1.0,9.2,margin flat,above,1.0,raised,FY26 at least 35%,0.7,2.3,-1.6,-4.8,3.6,-8.4,-4.9,1.5,-6.4,
2026Q2,2026-08-07,3608.0,17.0,3570.0,3600.0,1.1,0.2,1.0,1.0,4730.0,15.5,-1.5,2.55,18.1,decel,accel,148.3,10.3,9.2,1.1,accel,35.0,1.3,13.3,EBITDA and margin up y/y,in_line,1.0,raised,FY26 at least 35.5%,17.4,1.2,16.3,22.1,2.4,19.6,,,,
