quarter,ticker,metric,report_date,accession,exhibit_url,extracted_text
2021Q2,BKNG,gross_bookings,2021-08-04,0001075531-21-000042,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000042/ex99163021.htm,"gross travel bookings for Booking Holdings Inc. (the ""Company,"" ""Booking Holdings,"" ""we,"" ""our"" or ""us""), which refers to the total dollar value, generally inclusive of taxes and fees, of all travel services booked by it"
2021Q2,BKNG,revenue,2021-08-04,0001075531-21-000042,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000042/ex99163021.htm,"total revenues for the 2nd quarter of 2021 were $2.2 billion, a 243% increase from the prior year quarter (approximately a 229% increase on a constant-currency basis)"
2021Q2,BKNG,room_nights,2021-08-04,0001075531-21-000042,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000042/ex99163021.htm,Room nights booked in the 2nd quarter increased 458%
2021Q3,BKNG,adj_ebitda,2021-11-03,0001075531-21-000051,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000051/ex99193021.htm,"Adjusted EBITDA | | $ | 2,111"
2021Q3,BKNG,adj_ebitda_margin,2021-11-03,0001075531-21-000051,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000051/ex99193021.htm,Adjusted EBITDA as a % of Total Revenues | | 45.1 | %
2021Q3,BKNG,gross_bookings,2021-11-03,0001075531-21-000051,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000051/ex99193021.htm,"gross travel bookings for Booking Holdings Inc. (the ""Company,"" ""Booking Holdings,"" ""we,"" ""our"" or ""us""), which refers to the total dollar value, generally inclusive of taxes and fees, of all travel services booked by it"
2021Q3,BKNG,revenue,2021-11-03,0001075531-21-000051,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000051/ex99193021.htm,"total revenues for the 3rd quarter of 2021 were $4.7 billion, a 77% increase from the prior year quarter (approximately a 76% increase on a constant-currency basis)"
2021Q3,BKNG,room_nights,2021-11-03,0001075531-21-000051,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000051/ex99193021.htm,Room nights booked in the 3rd quarter increased 44%
2021Q4,BKNG,adj_ebitda,2022-02-23,0001075531-22-000006,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000006/ex99112312021.htm,Adjusted EBITDA | | $ | 940
2021Q4,BKNG,adj_ebitda_margin,2022-02-23,0001075531-22-000006,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000006/ex99112312021.htm,Adjusted EBITDA as a % of Total Revenues | | 31.5 | %
2021Q4,BKNG,gross_bookings,2022-02-23,0001075531-22-000006,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000006/ex99112312021.htm,"gross travel bookings for Booking Holdings Inc. (the ""Company,"" ""Booking Holdings,"" ""we,"" ""our,"" or ""us""), which refers to the total dollar value, generally inclusive of taxes and fees, of all travel services booked by i"
2021Q4,BKNG,revenue,2022-02-23,0001075531-22-000006,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000006/ex99112312021.htm,"total revenues for the 4th quarter of 2021 were $3.0 billion, an increase of 141% from the prior year quarter"
2021Q4,BKNG,room_nights,2022-02-23,0001075531-22-000006,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000006/ex99112312021.htm,Room nights booked in the 4th quarter increased 100%
2022Q1,BKNG,adj_ebitda,2022-05-04,0001075531-22-000020,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000020/ex99133122.htm,Adjusted EBITDA | | | | | | $ | 310
2022Q1,BKNG,adj_ebitda_margin,2022-05-04,0001075531-22-000020,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000020/ex99133122.htm,Adjusted EBITDA as a % of Total Revenues | | | | | | 11.5 | %
2022Q1,BKNG,gross_bookings,2022-05-04,0001075531-22-000020,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000020/ex99133122.htm,"gross travel bookings for Booking Holdings Inc. (the ""Company,"" ""Booking Holdings,"" ""we,"" ""our,"" or ""us""), which refers to the total dollar value, generally inclusive of taxes and fees, of all travel services booked by i"
2022Q1,BKNG,revenue,2022-05-04,0001075531-22-000020,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000020/ex99133122.htm,"total revenues for the 1st quarter of 2022 were $2.7 billion, an increase of 136% from the prior-year quarter"
2022Q1,BKNG,room_nights,2022-05-04,0001075531-22-000020,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000020/ex99133122.htm,Room nights booked in the 1st quarter of 2022 increased 100%
2022Q2,BKNG,adj_ebitda,2022-08-03,0001075531-22-000031,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000031/ex99163022.htm,"Adjusted EBITDA | | $ | 1,086"
2022Q2,BKNG,adj_ebitda_margin,2022-08-03,0001075531-22-000031,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000031/ex99163022.htm,Adjusted EBITDA as a % of Total Revenues | | 25.3 | %
2022Q2,BKNG,gross_bookings,2022-08-03,0001075531-22-000031,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000031/ex99163022.htm,"gross travel bookings for Booking Holdings Inc. (the ""Company,"" ""Booking Holdings,"" ""we,"" ""our,"" or ""us""), which refers to the total dollar value, generally inclusive of taxes and fees, of all travel services booked by i"
2022Q2,BKNG,revenue,2022-08-03,0001075531-22-000031,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000031/ex99163022.htm,"total revenues for the 2nd quarter of 2022 were $4.3 billion, an increase of 99% from the prior-year quarter"
2022Q2,BKNG,room_nights,2022-08-03,0001075531-22-000031,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000031/ex99163022.htm,Room nights booked in the 2nd quarter of 2022 increased 56%
2022Q3,BKNG,adj_ebitda,2022-11-02,0001075531-22-000042,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000042/ex99193022.htm,"Adjusted EBITDA | | $ | 2,658"
2022Q3,BKNG,adj_ebitda_margin,2022-11-02,0001075531-22-000042,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000042/ex99193022.htm,Adjusted EBITDA as a % of Total Revenues | | 43.9 | %
2022Q3,BKNG,gross_bookings,2022-11-02,0001075531-22-000042,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000042/ex99193022.htm,"gross travel bookings for Booking Holdings Inc. (the ""Company,"" ""Booking Holdings,"" ""we,"" ""our,"" or ""us""), which refers to the total dollar value, generally inclusive of taxes and fees, of all travel services booked by i"
2022Q3,BKNG,revenue,2022-11-02,0001075531-22-000042,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000042/ex99193022.htm,"total revenues for the 3rd quarter of 2022 were $6.1 billion, an increase of 29% from the prior-year quarter (approximately a 47% increase on a constant-currency basis)"
2022Q3,BKNG,room_nights,2022-11-02,0001075531-22-000042,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000042/ex99193022.htm,Room nights booked in the 3rd quarter of 2022 increased 31%
2022Q4,BKNG,adj_ebitda,2023-02-23,0001075531-23-000012,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000012/ex991123122.htm,"Adjusted EBITDA | | $ | 1,241"
2022Q4,BKNG,adj_ebitda_margin,2023-02-23,0001075531-23-000012,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000012/ex991123122.htm,Adjusted EBITDA as a % of Total Revenues | | 30.7 | %
2022Q4,BKNG,gross_bookings,2023-02-23,0001075531-23-000012,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000012/ex991123122.htm,"gross travel bookings for Booking Holdings Inc. (the ""Company,"" ""Booking Holdings,"" ""we,"" ""our,"" or ""us""), which refers to the total dollar value, generally inclusive of taxes and fees, of all travel services booked by i"
2022Q4,BKNG,revenue,2023-02-23,0001075531-23-000012,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000012/ex991123122.htm,"total revenues for the 4th quarter of 2022 were $4.0 billion, an increase of 36% from the prior-year quarter (approximately a 49% increase on a constant-currency basis)"
2022Q4,BKNG,room_nights,2023-02-23,0001075531-23-000012,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000012/ex991123122.htm,Room nights booked in the 4th quarter of 2022 increased 39%
2023Q1,BKNG,adj_ebitda,2023-05-04,0001075531-23-000029,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000029/ex99133123.htm,Adjusted EBITDA | | | | | | $ | 586
2023Q1,BKNG,adj_ebitda_margin,2023-05-04,0001075531-23-000029,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000029/ex99133123.htm,Adjusted EBITDA as a % of Total Revenues | | | | | | 15.5 | %
2023Q1,BKNG,gross_bookings,2023-05-04,0001075531-23-000029,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000029/ex99133123.htm,"Gross travel bookings, which refers to the total dollar value, generally inclusive of taxes and fees, of all travel services booked by our customers, net of cancellations, were $39.4 billion, an increase of 44% from the "
2023Q1,BKNG,revenue,2023-05-04,0001075531-23-000029,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000029/ex99133123.htm,"Total revenues were $3.8 billion, an increase of 40% from the prior-year quarter (approximately a 47% increase on a constant-currency basis)"
2023Q1,BKNG,room_nights,2023-05-04,0001075531-23-000029,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000029/ex99133123.htm,Room nights booked increased 38%
2023Q2,BKNG,adj_ebitda,2023-08-03,0001075531-23-000045,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000045/ex99163023.htm,"Adjusted EBITDA | | $ | 1,778"
2023Q2,BKNG,adj_ebitda_margin,2023-08-03,0001075531-23-000045,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000045/ex99163023.htm,Adjusted EBITDA as a % of Total Revenues | | 32.6 | %
2023Q2,BKNG,gross_bookings,2023-08-03,0001075531-23-000045,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000045/ex99163023.htm,"Gross travel bookings, which refers to the total dollar value, generally inclusive of taxes and fees, of all travel services booked by our customers, net of cancellations, were $39.7 billion, an increase of 15% from the "
2023Q2,BKNG,revenue,2023-08-03,0001075531-23-000045,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000045/ex99163023.htm,"Total revenues were $5.5 billion, an increase of 27% from the prior-year quarter"
2023Q2,BKNG,room_nights,2023-08-03,0001075531-23-000045,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000045/ex99163023.htm,Room nights booked increased 9%
2023Q3,BKNG,adj_ebitda,2023-11-02,0001075531-23-000060,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000060/ex99193023.htm,"Adjusted EBITDA | | $ | 3,284"
2023Q3,BKNG,adj_ebitda_margin,2023-11-02,0001075531-23-000060,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000060/ex99193023.htm,Adjusted EBITDA as a % of Total Revenues | | 44.7 | %
2023Q3,BKNG,gross_bookings,2023-11-02,0001075531-23-000060,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000060/ex99193023.htm,"Gross travel bookings, which refers to the total dollar value, generally inclusive of taxes and fees, of all travel services booked by our customers, net of cancellations, were $39.8 billion, an increase of 24% from the "
2023Q3,BKNG,revenue,2023-11-02,0001075531-23-000060,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000060/ex99193023.htm,"Total revenues were $7.3 billion, an increase of 21% from the prior-year quarter (approximately an 18% increase on a constant-currency basis)"
2023Q3,BKNG,room_nights,2023-11-02,0001075531-23-000060,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000060/ex99193023.htm,Room nights booked increased 15%
2023Q4,BKNG,adj_ebitda,2024-02-22,0001075531-24-000011,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000011/ex991123123.htm,"Adjusted EBITDA | | $ | 1,464"
2023Q4,BKNG,adj_ebitda_margin,2024-02-22,0001075531-24-000011,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000011/ex991123123.htm,Adjusted EBITDA as a % of Total Revenues | | 30.6 | %
2023Q4,BKNG,gross_bookings,2024-02-22,0001075531-24-000011,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000011/ex991123123.htm,"Gross travel bookings, which refers to the total dollar value, generally inclusive of taxes and fees, of all travel services booked by our customers, net of cancellations, for the fourth quarter were $31.7 billion, an in"
2023Q4,BKNG,revenue,2024-02-22,0001075531-24-000011,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000011/ex991123123.htm,"Total revenues were $4.8 billion, an increase of 18% from the prior-year quarter"
2023Q4,BKNG,room_nights,2024-02-22,0001075531-24-000011,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000011/ex991123123.htm,Room nights booked increased 9%
2024Q1,BKNG,adj_ebitda,2024-05-02,0001075531-24-000026,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000026/ex99133124.htm,Adjusted EBITDA | | | | | | $ | 898
2024Q1,BKNG,adj_ebitda_margin,2024-05-02,0001075531-24-000026,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000026/ex99133124.htm,Adjusted EBITDA as a % of Total Revenues | | | | | | 20.3 | %
2024Q1,BKNG,gross_bookings,2024-05-02,0001075531-24-000026,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000026/ex99133124.htm,"Gross travel bookings, which refers to the total dollar value, generally inclusive of taxes and fees, of all travel services booked by our customers, net of cancellations, were $43.5 billion, an increase of 10% from the "
2024Q1,BKNG,revenue,2024-05-02,0001075531-24-000026,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000026/ex99133124.htm,"Total revenues were $4.4 billion, an increase of 17% from the prior-year quarter"
2024Q1,BKNG,room_nights,2024-05-02,0001075531-24-000026,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000026/ex99133124.htm,Room nights booked increased 9%
2024Q2,BKNG,adj_ebitda,2024-08-01,0001075531-24-000039,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000039/ex99163024.htm,"Adjusted EBITDA | | $ | 1,895"
2024Q2,BKNG,adj_ebitda_margin,2024-08-01,0001075531-24-000039,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000039/ex99163024.htm,Adjusted EBITDA as a % of Total Revenues | | 32.4 | %
2024Q2,BKNG,gross_bookings,2024-08-01,0001075531-24-000039,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000039/ex99163024.htm,"Gross travel bookings, which refers to the total dollar value, generally inclusive of taxes and fees, of all travel services booked by our customers, net of cancellations, were $41.4 billion, an increase of 4% from the p"
2024Q2,BKNG,revenue,2024-08-01,0001075531-24-000039,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000039/ex99163024.htm,"Total revenues were $5.9 billion, an increase of 7% from the prior-year quarter (approximately a 9% increase on a constant-currency basis)"
2024Q2,BKNG,room_nights,2024-08-01,0001075531-24-000039,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000039/ex99163024.htm,Room nights booked increased 7%
2024Q3,BKNG,adj_ebitda,2024-10-30,0001075531-24-000047,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000047/ex99193024.htm,"Adjusted EBITDA | | $ | 3,665"
2024Q3,BKNG,adj_ebitda_margin,2024-10-30,0001075531-24-000047,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000047/ex99193024.htm,Adjusted EBITDA as a % of Total Revenues | | 45.8 | %
2024Q3,BKNG,gross_bookings,2024-10-30,0001075531-24-000047,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000047/ex99193024.htm,"Gross travel bookings, which refers to the total dollar value, generally inclusive of taxes and fees, of all travel services booked by our customers, net of cancellations, were $43.4 billion, an increase of 9% from the p"
2024Q3,BKNG,revenue,2024-10-30,0001075531-24-000047,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000047/ex99193024.htm,"Total revenues were $8.0 billion, an increase of 9% from the prior-year quarter"
2024Q3,BKNG,room_nights,2024-10-30,0001075531-24-000047,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000047/ex99193024.htm,Room nights booked increased 8%
2024Q4,BKNG,adj_ebitda_margin,2025-02-20,0001075531-25-000009,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000009/bnkgq42024earningspressr.htm,Adjusted EBITDA margin of 33.8%
2024Q4,BKNG,gross_bookings,2025-02-20,0001075531-25-000009,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000009/bnkgq42024earningspressr.htm,"Gross bookings grew 17% compared to 2023, or 18% on a constant-currency basis"
2024Q4,BKNG,revenue,2025-02-20,0001075531-25-000009,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000009/bnkgq42024earningspressr.htm,"Revenue grew 14% compared to 2023, or 15% on a constant-currency basis"
2024Q4,BKNG,room_nights,2025-02-20,0001075531-25-000009,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000009/bnkgq42024earningspressr.htm,Room nights grew 13%
2025Q1,BKNG,adj_ebitda_margin,2025-04-29,0001075531-25-000021,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000021/bkngq12025earningspressr.htm,Adjusted EBITDA margin of 22.9%
2025Q1,BKNG,gross_bookings,2025-04-29,0001075531-25-000021,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000021/bkngq12025earningspressr.htm,"Gross bookings grew 7% compared to the first quarter of 2024, or 10% on a constant currency basis"
2025Q1,BKNG,revenue,2025-04-29,0001075531-25-000021,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000021/bkngq12025earningspressr.htm,"Revenue grew 8% compared to the first quarter of 2024, or 10% on a constant currency basis"
2025Q1,BKNG,room_nights,2025-04-29,0001075531-25-000021,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000021/bkngq12025earningspressr.htm,Room nights grew 7%
2025Q2,BKNG,adj_ebitda_margin,2025-07-29,0001075531-25-000035,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000035/bkngq22025earningspressr.htm,Adjusted EBITDA margin of 35.6%
2025Q2,BKNG,gross_bookings,2025-07-29,0001075531-25-000035,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000035/bkngq22025earningspressr.htm,"Gross bookings grew 13% compared to the second quarter of 2024, or 9% on a constant currency basis"
2025Q2,BKNG,outlook,2025-07-29,0001075531-25-000035,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000035/bkngq22025earningspressr.htm,"mation About Forward-Looking Statements"" section of this release. (growth is on a year-over-year basis) Q3 2025 FY 2025 Room Nights Growth 3.5% - 5.5% Gross Bookings Growth 8% - 10% Low Double Digits Constant C"
2025Q2,BKNG,revenue,2025-07-29,0001075531-25-000035,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000035/bkngq22025earningspressr.htm,"Revenue grew 16% compared to the second quarter of 2024, or 12% on a constant currency basis"
2025Q2,BKNG,room_nights,2025-07-29,0001075531-25-000035,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000035/bkngq22025earningspressr.htm,Room nights grew 8%
2025Q3,BKNG,adj_ebitda_margin,2025-10-28,0001075531-25-000050,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000050/q3-25bkngearningsrelease.htm,Adjusted EBITDA margin of 47.0%
2025Q3,BKNG,gross_bookings,2025-10-28,0001075531-25-000050,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000050/q3-25bkngearningsrelease.htm,"Gross bookings grew 14% compared to the third quarter of 2024, or 10% on a constant currency basis"
2025Q3,BKNG,outlook,2025-10-28,0001075531-25-000050,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000050/q3-25bkngearningsrelease.htm,"mation About Forward-Looking Statements"" section of this release. (growth is on a year-over-year basis) Q4 2025 FY 2025 Room Nights Growth 4% - 6% About 7% Gross Bookings Growth 11% - 13% About 11% - 12% Co"
2025Q3,BKNG,revenue,2025-10-28,0001075531-25-000050,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000050/q3-25bkngearningsrelease.htm,"Revenue grew 13% compared to the third quarter of 2024, or 8% on a constant currency basis"
2025Q3,BKNG,room_nights,2025-10-28,0001075531-25-000050,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000050/q3-25bkngearningsrelease.htm,Room nights grew 8%
2025Q4,BKNG,adj_ebitda_margin,2026-02-18,0001075531-26-000008,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000008/q4-25bkngearningsrelease.htm,Adjusted EBITDA margin of 34.6%
2025Q4,BKNG,gross_bookings,2026-02-18,0001075531-26-000008,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000008/q4-25bkngearningsrelease.htm,"Gross bookings grew 16% compared to 2024, or approximately 11% on a constant currency basis"
2025Q4,BKNG,outlook,2026-02-18,0001075531-26-000008,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000008/q4-25bkngearningsrelease.htm,"mation About Forward-Looking Statements"" section of this release. (growth is on a year-over-year basis) Q1 2026 FY 2026 Room Nights Growth 5% - 7% Gross Bookings Growth 14% - 16% Low Double Digits Constant "
2025Q4,BKNG,revenue,2026-02-18,0001075531-26-000008,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000008/q4-25bkngearningsrelease.htm,"Revenue grew 16% compared to 2024, or approximately 11% on a constant currency basis"
2025Q4,BKNG,room_nights,2026-02-18,0001075531-26-000008,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000008/q4-25bkngearningsrelease.htm,Room nights grew 9%
2026Q1,BKNG,adj_ebitda_margin,2026-04-28,0001075531-26-000024,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000024/q1-26bkngearningsrelease.htm,Adjusted EBITDA margin of 23.3%
2026Q1,BKNG,gross_bookings,2026-04-28,0001075531-26-000024,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000024/q1-26bkngearningsrelease.htm,"Gross bookings grew 15% compared to the first quarter of 2025, or approximately 8% on a constant currency basis"
2026Q1,BKNG,outlook,2026-04-28,0001075531-26-000024,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000024/q1-26bkngearningsrelease.htm,"mation About Forward-Looking Statements"" section of this release. (growth is on a year-over-year basis) Q2 2026 FY 2026 Room Nights Growth 2% - 4% Gross Bookings Growth 4% - 6% High Single Digits to Low Dou"
2026Q1,BKNG,revenue,2026-04-28,0001075531-26-000024,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000024/q1-26bkngearningsrelease.htm,"Revenue grew 16% compared to the first quarter of 2025, or approximately 10% on a constant currency basis"
2026Q1,BKNG,room_nights,2026-04-28,0001075531-26-000024,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000024/q1-26bkngearningsrelease.htm,Room nights grew 6%
2026Q2,BKNG,adj_ebitda_margin,2026-08-04,0001075531-26-000036,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000036/q2-26bkngearningsrelease.htm,Adjusted EBITDA margin of 36.0%
2026Q2,BKNG,gross_bookings,2026-08-04,0001075531-26-000036,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000036/q2-26bkngearningsrelease.htm,"Gross bookings grew 9% compared to the second quarter of 2025, or approximately 8% on a constant currency basis"
2026Q2,BKNG,outlook,2026-08-04,0001075531-26-000036,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000036/q2-26bkngearningsrelease.htm,"mation About Forward-Looking Statements"" section of this release. (growth is on a year-over-year basis) Q3 2026 FY 2026 Room Nights Growth 3% - 5% Gross Bookings Growth 4% - 6% High Single Digits Constant C"
2026Q2,BKNG,revenue,2026-08-04,0001075531-26-000036,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000036/q2-26bkngearningsrelease.htm,"Revenue grew 8% compared to the second quarter of 2025, or approximately 7% on a constant currency basis"
2026Q2,BKNG,room_nights,2026-08-04,0001075531-26-000036,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000036/q2-26bkngearningsrelease.htm,Room nights grew 5%
2020Q4,EXPE,adj_ebitda,2021-02-11,0001324424-21-000013,https://www.sec.gov/Archives/edgar/data/1324424/000132442421000013/earningsrelease-q42020.htm,| Adjusted EBITDA(2) | (160) | 478 | NM | 
2020Q4,EXPE,gross_bookings,2021-02-11,0001324424-21-000013,https://www.sec.gov/Archives/edgar/data/1324424/000132442421000013/earningsrelease-q42020.htm,"| Gross bookings | $7,567 | $23,245 | (67)% | "
2020Q4,EXPE,revenue,2021-02-11,0001324424-21-000013,https://www.sec.gov/Archives/edgar/data/1324424/000132442421000013/earningsrelease-q42020.htm,"| Revenue | 920 | 2,747 | (67)% | "
2020Q4,EXPE,room_nights,2021-02-11,0001324424-21-000013,https://www.sec.gov/Archives/edgar/data/1324424/000132442421000013/earningsrelease-q42020.htm,| Room night growth | (61)% | 11% | NM | 
2021Q1,EXPE,adj_ebitda,2021-05-06,0001324424-21-000042,https://www.sec.gov/Archives/edgar/data/1324424/000132442421000042/earningsrelease-q12021.htm,| Adjusted EBITDA(2) | (58) | (76) | (24)% | 
2021Q1,EXPE,gross_bookings,2021-05-06,0001324424-21-000042,https://www.sec.gov/Archives/edgar/data/1324424/000132442421000042/earningsrelease-q12021.htm,"| Gross bookings | $15,422 | $17,885 | (14)% | "
