slug,url,category,data_kind,one_line,abnb_use,sampled,dir_bytes,rows,date_range,geography,full_dataset_size,description,issues
dgunning-edgartools,https://github.com/dgunning/edgartools,methods_tooling,acquisition_method,"MIT-licensed Python library (2.7k stars, 4,388 commits, active through Sep 2026) that turns SEC EDGAR into typed objects: 10-K/10-Q, XBRL standardised concepts, 8-K, 13F, Forms 3/4/5, DEF 14A, N-PORT. No API key or signup — SEC only wants a contact string in the User-Agent; repo also ships /data fixtures, /notebooks and /examples.","Gap 4 (point-in-time company data) and gap 18 (book-ahead analogues): filing timestamps are inherent to EDGAR, so this builds vintage-correct quarterly panels for ABNB, BKNG, EXPE, MAR, HLT and — via custom XBRL tags — NCLH/CCL/RCL 'customer deposits / advance ticket sales', the cruise-line deferred-revenue analogue to ABNB's unearned fees. Also gap 15: 13F concentration history and Form 4 insider prints for ABNB.",True,1291141,abnb_xbrl_RevenueFromContractWithCustomerExcludingAssessedTax.csv 71; nclh_xbrl_ContractWithCustomerLiabilityCurrent.csv 66; abnb_submissions_recent.csv 1001 (SEC caps 'recent' at 1000; older filings in submissions/CIK0001559720-submissions-001.json); repo_fixture_apple_gaap.csv 258; repo_data_fixture_index.tsv 329 fixture files; abnb_companyfacts_head_tags.txt 359 us-gaap tags seen in first 5 MB,"ABNB revenue facts: periods 2019-12-31 to 2026-06-30, filed 2021-05-14 to 2026-08-06; NCLH contract liability: 2017-12-31 to 2026-06-30, filed 2019-02-27 to 2026-08-03; ABNB submissions (recent 1000): 2023-05-01 to 2026-09-03; repo HEAD abe44344 committed 2026-09-11",,"Repo: data/ fixtures ~320 MB (329 files), pip package 'edgartools' a few MB. Underlying SEC EDGAR: companyfacts JSON per filer (ABNB ~5-8 MB, all tags/all filings), Financial Statement Data Sets ~50-100 MB per quarter zip since 2009, full-index of every filing since 1993 (millions of rows); unlimited but rate-limited to 10 req/s.","edgartools is an MIT Python client that turns SEC EDGAR (filings index, XBRL companyfacts/companyconcept/frames, 13F, Forms 3/4/5, 8-K items) into pandas objects with no key beyond a User-Agent string. The sample is one row per XBRL fact per filing (grain: entity x tag x period x accession, with the 'filed' date, so every value is point-in-time) plus one row per filing in the submissions index. Source is data.sec.gov directly; the library only wraps it. An analyst would use it to build vintage-correct quarterly panels for ABNB and peers (BKNG, EXPE, MAR, HLT) and the cruise-line customer-deposit series (NCLH/CCL/RCL ContractWithCustomerLiability) as the book-ahead analogue to Airbnb's unearned fees, and to pull 13F/Form 4 history for ABNB.","The job card's tag names 404 on data.sec.gov (ABNB does not file us-gaap:Revenues; NCLH does not file DeferredRevenueCurrent) - working tags are RevenueFromContractWithCustomerExcludingAssessedTax and ContractWithCustomerLiabilityCurrent; ABNB itself reports both ContractWithCustomerLiability and DeferredRevenueCurrent (seen in companyfacts head). 'git sparse-checkout set README.md data examples' fails because README.md is a file; use 'set examples data' (README is checked out anyway). data/ is 320 MB of test fixtures (Apple, Netflix, 13F XML samples), not ABNB data - not copied. No licence concern: MIT code, SEC data public domain; SEC asks for a real contact in User-Agent and <=10 req/s. companyfacts head is a 5 MB truncation (not valid JSON), used only to list tags. Restated values appear as duplicate (end, val) rows across accessions; the dedupe/vintage rule is the analyst's choice."
dolthub-post-no-preference-earnings-consensus-vintages,https://www.dolthub.com/repositories/post-no-preference/earnings,company_filings_estimates,pointer_to_external_host,"Public Dolt (git-for-data) database, branch is `master` NOT `main`, queryable keyless over HTTP SQL; 10 tables verified live: balance_sheet_assets, balance_sheet_equity, balance_sheet_liabilities, cash_flow_statement, earnings_calendar, eps_estimate, eps_history, income_statement, rank_score, sales_estimate. sales_estimate schema = (date PK, act_symbol PK, period PK in {Current Quarter, Next Quarter, Current Year, Next Year}, period_end_date, consensus, count, high, low, year_ago) — i.e. a dated weekly snapshot of the analyst revenue consensus with dispersion and contributor count. VERIFIED coverage: ABNB 1,160 rows from 2021-02-07 to 2026-09-13; latest ABNB row 2026-09-13 has 3Q26 revenue consensus $4.74bn (n=7, high 4.77 / low 4.72) and 4Q26 $3.20bn (n=10, high 3.70 / low 3.05); BKNG present in eps_estimate to 2026-09-13; EXPE sales_estimate starts 2017-10-27. Zacks-style schema; no licence stated on the DoltHub page.","The strongest hit in this batch and close to a bullseye on gap #4 — genuine point-in-time consensus vintages for ABNB revenue AND EPS at weekly frequency from Feb 2021 (i.e. covering every one of the ~23 prints in our guidance ledger, and both the W1 1Q23+ and W2 1Q24+ backtest windows) with contributor count and high/low dispersion. It would give the L0 vintage register a free, independently-sourced second consensus vendor with real timestamps, let us measure consensus drift into each print and the guide-date-to-print revision path, and extend the same to BKNG/EXPE (back to 2017) for the peer-readthrough work. The 4Q26 high/low spread ($3.05–3.70bn against a $3.20bn mean) is itself a read on how wide the Street is on the guide we are forecasting.",True,234211,"sales_estimate 2,160 (ABNB 1,160 complete; BKNG 1,000 = first 1,000 by date, truncated; EXPE 0 - timed out); eps_estimate 200 (ABNB head only); earnings_calendar 23 (ABNB, all)",sales_estimate snapshot dates 2018-04-08 (BKNG) to 2026-09-13 (ABNB); ABNB 2021-02-07 to 2026-09-13; eps head 2021-02-07 to 2022-01-23; earnings_calendar ABNB 2021-02-25 to 2026-08-06,,"Whole Dolt database covers every US ticker with full commit history (multi-GB via `dolt clone post-no-preference/earnings`; not attempted). For the three tickers only: sales_estimate ~3,900 rows (ABNB 1,160; BKNG ~1,700; EXPE ~1,100 back to 2017-10-27), eps_estimate similar, eps_history and earnings_calendar a few hundred rows - roughly 1-2 MB of CSV in total.","Weekly point-in-time snapshots of the sell-side analyst revenue (sales_estimate) and EPS (eps_estimate) consensus per ticker and forecast period (current/next quarter, current/next year), with contributor count, high, low and year-ago value, plus an earnings-date calendar and EPS actual history; Zacks-style schema, published as a public Dolt database by DoltHub user post-no-preference. Grain: one row per (snapshot date, ticker, period). For ABNB the sample holds the complete revenue-consensus history from 2021-02-07 to 2026-09-13 (1,160 rows), so an analyst can reconstruct what the Street expected at every guide date and print in the guidance ledger, measure consensus drift and dispersion into each print (e.g. 4Q26 revenue $3.20bn mean, $3.05-3.70bn range, n=10 as of 2026-09-13), and register it as a second, timestamped consensus vendor in the L0 vintage register; the same tables cover BKNG and EXPE for peer readthrough.","(1) No licence stated on the DoltHub page; the underlying numbers look like redistributed Zacks consensus data - a human must decide whether it can be quoted or only used internally (tos_or_license_flag=true). (2) The API is fragile: any query touching more than one ticker, any aggregate (count/min/max), and larger offsets frequently return 'context deadline exceeded'; one HTTP 403 (rate limit) appeared after ~40 requests in 20 minutes. BKNG sales_estimate was truncated at 1,000 rows and EXPE, eps_history and the full eps_estimate were not pulled. (3) Estimate values are bigint (whole dollars / EPS in cents-like units for eps? - check: sales consensus 4740000000 = $4.74bn; eps consensus units need confirming against a known print). (4) earnings_calendar shows 23 ABNB dates up to 2026-08-06; the 5 Nov 2026 date is not yet listed. (5) Snapshot dates are Sundays; rows are not present for every week (gaps), so any point-in-time join must use as-of logic."
dubai-det-tourism-csvs,https://github.com/RezaSbu/Dubai-Tourism-Data-Analysis-,travel_volume_transport,stored_dataset,"~13 committed CSVs in Dubai DET source format: hotel establishment performance, overnight visitors by region and by source market, visitor counts by nationality, e-permit/e-ticketing files, ~2022-2024 monthly; licence unstated.",Gap 7 (travel volume outside US/EU): Gulf inbound overnight visitors and hotel occupancy/ADR proxies for an EMEA regional read; also a source-market cut showing where travellers originate.,True,50850,Divs_Visitors_Demographic 244; Hotel_Establishment_Performance 2; Overnight_Visitors_By_Region 18; Overnight_Visitors_By_Source_Market 40; Overseas_Overall_Monthly_Report_Fact 117; Visitors_Count_By_Nationality 196 (total 617),2014-01 to 2024-06 (monthly overseas visitor series 2014-01..2023-12 with gaps; hotel performance and regional/source-market splits only 2024-05..2024-06; annual nationality 2016-2022; demographics 2016-2023),,"Whole repo is ~165 KB: 19 CSVs (the 6 pulled here plus 12 quarterly e-permit/e-ticketing files 2022-06..2023-09, each 0.3-8 KB), one notebook (119 KB) and a 107 KB PDF report. Pulling everything is a single depth-1 clone; no larger version exists in the repo. The underlying Dubai DET open-data portal series are longer.","Six CSV exports in Dubai Department of Economy and Tourism (DET) open-data format, committed by a student EDA project: a monthly overseas visitor count for Dubai (2014-2023, 117 months, gaps in 2016-2019 and 2020 H1), two months (May-Jun 2024) of hotel establishment performance (hotel and room counts by star class, occupancy 79%/67%, ADR AED 444/357, RevPAR), May-Jun 2024 overnight visitors by region and top-20 source market, annual visitor counts by nationality 2016-2022, and annual per-source-market demographics 2016-2023 (age, gender, length of stay, visit purpose). Grain is monthly-by-market or annual-by-nationality; the source is DET's Dubai Pulse portal, re-exported here. An ABNB analyst would use the monthly overseas visitor series as a Gulf/EMEA inbound demand check and the source-market table for origin mix (India, Saudi, UK, Russia, China), but the hotel-KPI and regional splits are only two months long, so this repo is a format reference rather than a usable panel; the full series must come from the DET portal.","No licence in the repo (license: null) and the data are DET/Dubai Pulse exports whose terms are not stated; a human must confirm reuse. Hotel_Establishment_Performance and the by-region/by-source-market tables contain only May and June 2024 (2, 18, 40 rows), far short of the ~2022-2024 monthly panel implied by the job card. The monthly overseas series has holes (2016-05..2016-10, 2017-2019 partly, 2020 H1) and unsorted rows with float-valued counts, suggesting a derived/estimated field (dt_date_srgt surrogate key). Date formats are inconsistent across files (DD-MM-YYYY in the region file, YYYY-MM-DD elsewhere). E-permit/e-ticketing files, the notebook and the PDF were skipped per plan."
dwh-global-tourism-project,https://github.com/Daniele1388/DWH---Global-Tourism-Project,travel_volume_transport,stored_dataset,"Five committed UNWTO CSVs (domestic, inbound, outbound, tourism industries, SDG tourism indicators), global country coverage, 1995-2022, MIT, built as a SQL medallion warehouse.","A genuinely global, 27-year UNWTO arrivals/receipts panel we do not currently hold in this shape -- fills gap #7's need for LatAm/APAC regional travel-volume context beyond the EU-only Eurostat series.",True,1770230,"Domestic_Tourism-Accommodation 1788 (336 with data); Inbound_Tourism-Accommodation 1788 (490); Inbound_Tourism-Arrivals 1346 (617); Inbound_Tourism-Expenditure 898 (573); Inbound_Tourism-Purpose 1123 (562); Inbound_Tourism-Regions 2461 (1563); Outbound_Tourism-Departures 1119 (229); Outbound_Tourism-Expenditure 898 (585); Tourism_Industries 1789 (1032). Rows are wide UNWTO Compendium layout: country header rows, section rows, and indicator rows; '..' = missing.",Annual 1995 to 2022 (year columns); no finer grain,,"14 CSVs, ~4.3 MB total (largest SDG_12b1.csv 1.7 MB); repo 2.3 MB packed. Not pulled: Domestic Tourism-Trips (131 KB), Inbound Tourism-Transport (177 KB), SDG 8.9.1 (252 KB), SDG 8.9.2 (213 KB), SDG_12b1 (1.7 MB). Underlying source is the UN Tourism (UNWTO) Compendium of Tourism Statistics / Key Tourism Statistics dataset (unwto.org/tourism-statistics/key-tourism-statistics), free Excel download, updated annually.","UN Tourism (UNWTO) Compendium of Tourism Statistics exported as wide semicolon CSVs: one row per country x indicator, one column per year 1995-2022, covering ~226-230 countries and territories. Tables sampled: inbound arrivals (total, overnight, same-day, cruise), arrivals by origin region, inbound purpose (business vs personal), inbound and outbound expenditure (travel and passenger transport, USD mn), outbound departures, domestic and inbound guests/overnights in hotels and similar establishments, and tourism-industry supply (establishments, rooms, bed-places, occupancy rates, average length of stay). For ABNB it is a long annual cross-country panel for gap #7 (LatAm/APAC travel volume) and for cross-border share and hotel-supply context per country; it is annual and ends in 2022, so it is background/structural, not a nowcast input.","Annual only and stops at 2022 (the current UNWTO release runs to 2023/2024, so this mirror is stale versus the free source). Layout is a spreadsheet export, not tidy: country code column has Excel-mangled date strings (e.g. 'Apr-00' for code 4), indicator hierarchy spread across 4 unnamed columns, values are strings with comma thousands separators and '..' for missing; needs a reshape before use. Repo licence is MIT but the data are UN Tourism's; UNWTO terms permit non-commercial/educational use with attribution -- fine for a student pitch, check before any redistribution. Repo last pushed 2026-04-22."
ectsum-earnings-call-bullet-summaries,https://github.com/rajdeep345/ECTSum,company_filings_estimates,stored_dataset,"ECTSum (EMNLP 2022): earnings-call transcripts paired with terse Reuters-style bullet summaries, committed in-repo under data/final/{train,val,test}/{ects,gt_summaries}; test split alone is 495 transcripts (8.70 MB) + 495 gold summaries (132 KB), filenames TICKER_qN_YYYY covering roughly 2019-2021 US mid/large caps (HLT present, no ABNB); GPL-3.0, last update 8 Mar 2023.",Gap 17 (methods): a labelled corpus of 'what the wire pulled out of a call' is a ready-made training/eval set for extracting guide items and management tone from ABNB and peer calls; HLT_q4_2020 gives one lodging-peer example of transcript-to-summary pairing.,True,323102,"test_index.csv 495 rows (one per test-split call; 354 tickers; 1,982 bullets total, 1-14 per call); ects_sample_index.csv 10 rows; text files n/a","fiscal quarters 2019Q3 to 2022Q4 (from filenames; mode 2021Q3=98, 2021Q2=93; calls held roughly Nov 2019 to early 2023). No call-date column; year in filename is the fiscal period, not the call date",,"2,425 transcript/summary pairs in-repo: train 1,681, val 249, test 495 (data/final/{train,val,test}/{ects,gt_summaries}); repo ~22 MB on GitHub (git size 22,244 KB); transcripts ~10-25 KB each so ~40 MB of text plus codes/ (model code). One sparse checkout of data/final gets all of it","ECTSum (EMNLP 2022) is a supervised summarisation corpus: 2,425 US earnings-call transcripts (one sentence per line, prepared remarks only in the samples seen) paired with short Reuters-wire-style bullet summaries (1-14 bullets, e.g. 'q4 adjusted loss per share $0.10', 'system-wide comparable revpar decreased 59.2 percent'). Grain is one call (ticker x fiscal quarter), fiscal 2019Q3-2022Q4, 354 tickers in the test split alone, mostly mid/large-cap US names, no ABNB but HLT, H, DRH, MTN present. Source is the authors' repo (transcripts originally from The Motley Fool, summaries from Reuters). For ABNB an analyst would use it as a labelled train/eval set for a guide-item and KPI extractor over ABNB and peer (BKNG/EXPE/HLT/MAR) calls, or to benchmark an LLM summariser against wire-style gold before running it on the 5 Nov call.","Licence: repo is GPL-3.0 (code), but the underlying transcripts are Motley Fool text and the summaries are Reuters wire text, redistributed by the authors without an explicit data licence; treat as research-use only and do not commit derived text into the pitch repo. Sample plan expected 132 KB for the 495 summaries; actual is ~150 KB (fine). 505 files were pulled because the plan sanctioned the whole 132 KB summary directory; transcripts limited to 10. No ABNB calls; only 4 lodging-adjacent tickers in test. Last push 22 May 2024 (job card said Mar 2023). Filenames give fiscal period only, no call date or CIK, so joining to prices needs a ticker/quarter-to-date map."
edgar-corpus-10k-sections-1993-2020,https://huggingface.co/datasets/eloukas/edgar-corpus,company_filings_estimates,stored_dataset,"EDGAR-CORPUS: 10-K full text split into 23 named sections (Item 1, 1A, 7, 7A, 9A...) for ~220k filings from all SEC registrants 1993-2020; hosted as plain per-year JSONL on HuggingFace (1993/train.jsonl 114MB ... 2002/train.jsonl 1.06GB, 40.7GB total, Apache-2.0 with EDGAR data public) plus a Zenodo mirror at https://zenodo.org/record/5528490 (per-year zips 39MB-525MB, CC-BY-4.0).","Pre-extracted MD&A and risk-factor text for BKNG/EXPE/MAR/HLT (and every lodging/travel filer) 1993-2020 gives a long peer-commentary and management-tone panel without re-scraping EDGAR; useful for gap 15 (company-structure/filing text signals) and as a much longer history than our own post-IPO letter/transcript set. ABNB itself is out of coverage (first 10-K is FY2020, filed 2021), so this is a peer/industry-language resource, not an ABNB one.",True,3456815,edgar_corpus_1993_test_head_clean.jsonl: 9 filings; edgar_corpus_2020_test_head_clean.jsonl: 7 filings; records_index.csv: 16 rows (one per filing),year 1993 (9 filings) and year 2020 (7 filings); the year field is the fiscal/filing year of the 10-K; no finer date column,,"~220k 10-K filings, 1993-2020, one folder per year with train/validation/test JSONL splits; 40.7 GB total on HuggingFace (per-year files 114 MB to 1.06 GB); Zenodo mirror record 5528490 holds per-year zips 39-525 MB","EDGAR-CORPUS (Loukas et al., 2021) is every annual 10-K filed with the SEC from 1993 to 2020, parsed into 23 named Item sections (Business, Risk Factors, MD&A, Quantitative Market Risk, Controls, etc.) with one JSON record per filing keyed by CIK and year. The sample head of the 1993 split already contains Mirage Resorts, illustrating that lodging and travel filers are present from the start. For ABNB the value is a ready-made, pre-sectioned MD&A and risk-factor text panel for BKNG, EXPE, MAR, HLT and every other lodging/travel registrant back to 1993, usable for peer management-tone, risk-language and business-description studies without re-scraping EDGAR; Airbnb itself is outside coverage (first 10-K is FY2020, filed 2021), so it is a peer/industry-language resource. An analyst would filter by CIK for the peer set and extract section_7 (MD&A) and section_1A (Risk Factors) by year.","Sample is a Range-request head (first ~2 MB per split) so it is 7-9 filings per year, not a representative draw; filings appear in no obvious order. 2020 section_1A (Risk Factors) is populated while 1993 lacks 1A/7A/9A because those Items did not exist then (post-2005 items are empty strings in old years), so cross-era comparisons must handle missing sections. Some 2020 records have near-empty section_1 or section_7 (parser misses, e.g. 1108348_2020 with 26/103 chars), so parser quality varies. Coverage ends at fiscal 2020; anything post-2020 must be pulled from EDGAR directly. Licence: HuggingFace card says Apache-2.0, Zenodo mirror says CC-BY-4.0; underlying EDGAR text is public domain. No ToS concern. Full pull of one year is 114 MB to 1 GB, over the sample cap."
edgar-crawler-edgar-corpus,https://github.com/nlpaueb/edgar-crawler,company_filings_estimates,both,"GPL-3.0 EDGAR downloader/item-splitter (now lefterisloukas/edgar-crawler, 545 stars, last push 2025-07-18, code only - no data committed) that pulls 10-K/10-Q/8-K from sec.gov keylessly and splits them into per-item JSON; companion corpus EDGAR-CORPUS is on Zenodo record 5528490 (CC-BY-4.0, 28 year zips 1993-2020, 39-524 MB each, ~10 GB) and on Hugging Face eloukas/edgar-corpus (Apache-2.0, 87 JSONL files as <year>/{train,validate,test}.jsonl, 231 GB stored, 6B+ tokens).","Gap 15 tooling: a ready, keyless, section-aware parser for peer 8-K/10-Q text (BKNG, EXPE, MAR, HLT, NCLH) so KPI tables and MD&A/guidance language can be extracted on the same schema as ABNB's; EDGAR-CORPUS itself gives a pre-2021 management-language baseline for tone work that predates our IPO-forward pull.",True,4907369,"edgar_corpus_2020_test_head.jsonl: 11 complete 10-K records; edgar_corpus_1995_test_head.jsonl: 28 complete 10-K records; companies_info_head.json: first 200 of 39,022 CIK entries; code files n/a",filing years 1995 and 2020 in the two heads (full corpus 1993-2020; the crawler itself pulls any year 1993-present from sec.gov),,"Crawler: code only (~7 MB code + 7.7 MB companies_info.json + 42 MB test fixtures). EDGAR-CORPUS: Zenodo record 5528490, 28 year zips 1993-2020, 39-524 MB each, ~10 GB total, ~220k 10-K filings; Hugging Face eloukas/edgar-corpus 87 JSONL files (<year>/{train,validate,test}.jsonl), ~231 GB stored, 6B+ tokens. Running the crawler for the 6 travel peers 2019-2026 (10-K/10-Q/8-K) would be a few hundred MB of raw HTML.","edgar-crawler is a keyless Python downloader for SEC EDGAR 10-K/10-Q/8-K filings that splits each filing into per-item JSON (Item 1, 1A, 7, 7A, 8 ... for 10-Ks; Items 1-9 for 8-Ks) on a single schema; the sample holds the code plus heads of the companion EDGAR-CORPUS (one row per annual 10-K, keyed by CIK and year, every Item as plain text with tables stripped, 1993-2020, built by the same authors from sec.gov). The grain is one filing per row; the crawler run itself is a GET against sec.gov full-index files with a declared user-agent, no key. For ABNB an analyst would point config.json at BKNG, EXPE, MAR, HLT, NCLH and ABNB (10-Q/8-K, 2019-2026) to pull peer KPI tables and MD&A/guidance language on the same item schema as Airbnb's own filings, and use the 1993-2020 corpus as a pre-IPO baseline for management-tone or risk-factor language work. companies_info.json (39,022 CIKs with SIC codes) gives a quick SIC-7011 lodging / SIC-4700 travel-services peer screen.","No data committed in the repo itself - everything filing-level requires running download_filings.py against sec.gov (public, keyless, but the SEC fair-access rule of 10 requests/second and a real user-agent string must be respected; a human should decide whether that counts as a sanctioned scrape - it is not airbnb.com). Repo has moved to lefterisloukas/edgar-crawler; nlpaueb URL still redirects. Licences differ: crawler GPL-3.0, Zenodo corpus CC-BY-4.0, Hugging Face copy Apache-2.0. Corpus is 10-K only (no 10-Q/8-K), ends 2020 (pre-ABNB IPO), and companies_info.json has no ABNB/BKNG/EXPE/MAR/HLT/NCLH tickers (keyed by CIK, ticker not stored). Hugging Face JSONL heads are truncated by byte range, so the final partial line was dropped; 2020 rows are 50-500 kB each so only 11 fit in 3 MB. Non-ASCII characters in 2020 text show as replacement characters (mojibake in the source, not in our pull)."
edgar-crawler-item-section-extractor,https://github.com/lefterisloukas/edgar-crawler,methods_tooling,both,"GPL-3.0 toolkit (545 stars, WWW 2025 paper, last push 18 Jul 2025 — not Sep 2026 as the scout claimed) that downloads 10-K/10-Q/8-K from SEC EDGAR keylessly via config.json and segments them into per-Item JSON (Item 1A risk factors, Item 7 MD&A); the only committed data is datasets/companies_info.json (7.8 MB CIK/ticker/SIC metadata).","Gap 15 / methods: gives a repeatable way to cut ABNB and peer (BKNG, EXPE, MAR, HLT) MD&A and risk-factor sections out of filings as clean text with filing dates attached, which is the point-in-time-safe input a re-tried text/tone construction would need; the CIK-SIC table also helps assemble a lodging/OTA peer universe.",True,996908,"companies_info_head.csv 10,314 rows (head of the 39,022-record companies_info.json); companies_info_lodging_travel_sic.csv 2,062 rows (SIC 7011/4700/4724/4725/7000/7370-7374/6531/4512/4513/4522 subset of the full file); FILINGS_METADATA_TEST.csv 799 rows (553 8-K, 184 10-Q, 62 10-K); example_extracted_8K.json 1 record; code/* n/a",FILINGS_METADATA_TEST.csv Filing Date 1994-01-24 to 2023-12-22 (Period of Report 1993-12-31 to 2023-12-22); companies_info has no date column; repo last push 2025-07-18,,"Repo ~24 MB: datasets/companies_info.json 7.8 MB (39,022 CIKs); test fixtures 15.5 MB of zipped raw and extracted 10-K/10-Q/8-K (799 filings). The real dataset is whatever you crawl from EDGAR: ABNB + BKNG + EXPE + MAR + HLT 2020-2026 is roughly 300-700 filings, under 1 GB raw HTML, tens of MB of extracted per-Item JSON.","edgar-crawler is a GPL-3.0 Python toolkit (WWW 2025 paper, 545 stars) that downloads 10-K/10-Q/8-K filings from the SEC EDGAR full-index for chosen CIKs or tickers and years, writes FILINGS_METADATA.csv (one row per filing with filing date, period of report, SIC and links) and then segments each filing into a JSON with one key per Item (10-K Item 1A risk factors and Item 7 MD&A; 8-K Item 2.02 results and 7.01 Reg FD; 10-Q Part I/II items). The only committed data is a 39,022-row CIK-to-name/SIC/state/FYE table (ABNB CIK 1559720 SIC 7340, BKNG 1075531 and EXPE 1324424 SIC 4700, MAR 1048286 and HLT 1585689 SIC 7011 are all present) plus test fixtures covering 799 filings from 1994-2023. For ABNB an analyst would set cik_tickers to ABNB plus the peer set, crawl 2020-2026, and obtain date-stamped per-Item clean text of MD&A, risk factors and 8-K earnings/Reg FD items as a point-in-time-safe input for a re-tried tone or text construction, or use the SIC table to define a lodging/OTA peer universe.","Job card claimed a last push in Sep 2026; the actual last push is 2025-07-18 (commit 84a8d0c), so the code is a year stale but functional. Sample-plan path edgar_crawler/ does not exist (repo is flat); git sparse-checkout set errored on config.json in cone mode but the root files were already checked out. Licence is GPL-3.0 (copyleft; fine for internal analysis, flag before redistributing derived code). Running the crawler hits sec.gov and needs a declared User-Agent under the SEC fair-access policy (max 10 req/s); that is a human decision and was not run here. Pinned requirements are old (pandas 1.5.3, numpy 1.24.4, lxml 4.9.1, click 7.0) and will not install into the repo's pandas-3 environment; use a separate venv. companies_info.json carries legacy duplicate entities (e.g. EXPEDIA INC CIK 1095357 alongside Expedia Group 1324424) and 1,212 CIKs with no SIC."
efebiskin-sec-form4-parser,https://github.com/efebiskin/sec-form4-parser,company_filings_estimates,acquisition_method,"MIT-licensed, zero-dependency typed Python parser for SEC Form 4 insider-trading XML plus an optional rate-limited EDGAR fetcher and CLI; code only (14 KB repo: src/, tests/, examples/, 13 tests), no data committed, pushed 2026-04-17, 0 stars.",Gap 15 (company-structure signals): lets us build an ABNB insider buy/sell history from EDGAR Form 4 XML without hand-rolling the parser — an ownership/insider panel to sit beside the guidance ledger and the 5 Nov print. Not a KPI input; context/positioning only.,True,92517,"abnb_form4_filings_index.csv: 491 (Form 4 + 4/A rows out of 1,001 recent ABNB filings); parsed_transactions_sample.csv: 6 (3 from the live ABNB filing, 3 from repo fixtures); XML/py/md files n/a",Form 4 index filingDate 2023-05-01 to 2026-09-03 (reportDate 2023-04-19 to 2026-09-01); parsed transactions 2024-03-15 (fixture) to 2026-09-01 (live ABNB),,"Repo itself ~14 KB source, no data. Full ABNB Form 4 history: ~491 filings since May 2023 in the recent submissions JSON plus the older shard CIK0001559720-submissions-001.json (452 filings 2012-10-24 to 2023-04-29, most Form 4s post-IPO Dec 2020); each Form 4 XML is ~3-10 KB, so the complete ABNB insider panel is roughly 700-900 XML files, under 10 MB, pullable keyless at 10 req/s with a UA header.","A small MIT-licensed Python library that parses SEC Form 4 (insider transaction) XML into typed objects (issuer, reporters, non-derivative and derivative transactions with code, shares, price, post-transaction holdings) and ships an optional rate-limited EDGAR fetcher and CLI; the repo holds code and two fixture filings only, no data. The sample pairs it with a keyless pull of Airbnb's EDGAR submissions index (CIK 1559720) filtered to Form 4/4A, one live ABNB Form 4 XML, and the parser's output over it, confirming the parser works on a current filing. Grain is one row per transaction per filing, sourced from data.sec.gov / sec.gov Archives. An analyst would loop the index to fetch every ABNB Form 4 and build an insider buy/sell and 10b5-1 sale panel alongside the guidance ledger for context around the 5 Nov print; it is not a KPI input.","None blocking. Parser exports parse() not parse_form4() (job card guess). Repo has 0 stars and a single push (2026-04-17), so maintenance is uncertain; EDGAR Form 4 XML schema is stable, so low risk. The older submissions shard was not pulled (kept to one index fetch + one filing). SEC requires a declared User-Agent; no key or login."
eurocontrol-daio-daily-flights,https://github.com/euctrl-pru/daio,travel_volume_transport,stored_dataset,"Committed CSV and Parquet files daio_2019.csv through daio_2026.csv: daily departures, arrivals, internal and overflight counts by EUROCONTROL member state, 2019 to present, auto-updated.","A daily, current-through-2026 European air-traffic series by country — a fresh EMEA travel-volume nowcast input for 3Q26/4Q26 nights that leads Eurostat's ~150-day-lagged platform nights by months.",True,1413078,"daio_2025.csv: 14,600 rows (40 countries x 365 days); daio_2026.csv: 10,240 rows (40 countries x 256 days); SOURCE_README.md and source_update_data.sh non-tabular","2025-01-01 to 2026-09-13 in the sample (full repo: 2019-01-01 to present, updated daily)",,"8 CSV files daio_2019.csv..daio_2026.csv (~0.58-0.83 MB each, ~6.3 MB total) plus matching parquet (~2.1 MB total); about 111k rows total (40 countries x ~2,813 days), one entry_date x country row per day","EUROCONTROL PRU daily flight counts per member state: for each UTC day and each of 40 countries, departures, arrivals, internal (domestic), circular and overflight movements, plus their sums. Grain is country x day, 2019-01-01 to present, auto-committed daily from EUROCONTROL network data (last push 2026-09-14, data through 2026-09-13). For ABNB an analyst would build country-level and EMEA-aggregate arrivals+departures (flt_da) indices, seasonally adjust against 2019/2024/2025, and use them as a near-real-time EMEA travel-volume nowcast input for 3Q26/4Q26 nights, which leads Eurostat platform nights by months; also useful for FIFA/summer-shock reads and for mapping to the Inside Airbnb European city panel.","No LICENSE file in the repo and GitHub reports license=null; the data derive from EUROCONTROL network operations data, whose reuse terms are set by EUROCONTROL (the PRU publishes similar daily-traffic dashboards publicly) - a human should confirm redistribution terms before the files are committed or quoted externally. Counts are flights, not passengers (no load factor or seat count). Canary Islands folded into Spain. Some small negative flt_o values (min -5/-6) appear, suggesting revision artefacts. Country coverage is EUROCONTROL member states only (no Russia, limited Ukraine airspace since 2022). Most recent days may be revised on later pushes."
