episode,description,quarter,role,revenue_musd,revenue_yoy_pct,nights_yoy_pct,gbv_yoy_pct,adr_yoy_pct,adj_ebitda_margin_pct,adj_ebitda_margin_yoy_pp,cor_cash_yoy_pct,cor_gaap_yoy_pct,cor_cash_pct_rev,ops_cash_yoy_pct,ops_gaap_yoy_pct,ops_cash_pct_rev,pd_cash_yoy_pct,pd_gaap_yoy_pct,pd_cash_pct_rev,sm_cash_yoy_pct,sm_gaap_yoy_pct,sm_cash_pct_rev,ga_cash_yoy_pct,ga_gaap_yoy_pct,ga_cash_pct_rev,sbc_yoy_pct,restr_gaap_musd,mgmt_statement_ids,mgmt_said
E1_2020_covid,"COVID demand shock: nights -67% in 2Q20, restructuring (May 2020 RIF, 25% of staff), marketing cut to near zero",1Q21,episode,886.936,5.36,12.78,51.47,34.93,-6.61,33.1,-8.37,-8.37,28.7,-21.2,-16.39,19.62,-7.21,40.28,24.73,-34.68,-27.76,22.91,77.59,106.8,15.93,451.28,111.982,S013,product_dev: We're not going to have to add back a significant number of fixed resources in order to accommodate the business that's back to the size of 2019 and beyond. We'
E2_2H22_deceleration_fx,Post-reopening deceleration and USD strength: revenue growth 58% (2Q22) -> 24% (4Q22); ADR ex-FX flat,1Q22,pre_shock_reference,1508.937,70.13,58.54,66.99,5.16,15.18,21.79,42.48,42.48,24.03,27.18,25.66,14.67,11.72,-0.04,16.24,59.14,50.41,21.43,17.8,10.97,11.03,-15.06,0.317,S030|S031,"brand_marketing: For the full year, we currently expect sales and marketing expense as a percent of revenue to remain relatively flat compared to 2021, while continued fixed cos || total_margin: One of the things we noted in the letter is that we're expecting, you know, for the full year, a modest expansion in our overall EBITDA margin rate."
E2_2H22_deceleration_fx,Post-reopening deceleration and USD strength: revenue growth 58% (2Q22) -> 24% (4Q22); ADR ex-FX flat,2Q22,episode,2104.107,57.59,24.79,26.87,1.42,33.79,17.46,32.5,32.5,18.54,24.54,24.15,11.48,11.75,7.24,10.94,20.13,20.19,16.63,12.09,11.77,8.93,6.12,88.743,S032|S033|S183,"product_dev: We're growing headcount. You know, maybe high single-digit percentage rates, but that is gonna be able to support us for the very long term, and we're gonna rem || brand_marketing: we anticipate, you know, marketing as a percentage of revenue in 2022 to be consistent with 2021. A modest increase in the back half of the year. || product_dev: Our hiring plan to increase headcount is unchanged from the beginning of the year."
E2_2H22_deceleration_fx,Post-reopening deceleration and USD strength: revenue growth 58% (2Q22) -> 24% (4Q22); ADR ex-FX flat,3Q22,episode,2884.41,28.92,25.09,31.09,4.89,50.51,1.3,28.75,28.75,13.91,24.86,26.62,9.4,8.04,6.32,7.98,33.47,32.02,12.36,12.83,14.09,6.5,11.18,0.052,S034|S035|S037|S038|S039|S184,"product_dev: We're seeing great leverage in our fixed costs. We're being incredibly disciplined in our fixed cost growth, and that will continue going forward. || total_margin: I think the improvements in our variable costs and the fixed cost leverage should enable us to maintain or even increase free cash flow margins over the longer  || product_dev: We have not had to change anything about our hiring plans. We don't intend to change anything about our hiring plans in the next 12-18 months, regardless of the || brand_marketing: if you look at our actual advertising strategy and the amount of money we're spending on it's gonna be relatively flat from 2022 over 2021, and you should antic || brand_marketing: this allows for a very efficient, very dynamic, approach to marketing that should get more efficient every single year || product_dev: Our hiring plan to modestly increase headcount this year is unchanged from the beginning of the year."
E2_2H22_deceleration_fx,Post-reopening deceleration and USD strength: revenue growth 58% (2Q22) -> 24% (4Q22); ADR ex-FX flat,4Q22,episode,1902.0,24.12,20.16,19.47,-0.52,26.6,4.87,16.76,16.76,18.14,13.74,15.4,12.78,3.11,8.21,13.09,14.67,16.34,19.56,30.96,17.87,10.73,12.54,0.0,S041|S042|S044|S045|S046,"total_margin: For the full year 2023, we expect to maintain the strong Adjusted EBITDA margin we delivered in 2022, as we offset the headwinds from lower ADR with incremental || brand_marketing: Compared to Q1 2022, we expect sales and marketing in Q1 2023 will be approximately 150 basis points higher as a percent of revenue, but flat as a percent of re || total_margin: we anticipate our EBITDA margins for the full year to be roughly the same as 2022, in that the headwinds from lower ADR rates will be offset by our efficiencies || total_margin: I am not in profit maximization mode. I have a long list of things that we can invest in to drive further profitability, but I know that I can also afford with  || total_margin: I feel confident we can deliver our EBITDA margin neutral in the face of whatever ADR headwinds that we see this year."
E2_2H22_deceleration_fx,Post-reopening deceleration and USD strength: revenue growth 58% (2Q22) -> 24% (4Q22); ADR ex-FX flat,1Q23,episode,1818.0,20.48,18.61,18.6,0.21,14.41,-0.77,18.03,18.03,23.54,20.64,21.02,14.69,10.59,15.73,14.91,30.48,30.58,23.21,17.15,15.4,10.73,23.13,0.0,S047|S048|S049|S050|S051|S194,"cost_of_revenue: the improvements that we're going to continue to make in community support, infrastructure, cost of payments and our fixed cost leverage will be enough to offse || brand_marketing: our marketing expenses as a percentage of revenue will remain largely the same in 2023 as it was in 2022. It's just that we're frontloading more of the marketin || product_dev: I think our employees could easily be, especially our developers, 30% more productive in the short to medium term and this will allow significantly greater thro || brand_marketing: Compared to Q2 2022, we expect that Sales and Marketing expense in Q2 2023 will be approximately 400 basis points higher as a percent of revenue as we deploy ma || total_margin: over time, we'll continue to have opportunities to expand margins but that's not my primary focus right now. My primary focus is in investing for growth || product_dev: We obviously reduced our head count by 25%. We've only grown it moderately since."
E3_2023_adr_normalisation,"ADR normalisation year: reported ADR -1% to +3%, take-rate guide 'similar', margin held with cost efficiencies",4Q22,pre_shock_reference,1902.0,24.12,20.16,19.47,-0.52,26.6,4.87,16.76,16.76,18.14,13.74,15.4,12.78,3.11,8.21,13.09,14.67,16.34,19.56,30.96,17.87,10.73,12.54,0.0,S041|S042|S044|S045|S046,"total_margin: For the full year 2023, we expect to maintain the strong Adjusted EBITDA margin we delivered in 2022, as we offset the headwinds from lower ADR with incremental || brand_marketing: Compared to Q1 2022, we expect sales and marketing in Q1 2023 will be approximately 150 basis points higher as a percent of revenue, but flat as a percent of re || total_margin: we anticipate our EBITDA margins for the full year to be roughly the same as 2022, in that the headwinds from lower ADR rates will be offset by our efficiencies || total_margin: I am not in profit maximization mode. I have a long list of things that we can invest in to drive further profitability, but I know that I can also afford with  || total_margin: I feel confident we can deliver our EBITDA margin neutral in the face of whatever ADR headwinds that we see this year."
E3_2023_adr_normalisation,"ADR normalisation year: reported ADR -1% to +3%, take-rate guide 'similar', margin held with cost efficiencies",1Q23,episode,1818.0,20.48,18.61,18.6,0.21,14.41,-0.77,18.03,18.03,23.54,20.64,21.02,14.69,10.59,15.73,14.91,30.48,30.58,23.21,17.15,15.4,10.73,23.13,0.0,S047|S048|S049|S050|S051|S194,"cost_of_revenue: the improvements that we're going to continue to make in community support, infrastructure, cost of payments and our fixed cost leverage will be enough to offse || brand_marketing: our marketing expenses as a percentage of revenue will remain largely the same in 2023 as it was in 2022. It's just that we're frontloading more of the marketin || product_dev: I think our employees could easily be, especially our developers, 30% more productive in the short to medium term and this will allow significantly greater thro || brand_marketing: Compared to Q2 2022, we expect that Sales and Marketing expense in Q2 2023 will be approximately 400 basis points higher as a percent of revenue as we deploy ma || total_margin: over time, we'll continue to have opportunities to expand margins but that's not my primary focus right now. My primary focus is in investing for growth || product_dev: We obviously reduced our head count by 25%. We've only grown it moderately since."
E3_2023_adr_normalisation,"ADR normalisation year: reported ADR -1% to +3%, take-rate guide 'similar', margin held with cost efficiencies",2Q23,episode,2484.0,18.05,10.99,12.35,1.39,32.97,-0.82,10.74,10.74,17.39,23.41,22.69,12.0,12.99,20.25,10.47,28.61,28.23,18.12,15.53,12.7,8.74,23.02,0.0,S053|S055|S056|S057|S058|S059,"total_margin: For the full-year 2023, we expect an Adjusted EBITDA margin that is modestly higher than the full-year 2022. || take_rate: the way that we're going to see margin expansion is by launching incremental services for guests and hosts over the coming years || brand_marketing: our marketing expense as a percentage of revenue we expect to remain relatively flat year-over-year on a total-year basis from 2023 over 2022 || brand_marketing: we'll have pretty consistent marketing spend as a percent of revenue over time because of the strength of the brand || product_dev: we've moderated our head count growth overall. We're growing modestly, and we're investing behind the things that matter most for our guests and our Hosts. || ops_support: I think we'll see more leverage in our fixed cost base, so needing fewer people to do more work overall."
E3_2023_adr_normalisation,"ADR normalisation year: reported ADR -1% to +3%, take-rate guide 'similar', margin held with cost efficiencies",3Q23,episode,3397.0,17.77,13.54,17.31,3.16,53.99,3.48,14.42,14.42,13.51,10.27,9.3,8.8,5.96,14.42,7.18,3.77,4.95,10.89,29.69,26.44,7.15,22.03,0.0,S061|S062|S063|S064,"total_margin: we expect an Adjusted EBITDA margin for full-year 2023 that is approximately 150 bps higher than full-year 2022. || sbc: For full-year 2023, we expect our stock-based compensation (""SBC"") expense to be approximately 20% higher than in full-year 2022. || sbc: Beyond 2024, after the last of the double-trigger RSUs (which we stopped issuing after our IPO in December 2020) have vested or expired, we anticipate that SBC  || product_dev: We have our fixed cost growth discipline has been excellent and probably grow our fixed head count this year approximately 4%. So we're growing our head count a"
E3_2023_adr_normalisation,"ADR normalisation year: reported ADR -1% to +3%, take-rate guide 'similar', margin held with cost efficiencies",4Q23,episode,2218.0,16.61,12.02,14.81,2.57,33.27,6.67,11.3,11.3,17.31,4.53,4.23,11.45,1.61,8.54,11.41,5.11,3.92,17.63,459.8,369.92,51.49,14.17,0.0,S068|S069|S070|S071|S072|S073|S074|S076,"total_margin: For the full-year 2024, we expect to maintain an Adjusted EBITDA Margin of at least 35%, providing us flexibility to invest in incremental growth opportunities  || total_margin: we are basically giving ourselves a floor in terms of the full-year EBITDA margin guidance. As we said, we will hold by a minimum of 35%, which is slightly down || brand_marketing: there's certainly opportunities at the margin to continue to invest in newer markets. Second, there's always opportunities in terms of looking at our high ROI m || brand_marketing: in terms of marketing, largely, we're going to keep marketing costs as a percentage of revenue largely the same as what it was in 2023. In some ways, we probabl || brand_marketing: to the extent that there may be any incremental marketing, it's not going to be a materially larger percentage of revenue than it was last year. || product_dev: we grew head count last year about 1%. We're planning to grow at maybe slightly more than that. It could be kind of mid-single digits, low-to-mid single-digit p || cost_of_revenue: Airbnb is not an infrastructure company. Infrastructure would be a large language model or, obviously, GPU. So, we're not going to be investing in infrastructur || take_rate: over a longer period of time, I think our margin expansion will absolutely come from hosting guest services and experiences, but during the short term, there's "
E4_2025_na_slowdown,"2025 North America slowdown and inbound shock: NA nights low-single digit, guide cut in May, brand marketing ramp continued",4Q24,pre_shock_reference,2480.0,11.81,12.35,13.55,0.89,30.85,-2.42,11.2,11.2,17.22,4.33,7.01,10.69,20.95,24.54,12.34,28.13,29.01,20.2,-83.98,-79.38,7.38,26.9,0.0,S105|S106|S108|S109|S111|S112|S113|S114,"total_margin: Inclusive of these investments, we expect to deliver a full-year Adjusted EBITDA Margin of at least 34.5%-maintaining our strong track record of profitability w || sbc: In 2025, we anticipate that the growth rate of SBC will approximate headcount growth. || brand_marketing: the way to think about brand marketing is that, it is effectively a fixed amount of spend for each market in terms of the minimum amount that you need to spend  || brand_marketing: in particular, in our core markets because they are so heavily reliant on brand, we are not adding dollar for dollar as revenue increases, and therefore, the ma || cost_of_revenue: there's incremental opportunities across our variable costs, so areas like payment processing and customer service opportunities to just be, frankly, a little b || product_dev: we will be slightly increasing our pace of head count growth across our product development organization, such that we can move more quickly across our road map || product_dev: I don't think it's flowing to like a fundamental step-change in productivity yet. I think a lot of us believe in some kind of medium term of a few years, you co || product_dev: what it's going to lead to is, fewer engineers being able to basically ship features faster."
E4_2025_na_slowdown,"2025 North America slowdown and inbound shock: NA nights low-single digit, guide cut in May, brand marketing ramp continued",1Q25,episode,2272.0,6.07,7.92,6.99,-0.89,18.35,-1.44,5.42,5.42,22.27,6.02,6.32,12.41,16.55,19.58,14.88,8.35,9.53,22.84,0.0,2.44,10.17,21.36,0.0,S117|S119|S120|S186,"total_margin: For full-year 2025, consistent with our prior guidance, we expect to deliver a full-year Adjusted EBITDA Margin of at least 34.5%, maintaining our strong track  || total_margin: every year what we're seeking to do is strengthen and make more efficient that core business, so that we have incremental room to invest in growth. From year to || brand_marketing: when we think about investing in a new market, there is some fixed cost upfront in terms of, say, launching brand campaigns, and that does drive margins down. B || ops_support: Since we launched our updated hosting quality system in 2023, we've removed over 450,000 listings, and have seen a reduction in customer service issue rates and"
E4_2025_na_slowdown,"2025 North America slowdown and inbound shock: NA nights low-single digit, guide cut in May, brand marketing ramp continued",2Q25,episode,3096.0,12.66,7.43,10.85,2.92,33.69,1.16,7.51,7.51,17.57,-1.59,-1.78,9.98,18.21,17.53,10.69,21.25,20.59,20.64,-2.07,-2.54,7.66,10.99,0.0,S123|S126|S129|S130|S189,"total_margin: For 2025, consistent with our prior guidance, we expect to deliver a full-year Adjusted EBITDA Margin of at least 34.5%, maintaining our strong track record of  || brand_marketing: we continue to use performance marketing as a, I would say, surgical topper to the majority of our spend being in brand. || ops_support: this has reduced, as I mentioned in the opening remarks, 15% of people needing to contact a human agent when they interact instead with this AI agent. || product_dev: the investments we've made across our infrastructure over the last couple of years has really improved the development environment for our team, allowing them t || total_margin: we anticipate that adjusted EBITDA margin will be lower than in Q3 2024, primarily due to investments in new growth and policy initiatives."
E4_2025_na_slowdown,"2025 North America slowdown and inbound shock: NA nights low-single digit, guide cut in May, brand marketing ramp continued",3Q25,episode,4095.0,9.73,8.79,13.93,4.67,50.09,-2.38,18.06,18.06,13.41,-1.15,-1.08,8.38,13.27,12.02,8.13,24.2,24.32,14.29,-2.61,-1.49,6.37,10.22,0.0,S132|S136|S190,"total_margin: For the full-year 2025, we now expect to deliver an Adjusted EBITDA Margin of approximately 35%. || total_margin: you obviously noted in the shareholder letter, we said we're focused on maintaining strong margins while continuing to invest in growth initiatives next year. T || total_margin: On profitability, we now expect our full year adjusted EBITDA margin to be approximately 35%, up from the 34.5% floor previously shared."
E4_2025_na_slowdown,"2025 North America slowdown and inbound shock: NA nights low-single digit, guide cut in May, brand marketing ramp continued",4Q25,episode,2778.0,12.02,9.82,15.91,5.93,28.29,-2.56,14.05,14.05,17.53,14.34,12.76,10.91,9.48,9.48,12.06,26.35,27.06,22.79,85.79,65.73,12.24,11.68,0.0,S137|S138|S139|S140|S141|S142|S143|S144|S145|S146|S147|S181|S191,"total_margin: For 2026, we expect our Adjusted EBITDA Margin to be stable year-over-year as we reinvest top-line efficiencies to support growth across the business, primarily || total_margin: across the full P&L, we're continuing to drive efficiencies in our platform. We plan to reinvest most of these efficiencies into marketing, product and technolo || total_margin: We expect revenue growth to accelerate to at least low-double digits in 2026. We expect adjusted EBITDA margin to be stable year- over-year. And we'll do all of || cost_of_revenue: we're not building models. We do not have a huge CapEx cost base. So our investment in AI will not affect the P&L. I don't think you'll see it in the P&L. || ops_support: Right now, nearly 30% of tickets in North America that are English-based are handled by an AI agent. A year from now, if we're successful, significantly more th || ops_support: not only does this reduce the cost base of Airbnb customer service, but the kind of quality of service is going to be a huge step change || product_dev: More than 80% of engineers are now using AI tools. That soon will be 100%. || sbc: In 2026, we anticipate that the year-over-year growth rate of SBC and headcount will be lower than 2025. || ops_support: We expect to roll out AI customer support globally later this year. || cost_of_revenue: the top of our P&L in terms of cost of revenue and ops and support will scale somewhat linearly. We'll have some efficiencies there, but they will scale somewha || field_ops: Where you will see some incremental investment to drive growth is, obviously, in sales and marketing. This is both in the form of programmatic marketing, but mo || cost_of_revenue: We don't need massive capital investment to grow. We don't own homes, we don't operate experiences, and we're not building data centers. || total_margin: We expect Adjusted EBITDA Margin to be approximately flat year-over-year."
E5_2026_reacceleration,2026 reacceleration with AI spend and new-business investment (context for the 5 Nov card),4Q25,pre_shock_reference,2778.0,12.02,9.82,15.91,5.93,28.29,-2.56,14.05,14.05,17.53,14.34,12.76,10.91,9.48,9.48,12.06,26.35,27.06,22.79,85.79,65.73,12.24,11.68,0.0,S137|S138|S139|S140|S141|S142|S143|S144|S145|S146|S147|S181|S191,"total_margin: For 2026, we expect our Adjusted EBITDA Margin to be stable year-over-year as we reinvest top-line efficiencies to support growth across the business, primarily || total_margin: across the full P&L, we're continuing to drive efficiencies in our platform. We plan to reinvest most of these efficiencies into marketing, product and technolo || total_margin: We expect revenue growth to accelerate to at least low-double digits in 2026. We expect adjusted EBITDA margin to be stable year- over-year. And we'll do all of || cost_of_revenue: we're not building models. We do not have a huge CapEx cost base. So our investment in AI will not affect the P&L. I don't think you'll see it in the P&L. || ops_support: Right now, nearly 30% of tickets in North America that are English-based are handled by an AI agent. A year from now, if we're successful, significantly more th || ops_support: not only does this reduce the cost base of Airbnb customer service, but the kind of quality of service is going to be a huge step change || product_dev: More than 80% of engineers are now using AI tools. That soon will be 100%. || sbc: In 2026, we anticipate that the year-over-year growth rate of SBC and headcount will be lower than 2025. || ops_support: We expect to roll out AI customer support globally later this year. || cost_of_revenue: the top of our P&L in terms of cost of revenue and ops and support will scale somewhat linearly. We'll have some efficiencies there, but they will scale somewha || field_ops: Where you will see some incremental investment to drive growth is, obviously, in sales and marketing. This is both in the form of programmatic marketing, but mo || cost_of_revenue: We don't need massive capital investment to grow. We don't own homes, we don't operate experiences, and we're not building data centers. || total_margin: We expect Adjusted EBITDA Margin to be approximately flat year-over-year."
E5_2026_reacceleration,2026 reacceleration with AI spend and new-business investment (context for the 5 Nov card),1Q26,episode,2678.0,17.87,9.15,19.18,9.03,19.38,1.03,14.82,14.82,21.7,6.74,7.59,11.24,10.95,12.32,14.0,34.1,33.39,25.99,-0.87,0.68,8.55,14.53,0.0,S150|S151|S152|S153|S155|S192|S193,"total_margin: For 2026, we now expect our Adjusted EBITDA Margin to be at least 35%. || ops_support: over 40% of issues are now resolved without a human agent, and this is up from about a third in Q4 with significantly faster resolution time. We've seen the cos || ops_support: We saw our cost-per-booking decrease about 10% year-over-year in Q1-a meaningful trajectory we expect to continue as we further improve AI customer support this || brand_marketing: We'll continue to prioritize reinvestment to support further growth across the business, specifically on efficient marketing spend, international expansion, and || cost_of_revenue: we anticipate that that is an expense that will ramp over the course of the year. And the way we've managed the P&L and delivered efficiencies over time, we've  || total_margin: We expect Adjusted EBITDA and Adjusted EBITDA Margin to be up year-over-year in Q2 2026. || brand_marketing: we've been really localizing the marketing messages. As we've said in the letter, in Q1 alone, we had 16 local marketing campaigns that really tried to capture "
E5_2026_reacceleration,2026 reacceleration with AI spend and new-business investment (context for the 5 Nov card),2Q26,episode,3608.0,16.54,10.34,15.74,5.3,34.95,1.26,16.36,16.36,17.54,4.53,8.73,8.95,12.99,10.16,10.37,26.45,26.63,22.39,-5.06,0.65,6.24,14.86,0.0,S159|S160|S161|S162|S163|S164|S167|S168|S170|S180|S188,"total_margin: For 2026, we now expect to deliver a full-year Adjusted EBITDA Margin of at least 35.5%- an improvement from 2025 that reflects stronger topline growth and unde || ops_support: customer support costs per booking declined about 16% year-over-year, driven in part by improvements by our AI assistant. We expect those costs to continue to d || ops_support: Our AI assistant is now available in more than 50 languages. Nearly 45% of issues that start with our AI assistant are now resolved without a human agent, while || cost_of_revenue: the updated guidance that we've provided obviously does assume a material increase in terms of the AI spend over the course of the year. So, I would note that,  || product_dev: we don't need to grow our head count at levels that we did in the past because we're getting so much more output and speed from our existing workforce, which ob || total_margin: given the track record and the somewhat steady EBITDA margins that we have delivered, I think you can see there's a relative floor in our ability to continue to || cost_of_revenue: we do not need to make any major capital investments. We are not buying up a whole bunch of GPUs. || cost_of_revenue: the inference cost is so outweighed by the amount of money we make on that increased ROI || total_margin: We expect Adjusted EBITDA to increase year-over-year and Adjusted EBITDA Margin to be down slightly compared to Q3 2025, due to timing of investments. || total_margin: And so, where we have those opportunities, we will lean in. || ops_support: We expect this cost to continue declining as our AI assistant resolves a broader range of issues and we introduce new capabilities."
