year,quarter,qn,line,value_musd,fy_total,q_share_of_fy_pct,q_share_of_fy_revenue_pct,pct_of_revenue,per_night_usd,q_share_of_fy_nights_pct,margin_actual_pct,margin_if_costs_flat_pct,margin_discretionary_timing_pp,share_mean_2023_25,share_min_2023_25,share_max_2023_25,pct_rev_mean_2023_25,pct_rev_min_2023_25,pct_rev_max_2023_25,per_night_mean_2023_25
2018,3Q18,3,sm_cash,303.315,1088.862,27.86,34.64,23.98,,,,,,26.23,22.66,31.42,12.6,10.89,14.29,3.83
2018,4Q18,4,sm_cash,295.753,1088.862,27.16,23.02,35.18,,,,,,28.0,23.94,33.42,20.21,17.63,22.79,4.55
2018,1Q18,1,ga_cash,94.357,473.922,19.91,17.6,14.68,,,,,,10.82,0.0,21.61,6.97,0.0,10.73,1.07
2018,2Q18,2,ga_cash,99.323,473.922,20.96,24.74,10.99,,,,,,23.06,12.08,34.92,8.4,7.66,8.81,1.86
2018,3Q18,3,ga_cash,95.792,473.922,20.21,34.64,7.57,,,,,,25.54,13.52,38.67,6.9,6.37,7.18,2.09
2018,4Q18,4,ga_cash,184.45,473.922,38.92,23.02,21.94,,,,,,40.59,26.41,63.55,23.7,7.38,51.49,5.33
2018,1Q18,1,total_cash_costs,765.885,3579.348,21.4,17.6,119.14,,,,,,17.69,8.17,23.15,64.02,22.41,87.07,9.93
2018,2Q18,2,total_cash_costs,878.705,3579.348,24.55,24.74,97.26,,,,,,26.66,22.76,31.81,67.09,66.54,68.01,14.89
2018,3Q18,3,total_cash_costs,930.449,3579.348,25.99,34.64,73.55,,,,,,26.38,22.19,31.4,49.18,47.54,50.57,14.93
2018,4Q18,4,total_cash_costs,1004.309,3579.348,28.06,23.02,119.48,,,,,,29.27,25.89,33.3,84.21,67.82,109.29,18.97
2018,1Q18,1,sbc,12.428,53.893,23.06,17.6,1.93,,,,,,21.63,20.97,22.49,14.24,13.2,15.76,2.24
2018,2Q18,2,sbc,13.361,53.893,24.79,24.74,1.48,,,,,,26.97,26.63,27.15,13.28,12.24,13.9,2.95
2018,3Q18,3,sbc,13.4,53.893,24.86,34.64,1.06,,,,,,25.44,25.06,25.73,9.29,8.42,9.74,2.82
2018,4Q18,4,sbc,14.704,53.893,27.28,23.02,1.75,,,,,,25.95,25.82,26.15,14.23,13.07,14.84,3.21
2018,1Q18,1,da,21.831,82.401,26.49,17.6,3.4,,,,,,24.67,21.54,27.47,0.79,0.61,1.1,0.12
2018,2Q18,2,da,19.933,82.401,24.19,24.74,2.21,,,,,,21.69,20.45,23.08,0.52,0.36,0.68,0.12
2018,3Q18,3,da,20.186,82.401,24.5,34.64,1.6,,,,,,21.81,18.18,24.18,0.39,0.24,0.54,0.12
2018,4Q18,4,da,20.451,82.401,24.82,23.02,2.43,,,,,,31.83,25.27,36.36,0.81,0.72,0.89,0.18
2018,1Q18,1,fcf,287.269,504.933,56.89,17.6,44.69,,,,,,40.79,38.61,42.57,84.82,78.39,89.12,13.3
2018,2Q18,2,fcf,268.111,504.933,53.1,24.74,29.68,,,,,,22.52,20.85,23.46,35.08,31.07,37.95,7.77
2018,3Q18,3,fcf,74.915,504.933,14.84,34.64,5.92,,,,,,29.11,23.95,34.14,33.43,28.78,38.56,10.14
2018,4Q18,4,fcf,-125.362,504.933,-24.83,23.02,-14.91,,,,,,7.57,1.2,11.29,13.1,2.07,18.75,2.96
2018,1Q18,1,cfo,319.233,595.557,53.6,17.6,49.66,,,,,,40.64,38.51,42.56,85.27,78.74,89.78,13.37
2018,2Q18,2,cfo,282.253,595.557,47.39,24.74,31.24,,,,,,22.55,20.99,23.4,35.44,31.49,38.25,7.85
2018,3Q18,3,cfo,96.229,595.557,16.16,34.64,7.61,,,,,,29.05,23.86,34.11,33.67,28.89,39.01,10.21
2018,4Q18,4,cfo,-102.158,595.557,-17.15,23.02,-12.15,,,,,,7.75,1.62,11.32,13.52,2.84,18.93,3.05
2018,1Q18,1,interest_income,10.013,66.793,14.99,17.6,1.56,,,,,,23.16,20.25,24.69,8.36,7.61,9.43,1.31
2018,2Q18,2,interest_income,16.029,66.793,24.0,24.74,1.77,,,,,,27.02,26.49,27.63,7.35,6.14,8.22,1.63
2018,3Q18,3,interest_income,19.711,66.793,29.51,34.64,1.56,,,,,,25.82,25.31,26.63,5.2,4.4,5.65,1.58
2018,4Q18,4,interest_income,21.04,66.793,31.5,23.02,2.5,,,,,,23.99,22.37,26.63,7.29,5.83,8.66,1.64
2018,1Q18,1,tax_provision,14.036,63.893,21.97,17.6,2.18,,,,,,2.27,-0.48,4.25,0.97,0.72,1.35,0.15
2018,2Q18,2,tax_provision,11.693,63.893,18.3,24.74,1.29,,,,,,13.12,-0.97,21.88,3.36,1.05,4.59,0.75
2018,3Q18,3,tax_provision,-7.579,63.893,-11.86,34.64,-0.6,,,,,,73.56,53.73,100.19,-19.76,-79.33,10.21,-5.9
2018,4Q18,4,tax_provision,45.743,63.893,71.59,23.02,5.44,,,,,,11.05,1.26,23.57,2.28,-1.53,6.49,0.51
2019,1Q19,1,revenue,839.004,4805.239,17.46,17.46,100.0,10.32,24.87,,,,18.73,18.33,19.29,100.0,100.0,100.0,15.68
2019,2Q19,2,revenue,1213.678,4805.239,25.26,25.26,100.0,14.466,25.67,,,,25.03,24.75,25.29,100.0,100.0,100.0,22.19
2019,3Q19,3,revenue,1645.761,4805.239,34.25,34.25,100.0,19.159,26.28,,,,33.77,33.45,34.25,100.0,100.0,100.0,30.35
2019,4Q19,4,revenue,1106.796,4805.239,23.03,23.03,100.0,14.602,23.19,,,,22.47,22.34,22.69,100.0,100.0,100.0,22.53
2019,1Q19,1,adj_ebitda,-248.0,-253.0,98.02,17.46,-29.56,-3.05,24.87,-29.56,-49.99,20.43,9.12,7.17,10.49,17.52,14.41,19.79,2.76
2019,2Q19,2,adj_ebitda,-42.0,-253.0,16.6,25.26,-3.46,-0.501,25.67,-3.46,-4.0,0.54,22.94,22.12,24.27,33.06,32.53,33.69,7.34
2019,3Q19,3,adj_ebitda,313.0,-253.0,-123.72,34.25,19.02,3.644,26.28,19.02,23.32,-4.3,48.8,47.73,50.21,52.18,50.09,53.99,15.83
2019,4Q19,4,adj_ebitda,-276.0,-253.0,109.09,23.03,-24.94,-3.641,23.19,-24.94,-15.25,-9.69,19.14,18.29,20.2,30.8,28.29,33.27,6.94
2019,1Q19,1,cor_gaap,280.568,1196.313,23.45,17.46,33.44,3.451,24.87,,,,24.98,24.26,25.56,22.74,22.27,23.54,3.56
2019,2Q19,2,cor_gaap,313.46,1196.313,26.2,25.26,25.83,3.736,25.67,,,,26.13,25.37,26.94,17.79,17.39,18.41,3.95
2019,3Q19,3,cor_gaap,308.667,1196.313,25.8,34.25,18.76,3.593,26.28,,,,26.01,24.76,26.95,13.13,12.46,13.51,3.98
2019,4Q19,4,cor_gaap,293.618,1196.313,24.54,23.03,26.53,3.874,23.19,,,,22.88,22.55,23.35,17.35,17.22,17.53,3.91
2019,1Q19,1,ops_gaap,166.755,815.074,20.46,17.46,19.88,2.051,24.87,,,,22.95,22.23,23.78,14.05,13.31,15.51,2.2
2019,2Q19,2,ops_gaap,210.569,815.074,25.83,25.26,17.35,2.51,25.67,,,,26.04,25.02,26.73,11.93,10.72,12.76,2.64
2019,3Q19,3,ops_gaap,223.464,815.074,27.42,34.25,13.58,2.601,26.28,,,,27.64,26.64,28.78,9.37,8.91,9.89,2.84
2019,4Q19,4,ops_gaap,214.286,815.074,26.29,23.03,19.36,2.827,23.19,,,,23.37,22.62,24.64,11.89,11.69,12.22,2.68
2019,1Q19,1,pd_gaap,185.101,976.695,18.95,17.46,22.06,2.277,24.87,,,,23.87,23.1,24.39,23.43,22.18,25.0,3.67
2019,2Q19,2,pd_gaap,232.327,976.695,23.79,25.26,19.14,2.769,25.67,,,,25.78,25.24,26.19,18.92,18.16,19.7,4.2
2019,3Q19,3,pd_gaap,276.368,976.695,28.3,34.25,16.79,3.217,26.28,,,,24.92,24.33,25.49,13.57,12.33,14.33,4.12
2019,4Q19,4,pd_gaap,282.899,976.695,28.96,23.03,25.56,3.732,23.19,,,,25.43,25.02,26.17,20.79,19.48,21.69,4.68
2019,1Q19,1,sm_gaap,366.546,1621.519,22.61,17.46,43.69,4.509,24.87,,,,23.73,21.75,25.52,24.51,24.0,24.78,3.84
2019,2Q19,2,sm_gaap,388.246,1621.519,23.94,25.26,31.99,4.627,25.67,,,,26.98,26.68,27.57,20.91,19.57,22.32,4.65
2019,3Q19,3,sm_gaap,429.714,1621.519,26.5,34.25,26.11,5.002,26.28,,,,23.83,22.86,24.69,13.74,11.86,15.6,4.18
2019,4Q19,4,sm_gaap,437.013,1621.519,26.95,23.03,39.48,5.765,23.19,,,,25.46,24.05,26.85,22.07,19.12,25.02,4.97
2019,1Q19,1,ga_gaap,146.013,697.181,20.94,17.46,17.4,1.796,24.87,,,,19.38,12.0,24.22,13.24,12.94,13.4,2.08
2019,2Q19,2,ga_gaap,169.231,697.181,24.27,25.26,13.94,2.017,25.67,,,,21.01,13.58,26.58,10.82,9.92,11.46,2.4
2019,3Q19,3,ga_gaap,175.018,697.181,25.1,34.25,10.63,2.037,26.28,,,,22.62,15.01,28.27,8.66,8.06,8.98,2.63
2019,4Q19,4,ga_gaap,206.919,697.181,29.68,23.03,18.7,2.73,23.19,,,,36.99,20.93,59.41,26.34,10.0,54.24,5.93
2019,1Q19,1,cor_cash,280.568,1196.313,23.45,17.46,33.44,3.451,24.87,,,,24.98,24.26,25.56,22.74,22.27,23.54,3.56
2019,2Q19,2,cor_cash,313.46,1196.313,26.2,25.26,25.83,3.736,25.67,,,,26.13,25.37,26.94,17.79,17.39,18.41,3.95
2019,3Q19,3,cor_cash,308.667,1196.313,25.8,34.25,18.76,3.593,26.28,,,,26.01,24.76,26.95,13.13,12.46,13.51,3.98
2019,4Q19,4,cor_cash,293.618,1196.313,24.54,23.03,26.53,3.874,23.19,,,,22.88,22.55,23.35,17.35,17.22,17.53,3.91
2019,1Q19,1,ops_cash,166.724,814.257,20.48,17.46,19.87,2.051,24.87,,,,15.56,0.0,23.88,9.03,0.0,14.69,1.39
2019,2Q19,2,ops_cash,210.445,814.257,25.85,25.26,17.34,2.508,25.67,,,,28.51,24.98,33.91,11.14,9.98,12.0,2.47
2019,3Q19,3,ops_cash,223.336,814.257,27.43,34.25,13.57,2.6,26.28,,,,30.65,26.74,37.47,8.83,8.38,9.3,2.68
2019,4Q19,4,ops_cash,213.752,814.257,26.25,23.03,19.31,2.82,23.19,,,,25.28,22.72,28.62,11.02,10.69,11.45,2.48
2019,1Q19,1,pd_cash,178.39,920.063,19.39,17.46,21.26,2.194,24.87,,,,17.21,0.0,26.36,9.93,0.0,14.91,1.53
2019,2Q19,2,pd_cash,224.332,920.063,24.38,25.26,18.48,2.674,25.67,,,,27.29,24.76,31.82,10.45,10.19,10.69,2.32
2019,3Q19,3,pd_cash,246.083,920.063,26.75,34.25,14.95,2.865,26.28,,,,27.35,23.74,33.41,7.73,7.18,8.13,2.35
2019,4Q19,4,pd_cash,271.258,920.063,29.48,23.03,24.51,3.579,23.19,,,,28.15,24.61,34.77,11.94,11.41,12.34,2.69
2019,1Q19,1,sm_cash,361.753,1597.6,22.64,17.46,43.12,4.45,24.87,,,,15.89,0.0,25.84,15.35,0.0,23.21,2.37
2019,2Q19,2,sm_cash,382.049,1597.6,23.91,25.26,31.48,4.554,25.67,,,,29.87,26.89,35.16,19.31,18.12,20.64,4.29
2019,3Q19,3,sm_cash,423.63,1597.6,26.52,34.25,25.74,4.932,26.28,,,,26.23,22.66,31.42,12.6,10.89,14.29,3.83
2019,4Q19,4,sm_cash,430.168,1597.6,26.93,23.03,38.87,5.675,23.19,,,,28.0,23.94,33.42,20.21,17.63,22.79,4.55
2019,1Q19,1,ga_cash,143.485,681.002,21.07,17.46,17.1,1.765,24.87,,,,10.82,0.0,21.61,6.97,0.0,10.73,1.07
2019,2Q19,2,ga_cash,165.498,681.002,24.3,25.26,13.64,1.973,25.67,,,,23.06,12.08,34.92,8.4,7.66,8.81,1.86
2019,3Q19,3,ga_cash,171.317,681.002,25.16,34.25,10.41,1.994,26.28,,,,25.54,13.52,38.67,6.9,6.37,7.18,2.09
2019,4Q19,4,ga_cash,200.702,681.002,29.47,23.03,18.13,2.648,23.19,,,,40.59,26.41,63.55,23.7,7.38,51.49,5.33
2019,1Q19,1,total_cash_costs,1130.92,5209.235,21.71,17.46,134.79,13.91,24.87,,,,17.69,8.17,23.15,64.02,22.41,87.07,9.93
2019,2Q19,2,total_cash_costs,1295.784,5209.235,24.87,25.26,106.77,15.444,25.67,,,,26.66,22.76,31.81,67.09,66.54,68.01,14.89
2019,3Q19,3,total_cash_costs,1373.033,5209.235,26.36,34.25,83.43,15.984,26.28,,,,26.38,22.19,31.4,49.18,47.54,50.57,14.93
2019,4Q19,4,total_cash_costs,1409.498,5209.235,27.06,23.03,127.35,18.595,23.19,,,,29.27,25.89,33.3,84.21,67.82,109.29,18.97
2019,1Q19,1,sbc,14.063,97.547,14.42,17.46,1.68,0.173,24.87,,,,21.63,20.97,22.49,14.24,13.2,15.76,2.24
2019,2Q19,2,sbc,18.049,97.547,18.5,25.26,1.49,0.215,25.67,,,,26.97,26.63,27.15,13.28,12.24,13.9,2.95
2019,3Q19,3,sbc,40.198,97.547,41.21,34.25,2.44,0.468,26.28,,,,25.44,25.06,25.73,9.29,8.42,9.74,2.82
2019,4Q19,4,sbc,25.237,97.547,25.87,23.03,2.28,0.333,23.19,,,,25.95,25.82,26.15,14.23,13.07,14.84,3.21
2019,1Q19,1,da,21.0,114.0,18.42,17.46,2.5,0.258,24.87,,,,24.67,21.54,27.47,0.79,0.61,1.1,0.12
2019,2Q19,2,da,24.0,114.0,21.05,25.26,1.98,0.286,25.67,,,,21.69,20.45,23.08,0.52,0.36,0.68,0.12
2019,3Q19,3,da,31.0,114.0,27.19,34.25,1.88,0.361,26.28,,,,21.81,18.18,24.18,0.39,0.24,0.54,0.12
2019,4Q19,4,da,38.0,114.0,33.33,23.03,3.43,0.501,23.19,,,,31.83,25.27,36.36,0.81,0.72,0.89,0.18
2019,1Q19,1,nights,81.3,326.9,24.87,17.46,9.69,,24.87,,,,26.95,26.85,27.02,6.38,6.19,6.66,
2019,2Q19,2,nights,83.9,326.9,25.67,25.26,6.91,,25.67,,,,25.45,25.22,25.68,4.51,4.34,4.63,
2019,3Q19,3,nights,85.9,326.9,26.28,34.25,5.22,,26.28,,,,25.1,24.98,25.26,3.29,3.26,3.33,
2019,4Q19,4,nights,75.8,326.9,23.19,23.03,6.85,,23.19,,,,22.5,22.04,22.87,4.44,4.39,4.48,
2019,1Q19,1,gbv,10.0,38.0,26.32,17.46,1.19,,24.87,,,,27.55,26.83,28.0,1.09,1.07,1.12,
2019,2Q19,2,gbv,9.8,38.0,25.79,25.26,0.81,,25.67,,,,25.91,25.74,26.06,0.77,0.76,0.77,
2019,3Q19,3,gbv,9.7,38.0,25.53,34.25,0.59,,26.28,,,,24.87,24.57,25.08,0.55,0.54,0.56,
2019,4Q19,4,gbv,8.5,38.0,22.37,23.03,0.77,,23.19,,,,21.67,21.15,22.34,0.71,0.7,0.73,
2019,1Q19,1,fcf,277.0,108.0,256.48,17.46,33.02,3.407,24.87,,,,40.79,38.61,42.57,84.82,78.39,89.12,13.3
2019,2Q19,2,fcf,122.0,108.0,112.96,25.26,10.05,1.454,25.67,,,,22.52,20.85,23.46,35.08,31.07,37.95,7.77
2019,3Q19,3,fcf,-75.0,108.0,-69.44,34.25,-4.56,-0.873,26.28,,,,29.11,23.95,34.14,33.43,28.78,38.56,10.14
2019,4Q19,4,fcf,-216.0,108.0,-200.0,23.03,-19.52,-2.85,23.19,,,,7.57,1.2,11.29,13.1,2.07,18.75,2.96
2019,1Q19,1,cfo,314.0,233.0,134.76,17.46,37.43,3.862,24.87,,,,40.64,38.51,42.56,85.27,78.74,89.78,13.37
2019,2Q19,2,cfo,152.0,233.0,65.24,25.26,12.52,1.812,25.67,,,,22.55,20.99,23.4,35.44,31.49,38.25,7.85
2019,3Q19,3,cfo,-43.0,233.0,-18.45,34.25,-2.61,-0.501,26.28,,,,29.05,23.86,34.11,33.67,28.89,39.01,10.21
2019,4Q19,4,cfo,-190.0,233.0,-81.55,23.03,-17.17,-2.507,23.19,,,,7.75,1.62,11.32,13.52,2.84,18.93,3.05
2019,1Q19,1,interest_income,22.304,85.902,25.96,17.46,2.66,0.274,24.87,,,,23.16,20.25,24.69,8.36,7.61,9.43,1.31
2019,2Q19,2,interest_income,24.367,85.902,28.37,25.26,2.01,0.29,25.67,,,,27.02,26.49,27.63,7.35,6.14,8.22,1.63
2019,3Q19,3,interest_income,21.99,85.902,25.6,34.25,1.34,0.256,26.28,,,,25.82,25.31,26.63,5.2,4.4,5.65,1.58
2019,4Q19,4,interest_income,17.241,85.902,20.07,23.03,1.56,0.227,23.19,,,,23.99,22.37,26.63,7.29,5.83,8.66,1.64
2019,1Q19,1,tax_provision,13.065,262.636,4.97,17.46,1.56,0.161,24.87,,,,2.27,-0.48,4.25,0.97,0.72,1.35,0.15
2019,2Q19,2,tax_provision,225.47,262.636,85.85,25.26,18.58,2.687,25.67,,,,13.12,-0.97,21.88,3.36,1.05,4.59,0.75
2019,3Q19,3,tax_provision,14.652,262.636,5.58,34.25,0.89,0.171,26.28,,,,73.56,53.73,100.19,-19.76,-79.33,10.21,-5.9
2019,4Q19,4,tax_provision,9.449,262.636,3.6,23.03,0.85,0.125,23.19,,,,11.05,1.26,23.57,2.28,-1.53,6.49,0.51
2020,1Q20,1,revenue,841.83,3378.0,24.92,24.92,100.0,14.743,29.55,,,,18.73,18.33,19.29,100.0,100.0,100.0,15.68
2020,2Q20,2,revenue,334.774,3378.0,9.91,9.91,100.0,11.956,14.49,,,,25.03,24.75,25.29,100.0,100.0,100.0,22.19
2020,3Q20,3,revenue,1342.331,3378.0,39.74,39.74,100.0,21.721,31.99,,,,33.77,33.45,34.25,100.0,100.0,100.0,30.35
2020,4Q20,4,revenue,859.065,3378.0,25.43,25.43,100.0,18.554,23.96,,,,22.47,22.34,22.69,100.0,100.0,100.0,22.53
2020,1Q20,1,adj_ebitda,-334.3,-250.7,133.35,24.92,-39.71,-5.855,29.55,,,,9.12,7.17,10.49,17.52,14.41,19.79,2.76
2020,2Q20,2,adj_ebitda,-397.3,-250.7,158.48,9.91,-118.68,-14.189,14.49,,,,22.94,22.12,24.27,33.06,32.53,33.69,7.34
2020,3Q20,3,adj_ebitda,501.4,-250.7,-200.0,39.74,37.35,8.113,31.99,,,,48.8,47.73,50.21,52.18,50.09,53.99,15.83
2020,4Q20,4,adj_ebitda,-20.5,-250.7,8.18,25.43,-2.39,-0.443,23.96,,,,19.14,18.29,20.2,30.8,28.29,33.27,6.94
2020,1Q20,1,cor_gaap,277.772,876.0,31.71,24.92,33.0,4.865,29.55,,,,24.98,24.26,25.56,22.74,22.27,23.54,3.56
2020,2Q20,2,cor_gaap,161.198,876.0,18.4,9.91,48.15,5.757,14.49,,,,26.13,25.37,26.94,17.79,17.39,18.41,3.95
2020,3Q20,3,cor_gaap,227.325,876.0,25.95,39.74,16.94,3.678,31.99,,,,26.01,24.76,26.95,13.13,12.46,13.51,3.98
2020,4Q20,4,cor_gaap,209.705,876.0,23.94,25.43,24.41,4.529,23.96,,,,22.88,22.55,23.35,17.35,17.22,17.53,3.91
2020,1Q20,1,ops_gaap,221.787,877.6,25.27,24.92,26.35,3.884,29.55,,,,22.95,22.23,23.78,14.05,13.31,15.51,2.2
2020,2Q20,2,ops_gaap,160.476,877.6,18.29,9.91,47.94,5.731,14.49,,,,26.04,25.02,26.73,11.93,10.72,12.76,2.64
2020,3Q20,3,ops_gaap,166.106,877.6,18.93,39.74,12.37,2.688,31.99,,,,27.64,26.64,28.78,9.37,8.91,9.89,2.84
2020,4Q20,4,ops_gaap,329.231,877.6,37.51,25.43,38.32,7.111,23.96,,,,23.37,22.62,24.64,11.89,11.69,12.22,2.68
2020,1Q20,1,pd_gaap,258.819,2753.0,9.4,24.92,30.74,4.533,29.55,,,,23.87,23.1,24.39,23.43,22.18,25.0,3.67
2020,2Q20,2,pd_gaap,217.938,2753.0,7.92,9.91,65.1,7.783,14.49,,,,25.78,25.24,26.19,18.92,18.16,19.7,4.2
2020,3Q20,3,pd_gaap,213.92,2753.0,7.77,39.74,15.94,3.461,31.99,,,,24.92,24.33,25.49,13.57,12.33,14.33,4.12
2020,4Q20,4,pd_gaap,2062.323,2753.0,74.91,25.43,240.07,44.543,23.96,,,,25.43,25.02,26.17,20.79,19.48,21.69,4.68
2020,1Q20,1,sm_gaap,317.179,1175.0,26.99,24.92,37.68,5.555,29.55,,,,23.73,21.75,25.52,24.51,24.0,24.78,3.84
2020,2Q20,2,sm_gaap,114.837,1175.0,9.77,9.91,34.3,4.101,14.49,,,,26.98,26.68,27.57,20.91,19.57,22.32,4.65
2020,3Q20,3,sm_gaap,113.494,1175.0,9.66,39.74,8.45,1.836,31.99,,,,23.83,22.86,24.69,13.74,11.86,15.6,4.18
2020,4Q20,4,sm_gaap,629.49,1175.0,53.57,25.43,73.28,13.596,23.96,,,,25.46,24.05,26.85,22.07,19.12,25.02,4.97
2020,1Q20,1,ga_gaap,91.762,1135.0,8.08,24.92,10.9,1.607,29.55,,,,19.38,12.0,24.22,13.24,12.94,13.4,2.08
