model,window,n_S1,rmse_pp_S1,ratio_vs_naive_S1,ratio_vs_prior_year_S1,ratio_vs_ar1_S1,jackknife_ratio_min_S1,jackknife_ratio_max_S1,n_J3,rmse_pp_J3,ratio_vs_naive_J3,ratio_vs_prior_year_J3,ratio_vs_ar1_J3,jackknife_ratio_min_J3,jackknife_ratio_max_J3,diff_rmse_pp,diff_ratio_vs_naive,diff_ratio_vs_prior_year,diff_ratio_vs_ar1,diff_jackknife_ratio_min,diff_jackknife_ratio_max,max_abs_diff
v2_measured_trailing_4q,1Q24-2Q26,10,0.9490129915263325,1.044828916304662,0.5434032581901991,0.8292746556774044,0.9331821425119157,1.2208527039613604,10,0.9490129915263325,1.044828916304662,0.5434032581901991,0.8292746556774044,0.9331821425119156,1.2208527039613604,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16
v2_measured_trailing_4q,2Q24-2Q26,9,0.9968220586008201,1.2208527039613604,0.550589451425442,0.9419248132341329,1.0894165016467776,1.334567060989638,9,0.99682205860082,1.2208527039613604,0.550589451425442,0.9419248132341328,1.0894165016467776,1.334567060989638,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16
v2_measured_trailing_8q,1Q24-2Q26,10,0.9351531856737493,1.0295697722692816,0.5354671564450963,0.8171635614892512,0.8515725907200784,1.2028955464848576,10,0.9351531856737492,1.0295697722692816,0.5354671564450963,0.8171635614892512,0.8515725907200784,1.2028955464848576,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16
v2_measured_trailing_8q,2Q24-2Q26,9,0.9821601009180747,1.2028955464848576,0.5424909957705812,0.928070322723207,0.9932549484064234,1.3150524156348216,9,0.9821601009180748,1.2028955464848576,0.5424909957705812,0.928070322723207,0.9932549484064234,1.3150524156348216,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16
v2_measured_ar1_residual,1Q24-2Q26,8,0.830819110642299,0.9147017361916798,0.47572563886990976,0.7259934669598068,0.8127512625098959,1.017541444813277,8,0.830819110642299,0.9147017361916798,0.4757256388699097,0.7259934669598068,0.8127512625098959,1.017541444813277,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,5.551115123125783e-17
v2_measured_ar1_residual,2Q24-2Q26,8,0.830819110642299,1.017541444813277,0.45889859119329557,0.7850640230830582,0.9227103512450328,1.1204082444607402,8,0.830819110642299,1.017541444813277,0.4588985911932955,0.7850640230830582,0.9227103512450328,1.1204082444607402,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,5.551115123125783e-17
v2_measured_blend,1Q24-2Q26,10,0.8676866549118804,0.955291566541681,0.49683593330891485,0.7582093800746067,0.8763126762120795,1.0757126534965689,10,0.8676866549118804,0.955291566541681,0.4968359333089148,0.7582093800746067,0.8763126762120795,1.0757126534965689,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,5.551115123125783e-17
v2_measured_blend,2Q24-2Q26,9,0.8783157036406402,1.0757126534965689,0.48513308596384763,0.8299448712777868,0.9799164049999668,1.1712085703629305,9,0.8783157036406402,1.0757126534965689,0.4851330859638476,0.8299448712777868,0.9799164049999668,1.1712085703629305,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,5.551115123125783e-17
v2_trailing4q_last_q,1Q24-2Q26,10,1.01540233010374,1.1179211724690934,0.5814176828758221,0.8872875557968046,1.0683226259780814,1.159512202316043,10,1.01540233010374,1.1179211724690934,0.5814176828758221,0.8872875557968046,1.0683226259780814,1.159512202316043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v2_trailing4q_last_q,2Q24-2Q26,9,0.9254864381829297,1.1334847687070122,0.5111875945201986,0.874517806778661,1.0651599265908185,1.1954668020160355,9,0.9254864381829296,1.1334847687070122,0.5111875945201986,0.874517806778661,1.0651599265908185,1.1954668020160355,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16
v2_trailing4q_persistence,1Q24-2Q26,10,1.1705033173061594,1.2886817393142844,0.670228249798364,1.0228192280773343,1.1943756549645226,1.376465831243759,10,1.1705033173061594,1.2886817393142844,0.670228249798364,1.0228192280773345,1.1943756549645226,1.376465831243759,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16
v2_trailing4q_persistence,2Q24-2Q26,9,1.1238796449743695,1.376465831243759,0.6207690448415901,1.061985050948847,1.2656646227764057,1.4948714039038644,9,1.1238796449743695,1.376465831243759,0.6207690448415901,1.061985050948847,1.2656646227764057,1.4948714039038644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v2_trailing4q_trailing_4q,1Q24-2Q26,10,1.235949018719016,1.3607350851531188,0.7077023494153686,1.080007551092201,1.1868939335422135,1.5824927471516252,10,1.235949018719016,1.3607350851531188,0.7077023494153686,1.080007551092201,1.1868939335422135,1.5824927471516252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v2_trailing4q_trailing_4q,2Q24-2Q26,9,1.2920999173922265,1.5824927471516252,0.7136846326438825,1.2209410524861657,1.4116089946387411,1.723768620058076,9,1.2920999173922263,1.5824927471516252,0.7136846326438825,1.2209410524861657,1.4116089946387411,1.723768620058076,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16
v2_trailing4q_trailing_8q,1Q24-2Q26,10,1.1967624662681997,1.3175921108245463,0.685264194754528,1.0457652223980805,1.118849048303566,1.5314701001915034,10,1.1967624662681997,1.3175921108245463,0.685264194754528,1.0457652223980805,1.118849048303566,1.5314701001915034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v2_trailing4q_trailing_8q,2Q24-2Q26,9,1.2504401005994046,1.5314701001915034,0.6906740506884228,1.1815755360297717,1.3285870802059623,1.6771500350639206,9,1.2504401005994046,1.5314701001915034,0.6906740506884228,1.1815755360297715,1.3285870802059625,1.6771500350639206,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16
v2_trailing4q_ar1_residual,1Q24-2Q26,8,1.1025070606931238,1.2138203246190986,0.6312937065221614,0.9634021570850422,0.9421620548594086,1.3502898682569187,8,1.1025070606931238,1.2138203246190986,0.6312937065221614,0.9634021570850422,0.9421620548594086,1.3502898682569189,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
v2_trailing4q_ar1_residual,2Q24-2Q26,8,1.1025070606931238,1.3502898682569187,0.6089640096766656,1.0417895032242108,1.069629443434401,1.4908458214505043,8,1.1025070606931238,1.3502898682569189,0.6089640096766656,1.0417895032242108,1.069629443434401,1.4908458214505045,0.0,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
v2_trailing4q_blend,1Q24-2Q26,10,1.1441668847366782,1.259686281352592,0.6551480523773096,0.9998057011331968,1.1265653946828325,1.4179580762215556,10,1.1441668847366782,1.259686281352592,0.6551480523773096,0.9998057011331968,1.1265653946828325,1.4179580762215556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v2_trailing4q_blend,2Q24-2Q26,9,1.157757921133756,1.4179580762215556,0.6394815335198789,1.0939975738146792,1.2785762824996931,1.5513166108223606,9,1.157757921133756,1.4179580762215556,0.6394815335198789,1.0939975738146792,1.2785762824996931,1.5513166108223606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h_route_a,1Q24-2Q26,9,1.2920999173922265,1.4225551899716053,0.7398542604658757,1.1290738100148654,1.2433880155510375,1.5824927471516252,9,1.2920999173922263,1.4225551899716051,0.7398542604658757,1.1290738100148654,1.2433880155510375,1.5824927471516252,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16
h_route_a,2Q24-2Q26,9,1.2920999173922265,1.5824927471516252,0.7136846326438825,1.2209410524861657,1.4116089946387413,1.723768620058076,9,1.2920999173922263,1.5824927471516252,0.7136846326438825,1.2209410524861657,1.4116089946387411,1.723768620058076,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16
