quarter,target,fx_estimator,fx_est_pp,naive_exfx_pp,actual,naive,prior_year,ar1,v2_measured_last_q,v2_measured_persistence,v2_measured_trailing_4q,v2_measured_trailing_8q,v2_measured_ar1_residual,v2_measured_blend,v2_trailing4q_last_q,v2_trailing4q_persistence,v2_trailing4q_trailing_4q,v2_trailing4q_trailing_8q,v2_trailing4q_ar1_residual,v2_trailing4q_blend,h_route_a
4Q25,t2_reported_usd_yoy,baskets,3.364,2.0,5.931828242585202,5.364,0.8932559178204569,3.1652879033478962,5.665751797614764,5.207417573172924,5.2733437768263745,5.109314971779085,5.122169319162382,5.158366272476004,5.390113362941328,4.931779138499488,4.997705342152939,4.833676537105649,4.846530884488946,4.882727837802568,4.997705342152939
1Q26,t2_reported_usd_yoy,baskets,5.06,3.0,9.0346679117544,8.059999999999999,-0.8907913003239232,5.166274534669446,8.675937140810133,8.23767614484889,7.641649148229729,7.601084619945835,7.719390925519958,7.919380382397362,7.844287992580403,7.406026996619159,6.809999999999999,6.769435471716105,6.887741777290229,7.087731234167633,6.81
2Q26,t2_reported_usd_yoy,baskets,1.696,4.0,5.30146721687299,5.696,2.9198371969562764,10.120127522713869,5.524975483567821,5.184087599287157,4.346215548964661,4.033948911941771,4.7240189520465625,4.609018255614464,5.449188161946025,5.108300277665361,4.270428227342865,3.9581615903199747,4.648231630424767,4.533230933992668,4.270428227342865
1Q24,t2_reported_usd_yoy,midpoint,0.39199999999999996,0.5,2.642047141245607,0.8919999999999999,0.2141964657583317,2.7039855689709773,1.0272924145842235,1.1129079178756778,2.1402687301128522,2.1402687301128522,,1.6265883239942651,0.7790236844713712,0.8646391877628254,1.892,1.892,,1.3783195938814128,
2Q24,t2_reported_usd_yoy,midpoint,-0.8685,2.0,2.120354195530405,1.1315,1.3863442042262086,2.7074837429817324,1.2100044076231429,0.4990982069653136,0.5959721356880603,0.9629355389935188,,0.7310168729794162,1.0098084759100534,0.2989022752522239,0.3957762039749706,0.7627396072804291,,0.5308209412663265,0.3957762039749706
3Q24,t2_reported_usd_yoy,midpoint,-0.178,3.0,1.40042136572065,2.822,3.1577601636410213,2.4080490365124456,3.030291827018395,2.5409916228800253,1.6282430717987382,2.0089007629297586,2.114061604272275,2.274946192904892,2.7526011631695986,2.2633009590312287,1.3505524079499414,1.731210099080962,1.8363709404234783,1.9972555290560954,1.3505524079499411
4Q24,t2_reported_usd_yoy,midpoint,-0.9824999999999999,2.0,0.8932559178204569,1.0175,2.565277141548328,2.061066374731592,0.3975483197447165,0.9731418253039728,0.41618527361631674,0.5088019886274675,0.26234957795472935,0.7409719069657204,0.916691658053312,1.4922851636125682,0.9353286119249122,1.027945326936063,0.7814929162633248,1.2601152452743158,0.935328611924912
1Q25,t2_reported_usd_yoy,midpoint,-2.177,2.0,-0.8907913003239232,-0.17700000000000005,2.642047141245607,1.6632234885320747,-0.4698547533916766,-0.8083830014692597,-0.6467037220179799,-0.9649322272550396,-1.0035594280468236,-0.8866576143621498,0.2498489686263028,-0.08867927945128029,0.07299999999999951,-0.24522850523705997,-0.283855706028844,-0.16695389234417046,0.0730000000000004
2Q25,t2_reported_usd_yoy,midpoint,1.5775000000000001,1.0,2.9198371969562764,2.5775,2.120354195530405,-0.1768721791886224,3.0815246927504574,3.3459604212859935,3.427446790255807,2.9596703874144303,2.95162858311102,3.152815404350212,3.276146349878964,3.5405820784144995,3.6220684473843128,3.1542920445429363,3.1462502402395263,3.3474370614787183,3.622068447384313
3Q25,t2_reported_usd_yoy,midpoint,2.1635,1.0,4.674896113419713,3.1635,1.40042136572065,1.9813176454513266,3.4251053406535705,3.587980792260174,3.76459012256022,3.558199791620879,3.5213521201983,3.5730902919405265,3.4131521128619764,3.5760275644685797,3.7526368947686257,3.546246563829285,3.509398892406706,3.5611370641489324,3.7526368947686253
4Q25,t2_reported_usd_yoy,midpoint,3.4565,2.0,5.931828242585202,5.4565,0.8932559178204569,3.1652879033478962,5.758251797614765,5.299917573172924,5.365843776826376,5.201814971779085,5.2146693191623825,5.250866272476005,5.482613362941328,5.024279138499487,5.090205342152939,4.926176537105649,4.939030884488947,4.975227837802569,5.090205342152939
1Q26,t2_reported_usd_yoy,midpoint,4.753,3.0,9.0346679117544,7.753,-0.8907913003239232,5.166274534669446,8.368937140810132,7.93067614484889,7.33464914822973,7.294084619945835,7.412390925519959,7.612380382397363,7.537287992580403,7.099026996619161,6.503,6.462435471716105,6.580741777290228,6.780731234167632,6.503
2Q26,t2_reported_usd_yoy,midpoint,1.141,4.0,5.30146721687299,5.141,2.9198371969562764,10.120127522713869,4.96997548356782,4.629087599287157,3.791215548964661,3.478948911941771,4.169018952046562,4.054018255614464,4.894188161946024,4.553300277665361,3.715428227342865,3.403161590319975,4.093231630424766,3.9782309339926676,3.7154282273428656
