quarter,err_from_residual_rule_pp,err_from_new_business_and_interaction_pp,model_exfx_unrounded_pp,actual_exfx_disclosed_pp,target,fx_estimator,model_scored_pp,actual_pp,err_total_pp,err_naive_pp,err_from_rounding_pp,err_from_fx_estimator_pp,err_from_disclosed_identity_gap_pp,check_sum_pp
2Q25,0.325750903213206,0.17827378953725154,1.5040246927504572,1.0,t2_reported_usd_yoy,eur,3.3480246927504576,2.9198371969562764,0.42818749579418114,-0.07583719695627611,0.0,-0.05599999999999983,-0.0198371969562765,0.0
2Q25,0.325750903213206,0.17827378953725154,1.5040246927504572,1.0,t2_reported_usd_yoy,baskets,2.815024692750457,2.9198371969562764,-0.10481250420581922,-0.6088371969562765,0.0,-0.589,-0.0198371969562765,2.220446049250313e-16
2Q25,0.325750903213206,0.17827378953725154,1.5040246927504572,1.0,t2_reported_usd_yoy,midpoint,3.0815246927504574,2.9198371969562764,0.16168749579418096,-0.3423371969562763,0.0,-0.3224999999999998,-0.0198371969562765,2.220446049250313e-16
3Q25,-0.9166684488836807,0.17827378953725154,1.2616053406535706,2.0,t1_exfx_integer_fair,none,1.0,2.0,-1.0,-1.0,-0.26160534065357055,,,2.220446049250313e-16
3Q25,-0.9166684488836807,0.17827378953725154,1.2616053406535706,2.0,t2_reported_usd_yoy,eur,3.5626053406535707,4.674896113419713,-1.1122907727661424,-1.373896113419713,0.0,-0.399,0.025103886580287,2.220446049250313e-16
3Q25,-0.9166684488836807,0.17827378953725154,1.2616053406535706,2.0,t2_reported_usd_yoy,baskets,3.2876053406535704,4.674896113419713,-1.3872907727661428,-1.6488961134197133,0.0,-0.6740000000000004,0.025103886580287,2.220446049250313e-16
3Q25,-0.9166684488836807,0.17827378953725154,1.2616053406535706,2.0,t2_reported_usd_yoy,midpoint,3.4251053406535705,4.674896113419713,-1.2497907727661426,-1.5113961134197131,0.0,-0.5365000000000002,0.025103886580287,2.220446049250313e-16
4Q25,-0.8765219919224863,0.17827378953725154,2.3017517976147643,3.0,t1_exfx_integer_fair,none,2.0,3.0,-1.0,-1.0,-0.30175179761476434,,,8.881784197001252e-16
4Q25,-0.8765219919224863,0.17827378953725154,2.3017517976147643,3.0,t2_reported_usd_yoy,eur,5.850751797614764,5.931828242585202,-0.08107644497043776,-0.38282824258520254,0.0,0.649,-0.0318282425852016,1.4016565685892601e-15
4Q25,-0.8765219919224863,0.17827378953725154,2.3017517976147643,3.0,t2_reported_usd_yoy,baskets,5.665751797614764,5.931828242585202,-0.26607644497043825,-0.5678282425852021,0.0,0.46399999999999997,-0.0318282425852016,1.8318679906315083e-15
4Q25,-0.8765219919224863,0.17827378953725154,2.3017517976147643,3.0,t2_reported_usd_yoy,midpoint,5.758251797614765,5.931828242585202,-0.17357644497043712,-0.4753282425852019,0.0,0.5565000000000002,-0.0318282425852016,9.43689570931383e-16
1Q26,-0.6817757685613284,0.2977129093714616,3.615937140810133,4.0,t1_exfx_integer_fair,none,4.0,4.0,0.0,-1.0,0.38406285918986693,,,1.6653345369377348e-16
1Q26,-0.6817757685613284,0.2977129093714616,3.615937140810133,4.0,t2_reported_usd_yoy,eur,8.061937140810134,9.0346679117544,-0.972730770944267,-1.588667911754401,0.0,-0.5540000000000003,-0.0346679117544006,-6.661338147750939e-16
1Q26,-0.6817757685613284,0.2977129093714616,3.615937140810133,4.0,t2_reported_usd_yoy,baskets,8.675937140810133,9.0346679117544,-0.358730770944268,-0.9746679117544019,0.0,0.05999999999999961,-0.0346679117544006,2.220446049250313e-16
1Q26,-0.6817757685613284,0.2977129093714616,3.615937140810133,4.0,t2_reported_usd_yoy,midpoint,8.368937140810132,9.0346679117544,-0.6657307709442684,-1.2816679117544005,0.0,-0.2469999999999999,-0.0346679117544006,1.1102230246251565e-15
2Q26,-0.4687374258036412,0.2977129093714616,3.8289754835678207,4.0,t1_exfx_integer_fair,none,4.0,4.0,0.0,0.0,0.1710245164321793,,,-2.7755575615628914e-16
2Q26,-0.4687374258036412,0.2977129093714616,3.8289754835678207,4.0,t2_reported_usd_yoy,eur,4.4149754835678205,5.30146721687299,-0.8864917333051698,-0.7154672168729901,0.0,-0.7140000000000001,-0.0014672168729905,-3.3306690738754696e-16
2Q26,-0.4687374258036412,0.2977129093714616,3.8289754835678207,4.0,t2_reported_usd_yoy,baskets,5.524975483567821,5.30146721687299,0.22350826669483048,0.39453278312700935,0.0,0.3959999999999999,-0.0014672168729905,-6.661338147750939e-16
2Q26,-0.4687374258036412,0.2977129093714616,3.8289754835678207,4.0,t2_reported_usd_yoy,midpoint,4.96997548356782,5.30146721687299,-0.3314917333051701,-0.16046721687299037,0.0,-0.15900000000000003,-0.0014672168729905,0.0
