model,window,scoring,fx_estimator,ratio_vs_naive,jackknife_ratio_min,jackknife_ratio_max,jackknife_below_1,strict_criterion_met
v2_measured_ar1_residual,2Q24-2Q26,t2_reported_usd_yoy,eur,1.0514848159701071,0.8987413768620459,1.1835258279100156,2,False
v2_measured_ar1_residual,2Q24-2Q26,t2_reported_usd_yoy,baskets,0.9065289593236351,0.8095639005875457,1.0287648906601017,8,False
v2_measured_ar1_residual,2Q24-2Q26,t2_reported_usd_yoy,midpoint,0.9881314803996276,0.8824392939949111,1.131401991194961,6,False
ar1_expanding,1Q24-2Q26,J3 record (unrounded model vs integer ex-FX),none,1.259931084534567,1.1507137911011145,1.3439647330256503,0,False
ar1_expanding,1Q24-2Q26,t1_exfx_integer_fair,none,1.3926212476455828,1.2865350418053538,1.4855627054164149,0,False
ar1_expanding,1Q24-2Q26,t2_reported_usd_yoy,eur,2.2371844719073124,1.8747270149312778,2.7369512454323237,0,False
ar1_expanding,1Q24-2Q26,t2_reported_usd_yoy,baskets,2.827562322728654,2.347269358047869,3.209643870623496,0,False
ar1_expanding,1Q24-2Q26,t2_reported_usd_yoy,midpoint,2.5710284775048233,2.1182753398701624,3.0329361611931285,0,False
ar1_expanding,2Q24-2Q26,J3 record (unrounded model vs integer ex-FX),none,1.2961254304040664,1.1474677042823214,1.4197625313837643,0,False
ar1_expanding,2Q24-2Q26,t1_exfx_integer_fair,none,1.414213562373095,1.2649110640673518,1.5491933384829666,0,False
ar1_expanding,2Q24-2Q26,t2_reported_usd_yoy,eur,2.7369512454323237,2.3148277722897843,3.0789141983958075,0,False
ar1_expanding,2Q24-2Q26,t2_reported_usd_yoy,baskets,3.146517176556679,2.6175115591916334,3.7716805834469698,0,False
ar1_expanding,2Q24-2Q26,t2_reported_usd_yoy,midpoint,3.0329361611931285,2.49997168748952,3.497062951965518,0,False
