model,target,window,fx_estimator,fx_estimator_source,n,rmse_pp,bias_pp,mae_pp,rmse_naive_pp,rmse_prior_year_pp,rmse_ar1_pp,ratio_vs_naive,ratio_vs_prior_year,ratio_vs_ar1,sign_accuracy_vs_naive,jackknife_ratio_min,jackknife_ratio_max,jackknife_below_1,jackknife_n,knowable_before_print,scoring,residual_rule,mix_variant,v3_pre_registered_rule,v2_pre_registered_rule
ar1_expanding,t2_reported_usd_yoy,1Q24-2Q26,eur,est_from_eur,10,2.6820387327036515,-0.22280403628590414,2.2622402758012052,1.19884558755992,4.0710384766601555,2.6820387327036515,2.2371844719073124,0.6588094777487764,1.0,0.4,1.8747270149312778,2.7369512454323237,0,10,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,False,False
ar1_expanding,t2_reported_usd_yoy,2Q24-2Q26,eur,est_from_eur,9,2.8270416667211404,-0.25444208784271233,2.5067182589207424,1.0329163412900277,4.214249424169417,2.8270416667211404,2.7369512454323237,0.6708292229946309,1.0,0.3333333333333333,2.3148277722897843,3.0789141983958075,0,9,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,False,False
naive_last_q,t2_reported_usd_yoy,1Q24-2Q26,baskets,est_from_regional_baskets,10,0.9485339053872491,-0.35629840015817804,0.8232277601401432,0.9485339053872491,4.0710384766601555,2.6820387327036515,1.0,0.23299556386541895,0.3536615239076252,0.0,1.0,1.0,0,10,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,False,False
naive_last_q,t2_reported_usd_yoy,2Q24-2Q26,baskets,est_from_regional_baskets,9,0.8984669423654158,-0.2496596511484637,0.7684700511284249,0.8984669423654158,4.214249424169417,2.8270416667211404,1.0,0.21319738153431533,0.31781170859341307,0.0,1.0,1.0,0,9,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,False,False
prior_year_q,t2_reported_usd_yoy,1Q24-2Q26,baskets,est_from_regional_baskets,10,4.0710384766601555,-1.7619281509458413,3.154367843589396,0.9485339053872491,4.0710384766601555,2.6820387327036515,4.29192720844081,1.0,1.5178895170377764,0.2,2.890169453852483,4.968902507429839,0,10,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,False,False
prior_year_q,t2_reported_usd_yoy,2Q24-2Q26,baskets,est_from_regional_baskets,9,4.214249424169417,-1.6879367593301267,3.2350919733785206,0.8984669423654158,4.214249424169417,2.8270416667211404,4.69048912703951,1.0,1.490692363603253,0.2222222222222222,3.1161806090253803,5.727077844008722,0,9,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,False,False
ar1_expanding,t2_reported_usd_yoy,1Q24-2Q26,baskets,est_from_regional_baskets,10,2.6820387327036515,-0.22280403628590414,2.2622402758012052,0.9485339053872491,4.0710384766601555,2.6820387327036515,2.827562322728654,0.6588094777487764,1.0,0.3,2.347269358047869,3.209643870623496,0,10,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,False,False
ar1_expanding,t2_reported_usd_yoy,2Q24-2Q26,baskets,est_from_regional_baskets,9,2.8270416667211404,-0.25444208784271233,2.5067182589207424,0.8984669423654158,4.214249424169417,2.8270416667211404,3.146517176556679,0.6708292229946309,1.0,0.2222222222222222,2.6175115591916334,3.7716805834469698,0,9,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,False,False
naive_last_q,t2_reported_usd_yoy,1Q24-2Q26,midpoint,mean of eur and baskets,10,1.043177372856859,-0.42504840015817774,0.876971203514741,1.043177372856859,4.0710384766601555,2.6820387327036515,1.0,0.25624355525931375,0.3889494063366025,0.0,1.0,1.0,0,10,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,False,False
naive_last_q,t2_reported_usd_yoy,2Q24-2Q26,midpoint,mean of eur and baskets,9,0.932113805392135,-0.2778263178151301,0.7799627659890893,0.932113805392135,4.214249424169417,2.8270416667211404,1.0,0.22118145168302292,0.32971350099456415,0.0,1.0,1.0,0,9,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,False,False
prior_year_q,t2_reported_usd_yoy,1Q24-2Q26,midpoint,mean of eur and baskets,10,4.0710384766601555,-1.7619281509458413,3.154367843589396,1.043177372856859,4.0710384766601555,2.6820387327036515,3.902537174010166,1.0,1.5178895170377764,0.1,2.697247097191989,4.521174774786761,0,10,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,False,False
prior_year_q,t2_reported_usd_yoy,2Q24-2Q26,midpoint,mean of eur and baskets,9,4.214249424169417,-1.6879367593301267,3.2350919733785206,0.932113805392135,4.214249424169417,2.8270416667211404,4.521174774786761,1.0,1.490692363603253,0.1111111111111111,3.1508870222432828,5.199264233044869,0,9,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,False,False
ar1_expanding,t2_reported_usd_yoy,1Q24-2Q26,midpoint,mean of eur and baskets,10,2.6820387327036515,-0.22280403628590414,2.2622402758012052,1.043177372856859,4.0710384766601555,2.6820387327036515,2.5710284775048233,0.6588094777487764,1.0,0.4,2.1182753398701624,3.0329361611931285,0,10,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,False,False
ar1_expanding,t2_reported_usd_yoy,2Q24-2Q26,midpoint,mean of eur and baskets,9,2.8270416667211404,-0.25444208784271233,2.5067182589207424,0.932113805392135,4.214249424169417,2.8270416667211404,3.0329361611931285,0.6708292229946309,1.0,0.3333333333333333,2.49997168748952,3.497062951965518,0,9,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,False,False
v2_measured_last_q,t1_exfx_integer_fair,1Q24-2Q26,none,none,10,0.8944271909999159,-0.2,0.8,0.9082951062292475,1.746424919657298,1.2649110640673518,0.9847319278346619,0.5121475197315839,0.7071067811865475,0.2857142857142857,0.9211323729436766,1.0801234497346435,8,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,last_q,"measured (realised quarter-t terms, upper bound on I)",True,False
v2_measured_last_q,t1_exfx_integer_fair,2Q24-2Q26,none,none,9,0.8819171036881969,-0.1111111111111111,0.7777777777777778,0.816496580927726,1.8104634152000358,1.1547005383792515,1.0801234497346435,0.48712230044745475,0.7637626158259734,0.16666666666666666,1.0,1.1832159566199232,0,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,last_q,"measured (realised quarter-t terms, upper bound on I)",True,False
v2_measured_last_q,t2_reported_usd_yoy,1Q24-2Q26,eur,est_from_eur,10,1.0985575506035294,-0.39164073306062297,0.9468396338654579,1.19884558755992,4.0710384766601555,2.6820387327036515,0.9163461600083855,0.26984700756372526,0.4095979439849921,0.8,0.8711227851703462,0.9688631182720406,10,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,last_q,"measured (realised quarter-t terms, upper bound on I)",True,False
v2_measured_last_q,t2_reported_usd_yoy,2Q24-2Q26,eur,est_from_eur,9,0.9351702750398454,-0.20751695599387182,0.8244046235547992,1.0329163412900277,4.214249424169417,2.8270416667211404,0.9053688451398634,0.22190672191268257,0.3307946557874666,0.7777777777777778,0.8256152996553161,0.9890838423327626,9,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,last_q,"measured (realised quarter-t terms, upper bound on I)",True,False
v2_measured_last_q,t2_reported_usd_yoy,1Q24-2Q26,baskets,est_from_regional_baskets,10,0.8312997662083166,-0.25414073306062324,0.6496037880455876,0.9485339053872491,4.0710384766601555,2.6820387327036515,0.8764049039121374,0.20419845476142678,0.30995069387768237,0.9,0.7856711026392679,0.9180234624270853,10,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,last_q,"measured (realised quarter-t terms, upper bound on I)",True,False
v2_measured_last_q,t2_reported_usd_yoy,2Q24-2Q26,baskets,est_from_regional_baskets,9,0.7829013907288721,-0.15118362266053872,0.590587017088277,0.8984669423654158,4.214249424169417,2.8270416667211404,0.8713747315707672,0.18577481110605445,0.2769330922656322,0.8888888888888888,0.7459454629941498,0.9236529428212884,9,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,last_q,"measured (realised quarter-t terms, upper bound on I)",True,False
v2_measured_last_q,t2_reported_usd_yoy,1Q24-2Q26,midpoint,mean of eur and baskets,10,0.9320350699641158,-0.32289073306062316,0.7653896338654577,1.043177372856859,4.0710384766601555,2.6820387327036515,0.8934579048734853,0.2289428300193196,0.3475099216872868,0.8,0.8249446414398767,0.9445747684183187,10,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,last_q,"measured (realised quarter-t terms, upper bound on I)",True,False
v2_measured_last_q,t2_reported_usd_yoy,2Q24-2Q26,midpoint,mean of eur and baskets,9,0.8218854265349521,-0.17935028932720531,0.6710157346659105,0.932113805392135,4.214249424169417,2.8270416667211404,0.8817436473748929,0.19502533993866225,0.2907227849556923,0.7777777777777778,0.768315026214756,0.9552389440855495,9,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,last_q,"measured (realised quarter-t terms, upper bound on I)",True,False
v2_measured_persistence,t1_exfx_integer_fair,1Q24-2Q26,none,none,10,1.0488088481701516,-0.5,0.9,0.9082951062292475,1.746424919657298,1.2649110640673518,1.1547005383792517,0.6005461994758755,0.82915619758885,0.2857142857142857,0.982607368881035,1.2909944487358056,1,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,persistence,"measured (realised quarter-t terms, upper bound on I)",False,True
v2_measured_persistence,t1_exfx_integer_fair,2Q24-2Q26,none,none,9,1.0540925533894598,-0.4444444444444444,0.8888888888888888,0.816496580927726,1.8104634152000358,1.1547005383792515,1.2909944487358056,0.582222509739582,0.912870929175277,0.16666666666666666,1.0954451150103321,1.414213562373095,0,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,persistence,"measured (realised quarter-t terms, upper bound on I)",False,True
v2_measured_persistence,t2_reported_usd_yoy,1Q24-2Q26,eur,est_from_eur,10,1.1780818393084824,-0.5604104899170911,1.0234080274825454,1.19884558755992,4.0710384766601555,2.6820387327036515,0.9826802146440734,0.2893811606209555,0.43924863013477333,0.7,0.9022370374243972,1.021768699869946,5,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,persistence,"measured (realised quarter-t terms, upper bound on I)",False,True
v2_measured_persistence,t2_reported_usd_yoy,2Q24-2Q26,eur,est_from_eur,9,1.0554015871143332,-0.4045517417556646,0.918993450161725,1.0329163412900277,4.214249424169417,2.8270416667211404,1.021768699869946,0.25043643147019984,0.3733236759606763,0.6666666666666666,0.9042062140013063,1.0874808219463599,3,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,persistence,"measured (realised quarter-t terms, upper bound on I)",False,True
v2_measured_persistence,t2_reported_usd_yoy,1Q24-2Q26,baskets,est_from_regional_baskets,10,0.8458300627380255,-0.42291048991709107,0.6874263677116127,0.9485339053872491,4.0710384766601555,2.6820387327036515,0.8917235935732907,0.20776764149670654,0.3153683250075138,0.8,0.7840512066103551,0.949070677077309,10,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,persistence,"measured (realised quarter-t terms, upper bound on I)",False,True
v2_measured_persistence,t2_reported_usd_yoy,2Q24-2Q26,baskets,est_from_regional_baskets,9,0.8134258848810607,-0.34821840842233126,0.6421249393051331,0.8984669423654158,4.214249424169417,2.8270416667211404,0.9053487073653869,0.1930179737857776,0.2877304195606315,0.7777777777777778,0.7710428395188791,0.9899896507100449,9,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,persistence,"measured (realised quarter-t terms, upper bound on I)",False,True
v2_measured_persistence,t2_reported_usd_yoy,1Q24-2Q26,midpoint,mean of eur and baskets,10,0.9855952681349148,-0.491660489917091,0.8374580274825455,1.043177372856859,4.0710384766601555,2.6820387327036515,0.9448012330211409,0.2420992269627205,0.3674798786896628,0.7,0.8458091506971971,0.9961966716586511,10,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,persistence,"measured (realised quarter-t terms, upper bound on I)",False,True
v2_measured_persistence,t2_reported_usd_yoy,2Q24-2Q26,midpoint,mean of eur and baskets,9,0.9052754989658585,-0.3763850750889979,0.760604561272836,0.932113805392135,4.214249424169417,2.8270416667211404,0.9712070497496968,0.2148129851484238,0.3202200765635744,0.6666666666666666,0.8329883558425417,1.0578648435076163,6,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,persistence,"measured (realised quarter-t terms, upper bound on I)",False,True
v2_measured_trailing_4q,t1_exfx_integer_fair,1Q24-2Q26,none,none,10,1.0,-0.4,0.8,0.9082951062292475,1.746424919657298,1.2649110640673518,1.1009637651263606,0.5725983343138682,0.7905694150420948,0.42857142857142855,0.909717652294684,1.2909944487358056,1,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,trailing_4q,"measured (realised quarter-t terms, upper bound on I)",False,False
v2_measured_trailing_4q,t1_exfx_integer_fair,2Q24-2Q26,none,none,9,1.0540925533894598,-0.4444444444444444,0.8888888888888888,0.816496580927726,1.8104634152000358,1.1547005383792515,1.2909944487358056,0.582222509739582,0.912870929175277,0.3333333333333333,1.0954451150103321,1.414213562373095,0,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,trailing_4q,"measured (realised quarter-t terms, upper bound on I)",False,False
v2_measured_trailing_4q,t2_reported_usd_yoy,1Q24-2Q26,eur,est_from_eur,10,1.1883173873515145,-0.6897773125546999,0.9983810880914123,1.19884558755992,4.0710384766601555,2.6820387327036515,0.9912180515008324,0.2918953957729232,0.44306496131531303,0.6,0.843249368391106,1.1744769866166413,6,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,trailing_4q,"measured (realised quarter-t terms, upper bound on I)",False,False
v2_measured_trailing_4q,t2_reported_usd_yoy,2Q24-2Q26,eur,est_from_eur,9,1.213136471945398,-0.6624438571571383,1.0053369410868187,1.0329163412900277,4.214249424169417,2.8270416667211404,1.1744769866166413,0.28786537051837985,0.42911870957756987,0.5555555555555556,0.9939137418534276,1.3271701127828317,1,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,trailing_4q,"measured (realised quarter-t terms, upper bound on I)",False,False
v2_measured_trailing_4q,t2_reported_usd_yoy,1Q24-2Q26,baskets,est_from_regional_baskets,10,0.8042688737585146,-0.5522773125546999,0.6390635724302236,0.9485339053872491,4.0710384766601555,2.6820387327036515,0.8479073538548558,0.19755865201704745,0.2998722068967903,0.7,0.7501192535674779,0.9534537625802486,10,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,trailing_4q,"measured (realised quarter-t terms, upper bound on I)",False,False
v2_measured_trailing_4q,t2_reported_usd_yoy,2Q24-2Q26,baskets,est_from_regional_baskets,9,0.8474727330882238,-0.606110523823805,0.7025397014632757,0.8984669423654158,4.214249424169417,2.8270416667211404,0.9432430878948775,0.20109695648952994,0.2997736973827979,0.6666666666666666,0.8430513790066493,1.0967777255567805,7,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,trailing_4q,"measured (realised quarter-t terms, upper bound on I)",False,False
v2_measured_trailing_4q,t2_reported_usd_yoy,1Q24-2Q26,midpoint,mean of eur and baskets,10,0.9742785495890582,-0.6210273125546998,0.8169310880914121,1.043177372856859,4.0710384766601555,2.6820387327036515,0.9339529162915856,0.23931941571536014,0.36326043233795086,0.6,0.8150117299174773,1.0870645076639935,7,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,trailing_4q,"measured (realised quarter-t terms, upper bound on I)",False,False
v2_measured_trailing_4q,t2_reported_usd_yoy,2Q24-2Q26,midpoint,mean of eur and baskets,9,1.0132678349454127,-0.6342771904904715,0.8519480521979297,0.932113805392135,4.214249424169417,2.8270416667211404,1.0870645076639935,0.2404385058782127,0.35841984462882753,0.5555555555555556,0.9449666532383744,1.258807485604698,1,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,trailing_4q,"measured (realised quarter-t terms, upper bound on I)",False,False
v2_measured_trailing_8q,t1_exfx_integer_fair,1Q24-2Q26,none,none,10,0.9486832980505138,-0.7,0.7,0.9082951062292475,1.746424919657298,1.2649110640673518,1.044465935734187,0.5432144762551112,0.75,0.42857142857142855,0.778498944161523,1.224744871391589,2,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,trailing_8q,"measured (realised quarter-t terms, upper bound on I)",False,False
v2_measured_trailing_8q,t1_exfx_integer_fair,2Q24-2Q26,none,none,9,1.0,-0.7777777777777778,0.7777777777777778,0.816496580927726,1.8104634152000358,1.1547005383792515,1.224744871391589,0.552344770738994,0.8660254037844387,0.3333333333333333,0.912870929175277,1.3416407864998736,1,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,trailing_8q,"measured (realised quarter-t terms, upper bound on I)",False,False
v2_measured_trailing_8q,t2_reported_usd_yoy,1Q24-2Q26,eur,est_from_eur,10,1.2092696491833785,-0.756679052547122,0.9842133846943513,1.19884558755992,4.0710384766601555,2.6820387327036515,1.0086950827793222,0.29704205846156795,0.4508770266581364,0.6,0.8044998601809773,1.1965416608015416,4,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,trailing_8q,"measured (realised quarter-t terms, upper bound on I)",False,False
v2_measured_trailing_8q,t2_reported_usd_yoy,2Q24-2Q26,eur,est_from_eur,9,1.2359274344762217,-0.7367791238153851,0.9895950484234175,1.0329163412900277,4.214249424169417,2.8270416667211404,1.1965416608015416,0.2932734420957558,0.437180480579784,0.5555555555555556,0.9436687705602534,1.3350715146225225,1,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,trailing_8q,"measured (realised quarter-t terms, upper bound on I)",False,False
v2_measured_trailing_8q,t2_reported_usd_yoy,1Q24-2Q26,baskets,est_from_regional_baskets,10,0.8647021599384231,-0.619179052547122,0.7338749319889437,0.9485339053872491,4.0710384766601555,2.6820387327036515,0.9116196638067452,0.21240333759945626,0.32240479952605045,0.7,0.8148434381234686,1.0141675973012074,8,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,trailing_8q,"measured (realised quarter-t terms, upper bound on I)",False,False
v2_measured_trailing_8q,t2_reported_usd_yoy,2Q24-2Q26,baskets,est_from_regional_baskets,9,0.9111960601932961,-0.6804457904820517,0.8078856565285204,0.8984669423654158,4.214249424169417,2.8270416667211404,1.0141675973012074,0.21621787618156538,0.3223143368983732,0.6666666666666666,0.9083369050720368,1.1563348462930072,4,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,trailing_8q,"measured (realised quarter-t terms, upper bound on I)",False,False
v2_measured_trailing_8q,t2_reported_usd_yoy,1Q24-2Q26,midpoint,mean of eur and baskets,10,1.0123076755211988,-0.687929052547122,0.8175915700805746,1.043177372856859,4.0710384766601555,2.6820387327036515,0.9704080071722415,0.24866079780992079,0.37743961829392886,0.6,0.798730930076802,1.130629904186244,7,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,trailing_8q,"measured (realised quarter-t terms, upper bound on I)",False,False
v2_measured_trailing_8q,t2_reported_usd_yoy,2Q24-2Q26,midpoint,mean of eur and baskets,9,1.0538757424811849,-0.7086124571487183,0.8526819210747767,0.932113805392135,4.214249424169417,2.8270416667211404,1.130629904186244,0.2500743635241506,0.3727839440383951,0.5555555555555556,0.9253997140303031,1.2884030445765267,1,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,trailing_8q,"measured (realised quarter-t terms, upper bound on I)",False,False
v2_measured_ar1_residual,t1_exfx_integer_fair,1Q24-2Q26,none,none,8,0.7905694150420949,-0.625,0.625,0.7905694150420949,1.8874586088176875,1.0,1.0,0.4188539082916955,0.7905694150420949,0.4,0.8944271909999159,1.118033988749895,2,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,ar1_residual,"measured (realised quarter-t terms, upper bound on I)",False,False
v2_measured_ar1_residual,t1_exfx_integer_fair,2Q24-2Q26,none,none,8,0.7905694150420949,-0.625,0.625,0.7905694150420949,1.8874586088176875,1.0,1.0,0.4188539082916955,0.7905694150420949,0.4,0.8944271909999159,1.118033988749895,2,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,ar1_residual,"measured (realised quarter-t terms, upper bound on I)",False,False
