Date,ABNB,BKNG,DASH,EXPE,H,HLT,IVE,IVW,IWM,JETS,MAR,MTUM,QQQ,SPY,TRIP,UBER,UUP,XLY,^TNX,^VIX
2020-12-31,146.8,87.2377,142.75,130.5896,73.1586,109.7295,115.4187,61.5915,183.6081,22.0505,126.4713,152.1852,303.7449,347.1632,28.78,51.0,20.8973,76.9106,0.917,22.75
2021-01-04,139.15,84.7627,139.19,129.5737,69.9563,105.9818,113.8861,60.6747,181.2107,21.2721,119.6166,151.034,299.4561,342.4369,28.31,51.14,20.9146,76.26,0.917,26.97
2021-01-05,148.3,85.7023,144.43,135.2648,70.4983,106.465,114.6885,61.1089,184.0108,21.6268,120.8821,152.4021,301.9248,344.7954,29.82,54.01,20.7939,76.8292,0.955,25.34
2021-01-06,142.77,88.1205,140.01,141.4589,72.9122,109.2462,117.312,60.5009,191.5402,21.9519,124.0457,151.2228,297.7425,346.8568,31.39,52.48,20.768,77.6138,1.042,25.07
2021-01-07,151.27,87.7304,152.77,140.3443,73.4443,111.7316,118.2316,61.8617,194.949,22.0209,124.9661,155.9027,304.9453,352.0102,31.97,56.13,20.8887,79.111,1.071,22.37
2021-01-08,149.77,89.3633,156.09,142.0507,73.2374,112.5896,118.3038,62.489,194.5276,21.8731,124.3334,158.4786,308.8663,354.0159,35.65,53.28,20.9232,80.7422,1.105,21.56
2021-01-11,148.13,87.0027,167.0,141.0052,72.2225,111.6231,118.3488,61.6783,194.359,21.5578,123.3459,156.5349,304.4033,351.6295,35.76,54.59,21.0525,79.2354,1.132,24.08
2021-01-12,160.8,86.0262,191.99,139.0227,72.5378,110.7848,118.8267,61.4564,197.8428,21.9717,122.1284,157.4596,303.9192,351.7038,34.6,58.54,20.9404,80.4456,1.138,23.33
2021-01-13,169.99,85.481,198.0,138.6873,71.0106,110.3311,118.7635,61.7652,196.4287,21.9914,121.2847,158.0069,305.9716,352.6508,34.2,59.4,21.0094,80.4408,1.088,22.21
2021-01-14,180.5,85.4876,207.24,142.1986,71.6412,110.5678,119.1692,61.1958,200.3526,22.7205,123.6047,157.0822,304.3354,351.416,34.74,56.91,20.9663,79.929,1.129,23.25
2021-01-15,169.27,83.006,187.15,138.7663,69.8972,106.9187,118.0783,60.8387,197.3651,21.9519,121.5627,155.3555,301.9248,348.8531,33.43,55.52,21.1042,79.3119,1.097,24.34
2021-01-19,173.69,84.7219,198.75,140.8671,70.2913,106.4453,118.4841,61.5915,199.8936,22.1293,121.6203,157.1199,306.3298,351.5924,33.53,56.3,21.0439,79.7616,1.092,23.24
2021-01-20,161.83,84.6048,189.46,139.8117,70.8136,106.2185,118.9889,62.9522,200.774,22.4643,121.4956,160.2903,313.4554,356.4579,33.67,56.38,21.0353,81.2684,1.09,21.58
2021-01-21,180.4,82.6421,190.89,136.981,71.454,107.3231,118.3578,63.3479,199.0321,22.0505,121.3902,160.9413,315.9628,356.7829,33.63,55.79,20.9404,81.6463,1.109,21.32
2021-01-22,181.87,80.9305,192.0,134.6533,70.0056,103.5162,117.4563,63.3383,201.3452,21.9224,117.8238,160.9979,315.0528,355.5201,33.19,54.31,20.9835,81.3689,1.091,21.91
2021-01-25,177.53,79.0578,191.81,134.1305,69.5327,103.674,117.3932,63.8401,201.1485,21.3805,114.6793,161.498,317.6571,356.9221,33.06,54.29,21.0094,81.6702,1.04,23.19
2021-01-26,192.74,77.6764,198.22,129.7019,69.3159,103.2301,116.9334,63.8787,199.7532,21.4199,115.4654,159.7618,318.1218,356.3651,32.7,51.92,20.9491,81.6176,1.04,23.02
2021-01-27,201.25,73.8744,193.07,121.5253,64.9806,97.3127,114.2738,62.2188,196.0915,21.0652,112.6181,154.327,309.2536,347.6554,33.94,48.11,21.0784,79.1014,1.014,37.21
2021-01-28,187.37,79.6716,183.8,125.007,67.4635,102.5694,115.6532,62.5373,195.4641,21.745,115.7243,156.8841,311.0834,350.6452,33.27,51.58,21.0266,79.3502,1.057,30.21
2021-01-29,183.63,76.1555,193.27,122.4031,64.6948,99.9953,113.5796,61.2923,192.5047,21.0652,111.506,154.6101,304.5388,343.6255,30.97,50.93,21.0525,77.4989,1.093,33.09
2021-02-01,180.44,77.9623,191.17,125.5593,65.956,100.518,114.5622,62.6434,197.234,21.2031,112.8865,158.422,312.1483,349.3452,32.81,52.76,21.156,79.5129,1.077,30.24
2021-02-02,179.17,80.9026,182.53,134.2686,68.4193,104.3347,116.2031,63.512,200.0435,21.5086,117.0569,161.649,317.2408,354.285,33.69,56.46,21.1818,81.2015,1.105,25.56
2021-02-03,185.72,79.4053,180.58,136.5865,69.6411,105.1336,116.6809,63.4155,200.6429,22.0505,118.2552,161.1772,315.9822,354.5637,34.46,57.12,21.1732,80.747,1.131,22.91
2021-02-04,195.8,81.5846,189.33,139.9696,70.9416,108.9997,118.2226,64.0042,204.7353,22.553,120.2685,162.9888,319.7193,358.5936,35.38,57.85,21.268,81.6081,1.139,21.77
2021-02-05,195.31,82.1126,181.23,139.4665,72.8531,110.1338,118.7996,64.2262,207.5728,22.7106,124.132,164.2815,320.8035,360.0049,35.9,58.58,21.1473,82.3878,1.17,20.87
2021-02-08,200.43,82.2355,177.43,143.4316,72.6856,110.7749,120.0438,64.535,212.8734,23.351,123.7582,165.876,322.9529,362.6048,36.28,59.29,21.1387,82.8566,1.16,21.24
2021-02-09,199.88,81.6762,187.75,142.5044,72.0944,108.832,119.9717,64.4481,213.8754,23.1441,121.8024,165.7817,322.885,362.3634,36.44,59.61,21.0266,82.3973,1.157,21.63
2021-02-10,211.66,83.8884,215.16,146.864,72.5083,107.8359,120.1159,64.313,212.4707,23.2032,121.5148,165.2156,322.1493,362.2054,36.59,63.18,21.018,81.5841,1.133,21.99
2021-02-11,216.84,84.5739,213.26,147.8602,72.9122,107.9937,120.0348,64.5832,212.2272,23.0752,121.4189,166.7536,323.921,362.7906,36.98,60.71,21.0094,81.3593,1.158,21.25
2021-02-12,212.68,84.2339,202.97,144.5066,75.2671,110.5974,120.6028,64.9017,212.8265,23.2131,124.132,167.9896,325.7315,364.5827,37.38,60.63,21.0266,81.4741,1.2,19.97
2021-02-16,209.86,85.5492,212.17,145.8185,77.5234,112.0472,120.8552,64.6894,211.4874,23.6368,125.0141,167.5556,324.8505,364.267,37.29,60.52,21.0266,81.1201,1.299,21.46
2021-02-17,201.96,87.4923,197.87,151.9337,77.287,109.8972,121.2338,64.5253,209.8298,24.0013,125.9152,166.1308,323.2916,364.3505,38.05,60.81,21.1128,81.5889,1.301,21.5
2021-02-18,198.04,88.5114,200.06,154.5869,77.4052,112.5502,120.738,64.2358,206.5802,23.755,126.5288,164.9608,321.8782,362.7999,38.44,59.0,21.0439,81.6128,1.287,22.49
2021-02-19,201.07,89.8142,205.97,156.747,81.0508,115.3018,121.1166,63.8208,210.888,24.4545,130.6512,164.7532,320.4744,362.1591,39.92,58.39,20.9922,81.1393,1.345,22.05
2021-02-22,195.34,92.0456,178.07,158.4138,82.4007,118.3098,121.91,62.5855,209.5208,25.3019,136.6718,158.8749,312.1678,359.3735,44.71,55.31,20.9318,79.4267,1.37,23.45
2021-02-23,187.59,92.4118,173.5,157.5064,85.1497,120.2724,122.3788,62.4794,207.6759,26.031,143.3731,157.4974,311.2383,359.81,46.05,56.0,20.9491,78.9053,1.362,23.11
2021-02-24,200.2,95.707,176.32,160.5542,89.8101,125.5094,124.191,62.9522,212.5831,26.6222,150.9947,158.5824,313.8039,363.7748,49.56,53.91,20.9146,79.7329,1.389,21.34
2021-02-25,182.06,89.0367,166.87,155.0307,85.8394,121.2883,121.8739,61.1186,204.7259,25.6861,143.8908,152.4777,302.8639,355.0095,43.54,51.45,20.9835,76.7671,1.518,28.89
2021-02-26,206.35,91.2031,169.49,158.7985,86.6572,121.9787,120.2782,61.2344,204.445,25.7256,141.9542,153.7043,304.1322,353.1801,49.62,51.75,21.1387,77.0875,1.46,27.95
2021-03-01,196.42,90.8893,168.89,159.0352,86.8345,122.0576,122.8837,62.8461,211.7122,25.8536,142.3377,158.422,313.281,361.7413,49.35,54.4,21.156,78.8958,1.446,23.35
2021-03-02,189.9,89.3896,160.59,158.0785,86.6867,122.5408,122.5772,62.0933,207.6384,25.8438,142.7979,155.5536,308.2564,358.9185,52.64,54.65,21.0784,77.9869,1.415,24.1
2021-03-03,180.4,89.1072,148.25,161.1953,86.7853,121.4362,122.5592,60.5299,205.3908,26.1591,140.2669,149.2979,299.3108,354.1644,53.42,56.11,21.1387,76.1548,1.47,26.67
2021-03-04,180.23,86.9275,150.0,156.244,83.5929,119.0593,121.306,59.5938,199.6501,25.4201,138.7905,145.184,294.4121,349.7817,51.69,53.07,21.2766,74.5427,1.55,28.57
2021-03-05,179.81,90.3645,151.48,164.174,84.9822,121.1798,123.8755,60.5685,203.8831,25.3314,140.8517,146.505,298.8461,356.2165,51.5,55.54,21.3542,75.0163,1.554,24.66
2021-03-08,180.81,92.7788,133.41,165.6042,86.1744,123.6849,125.327,59.2849,204.8477,26.2477,144.2263,141.5325,290.3845,354.443,47.62,53.2,21.4749,75.1072,1.596,25.47
2021-03-09,183.11,92.7024,141.48,163.5033,84.5585,122.4126,125.0024,61.1089,209.1555,26.1788,140.9284,148.6091,301.8377,359.5035,50.35,55.25,21.3542,77.9438,1.546,24.03
2021-03-10,183.79,92.8015,135.77,165.2885,83.6028,122.7972,126.6703,61.0993,212.7891,26.2379,141.0626,148.2977,300.9761,361.7413,51.8,57.68,21.3198,78.3409,1.52,22.56
2021-03-11,197.87,92.5171,144.97,168.7407,84.9822,122.9452,126.7334,62.2574,217.4716,26.563,142.6828,153.2608,307.9079,365.409,55.31,58.95,21.2163,79.5415,1.527,21.91
2021-03-12,206.74,94.0439,142.03,172.2027,85.13,124.3653,127.9054,61.9196,218.7546,27.2724,143.9962,151.8738,305.4102,365.9012,59.79,60.35,21.2853,79.7759,1.635,20.69
2021-03-15,209.99,95.5503,140.69,174.6784,87.7509,125.5094,128.3833,62.4311,219.5318,28.2873,147.2174,153.5816,308.6728,368.0833,60.85,60.19,21.3284,80.8475,1.607,20.03
2021-03-16,200.01,93.8684,133.66,173.9682,84.9822,122.2548,127.5268,62.6531,215.8608,27.5483,144.4085,152.9683,310.3669,367.619,58.62,58.85,21.3284,80.0104,1.621,19.79
2021-03-17,201.36,96.423,133.8,182.7367,88.2337,125.391,128.1128,62.7496,217.5559,28.1395,149.5087,153.4212,311.645,368.8725,61.03,56.36,21.2249,81.1345,1.641,19.23
2021-03-18,191.45,91.9253,130.62,178.3278,85.8098,123.9117,127.3916,61.2827,210.9348,27.6764,147.9173,148.2505,302.0991,363.5055,58.77,55.69,21.3542,79.1493,1.73,21.58
2021-03-19,194.39,89.6062,135.03,177.519,85.7211,122.6789,126.7424,61.4564,212.5269,27.6468,145.9903,149.6375,303.1641,362.833,59.99,57.08,21.3629,79.6229,1.732,20.95
2021-03-22,195.0,87.4186,135.91,170.7232,84.2629,121.2291,126.7334,62.3539,210.9255,26.6222,145.2425,151.7511,308.8494,365.7301,53.68,55.69,21.3198,80.147,1.684,18.88
2021-03-23,187.14,86.7571,131.76,166.1171,78.6368,117.2644,125.1196,62.1802,203.2744,25.5679,136.5376,150.9585,307.5019,362.8516,49.39,53.49,21.4491,79.3948,1.638,20.3
2021-03-24,178.85,86.2765,125.53,163.8683,79.2773,116.8699,125.2368,61.4853,198.5732,25.2526,137.362,147.2221,302.3158,361.007,48.7,52.57,21.5008,78.221,1.614,21.2
2021-03-25,176.16,88.8686,131.75,172.2717,81.2479,118.7438,126.8287,61.4438,203.2813,25.8733,140.5162,146.9407,301.7923,363.0379,54.11,53.89,21.5611,78.9061,1.614,19.81
2021-03-26,174.4,91.008,134.01,174.0373,81.8391,119.4539,128.8673,62.42,206.9875,26.2773,140.7558,149.5559,306.3192,368.8882,55.68,54.71,21.5353,79.5625,1.66,18.86
2021-03-29,182.5,92.098,129.98,173.7216,80.233,117.4123,128.5321,62.4877,201.1609,26.0507,138.6275,148.5646,306.232,368.7018,53.75,53.35,21.587,79.1265,1.721,20.74
2021-03-30,183.1,91.4529,130.6,173.4652,82.0558,120.3809,128.5955,62.1783,204.548,26.6911,142.1076,148.7629,304.6907,367.7238,54.13,53.46,21.6732,79.9027,1.726,19.61
2021-03-31,187.94,91.2552,131.13,169.7665,81.4844,119.2566,127.9704,62.9323,207.2971,26.5138,141.9926,151.8689,309.3533,369.2142,53.79,54.51,21.656,80.5255,1.746,19.4
2021-04-01,188.24,93.3162,133.14,173.5244,82.4007,119.9766,128.822,63.8505,209.9241,26.6517,142.146,154.2764,314.6267,373.2014,55.25,57.6,21.5611,81.1723,1.679,17.33
2021-04-05,186.69,94.3627,133.55,173.6131,84.4304,123.675,130.018,65.1167,211.0782,27.2035,144.6961,156.4668,320.9082,378.5581,56.79,57.4,21.4922,83.0169,1.72,17.91
2021-04-06,190.03,94.8649,131.09,172.3112,84.8541,124.9177,129.9274,65.049,210.4589,27.4301,145.3576,157.4203,320.6852,378.3345,54.24,58.05,21.4405,83.3763,1.656,18.12
2021-04-07,179.94,94.4199,127.5,169.6876,83.4944,122.8071,129.8006,65.281,207.0625,27.1641,142.6636,157.3353,321.4608,378.7723,52.89,56.89,21.4663,83.1272,1.653,17.16
2021-04-08,180.18,95.0995,128.14,172.183,83.1594,123.0339,129.7553,65.9382,208.817,27.0852,143.2676,159.8089,324.8148,380.5703,51.68,57.83,21.3715,83.52,1.632,16.95
2021-04-09,179.5,95.9639,140.5,172.5874,82.9426,122.6394,130.4892,66.4892,208.8452,26.898,142.3473,160.8474,326.7826,383.337,52.49,57.68,21.3887,84.3154,1.666,16.69
2021-04-12,176.49,94.3577,147.83,169.3621,83.2382,123.5566,130.5073,66.4988,208.0289,26.3857,143.1813,161.5933,326.3561,383.4769,51.13,59.44,21.3801,84.8568,1.675,16.91
2021-04-13,177.95,94.1712,149.46,168.5927,82.4105,124.3752,130.018,67.1078,207.4847,26.4152,142.6636,164.7655,330.1657,384.6133,51.69,60.64,21.3025,85.7527,1.623,16.65
2021-04-14,176.43,96.1269,143.65,169.3719,82.8638,124.7796,130.5435,66.4215,209.5301,26.4349,143.4114,162.3202,326.2009,383.2998,52.53,59.23,21.2766,84.9095,1.638,16.99
2021-04-15,175.35,95.3039,151.5,168.2179,82.4401,125.5291,131.1778,67.4847,210.4402,26.1886,143.0183,165.6907,331.1447,387.4175,52.36,60.74,21.2766,85.5179,1.53,16.57
2021-04-16,178.69,97.0152,149.49,171.532,82.9328,126.2885,131.9207,67.6104,210.7779,26.0507,142.4911,165.1903,331.5325,388.7123,52.58,60.35,21.2508,86.1791,1.573,16.25
2021-04-19,174.58,96.2044,146.67,173.2186,81.1395,124.1977,131.4586,67.1658,208.0383,25.7256,141.7912,162.8961,328.4984,386.8025,53.01,57.85,21.1301,85.2113,1.601,17.29
2021-04-20,169.57,91.8489,144.35,168.1292,78.7058,120.5387,130.3261,66.7791,203.7786,24.6713,136.1062,161.3667,326.104,383.9706,47.5,55.48,21.1646,84.1381,1.562,18.68
2021-04-21,167.07,92.3475,143.32,173.8499,80.6469,122.2055,131.8211,67.2721,208.7607,25.2526,138.7809,162.7357,328.8958,387.6038,50.39,55.77,21.1387,85.2592,1.564,17.5
2021-04-22,170.71,91.9292,143.96,173.2482,80.903,123.7736,130.7972,66.5762,207.8976,24.957,140.5833,161.6405,324.9311,384.0638,49.67,56.28,21.1991,84.3154,1.554,18.71
2021-04-23,174.25,93.8242,152.75,175.1321,81.9869,125.6475,131.8573,67.4557,211.8194,25.5679,142.2322,164.2273,329.0218,388.2278,50.99,57.93,21.0784,85.197,1.567,17.33
2021-04-26,174.88,96.2847,153.8,174.2641,81.8292,125.8151,131.7939,67.765,214.0243,25.9423,142.3473,165.7945,331.164,389.0383,48.75,57.61,21.0784,85.5706,1.57,17.64
2021-04-27,177.94,96.5158,162.13,174.6586,82.716,128.2216,132.0657,67.5717,214.3433,25.8142,143.5552,165.247,329.7294,388.9545,48.45,57.16,21.087,85.47,1.622,17.56
2021-04-28,180.0,98.1197,162.45,175.1715,81.9967,127.334,132.2288,67.4461,214.7092,25.696,143.2772,164.605,328.6147,388.8427,48.85,58.44,21.0094,85.3694,1.62,17.28
2021-04-29,177.68,97.976,150.11,175.4379,82.6076,128.5964,133.452,67.736,213.9117,25.6566,144.792,163.8874,329.7973,391.3207,47.84,54.93,21.018,85.3934,1.64,17.61
2021-04-30,172.71,96.5914,143.17,173.8203,81.1198,126.9296,132.6365,67.2334,211.0031,25.696,142.3856,162.5846,327.6356,388.7495,47.13,54.77,21.1904,85.724,1.631,18.61
2021-05-03,168.11,95.5871,140.47,172.4296,80.7552,126.9,133.6332,67.0594,212.0352,25.7748,142.7404,161.4705,325.8908,389.588,47.33,54.85,21.0956,85.3167,1.607,18.31
2021-05-04,168.9,93.335,135.22,171.0783,79.4941,126.4858,133.8596,66.1702,209.502,25.2132,141.5132,158.3172,320.0261,387.1845,47.18,52.99,21.1904,84.4256,1.592,19.48
2021-05-05,162.33,91.5716,128.39,168.5829,78.8339,120.9332,134.2131,66.0446,208.6669,25.3511,138.5412,157.4581,318.9501,387.3056,45.44,51.18,21.1818,84.162,1.584,19.15
2021-05-06,153.64,89.2776,122.77,162.5663,77.7107,119.1087,135.409,66.5182,208.8452,25.2428,136.7005,157.7036,321.3541,390.3985,44.71,46.65,21.0784,84.3441,1.561,18.39
2021-05-07,151.21,91.1471,124.89,171.0882,79.2871,121.742,136.4872,66.9724,211.4722,25.7847,140.6312,159.2897,323.9617,393.2399,44.17,47.03,20.9232,85.1011,1.577,16.69
2021-05-10,146.73,88.6411,120.45,170.7232,77.5924,119.9075,136.4601,65.6676,206.0961,25.5482,134.8503,155.2395,315.7804,389.3458,44.7,45.79,20.9232,83.5871,1.602,19.66
2021-05-11,142.73,88.0371,124.54,170.0427,77.2574,120.1541,134.6117,65.3873,205.4393,25.1541,135.8569,155.5604,315.3441,385.8709,45.45,46.21,20.9059,82.6432,1.624,21.84
2021-05-12,140.25,85.0827,112.99,159.775,74.2326,116.6628,132.2741,63.7538,198.7684,24.4151,130.3252,150.7644,307.182,377.6731,41.16,43.81,21.0611,79.8452,1.695,27.59
2021-05-13,135.75,86.4543,115.49,165.4266,75.3755,118.5071,134.0772,64.4304,202.4276,24.9176,133.5177,151.2081,309.557,382.2099,40.9,44.48,21.0266,80.4105,1.668,23.13
2021-05-14,141.2,89.4002,141.07,169.4509,78.0654,121.9096,135.7443,65.6193,207.3721,25.893,137.3716,154.7579,316.391,388.0789,42.17,47.42,20.9404,81.8048,1.635,18.81
2021-05-17,132.5,87.0763,133.79,167.133,76.6761,120.0357,135.6537,65.281,207.6536,26.1591,134.0833,153.7666,314.4716,387.0914,41.0,47.51,20.9146,81.6562,1.64,19.72
2021-05-18,135.02,86.6247,138.56,165.8015,75.8977,119.1284,134.4939,64.759,206.0773,26.1788,133.997,153.0019,312.3488,383.7563,41.27,49.17,20.8197,81.019,1.642,21.34
2021-05-19,138.19,88.9117,140.2,164.7855,75.1686,118.9114,133.6422,64.788,204.4917,25.8832,133.6711,153.0397,312.7074,382.7502,40.29,49.47,20.9146,80.3387,1.683,22.18
2021-05-20,136.2,90.3233,137.0,166.8272,75.0996,118.9213,134.3399,65.8126,205.8521,25.6467,133.2396,156.4479,318.7562,386.8678,40.26,49.33,20.8111,81.1627,1.634,20.67
2021-05-21,134.71,89.8271,137.57,165.762,75.4543,119.3158,134.8201,65.5129,206.387,25.5581,133.2684,155.8342,316.992,386.551,39.78,48.82,20.8801,80.7555,1.632,20.15
2021-05-24,135.91,91.9852,140.46,168.7604,75.7696,121.8899,135.5087,66.4699,207.7286,25.9226,136.0294,158.5155,322.3235,390.4917,40.9,50.03,20.8284,81.5556,1.608,18.4
2021-05-25,133.99,91.6143,136.27,170.6936,75.878,122.097,134.7476,66.5568,205.7208,25.8241,136.8923,158.7893,322.7694,389.6252,40.84,50.46,20.8025,81.8143,1.564,18.84
2021-05-26,134.75,91.9273,141.86,172.4394,77.3067,124.4837,135.0285,66.6728,209.5582,26.3857,138.5029,159.9694,323.8939,390.3985,41.52,51.12,20.8801,82.5953,1.574,17.36
2021-05-27,143.17,91.4486,152.82,171.7293,77.3757,124.533,135.6537,66.4505,211.7162,26.6714,139.8163,160.8663,322.6822,390.6034,42.96,50.71,20.8628,82.9259,1.61,16.74
2021-05-28,140.4,92.4972,150.28,174.5304,76.9323,123.5468,135.7805,66.6341,211.5755,26.4547,137.6496,160.8663,323.7,391.3022,43.45,50.83,20.8801,82.8109,1.581,16.76
2021-06-01,144.31,91.1941,149.27,174.8855,78.7649,124.8683,136.2154,66.3055,213.9774,26.7699,139.1836,162.0087,322.624,390.9574,43.34,50.98,20.8456,82.6528,1.615,17.9
2021-06-02,151.0,90.7883,149.83,172.7748,78.154,123.4481,136.5144,66.4022,214.2307,26.8586,136.7389,161.5744,323.2541,391.5722,42.44,50.79,20.8456,82.2695,1.591,17.48
2021-06-03,144.19,89.9223,139.11,168.4152,77.3954,121.4362,136.5326,65.8996,212.4387,26.0605,134.601,160.5264,319.8904,390.119,42.26,48.7,20.9749,81.2921,1.625,18.04
2021-06-04,150.73,90.7009,143.8,169.076,77.8387,123.0339,137.0399,66.8178,213.3582,26.0014,136.1925,162.1219,325.3188,393.687,41.26,50.18,20.8973,81.9437,1.56,16.42
2021-06-07,148.97,90.0284,142.5,168.0207,78.0752,123.1819,136.6684,66.9145,216.2198,26.031,136.5951,162.188,326.2882,393.3051,42.25,50.76,20.8628,81.9437,1.569,16.42
2021-06-08,147.01,90.2329,136.76,170.2498,81.573,126.0814,136.4872,66.9918,218.5092,26.2773,139.7012,162.0937,326.4434,393.3888,41.65,49.88,20.8887,82.6049,1.528,17.07
2021-06-09,144.85,90.6371,136.98,170.4372,79.8488,124.7105,136.0523,67.0111,217.0548,26.1295,137.8797,160.7624,326.5208,392.802,42.82,49.14,20.9059,82.1497,1.489,17.89
2021-06-10,146.12,91.044,144.85,169.2339,79.701,124.8486,135.9723,67.644,215.4452,25.8536,138.0236,160.617,329.9233,394.6279,41.83,49.55,20.8887,82.5378,1.459,16.1
2021-06-11,148.44,90.2575,154.16,170.5753,80.6567,126.8408,136.1996,67.7698,217.7192,25.9423,137.5538,161.4106,330.786,395.28,43.02,50.01,20.9922,82.9882,1.462,15.65
2021-06-14,149.21,90.2838,158.83,166.8272,81.0607,126.8408,135.5722,68.3698,217.0802,25.5778,137.9564,160.7587,333.9559,396.165,40.66,50.77,20.9749,83.0122,1.501,16.39
2021-06-15,151.78,90.1631,158.65,167.6754,80.7946,127.472,135.7177,68.0698,216.4601,25.4398,138.1578,159.9462,331.7749,395.4384,40.57,49.3,20.9922,82.5714,1.499,17.02
2021-06-16,149.15,90.0171,161.46,165.6634,82.0657,125.1839,134.7994,67.7698,215.9996,25.3807,137.295,159.5493,330.5631,393.2306,41.38,48.89,21.1646,82.6097,1.569,18.15
2021-06-17,150.7,89.8514,164.52,163.6512,81.4154,124.5034,133.0626,68.4859,213.5753,24.9965,135.9336,158.0282,334.7605,393.1001,41.0,49.7,21.3284,82.9211,1.511,17.75
2021-06-18,152.52,87.8385,167.33,160.7021,78.8438,122.0181,130.5713,67.9343,208.7267,24.8487,133.0958,155.8457,332.1335,387.797,40.8,49.7,21.3973,82.4851,1.45,20.7
2021-06-21,149.7,88.6399,173.21,165.6239,81.5927,124.9965,133.1172,68.5827,213.1901,25.2526,136.9786,158.3683,334.1976,393.3487,40.88,48.12,21.2939,83.1209,1.484,17.89
