id,initiative,category,first_announced,cost_line,claimed_effect,claim_source,evidence_of_realisation,quantified_effect,verdict,score
OPS-11,Co-Host Network,Supply,2024-10,S&M field operations,Cheaper supply growth and better listing quality without Airbnb-employed support,"3Q24 and 4Q24 letters; 2Q25 letter (100k listings, 10M nights)","Co-Host Network launched Oct 2024 (3Q24 letter). Almost 100,000 listings four months in (4Q24 letter); over 100,000 listings and 10 million cumulative nights by 2Q25. Listings on the network 'earn approximately twice as much as Airbnb listings in comparable countries' (4Q24 letter).","A supply-acquisition and quality program, not a cost program. No cost effect has ever been disclosed and none is visible in field operations and policy.","Realised as a program, no cost effect disclosed",in progress
OPS-12,Services and Experiences launch investment ($200-250M),New business,2025-02 (4Q24 letter),S&M field operations and policy; product development,"Upfront investment, 'optimize the margins over time'","4Q24 letter and call; Mertz, 2Q25 call ('about $200M... field operations, go-to-market and supply acquisition'); FY2025 10-K S&M split","Guided $200-250M in 2025 to launch and scale Services and Experiences (4Q24 letter and call), refined to about $200M on the 2Q25 call. Field operations and policy went from $693M (2024) to $993M (2025), +43%, i.e. 6.2% -> 8.1% of revenue; S&M third-party service-provider costs rose $102M in 2025 for 'product launch and supply acquisition'. In 1H26 field ops is $535M vs $430M, +24%, decelerating from +43%.","The $200-250M was spent and then some (field ops alone +$300M): about 1.9 points of revenue. Return not evidenced: no contribution margin, revenue or booking figure for Services or Experiences has ever been given.","Spend realised, return not evidenced",in progress
OPS-13,Host fee simplification: single 15.5% fee ('Project Hawaii'),Monetisation,"2025-Q4 rollout, revealed 2026-02-12",Revenue / take rate,"Simpler pricing, no take-rate headwind",4Q25 print coverage; 2026 guide of a flat take rate,"Implied take rate (revenue / GBV): 12.96% (2Q24), 13.17% (2Q25), 13.26% (2Q26). 'Project Hawaii', a single 15.5% host-paid fee replacing the split fee for property-manager listings, started rolling out in 4Q25 (revealed 12 Feb 2026). Management guides the 2026 take rate flat, held down by customer incentives on new businesses.","Not yet visible. FY2025 take rate fell 16 bps (-0.8 points of margin, abnb_margin_bridge.csv). +10 bps is worth about +0.48 points of margin.","In progress, not yet visible",in progress
OPS-14,"Reserve Now, Pay Later",Monetisation / working capital,"2025-Q3 (US), merchandised 2025-Q4",Revenue timing; free cash flow,Higher conversion and booking volume,3Q25 and 4Q25 letters; FCF bridge unearned fees,"Reserve Now, Pay Later launched in the US in 3Q25 with ~70% adoption among eligible bookings; merchandised from 4Q25. Change in unearned fees: +$278M (2022), +$245M, +$189M, +$127M, and negative in 2Q26.","Revenue-positive, cash-flow-negative: the float added 3.3 points of revenue to cash flow in 2022 and about nothing now. Roughly 2.8 points of the FCF-margin decline since 2023.","Realised, with a cash-flow cost",realised
OPS-15,FX hedging of forecast revenue,Financial,2025,Revenue / margin volatility,Smoother reported revenue and margin,Every 2025-2026 guide: 'after factoring in our hedging program',FX hedging of forecast revenue began in 2025; every 2026 guide quotes the FX effect 'after factoring in our hedging program' (2Q26 letter: about a 3-point FX tailwind to revenue growth).,"Dampens, does not remove: ~0.26 points of margin per 1% dollar move unhedged (margin-drivers note section 14), less and lagged after hedges.",Realised,realised
OPS-16,"Investment-grade debt: $2.5B senior notes, converts repaid",Capital structure,2026-03,Below EBITDA (interest),"Cheaper permanent capital, no convert dilution",8-K Mar 2026; 2Q26 10-Q debt note and income statement,"Inaugural investment-grade ratings (S&P A-, Moody's Baa1) 12-19 Mar 2026; $2.5B senior notes at 4.40-5.25%; $2.0B used to repay the 2026 converts. 2Q26 10-Q: interest expense $37M in the quarter and $58M in 1H26, against $6M and $11M a year earlier; interest income $183M vs $190M.","Removes the convert dilution overhang and costs about $124M a year of interest, roughly 0.9% of revenue, below the EBITDA line. Net interest 1H26 $280M vs $352M in 1H25.",Realised,realised
OPS-17,Buyback program against SBC dilution,Capital return,2022-08 onward,Share count (not margin),Offset SBC dilution and shrink the count,abnb_capital_return_quarterly.csv from the letters,"Buybacks $2,139M in 1H26 against SBC of $897M; diluted share count 597M, -4.6% y/y, after -3.5% in 4Q25.","SBC is 13.5% of revenue in 2Q26. Buybacks are running ahead of SBC (share count -4.6% y/y), so the dilution offset is now a real return, not just a mop-up.",Realised,realised
OPS-18,"Trust, safety and insurance cost containment",Trust & safety,2021 onward,Operations & support,Insurance grows slower than nights,10-K MD&A operations-and-support insurance deltas; 2Q26 10-Q +$9M,"Increase in insurance cost inside operations and support: +$42M (2021), +$30M, +$16M, +$25M, +$14M; +$9M in 1H26 (2Q26 10-Q, host liability premiums). AirCover / Host Liability Insurance scales with nights.","Growth in the insurance add has fallen from $42M a year to about $18M a year while nights roughly doubled: contained, but it is a cost that only goes up.","Realised (contained, not reduced)",realised
OPS-19,Performance-marketing efficiency,Marketing,2023-2024,Sales & marketing,"Paid channels stay a small, high-ROI top-up","3Q24 call ('really great efficiencies'); 1Q25 call ('relative efficiencies by channel, by market')","Management line, repeated on five calls: '90% of our traffic remains direct or unpaid'. Performance marketing described as running at 'really great efficiencies' (3Q24 call). 1H26 10-Q: marketing spend +$258M 'driven by higher paid growth marketing initiatives in emerging markets and partnerships'.","Reversed in 2026: brand and performance marketing $824M (1H25) -> $1,091M (1H26), +32%, against revenue +17%. The 90%-direct claim and a 30%+ paid-marketing ramp cannot both be efficiency.",Reversed in 2026,not evidenced
OPS-20,Redeploy fixed core-market brand budget into expansion markets,Marketing,2025-02 (4Q24 call),Sales & marketing,Core-market leverage funds expansion at no net margin cost,"Mertz, 4Q24 call; 1H26 10-Q ('emerging markets and partnerships')","Mertz, 4Q24 call: 'Brand marketing is effectively a fixed amount of spend for each market... the marketing budget is allowed to expand and be more heavily dedicated to expansion markets.' 1H26 10-Q names 'emerging markets and partnerships' as the driver of the marketing increase.","A redeployment policy, not a saving. It means core-market leverage is real but is being spent, which is exactly why the margin guide is a floor.",Realised as a policy; it is why margin does not expand,realised
OPS-21,AI spend inside the 2026 guide,AI,2026-Q2,"Product development, cost of revenue",First: no P&L effect. Then: a 'material increase' inside the guide,"Chesky, 4Q25 call vs Mertz, 2Q26 call; CTO hire Jan 2026","Chesky, 4Q25 call: 'Our investment in AI will not affect the P&L. I don't think you'll see it in the P&L.' Mertz, 2Q26 call: 'the updated guidance that we've provided obviously does assume a material increase in terms of the AI spend over the course of the year.' New CTO (Ahmad Al-Dahle, ex-Meta Llama) hired Jan 2026.",Contradiction on the record. The 2026 guide contains an unquantified AI cost increase; it is the main reason to treat the 35.5% floor as a floor and not a base.,"In progress, unquantified, contradictory",not evidenced
OPS-22,"Hotels, enterprise and global-markets organisation build-out",New business,2026-01 to 2026-09,S&M field operations; operations & support,Hotel supply at portfolio scale,"8-Ks and press: Stein (Jan), Fuldner (Mar), D'Amico (Jun), Rijvers (Sep); May 2026 Summer Release; Lark Hotels (Aug 2026)","Hotels org built out through 2026: VP Hotels (Andrea D'Amico, ex-Booking) Jun 2026, Chief Business Officer (Pepijn Rijvers, ex-Booking) Sep 2026, Global Head of Operations (Gus Fuldner, ex-Uber, owns safety, support, payments, insurance) Mar 2026, hotels live in 20 cities (May 2026 release), Lark Hotels partnership Aug 2026.","Cost now, revenue later. Lands in field operations and policy and in operations and support payroll. No disclosed budget.","In progress, cost only so far",not evidenced
