check,horizon,subject,kind,value,target,tolerance,passed
4_monotone_path,2027->2030,"ES-REMOVE in force by 2027 but not by 2030, share of draws",probability,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"ES-REGIONS in force by 2027 but not by 2030, share of draws",probability,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"BCN-2028 in force by 2027 but not by 2030, share of draws",probability,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"BCN-PARTIAL in force by 2027 but not by 2030, share of draws",probability,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"MAUI in force by 2027 but not by 2030, share of draws",probability,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"PARIS-PRO in force by 2027 but not by 2030, share of draws",probability,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"PARIS-COPRO in force by 2027 but not by 2030, share of draws",probability,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"GR-FREEZE in force by 2027 but not by 2030, share of draws",probability,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"IE-REG in force by 2027 but not by 2030, share of draws",probability,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"UK-ENG in force by 2027 but not by 2030, share of draws",probability,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"IT-NAT in force by 2027 but not by 2030, share of draws",probability,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"PT-RETIGHT in force by 2027 but not by 2030, share of draws",probability,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"NL-AMS in force by 2027 but not by 2030, share of draws",probability,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"US-CITY in force by 2027 but not by 2030, share of draws",probability,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"NYC-LOOSEN in force by 2027 but not by 2030, share of draws",probability,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"CHI-SUIT in force by 2027 but not by 2030, share of draws",probability,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"COMPLIANCE in force by 2027 but not by 2030, share of draws",probability,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"ANY event reverses, share of draws",probability,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"net loss ex NYC-LOOSEN falls from 2027 to 2030, share of draws",share,0.0,0.0,0.0,True
4_monotone_path,2027->2030,"DIAGNOSTIC total net loss incl NYC-LOOSEN falls, share of draws",share,0.003255,,,True
5_sensitivity_alt_nesting,2027,"revenue loss median %, independent inner gate instead of severity ladder",pct_of_revenue,0.4499,0.4499,,True
5_sensitivity_alt_nesting,2027,"revenue loss mean %, independent inner gate instead of severity ladder",pct_of_revenue,0.7519,0.7518,,True
5_sensitivity_alt_nesting,2027,"revenue loss p95 %, independent inner gate instead of severity ladder",pct_of_revenue,2.6984,2.6725,,True
5_sensitivity_alt_nesting,2030,"revenue loss median %, independent inner gate instead of severity ladder",pct_of_revenue,1.6716,1.6644,,True
5_sensitivity_alt_nesting,2030,"revenue loss mean %, independent inner gate instead of severity ladder",pct_of_revenue,2.2011,2.2026,,True
5_sensitivity_alt_nesting,2030,"revenue loss p95 %, independent inner gate instead of severity ladder",pct_of_revenue,6.4393,6.6886,,True
