quarter,nights_m,gbv_busd,adr_usd,revenue_musd,adj_ebitda_musd,sbc_musd,fcf_musd,buybacks_musd,diluted_wa_shares_m,rsu_tax_withholding_musd,cost_of_revenue_musd,ops_support_musd,product_dev_musd,sales_marketing_musd,g_and_a_musd,restructuring_musd,operating_income_musd,cfo_musd,capex_musd,basic_wa_shares_m,net_income_musd,income_tax_musd,cfo_musd_xbrl,capex_musd_xbrl,revenue_musd_xbrl,diluted_wa_shares_m_xbrl,cash_and_equivalents_musd,short_term_investments_musd,restricted_cash_musd,funds_held_for_clients_musd,unearned_fees_musd,long_term_debt_musd,cash_plus_st_investments_musd,revenue_yoy_reported_pct,revenue_yoy_exfx_pct,gbv_yoy_reported_pct,gbv_yoy_exfx_pct,adr_yoy_exfx_pct,nights_yoy_na_pct,nights_yoy_emea_pct,nights_yoy_latam_pct,nights_yoy_apac_pct,nights_yoy_na_pct_qual,nights_yoy_emea_pct_qual,cross_border_share_pct,cross_border_nights_yoy_pct,urban_share_pct,urban_nights_yoy_pct,non_urban_nights_yoy_pct,long_term_stays_share_pct,active_listings_m,active_listings_yoy_pct,active_listings_yoy_ex_removals_pct,active_listings_yoy_qual,app_share_of_nights_pct,app_nights_yoy_pct,first_time_bookers_yoy_pct,guest_arrivals_cumulative_b,guest_arrivals_in_quarter_m,fully_diluted_shares_letter_m,buyback_authorization_announced_busd,adr_yoy_na_pct,adr_yoy_emea_pct,adr_yoy_emea_exfx_pct,adr_yoy_latam_pct,adr_yoy_apac_pct,marketing_commentary,active_listings_ex_china_yoy_pct,nights_ex_china_yoy_pct,na_share_of_nights_pct,nights_yoy_ex_na_pct,travel_insurance_revenue_yoy_pct,removed_listings_cum_k,cash_investments_restricted_letter_busd,funds_held_letter_busd,bedroom_nights_yoy_pct,experiences_supply_yoy_pct,single_fee_pct,cross_currency_share_of_gbv_pct,gbv_musd,take_rate_pct,adj_ebitda_margin_pct,fcf_margin_pct,net_income_margin_pct,sbc_pct_revenue,cost_of_revenue_pct_rev,ops_support_pct_rev,product_dev_pct_rev,sales_marketing_pct_rev,g_and_a_pct_rev,exsbc__cor_cash,exsbc__ops_cash,exsbc__pd_cash,exsbc__sm_cash,exsbc__ga_cash,exsbc__cor_cash_pct_rev,exsbc__ops_cash_pct_rev,exsbc__pd_cash_pct_rev,exsbc__sm_cash_pct_rev,exsbc__ga_cash_pct_rev,exsbc__cor_cash_per_night,exsbc__ops_cash_per_night,exsbc__pd_cash_per_night,exsbc__sm_cash_per_night,exsbc__ga_cash_per_night,nights_yoy_pct,gbv_yoy_pct,adr_yoy_pct,revenue_yoy_pct,adj_ebitda_yoy_pct,fcf_yoy_pct,sbc_yoy_pct,sales_marketing_yoy_pct,unearned_fees_yoy_pct,funds_held_yoy_pct,nights_yoy_accel_pts,fx_pts_revenue,adr_yoy_reported_pct,fx_pts_adr
1Q23,121.1,20.4,168.43,1818.0,262.0,240.0,1581.0,493.0,670.0,151.0,428.0,282.0,420.0,450.0,243.0,,-5.0,1587.0,6.0,634.0,117.0,13.0,1587.0,6.0,1818.0,670.0,8166.0,2428.0,30.0,7760.0,2172.0,1988.0,10594.0,20.0,24.0,19.0,22.0,3.0,,,,48.0,"In Q1 2023, we saw stable growth in North American Nights an",,45.0,36.0,48.0,20.0,,18.0,,18.0,,,49.0,,,,,697.0,2.5,,,,,,we have pulled forward the timing of marketing spend to be more heavily weighted,,,,,,,,,,,,,20400.0,8.91,14.4,87.0,6.4,13.2,23.5,15.5,23.1,24.8,13.4,428.0,267.0,271.0,422.0,195.0,23.5,14.7,14.9,23.2,10.7,3.53,2.2,2.24,3.48,1.61,18.61,18.6,0.21,20.48,14.41,32.19,23.08,30.43,24.28,27.12,-1.55,-4.0,0.2,-2.8
2Q23,115.1,19.1,166.01,2484.0,819.0,304.0,900.0,507.0,665.0,721.0,432.0,317.0,451.0,486.0,275.0,0.0,523.0,909.0,9.0,635.0,650.0,26.0,,,2484.0,665.0,7905.0,2435.0,29.0,9144.0,2347.0,1989.0,10340.0,18.0,19.0,13.0,13.0,2.0,,,22.0,24.0,we saw an acceleration in year-over-year growth in North Ame,EMEA faced a hard year-over-year comparison resulting in a d,45.0,16.0,48.0,13.0,,18.0,7.0,19.0,,,50.0,,,1.5,,686.0,,-1.0,8.0,,,,,,,,,,,,,,,,,19100.0,13.01,33.0,36.2,26.2,12.2,17.4,12.8,18.2,19.6,11.1,432.0,298.0,260.0,450.0,217.0,17.4,12.0,10.5,18.1,8.7,3.75,2.59,2.26,3.91,1.89,10.99,12.35,1.39,18.06,15.19,13.07,23.08,28.23,18.48,22.48,-7.62,-1.0,1.4,-0.6
3Q23,113.2,18.3,161.38,3397.0,1834.0,286.0,1310.0,500.0,660.0,151.0,459.0,316.0,419.0,403.0,304.0,0.0,1496.0,1325.0,15.0,640.0,4374.0,-2695.0,,,3397.0,660.0,8175.0,2787.0,24.0,5986.0,1467.0,1990.0,10962.0,18.0,14.0,17.0,14.0,0.5,,,24.0,27.0,we saw a modest acceleration in year-over-year growth in Nor,we also saw a sequential improvement in the year-over-year g,45.0,17.0,49.0,15.0,,18.0,7.0,19.0,,,53.0,,,,,681.0,,-1.0,,6.0,,,,,,,,,,,,,,,,18300.0,18.56,54.0,38.6,128.8,8.4,13.5,9.3,12.3,11.9,8.9,459.0,299.0,244.0,370.0,243.0,13.5,8.8,7.2,10.9,7.2,4.05,2.64,2.16,3.27,2.15,13.54,17.31,3.16,17.79,25.88,36.74,22.22,4.95,20.22,24.57,2.55,4.0,3.2,2.7
4Q23,98.8,15.5,156.73,2218.0,738.0,270.0,46.0,752.0,653.0,201.0,384.0,271.0,432.0,424.0,1203.0,0.0,-496.0,63.0,17.0,639.0,-349.2,-34.0,63.0,,2218.0,-3.0,6874.0,3197.0,24.0,5869.0,1427.0,1991.0,10071.0,17.0,14.0,15.0,13.0,0.5,,,22.0,22.0,Continued solid growth of Nights and Experiences Booked in N,Stable growth of Nights and Experiences Booked compared to t,44.0,13.0,51.0,11.0,,19.0,7.7,18.0,,,55.0,,,,,,6.0,0.0,,6.0,,,"In 2024, marketing spend will continue to be weighted more towards the first hal",,,,,,,,,,,,,15500.0,14.31,33.3,2.1,-15.7,12.2,17.3,12.2,19.5,19.1,54.2,384.0,255.0,282.0,388.0,1151.0,17.3,11.5,12.7,17.5,51.9,3.89,2.58,2.85,3.93,11.65,12.02,14.81,2.57,16.61,45.85,-89.89,6.3,3.92,20.73,22.71,-1.52,3.0,2.6,2.1
1Q24,132.6,22.9,172.88,2142.0,424.0,295.0,1909.0,750.0,654.0,155.0,480.0,285.0,475.0,514.0,287.0,,101.0,1923.0,14.0,638.0,264.0,29.0,1923.0,,2142.0,654.0,7829.0,3264.0,35.0,8737.0,2434.0,1992.0,11093.0,18.0,18.0,,,2.0,,,19.0,21.0,"In North America, domestic travel was stable, while non-urba",,46.0,10.0,,,10.0,17.0,,15.0,17.0,,54.0,21.0,,,,,,3.0,7.0,,,,with heavier spend expected in Q2 than in Q1,,,,,,,,,,,,,22900.0,9.35,19.8,89.1,12.3,13.8,22.4,13.3,22.2,24.0,13.4,480.0,266.0,290.0,479.0,231.0,22.4,12.4,13.5,22.4,10.8,3.62,2.01,2.19,3.61,1.74,9.5,12.25,2.64,17.82,61.83,20.75,22.92,14.22,12.06,12.59,-2.52,0.0,2.6,0.6
2Q24,125.1,21.2,169.53,2748.0,894.0,382.0,1043.0,749.0,649.0,154.0,506.0,338.0,519.0,573.0,315.0,,497.0,1051.0,8.0,635.0,555.0,126.0,,,2748.0,649.0,7882.0,3369.0,35.0,10342.0,2621.0,1993.0,11251.0,11.0,11.0,11.0,12.0,3.0,,,17.0,19.0,"In North America, we saw a slight acceleration of year-over-",we saw relatively stable year-over-year growth of Nights and,,,,,,,8.0,,,,55.0,19.0,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,21200.0,12.96,32.5,38.0,20.2,13.9,18.4,12.3,18.9,20.9,11.5,506.0,314.0,280.0,527.0,242.0,18.4,11.4,10.2,19.2,8.8,4.04,2.51,2.24,4.21,1.93,8.69,10.99,2.12,10.63,9.16,15.89,25.66,17.9,11.67,13.1,-0.81,0.0,2.1,-0.9
3Q24,122.8,20.1,163.64,3732.0,1958.0,362.0,1074.0,1093.0,642.0,113.0,465.0,369.0,524.0,514.0,335.0,,1525.0,1078.0,4.0,631.0,1368.0,367.0,,,3732.0,642.0,7670.0,3583.0,27.0,6573.0,1657.0,1994.0,11253.0,10.0,10.0,10.0,10.0,2.0,,,15.0,19.0,"After a slower start to the quarter, we saw year-over-year g",,,,,,,,8.0,,,,58.0,18.0,,2.0,,,,3.0,6.0,,,,"in Q3, sales and marketing expense grew faster than revenue on a year-over-year ",,,,,,300.0,,,,,,,20100.0,18.57,52.5,28.8,36.7,9.7,12.5,9.9,14.0,13.8,9.0,465.0,347.0,294.0,471.0,268.0,12.5,9.3,7.9,12.6,7.2,3.79,2.83,2.39,3.84,2.18,8.48,9.84,1.4,9.86,6.76,-18.02,26.57,27.54,12.95,9.81,-0.21,0.0,1.4,-0.6
4Q24,111.0,17.6,158.13,2480.0,765.0,400.0,458.0,838.0,635.0,208.0,427.0,290.0,538.0,547.0,248.0,,430.0,466.0,8.0,624.0,461.3,161.0,466.0,,2480.0,-3.0,6864.0,3747.0,25.0,5931.0,1616.0,1995.0,10611.0,12.0,12.0,13.0,15.0,2.0,5.0,11.0,22.0,22.0,,,,,,,,,8.0,,,,60.0,22.0,,,,,,3.0,6.0,,,,"Adjusted EBITDA Margin during Q4 2024 was 31%, down compared to 33% in Q4 2023, ",,,,,,,,,,,,,17600.0,14.09,30.8,18.5,18.6,16.1,17.2,11.7,21.7,22.1,10.0,427.0,265.0,306.0,501.0,183.0,17.2,10.7,12.3,20.2,7.4,3.85,2.39,2.76,4.51,1.65,12.35,13.55,0.89,11.81,3.66,895.65,48.15,29.01,13.24,1.06,3.87,0.0,0.9,-1.1
1Q25,143.1,24.5,171.34,2272.0,417.0,358.0,1781.0,807.0,632.0,152.0,506.0,303.0,568.0,563.0,294.0,,38.0,1789.0,8.0,621.0,154.0,19.0,1789.0,,2272.0,632.0,7600.0,3892.0,40.0,9175.0,2723.0,0.0,11492.0,6.0,8.0,7.0,9.0,1.0,2.0,5.0,22.0,15.0,,,,,,,,,,,,with supply growing approximately in-line with Nights and Ex,58.0,17.0,,,,,,2.0,2.0,,-7.0,-1.0,Marketing expense is expected to grow faster than revenue on a year-over-year ba,,,30.0,11.0,,450.0,,,,,,20.0,24500.0,9.27,18.4,78.4,6.8,15.8,22.3,13.3,25.0,24.8,12.9,506.0,282.0,338.0,519.0,231.0,22.3,12.4,14.9,22.8,10.2,3.54,1.97,2.36,3.63,1.61,7.92,6.99,-0.89,6.07,-1.65,-6.71,21.36,9.53,11.87,5.01,-4.43,-2.0,-0.9,-1.9
2Q25,134.4,23.5,174.48,3096.0,1043.0,424.0,962.0,1010.0,626.0,143.0,544.0,332.0,610.0,691.0,307.0,,612.0,975.0,13.0,615.0,642.0,137.0,,,3096.0,626.0,7402.0,3954.0,44.0,11067.0,2857.0,0.0,11356.0,13.0,13.0,11.0,9.0,1.0,2.0,5.0,18.0,15.0,,,,,,,,,,,,with supply growing slightly above Nights and Seats Booked,59.0,17.0,,,,,6.0,3.0,9.0,,-3.0,2.0,,,,,,,,,,,,,,23500.0,13.17,33.7,31.1,20.7,13.7,17.6,10.7,19.7,22.3,9.9,544.0,309.0,331.0,639.0,237.0,17.6,10.0,10.7,20.6,7.7,4.05,2.3,2.46,4.75,1.76,7.43,10.85,2.92,12.66,16.67,-7.77,10.99,20.59,9.0,7.01,-0.48,0.0,2.9,1.9
3Q25,133.6,22.9,171.29,4095.0,2051.0,399.0,1349.0,877.0,621.0,136.0,549.0,365.0,587.0,639.0,330.0,,1625.0,1356.0,7.0,611.0,1374.0,418.0,,,4095.0,621.0,7528.0,4156.0,35.0,7209.0,1820.0,0.0,11684.0,10.0,10.0,14.0,12.0,2.0,5.0,5.0,22.0,15.0,,,,,,,,,,,,with active listings growing approximately in-line with Nigh,62.0,17.0,,,,,,5.0,10.0,,4.0,2.0,,,,,,,550.0,,,,,,,22900.0,17.88,50.1,32.9,33.6,9.7,13.4,8.9,14.3,15.6,8.1,549.0,343.0,333.0,585.0,261.0,13.4,8.4,8.1,14.3,6.4,4.11,2.57,2.49,4.38,1.95,8.79,13.93,4.67,9.73,4.75,25.61,10.22,24.32,9.84,9.68,1.36,0.0,4.7,2.7
4Q25,121.9,20.4,167.51,2778.0,786.0,400.0,521.0,1095.0,613.0,130.0,487.0,327.0,589.0,695.0,411.0,,269.0,526.0,5.0,605.0,341.3,52.0,526.0,,2778.0,-3.0,6560.0,4454.0,35.0,6959.0,1743.0,0.0,11014.0,12.0,11.0,16.0,13.0,3.0,5.0,8.0,18.0,15.0,,,,,,,,,9.0,,,active listings grew relatively in-line with the year-over-y,64.0,20.0,8.0,,,,,5.0,12.0,,9.0,2.0,"as we reinvest top-line efficiencies to support growth across the business, prim",,,,,40.0,,11.0,7.0,,,15.5,,20400.0,13.62,28.3,18.8,12.3,14.4,17.5,11.8,21.2,25.0,14.8,487.0,303.0,335.0,633.0,340.0,17.5,10.9,12.1,22.8,12.2,4.0,2.49,2.75,5.19,2.79,9.82,15.91,5.93,12.02,2.75,13.76,0.0,27.06,7.86,17.33,1.03,1.0,5.9,2.9
1Q26,156.2,29.2,186.82,2678.0,519.0,410.0,1704.0,1088.0,608.0,140.0,581.0,326.0,638.0,751.0,296.0,,86.0,1708.0,4.0,598.0,160.0,121.0,1708.0,,2678.0,608.0,7037.0,4968.0,60.0,10550.0,2733.0,2475.0,12005.0,18.0,15.0,19.0,13.0,4.0,8.0,5.0,18.0,18.0,,,,,,,,,,,,active listings grew relatively in-line with the year-over-y,63.0,22.0,10.0,2.5,,,,7.0,15.0,,10.0,6.0,"in Q1 alone we launched 16 local, digital-first marketing and communications pro",,,,,45.0,,,,,,,,29200.0,9.17,19.4,63.6,6.0,15.3,21.7,12.2,23.8,28.0,11.1,581.0,301.0,375.0,696.0,229.0,21.7,11.2,14.0,26.0,8.6,3.72,1.93,2.4,4.46,1.47,9.15,19.18,9.03,17.87,24.46,-4.32,14.53,33.39,0.37,14.99,-0.67,3.0,9.0,5.0
2Q26,148.3,27.2,183.73,3608.0,1261.0,487.0,1253.0,1051.0,597.0,165.0,633.0,361.0,672.0,875.0,309.0,,758.0,1270.0,17.0,592.0,816.0,81.0,,,3608.0,597.0,6821.0,5248.0,67.0,12224.0,2831.0,2476.0,12069.0,17.0,13.0,16.0,15.0,4.0,8.0,8.0,20.0,18.0,,,,,,,,,,,,,64.0,23.0,11.0,,,,,7.0,7.0,,9.0,1.0,"In Q2, we leaned into local marketing campaigns in key growth markets",,,,,,,,,12.0,80.0,,,27200.0,13.26,35.0,34.7,22.6,13.5,17.5,10.0,18.6,24.3,8.6,633.0,323.0,374.0,808.0,225.0,17.5,9.0,10.4,22.4,6.2,4.27,2.18,2.52,5.45,1.52,10.34,15.74,5.3,16.54,20.9,30.25,14.86,26.63,-0.91,10.45,1.19,4.0,5.3,1.3
