city,dump_date,listings,reviews_ltm,reviews_l30d,n_avail,blocked_30,blocked_90,entire_share,partial_scope
los-angeles,2025-03-01,45031,364732,21818,41479,0.4927923366844267,0.37223226746600024,0.7318069774155582,False
los-angeles,2025-06-17,45421,356214,31192,41916,0.5400427839806597,0.40959140503228686,0.7307633033178486,False
los-angeles,2025-09-01,45886,357167,31123,42409,0.4616928796560479,0.355659307117724,0.7311598308852373,False
los-angeles,2025-12-04,45585,357935,25788,41883,0.46708927249719456,0.34536791644448683,0.7366458264780081,False
los-angeles,2026-01-15,45893,359462,25533,42141,0.4593863458389691,0.35310900706358817,0.7339463534743861,False
los-angeles,2026-02-13,45906,364235,22557,42075,0.48916775599128537,0.368462929953126,0.7326493268853744,False
los-angeles,2026-03-16,46088,370103,30348,42184,0.5034531259877363,0.38304386075816,0.7306891164728346,False
los-angeles,2026-04-14,45295,373529,31047,41378,0.4789815844168399,0.3985735844598042,0.7276079037421349,False
los-angeles,2026-05-23,41946,374623,28228,41244,0.5288825849416481,0.4298925634974514,0.7427168263958422,False
los-angeles,2026-06-15,43751,373559,31095,43065,0.5494910793761368,0.4204319052594915,0.7417887591140774,False
los-angeles,2026-07-12,43805,378400,35079,43126,0.5452998191346288,0.39736019003746137,0.7422668645131835,False
los-angeles,2026-08-10,43735,386762,34638,42862,0.505110198621934,0.37642122781640297,0.7382416828626958,False
mexico-city,2025-06-25,26401,414793,26062,25401,0.4614542734538011,0.33444964983880776,0.6528161812052574,False
mexico-city,2025-09-27,27051,424458,33619,26035,0.4863132962038281,0.39158525915967823,0.6548001922294925,False
mexico-city,2025-12-29,23242,429336,40573,23051,0.41408037250733876,0.3015940499086567,0.6873763015231047,True
mexico-city,2026-01-25,23783,439321,28879,23575,0.5142679392011311,0.3356941204194651,0.6920909893621494,True
mexico-city,2026-02-26,24045,444864,34529,23845,0.4490151674005731,0.3170243004589828,0.6939072572260345,True
mexico-city,2026-03-30,22770,428373,29720,22607,0.44670382329956804,0.3298280277003681,0.7061045234958279,True
mexico-city,2026-04-29,23597,424388,34318,23438,0.4207241801063799,0.30980933147500267,0.7042844429376616,True
mexico-city,2026-05-29,27493,467414,34833,27271,0.4054416779729383,0.28284135773043395,0.6711526570399738,False
mexico-city,2026-06-15,31430,487065,35805,31145,0.4028372665489377,0.30540161609675176,0.6681514476614699,False
mexico-city,2026-07-14,31244,494584,38900,30905,0.43034352585881464,0.3069150982401265,0.6661438996287287,False
mexico-city,2026-08-30,30621,506063,39830,30377,0.41929530017227945,0.3545796710230328,0.6674830998334477,False
nashville,2024-06-22,8994,175265,14104,8963,0.5234668451783258,0.38521824289982276,0.9059372915276851,False
nashville,2024-09-18,9166,175866,12252,9014,0.5558242733525627,0.3855200552227399,0.8973379882173249,False
nashville,2024-12-21,9406,178207,9033,9363,0.3784791199401901,0.2724625298159422,0.9026153519030407,False
nashville,2025-03-15,9585,175568,11199,9543,0.5138845226867861,0.40656793228311616,0.9037037037037037,False
nashville,2025-06-19,9698,176272,14790,9648,0.5121095909342178,0.37739658190528835,0.9038977108682202,False
nashville,2025-09-23,9443,171906,12564,9392,0.5530415956842702,0.3760801154646981,0.9016202478026051,False
nashville,2025-12-27,6594,142302,8027,6572,0.37107425441265973,0.26115844998985593,0.9178040643008796,True
nashville,2026-01-22,6647,145169,9180,6625,0.3638440251572327,0.2933987421383648,0.917556792537987,True
nashville,2026-02-25,6629,145213,7995,6608,0.5023305084745763,0.38729486144740377,0.9238195806305627,True
nashville,2026-03-28,6030,143738,11141,6016,0.5008366578014185,0.38355865839243497,0.9490878938640133,True
nashville,2026-04-25,5997,141281,12288,5990,0.5357762938230384,0.4140938601372658,0.9433049858262464,True
nashville,2026-05-26,8101,167260,14834,8093,0.48745417850817574,0.36077268421269415,0.9275398099000124,True
nashville,2026-06-26,10242,176463,13536,10193,0.5292586415513915,0.39173506872908426,0.9047061120874829,False
nashville,2026-07-21,10173,177618,15135,10127,0.5103650307758139,0.3988457698342166,0.9083849405288509,False
nashville,2026-08-27,10164,180772,14070,10067,0.5026323631667826,0.3944494111674006,0.9072215663124754,False
new-orleans,2025-06-09,7522,90857,6212,7258,0.38469275282446946,0.2996754539052693,0.8606753522999202,False
new-orleans,2025-09-11,7444,86472,4141,7195,0.3797729905026639,0.3460891050884102,0.8469908651262762,False
new-orleans,2025-12-12,7278,84060,5812,7024,0.426623006833713,0.35821943811693235,0.8422643583402033,False
new-orleans,2026-01-16,6160,80068,5714,6122,0.3997114232821518,0.322303894878217,0.8673701298701298,False
new-orleans,2026-02-17,6493,82822,5612,6393,0.4356327232910997,0.3618940855449536,0.8405975666101956,False
new-orleans,2026-03-19,6218,82921,8247,6123,0.4938537753824378,0.3523399931043243,0.8337085879704085,False
new-orleans,2026-04-18,3769,76667,7716,3748,0.5397278548559232,0.3432052650302384,0.8293977182276466,True
new-orleans,2026-05-23,6314,85980,6873,6258,0.3468573559177587,0.252352544298853,0.8230915426037377,False
new-orleans,2026-06-16,7189,85350,6388,7067,0.3866562897976511,0.2901718472399101,0.7970510502156072,False
new-orleans,2026-07-15,7205,85899,5727,7096,0.3636461856444946,0.2930054490792935,0.8109646079111728,False
new-orleans,2026-08-15,7303,88655,5652,7086,0.32885031517546337,0.3289412613290683,0.7952896070108175,False
new-york-city,2025-10-01,36111,143852,10854,30446,0.6628851080601721,0.5416354638814075,0.5307800947079837,False
new-york-city,2025-12-04,36261,140931,9710,30222,0.5898892638916463,0.46475893205097096,0.536444113510383,False
new-york-city,2026-01-15,36282,139169,10057,30175,0.5142137531068766,0.45287489643744827,0.5315032247395403,False
new-york-city,2026-02-13,36445,141503,6511,30324,0.5273391812865498,0.47168139647364016,0.5327479764027987,False
new-york-city,2026-03-16,35979,140824,7448,29782,0.5777695699863452,0.5156033845947217,0.5377581366908475,False
new-york-city,2026-04-14,35036,140754,8927,28838,0.6003074646877962,0.5477105824876127,0.5389884690033109,False
new-york-city,2026-05-14,28994,135696,8798,28209,0.6536140947924421,0.582695042165424,0.5536317858867352,True
new-york-city,2026-06-08,4506,108746,8635,4504,0.5482756068679693,0.4000049338859286,0.33510874389702616,True
new-york-city,2026-06-14,30259,133715,10572,29563,0.6798193688056016,0.5608399388124043,0.5554710995075846,False
new-york-city,2026-07-12,30096,133791,10310,29387,0.6554689715407039,0.5426987745904274,0.5578814460393408,False
new-york-city,2026-08-10,30234,144693,12399,29187,0.6072201094094403,0.5449149735612887,0.5521267447244824,False
paris,2023-12-12,74329,510086,32976,52682,0.635583311187882,0.5815241554146684,0.870037266746492,True
paris,2024-03-16,84397,513726,33140,79193,0.7668215625118382,0.7104650102351919,0.8840124648980414,False
paris,2024-06-10,95885,531706,54158,90173,0.7035753496057577,0.5616153886911208,0.8941231683787871,False
paris,2024-09-06,95461,535233,37426,90467,0.7442408097243562,0.6557761393657355,0.8932234106074732,False
paris,2024-12-06,91031,538049,38446,86529,0.6856348738573195,0.6075347892357219,0.8905537673979194,False
paris,2025-03-03,86064,537867,35821,81496,0.7354086908150912,0.6984744990892532,0.8884086261386875,False
paris,2025-06-06,84055,558402,58004,79902,0.7704104194304691,0.650599762486824,0.8867051335435132,False
paris,2025-09-12,81853,563724,36796,77779,0.7933761040897929,0.6882737556981248,0.8832541262995859,False
paris,2025-12-13,82045,560682,36989,77982,0.6921913603994084,0.6233693530415851,0.8816868791516851,False
paris,2026-01-17,50705,501485,35325,49581,0.5551521752284141,0.47714043686089425,0.8960260329356079,True
paris,2026-02-18,50954,501761,30831,49362,0.5638723444484961,0.5187269559580244,0.8921772579189072,True
paris,2026-03-21,38075,446262,28967,36695,0.6385302266430486,0.5365714372227521,0.8838608010505581,True
paris,2026-04-19,39191,460012,42487,38105,0.5899689454577264,0.5390642814445465,0.8895664821004823,True
paris,2026-05-23,39793,460215,38984,38901,0.7053906069252719,0.5068590067664642,0.8888497977031136,True
paris,2026-06-16,77679,555497,54462,75874,0.7552125892927748,0.6414829556604078,0.8916824366946021,False
paris,2026-07-15,78071,553739,53173,76285,0.6348644338118021,0.6310337695629693,0.8923415865045919,False
paris,2026-08-15,78504,557710,37648,76197,0.6864425983525161,0.6648558633833644,0.8866681952511974,False
rome,2022-12-13,24383,345215,18863,24330,0.637479106726949,0.4761355436817829,0.6784234917770577,False
rome,2023-03-15,24924,367897,24042,24858,0.794129321211146,0.7127890864555118,0.6857647247632803,False
rome,2023-06-10,26256,403311,44496,26163,0.824310412924104,0.6472278493376991,0.6969454600853139,False
rome,2023-09-07,28014,436740,31401,27419,0.8454380782182671,0.5934696540517321,0.7002927107874634,False
rome,2023-12-15,29357,465833,21723,27381,0.5619845878528906,0.4320644080039281,0.7065776475797936,False
rome,2024-03-22,30318,464273,27346,29796,0.7090280574573768,0.6078235706507957,0.7162411768586319,False
rome,2024-06-15,32243,489528,53089,31759,0.6882028191483779,0.5156214686300646,0.7264212387184815,False
rome,2024-09-11,34061,503707,32888,33562,0.7403194088552529,0.5059061504744122,0.7313936760517894,False
rome,2024-12-12,35247,517231,23182,34743,0.48840917594911204,0.3531010243470307,0.7379635146253581,False
rome,2025-03-05,34542,506857,28051,34014,0.6123547166852864,0.5616919177070879,0.7501302761855133,False
rome,2025-06-12,36309,521748,53896,35718,0.5544412714411034,0.4401671115092919,0.753119061389738,False
rome,2025-09-14,37652,532210,36372,37058,0.7097046071923292,0.4761110211620223,0.7514607457771167,False
rome,2025-12-16,37162,551464,22916,34905,0.44705725063266966,0.36537745308695024,0.750444001937463,False
rome,2026-01-18,37328,553210,27909,35071,0.45077224297377705,0.4055424076238995,0.7494106300900129,False
rome,2026-02-18,32824,525874,21872,31252,0.52564209223943,0.47986439978952455,0.7700463075798196,False
rome,2026-03-24,30063,511118,31746,28453,0.6748310078609168,0.5486127219547245,0.7837208528756279,True
rome,2026-04-20,29644,513556,43361,28915,0.7421153957000404,0.5400849232424539,0.8049183645931723,True
rome,2026-05-25,36663,559153,55419,34881,0.6865753084296131,0.49714967397086596,0.7540844993590268,False
rome,2026-06-20,37084,563587,55211,35167,0.5886730931460366,0.45791003560787735,0.7495685470822997,False
rome,2026-07-18,37151,567275,46172,35257,0.5333966777282999,0.4795649721253147,0.750450862695486,False
rome,2026-08-25,37483,570095,33510,35317,0.615087162933809,0.4809009196074915,0.7450844382786863,False
san-diego,2025-03-16,12991,186653,12390,12861,0.5447710131405022,0.41539192563218685,0.8451235470710492,False
san-diego,2025-06-21,12959,181629,15579,12822,0.6597956637030105,0.48683686025754347,0.8414229493016436,False
san-diego,2025-09-25,13162,185752,13206,13027,0.5373864537754919,0.3989526027140212,0.8412855189180976,False
san-diego,2025-12-11,13164,184618,10462,13033,0.4935957441366787,0.38441307109303735,0.8337891218474628,False
san-diego,2025-12-22,13076,184946,9915,12944,0.49709775442933657,0.3858896442796319,0.8357295809115938,False
san-diego,2026-01-23,13095,183858,12035,12965,0.5208561511762437,0.4111959549213695,0.8324551355479191,False
san-diego,2026-02-25,11427,172710,10533,11306,0.5626923757297011,0.405097588301197,0.8531548087862081,False
san-diego,2026-03-29,11765,179496,14324,11640,0.5603465063001145,0.42026345933562426,0.8455588610284743,False
san-diego,2026-04-26,11673,183224,16235,11553,0.5083758908220087,0.4666637814131972,0.8464833376167223,False
san-diego,2026-05-27,11802,187081,13989,11714,0.6161573046497069,0.5118879593269212,0.842399593289273,False
san-diego,2026-06-27,13225,192420,17249,13106,0.6973777913423878,0.503630228733235,0.8374291115311909,False
san-diego,2026-07-21,13192,191180,18074,13080,0.6595846075433232,0.4699031600407747,0.8345209217707702,False
san-diego,2026-08-29,13342,196361,17420,13152,0.5296279399837793,0.40718690862395246,0.8299355418977664,False
sydney,2025-09-12,17730,198103,14667,17615,0.5883962531933011,0.49524458321506293,0.7946418499717992,False
sydney,2025-12-12,20436,206911,19839,20198,0.6257599762352708,0.5092737454753495,0.8026521824231748,False
sydney,2026-01-17,17787,200765,20486,17716,0.5369797546473997,0.4561099821881036,0.802608646764491,False
sydney,2026-02-17,16463,196234,15233,16390,0.6246085011185682,0.4402942173411972,0.7946911255542732,True
sydney,2026-03-21,13563,191712,18928,13542,0.5510387436616945,0.38419895305141205,0.8105876281058763,True
sydney,2026-04-18,13799,195325,15879,13777,0.47630108151266604,0.346623599719339,0.8154938763678528,True
sydney,2026-05-23,14638,198264,13283,14616,0.4387246852764094,0.34591923614912123,0.7954638611832218,True
sydney,2026-06-16,20573,217964,13619,20493,0.49739423217684087,0.4258939366829866,0.7870509891605503,False
sydney,2026-07-15,20736,217539,12995,20649,0.5117665100811984,0.44470542022481585,0.7876157407407407,False
sydney,2026-08-15,20767,218924,13902,20680,0.5500548033526756,0.4698108747044917,0.787740164684355,False
