macro,macro_label,target,target_label,effect_per_unit,effect_unit,lag_quarters,window,n,r,spearman,perm_p,loo_rmse,naive_rmse,loo_mean_rmse,r_ex2021,n_ex2021,r_from2024,r_diff_qoq,method,confidence,confidence_reason,margin_effect_via_chain_pp,margin_chain_detail
usdcad,USD/CAD y/y (%),rev_yoy,revenue y/y (%),-0.1827,revenue y/y (%) per +1 unit of macro,0,2023Q1-2026Q2,14,-0.1275,-0.0549,0.6633,5.1339,3.8358,4.4172,0.0078,18,-0.8315,-0.6873,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.13, perm p 0.66",-0.2909,fx:0.47x-0.62
usdcad,USD/CAD y/y (%),rev_fx_pts,FX effect on revenue (pp),-0.5395,FX effect on revenue (pp) per +1 unit of macro,0,2023Q1-2026Q2,13,-0.702,-0.6566,0.006,1.8752,2.1985,2.4608,-0.6432,17,-0.7671,-0.3045,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,common-trend artefact: r post-2022 -0.70 but r on q/q differences -0.30,-0.2909,fx:0.47x-0.62
usdcad,USD/CAD y/y (%),ebitda_margin_chg,Adj. EBITDA margin change y/y (pp),-0.313,Adj. EBITDA margin change y/y (pp) per +1 unit of macro,0,2023Q1-2026Q2,14,-0.3191,-0.2396,0.2667,2.9729,2.7639,3.0224,-0.081,18,-0.3892,-0.4551,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.32, perm p 0.27",-0.2909,fx:0.47x-0.62
usdcad,USD/CAD y/y (%),sm_pct_chg,S&M % revenue change y/y (pp),-0.097,S&M % revenue change y/y (pp) per +1 unit of macro,1,2023Q1-2026Q2,14,-0.193,-0.3714,0.5095,1.7636,1.4255,1.7273,0.1217,18,-0.0972,0.3816,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.19, perm p 0.51",-0.2909,fx:0.47x-0.62
usdmxn,USD/MXN y/y (%),nights_yoy,nights y/y (%),-0.0986,nights y/y (%) per +1 unit of macro,0,2023Q1-2026Q2,14,-0.4084,-0.5692,0.1608,2.9267,2.954,3.0266,-0.001,18,-0.195,-0.1318,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.41, perm p 0.16",0.0,no medium/high channel
usdmxn,USD/MXN y/y (%),nights_accel,nights acceleration (pp q/q),0.0324,nights acceleration (pp q/q) per +1 unit of macro,1,2023Q1-2026Q2,14,0.1329,0.1297,0.6643,3.2231,4.5718,3.0044,-0.0174,17,0.0451,0.0976,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.13, perm p 0.66",0.0,no medium/high channel
usdmxn,USD/MXN y/y (%),adr_exfx_yoy,ADR y/y ex-FX (%),-0.0312,ADR y/y ex-FX (%) per +1 unit of macro,0,2023Q1-2026Q2,14,-0.3269,-0.2062,0.2557,1.2122,0.9405,1.1942,-0.0445,17,-0.8306,-0.2074,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.33, perm p 0.26",0.0,no medium/high channel
usdmxn,USD/MXN y/y (%),adr_fx_effect,FX effect on ADR (pp),-0.0828,FX effect on ADR (pp) per +1 unit of macro,0,2023Q1-2026Q2,14,-0.4537,-0.4582,0.0959,2.1633,2.053,2.2868,-0.3074,17,-0.6777,-0.522,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),low,"|r|>=0.4, perm p<0.10; fails at least one stability or artefact check",0.0,no medium/high channel
usdmxn,USD/MXN y/y (%),rev_yoy,revenue y/y (%),-0.2779,revenue y/y (%) per +1 unit of macro,0,2023Q1-2026Q2,14,-0.7885,-0.7758,0.001,2.8797,3.8358,4.4172,-0.0833,18,-0.7424,-0.315,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,common-trend artefact: r post-2022 -0.79 but r on q/q differences -0.32,0.0,no medium/high channel
usdmxn,USD/MXN y/y (%),rev_fx_pts,FX effect on revenue (pp),-0.0958,FX effect on revenue (pp) per +1 unit of macro,0,2023Q1-2026Q2,13,-0.4655,-0.5236,0.0989,2.2748,2.1985,2.4608,-0.3564,17,-0.7581,-0.3528,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),low,"|r|>=0.4, perm p<0.10; fails at least one stability or artefact check",0.0,no medium/high channel
usdmxn,USD/MXN y/y (%),ebitda_margin_chg,Adj. EBITDA margin change y/y (pp),-0.1364,Adj. EBITDA margin change y/y (pp) per +1 unit of macro,1,2023Q1-2026Q2,14,-0.5555,-0.6923,0.041,2.8465,2.7639,3.0224,-0.1257,18,-0.4588,-0.0408,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),low,"|r|>=0.4, perm p<0.10; fails at least one stability or artefact check",0.0,no medium/high channel
usdmxn,USD/MXN y/y (%),sm_pct_chg,S&M % revenue change y/y (pp),0.052,S&M % revenue change y/y (pp) per +1 unit of macro,1,2023Q1-2026Q2,14,0.3704,0.3187,0.1828,1.7399,1.4255,1.7273,0.1472,18,0.0543,0.0432,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.37, perm p 0.18",0.0,no medium/high channel
usdbrl,USD/BRL y/y (%),nights_yoy,nights y/y (%),-0.1102,nights y/y (%) per +1 unit of macro,1,2023Q1-2026Q2,14,-0.3644,-0.4242,0.2008,3.0056,2.954,3.0266,-0.1091,18,-0.2425,-0.1628,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.36, perm p 0.20",0.0,no medium/high channel
usdbrl,USD/BRL y/y (%),nights_accel,nights acceleration (pp q/q),-0.0217,nights acceleration (pp q/q) per +1 unit of macro,0,2023Q1-2026Q2,14,-0.0752,-0.2044,0.7832,3.3574,4.5718,3.0044,0.1865,17,-0.0947,-0.2163,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.08, perm p 0.78",0.0,no medium/high channel
usdbrl,USD/BRL y/y (%),adr_exfx_yoy,ADR y/y ex-FX (%),-0.0639,ADR y/y ex-FX (%) per +1 unit of macro,1,2023Q1-2026Q2,14,-0.5357,-0.5688,0.042,1.0694,0.9405,1.1942,-0.4371,17,-0.8775,-0.3519,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),low,"|r|>=0.4, perm p<0.10; fails at least one stability or artefact check",0.0,no medium/high channel
usdbrl,USD/BRL y/y (%),adr_fx_effect,FX effect on ADR (pp),-0.1431,FX effect on ADR (pp) per +1 unit of macro,0,2023Q1-2026Q2,14,-0.651,-0.7247,0.019,1.812,2.053,2.2868,-0.203,17,-0.7768,-0.3972,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),low,"|r|>=0.4, perm p<0.10; fails at least one stability or artefact check",0.0,no medium/high channel
usdbrl,USD/BRL y/y (%),rev_yoy,revenue y/y (%),-0.287,revenue y/y (%) per +1 unit of macro,0,2023Q1-2026Q2,14,-0.676,-0.4901,0.013,3.4572,3.8358,4.4172,-0.3816,18,-0.7302,-0.4677,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),medium,"|r|>=0.6, perm p<0.05, LOO beats mean, sign stable; survives the from-2024 check",0.0,no medium/high channel
usdbrl,USD/BRL y/y (%),rev_fx_pts,FX effect on revenue (pp),-0.1597,FX effect on revenue (pp) per +1 unit of macro,0,2023Q1-2026Q2,13,-0.6179,-0.7839,0.019,2.0175,2.1985,2.4608,-0.1661,17,-0.8139,-0.2744,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,common-trend artefact: r post-2022 -0.62 but r on q/q differences -0.27,0.0,no medium/high channel
usdbrl,USD/BRL y/y (%),ebitda_margin_chg,Adj. EBITDA margin change y/y (pp),-0.1363,Adj. EBITDA margin change y/y (pp) per +1 unit of macro,0,2023Q1-2026Q2,14,-0.4691,-0.4154,0.0959,2.7828,2.7639,3.0224,-0.4015,18,-0.4048,-0.4915,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),low,"|r|>=0.4, perm p<0.10; fails at least one stability or artefact check",0.0,no medium/high channel
usdbrl,USD/BRL y/y (%),sm_pct_chg,S&M % revenue change y/y (pp),0.0304,S&M % revenue change y/y (pp) per +1 unit of macro,0,2023Q1-2026Q2,14,0.1834,-0.1736,0.5355,1.8339,1.4255,1.7273,0.3291,18,-0.1172,0.4036,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.18, perm p 0.54",0.0,no medium/high channel
usdjpy,USD/JPY y/y (%),nights_yoy,nights y/y (%),0.2204,nights y/y (%) per +1 unit of macro,1,2023Q1-2026Q2,14,0.5869,0.367,0.045,3.1302,2.954,3.0266,0.3067,18,-0.1239,-0.0164,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),low,"|r|>=0.4, perm p<0.10; fails at least one stability or artefact check",-0.0915,fx:0.47x-0.19
usdjpy,USD/JPY y/y (%),nights_accel,nights acceleration (pp q/q),-0.1425,nights acceleration (pp q/q) per +1 unit of macro,1,2023Q1-2026Q2,14,-0.3821,-0.4286,0.1768,3.0051,4.5718,3.0044,-0.1877,17,-0.2411,-0.1567,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.38, perm p 0.18",-0.0915,fx:0.47x-0.19
usdjpy,USD/JPY y/y (%),adr_exfx_yoy,ADR y/y ex-FX (%),0.0806,ADR y/y ex-FX (%) per +1 unit of macro,0,2023Q1-2026Q2,14,0.411,0.2742,0.1469,1.1175,0.9405,1.1942,0.7602,17,0.4817,0.71,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.41, perm p 0.15",-0.0915,fx:0.47x-0.19
usdjpy,USD/JPY y/y (%),adr_fx_effect,FX effect on ADR (pp),-0.1948,FX effect on ADR (pp) per +1 unit of macro,1,2023Q1-2026Q2,14,-0.6863,-0.641,0.013,1.7013,2.053,2.2868,-0.7427,17,-0.5885,-0.3572,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),medium,"|r|>=0.6, perm p<0.05, LOO beats mean, sign stable; survives the from-2024 check",-0.0915,fx:0.47x-0.19
usdjpy,USD/JPY y/y (%),rev_yoy,revenue y/y (%),0.3192,revenue y/y (%) per +1 unit of macro,0,2023Q1-2026Q2,14,0.4403,0.5077,0.1069,4.3313,3.8358,4.4172,0.4456,18,0.3245,-0.0466,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.44, perm p 0.11",-0.0915,fx:0.47x-0.19
