grade_datetime,Firm,ToGrade,FromGrade,Action,priceTargetAction,currentPriceTarget,priorPriceTarget,date,source
2021-01-05 15:07:22,William Blair,Outperform,,init,,0.0,0.0,2021-01-05,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-01-15 10:41:37,Truist Securities,Hold,,init,Announces,154.0,0.0,2021-01-15,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-02-22 12:35:57,Loop Capital,Buy,Hold,up,Raises,240.0,150.0,2021-02-22,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-02-26 12:20:26,Needham,Buy,,main,Raises,225.0,200.0,2021-02-26,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-02-26 13:37:40,Credit Suisse,Neutral,,main,Raises,162.0,156.0,2021-02-26,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-02-26 14:45:09,DA Davidson,Buy,,main,Raises,210.0,172.0,2021-02-26,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-02-26 16:21:22,Piper Sandler,Overweight,,main,Raises,198.0,182.0,2021-02-26,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-02-26 16:38:11,Canaccord Genuity,Buy,,main,Raises,220.0,175.0,2021-02-26,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-02-26 16:45:31,Mizuho,Neutral,,main,Raises,176.0,150.0,2021-02-26,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-03-01 13:31:23,Morgan Stanley,Equal-Weight,,main,Raises,160.0,140.0,2021-03-01,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-03-03 14:24:37,Truist Securities,Hold,,main,Raises,180.0,154.0,2021-03-03,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-04-01 16:33:22,Wolfe Research,Peer Perform,,init,Announces,180.0,0.0,2021-04-01,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-04-06 10:51:22,Evercore ISI Group,Outperform,,init,Announces,245.0,0.0,2021-04-06,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-04-27 10:06:13,Needham,Buy,,init,Announces,210.0,0.0,2021-04-27,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-05-14 10:24:51,Needham,Buy,,main,Lowers,194.0,210.0,2021-05-14,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-05-14 11:20:10,Wells Fargo,Overweight,Equal-Weight,up,Announces,200.0,0.0,2021-05-14,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-05-14 13:04:29,Truist Securities,Hold,,main,Lowers,160.0,180.0,2021-05-14,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-05-14 13:43:32,B of A Securities,Neutral,,main,Lowers,180.0,190.0,2021-05-14,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-05-14 13:46:59,Wedbush,Neutral,,main,Lowers,150.0,175.0,2021-05-14,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-05-14 13:56:56,Credit Suisse,Neutral,,main,Raises,164.0,162.0,2021-05-14,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-05-14 13:59:19,Baird,Outperform,,main,Lowers,200.0,210.0,2021-05-14,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-05-14 14:16:45,Mizuho,Neutral,,main,Lowers,165.0,176.0,2021-05-14,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-05-14 14:17:56,Barclays,Equal-Weight,,main,Lowers,140.0,180.0,2021-05-14,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-05-21 11:36:05,Morgan Stanley,Equal-Weight,,main,Lowers,125.0,160.0,2021-05-21,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-05-27 10:40:23,RBC Capital,Outperform,,init,Announces,170.0,0.0,2021-05-27,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-06-09 11:56:28,Loop Capital,Buy,,main,Lowers,195.0,240.0,2021-06-09,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-07-13 12:56:55,Gordon Haskett,Buy,Underperform,up,Announces,172.0,0.0,2021-07-13,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-08-03 08:34:18,Keybanc,Overweight,Sector Weight,up,Announces,180.0,0.0,2021-08-03,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-08-13 10:19:32,Needham,Buy,,main,Raises,200.0,194.0,2021-08-13,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-08-13 10:47:22,JMP Securities,Outperform,,main,Lowers,180.0,190.0,2021-08-13,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-08-13 11:35:07,Credit Suisse,Neutral,,main,Raises,167.0,164.0,2021-08-13,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-08-13 11:50:40,Wells Fargo,Overweight,,main,Raises,210.0,200.0,2021-08-13,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-08-17 10:59:55,Citigroup,Neutral,,main,Raises,152.0,149.0,2021-08-17,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-08-17 12:06:12,Morgan Stanley,Equal-Weight,,main,Raises,140.0,125.0,2021-08-17,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-09-13 10:08:26,Goldman Sachs,Sell,,init,Announces,132.0,0.0,2021-09-13,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-09-27 08:57:24,JP Morgan,Neutral,,init,Announces,170.0,0.0,2021-09-27,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-10-01 13:23:34,Loop Capital,Buy,,main,Raises,205.0,195.0,2021-10-01,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-10-12 11:24:38,Cowen & Co.,Outperform,Market Perform,up,,0.0,0.0,2021-10-12,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-10-25 11:40:05,JMP Securities,Market Outperform,,main,Raises,190.0,180.0,2021-10-25,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-11-05 11:17:01,Needham,Buy,,main,Raises,210.0,200.0,2021-11-05,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-11-05 11:19:19,Credit Suisse,Neutral,,main,Raises,179.0,167.0,2021-11-05,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-11-05 11:56:35,RBC Capital,Outperform,,main,Raises,195.0,170.0,2021-11-05,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-11-05 13:10:05,Mizuho,Neutral,,main,Raises,190.0,165.0,2021-11-05,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-11-05 13:11:20,JMP Securities,Market Outperform,,main,Raises,205.0,190.0,2021-11-05,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-11-08 13:21:43,Wells Fargo,Overweight,,main,Raises,225.0,210.0,2021-11-08,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-11-08 14:32:27,Truist Securities,Hold,,main,Raises,180.0,160.0,2021-11-08,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-11-17 13:12:45,Morgan Stanley,Equal-Weight,,main,Raises,190.0,140.0,2021-11-17,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-12-16 11:10:18,RBC Capital,Sector Perform,Outperform,down,Lowers,175.0,195.0,2021-12-16,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-01-10 15:17:39,Piper Sandler,Neutral,Overweight,down,Lowers,169.0,215.0,2022-01-10,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-01-18 11:16:07,Gordon Haskett,Hold,Buy,down,,0.0,0.0,2022-01-18,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-01-19 13:42:04,Morgan Stanley,Equal-Weight,,main,Lowers,160.0,190.0,2022-01-19,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-02-08 12:07:00,BTIG,Neutral,Buy,down,,0.0,0.0,2022-02-08,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-02-16 09:30:18,Keybanc,Overweight,,main,Raises,210.0,194.0,2022-02-16,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-02-16 11:14:42,Piper Sandler,Neutral,,main,Raises,194.0,169.0,2022-02-16,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-02-16 11:20:02,Needham,Buy,,main,Raises,220.0,210.0,2022-02-16,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-02-16 12:45:37,Mizuho,Neutral,,main,Raises,205.0,190.0,2022-02-16,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-02-16 12:56:53,Morgan Stanley,Equal-Weight,,main,Raises,175.0,160.0,2022-02-16,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-02-16 13:08:14,Credit Suisse,Neutral,,main,Raises,185.0,179.0,2022-02-16,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-02-16 13:41:05,Wolfe Research,Peer Perform,,main,Raises,170.0,150.0,2022-02-16,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-02-16 13:43:00,Baird,Outperform,,main,Raises,210.0,200.0,2022-02-16,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-02-16 15:20:05,DA Davidson,Buy,,main,Raises,235.0,230.0,2022-02-16,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-02-16 15:37:37,Truist Securities,Hold,,main,Raises,190.0,180.0,2022-02-16,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-02-17 12:02:01,Citigroup,Neutral,,main,Raises,214.0,205.0,2022-02-17,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-03-02 15:25:23,Tigress Financial,Buy,,main,Raises,214.0,206.0,2022-03-02,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-03-11 09:55:49,Deutsche Bank,Hold,,init,Announces,150.0,0.0,2022-03-11,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-04-20 08:47:56,Citigroup,Buy,Neutral,up,Lowers,200.0,214.0,2022-04-20,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-05-03 08:29:16,Keybanc,Overweight,,main,Lowers,195.0,210.0,2022-05-03,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-05-04 10:14:00,Piper Sandler,Neutral,,main,Lowers,174.0,194.0,2022-05-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-05-04 10:48:50,Barclays,Equal-Weight,,main,Lowers,170.0,185.0,2022-05-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-05-04 11:29:02,UBS,Neutral,,main,Raises,185.0,178.0,2022-05-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-05-04 11:37:11,Stifel,Hold,,main,Lowers,180.0,205.0,2022-05-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-05-04 11:39:24,Credit Suisse,Neutral,,main,Raises,190.0,185.0,2022-05-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-05-04 13:23:42,Mizuho,Neutral,,main,Lowers,175.0,205.0,2022-05-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-05-05 09:55:43,DA Davidson,Buy,,main,Lowers,210.0,235.0,2022-05-05,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-05-05 11:14:26,Susquehanna,Positive,,main,Lowers,190.0,235.0,2022-05-05,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-05-05 11:47:28,Morgan Stanley,Equal-Weight,,main,Lowers,145.0,175.0,2022-05-05,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-06-03 11:48:10,Truist Securities,Hold,,main,Lowers,160.0,190.0,2022-06-03,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-06-10 11:39:25,Goldman Sachs,Sell,,main,Lowers,95.0,150.0,2022-06-10,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-06-23 12:47:21,Morgan Stanley,Equal-Weight,,main,Lowers,100.0,145.0,2022-06-23,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-06-29 14:00:12,JP Morgan,Neutral,,main,Lowers,110.0,185.0,2022-06-29,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-07-07 14:13:27,Evercore ISI Group,Outperform,,main,Lowers,150.0,205.0,2022-07-07,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-07-14 11:44:17,Truist Securities,Hold,,main,Lowers,120.0,160.0,2022-07-14,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-07-14 14:29:47,Citigroup,Buy,,main,Lowers,160.0,200.0,2022-07-14,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-07-26 12:55:25,Argus Research,Hold,,init,,0.0,0.0,2022-07-26,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-08-01 08:28:47,Keybanc,Overweight,,main,Lowers,145.0,195.0,2022-08-01,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-08-01 12:14:33,Deutsche Bank,Hold,,main,Lowers,120.0,155.0,2022-08-01,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-08-01 13:24:09,UBS,Neutral,,main,Lowers,120.0,185.0,2022-08-01,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-08-03 10:32:26,Needham,Buy,,main,Lowers,150.0,220.0,2022-08-03,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-08-03 10:44:09,Piper Sandler,Neutral,,main,Lowers,121.0,174.0,2022-08-03,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-08-03 11:02:09,Citigroup,Buy,,main,Lowers,140.0,160.0,2022-08-03,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-08-03 12:11:48,Credit Suisse,Neutral,,main,Lowers,165.0,190.0,2022-08-03,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-08-03 12:21:37,Baird,Outperform,,main,Lowers,140.0,155.0,2022-08-03,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-08-03 12:24:06,Mizuho,Neutral,,main,Lowers,135.0,175.0,2022-08-03,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-08-03 12:26:22,Deutsche Bank,Hold,,main,Lowers,110.0,120.0,2022-08-03,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-08-03 12:28:19,Canaccord Genuity,Buy,,main,Lowers,175.0,200.0,2022-08-03,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-08-03 12:30:46,DA Davidson,Buy,,main,Lowers,140.0,210.0,2022-08-03,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-08-03 13:16:08,RBC Capital,Sector Perform,,main,Lowers,115.0,175.0,2022-08-03,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-08-03 14:22:18,Susquehanna,Positive,,main,Lowers,150.0,190.0,2022-08-03,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-08-23 11:28:44,Morgan Stanley,Equal-Weight,,main,Raises,125.0,100.0,2022-08-23,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-09-23 12:21:05,Tigress Financial,Buy,,main,Lowers,160.0,214.0,2022-09-23,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-10-05 13:29:02,Bernstein,Outperform,,init,Announces,143.0,0.0,2022-10-05,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-10-06 13:03:38,Jefferies,Buy,,main,Lowers,138.0,140.0,2022-10-06,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-10-24 12:55:55,Morgan Stanley,Equal-Weight,,main,Lowers,105.0,125.0,2022-10-24,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-11-02 08:28:05,Keybanc,Overweight,,main,Lowers,142.0,145.0,2022-11-02,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-11-02 10:29:43,Piper Sandler,Neutral,,main,Lowers,110.0,121.0,2022-11-02,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-11-02 10:32:32,Goldman Sachs,Sell,,main,Lowers,98.0,100.0,2022-11-02,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-11-02 11:04:18,Credit Suisse,Neutral,,main,Lowers,154.0,165.0,2022-11-02,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-11-02 11:07:34,UBS,Neutral,,main,Lowers,112.0,120.0,2022-11-02,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-11-02 11:09:01,Baird,Outperform,,main,Lowers,120.0,140.0,2022-11-02,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-11-02 11:12:02,Mizuho,Neutral,,main,Lowers,125.0,135.0,2022-11-02,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-11-02 11:33:46,Morgan Stanley,Equal-Weight,,main,Raises,110.0,105.0,2022-11-02,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-11-02 12:32:56,Wells Fargo,Overweight,,main,Lowers,165.0,185.0,2022-11-02,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-11-02 12:34:43,Susquehanna,Positive,,main,Lowers,135.0,150.0,2022-11-02,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-11-22 11:30:51,Barclays,Equal-Weight,,main,Raises,103.0,101.0,2022-11-22,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-11-22 11:32:43,Baird,Neutral,Outperform,down,Lowers,100.0,120.0,2022-11-22,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2022-12-07 09:29:48,Morgan Stanley,Underweight,Equal-Weight,down,Lowers,80.0,110.0,2022-12-07,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2023-01-05 12:31:53,Mizuho,Neutral,,main,Lowers,110.0,125.0,2023-01-05,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2023-01-13 13:05:36,Goldman Sachs,Sell,,main,Lowers,87.0,98.0,2023-01-13,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
