kind,scenario,item,before_prefix,after_fix,delta,delta_pct
price,Base,DCF on FCF,185.3475,182.5889,-2.7586,-1.488
price,Base,DCF on SBC-adjusted FCF,124.628,122.7731,-1.8549,-1.488
price,Base,"EV / FCF, FY27E",154.8054,152.5014,-2.304,-1.488
price,Base,"EV / adj. EBITDA, FY27E",183.609,180.8763,-2.7327,-1.488
price,Base,"EV / adj. EBITDA, FY27E (5 Sep multiples 18/22/25.5x)",238.8549,235.2999,-3.555,-1.488
price,Base,"EV / adj. EBITDA, FY28E",220.8754,217.5115,-3.3639,-1.523
price,Base,Football field high,220.8754,217.5115,-3.3639,-1.523
price,Base,Football field low,112.2504,110.5798,-1.6707,-1.488
price,Base,Football field mean,162.6528,160.2192,-2.4336,-1.496
price,Base,"P / SBC-adjusted FCF, FY27E",119.0288,117.2572,-1.7716,-1.488
price,Base,"P / earnings proxy, FY27E",112.2504,110.5798,-1.6707,-1.488
price,Bull,DCF on FCF,285.2811,281.0114,-4.2697,-1.497
price,Bull,DCF on SBC-adjusted FCF,210.5793,207.4276,-3.1517,-1.497
price,Bull,"EV / FCF, FY27E",221.2472,217.9359,-3.3114,-1.497
price,Bull,"EV / adj. EBITDA, FY27E",237.7142,234.1564,-3.5578,-1.497
price,Bull,"EV / adj. EBITDA, FY27E (5 Sep multiples 18/22/25.5x)",320.0439,315.2539,-4.79,-1.497
price,Bull,"EV / adj. EBITDA, FY28E",293.6146,289.0917,-4.5229,-1.54
price,Bull,Football field high,293.6146,289.0917,-4.5229,-1.54
price,Bull,Football field low,179.1738,176.4921,-2.6817,-1.497
price,Bull,Football field mean,236.239,232.6819,-3.5571,-1.506
price,Bull,"P / SBC-adjusted FCF, FY27E",200.4031,197.4037,-2.9994,-1.497
price,Bull,"P / earnings proxy, FY27E",179.1738,176.4921,-2.6817,-1.497
grid,Base,"grid cell +10% rev, 36.5% margin, 13.5x",154.1568,151.8624,-2.2944,-1.488
grid,Base,"grid cell +10% rev, 36.5% margin, 16.5x",184.4425,181.6973,-2.7451,-1.488
grid,Base,"grid cell +10% rev, 36.5% margin, 18.5x",204.6329,201.5873,-3.0456,-1.488
grid,Base,"grid cell +10% rev, 36.5% margin, 22.0x",239.9662,236.3947,-3.5715,-1.488
