Firm,date,ToGrade,rating_bucket,Action,priceTargetAction,target,priorPriceTarget,upside_vs_181_94_pct,implied_ev_fy27_ebitda_x,implied_ev_fy27_fcf_x,implied_p_fy27_sbc_adj_fcf_x,implied_ev_ltm_ebitda_x,source
Piper Sandler,2026-08-07,Neutral,Hold,main,Raises,170.000,145.000,-6.563,14.425,14.425,25.700,19.909,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
JP Morgan,2026-08-07,Neutral,Hold,main,Raises,170.000,140.000,-6.563,14.425,14.425,25.700,19.909,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
CICC,2026-06-05,Outperform,Buy,init,Announces,165.000,0.000,-9.311,13.939,13.939,24.944,19.263,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
BMO Capital,2026-08-10,Market Perform,Hold,main,Raises,165.000,146.000,-9.311,13.939,13.939,24.944,19.263,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
TD Cowen,2026-02-13,Buy,Buy,main,Raises,160.000,150.000,-12.059,13.452,13.452,24.188,18.616,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Cantor Fitzgerald,2026-08-07,Neutral,Hold,main,Raises,160.000,140.000,-12.059,13.452,13.452,24.188,18.616,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Goldman Sachs,2026-07-20,Sell,Sell,main,Lowers,155.000,157.000,-14.807,12.965,12.965,23.433,17.970,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Deutsche Bank,2026-02-13,Buy,Buy,up,Announces,154.000,0.000,-15.357,12.868,12.868,23.281,17.840,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Barclays,2026-08-07,Equal-Weight,Hold,main,Raises,150.000,125.000,-17.555,12.479,12.479,22.677,17.323,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Truist Securities,2026-06-12,Hold,Hold,main,Raises,134.000,129.000,-26.349,10.921,10.921,20.258,15.254,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Morgan Stanley,2026-07-30,Underweight,Sell,main,Raises,125.000,120.000,-31.296,10.045,10.045,18.897,14.091,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Keybanc,2025-10-23,Sector Weight,Hold,main,,,0.000,,,,,,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Needham,2026-08-07,Hold,Hold,reit,,,0.000,,,,,,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
BTIG,2026-08-07,Neutral,Hold,reit,,,0.000,,,,,,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
