quarter,categories,sentence
1Q21,emea,"We anticipate the pace of recovery in Europe will continue to be heavily influenced by the severity and duration of travel restrictions, but believe we are well positioned to take advantage of the rec"
1Q21,emea|urban,"We have seen significant interest in summer travel in Europe, especially in areas such as non-urban destinations in the U.K."
1Q21,emea|domestic,"In Q1 2021, we saw steady improvement in the region led by the U.K. and France, where there has been some easing of travel restrictions, allowing strong performance in domestic travel."
1Q21,emea|cross_border,"In EMEA, our business was significantly impacted in Q4 2020, especially in countries that had lockdowns and cross-border travel restrictions, and which have historically relied more heavily on cross-b"
1Q21,north_america,"Nights booked (prior to cancellations and alterations) in North America, primarily driven by the U.S., increased to slightly above the level achieved in the same quarter of 2019."
1Q21,north_america,"Between March 11, 2020 (when COVID-19 was officially declared a global pandemic) and the same date in 2021, the average new Host with only one listing in the U.S. earned more than $8,000."
1Q21,latin_america,"Here, Paz and Matias explore a geodesic dome (one of our unique listings) in Región de Valparaíso, Chile on a stay made possible by Superhost Matthieu."
1Q21,emea,We will be expanding the campaign to Italy and Spain in Q2.
1Q21,urban,"We also saw relative strength for growth in nights booked (prior to cancellations and alterations) in what we term low-density urban locations, which are away from areas such as city centers."
1Q21,urban,The pace of growth for nights booked (prior to cancellations and alterations) was strongest in non-urban areas during the quarter.
1Q21,north_america|cross_border,"For instance, an increase in cross-border travel and less relative travel in the U.S. would likely lead to lower overall ADR."
1Q21,north_america|urban,"These include strength in areas such as the U.S., non-urban listings and larger properties."
1Q21,north_america|long_term_stays|domestic,"Areas of strength included North America, domestic travel, nearby stays, long-term stays, and stays in less-densely populated areas."
1Q21,urban,"At the same time, over 40% of our nights booked (prior to cancellations and alterations) took place in high-density urban areas in Q1 2021."
1Q21,urban,We have been able to grow supply to meet this shifting demand: active listings in non-urban areas in Q1 2021 increased almost 30% from the same period in 2019.
1Q21,urban,"We have also seen modest evidence of higher pricing by Hosts in some segments where there has been higher guest demand, such as larger listings in non-urban areas."
1Q21,north_america,"Given the continued resiliency of the North American market, this uncertainty is higher outside of this region."
1Q21,emea,"In Q2 2021, we expect the positive momentum of recovery experienced in Q1 2021 to be partially offset by the continued uncertainty of travel restrictions and lockdowns in EMEA."
1Q21,cross_border,"When guests return to cities and cross-border travel re-opens, our Hosts will be ready."
1Q21,long_term_stays|domestic,"Outlook We are proud of our strong recent performance, driven by our ability to adapt to the ways people have been traveling during the pandemic, including to rural markets, domestic travel, and long-"
1Q21,urban,"While travel to top cities remains depressed, guests are booking in cities and Airbnb’s urban Hosts are ready when urban travel returns to growth. 12 Q1 2021 $887M $(1,172)M $(59)M Revenue Net Loss Ad"
1Q21,urban,"Over the last year, we have seen a shift of guest demand from urban destinations toward more rural areas, with nights booked (prior to cancellations and alterations) to non-urban areas showing strong "
1Q21,urban,Supporting the growth of travel to non-urban and low-density urban destinations has been family and group travel on Airbnb.
1Q21,long_term_stays,"Entering 2020 and during the pandemic, we have seen steady growth in our long-term stays (stays of at least 28 nights) as people continue to live and travel more flexibly."
1Q21,long_term_stays,"In Q1 2021, long-term stays represented 24% of nights booked (prior to cancellations and alterations)."
1Q21,north_america|urban,"The increase in ADR was driven by a continuation of trends that we saw in 2020, such as the strength of bookings in North America, entire homes, and non-urban destinations, all of which tend to have h"
2Q21,emea,"While still lower than Q2 2019 levels, Nights and Experiences Booked increased almost 85% from Q1 2021 primarily led by the U.K., France, Spain and Italy."
2Q21,north_america,Q2 Nights and Experiences Booked nearly matched pre-COVID levels; GBV and revenue exceeded pre-COVID levels; net loss improved; Adjusted EBITDA was positive and demonstrated significant margin expansi
2Q21,latin_america|cross_border|domestic,"• In Latin America, Nights and Experiences Booked were about 15% higher than Q2 2019 levels with continued resilience in certain countries, such as Mexico and Brazil, where domestic travel was strong "
2Q21,emea|cross_border,"• In EMEA, we saw significant increases in Nights and Experiences Booked based on the easing of travel restrictions allowing cross-border travel for fully vaccinated travelers."
2Q21,emea|cross_border,"For example, gross nights booked for cross-border travel within Europe were higher in June 2021 than in June 2019."
2Q21,cross_border|domestic,"Across all regions, domestic gross nights booked represented 73% of gross nights booked during the quarter, which significantly exceeded Q2 2019 levels, but was slightly lower than Q1 2021 as cross-bo"
2Q21,urban,"Urban vs. non-urban As seen in prior quarters, growth for gross nights booked was strongest in non-urban areas during the quarter compared to Q2 2019."
2Q21,north_america|urban,"Travel to high-density urban areas increased in Q2 from Q1 2021, and in the U.S., searches for stays in high-density urban areas almost doubled in June 2021 compared to January 2021."
2Q21,urban,High-density urban areas represented over 40% of our gross nights booked in Q2 2021.
2Q21,long_term_stays,"Trip length In Q2 2021, long-term stays of 28 days or more remained our fastest-growing category by trip length as the way people travel and live continues to change."
2Q21,north_america|urban,"The primary driver of ADR appreciation continues to be the significant mix shift towards bookings in North America, entire homes, and non-urban destinations, all of which tend to have higher ADR."
2Q21,asia_pacific,"• In Asia Pacific, we also saw sequential quarterly growth in Nights and Experiences Booked driven by partial recovery in countries like Australia, Korea and New Zealand."
2Q21,cross_border,"However, Nights and Experiences Booked remained depressed compared to Q2 2019 as many countries in the region have historically been more reliant on cross-border travel. 11 Travel corridors and distan"
2Q21,north_america,"Looking to Q4, vaccination progress, containment of new variants, and travel restrictions outside the U.S. will all continue to be key factors in determining Nights and Experiences Booked and GBV grow"
2Q21,north_america|emea|urban,Active listings in non-urban destinations in Europe and North America increased 8% from Q1 2021 to Q2 2021.
2Q21,long_term_stays,"Airbnb survey data indicates that people plan to continue to travel and live this way, with 81% of our long-term stay guests in Q2 2021 saying they plan to book another long-term stay in the coming ye"
2Q21,north_america|emea,"The sequential improvement reflects continued strength in North America, improvement in EMEA and higher Average Daily Rates (“ADR”)."
2Q21,north_america|emea,EX-99.1 2 d212971dex991.htm EX-99.1 EX-99.1 Exhibit 99.1 Q2 2021 Nights and Experiences Booked Airbnb’s business has continued to be highly resilient with Q2 2021 Nights and Experiences Booked nearly 
2Q21,emea,"Today, he’s seeing mostly single travelers coming from places across Europe, many of them using his peaceful living space and plant-covered balconies as their own personal office. “The people who are "
2Q21,north_america,"On September 30, 2021, we’ll begin offering dedicated Superhost support, initially in North America, and rolling it out globally throughout 2021. 10 Q2 2021 Business and Financial Performance Q2 2021 "
2Q21,north_america|emea,"In particular, North America remained strong, while EMEA benefited from reduced travel restrictions."
2Q21,north_america,"Here are some regional highlights: • North America showed continued strength, with Nights and Experiences Booked increasing about 25% above the level achieved in the same quarter of 2019, primarily dr"
2Q21,long_term_stays,"Even as pre-pandemic types of travel rebound, we believe many new booking trends are here to stay, including stays outside of top destinations and long-term stays."
2Q21,emea,We expanded the campaign to Italy and Spain in Q2.
2Q21,long_term_stays,And long-term stays (defined as stays of at least 28 nights) remained our fastest-growing category by trip length.
2Q21,north_america|emea|asia_pacific,"The campaign launched in Q1 on television and digital channels in five of our largest markets: the U.S., France, the U.K., Canada and Australia."
2Q21,asia_pacific,"People staying in my flat felt like they were staying at home.” That trend continued even during the pandemic, when Greece went into lockdown and Yannis found himself hosting a brother and sister from"
2Q21,urban,The number of active listings grew from Q1 2021 to Q2 2021 and growth was strongest in non-urban areas—areas where guest demand was highest.
2Q21,urban,"In the second half of 2021, we expect ADR to gradually moderate based on the anticipated shift in regional composition and return to urban destinations."
2Q21,north_america|emea,"Guests from countries with high vaccination rates, including the U.S. and parts of Europe, are driving the travel recovery."
2Q21,north_america,"Before the pandemic, Yannis was seeing a lot of families and people from the U.S."
3Q21,long_term_stays,"Our Hosts welcome this growing demand 2 Data collected September 20-26, 2021 from 7,500 people across five countries. 4 for long-term stays."
3Q21,long_term_stays,The increased popularity of long-term stays are turning traveling into living.
3Q21,urban,"Meanwhile, we’ve seen urban travel gradually returning, but fanning out beyond iconic cities."
3Q21,north_america|cross_border,"As more countries continue to reduce travel restrictions (including the U.S. reopening to fully vaccinated travelers beginning on November 8), we expect the continued recovery of cross-border travel t"
3Q21,long_term_stays,"More than 90% of active listings now accept long-term stays, and the number of active listings that offer the monthly discount is up 20% from Q3 2019."
3Q21,cross_border,"In fact, in October we saw meaningful incremental recovery of cross-border gross nights booked, which are now approximately 80% of 2019 levels."
3Q21,urban,High-density urban areas represented 46% of our gross nights booked in Q3 2021 compared to just over 40% in Q2 2021.
3Q21,urban,"Searches for stays in high-density urban areas have also grown each quarter, and were over 60% higher in Q3 2021 compared to Q1 2021."
3Q21,long_term_stays,"Trip length In Q3 2021, long-term stays of 28 days or more remained our fastest-growing category by trip length compared to 2019 as the way people travel and live continues to change."
3Q21,north_america|urban,"We continued to see significant mix shift towards bookings in North America, entire homes, and non-urban destinations, all of which tend to have higher ADR."
3Q21,urban,The number of active listings has grown every quarter this year and growth was again strongest in non-urban areas—areas where guest demand was highest.
3Q21,north_america|emea|latin_america,"Consistent with where we’ve seen bookings recover, we’ve seen the most growth in active listings in Latin America with 25% in Q3 2021 compared to Q3 2019, followed by North America with 10% and EMEA w"
3Q21,cross_border|domestic,"Travel corridors and distance We are seeing recovery in both longer-distance and cross-border travel this year, while domestic and short-distance travel continue to be more popular than 2019 levels."
3Q21,north_america,"As of the end of September, our backlog had over 40% more nights booked for Thanksgiving week in the U.S. than at the same time in 2019."
3Q21,cross_border,"Looking to 2022, vaccination progress and the recovery of international travel in Q4 2021 will be key themes for growth heading into the new year."
3Q21,north_america|emea|latin_america,"The sequential acceleration reflects continued strength in North America, EMEA and Latin America, as well as high ADRs."
3Q21,urban,Travel to high-density urban areas increased in Q3 from the prior quarter.
3Q21,urban,"Urban vs. non-urban As seen in prior quarters, growth for gross nights booked was strongest in non-urban areas during the quarter compared to Q3 2019."
3Q21,urban,"Instead of guests traveling to the same historically popular urban destinations, we’ve seen consistent demand growth in both nearby and rural destinations."
3Q21,north_america|emea|asia_pacific,"• The travel recovery has been dominated by our higher ADR regions—North America and Europe, in particular—helping to drive strong unit economics and our overall profitability, whereas our lowest ADR "
3Q21,north_america|emea|latin_america,EX-99.1 2 d245727dex991.htm EX-99.1 EX-99.1 Exhibit 99.1 Q3 2021 Nights and Experiences Booked Airbnb saw continued strength in Nights and Experiences Booked in both North America and EMEA and acceler
3Q21,asia_pacific,"In addition, lockdowns in Australia and short-term rental restrictions in China contributed to the lower Nights and Experiences Booked."
3Q21,north_america|emea|urban,Destinations where we are seeing strong demand continue to show the strongest supply growth; active listings in non-urban Europe and North America increased almost 15% from Q1 2021 to Q3 2021.
3Q21,north_america,We’ve rolled this out in North America and plan to expand the service to all Superhosts globally by the end of the year.
3Q21,north_america,"Housing 20,000 Afghan refugees To help support the resettlement of Afghans here in the U.S. and elsewhere, in August, Airbnb.org committed to providing temporary housing to 20,000 Afghan refugees worl"
3Q21,asia_pacific,"Excluding Asia Pacific, global Nights and Experiences Booked exceeded 2019 levels in the quarter."
3Q21,north_america|emea|latin_america,"In Q3 2021, we saw continued strength in North America and EMEA and an acceleration in Latin America relative to Q2."
3Q21,north_america,"Here are some regional highlights: • North America remained strong, with Nights and Experiences Booked increasing over 10% above the level achieved in the same quarter of 2019, primarily driven by the"
3Q21,emea|events,This was primarily due to an increase in brand marketing expense related to our Made possible by Hosts campaign and Olypara campaign run during the Olympic and Paralympic Games.
3Q21,long_term_stays,"Long-term stays of 28 days or more remained our fastest-growing category by trip length and accounted for 20% of gross nights booked in Q3 2021, up from 14% in Q3 2019."
3Q21,urban,We continue to expect ADR to moderate over time based on the recovery of lower ADR regions and return to urban destinations.
3Q21,asia_pacific|cross_border,"• In Asia Pacific, Nights and Experiences Booked remained depressed compared to Q3 2019 as many countries in the region have historically been more reliant on cross-border travel."
3Q21,latin_america|cross_border|domestic,"• In Latin America, Nights and Experiences Booked were approximately 20% higher than Q3 2019 levels with continued resilience in certain countries, such as Brazil and Mexico, where domestic and cross-"
3Q21,emea,"• In EMEA, Nights and Experiences Booked nearly recovered to 2019 levels and year-over-two-year growth accelerated from Q2 to Q3."
4Q21,cross_border|domestic,"Travel corridors and distance We saw recovery in both longer-distance and cross-border travel in 2021, while domestic and short-distance travel continued to be more popular than 2019 levels."
4Q21,north_america|urban,"We continued to see significant mix shift towards bookings in North America, entire homes, and non-urban destinations, all of which tend to have higher ADR."
4Q21,north_america,The sequential increase in ADR from the prior quarter of $149 was primarily driven by continued strength in North America.
4Q21,urban,"Growth was again strongest in non-urban areas, where guest demand was highest."
4Q21,cross_border|urban,"Similar to cross-border travel, gross nights booked in high-density urban areas have seen a sequential acceleration every quarter in 2021."
4Q21,urban,"Share of travel to high-density urban areas increased in Q4 2021 from the prior quarter, representing 49% of our gross nights booked in Q4 2021 compared to 46% in Q3 2021."
4Q21,urban,"Urban vs. non-urban As seen in prior quarters, growth for gross nights booked was strongest in non-urban areas during Q4 2021 compared to Q4 2019."
4Q21,cross_border,"As more countries continue to reduce travel restrictions, we expect a continued, albeit choppy, recovery of cross-border travel to be a tailwind to future quarterly results."
4Q21,cross_border,"Gross nights booked for cross-border travel recovered to 76% of 2019 levels in Q4 2021, up from only 33% of 2019 levels in Q1 2021."
4Q21,north_america|emea,"In the U.S. and Europe in particular, we are seeing lead-time for bookings made in Q1 2022 return to pre-pandemic levels."
4Q21,latin_america|asia_pacific,"We are also seeing strong demand coming out of Latin America, while growth in APAC has not yet recovered to 2019 levels."
4Q21,long_term_stays,"Trip length In Q4 2021, long-term stays of 28 days or more remained our fastest-growing category by trip length compared to 2019 as the way people travel and live continues to change."
4Q21,north_america|emea|latin_america,"Consistent with where we’ve generally seen bookings recover, we’ve seen the most active listings growth in Q4 2021 compared to Q4 2019 in Latin America, followed by North America and EMEA. 13 Q4 2021 "
4Q21,asia_pacific,"A meaningful recovery in Asia Pacific, which is still heavily impacted by travel restrictions, and / or a normalization in cancellations could be sources of sequential acceleration relative to 2019."
4Q21,urban,Gross nights booked growth at urban destinations in Q4 2021 accelerated from Q3 2021 and have nearly recovered to Q4 2019 levels.
4Q21,north_america|urban,"We continue to see the greatest growth in supply where we see the greatest growth in demand, including active listings growth of 20% year-over-year in non-urban destinations in North America."
4Q21,cross_border,"As cross-border travel recovers, we wanted to improve the translations on Airbnb, so we created the Translation Engine, new technology that automatically translates listing descriptions and reviews."
4Q21,long_term_stays,"As participants in Airbnb’s Live Anywhere project, Stephanie, Peter and their toddler son Hays are spending a year living on Airbnb through a series of long-term stays."
4Q21,emea|asia_pacific,"Always the hosts, they are welcoming friends and family members—Stephanie’s parents already have met up with them in Italy, Greece, Thailand and Sri Lanka—who visit to share the experiences with them."
4Q21,long_term_stays,"Meanwhile, long-term stays of 28 nights or more remained our fastest growing category by trip length and accounted for 22% of gross nights booked in Q4, up 16% from Q4 2019."
4Q21,urban,"Domestic and non-urban travel have grown throughout the pandemic, with non-urban gross nights booked up nearly 45% compared to Q4 2019."
4Q21,north_america|emea|latin_america,EX-99.1 2 d251410dex991.htm EX-99.1 EX-99.1 Exhibit 99.1 Shareholder Letter Q4 2021 Q4 2021 FY 2021 Nights and Experiences Booked Airbnb saw continued strength in Nights and Experiences Booked in Nort
4Q21,cross_border,"Finally, cross-border travel continues to recover and has accelerated each quarter in 2021, recovering to nearly 35% of global gross nights booked in Q4 2021, up from 20% in Q1 2021."
4Q21,emea,"The impact of Omicron on bookings and cancellations was lower than we experienced with Delta last summer, which was also significantly lower than the impact of the surge in COVID cases in EMEA, in par"
4Q21,asia_pacific,"However, Nights and Experiences Booked increased 22% compared to Q3 2021 primarily due to the lifting of certain travel restrictions in countries such as Australia."
4Q21,asia_pacific|cross_border,"• In Asia Pacific, Nights and Experiences Booked remained depressed compared to Q4 2019 as many countries in the region that have historically been more reliant on cross-border travel remained closed."
4Q21,north_america|urban,"In the U.S., gross nights booked for urban travel were up compared to Q4 2019."
4Q21,asia_pacific,"• Excluding Asia Pacific, global Nights and Experiences Booked exceeded 2019 levels by 8% in the quarter."
4Q21,emea|latin_america|cross_border|domestic,"• In EMEA, Nights and Experiences Booked were slightly below 2019 levels due primarily to the emergence and uncertainty around Omicron. 11 • In Latin America, Nights and Experiences Booked were 22% hi"
4Q21,north_america,"Here are some Q4 regional highlights: • North America remained strong, with Nights and Experiences Booked increasing 20% above the level achieved in the same quarter of 2019, primarily driven by the U"
4Q21,long_term_stays,"At their urging, a group of fellow Live Anywhere participants traveling around the US are having a long-term stay in their Southside Chattanooga neighborhood."
4Q21,north_america|latin_america|asia_pacific,"In Q4 2021, we saw continued strength in North America and significant growth in Latin America and Asia Pacific relative to Q3."
4Q21,long_term_stays,"Meanwhile, Hosts are responding to this demand for longer stays, as the percentage of active listings accepting stays of 28 nights or longer was over 90% at the end of Q4. 2 A reconciliation of non-GA"
1Q22,north_america|emea,"To date, more than 34,000 people have signed up to offer their homes to refugees through Airbnb.org, including more than 20,000 across Europe and more than 7,000 in the U.S."
1Q22,north_america,"Specifically, Nights and Experiences Booked in Q1 increased nearly 55% above the level achieved in the same quarter of 2019, and 25% above Q1 2021, primarily driven by the U.S."
1Q22,north_america,"Q1 2022 regional highlights include: • North America remained strong, with Nights and Experiences Booked showing compounding growth on top of the recovery experienced in 2021."
1Q22,asia_pacific,"In Q1 2022, we did see sequential recovery relative to Q4 in the region, excluding China where 9 record levels of COVID cases were confirmed and severe lockdowns began."
1Q22,urban,"And as demand returns to cities, we are also seeing a return to growth in total urban supply."
1Q22,latin_america|cross_border|domestic,"• In Latin America, Nights and Experiences Booked were about 65% higher than Q1 2019 with continued resilience in certain countries, such as Brazil and Mexico, where both domestic and inbound cross-bo"
1Q22,asia_pacific|cross_border,"• In Asia Pacific, Nights and Experiences Booked remained depressed compared to Q1 2019 as the region has historically been more reliant on cross-border travel than other regions."
1Q22,cross_border|domestic,"Geographic mix The trends in our recovery continue to vary by region due to a variety of factors, including the emergence of COVID variants, vaccination rates, COVID caseloads and associated travel re"
1Q22,emea,"More than 14,000 people have now received temporary accommodations through Airbnb.org in Europe."
1Q22,asia_pacific,"We will be ready for this rebound, and expect APAC to represent a significant growth opportunity for Airbnb over the long-term."
1Q22,emea,"• In EMEA, Nights and Experiences Booked were above Q1 2019 levels for the first time since the pandemic began."
1Q22,asia_pacific,"As borders continue to open and pent-up demand in the region is realized, we expect a similar rebound in APAC as we have seen in other regions."
1Q22,asia_pacific,"• Excluding Asia Pacific, global Nights and Experiences Booked exceeded 2019 levels by nearly 40% in Q1 2022."
1Q22,north_america|urban,"Mix shift has been primarily towards bookings in North America, entire homes, and non-urban destinations, all of which tend to have higher ADR."
1Q22,urban,"Growth was again strongest in non-urban areas, where guest demand was highest."
1Q22,cross_border,"Gross nights booked for cross-border travel recovered to 2019 levels in Q1 2022, up from only 33% of 2019 levels in Q1 2021 and 76% of 2019 levels in Q4 2021."
1Q22,cross_border|domestic,"Travel corridors and distance While domestic and short-distance travel continued to be more popular than in 2019, we saw continued improvement in both longer-distance and cross-border travel during Q1"
1Q22,cross_border,"As more countries continue to reduce travel restrictions, we expect a continued, albeit choppy, recovery of cross-border travel to be a further tailwind to future results."
1Q22,urban,"The 5% year over year increase from Q1 2021 was entirely driven by price appreciation, which more than offset some negative impact from mix as urban destinations and other bookings that tend to have l"
1Q22,long_term_stays,"Trip length In Q1 2022, long-term stays of 28 days or more remained our fastest-growing category by trip length compared to 2019 as the way people travel and live continues to change."
1Q22,urban,"Gross nights booked to high-density urban areas increased 80% in Q1 2022 compared to the same prior year quarter, representing 46% of our gross nights booked in Q1 2022, up from 41% in Q1 2021, but st"
1Q22,urban,"Urban vs. non-urban As seen in prior quarters, growth for gross nights booked was strongest in non-urban areas during Q1 2022 compared to Q1 2019."
1Q22,long_term_stays,"While the percentage of long-term stays varies depending on short-term stays, the number of long-term stays were at an all-time high in Q1 2022."
1Q22,north_america|emea|latin_america,"EX-99.1 2 d711122dex991.htm EX-99.1 EX-99.1 Exhibit 99.1 Q1 2022 Nights and Experiences Booked In Q1 2022, Nights and Experiences Booked surpassed pre-pandemic levels and exceeded 100 million for the "
1Q22,urban,"At the beginning of the pandemic, guests preferred to travel to non-urban destinations close to home."
1Q22,urban,We continue to see this trend persist with Q1 2022 non-urban gross nights booked increasing 80% compared to Q1 2019.
1Q22,long_term_stays,"While short-term stays rebounded strongly in Q1 2022, long-term stays of 28 days or more continue to be our fastest-growing category by trip length compared to 2019."
1Q22,cross_border|urban,"Gross nights booked to high-density urban destinations grew 80% compared to Q1 2021, exceeding pre-pandemic Q1 2019 levels, and gross nights booked for cross-border travel more than tripled from Q1 20"
1Q22,north_america,"As we lap the beginning of the travel rebound that started last year, we are particularly encouraged by the compounding growth we are seeing in North America."
1Q22,north_america|emea,"Heading into peak travel season in Q3 2022, we are seeing substantial demand for summer travel months in EMEA and North America."
1Q22,emea|asia_pacific|cross_border,"Opportunities for acceleration in nights booked include further improvement in EMEA, meaningful recovery in Asia Pacific, a normalization of cancellations, and incremental growth from cross-border tra"
1Q22,north_america|emea|latin_america,"Consistent with where we’ve generally seen bookings recover, we’ve seen the most active listings growth in Q1 2022 compared to Q1 2019 in Latin America, followed by North America and EMEA. 11 Q1 2022 "
1Q22,urban,"And as demand returns to cities, we are also seeing a return to growth in total urban supply."
1Q22,north_america|emea|latin_america,"Outlook Nights and Experiences Booked and GBV One month into the second quarter of 2022, we are excited about the continuing strong demand coming out of North America, EMEA and Latin America."
1Q22,emea|latin_america,"Specifically, in Europe and Latin America, we saw the number of nights stayed for the Easter holiday in April eclipse 2019 levels."
1Q22,north_america|domestic,U.S. domestic demand this year has so far outpaced our internal expectations and we are encouraged by U.S. international bookings exceeding 2019 levels.
1Q22,north_america|urban,"Destinations with the strongest demand are showing the most supply growth, with non-urban active listings growing 21% in North America and 15% globally, compared to Q1 2021."
2Q22,latin_america|cross_border|domestic,"Despite the continued war in Ukraine, Nights and Experiences Booked experienced sequential growth, up by 11% compared to Q1 2022 and 26% compared to Q2 2019. 9 • In Latin America, Nights and Experienc"
2Q22,asia_pacific|domestic,"• During the quarter, we shared our decision to close the domestic business in China and instead focus on the outbound China business."
2Q22,urban,"Gross nights booked to high-density urban areas in Q2 2022 accelerated from Q1 2022, and once again exceeded pre-pandemic levels."
2Q22,cross_border,"We also saw gross nights booked for cross-border travel not only surpass pre-pandemic levels, but double compared to Q2 2021, demonstrating the tremendous recovery compared to last year."
2Q22,long_term_stays,"In Q2 2022, long-term stays of 28 days or more remained our fastest-growing category by trip length compared to 2019."
2Q22,urban,"Active listings for non-urban destinations were up nearly 50% compared to Q2 2019, driven by continued demand for non-urban nights."
2Q22,north_america,"As a result of the strengthening U.S. dollar in Q2 2022, especially in comparison to the Euro, metrics such as revenue and GBV, excluding the effects of foreign currency fluctuations, are significantl"
