quarter,total_nights_yoy_pct,total_gbv_yoy_pct,total_revenue_yoy_pct,global_adr_exfx_yoy_pct,na_nights_yoy_lo,na_nights_yoy_hi,na_nights_yoy_mid,na_basis,na_phrase,na_adr_yoy_reported_pct,na_adr_yoy_exfx_pct,emea_nights_yoy_lo,emea_nights_yoy_hi,emea_nights_yoy_mid,emea_basis,emea_phrase,emea_adr_yoy_reported_pct,emea_adr_yoy_exfx_pct,latam_nights_yoy_lo,latam_nights_yoy_hi,latam_nights_yoy_mid,latam_basis,latam_phrase,latam_adr_yoy_reported_pct,latam_adr_yoy_exfx_pct,apac_nights_yoy_lo,apac_nights_yoy_hi,apac_nights_yoy_mid,apac_basis,apac_phrase,apac_adr_yoy_reported_pct,apac_adr_yoy_exfx_pct,na_nights_share_est_pct,na_revenue_musd,na_revenue_yoy_pct,na_revenue_share_pct,emea_nights_share_est_pct,emea_revenue_musd,emea_revenue_yoy_pct,emea_revenue_share_pct,latam_nights_share_est_pct,latam_revenue_musd,latam_revenue_yoy_pct,latam_revenue_share_pct,apac_nights_share_est_pct,apac_revenue_musd,apac_revenue_yoy_pct,apac_revenue_share_pct,us_revenue_musd,non_us_revenue_musd,us_revenue_share_pct,cross_border_share_pct,cross_border_growth_pct,cross_border_to_na_growth_pct,cross_border_to_apac_growth_pct,cross_border_to_emea_growth_pct,urban_share_pct,urban_growth_pct,long_term_stay_share_pct,domestic_share_pct,na_share_of_nights_pct_disclosed,ex_na_nights_growth_pct_disclosed,latam_domestic_growth_pct,brazil_origin_growth_pct,india_origin_growth_pct,japan_domestic_growth_pct,china_outbound_growth_pct,first_time_booker_growth_pct,expansion_market_growth_vs_core,events_and_shocks,weighted_avg_nights_yoy_pct,residual_vs_total_pp,ex_na_nights_yoy_est_pct,na_contribution_pp,emea_contribution_pp,latam_contribution_pp,apac_contribution_pp
2Q23,10.99,12.35,18.06,2.0,-1.0497766821759624,2.9502233178240376,0.95,derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR),acceleration in y/y growth compared to the prior quarter; ADR -1%,-1.0,,9.940223317824039,13.940223317824039,11.94,derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR),"hard comparison, deceleration relative to Q1 2023; ADR +8%",8.0,,22.0,22.0,22.0,numeric,22% higher than Q2 2022,,,24.0,24.0,24.0,numeric,24% year-over-year growth,,,35.5,1192.0,8.56,47.99,38.0,941.0,28.55,37.88,12.2,163.0,18.98,6.56,14.3,188.0,37.23,7.57,,,,45.0,16.0,20.0,80.0,15.0,48.0,13.0,18.0,,,,,,,,,,,,10.99,0.0,16.52,0.34,4.53,2.69,3.43
3Q23,13.54,17.31,17.79,0.5,5.623932418924446,9.623932418924447,7.62,derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR),modest acceleration compared to the prior quarter; ADR -1%,-1.0,,8.543932418924443,12.543932418924443,10.54,derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR),sequential improvement in the y/y growth rate; ADR ex-FX +6%,,6.0,24.0,24.0,24.0,numeric,24% higher than Q3 2022,,,27.0,27.0,27.0,numeric,sequential acceleration in y/y growth of 27%,,,34.6,1478.0,11.46,43.51,38.8,1533.0,21.38,45.13,12.1,178.0,28.06,5.24,14.4,208.0,33.33,6.12,,,,45.0,17.0,25.0,,11.0,49.0,15.0,18.0,,,,,,,,100.0,,,,13.54,0.0,16.68,2.64,4.09,2.91,3.9
4Q23,12.02,14.82,16.61,0.5,1.6542339453127815,5.6542339453127815,3.65,derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR),continued solid growth; ADR flat (-2% ex-FX and mix),0.0,-2.0,10.294233945312781,14.294233945312781,12.29,derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR),stable growth compared to the prior quarter; ADR ex-FX +6%,,6.0,22.0,22.0,22.0,numeric,22% higher than Q4 2022,,,22.0,22.0,22.0,numeric,increased 22% on a year-over-year basis,,,33.9,1043.0,8.2,47.02,38.7,683.0,22.84,30.79,12.6,248.0,31.22,11.18,14.8,244.0,26.42,11.0,,,,44.0,13.0,15.0,29.0,,51.0,11.0,19.0,,,,,,,,90.0,,,,12.02,0.0,16.31,1.24,4.76,2.77,3.25
1Q24,9.5,12.26,17.82,2.0,-2.0670860416368946,1.9329139583631054,-0.07,derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR),domestic travel was stable; ADR +3% (flat ex-FX and mix),3.0,0.0,8.002913958363106,12.002913958363106,10.0,derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR),relative strength in non-urban and group; ADR +7% (+4% ex-FX and mix),7.0,4.0,19.0,19.0,19.0,numeric,grew 19% in Q1 2024,,,21.0,21.0,21.0,numeric,increased 21% on a year-over-year basis,,,33.3,1015.0,9.73,47.39,38.4,567.0,23.8,26.47,13.2,307.0,30.64,14.33,15.1,253.0,26.5,11.81,,,,46.0,10.0,,28.0,,,,17.0,,,,,,,,80.0,,more than double core markets,Paris Olympics nights booked 5x a year ago; Euro Cup Germany ~2x,9.5,0.0,14.28,-0.02,3.84,2.5,3.18
2Q24,8.69,11.0,10.63,3.0,2.120838105811379,6.120838105811379,4.12,derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR),slight acceleration of y/y growth relative to Q1 2024; ADR +4% (+1% ex-FX and mix),4.0,1.0,3.760838105811379,7.760838105811379,5.76,derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR),relatively stable y/y growth compared to the prior quarter; ADR +4% (+3%),4.0,3.0,17.0,17.0,17.0,numeric,grew 17% in Q2 2024,,,19.0,19.0,19.0,numeric,increased 19% on a year-over-year basis,,,33.3,1308.0,9.73,47.6,38.5,1048.0,11.37,38.14,13.2,185.0,13.5,6.73,15.1,207.0,10.11,7.53,,,,,,,22.0,,,,,,,,24.0,,,,,,significantly outperformed core,July 4 week highest NA revenue week ever; Paris Olympics >400k guests,8.69,0.0,10.97,1.37,2.22,2.24,2.86
3Q24,8.48,9.84,9.86,2.0,1.3467552528563522,5.346755252856353,3.35,derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR),continued growth on a y/y basis; ADR +3% (+1% ex-FX and mix),3.0,1.0,4.576755252856351,8.576755252856351,6.58,derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR),"slight acceleration compared to the prior quarter, buoyed by the Paris Games; ADR +6% (+3%)",6.0,3.0,15.0,15.0,15.0,numeric,grew 15% in Q3 2024,,,19.0,19.0,19.0,numeric,"increased 19% y/y, stable with the prior quarter",,,32.8,1572.0,6.36,42.12,39.1,1726.0,12.59,46.25,13.0,199.0,11.8,5.33,15.0,235.0,12.98,6.3,,,,,,,23.0,,,,,,,,21.0,,,,,,more than double core,Paris Games ~700k guests; EMEA acceleration,8.48,0.0,10.99,1.1,2.57,1.95,2.85
4Q24,12.35,13.55,11.81,2.0,4.0,6.0,5.0,bucket,"mid-single digits growth, an acceleration relative to Q3 2024",3.0,,10.0,12.0,11.0,bucket,low-double digits growth,6.0,6.0,20.0,23.0,21.5,bucket,low-20s growth; domestic nights +30%,-5.0,4.0,20.0,23.0,21.5,bucket,low-20s growth; cross-border nights +27%,,2.0,32.4,1111.0,6.52,44.8,39.1,794.0,16.25,32.02,13.1,278.0,12.1,11.21,15.4,297.0,21.72,11.98,,,,,,,27.0,,,,,,,,30.0,21.0,,,25.0,,more than twice core,,12.05,0.3,15.43,1.62,4.3,2.81,3.32
1Q25,7.92,6.99,6.07,1.0,1.0,3.0,2.0,bucket,low-single digits growth; softness Canada to U.S. late in Q1,2.0,3.0,4.0,6.0,5.0,bucket,mid-single digits growth,2.0,4.0,20.0,23.0,21.5,bucket,low-20s growth; Brazil origin +27%,-7.0,2.0,14.0,16.0,15.0,bucket,mid-teens growth; Japan domestic >20%,-1.0,3.0,32.2,1054.0,3.84,46.39,38.9,597.0,5.29,26.28,13.4,343.0,11.73,15.1,15.6,278.0,9.88,12.24,,,,,,,,,,,,,30.0,11.0,,27.0,,21.0,,,significantly outperformed core (5 quarters),,7.8,0.12,10.55,0.64,1.94,2.88,2.34
2Q25,7.43,10.85,12.66,1.0,1.0,3.0,2.0,bucket,low-single digit growth; U.S. destination nights accelerated each month,3.0,,4.0,6.0,5.0,bucket,mid-single digit growth; Germany double-digit,9.0,3.0,17.0,19.0,18.0,bucket,high-teens growth; Brazil origin high-teens,-3.0,2.0,14.0,16.0,15.0,bucket,mid-teens growth; Japan accelerated,2.0,1.0,31.5,1377.0,5.28,44.48,39.2,1233.0,17.65,39.83,13.5,231.0,24.86,7.46,15.8,255.0,23.19,8.24,,,,,,,,,,,,,30.0,,,18.0,,,,,about twice core (6 quarters),,7.39,0.04,9.87,0.63,1.96,2.43,2.37
3Q25,8.8,13.93,9.73,2.0,4.0,6.0,5.0,bucket,"mid-single digit growth, sequential acceleration (Reserve Now Pay Later)",5.0,,4.0,6.0,5.0,bucket,mid-single digit growth; unfavourable Paris 2024 comparison,10.0,4.0,20.0,23.0,21.5,bucket,low-20s growth; Brazil origin >20%,4.0,3.0,14.0,16.0,15.0,bucket,mid-teens growth; Japan domestic +27%,2.0,3.0,30.7,1619.0,2.99,39.54,40.0,1969.0,14.08,48.08,13.5,235.0,18.09,5.74,15.8,272.0,15.74,6.64,,,,,,,,,,,,,30.0,,,21.0,,27.0,,,"twice core, LTM",EMEA faced Paris 2024 comparison,8.81,-0.01,10.49,1.54,2.0,2.9,2.37
4Q25,9.82,15.91,12.02,3.0,4.0,6.0,5.0,bucket,mid-single digit growth; domestic and longer lead times,5.0,,7.0,9.0,8.0,bucket,"high-single digit growth, acceleration vs Q3 (UK, Spain, Italy)",12.0,4.0,17.0,19.0,18.0,bucket,"high-teens growth; Brazil >20%, Mexico high-teens",9.0,3.0,14.0,16.0,15.0,bucket,mid-teens growth; India origin +50%,2.0,2.0,30.0,1146.0,3.15,41.25,40.0,930.0,17.13,33.48,14.0,351.0,26.26,12.63,16.1,351.0,18.18,12.63,,,,,,,,,,,,,,,,21.0,50.0,,,,roughly twice core,,9.62,0.2,11.6,1.5,3.2,2.52,2.41
1Q26,9.15,19.18,17.87,4.0,7.0,9.0,8.0,bucket,"high-single digit growth, modest acceleration vs Q4 2025",7.0,,4.0,6.0,5.0,bucket,mid-single digit growth; Middle East conflict cancellations weighed,15.0,4.0,17.0,19.0,18.0,bucket,high-teens growth; Brazil >20% third consecutive quarter,10.0,3.0,17.0,19.0,18.0,bucket,high-teens growth; India ~50%,6.0,2.0,29.3,1138.0,7.97,42.49,39.7,747.0,25.13,27.89,14.7,451.0,31.49,16.84,16.3,342.0,23.02,12.77,,,,,,,,,,,,,,,,21.0,50.0,,,10.0,"roughly twice core, LTM",World Cup: 100k+ first-time host homes in 16 cities; Milan Olympics ~200k guests; Middle East conflict ~100 bp nights headwind,9.91,-0.76,10.7,2.35,1.98,2.65,2.94
2Q26,10.34,15.74,16.54,4.0,7.0,9.0,8.0,bucket,"high-single digit growth, highest in almost three years",7.0,,7.0,9.0,8.0,bucket,"high-single digit growth, accelerating from Q1 2026; steady recovery from Middle East",7.0,5.0,19.0,21.0,20.0,bucket,approximately 20% growth; Brazil origin >30%,9.0,2.0,17.0,19.0,18.0,bucket,"high-teens growth; Japan origin high-teens, India +60%",1.0,,29.3,1594.0,15.76,44.18,39.6,1425.0,15.57,39.5,14.8,291.0,25.97,8.07,16.2,298.0,16.86,8.26,,,,,,,,,,,,,,,,31.0,60.0,,,11.0,"roughly twice core, LTM; core markets US, France, UK, Australia also accelerated","World Cup: 150k+ first-time host listings; NA high-single digit, highest in ~3 years; Middle East impact less than anticipated",11.4,-1.06,12.81,2.35,3.17,2.96,2.92
